"Sindhi","English"
"مثالي","aceous"
"مثبت","acephal"
"مجازي","Acephala"
"مجرم","acephalan"
"مجسمو","Acephali"
"مجموعي","acephalia"
"مڃڻ","Acephalina"
"مڇي","acephaline"
"محافظ","acephalism"
"محبوب","acephalist"
"محتاط","Acephalite"
"محدود","acephalocyst"
"محرڪ","acephalous"
"محفوظ","acephalus"
"محقق","acepots"
"محل","acequia"
"محنت","acequiador"
"مخالف","acequias"
"مخالفت","Acer"
"مختصر","Aceraceae"
"مختلف","aceraceous"
"مخصوص","Acerae"
"مخلوق","Acerata"
"مداخلت","acerate"
"مدار","acerated"
"مدافعتي","Acerates"
"مدد","acerathere"
"مددگار","Aceratherium"
"مدعي","aceratosis"
"مذاق","acerb"
"مذهب","Acerbas"
"مذهبي","acerbate"
"مرچ","acerbated"
"مرحلو","acerbates"
"مرشد","acerbating"
"مرکب","acerber"
"مرڪ","acerbest"
"مرڪب","acerbic"
"مرڪز","acerbically"
"مرڪزي","acerbity"
"مرمت","acerbityacerose"
"مرڻ","acerbities"
"مريض","acerbitude"
"مزاج","acerbly"
"مزاح","acerbophobia"
"مزاحمت","acerdol"
"مزاحيه","aceric"
"مزو","acerin"
"مڙس","acerli"
"مس","acerola"
"مسافر","acerolas"
"مساوات","acerose"
"مستحڪم","acerous"
"مستقبل","acerra"
"مستقل","acers"
"مسخري","acertannin"
"مسڪرائڻ","acerval"
"مسلسل","acervate"
"مسلمان","acervately"
"مسودو","acervatim"
"مسئلو","acervation"
"مشابهت","acervative"
"مشاهدو","acervose"
"مشتمل","acervuli"
"مشق","acervuline"
"مشڪل","acervulus"
"مشن","aces"
"مشهور","ace's"
"مشين","acescence"
"مشيني","acescency"
"مصروف","acescent"
"مصروفيت","acescents"
"مصنوعي","aceship"
"مصوري","Acesius"
"مصيبت","acesodyne"
"مضافات","acesodynous"
"مضافاتي","Acessamenus"
"مضبوط","Acestes"
"مضمون","acestoma"
"مطابق","acet-"
"مطالبو","aceta"
"مطالعو","acetable"
"مطلب","acetabula"
"مطلق","acetabular"
"مظاهرو","Acetabularia"
"معاشي","acetabuliferous"
"معافي","acetabuliform"
"معالج","acetabulous"
"معاملو","acetabulum"
"معاهدو","acetabulums"
"معاوضو","acetacetic"
"معائنو","acetal"
"معتدل","acetaldehydase"
"معجزو","acetaldehyde"
"معذور","acetaldehydrase"
"معذوري","acetaldol"
"معصوم","acetalization"
"معقول","acetalize"
"معمار","acetals"
"معمول","acetamid"
"معمولي","acetamide"
"معيار","acetamidin"
"معياري","acetamidine"
"معيشت","acetamido"
"مغربي","acetamids"
"مفروضو","acetaminol"
"مفيد","Acetaminophen"
"مقابلو","acetanilid"
"مقامي","acetanilide"
"مقبوليت","acetanion"
"مقدار","acetaniside"
"مقدس","acetanisidide"
"مقدمو","acetanisidine"
"مقرر","acetannin"
"مقصد","acetary"
"مکڻ","acetarious"
"مکي","acetars"
"مکيه","acetarsone"
"مڪمل","acetate"
"مل","acetated"
"ملازم","acetates"
"ملاقات","acetation"
"ملاوٽ","acetazolamide"
"ملائڻ","acetbromamide"
"ملايو","acetenyl"
"ملڪ","Acetes"
"ملڪيت","acethydrazide"
"ملندڙ","acetiam"
"ملڻ","acetic"
"ملوث","acetify"
"ملين","acetification"
"مليو","acetified"
"ممڪن","acetifier"
"مناسب","acetifies"
"منافعو","acetifying"
"منتظم","acetyl"
"منتقلي","acetylacetonates"
"منٽ","acetylacetone"
"منجمد","acetylamine"
"منجهند","acetylaminobenzene"
"منجھند","acetylaniline"
"منحصر","acetylasalicylic"
"مندر","acetylate"
"منڊي","acetylated"
"منزل","acetylating"
"منصفانه","acetylation"
"منصوبو","acetylative"
"منطق","acetylator"
"منطقي","acetylbenzene"
"منظر","acetylbenzoate"
"منظرنامو","acetylbenzoic"
"منظوري","acetylbiuret"
"منفرد","acetylcarbazole"
"منفي","acetylcellulose"
"منهنجو","acetylcholine"
"مهاجر","acetylcholinesterase"
"مهارت","acetylcholinic"
"مهانگو","acetylcyanide"
"مهذب","acetylenation"
"مهر","acetylene"
"مهرباني","acetylenediurein"
"مھرباني","acetylenes"
"مهم","acetylenic"
"مهمان","acetylenyl"
"مهينو","acetylenogen"
"مهيني","acetylfluoride"
"مواد","acetylglycin"
"مواصلات","acetylglycine"
"موافقت","acetylhydrazine"
"موبائل","acetylic"
"موت","acetylid"
"موتمار","acetylide"
"موٽ","acetyliodide"
"موٽر","acetylizable"
"موثر","acetylization"
"موج","acetylize"
"موجود","acetylized"
"موجودگي","acetylizer"
"موجوده","acetylizing"
"موڊ","acetylmethylcarbinol"
"مورخ","acetylperoxide"
"موڙ","acetylphenylhydrazine"
"موسم","acetylphenol"
"موسيقار","acetylrosaniline"
"موسيقي","acetyls"
"موضوع","acetylsalicylate"
"موقعو","acetylsalicylic"
"موقف","acetylsalol"
"موڪل","acetyltannin"
"موڪلڻ","acetylthymol"
"مومن","acetyltropeine"
"مونجهارو","acetylurea"
"ميٽر","acetimeter"
"ميدان","acetimetry"
"ميڊل","acetimetric"
"ميڊم","acetin"
"ميڊيا","acetine"
"ميزائل","acetins"
"ميزبان","acetite"
"ميڙ","acetize"
"ميڪانيزم","acetla"
"ميڪسيڪو","acetmethylanilide"
"ميل","acetnaphthalide"
"مئل","aceto-"
"ميلاپ","acetoacetanilide"
"ميمبر","acetoacetate"
"مينڊيٽ","acetoacetic"
"مينهن","acetoamidophenol"
"مئنيجر","acetoarsenite"
"مينيو","Acetobacter"
"ميوو","acetobenzoic"
"مئي","acetobromanilide"
"ميئر","acetochloral"
"نابالغ","acetocinnamene"
"ناپسند","acetoin"
"ناپسنديده","acetol"
"ناچ","acetolysis"
"نادر","acetolytic"
"ناراض","acetometer"
"نارنگي","acetometry"
"نازڪ","acetometric"
"ناسي","acetometrical"
"ناشتو","acetometrically"
"ناڪامي","acetomorphin"
"ناگزير","acetomorphine"
"نالو","acetonaemia"
"نامزدگي","acetonaemic"
"ناممڪن","acetonaphthone"
"نامناسب","acetonate"
"نامياتي","acetonation"
"نانگ","acetone"
"ناني","acetonemia"
"ناول","acetonemic"
"نائب","acetones"
"نبض","acetonic"
"نبي","acetonyl"
"نتيجتن","acetonylacetone"
"نتيجو","acetonylidene"
"نٽ","acetonitrile"
"نجومي","acetonization"
"ندي","acetonize"
"نر","acetonuria"
"نرس","acetonurometer"
"نرم","acetophenetide"
"نروس","acetophenetidin"
"نسبتا","acetophenetidine"
"نسخو","acetophenin"
"نسل","acetophenine"
"نسلي","acetophenone"
"نشان","acetopiperone"
"نشاني","acetopyrin"
"نصاب","acetopyrine"
"نصيب","acetosalicylic"
"نظارو","acetose"
"نظر","acetosity"
"نظرياتي","acetosoluble"
"نظريو","acetostearin"
"نظم","acetothienone"
"نعمت","acetotoluid"
"نفرت","acetotoluide"
"نفسيات","acetotoluidine"
"نفسياتي","acetous"
"نفيس","acetoveratrone"
"نقاب","acetoxyl"
"نقاد","acetoxyls"
"نقد","acetoxim"
"نقشو","acetoxime"
"نقص","acetoxyphthalide"
"نقصان","acetphenetid"
"نقطو","acetphenetidin"
"نڪ","acetract"
"نڪرڻ","acettoluide"
"نگران","acetum"
"نگراني","aceturic"
"نگلڻ","ACF"
"نگهبان","ACGI"
"نمايان","ac-globulin"
"نمائش","ACH"
"نمائندگي","Achab"
"نمائندو","Achad"
"نمبر","Achaea"
"نمونو","Achaean"
"نموني","Achaemenes"
"ننڍپڻ","Achaemenian"
"ننڍو","Achaemenid"
"ننگا","Achaemenidae"
"نه","Achaemenides"
"نو","Achaemenidian"
"نوآبادياتي","Achaemenids"
"نوٽ","achaenocarp"
"نوٽيس","Achaenodon"
"نوجوان","Achaeta"
"نوڪر","achaetous"
"نوڪري","Achaeus"
"نومبر","achafe"
"نيرو","achage"
"نيل","Achagua"
"نئون","Achaia"
"ها","Achaian"
"هاء","Achakzai"
"هاٿي","achalasia"
"هارائيندڙ","Achamoth"
"هارڊويئر","Achan"
"هارمون","Achango"
"هاري","achape"
"هاڪي","achaque"
"هال","achar"
"هالووین","acharya"
"هاڻي","Achariaceae"
"هائوسنگ","Achariaceous"
"هپ","acharne"
"هتي","acharnement"
"هٿ","Acharnians"
"هٿرادو","achate"
"هٿوڙو","Achates"
"هٿيار","Achatina"
"هٿياربند","Achatinella"
"هٽائڻ","Achatinidae"
"هجڻ","achatour"
"هدايت","Achaz"
"ھدايت","ache"
"هدايتي","acheat"
"هڏا","achech"
"هر","acheck"
"هراس","ached"
"هرڪو","acheer"
"هرڻ","ACHEFT"
"هزار","acheilary"
"هڙتال","acheilia"
"هسپانوي","acheilous"
"هفتو","acheiria"
"هفتيوار","acheirous"
"هڪ","acheirus"
"هڪجهڙائي","Achelous"
"هڪجهڙو","Achen"
"هلائڻ","achene"
"هلڪو","achenes"
"هلڻ","achenia"
"ھلڻ","achenial"
"همت","achenium"
"همٿائڻ","achenocarp"
"همدردي","achenodia"
"همعصر","achenodium"
"هموار","acher"
"هميشه","Acherman"
"هن","Achernar"
"هندستاني","Acheron"
"هنر","Acheronian"
"هنگامي","Acherontic"
"هو","Acherontical"
"هوءَ","aches"
"هوا","Acheson"
"هوٽل","achesoun"
"هوشيار","achete"
"هي","Achetidae"
"هيٺ","Acheulean"
"هيٺيون","Acheulian"
"هيرو","acheweed"
"هيڪ","achy"
"هيل","achier"
"هيلمٽ","achiest"
"هيم","achievability"
"واءُ","achievable"
"وابستگي","achieve"
"واپار","achieved"
"واپرائڻ","achievement"
"واپس","achievements"
"واپسي","achievement's"
"وات","achiever"
"واچ","achievers"
"وادي","achieves"
"واڌ","achieving"
"واڌارو","ach-y-fi"
"واڌاري","achigan"
"وار","achilary"
"وارنٽ","achylia"
"واضح","Achill"
"واعدو","Achille"
"واقعو","Achillea"
"واقعي","Achillean"
"واقف","achilleas"
"واڱڻائي","Achilleid"
"والدين","achillein"
"واندو","achilleine"
"واهه","Achilles"
"وائرس","Achillize"
"وٺڻ","achillobursitis"
"وٽ","achillodynia"
"وٽامن","achilous"
"وجود","achylous"
"وڃ","Achimaas"
"وڃائڻ","achime"
"وڄ","Achimelech"
"وچولي","Achimenes"
"وچون","achymia"
"وحشت","achymous"
"وحشي","Achinese"
"وحي","achiness"
"وڊيو","achinesses"
"وڏو","aching"
"وڌائڻ","achingly"
"وڌندڙ","achiote"
"وڌڻ","achiotes"
"وڌيڪ","achira"
"ورثو","Achyranthes"
"ورثي","achirite"
"ورجائي","Achyrodes"
"ورڇ","Achish"
"ورزش","Achitophel"
"ورسي","achkan"
"ورڪشاپ","achlamydate"
"ورهاڱو","Achlamydeae"
"ورهائڻ","achlamydeous"
"وزارت","achlorhydria"
"وزن","achlorhydric"
"وزير","achlorophyllous"
"وڙهڻ","achloropsia"
"وسارڻ","achluophobia"
"وسيع","Achmed"
"وسيلو","Achmetha"
"وصف","achoke"
"وصيت","acholia"
"وضاحت","acholias"
"وطن","acholic"
"وغيره","Acholoe"
"وفادار","acholous"
"وفاداري","acholuria"
"وفاقي","acholuric"
"وقار","Achomawi"
"وقت","achondrite"
"وقفو","achondritic"
"وکر","achondroplasia"
"وڪرو","achondroplastic"
"وڪڻڻ","achoo"
"وڪيل","achor"
"وڳي","achordal"
"وندر","Achordata"
"ونڊو","achordate"
"ونگ","Achorion"
"وڻ","Achorn"
"وهاڻو","Achras"
"وهڪرو","achree"
"وهڪري","achroacyte"
"وهم","Achroanthes"
"وهڻ","achrodextrin"
"وهيل","achrodextrinase"
"ووٽ","achroglobin"
"ووٽر","achroiocythaemia"
"ووٽنگ","achroiocythemia"
"ويب","achroite"
"ويجهو","achroma"
"ويجھو","achromacyte"
"ويڙهاڪ","achromasia"
"ويڪسين","achromat"
"ويگن","achromat-"
"ويمپائر","achromate"
"وين","Achromatiaceae"
"ويهڻ","achromatic"
"ويهه","achromatically"
"يا","achromaticity"
"ياداشت","achromatin"
"يادگار","achromatinic"
"يارڊ","achromatisation"
"يارنهن","achromatise"
"يرغمال","achromatised"
"يقين","achromatising"
"يقيناً","achromatism"
"يقينن","Achromatium"
"يقيني","achromatizable"
"يهودي","achromatization"
"يورپي","achromatize"
"يوناني","achromatized"
"يونٽ","achromatizing"
"يونيفارم","achromatocyte"
"يونيورسٽي","achromatolysis"
