"Welsh","English"
"môr-leidr","acetify"
"morol","acetification"
"morthwyl","acetified"
"mownt","acetifier"
"mudo","acetifies"
"munud","acetifying"
"mwd","acetyl"
"mwg","acetylacetonates"
"mwgwd","acetylacetone"
"mwnci","acetylamine"
"mwy","acetylaminobenzene"
"mwyach","acetylaniline"
"mwyafrif","acetylasalicylic"
"mwyn","acetylate"
"mwynglawdd","acetylated"
"mwynhau","acetylating"
"myfyrio","acetylation"
"myfyriwr","acetylative"
"mynedfa","acetylator"
"mynediad","acetylbenzene"
"mynegai","acetylbenzoate"
"mynegi","acetylbenzoic"
"mynegiant","acetylbiuret"
"mynychu","acetylcarbazole"
"mynydd","acetylcellulose"
"myth","acetylcholine"
"na","acetylcholinesterase"
"nadolig","acetylcholinic"
"naid","acetylcyanide"
"nain","acetylenation"
"nam","acetylene"
"nant","acetylenediurein"
"naratif","acetylenes"
"natur","acetylenic"
"naturiol","acetylenyl"
"naw","acetylenogen"
"nawr","acetylfluoride"
"neb","acetylglycin"
"nefi","acetylglycine"
"nefoedd","acetylhydrazine"
"neges","acetylic"
"negyddol","acetylid"
"neidio","acetylide"
"neidr","acetyliodide"
"neilltuo","acetylizable"
"Nenfwd","acetylization"
"nerf","acetylize"
"nerfus","acetylized"
"nerth","acetylizer"
"nesaf","acetylizing"
"net","acetylmethylcarbinol"
"neu","acetylperoxide"
"neuadd","acetylphenylhydrazine"
"newid","acetylphenol"
"newidyn","acetylrosaniline"
"newydd","acetyls"
"newyddiaduraeth","acetylsalicylate"
"newyddiadurwr","acetylsalicylic"
"newyddion","acetylsalol"
"newyn","acetyltannin"
"nhw","acetylthymol"
"ni","acetyltropeine"
"niferus","acetylurea"
"nionyn","acetimeter"
"niwclear","acetimetry"
"niwed","acetimetric"
"niwtral","acetin"
"nod","acetine"
"noddwr","acetins"
"nodi","acetite"
"nodio","acetize"
"nodwedd","acetla"
"nodweddiadol","acetmethylanilide"
"nodweddu","acetnaphthalide"
"nodwydd","aceto-"
"Nodyn","acetoacetanilide"
"noeth","acetoacetate"
"nofel","acetoacetic"
"nofio","acetoamidophenol"
"norm","acetoarsenite"
"nos","Acetobacter"
"n't","acetobenzoic"
"nwy","acetobromanilide"
"nwyddau","acetochloral"
"nyrs","acetocinnamene"
"nyth","acetoin"
"nythfa","acetol"
"o","acetolysis"
"ochr","acetolytic"
"ocsigen","acetometer"
"ods","acetometry"
"oed","acetometric"
"oedi","acetometrical"
"oedolyn","acetometrically"
"oedrannus","acetomorphin"
"oer","acetomorphine"
"oes","acetonaemia"
"offeiriad","acetonaemic"
"offer","acetonaphthone"
"offeryn","acetonate"
"ofn","acetonation"
"ofnadwy","acetone"
"ofnus","acetonemia"
"ofynnol","acetonemic"
"ogof","acetones"
"oherwydd","acetonic"
"olaf","acetonyl"
"olew","acetonylacetone"
"olewydd","acetonylidene"
"ôl-gerbyd","acetonitrile"
"olrhain","acetonization"
"olwyn","acetonize"
"olygfa","acetonuria"
"olympaidd","acetonurometer"
"olympics","acetophenetide"
"ond","acetophenetidin"
"onest","acetophenetidine"
"ongl","acetophenin"
"ooh","acetophenine"
"opera","acetophenone"
"opsiwn","acetopiperone"
"opt","acetopyrin"
"optimistaidd","acetopyrine"
"orau","acetosalicylic"
"orbit","acetose"
"oren","acetosity"
"organ","acetosoluble"
"organeb","acetostearin"
"organig","acetothienone"
"oriel","acetotoluid"
"orllewin","acetotoluide"
"ormodol","acetotoluidine"
"orsedd","acetous"
"os","acetoveratrone"
"osgoi","acetoxyl"
"outlook","acetoxyls"
"owns","acetoxim"
"pab","acetoxime"
"pabell","acetoxyphthalide"
"pad","acetphenetid"
"padell","acetphenetidin"
"paent","acetract"
"palas","acettoluide"
"Palesteinaidd","acetum"
"palestinaidd","aceturic"
"palmwydd","ACF"
"pam","ACGI"
"panel","ac-globulin"
"panig","ACH"
"pant","Achab"
"papur","Achad"
"pâr","Achaea"
"paragraff","Achaean"
"paramedr","Achaemenes"
"paratoi","Achaemenian"
"parc","Achaemenid"
"parch","Achaemenidae"
"parchu","Achaemenides"
"parcio","Achaemenidian"
"Parhaodd","Achaemenids"
"parhaol","achaenocarp"
"parhau","Achaenodon"
"parhaus","Achaeta"
"parod","achaetous"
"parodrwydd","Achaeus"
"parth","achafe"
"parthed","achage"
"parti","Achagua"
"partner","Achaia"
"partneriaeth","Achaian"
"pasio","Achakzai"
"pastai","achalasia"
"Pastor","Achamoth"
"patent","Achan"
"patrôl","Achango"
"patrwm","achape"
"pawb","achaque"
"pc","achar"
"pechod","acharya"
"pecyn","Achariaceae"
"pedwar","Achariaceous"
"pedwerydd","acharne"
"peilot","acharnement"
"peintio","Acharnians"
"peintiwr","achate"
"peirianneg","Achates"
"peiriannydd","Achatina"
"peiriant","Achatinella"
"pêl-droed","Achatinidae"
"pêl-fasged","achatour"
"pell","Achaz"
"pellter","ache"
"pen","acheat"
"pen-blwydd","achech"
"pencadlys","acheck"
"pencampwr","ached"
"Pencampwriaeth","acheer"
"penderfyniad","ACHEFT"
"penderfynu","acheilary"
"penelin","acheilia"
"pen-glin","acheilous"
"penglog","acheiria"
"pennawd","acheirous"
"pennill","acheirus"
"pennod","Achelous"
"pennu","Achen"
"penodi","achene"
"penodiad","achenes"
"penodol","achenia"
"pensaer","achenial"
"pensaernïaeth","achenium"
"pensiwn","achenocarp"
"pentref","achenodia"
"pentwr","achenodium"
"penwythnos","acher"
"perchennog","Acherman"
"perchnogaeth","Achernar"
"perfedd","Acheron"
"perffaith","Acheronian"
"perfformiad","Acherontic"
"perfformio","Acherontical"
"perfformiwr","aches"
"perlysiau","Acheson"
"persbectif","achesoun"
"person","achete"
"personél","Achetidae"
"personol","Acheulean"
"personoliaeth","Acheulian"
"perswadio","acheweed"
"perthnasol","achy"
"perthyn","achier"
"perthynas","achiest"
"perygl","achievability"
"peryglus","achievable"
"peth","achieve"
"petruso","achieved"
"phupur","achievement"
"piano","achievements"
"pibell","achievement's"
"pin","achiever"
"pinc","achievers"
"pinwydd","achieves"
"piser","achieving"
"piss","ach-y-fi"
"pizza","achigan"
"plaen","achilary"
"planhigyn","achylia"
"plastig","Achill"
"plât","Achille"
"platfform","Achillea"
"playoff","Achillean"
"ple","achilleas"
"pledio'n","Achilleid"
"pleidleisio","achillein"
"pleidleisiwr","achilleine"
"plentyn","Achilles"
"plentyndod","Achillize"
"pleser","achillobursitis"
"plith","achillodynia"
"plot","achilous"
"plws","achylous"
"plygu","Achimaas"
"pm","achime"
"pobi","Achimelech"
"poblogaeth","Achimenes"
"poblogaidd","achymia"
"poblogrwydd","achymous"
"poced","Achinese"
"poen","achiness"
"poeni","achinesses"
"poenus","aching"
"poeri","achingly"
"poeth","achiote"
"pôl","achiotes"
"polisi","achira"
"polyn","Achyranthes"
"pontio","achirite"
"pop","Achyrodes"
"popeth","Achish"
"popty","Achitophel"
"porc","achkan"
"porffor","achlamydate"
"portffolio","Achlamydeae"
"porth","achlamydeous"
"porthladd","achlorhydria"
"portread","achlorhydric"
"porwr","achlorophyllous"
"pos","achloropsia"
"posibilrwydd","achluophobia"
"post","Achmed"
"poster","Achmetha"
"pot","achoke"
"potel","acholia"
"potensial","acholias"
"powdr","acholic"
"powlen","Acholoe"
"prawf","acholous"
"pregethu","acholuria"
"preifat","acholuric"
"preifatrwydd","Achomawi"
"premiwm","achondrite"
"pren","achondritic"
"presenoldeb","achondroplasia"
"presgripsiwn","achondroplastic"
"preswyl","achoo"
"preswylio","achor"
"preswylydd","achordal"
"pridd","Achordata"
"prif","achordate"
"prifathro","Achorion"
"priffyrdd","Achorn"
"prifysgol","Achras"
"prin","achree"
"prinder","achroacyte"
"print","Achroanthes"
"priod","achrodextrin"
"priodas","achrodextrinase"
"priodi","achroglobin"
"priodol","achroiocythaemia"
"priodoledd","achroiocythemia"
"pris","achroite"
"proffesiwn","achroma"
"proffesiynol","achromacyte"
"proffil","achromasia"
"proffwyd","achromat"
"profi","achromat-"
"profiad","achromate"
"profiadol","Achromatiaceae"
"propaganda","achromatic"
"prosesu","achromatically"
"prosesydd","achromaticity"
"prosiect","achromatin"
"protein","achromatinic"
"protest","achromatisation"
"protestwraig","achromatise"
"protocol","achromatised"
"pryd","achromatising"
"pryder","achromatism"
"pryderus","Achromatium"
"prydferth","achromatizable"
"pryfed","achromatization"
"prynhawn","achromatize"
"prynu","achromatized"
"prynwr","achromatizing"
"prysur","achromatocyte"
"pumed","achromatolysis"
"pump","achromatope"
"punt","achromatophil"
"pur","achromatophile"
"pwdin","achromatophilia"
"pŵer","achromatophilic"
"pwerus","achromatopia"
"pwll","achromatopsy"
"pwls","achromatopsia"
"pwmp","achromatosis"
"pwnc","achromatous"
"pwrpas","achromats"
"pwrs","achromaturia"
"pwy","achromia"
"pwyllgor","achromic"
"pwynt","Achromycin"
"pwysau","Achromobacter"
"pwysig","Achromobacterieae"
"pwysigrwydd","achromoderma"
"pwyslais","achromophilous"
"pwysleisio","achromotrichia"
"pwyso","achromous"
"pylu","achronical"
"pymtheg","achronychous"
"pysgod","achronism"
"pysgota","achroo-"
"quarterback","achroodextrin"
"rac","achroodextrinase"
"radar","achroous"
"raddedigion","achropsia"
"radical","Achsah"
"radio","achtehalber"
"rage","achtel"
"raglaw","achtelthaler"
"Railroad","achter"
"rali","achterveld"
"ranch","Achuas"
"ras","achuete"
"ray","acy"
"realistig","acyanoblepsia"
"realiti","acyanopsia"
"rebel","acichlorid"
"record","acichloride"
"recordio","acyclic"
"recriwtio","acyclically"
"refeniw","acicula"
"reidio","aciculae"
"reidiwr","acicular"
"reiffl","acicularity"
"reis","acicularly"
"rendr","aciculas"
"reportedly","aciculate"
"rhad","aciculated"
"rhaff","aciculum"
"rhagdybiaeth","aciculums"
"rhagfynegi","acid"
"rhagfynegiad","acidaemia"
"Rhagfyr","Acidalium"
"rhaglen","Acidanthera"
"rhaglennu","Acidaspis"
"rhagori","acid-binding"
"rhagoriaeth","acidemia"
"rhagorol","acidemias"
"rhagosodiad","acider"
"rhagweld","acid-fast"
"rhai","acid-fastness"
"rhaid","acid-forming"
"rhain","acidhead"
"rhamant","acid-head"
"rhamantus","acidheads"
"rhan","acidy"
"rhanbarth","acidic"
"rhanbarthol","acidiferous"
"rhaniad","acidify"
"rhannol","acidifiable"
"rhannu","acidifiant"
"rhedeg","acidific"
"rhedwr","acidification"
"rheidrwydd","acidified"
"rheilffordd","acidifier"
"rheithgor","acidifiers"
"rheithiwr","acidifies"
"rheng","acidifying"
"rhent","acidyl"
"rheol","acidimeter"
"rheolaeth","acidimetry"
"rheolaidd","acidimetric"
"rheoleiddio","acidimetrical"
"rheoleiddiol","acidimetrically"
"rheoli","acidite"
"rheolwr","acidity"
"rhes","acidities"
"rhestr","acidize"
"rheswm","acidized"
"rhesymeg","acidizing"
"rhesymegol","acidly"
"rhesymol","acidness"
"rhethreg","acidnesses"
"rhew","acidogenic"
"rhewi","acidoid"
"rhiant","acidolysis"
"rhieni","acidology"
"rhif","acidometer"
"rhifyn","acidometry"
"rhingyll","acidophil"
"rhinwedd","acidophile"
"rhith","acidophilic"
"rhithwir","acidophilous"
"rhodd","acidophilus"
"rhoddwr","acidoproteolytic"
"rhoi","acidoses"
"rholio","acidosis"
"Rhosyn","acidosteophyte"
"Rhufeinig","acidotic"
"rhwbiwch","acidproof"
"rhwng","acids"
"rhwyddineb","acid-treat"
"rhwydwaith","acidulant"
"rhwygo","acidulate"
"rhwymedigaeth","acidulated"
"rhwymo","acidulates"
"rhwystr","acidulating"
"rhwystredigaeth","acidulation"
"rhybudd","acidulent"
"rhybuddio","acidulous"
"rhydd","acidulously"
"rhyddfrydol","acidulousness"
"rhyddhad","aciduria"
"rhyddhau","acidurias"
"rhyddid","aciduric"
"rhyfedd","Acie"
"rhyfedd","acier"
"rhyfeddod","acierage"
"rhyfeddol","Acieral"
"Rhyfel","acierate"
"rhyfelwr","acierated"
"rhyngrwyd","acierates"
"rhyngweithio","acierating"
"rhyngwladol","acieration"
"rhyngwyneb","acies"
"rhythm","acyesis"
"rhyw","acyetic"
"rhywbeth","aciform"
"rhywiol","acyl"
"rhywle","acylal"
"rhywogaethau","acylamido"
"rhywsut","acylamidobenzene"
"rhywun","acylamino"
"risg","acylase"
"rob","acylate"
"robot","acylated"
"roc","acylates"
"roced","acylating"
"rôl","acylation"
"rookie","aciliate"
"rownd","aciliated"
"russian","Acilius"
"ryddfrydol","acylogen"
"rysáit","acyloin"
"rywbryd","acyloins"
"sach","acyloxy"
"Saesneg","acyloxymethane"
"saethu","acyls"
"safiad","Acima"
"safle","acinaceous"
"safonol","acinaces"
"saib","acinacifoliate"
"sail","acinacifolious"
"sain","acinaciform"
"saith","acinacious"
"salad","acinacity"
"salwch","acinar"
"sampl","acinary"
"sancsiwn","acinarious"
"sanctaidd","Acineta"
"sant","Acinetae"
"sawdl","acinetan"
"saws","Acinetaria"
"Sbaen","acinetarian"
"Sbaenaidd","acinetic"
"sbâr","acinetiform"
"sbarduno","Acinetina"
"sbectrwm","acinetinan"
"sbin","acing"
"sbïo","acini"
"sbwriel","acinic"
"sebon","aciniform"
"seciwlar","acinose"
"sector","acinotubular"
"sedd","acinous"
"sefydliad","acinuni"
"sefydliadol","acinus"
"sefydlog","acious"
"sefydlogrwydd","Acipenser"
"sefydlu","Acipenseres"
"sefyll","acipenserid"
"sefyllfa","Acipenseridae"
"segment","acipenserine"
"seicoleg","acipenseroid"
"seicolegol","Acipenseroidei"
"seicolegydd","acyrology"
"seilwaith","acyrological"
"seithfed","Acis"
"sêl","acystia"
"senario","acitate"
"senedd","acity"
"seneddwr","aciurgy"
"sengl","ACK"
"sensitif","ack-ack"
"sensitifrwydd","ackee"
"sentiment","ackees"
"seremoni","ackey"
"seren","ackeys"
"sero","Acker"
"serth","Ackerley"
"seryddwr","Ackerly"
"sesiwn","Ackerman"
"set","Ackermanville"
"setlo","Ackley"
"sffer","Ackler"
"sgan","ackman"
"sgandal","ackmen"
"sgert","acknew"
"sgip","acknow"
"sglodion","acknowing"
"sgôr","acknowledge"
"sgowtiaid","acknowledgeable"
"sgrechian","acknowledged"
"sgrin","acknowledgedly"
"sgrinio","acknowledgement"
"sgript","acknowledgements"
"sgriw","acknowledger"
"sgwâr","acknowledgers"
"sgwrs","acknowledges"
"sgwrsio","acknowledging"
"sheer","acknowledgment"
"shirt","acknowledgments"
"shrug","acknowledgment's"
"si","acknown"
"siaced","ack-pirate"
"siambr","ackton"
"sianel","Ackworth"
"siâp","ACL"
"siarad","aclastic"
"siaradwr","acle"
"siarc","acleidian"
"siarp","acleistocardia"
"siart","acleistous"
"siarter","Aclemon"
"siawns","aclydes"
"sibrwd","aclidian"
"sicr","aclinal"
"sicrhau","aclinic"
"sidan","aclys"
"sidewalk","a-clock"
"sifft","acloud"
"sifil","ACLS"
"sigarét","ACLU"
"sigh","ACM"
"signal","Acmaea"
"silff","Acmaeidae"
"sillafu","acmaesthesia"
"sinc","acmatic"
"sioc","acme"
"siocled","acmes"
"sioe","acmesthesia"
"siom","acmic"
"siomedig","Acmispon"
"siop","acmite"
"siopa","Acmon"
"Sir","acne"
"siryf","acned"
"siwgr","acneform"
"siwio","acneiform"
"siwr","acnemia"
"siwt","acnes"
"ski","Acnida"
"slap","acnodal"
"slei","acnode"
"sleid","acnodes"
"slip","ACO"
"snap","acoasm"
"soda","acoasma"
"sodiwm","a-coast"
"soffa","Acocanthera"
"soffistigedig","acocantherin"
"sofietaidd","acock"
"solar","acockbill"
"solid","a-cock-bill"
"solo","a-cock-horse"
"someday","acocotl"
"sôn","Acoela"
"sori","Acoelomata"
"sothach","acoelomate"
"stadiwm","acoelomatous"
"staff","Acoelomi"
"stamp","acoelomous"
"statud","acoelous"
"statws","Acoemetae"
"stêc","Acoemeti"
"steil","Acoemetic"
"stêm","acoenaesthesia"
"stiff","ACOF"
"stiwdio","acoin"
"stoc","acoine"
"stopio","Acol"
"storfa","Acolapissa"
"stori","acold"
"storio","Acolhua"
"storm","Acolhuan"
"straen","acolyctine"
"strategaeth","acolyte"
"strategol","acolytes"
"streak","acolyth"
"streic","acolythate"
"stribed","acolytus"
"strôc","acology"
"strwythur","acologic"
"strwythurol","acolous"
"stryd","acoluthic"
"stumog","Acoma"
"stwff","acomia"
"sudd","acomous"
"sugno","a-compass"
"suite","aconative"
"super","Aconcagua"
"Sut","acondylose"
"swigen","acondylous"
"swil","acone"
"swing","aconelline"
"switsh","aconic"
"swm","aconin"
"sŵn","aconine"
"swydd","aconital"
"swyddfa","aconite"
"swyddog","aconites"
"swyddogaeth","aconitia"
"swyddogaethol","aconitic"
"swyddogol","aconitin"
"swyn","aconitine"
"sych","Aconitum"
"sydd","aconitums"
"syfrdanol","acontia"
"sylfaen","Acontias"
"sylfaenol","acontium"
"sylfaenydd","Acontius"
"syllu","aconuresis"
"sylw","acool"
"sylwebaeth","acop"
"sylweddau","acopic"
"sylweddol","acopyrin"
"sylweddoli","acopyrine"
"symbol","acopon"
"symbyliad","acor"
"syml","acorea"
"symptom","acoria"
"symud","acorn"
"symudiad","acorned"
"symudol","acorns"
"syndod","acorn's"
"syndrom","acorn-shell"
"synhwyrydd","Acorus"
"syniad","acosmic"
"synnu","acosmism"
"synnwyr","acosmist"
"syr","acosmistic"
"Syria","acost"
"system","Acosta"
"tab","acotyledon"
"tabled","acotyledonous"
"Tachwedd","acouasm"
"tacsi","acouchi"
"tacteg","acouchy"
"tad","acoumeter"
"tafell","acoumetry"
"taflegryn","acounter"
"taflu","acouometer"
"tafod","acouophonia"
"tag","acoup"
"tai","acoupa"
"taid","acoupe"
"taith","acousma"
"tal","acousmas"
"talaith","acousmata"
"talcen","acousmatic"
"talent","acoustic"
"talentog","acoustical"
"taliad","acoustically"
"talu","acoustician"
"tan","acoustico-"
"tân","acousticolateral"
"tanc","Acousticon"
"tanseilio","acousticophobia"
"tanwydd","acoustics"
"tap","acoustoelectric"
"tâp","ACP"
"tarddiad","acpt"
"tarfu","acpt."
"targed","Acquah"
"tarian","acquaint"
"taro","acquaintance"
"tarw","acquaintances"
"tasg","acquaintance's"
"tattoo","acquaintanceship"
"tatws","acquaintanceships"
"tawel","acquaintancy"
"tawelwch","acquaintant"
"te","acquainted"
"teammate","acquaintedness"
"tebyg","acquainting"
"tebygol","acquaints"
"tebygolrwydd","Acquaviva"
"tebygrwydd","acquent"
"tech","acquereur"
"techneg","acquest"
"technegol","acquests"
"technoleg","acquiesce"
"technolegol","acquiesced"
"teen","acquiescement"
"tegan","acquiescence"
"tei","acquiescences"
"teiar","acquiescency"
"teigr","acquiescent"
"teilyngdod","acquiescently"
"teimlad","acquiescer"
"teimlo","acquiesces"
"teithio","acquiescing"
"teithiwr","acquiescingly"
"teithwyr","acquiesence"
"teitl","acquiet"
"teledu","acquirability"
"telesgop","acquirable"
"tenau","acquire"
"tendr","acquired"
"tennis","acquirement"
"tensiwn","acquirements"
"terfyn","acquirenda"
"terfysg","acquirer"
"terfysgaeth","acquirers"
"terfysgol","acquires"
"termau","acquiring"
"testament","acquisible"
"testun","acquisita"
"teulu","acquisite"
"teyrnas","acquisited"
"teyrngarwch","acquisition"
"theatr","acquisitional"
"thema","acquisitions"
"theori","acquisition's"
"therapi","acquisitive"
"therapydd","acquisitively"
"ti","acquisitiveness"
"til","acquisitor"
"tîm","acquisitum"
"tip","acquist"
"tir","acquit"
"tirwedd","acquital"
"tiwb","acquitment"
"tiwmor","acquits"
"tlodi","acquittal"
"to","acquittals"
"tocyn","acquittance"
"toddi","acquitted"
"toe","acquitter"
"toes","acquitting"
"toiled","acquophonia"
"toll","acr-"
"tomato","Acra"
"ton","Acrab"
"tôn","acracy"
"torri","Acraea"
"torrwch","acraein"
"tosturi","Acraeinae"
"touchdown","acraldehyde"
"tra","Acrania"
"trac","acranial"
"traddodiad","acraniate"
"traddodiadol","acrasy"
"traeth","acrasia"
"traethawd","Acrasiaceae"
"trafferthu","Acrasiales"
"traffig","acrasias"
"trafod","Acrasida"
"trafodaeth","Acrasieae"
"trafodiad","acrasin"
"trais","acrasins"
"trait","Acraspeda"
"tramgwyddus","acraspedote"
"tramor","acratia"
"trap","acraturesis"
"trasiedi","acrawl"
"trasig","acraze"
"traul","Acre"
"traw","acreable"
"trawiadol","acreage"
"trawma","acreages"
"trawsnewid","acreak"
"trawst","acream"
"trechu","acred"
"tref","acre-dale"
"trefniant","Acredula"
"trefnu","acre-foot"
"trefol","acre-inch"
"treftadaeth","acreman"
"treial","acremen"
"treisgar","Acres"
"trên","acre's"
"treth","acrestaff"
"trethdalwr","a-cry"
"tri","acrid"
"tric","acridan"
"triliwn","acridane"
"trin","acrider"
"triniaeth","acridest"
"tro","acridian"
"troed","acridic"
"trofannol","acridid"
"troi","Acrididae"
"trosedd","Acridiidae"
"troseddol","acridyl"
"troseddu","acridin"
"troseddwr","acridine"
"trosglwyddiad","acridines"
"trosglwyddo","acridinic"
"trosi","acridinium"
"trosiad","acridity"
"trothwy","acridities"
"trugaredd","Acridium"
"trwchus","Acrydium"
"trwm","acridly"
"trwodd","acridness"
"trwsio","acridnesses"
"trwydded","acridone"
"trwyn","acridonium"
"trychineb","acridophagus"
"trydan","acriflavin"
"trydanol","acriflavine"
"trydydd","acryl"
"trysorlys","acrylaldehyde"
"Tseiniaidd","Acrilan"
"tu","acrylate"
"tua","acrylates"
"tudalen","acrylic"
"tuedd","acrylics"
"tueddu","acrylyl"
"tv","acrylonitrile"
"twf","acrimony"
"twin","acrimonies"
"Twist","acrimonious"
"twitter","acrimoniously"
"twll","acrimoniousness"
"twnnel","acrindolin"
"twr","acrindoline"
"twrci","acrinyl"
"twrnamaint","acrisy"
"twyll","acrisia"
"twyllo","Acrisius"
"twymyn","Acrita"
"tŷ","acritan"
"tybaco","acrite"
"tybio","acrity"
"tyfu","acritical"
"tymheredd","acritochromacy"
"tymor","acritol"
"tynged","acritude"
"tyngu","ACRNEMA"
"tynn","acro-"
"tynnu","Acroa"
"tyst","acroaesthesia"
"tystio","acroama"
"tystiolaeth","acroamata"
"tystysgrif","acroamatic"
"tywel","acroamatical"
"tywod","acroamatics"
"tywydd","acroanesthesia"
"tywyll","acroarthritis"
"tywyllwch","acroasis"
"tywysog","acroasphyxia"
"tywysoges","acroataxia"
"uchaf","acroatic"
"uchafbwynt","acrobacy"
"uchafswm","acrobacies"
"uchder","acrobat"
"uchel","Acrobates"
"uchelgais","acrobatholithic"
"uchelgeisiol","acrobatic"
"uchod","acrobatical"
"uffern","acrobatically"
"ugain","acrobatics"
"uh","acrobatism"
"um","acrobats"
"un","acrobat's"
"undeb","acrobystitis"
"undod","acroblast"
"uned","acrobryous"
"unedig","Acrocarpi"
"unig","acrocarpous"
"unigol","acrocentric"
"unigryw","acrocephaly"
"union","acrocephalia"
"uniondeb","acrocephalic"
"uniongyrchol","acrocephalous"
"Unite","Acrocera"
"unman","Acroceratidae"
"unrhyw","Acroceraunian"
"unwaith","Acroceridae"
"urddas","Acrochordidae"
"uwch","Acrochordinae"
"uwchradd","acrochordon"
"uwchraddio","acrocyanosis"
"uwchraddol","acrocyst"
"van","acrock"
"vs.","Acroclinium"
"wael","Acrocomia"
"wagen","acroconidium"
"wal","acrocontracture"
"wallgof","acrocoracoid"
"Waw","Acrocorinth"
"wawr","acrodactyla"
"we","acrodactylum"
"weithgar","acrodermatitis"
"weithiau","acrodynia"
"weithredol","acrodont"
"wel","acrodontism"
"wenwynig","acrodonts"
"weriniaeth","acrodrome"
"wers","acrodromous"
"werth","Acrodus"
"Whoa","acroesthesia"
"wipe","acrogamy"
"wisg","acrogamous"
"wladwriaeth","acrogen"
"wneud","acrogenic"
"workout","acrogenous"
"wrach","acrogenously"
"wrap","acrogens"
"wreichionen","Acrogynae"
"wrthsefyll","acrogynous"
"wrthwynebydd","acrography"
"wy","acrolein"
"wyl","acroleins"
"wyneb","acrolith"
"wynebu","acrolithan"
"wyth","acrolithic"
"wythfed","acroliths"
"wythnos","acrology"
"wythnosol","acrologic"
"y","acrologically"
"ychwaith","acrologies"
"ychwanegol","acrologism"
"ychwanegu","acrologue"
"ychydig","acromania"
"ydw","acromastitis"
"Yell","acromegaly"
"yep","acromegalia"
"yfed","acromegalic"
"yfory","acromegalies"
"yma","acromelalgia"
"ymadael","acrometer"
"ymadrodd","acromia"
"ymarfer","acromial"
"ymarferol","acromicria"
"ymarferydd","acromimia"
"ymateb","acromioclavicular"
"ymatebydd","acromiocoracoid"
"ymbelydredd","acromiodeltoid"
"ymchwil","Acromyodi"
"ymchwiliad","acromyodian"
"ymchwilio","acromyodic"
"ymchwilydd","acromyodous"
"ymddangos","acromiohyoid"
"ymddangosiad","acromiohumeral"
"ymddeol","acromion"
"ymddiheuriad","acromioscapular"
"ymddiheuro","acromiosternal"
"ymddiriedaeth","acromiothoracic"
"ymddiswyddo","acromyotonia"
"ymddwyn","acromyotonus"
"ymddygiad","acromonogrammatic"
"ymddygiadol","acromphalus"
"ymdopi","acron"
"ymdrech","acronal"
"ymenydd","acronarcotic"
"ymerawdwr","acroneurosis"
"ymerodraeth","acronic"
"ymestyn","acronyc"
"ymgais","acronical"
"ymgeisydd","acronycal"
"ymgodymu","acronically"
"ymgorffori","acronycally"
"ymgynghori","acronych"
"ymgynghorydd","acronichal"
"ymgynnull","acronychal"
"ymgyrch","acronichally"
"ymgysylltu","acronychally"
"ymhellach","acronychous"
"ymhlith","Acronycta"
"ymholiad","acronyctous"
"ymlacio","acronym"
"ymladd","acronymic"
"ymlaen","acronymically"
"ymosodiad","acronymize"
"ymosodol","acronymized"
"ymrestru","acronymizing"
"ymrwymiad","acronymous"
"ymrwymo","acronyms"
"ymuno","acronym's"
"ymweld","acronyx"
"ymwelwyr","acronomy"
"ymwneud","acrook"
"ymwybodol","acroparalysis"
"ymwybyddiaeth","acroparesthesia"
"ymyl","acropathy"
"ymyrraeth","acropathology"
"ymyrryd","acropetal"
"yn","acropetally"
"yna","acrophobia"
"ynghanol","acrophonetic"
"ynghylch","acrophony"
"yno","acrophonic"
"ynys","acrophonically"
"ynysu","acrophonies"
"ysblennydd","acropodia"
"ysbryd","acropodium"
"ysbrydol","acropoleis"
"ysbrydoli","Acropolis"
"ysbrydoliaeth","acropolises"
"ysbyty","acropolitan"
"ysgafn","Acropora"
"ysgariad","acropore"
"ysglyfaethwr","acrorhagus"
"ysgol","acrorrheuma"
"ysgolhaig","acrosarc"
"ysgoloriaeth","acrosarca"
"ysgrifenedig","acrosarcum"
"ysgrifennu","acroscleriasis"
"ysgrifennwr","acroscleroderma"
"ysgrifennydd","acroscopic"
"ysgrythur","acrose"
"ysgubo","acrosome"
"ysgubor","acrosomes"
"ysgwyd","acrosphacelus"
"ysgwydd","acrospire"
"ysgyfaint","acrospired"
"ystâd","acrospiring"
"ystadegau","acrospore"
"ystadegol","acrosporous"
"ystafell","across"
"ystlum","across-the-board"
"ystod","acrostic"
"ystum","acrostical"
"ystyr","acrostically"
"ystyriaeth","acrostichal"
"ystyried","Acrosticheae"
"ystyrlon","acrostichic"
"yswiriant","acrostichoid"
