"Sinhala","English"
"මස්","accommodation"
"මස්සිනා","accommodational"
"මහජන","accommodationist"
"මහත්මයා","accommodations"
"මහන්සියි","accommodative"
"මහල","accommodatively"
"මහා","accommodativeness"
"මහාචාර්ය","accommodator"
"මහාද්වීපය","accommodators"
"මහිමය","accomodate"
"මා","accompanable"
"මාතෘකාව","accompany"
"මාත්රාව","accompanied"
"මාදිලිය","accompanier"
"මාධ්ය","accompanies"
"මාධ්යවේදී","accompanying"
"මානය","accompanyist"
"මානසික","accompaniment"
"මානසිකව","accompanimental"
"මාපටැඟිල්ල","accompaniments"
"මාපිය","accompaniment's"
"මාමා","accompanist"
"මායාකාරිය","accompanists"
"මායාව","accompanist's"
"මායිම","accomplement"
"මාරාන්තික","accompletive"
"මාරු","accompli"
"මාර්ග","accomplice"
"මාර්ගය","accomplices"
"මාර්ගෝපදේශය","accompliceship"
"මාර්තු","accomplicity"
"මාලාවක්","accomplis"
"මාලිගාව","accomplish"
"මාවත","accomplishable"
"මාසිකව","accomplished"
"මාළු","accomplisher"
"මැටි","accomplishers"
"මැතිවරණ","accomplishes"
"මැද","accomplishing"
"මැනීම","accomplishment"
"මැයි","accomplishments"
"මැරෙනවා","accomplishment's"
"මෑත","accomplisht"
"මෑතකදී","accompt"
"මි.මී","accord"
"මිටිය","accordable"
"මිතුරා","accordance"
"මිත්යාවක්","accordances"
"මිත්ර","accordancy"
"මිත්රත්වය","accordant"
"මිත්රශීලී","accordantly"
"මිථ්යාව","accordatura"
"මිනිත්තුව","accordaturas"
"මිනිසා","accordature"
"මිනිසුන්","accorded"
"මිනිස්","accorder"
"මිනිහා","accorders"
"මිනීමරුවා","according"
"මිනුම්","accordingly"
"මිරිකන්න","accordion"
"මිල","accordionist"
"මිලදී","accordionists"
"මිලියන","accordions"
"මිශ්ර","accordion's"
"මිශ්රණය","accords"
"මිසයිල","accorporate"
"මිස්","accorporation"
"මිහිරි","accost"
"මීටර්","accostable"
"මීයා","accosted"
"මුඛය","accosting"
"මුදල","accosts"
"මුදල්","accouche"
"මුද්ද","accouchement"
"මුද්දර","accouchements"
"මුද්රාව","accoucheur"
"මුලදී","accoucheurs"
"මුලපිරීම","accoucheuse"
"මුලින්","accoucheuses"
"මුල්","accounsel"
"මුවා","account"
"මුස්ලිම්","accountability"
"මුහුණ","accountabilities"
"මුහුදු","accountable"
"මූර්ති","accountableness"
"මූල","accountably"
"මූලද්රව්යය","accountancy"
"මූලධර්මය","accountancies"
"මූලස්ථානය","accountant"
"මූලාශ්රය","accountants"
"මූලික","accountant's"
"මූල්ය","accountantship"
"මූසිකය","accounted"
"මෘගයා","accounter"
"මෘදු","accounters"
"මෘදුකාංග","accounting"
"මෙක්සිකානු","accountings"
"මෙතන","accountment"
"මෙනු","accountrement"
"මෙන්","accounts"
"මෙය","accouple"
"මෙලෙස","accouplement"
"මෙවලමක්","accourage"
"මෙහෙයුම","accourt"
"මෙහෙයුම්","accouter"
"මේ","accoutered"
"මේදය","accoutering"
"මේසය","accouterment"
"මේස්","accouterments"
"මොහොත","accouters"
"මොළය","accoutre"
"මෝටර්","accoutred"
"මෝඩ","accoutrement"
"මෝඩය","accoutrements"
"මෝඩයෙක්","accoutres"
"මෝරා","accoutring"
"මෝල්","Accoville"
"ම්ලේච්ඡ","ACCRA"
"යකඩ","accrease"
"යක්ෂයා","accredit"
"යටතේ","accreditable"
"යටිතල","accreditate"
"යටින්","accreditation"
"යතුර","accreditations"
"යථාර්ථය","accredited"
"යථාර්ථවාදී","accreditee"
"යන්තම්","accrediting"
"යන්ත්රය","accreditment"
"යන්න","accredits"
"යමක්","accrementitial"
"යවන්න","accrementition"
"යහන","accresce"
"යහපත්කම","accrescence"
"යහපැවැත්ම","accrescendi"
"යාච්ඤාව","accrescendo"
"යාත්රාව","accrescent"
"යාන්ත්රණය","accretal"
"යාන්ත්රික","accrete"
"යාලුවනේ","accreted"
"යාවත්කාලීන","accretes"
"යැපෙන","accreting"
"යුක්තිය","accretion"
"යුගය","accretionary"
"යුගල","accretions"
"යුතුය","accretion's"
"යුදෙව්","accretive"
"යුද්ධය","accriminate"
"යුරෝපා","Accrington"
"යුවළක්","accroach"
"යුෂ","accroached"
"යෙදවීම","accroaching"
"යෙදුම","accroachment"
"යොමුව","accroides"
"යෝග්යතාවය","accruable"
"යෝජනාව","accrual"
"යෝධ","accruals"
"යෞවනයා","accrue"
"රකුසා","accrued"
"රක්ෂණ","accruement"
"රක්ෂිතය","accruer"
"රචනය","accrues"
"රජ","accruing"
"රජය","ACCS"
"රජයේ","ACCT"
"රට","acct."
"රටකජු","accts"
"රටාව","accubation"
"රණශූරයා","accubita"
"රතු","accubitum"
"රන්","accubitus"
"රන්වන්","accueil"
"රයිෆලය","accultural"
"රවුම්","acculturate"
"රස","acculturated"
"රසකැවිලි","acculturates"
"රසය","acculturating"
"රසවත්","acculturation"
"රසායනාගාරය","acculturational"
"රසායනික","acculturationist"
"රසිකයෙක්","acculturative"
"රහසක්","acculturize"
"රළු","acculturized"
"රාක්කය","acculturizing"
"රාජකාරිය","accum"
"රාජකීය","accumb"
"රාජධානිය","accumbency"
"රාජාලියා","accumbent"
"රාජ්යතාන්ත්රික","accumber"
"රාජ්යය","accumulable"
"රාමුව","accumulate"
"රැකවරණය","accumulated"
"රැකියා","accumulates"
"රැකියාව","accumulating"
"රැජින","accumulation"
"රැඩිකල්","accumulations"
"රැඳවියා","accumulativ"
"රැලිය","accumulative"
"රැල්ල","accumulatively"
"රැස්වීම","accumulativeness"
"රෑ","accumulator"
"රෑපවාහිණි","accumulators"
"රිදී","accumulator's"
"රිදෙනවා","accupy"
"රිද්මය","accur"
"රියදුරු","accuracy"
"රුසියානු","accuracies"
"රූප","accurate"
"රූපක","accurately"
"රූපය","accurateness"
"රූපවාහිනිය","accuratenesses"
"රෙදි","accurre"
"රේඛාව","accurse"
"රේඩාර්","accursed"
"රොකට්","accursedly"
"රොබෝ","accursedness"
"රොමැන්ටික්","accursing"
"රෝගය","accurst"
"රෝගියා","accurtation"
"රෝදය","accus"
"රෝම","accusable"
"රෝස","accusably"
"රෝහල","accusal"
"ලකුණ","accusals"
"ලක්ෂණ","accusant"
"ලක්ෂණය","accusants"
"ලක්ෂ්යය","accusation"
"ලඝු","accusations"
"ලණුව","accusation's"
"ලතින්","accusatival"
"ලන්දේසි","accusative"
"ලබන්නා","accusative-dative"
"ලබාගන්න","accusatively"
"ලබාගන්නවා","accusativeness"
"ලස්සනයි","accusatives"
"ලාච්චුව","accusator"
"ලාභ","accusatory"
"ලාභයක්","accusatorial"
"ලැජ්ජයි","accusatorially"
"ලැප්ටොප්","accusatrix"
"ලැබෙනවා","accusatrixes"
"ලැයිස්තුව","accuse"
"ලිංගික","accused"
"ලිංගිකත්වය","accuser"
"ලිංගිකව","accusers"
"ලිපිකරු","accuses"
"ලිපිනය","accusing"
"ලිපිය","accusingly"
"ලිබරල්","accusive"
"ලියන්න","accusor"
"ලිහිල්","accustom"
"ලී","accustomation"
"ලීගය","accustomed"
"ලුණු","accustomedly"
"ලුතිනන්","accustomedness"
"ලුහුබැඳීම","accustoming"
"ලූනු","accustomize"
"ලූපය","accustomized"
"ලේ","accustomizing"
"ලේකම්","accustoms"
"ලේඛකයා","Accutron"
"ලේඛන","ACD"
"ලේඛනය","ACDA"
"ලේඛනාගාරය","AC-DC"
"ලේබලය","ACE"
"ලේසර්","acea"
"ලොකරය","aceacenaphthene"
"ලොක්කා","aceae"
"ලොබිය","acean"
"ලෝකය","aceanthrene"
"ලෝහ","aceanthrenequinone"
"ලෞකික","acecaffin"
"වංගුව","acecaffine"
"වංචාව","aceconitic"
"වංශකතාව","aced"
"වක්රය","acedy"
"වගඋත්තරකරු","acedia"
"වගකිව","acediamin"
"වගකීම","acediamine"
"වගකීමක්","acedias"
"වගන්තිය","acediast"
"වගවීම","ace-high"
"වගුව","Acey"
"වචනය","acey-deucy"
"වචනාර්ථයෙන්","aceite"
"වටිනා","aceituna"
"වටේ","Aceldama"
"වට්ටම්","aceldamas"
"වට්ටෝරුව","acellular"
"වඩදිය","Acemetae"
"වඩා","Acemetic"
"වතු","acemila"
"වත්කම","acenaphthene"
"වත්ත","acenaphthenyl"
"වත්මන්","acenaphthylene"
"වන","acenesthesia"
"වනජීවී","acensuada"
"වන්දි","acensuador"
"වඳුරා","acentric"
"වයඹ","acentrous"
"වයස","aceology"
"වයින්","aceologic"
"වයිරසය","aceous"
"වයෝවෘද්ධ","acephal"
"වරක්","Acephala"
"වරද","acephalan"
"වරදකරු","Acephali"
"වරදකාරිත්වය","acephalia"
"වරදක්","Acephalina"
"වරප්රසාද","acephaline"
"වරාය","acephalism"
"වරෙන්තුව","acephalist"
"වර්ගය","Acephalite"
"වර්ගීකරණය","acephalocyst"
"වර්ජනය","acephalous"
"වර්ණ","acephalus"
"වර්ණාවලිය","acepots"
"වර්තමාන","acequia"
"වර්ධනය","acequiador"
"වර්ෂය","acequias"
"වල","Acer"
"වලංගු","Aceraceae"
"වලංගුභාවය","aceraceous"
"වලහා","Acerae"
"වලාකුළු","Acerata"
"වලිගය","acerate"
"වල්","acerated"
"වල්පැලෑටි","Acerates"
"වවුලා","acerathere"
"වසන්තය","Aceratherium"
"වසම්","aceratosis"
"වස්තුව","acerb"
"වහලය","Acerbas"
"වහලෙක්","acerbate"
"වහල්භාවය","acerbated"
"වහාම","acerbates"
"වළ","acerbating"
"වළකින්න","acerber"
"වළක්වන්න","acerbest"
"වළලන්න","acerbic"
"වළලුකර","acerbically"
"වාක්යය","acerbity"
"වාචාලකම","acerbityacerose"
"වාචික","acerbities"
"වාඩිලාගන්න","acerbitude"
"වාණිජ","acerbly"
"වායුගෝලය","acerbophobia"
"වාරය","acerdol"
"වාරික","aceric"
"වාර්ගික","acerin"
"වාර්තා","acerli"
"වාර්තාකරු","acerola"
"වාර්තාමය","acerolas"
"වාර්තාව","acerose"
"වාර්ෂික","acerous"
"වාර්ෂිකව","acerra"
"වාෂ්ප","acers"
"වාසනාව","acertannin"
"වාසනාවකට","acerval"
"වාසනාවන්තයි","acervate"
"වාසස්ථානය","acervately"
"වාසිය","acervatim"
"වාහකය","acervation"
"වාහන","acervative"
"වැගිරෙනවා","acervose"
"වැට","acervuli"
"වැටුප","acervuline"
"වැටුප්","acervulus"
"වැටෙනවා","aces"
"වැඩමුළුව","ace's"
"වැඩසටහන","acescence"
"වැඩසටහන්කරණය","acescency"
"වැඩිමහල්","acescent"
"වැඩිහිටි","acescents"
"වැදගත්","aceship"
"වැදගත්කම","Acesius"
"වැම්පයර්","acesodyne"
"වැරදි","acesodynous"
"වැරැද්ද","Acessamenus"
"වැලමිට","Acestes"
"වැලි","acestoma"
"වැසිකිළිය","acet-"
"වැස්ස","aceta"
"වැළඳගන්න","acetable"
"වැළැක්වීම","acetabula"
"වෑන්","acetabular"
"විකට","Acetabularia"
"විකල්ප","acetabuliferous"
"විකල්පය","acetabuliform"
"විකාර","acetabulous"
"විකාර","acetabulum"
"විකාරය","acetabulums"
"විකාශනය","acetacetic"
"විකාශය","acetal"
"විකිණීමට","acetaldehydase"
"විකිරණ","acetaldehyde"
"විකුණනවා","acetaldehydrase"
"වික්රියා","acetaldol"
"විචලනය","acetalization"
"විචල්ය","acetalize"
"විචාරක","acetals"
"විඥානය","acetamid"
"විටමින්","acetamide"
"විත්තිකරු","acetamidin"
"විදුලි","acetamidine"
"විදුහල","acetamido"
"විදුහල්පති","acetamids"
"විදේශ","acetaminol"
"විද්යාඥයා","Acetaminophen"
"විද්යාත්මක","acetanilid"
"විද්යාව","acetanilide"
"විද්යුත්","acetanion"
"විධානය","acetaniside"
"විධායක","acetanisidide"
"විධිමත්","acetanisidine"
"විධිවිධානය","acetannin"
"විනය","acetary"
"විනාශය","acetarious"
"විනිශ්චය","acetars"
"විනීත","acetarsone"
"විනෝද","acetate"
"විනෝදාස්වාදය","acetated"
"විපක්ෂ","acetates"
"විප්ලවය","acetation"
"විප්ලවවාදී","acetazolamide"
"විභව","acetbromamide"
"විභවය","acetenyl"
"විභාගය","Acetes"
"විභේදනය","acethydrazide"
"විමර්ශනය","acetiam"
"විමෝචනය","acetic"
"විය","acetify"
"වියදම්","acetification"
"වියළි","acetified"
"වියුක්ත","acetifier"
"විරාමයක්","acetifies"
"විරැකියාව","acetifying"
"විරෝධතාකරු","acetyl"
"විරෝධය","acetylacetonates"
"විල","acetylacetone"
"විලාසිතා","acetylamine"
"විලුඹ","acetylaminobenzene"
"විලෝපිකයා","acetylaniline"
"විවරණ","acetylasalicylic"
"විවාදය","acetylate"
"විවාහ","acetylated"
"විවාහකයි","acetylating"
"විවිධ","acetylation"
"විවිධත්වය","acetylative"
"විවෘත","acetylator"
"විවෘතව","acetylbenzene"
"විවේකය","acetylbenzoate"
"විවේචනය","acetylbenzoic"
"විවේචනාත්මක","acetylbiuret"
"විශාරදයා","acetylcarbazole"
"විශාල","acetylcellulose"
"විශාලත්වය","acetylcholine"
"විශාලයි","acetylcholinesterase"
"විශිෂ්ටයි","acetylcholinic"
"විශේෂ","acetylcyanide"
"විශේෂඥ","acetylenation"
"විශේෂඥතාව","acetylene"
"විශේෂයෙන්","acetylenediurein"
"විශේෂයෙන්ම","acetylenes"
"විශේෂාංගය","acetylenic"
"විශේෂිත","acetylenyl"
"විශ්ලේෂක","acetylenogen"
"විශ්ලේෂණය","acetylfluoride"
"විශ්වය","acetylglycin"
"විශ්වවිද්යාල","acetylglycine"
"විශ්වසනීය","acetylhydrazine"
"විශ්වසනීයත්වය","acetylic"
"විශ්වාසය","acetylid"
"විශ්වාසයි","acetylide"
"විශ්වාසවන්ත","acetyliodide"
"විශ්වීය","acetylizable"
"විෂය","acetylization"
"විසඳන්න","acetylize"
"විසඳුමක්","acetylized"
"විසිතුරු","acetylizer"
"විසින්","acetylizing"
"විසිරෙනවා","acetylmethylcarbinol"
"විස්තර","acetylperoxide"
"විස්තරාත්මක","acetylphenylhydrazine"
"විස්තීරණ","acetylphenol"
"විස්මිත","acetylrosaniline"
"විස්සක්","acetyls"
"විහිළුවක්","acetylsalicylate"
"වීඩියෝ","acetylsalicylic"
"වීදිය","acetylsalol"
"වීදුරු","acetyltannin"
"වීම","acetylthymol"
"වීරයා","acetyltropeine"
"වෘකයා","acetylurea"
"වෘත්තිකයා","acetimeter"
"වෘත්තිය","acetimetry"
"වෘත්තීය","acetimetric"
"වෙත","acetin"
"වෙනත්","acetine"
"වෙනම","acetins"
"වෙනස","acetite"
"වෙනස්","acetize"
"වෙනුවට","acetla"
"වෙනුවෙන්","acetmethylanilide"
"වෙන්ව","acetnaphthalide"
"වෙන්වීම","aceto-"
"වෙබ්","acetoacetanilide"
"වෙරළ","acetoacetate"
"වෙරළබඩ","acetoacetic"
"වෙලාව","acetoamidophenol"
"වෙළඳ","acetoarsenite"
"වෙළඳපොළ","Acetobacter"
"වෙළඳාම","acetobenzoic"
"වෙළෙන්දා","acetobromanilide"
"වේගය","acetochloral"
"වේගයෙන්","acetocinnamene"
"වේගවත්","acetoin"
"වේදනාකාරී","acetol"
"වේදනාව","acetolysis"
"වේදිකාව","acetolytic"
"වෛද්ය","acetometer"
"වෛද්යවරයා","acetometry"
"වෛද්යවරයෙක්","acetometric"
"වෛරය","acetometrical"
"වොව්","acetometrically"
"ව්යතිරේක","acetomorphin"
"ව්යවසාය","acetomorphine"
"ව්යවසායකයා","acetonaemia"
"ව්යවස්ථාදායකය","acetonaemic"
"ව්යවස්ථාපිත","acetonaphthone"
"ව්යවස්ථාව","acetonate"
"ව්යසනය","acetonation"
"ව්යාකූලත්වය","acetone"
"ව්යාජ","acetonemia"
"ව්යාපාරික","acetonemic"
"ව්යාපාරිකයා","acetones"
"ව්යාපෘතිය","acetonic"
"ව්යායාම","acetonyl"
"ව්යායාමය","acetonylacetone"
"ව්යුත්පන්න","acetonylidene"
"ව්යුහය","acetonitrile"
"ව්යුහාත්මක","acetonization"
"ශක්තිමත්","acetonize"
"ශක්තිය","acetonuria"
"ශක්ය","acetonurometer"
"ශත","acetophenetide"
"ශබ්දය","acetophenetidin"
"ශබ්දාගාර","acetophenetidine"
"ශාක","acetophenin"
"ශාඛාව","acetophenine"
"ශාලාව","acetophenone"
"ශාස්ත්රීය","acetopiperone"
"ශිල්ප","acetopyrin"
"ශිෂ්ටාචාරය","acetopyrine"
"ශිෂ්ය","acetosalicylic"
"ශිෂ්යත්වය","acetose"
"ශීර්ෂය","acetosity"
"ශුද්ධ","acetosoluble"
"ශුන්ය","acetostearin"
"ශුභාරංචිය","acetothienone"
"ශූරතාවය","acetotoluid"
"ශූරයා","acetotoluide"
"ශේෂය","acetotoluidine"
"ශෛලිය","acetous"
"ශෝකය","acetoveratrone"
"ශ්රේණියේ","acetoxyl"
"ෂටලය","acetoxyls"
"ෂෙරිෆ්","acetoxim"
"සංකල්පය","acetoxime"
"සංකීර්ණ","acetoxyphthalide"
"සංකීර්ණත්වය","acetphenetid"
"සංකේතය","acetphenetidin"
"සංක්රමණය","acetract"
"සංක්‍රමණය","acettoluide"
"සංක්රමණික","acetum"
"සංඛ්යාතය","aceturic"
"සංඛ්යානමය","ACF"
"සංගණනය","ACGI"
"සංගමය","ac-globulin"
"සංගීත","ACH"
"සංගීතඥයා","Achab"
"සංචාරක","Achad"
"සංචාරකයා","Achaea"
"සංචාරය","Achaean"
"සංචිතය","Achaemenes"
"සංජානනය","Achaemenian"
"සංජානනීය","Achaemenid"
"සංඥාව","Achaemenidae"
"සංත්රාසය","Achaemenides"
"සංයුතිය","Achaemenidian"
"සංයෝගය","Achaemenids"
"සංයෝජනය","achaenocarp"
"සංරක්ෂණ","Achaenodon"
"සංරක්ෂණය","Achaeta"
"සංරචකය","achaetous"
"සංවත්සරය","Achaeus"
"සංවර්ධක","achafe"
"සංවර්ධනයක්","achage"
"සංවර්ධනාත්මක","Achagua"
"සංවාදය","Achaia"
"සංවිධානය","Achaian"
"සංවේදකය","Achakzai"
"සංවේදනය","achalasia"
"සංවේදී","Achamoth"
"සංවේදීතාව","Achan"
"සංශෝධනය","Achango"
"සංසිද්ධිය","achape"
"සංස්කරණය","achaque"
"සංස්කෘතික","achar"
"සංස්කෘතිය","acharya"
"සංස්ථා","Achariaceae"
"සගයා","Achariaceous"
"සඟරාව","acharne"
"සඟවන්න","acharnement"
"සජීවි","Acharnians"
"සටන","achate"
"සටන්","Achates"
"සටන්කාමියා","Achatina"
"සටහන","Achatinella"
"සතිපතා","Achatinidae"
"සතිය","achatour"
"සතුට","Achaz"
"සතුටක්","ache"
"සතුටින්","acheat"
"සතුටු","achech"
"සතුටුයි","acheck"
"සතුය","ached"
"සතුරා","acheer"
"සතුරු","ACHEFT"
"සත්කාරක","acheilary"
"සත්යය","acheilia"
"සත්ව","acheilous"
"සත්වයා","acheiria"
"සදහටම","acheirous"
"සදහා","acheirus"
"සදාකාලික","Achelous"
"සදාචාරය","Achen"
"සදාචාරාත්මක","achene"
"සන්තකයේ","achenes"
"සන්දර්භය","achenia"
"සන්ධානය","achenial"
"සන්නද්ධ","achenium"
"සන්නිවේදන","achenocarp"
"සන්නිවේදනය","achenodia"
"සන්සුන්","achenodium"
"සඳ","acher"
"සඳුදා","Acherman"
"සපත්තු","Achernar"
"සපයන්නා","Acheron"
"සබන්","Acheronian"
"සබැඳිය","Acherontic"
"සභා","Acherontical"
"සභාගය","aches"
"සභාපති","Acheson"
"සම","achesoun"
"සමකාලීන","achete"
"සමග","Achetidae"
"සමගිය","Acheulean"
"සමත්","Acheulian"
"සමපේක්ෂනය","acheweed"
"සමය","achy"
"සමරනවා","achier"
"සමලිංගික","achiest"
"සමස්ත","achievability"
"සමහර","achievable"
"සමහරක්","achieve"
"සමහරවිට","achieved"
"සමාගම","achievement"
"සමාජ","achievements"
"සමාජය","achievement's"
"සමාන","achiever"
"සමානකම","achievers"
"සමානව","achieves"
"සමානාත්මතාවය","achieving"
"සමානුපාතිකය","ach-y-fi"
"සමාලෝචනය","achigan"
"සමාවන්න","achilary"
"සමාවෙන්න","achylia"
"සමිඳාණන්","Achill"
"සමීකරණය","Achille"
"සමීප","Achillea"
"සමීපයි","Achillean"
"සමීපව","achilleas"
"සමුගන්නවා","Achilleid"
"සමුද්ර","achillein"
"සමුලුව","achilleine"
"සමූහය","Achilles"
"සම්","Achillize"
"සම්පත","achillobursitis"
"සම්පූර්ණ","achillodynia"
"සම්පූර්ණයි","achilous"
"සම්පූර්ණයෙන්ම","achylous"
"සම්ප්රදාය","Achimaas"
"සම්ප්රදායික","achime"
"සම්ප්රදායිකව","Achimelech"
"සම්බන්ධ","Achimenes"
"සම්බන්ධතාවය","achymia"
"සම්බන්ධය","achymous"
"සම්බන්ධයි","Achinese"
"සම්බන්ධයෙන්","achiness"
"සම්බන්ධීකාරක","achinesses"
"සම්බාධක","aching"
"සම්භවය","achingly"
"සම්භාවිතාව","achiote"
"සම්භාව්ය","achiotes"
"සම්මත","achira"
"සම්මතය","Achyranthes"
"සම්මන්ත්රණය","achirite"
"සම්මානය","Achyrodes"
"සම්මුතිය","Achish"
"සම්මුතියක්","Achitophel"
"සම්මේලනය","achkan"
"සම්ෙපේෂණය","achlamydate"
"සරණාගතයා","Achlamydeae"
"සරඹ","achlamydeous"
"සරල","achlorhydria"
"සරලවම","achlorhydric"
"සරාගී","achlorophyllous"
"සර්","achloropsia"
"සර්පයා","achluophobia"
"සලකනවා","Achmed"
"සලකන්න","Achmetha"
"සලකුණ","achoke"
"සලාද","acholia"
"සවන්දෙන්නා","acholias"
"සවස","acholic"
"සවිඥානිකයි","Acholoe"
"සහ","acholous"
"සහ/හෝ","acholuria"
"සහකරු","acholuric"
"සහකාර","Achomawi"
"සහකාරිය","achondrite"
"සහතිකය","achondritic"
"සහන","achondroplasia"
"සහනය","achondroplastic"
"සහනාධාරය","achoo"
"සහභාගිකයා","achor"
"සහභාගීත්වය","achordal"
"සහයෝගයෙන්","Achordata"
"සහයෝගීතාව","achordate"
"සහල්","Achorion"
"සහසම්බන්ධය","Achorn"
"සහාය","Achras"
"සහායකයා","achree"
"සහෝදර","achroacyte"
"සහෝදරයා","Achroanthes"
"සහෝදරිය","achrodextrin"
"සාකච්ඡා","achrodextrinase"
"සාකච්ඡාව","achroglobin"
"සාක්කුව","achroiocythaemia"
"සාක්ෂරතාව","achroiocythemia"
"සාක්ෂි","achroite"
"සාක්ෂිකරු","achroma"
"සාක්ෂිය","achromacyte"
"සාගරය","achromasia"
"සාදන්නා","achromat"
"සාධකය","achromat-"
"සාධාරණ","achromate"
"සාධාරණත්වය","Achromatiaceae"
"සාන්තුවරයා","achromatic"
"සාන්ද්රණය","achromatically"
"සාපේක්ෂ","achromaticity"
"සාපේක්ෂව","achromatin"
"සාමකාමී","achromatinic"
"සාමය","achromatisation"
"සාමාජික","achromatise"
"සාමාජිකත්වය","achromatised"
"සාමාන්ය","achromatising"
"සාමාන්යය","achromatism"
"සාමාන්යයෙන්","Achromatium"
"සාමූහික","achromatizable"
"සාම්ප්රදායික","achromatization"
"සායක්","achromatize"
"සායනය","achromatized"
"සායනික","achromatizing"
"සාරය","achromatocyte"
"සාරාංශය","achromatolysis"
"සාර්ථක","achromatope"
"සාර්ථකත්වය","achromatophil"
"සාර්ථකව","achromatophile"
"සාහිත්යමය","achromatophilia"
"සාහිත්යය","achromatophilic"
"සැකකරු","achromatopia"
"සැකය","achromatopsy"
"සැකසීම","achromatopsia"
"සැණෙළිය","achromatosis"
"සැතපුම්","achromatous"
"සැත්කම්","achromats"
"සැනසීම","achromaturia"
"සැන්ඩ්විච්","achromia"
"සැපයුම","achromic"
"සැප්තැම්බර්","Achromycin"
"සැබෑ","Achromobacter"
"සැමන්","Achromobacterieae"
"සැමරුම","achromoderma"
"සැමවිටම","achromophilous"
"සැරයටිය","achromotrichia"
"සැරයන්","achromous"
"සැරිය","achronical"
"සැලකිලිමත්","achronychous"
"සැලසුම්","achronism"
"සැලැස්ම","achroo-"
"සැසඳීම","achroodextrin"
"සැහැල්ලුවෙන්","achroodextrinase"
"සෑම","achroous"
"සිංදුව","achropsia"
"සිංහයා","Achsah"
"සිංහාසනය","achtehalber"
"සිකුරාදා","achtel"
"සිගරට්","achtelthaler"
"සිට","achter"
"සිටීම","achterveld"
"සිතමින්","Achuas"
"සිතියම","achuete"
"සිදුවීම","acy"
"සිදුවේ","acyanoblepsia"
"සිද්ධිය","acyanopsia"
"සිනහව","acichlorid"
"සිනිඳුයි","acichloride"
"සින්ඩ්රෝම්","acyclic"
"සියයක්","acyclically"
"සියයට","acicula"
"සියල්ල","aciculae"
"සියවස","acicular"
"සියළු","acicularity"
"සියුම්","acicularly"
"සිරකරුවා","aciculas"
"සිරියානු","aciculate"
"සිරුර","aciculated"
"සිල්ලර","aciculum"
"සිවිලිම","aciculums"
"සිවිල්","acid"
"සිව්","acidaemia"
"සිසිල්","Acidalium"
"සිහින","Acidanthera"
"සිහින්","Acidaspis"
"සීතල","acid-binding"
"සීනි","acidemia"
"සීනුව","acidemias"
"සීමාව","acider"
"සීමිතයි","acid-fast"
"සීයා","acid-fastness"
"සීරීම","acid-forming"
"සුදු","acidhead"
"සුදුමැලි","acid-head"
"සුදුසු","acidheads"
"සුදුසුයි","acidy"
"සුදුළුනු","acidic"
"සුපිරි","acidiferous"
"සුපුරුදු","acidify"
"සුප්","acidifiable"
"සුබසාධන","acidifiant"
"සුභවාදී","acidific"
"සුරකින්න","acidification"
"සුරතල්","acidified"
"සුවඳ","acidifier"
"සුවපහසුයි","acidifiers"
"සුළඟ","acidifies"
"සුළු","acidifying"
"සුළුතරය","acidyl"
"සූත්රය","acidimeter"
"සූදානම්","acidimetry"
"සූර්ය","acidimetric"
"සෘජු","acidimetrical"
"සෘජුවම","acidimetrically"
"සෘණ","acidite"
"සෙනඟ","acidity"
"සෙනසුරාදා","acidities"
"සෙමින්","acidize"
"සෙවන","acidized"
"සෙවනැල්ල","acidizing"
"සේද","acidly"
"සේදීම","acidness"
"සේවකයා","acidnesses"
"සේවය","acidogenic"
"සේවාදායකය","acidoid"
"සේවාදායකයා","acidolysis"
"සේවායෝජකයා","acidology"
"සේවාව","acidometer"
"සෛලය","acidometry"
"සොඳුරිය","acidophil"
"සොයන්න","acidophile"
"සොයාගත්තා","acidophilic"
"සොයාගන්න","acidophilous"
"සොයාගැනීම","acidophilus"
"සොරකම","acidoproteolytic"
"සොලවන්න","acidoses"
"සොල්දාදුවා","acidosis"
"සොහොන්","acidosteophyte"
"සෝඩා","acidotic"
"සෝඩියම්","acidproof"
"සෝපානය","acids"
"සෝලිය","acid-treat"
"සෝවියට්","acidulant"
"සෝස්","acidulate"
"සෞඛ්යය","acidulated"
"ස්කන්ධය","acidulates"
"ස්කී","acidulating"
"ස්කෝර්","acidulation"
"ස්ටීක්","acidulent"
"ස්තුතියි","acidulous"
"ස්ථරය","acidulously"
"ස්ථානය","acidulousness"
"ස්ථාපන","aciduria"
"ස්ථාවර","acidurias"
"ස්ථාවරත්වය","aciduric"
"ස්ථාවරය","Acie"
"ස්ථිර","acier"
"ස්ථිරයි","acierage"
"ස්නානය","Acieral"
"ස්නායු","acierate"
"ස්පන්දනය","acierated"
"ස්පාඤ්ඤ","acierates"
"ස්ඵටික","acierating"
"ස්මාරකය","acieration"
"ස්ලයිඩය","acies"
"ස්වදේශික","acyesis"
"ස්වභාවය","acyetic"
"ස්වභාවිකව","aciform"
"ස්වයං","acyl"
"ස්වයංක්රීය","acylal"
"ස්වයංක්‍රීය","acylamido"
"ස්වයංක්රීයව","acylamidobenzene"
"ස්වරය","acylamino"
"ස්වර්ගය","acylase"
"ස්වාධීන","acylate"
"ස්වාභාවික","acylated"
"ස්වාමිපුරුෂයා","acylates"
"ස්වාමියා","acylating"
