"Marathi","English"
"मज्जातंतू","accusants"
"मत","accusation"
"मतदान","accusations"
"मतदार","accusation's"
"मतपत्रिका","accusatival"
"मताधिकार","accusative"
"मत्सर","accusative-dative"
"मथळा","accusatively"
"मदत","accusativeness"
"मध","accusatives"
"मधमाशी","accusator"
"मधुमेह","accusatory"
"मध्य","accusatorial"
"मध्यम","accusatorially"
"मध्यरात्री","accusatrix"
"मध्यवर्ती","accusatrixes"
"मध्यांतर","accuse"
"मध्ये","accused"
"मन","accuser"
"मनगट","accusers"
"मना","accuses"
"मनोरंजक","accusing"
"मनोरंजन","accusingly"
"मरणे","accusive"
"मर्यादा","accusor"
"मर्यादित","accustom"
"मलई","accustomation"
"मशीन","accustomed"
"मसुदा","accustomedly"
"महत्त्व","accustomedness"
"महत्प्रयासाने","accustoming"
"महत्वाकांक्षा","accustomize"
"महत्वाकांक्षी","accustomized"
"महत्वाचा","accustomizing"
"महत्वाचे","accustoms"
"महसूल","Accutron"
"महाग","ACD"
"महागाई","ACDA"
"महान","AC-DC"
"महापौर","ACE"
"महामंडळ","acea"
"महामार्ग","aceacenaphthene"
"महासागर","aceae"
"महिना","acean"
"मांजर","aceanthrene"
"मांडी","aceanthrenequinone"
"मांस","acecaffin"
"माउंट","acecaffine"
"माकड","aceconitic"
"माग","aced"
"मागणी","acedy"
"मागील","acedia"
"मागे","acediamin"
"माजी","acediamine"
"माझे","acedias"
"माणूस","acediast"
"मात","ace-high"
"माती","Acey"
"माध्यमातून","acey-deucy"
"मान","aceite"
"मानक","aceituna"
"मानणे","Aceldama"
"मानव","aceldamas"
"मानवता","acellular"
"मानसशास्त्र","Acemetae"
"मानसशास्त्रज्ञ","Acemetic"
"मानसिक","acemila"
"मानसिकरित्या","acenaphthene"
"मान्यता","acenaphthenyl"
"माफी","acenaphthylene"
"मारणे","acenesthesia"
"मार्कर","acensuada"
"मार्ग","acensuador"
"मार्गदर्शक","acentric"
"मार्गदर्शन","acentrous"
"मार्च","aceology"
"मालक","aceologic"
"मालकी","aceous"
"मालमत्ता","acephal"
"मालिका","Acephala"
"मासिक","acephalan"
"मासे","Acephali"
"मासेमारी","acephalia"
"मास्टर","Acephalina"
"माहित","acephaline"
"माहिती","acephalism"
"माहितीपट","acephalist"
"मिठी","Acephalite"
"मित्र","acephalocyst"
"मिथक","acephalous"
"मिनिट","acephalus"
"मिमी","acepots"
"मिमी-हम्म","acequia"
"मिरपूड","acequiador"
"मिळवणे","acequias"
"मिळवा","Acer"
"मिशन","Aceraceae"
"मिश्र","aceraceous"
"मिश्रण","Acerae"
"मिष्टान्न","Acerata"
"मिसळा","acerate"
"मी","acerated"
"मीटर","Acerates"
"मीठ","acerathere"
"मीडिया","Aceratherium"
"मुका","aceratosis"
"मुकुट","acerb"
"मुक्तपणे","Acerbas"
"मुखवटा","acerbate"
"मुख्य","acerbated"
"मुख्यपृष्ठ","acerbates"
"मुख्यालय","acerbating"
"मुठी","acerber"
"मुत्सद्दी","acerbest"
"मुदत","acerbic"
"मुद्दाम","acerbically"
"मुद्रांक","acerbity"
"मुलगा","acerbityacerose"
"मुलगी","acerbities"
"मुलाखत","acerbitude"
"मुळ","acerbly"
"मुळात","acerbophobia"
"मुसलमान","acerdol"
"मूठभर","aceric"
"मूड","acerin"
"मूर्ख","acerli"
"मूर्खपणा","acerola"
"मूल","acerolas"
"मूलत:","acerose"
"मूलतः","acerous"
"मूलभूत","acerra"
"मूल्य","acers"
"मूल्यमापन","acertannin"
"मूल्यांकन","acerval"
"मूळ","acervate"
"मृत","acervately"
"मृत्युपत्र","acervatim"
"मृत्यू","acervation"
"मे","acervative"
"मेंढ्या","acervose"
"मेंदू","acervuli"
"मेकअप","acervuline"
"मेकॅनिक","acervulus"
"मेक्सिकन","aces"
"मेणबत्ती","ace's"
"मेदयुक्त","acescence"
"मेनू","acescency"
"मेल","acescent"
"मेळावा","acescents"
"मैत्री","aceship"
"मैत्रीण","Acesius"
"मैत्रीपूर्ण","acesodyne"
"मैफिल","acesodynous"
"मैल","Acessamenus"
"मॉडेल","Acestes"
"मॉनिटर","acestoma"
"मॉल","acet-"
"मोकळेपणाने","aceta"
"मोजणे","acetable"
"मोजमाप","acetabula"
"मोजे","acetabular"
"मोटर","Acetabularia"
"मोठा","acetabuliferous"
"मोठे","acetabuliform"
"मोड","acetabulous"
"मोबाईल","acetabulum"
"मोहक","acetabulums"
"मोहिनी","acetacetic"
"मोहीम","acetal"
"मौल्यवान","acetaldehydase"
"म्हणा","acetaldehyde"
"म्हणून","acetaldehydrase"
"यंत्रणा","acetaldol"
"यकृत","acetalization"
"यजमान","acetalize"
"यश","acetals"
"यशस्वी","acetamid"
"यशस्वीरित्या","acetamide"
"या","acetamidin"
"यांच्यातील","acetamidine"
"यांत्रिक","acetamido"
"याचिका","acetamids"
"यादी","acetaminol"
"यादृच्छिक","Acetaminophen"
"यापुढे","acetanilid"
"यार्ड","acetanilide"
"याव्यतिरिक्त","acetanion"
"याशिवाय","acetaniside"
"युक्तिवाद","acetanisidide"
"युक्ती","acetanisidine"
"युग","acetannin"
"युती","acetary"
"युद्ध","acetarious"
"युनिट","acetars"
"युरोपियन","acetarsone"
"येणाऱ्या","acetate"
"येणे","acetated"
"येथे","acetates"
"योगदान","acetation"
"योगदानकर्ता","acetazolamide"
"योग्य","acetbromamide"
"योग्यता","acetenyl"
"योग्यरित्या","Acetes"
"योजना","acethydrazide"
"योद्धा","acetiam"
"रँक","acetic"
"रँकिंग","acetify"
"रंग","acetification"
"रक्कम","acetified"
"रक्त","acetifier"
"रक्तरंजित","acetifies"
"रक्तस्त्राव","acetifying"
"रक्षक","acetyl"
"रचना","acetylacetonates"
"रडणे","acetylacetone"
"रडार","acetylamine"
"रविवार","acetylaminobenzene"
"रशियन","acetylaniline"
"रस","acetylasalicylic"
"रसायनशास्त्र","acetylate"
"रस्ता","acetylated"
"रहदारी","acetylating"
"रहस्य","acetylation"
"रहस्यमय","acetylative"
"रहिवासी","acetylator"
"राक्षस","acetylbenzene"
"राख","acetylbenzoate"
"राखणे","acetylbenzoic"
"राखाडी","acetylbiuret"
"राखीव","acetylcarbazole"
"राग","acetylcellulose"
"राजकारण","acetylcholine"
"राजकारणी","acetylcholinesterase"
"राजकीय","acetylcholinic"
"राजकीयदृष्ट्या","acetylcyanide"
"राजकुमार","acetylenation"
"राजकुमारी","acetylene"
"राजदूत","acetylenediurein"
"राजवाडा","acetylenes"
"राजा","acetylenic"
"राजीनामा","acetylenyl"
"राजेशाही","acetylenogen"
"राज्य","acetylfluoride"
"राज्यपाल","acetylglycin"
"राणी","acetylglycine"
"रात्री","acetylhydrazine"
"रायफल","acetylic"
"राष्ट्र","acetylid"
"राष्ट्रीय","acetylide"
"रासायनिक","acetyliodide"
"राहणे","acetylizable"
"राहतात","acetylization"
"राहा","acetylize"
"रिंगण","acetylized"
"रिकामे","acetylizer"
"रिक्त","acetylizing"
"रिज","acetylmethylcarbinol"
"रिसॉर्ट","acetylperoxide"
"रुंद","acetylphenylhydrazine"
"रुग्ण","acetylphenol"
"रुग्णालय","acetylrosaniline"
"रुपांतर","acetyls"
"रूपक","acetylsalicylate"
"रूपांतर","acetylsalicylic"
"रूपांतरण","acetylsalol"
"रॅक","acetyltannin"
"रॅली","acetylthymol"
"रेखाचित्र","acetyltropeine"
"रेटिंग","acetylurea"
"रेडिएशन","acetimeter"
"रेडिओ","acetimetry"
"रेणू","acetimetric"
"रेल्वे","acetin"
"रेल्वेमार्ग","acetine"
"रेशीम","acetins"
"रॉकेट","acetite"
"रॉड","acetize"
"रोख","acetla"
"रोगप्रतिकारक","acetmethylanilide"
"रोज","acetnaphthalide"
"रोजगार","aceto-"
"रोबोट","acetoacetanilide"
"रोमँटिक","acetoacetate"
"रोमन","acetoacetic"
"रोमांचक","acetoamidophenol"
"रोल","acetoarsenite"
"रोलिंग","Acetobacter"
"लँडस्केप","acetobenzoic"
"लँडिंग","acetobromanilide"
"लकीर","acetochloral"
"लक्ष","acetocinnamene"
"लक्षणं","acetoin"
"लक्षणीय","acetol"
"लक्ष्य","acetolysis"
"लगेच","acetolytic"
"लग्न","acetometer"
"लघवी","acetometry"
"लढा","acetometric"
"लढाई","acetometrical"
"लढाऊ","acetometrically"
"लपलेले","acetomorphin"
"लपवा","acetomorphine"
"लपेटणे","acetonaemia"
"लबाड","acetonaemic"
"लवकर","acetonaphthone"
"लवकरच","acetonate"
"लवचिक","acetonation"
"लवचिकता","acetone"
"लष्करी","acetonemia"
"लस","acetonemic"
"लसूण","acetones"
"लहान","acetonic"
"लांडगा","acetonyl"
"लांब","acetonylacetone"
"लांबी","acetonylidene"
"लाकडी","acetonitrile"
"लाकूड","acetonization"
"लाज","acetonize"
"लाजाळू","acetonuria"
"लाजिरवाणे","acetonurometer"
"लाट","acetophenetide"
"लादणे","acetophenetidin"
"लायब्ररी","acetophenetidine"
"लाल","acetophenin"
"लिंग","acetophenine"
"लिंबू","acetophenone"
"लिफाफा","acetopiperone"
"लिफ्ट","acetopyrin"
"लिहा","acetopyrine"
"लिहिलेले","acetosalicylic"
"लीग","acetose"
"लुटणे","acetosity"
"लॅटिन","acetosoluble"
"लॅप","acetostearin"
"लॅपटॉप","acetothienone"
"लेक","acetotoluid"
"लेख","acetotoluide"
"लेखक","acetotoluidine"
"लेखन","acetous"
"लेखा","acetoveratrone"
"लेन","acetoxyl"
"लेन्स","acetoxyls"
"लेफ्टनंट","acetoxim"
"लेबल","acetoxime"
"लेसर","acetoxyphthalide"
"लैंगिक","acetphenetid"
"लैंगिकदृष्ट्या","acetphenetidin"
"लॉकर","acetract"
"लॉग","acettoluide"
"लॉन","acetum"
"लॉबी","aceturic"
"लोक","ACF"
"लोकप्रिय","ACGI"
"लोकप्रियता","ac-globulin"
"लोकशाही","ACH"
"लोकसंख्या","Achab"
"लोकसंख्याशास्त्रीय","Achad"
"लोखंड","Achaea"
"लोणी","Achaean"
"वंशवाद","Achaemenes"
"वकील","Achaemenian"
"वक्तृत्व","Achaemenid"
"वक्र","Achaemenidae"
"वगळता","Achaemenides"
"वगळा","Achaemenidian"
"वचन","Achaemenids"
"वचनबद्ध","achaenocarp"
"वचनबद्धता","Achaenodon"
"वजन","Achaeta"
"वटवाघूळ","achaetous"
"वडील","Achaeus"
"वतीने","achafe"
"वधू","achage"
"वन","Achagua"
"वनस्पती","Achaia"
"वन्यजीव","Achaian"
"वय","Achakzai"
"वर","achalasia"
"वरवर","Achamoth"
"वरिष्ठ","Achan"
"वरील","Achango"
"वर्ग","achape"
"वर्गीकरण","achaque"
"वर्चस्व","achar"
"वर्ण","acharya"
"वर्णद्वेषी","Achariaceae"
"वर्णन","Achariaceous"
"वर्तणूक","acharne"
"वर्तन","acharnement"
"वर्तमान","Acharnians"
"वर्तुळ","achate"
"वर्धापनदिन","Achates"
"वर्ष","Achatina"
"वळण","Achatinella"
"वसाहत","Achatinidae"
"वस्तुमान","achatour"
"वस्तुस्थिती","Achaz"
"वस्तू","ache"
"वांशिक","acheat"
"वाइन","achech"
"वाईट","acheck"
"वाईटरित्या","ached"
"वाकणे","acheer"
"वाक्य","ACHEFT"
"वाक्यांश","acheilary"
"वागणे","acheilia"
"वाघ","acheilous"
"वाचक","acheiria"
"वाचन","acheirous"
"वाचलेला","acheirus"
"वाचा","Achelous"
"वाजले","Achen"
"वाजवी","achene"
"वाटते","achenes"
"वाटाघाटी","achenia"
"वाटी","achenial"
"वाढ","achenium"
"वाढणे","achenocarp"
"वाढत्या","achenodia"
"वाढदिवस","achenodium"
"वाढले","acher"
"वाढवणे","Acherman"
"वाढविण्यासाठी","Achernar"
"वाणिज्य","Acheron"
"वातावरण","Acheronian"
"वाद","Acherontic"
"वादग्रस्त","Acherontical"
"वादळ","aches"
"वादविवाद","Acheson"
"वापर","achesoun"
"वापरकर्ता","achete"
"वापरणे","Achetidae"
"वापरले","Acheulean"
"वाफ","Acheulian"
"वारंवार","acheweed"
"वारंवारता","achy"
"वारसा","achier"
"वारा","achiest"
"वार्ताहर","achievability"
"वार्षिक","achievable"
"वाळवंट","achieve"
"वाळू","achieved"
"वास","achievement"
"वास्तव","achievements"
"वास्तववादी","achievement's"
"वास्तविक","achiever"
"वास्तुविशारद","achievers"
"वाहक","achieves"
"वाहतूक","achieving"
"वाहन","ach-y-fi"
"वि","achigan"
"विकसक","achilary"
"विकसनशील","achylia"
"विकसित","Achill"
"विकार","Achille"
"विकास","Achillea"
"विकासात्मक","Achillean"
"विक्रम","achilleas"
"विक्री","Achilleid"
"विक्रेता","achillein"
"विखुरणे","achilleine"
"विचार","Achilles"
"विचारधारा","Achillize"
"विचारा","achillobursitis"
"विचित्र","achillodynia"
"विचित्र","achilous"
"विजय","achylous"
"विजेता","Achimaas"
"विज्ञान","achime"
"विडंबन","Achimelech"
"वितरण","Achimenes"
"वितरित","achymia"
"वितळणे","achymous"
"वित्त","Achinese"
"विद्यमान","achiness"
"विद्यापीठ","achinesses"
"विद्यार्थी","aching"
"विद्याशाखा","achingly"
"विद्युत","achiote"
"विद्वान","achiotes"
"विधान","achira"
"विधानसभा","Achyranthes"
"विधी","achirite"
"विनंती","Achyrodes"
"विनम्र","Achish"
"विनवणी","Achitophel"
"विनोद","achkan"
"विनोदी","achlamydate"
"विपणन","Achlamydeae"
"विपरीत","achlamydeous"
"विभाग","achlorhydria"
"विभागणी","achlorhydric"
"विभागणे","achlorophyllous"
"विभाजन","achloropsia"
"विमा","achluophobia"
"विमान","Achmed"
"विमानतळ","Achmetha"
"विरुद्ध","achoke"
"विरोध","acholia"
"विरोधक","acholias"
"विरोधी","acholic"
"विलंब","Acholoe"
"विलक्षण","acholous"
"विवाहित","acholuria"
"विविध","acholuric"
"विविधता","Achomawi"
"विवेक","achondrite"
"विशाल","achondritic"
"विशालता","achondroplasia"
"विशिष्ट","achondroplastic"
"विशेष","achoo"
"विशेषज्ञ","achor"
"विशेषत","achordal"
"विशेषतः","Achordata"
"विशेषता","achordate"
"विशेषाधिकार","Achorion"
"विश्लेषक","Achorn"
"विश्लेषण","Achras"
"विश्व","achree"
"विश्वसनीय","achroacyte"
"विश्वसनीयता","Achroanthes"
"विश्वास","achrodextrin"
"विश्वासार्हता","achrodextrinase"
"विश्वासू","achroglobin"
"विषम","achroiocythaemia"
"विषय","achroiocythemia"
"विषाणू","achroite"
"विषारी","achroma"
"विसंबून","achromacyte"
"विसरणे","achromasia"
"विस्तार","achromat"
"विस्तारित","achromat-"
"विस्तृत","achromate"
"वीज","Achromatiaceae"
"वीट","achromatic"
"वीस","achromatically"
"वृत्तपत्र","achromaticity"
"वृत्ती","achromatin"
"वृद्ध","achromatinic"
"वॅगन","achromatisation"
"वेगळे","achromatise"
"वेगाने","achromatised"
"वेडा","achromatising"
"वेतन","achromatism"
"वेदना","Achromatium"
"वेदनादायक","achromatizable"
"वेब","achromatization"
"वेळ","achromatize"
"वेळापत्रक","achromatized"
"वैचारिक","achromatizing"
"वैज्ञानिक","achromatocyte"
"वैद्य","achromatolysis"
"वैद्यकीय","achromatope"
"वैध","achromatophil"
"वैधता","achromatophile"
"वैयक्तिक","achromatophilia"
"वैयक्तिकरित्या","achromatophilic"
"वैविध्यपूर्ण","achromatopia"
"वैशिष्ट्य","achromatopsy"
"वैशिष्ट्यपूर्ण","achromatopsia"
"वैशिष्ट्यीकृत","achromatosis"
"वॉरंट","achromatous"
"व्यंगचित्र","achromats"
"व्यक्त","achromaturia"
"व्यक्तिमत्व","achromia"
"व्यक्ती","achromic"
"व्यत्यय","Achromycin"
"व्यवसाय","Achromobacter"
"व्यवसायी","Achromobacterieae"
"व्यवस्था","achromoderma"
"व्यवस्थापक","achromophilous"
"व्यवस्थापन","achromotrichia"
"व्यवहार","achromous"
"व्यवहार्य","achronical"
"व्यसन","achronychous"
"व्यस्त","achronism"
"व्याख्या","achroo-"
"व्याख्यान","achroodextrin"
"व्याज","achroodextrinase"
"व्यापक","achroous"
"व्यापार","achropsia"
"व्यापारी","Achsah"
"व्यापू","achtehalber"
"व्याप्ती","achtel"
"व्यायाम","achtelthaler"
"व्यायामशाळा","achter"
"व्यावसायिक","achterveld"
"व्यावहारिक","Achuas"
"व्यावहारिकदृष्ट्या","achuete"
"व्वा","acy"
"व्हिडिओ","acyanoblepsia"
"व्हॅन","acyanopsia"
"व्हॅम्पायर","acichlorid"
"शंका","acichloride"
"शंभर","acyclic"
"शकते","acyclically"
"शक्तिशाली","acicula"
"शक्ती","aciculae"
"शक्य","acicular"
"शक्यता","acicularity"
"शक्यतो","acicularly"
"शटल","aciculas"
"शतक","aciculate"
"शत्रू","aciculated"
"शनिवार","aciculum"
"शपथ","aciculums"
"शब्द","acid"
"शब्दलेखन","acidaemia"
"शब्दसंग्रह","Acidalium"
"शरीर","Acidanthera"
"शर्ट","Acidaspis"
"शर्यत","acid-binding"
"शस्त्र","acidemia"
"शस्त्रक्रिया","acidemias"
"शहर","acider"
"शहरी","acid-fast"
"शहाणपण","acid-fastness"
"शांत","acid-forming"
"शांतता","acidhead"
"शांतपणे","acid-head"
"शाखा","acidheads"
"शाब्दिक","acidy"
"शारीरिक","acidic"
"शारीरिकदृष्ट्या","acidiferous"
"शार्क","acidify"
"शाळा","acidifiable"
"शासन","acidifiant"
"शास्त्र","acidific"
"शास्त्रज्ञ","acidification"
"शास्त्रीय","acidified"
"शिकणारा","acidifier"
"शिकणे","acidifiers"
"शिकवणे","acidifies"
"शिका","acidifying"
"शिकार","acidyl"
"शिकारी","acidimeter"
"शिक्का","acidimetry"
"शिक्षक","acidimetric"
"शिक्षण","acidimetrical"
"शिक्षा","acidimetrically"
"शिखर","acidite"
"शिपाई","acidity"
"शिफारस","acidities"
"शिफ्ट","acidize"
"शिबिर","acidized"
"शिरस्त्राण","acidizing"
"शिल्प","acidly"
"शिल्लक","acidness"
"शिवाय","acidnesses"
"शिष्टाचार","acidogenic"
"शिष्यवृत्ती","acidoid"
"शिस्त","acidolysis"
"शीर्ष","acidology"
"शीर्षक","acidometer"
"शुक्रवार","acidometry"
"शुद्ध","acidophil"
"शुद्धी","acidophile"
"शुल्क","acidophilic"
"शूट","acidophilous"
"शूटिंग","acidophilus"
"शून्य","acidoproteolytic"
"शेंगदाणा","acidoses"
"शेअर","acidosis"
"शेक","acidosteophyte"
"शेजार","acidotic"
"शेजारी","acidproof"
"शेत","acids"
"शेतकरी","acid-treat"
"शेती","acidulant"
"शेपूट","acidulate"
"शेरीफ","acidulated"
"शेल्फ","acidulates"
"शेळी","acidulating"
"शेवट","acidulation"
"शेवटचे","acidulent"
"शेवटी","acidulous"
"शैक्षणिक","acidulously"
"शैली","acidulousness"
"शॉट","aciduria"
"शॉवर","acidurias"
"शोकांतिका","aciduric"
"शोध","Acie"
"शोधणे","acier"
"शोधा","acierage"
"शोषण","Acieral"
"शौचालय","acierate"
"श्रम","acierated"
"श्रीमंत","acierates"
"श्रेणी","acierating"
"श्रेष्ठ","acieration"
"श्लोक","acies"
"श्वास","acyesis"
"सँडविच","acyetic"
"संकट","aciform"
"संकलन","acyl"
"संकल्पना","acylal"
"संकुचित","acylamido"
"संकेत","acylamidobenzene"
"संकेतस्थळ","acylamino"
"संकोच","acylase"
"संक्रमण","acylate"
"संक्षिप्त","acylated"
"संख्या","acylates"
"संगणक","acylating"
"संगीत","acylation"
"संगीतकार","aciliate"
"संग्रहण","aciliated"
"संग्रहालय","Acilius"
"संघ","acylogen"
"संघटना","acyloin"
"संघर्ष","acyloins"
"संज्ञानात्मक","acyloxy"
"संत","acyloxymethane"
"संत्रा","acyls"
"संदर्भ","Acima"
"संदेश","acinaceous"
"संदेष्टा","acinaces"
"संधी","acinacifoliate"
"संध्याकाळ","acinacifolious"
"संप","acinaciform"
"संपत्ती","acinacious"
"संपर्क","acinacity"
"संपादक","acinar"
"संपादन","acinary"
"संपूर्ण","acinarious"
"संपूर्णपणे","Acineta"
"संप्रेरक","Acinetae"
"संबंध","acinetan"
"संबंधित","Acinetaria"
"संभावना","acinetarian"
"संभाव्य","acinetic"
"संभाव्यता","acinetiform"
"संभाषण","Acinetina"
"संभोग","acinetinan"
"संमती","acing"
"संयम","acini"
"संयुक्त","acinic"
"संयोजन","aciniform"
"संरक्षण","acinose"
"संरक्षणात्मक","acinotubular"
"संरचनात्मक","acinous"
"संलग्नता","acinuni"
"संवर्धन","acinus"
"संवाद","acious"
"संविधान","Acipenser"
"संवेदनशील","Acipenseres"
"संवेदनशीलता","acipenserid"
"संवेदना","Acipenseridae"
"संशय","acipenserine"
"संशयास्पद","acipenseroid"
"संशयित","Acipenseroidei"
"संशोधक","acyrology"
"संशोधन","acyrological"
"संसद","Acis"
"संसर्ग","acystia"
"संसाधन","acitate"
"संस्कृती","acity"
"संस्था","aciurgy"
"संस्थात्मक","ACK"
"संस्थापक","ack-ack"
"सकारात्मक","ackee"
"सकाळी","ackees"
"सक्ती","ackey"
"सक्रिय","ackeys"
"सक्रियपणे","Acker"
"सक्षम","Ackerley"
"सचिव","Ackerly"
"सतत","Ackerman"
"सत्ताधारी","Ackermanville"
"सत्य","Ackley"
"सत्र","Ackler"
"सदस्य","ackman"
"सदस्यत्व","ackmen"
"सध्या","acknew"
"सनद","acknow"
"सनी","acknowing"
"सन्मान","acknowledge"
"सप्टेंबर","acknowledgeable"
"सफरचंद","acknowledged"
"सभ्य","acknowledgedly"
"सभ्यता","acknowledgement"
"समकक्ष","acknowledgements"
"समकालीन","acknowledger"
"समज","acknowledgers"
"समजले","acknowledges"
"समजा","acknowledging"
"समतुल्य","acknowledgment"
"समन्वयक","acknowledgments"
"समर्थक","acknowledgment's"
"समर्थन","acknown"
"समर्पित","ack-pirate"
"समलिंगी","ackton"
"समवयस्क","Ackworth"
"समस्या","ACL"
"समाज","aclastic"
"समाधान","acle"
"समान","acleidian"
"समानता","acleistocardia"
"समाप्त","acleistous"
"समायोजन","Aclemon"
"समारंभ","aclydes"
"समाविष्ट","aclidian"
"समावेश","aclinal"
"समास","aclinic"
"समिती","aclys"
"समीकरण","a-clock"
"समीक्षक","acloud"
"समुदाय","ACLS"
"समुद्र","ACLU"
"समुद्रकिनारा","ACM"
"समुद्रपर्यटन","Acmaea"
"समुपदेशन","Acmaeidae"
"समोर","acmaesthesia"
"सम्राट","acmatic"
"सर","acme"
"सरकार","acmes"
"सरळ","acmesthesia"
"सराव","acmic"
"सरासरी","Acmispon"
"सर्किट","acmite"
"सर्जन","Acmon"
"सर्जनशील","acne"
"सर्जनशीलता","acned"
"सर्व","acneform"
"सर्वत्र","acneiform"
"सर्वसमावेशक","acnemia"
"सर्वाधिक","acnes"
"सर्वेक्षण","Acnida"
"सर्वोच्च","acnodal"
"सर्वोत्तम","acnode"
"सर्व्हर","acnodes"
"सलग","ACO"
"सल्ला","acoasm"
"सल्लागार","acoasma"
"सवय","a-coast"
"सवलत","Acocanthera"
"सवारी","acocantherin"
"सशस्त्र","acock"
"ससा","acockbill"
"सह","a-cock-bill"
"सहकारी","a-cock-horse"
"सहकार्य","acocotl"
"सहचर","Acoela"
"सहज","Acoelomata"
"सहजगत्या","acoelomate"
"सहजता","acoelomatous"
"सहन","Acoelomi"
"सहभाग","acoelomous"
"सहभागी","acoelous"
"सहमत","Acoemetae"
"सहयोग","Acoemeti"
"सहयोगी","Acoemetic"
"सहल","acoenaesthesia"
"सहसंबंध","ACOF"
"सहसा","acoin"
"सहा","acoine"
"सहानुभूती","Acol"
"सहाय्यक","Acolapissa"
"सहावा","acold"
"सांख्यिकीय","Acolhua"
"सांगा","Acolhuan"
"सांस्कृतिक","acolyctine"
"साइडबार","acolyte"
"साक्ष","acolytes"
"साक्षरता","acolyth"
"साक्षीदार","acolythate"
"साखर","acolytus"
"साखळी","acology"
"सागरी","acologic"
"साठा","acolous"
"सात","acoluthic"
"सातत्याने","Acoma"
"सातवा","acomia"
"सादरीकरण","acomous"
"साधन","a-compass"
"साधा","aconative"
"साधारणपणे","Aconcagua"
"सानुकूल","acondylose"
"साप","acondylous"
"सापळा","acone"
"साप्ताहिक","aconelline"
"साबण","aconic"
"सामग्री","aconin"
"सामना","aconine"
"सामाजिक","aconital"
"सामाजिकदृष्ट्या","aconite"
"सामान","aconites"
"सामान्य","aconitia"
"सामान्यतः","aconitic"
"सामूहिक","aconitin"
"साम्राज्य","aconitine"
"सायकल","Aconitum"
"सार","aconitums"
"सारांश","acontia"
"सार्जंट","Acontias"
"सार्वजनिक","acontium"
"सार्वजनिकपणे","Acontius"
"सार्वत्रिक","aconuresis"
"सावली","acool"
"साहस","acop"
"साहित्य","acopic"
"सिंड्रोम","acopyrin"
"सिंह","acopyrine"
"सिंहासन","acopon"
"सिगारेट","acor"
"सिग्नल","acorea"
"सिद्धांत","acoria"
"सिद्धी","acorn"
"सिनेट","acorned"
"सीईओ","acorns"
"सीमा","acorn's"
"सीरियन","acorn-shell"
"सुंदर","Acorus"
"सुई","acosmic"
"सुगावा","acosmism"
"सुचवणे","acosmist"
"सुट","acosmistic"
"सुटका","acost"
"सुटणे","Acosta"
"सुटे","acotyledon"
"सुट्टी","acotyledonous"
"सुत्र","acouasm"
"सुदैवाने","acouchi"
"सुधारणा","acouchy"
"सुधारणे","acoumeter"
"सुधारित","acoumetry"
"सुनावणी","acounter"
"सुमारे","acouometer"
"सुरक्षा","acouophonia"
"सुरक्षित","acoup"
"सुरक्षितता","acoupa"
"सुरक्षितपणे","acoupe"
"सुरुवात","acousma"
"सुरुवातीला","acousmas"
"सुरू","acousmata"
"सुविधा","acousmatic"
"सुसंगत","acoustic"
"सूक्ष्म","acoustical"
"सूचक","acoustically"
"सूचना","acoustician"
"सूचित","acoustico-"
"सूट","acousticolateral"
"सूप","Acousticon"
"सूर्य","acousticophobia"
"सूर्यप्रकाश","acoustics"
"सूर्यास्त","acoustoelectric"
"सॅल्मन","ACP"
"सेंद्रिय","acpt"
"सेक्सी","acpt."
"सेट","Acquah"
"सेटलमेंट","acquaint"
"सेटिंग","acquaintance"
"सेन्सर","acquaintances"
"सेल","acquaintance's"
"सेलिब्रिटी","acquaintanceship"
"सेवन","acquaintanceships"
"सेवा","acquaintancy"
"सेवानिवृत्त","acquaintant"
"सेवानिवृत्ती","acquainted"
"सैद्धांतिक","acquaintedness"
"सैन्य","acquainting"
"सैल","acquaints"
"सॉकर","Acquaviva"
"सॉफ्टवेअर","acquent"
"सॉस","acquereur"
"सोडणे","acquest"
"सोडवणे","acquests"
"सोडा","acquiesce"
"सोडियम","acquiesced"
"सोने","acquiescement"
"सोनेरी","acquiescence"
"सोपे","acquiescences"
"सोबत","acquiescency"
"सोबती","acquiescent"
"सोमवार","acquiescently"
"सोलणे","acquiescer"
"सोलो","acquiesces"
"सोव्हिएट","acquiescing"
"सौंदर्य","acquiescingly"
"सौम्य","acquiesence"
"सौर","acquiet"
"स्की","acquirability"
"स्कॅन","acquirable"
"स्केल","acquire"
"स्क्रिप्ट","acquired"
"स्क्रीन","acquirement"
"स्क्रीनिंग","acquirements"
"स्क्रू","acquirenda"
"स्क्रॅच","acquirer"
"स्टार्टर","acquirers"
"स्टीक","acquires"
"स्टील","acquiring"
"स्टुडिओ","acquisible"
"स्टॅक","acquisita"
"स्टेज","acquisite"
"स्टेडियम","acquisited"
"स्टेशन","acquisition"
"स्टोअर","acquisitional"
"स्टोरेज","acquisitions"
"स्ट्रिंग","acquisition's"
"स्ट्रोक","acquisitive"
"स्तंभ","acquisitively"
"स्तंभलेखक","acquisitiveness"
"स्तन","acquisitor"
"स्तुती","acquisitum"
"स्त्री","acquist"
"स्थलांतर","acquit"
"स्थलांतरित","acquital"
"स्थान","acquitment"
"स्थानिक","acquits"
"स्थापना","acquittal"
"स्थिती","acquittals"
"स्थिर","acquittance"
"स्थिरता","acquitted"
