"Shona","English"
"ruomba","acetoveratrone"
"ruregerero","acetoxyl"
"ruremekedzo","acetoxyls"
"rurimi","acetoxim"
"rusarura","acetoxime"
"rusaruraganda","acetoxyphthalide"
"rush","acetphenetid"
"rusununguko","acetphenetidin"
"rutsigiro","acetract"
"ruva","acettoluide"
"ruvengo","acetum"
"ruzha","aceturic"
"ruzivo","ACF"
"rwendo","ACGI"
"rwiyo","ac-globulin"
"rwizi","ACH"
"sachigaro","Achab"
"sack","Achad"
"safe","Achaea"
"sail","Achaean"
"sainzi","Achaemenes"
"saizi","Achaemenian"
"saizvozvo","Achaemenid"
"sajeni","Achaemenidae"
"saka","Achaemenides"
"sake","Achaemenidian"
"saladhi","Achaemenids"
"sale","achaenocarp"
"sales","Achaenodon"
"salmon","Achaeta"
"sanction","achaetous"
"sando","Achaeus"
"sandwich","achafe"
"sanganisira","achage"
"sangano","Achagua"
"sango","Achaia"
"sarai","Achaian"
"sarudza","Achakzai"
"Sarudza","achalasia"
"sarudzo","Achamoth"
"satellite","Achan"
"save","Achango"
"scale","achape"
"scan","achaque"
"scandal","achar"
"Scenario","acharya"
"schedule","Achariaceae"
"scope","Achariaceous"
"score","acharne"
"scout","acharnement"
"scratch","Acharnians"
"screw","achate"
"script","Achates"
"secretary","Achatina"
"sector","Achatinella"
"seek","Achatinidae"
"sefa","achatour"
"sei","Achaz"
"seize","ache"
"seka","acheat"
"sekuru","achech"
"self","acheck"
"senate","ached"
"senator","acheer"
"send","ACHEFT"
"sensitive","acheilary"
"sensor","acheilia"
"sere","acheilous"
"series","acheiria"
"serious","acheirous"
"sero","acheirus"
"server","Achelous"
"service","Achen"
"set","achene"
"setting","achenes"
"sex","achenia"
"sexy","achenial"
"sezvinonzi","achenium"
"shall","achenocarp"
"shallow","achenodia"
"shame","achenodium"
"shamwari","acher"
"Shamwari","Acherman"
"shanda","Achernar"
"shandisa","Acheron"
"shanduko","Acheronian"
"shandura","Acherontic"
"shanduro","Acherontical"
"shanu","aches"
"share","Acheson"
"shared","achesoun"
"shark","achete"
"sharp","Achetidae"
"shasha","Acheulean"
"shawa","Acheulian"
"shaya","acheweed"
"sheer","achy"
"sheet","achier"
"shefu","achiest"
"shell","achievability"
"shelter","achievable"
"sheriff","achieve"
"sherufu","achieved"
"shift","achievement"
"shinga","achievements"
"shingirira","achievement's"
"ship","achiever"
"shiri","achievers"
"shit","achieves"
"shoe","achieving"
"shoma","ach-y-fi"
"shop","achigan"
"shora","achilary"
"show","achylia"
"shuga","Achill"
"shumba","Achille"
"shungu","Achillea"
"shure","Achillean"
"shut","achilleas"
"shuttle","Achilleid"
"side","achillein"
"sidebar","achilleine"
"siginicha","Achilles"
"sign","Achillize"
"siketi","achillobursitis"
"silika","achillodynia"
"silly","achilous"
"simba","achylous"
"simbi","Achimaas"
"simbisa","achime"
"simple","Achimelech"
"simudza","Achimenes"
"simuka","achymia"
"sing","achymous"
"single","Achinese"
"sink","achiness"
"sipo","achinesses"
"sirivheri","aching"
"sit","achingly"
"site","achiote"
"sitiroko","achiotes"
"siya","achira"
"siyana","Achyranthes"
"siyanisa","achirite"
"siyirira","Achyrodes"
"ski","Achish"
"skin","Achitophel"
"skip","achkan"
"skrini","achlamydate"
"slam","Achlamydeae"
"sleeve","achlamydeous"
"slice","achlorhydria"
"slide","achlorhydric"
"slip","achlorophyllous"
"slow","achloropsia"
"smart","achluophobia"
"sn","Achmed"
"snap","Achmetha"
"sneak","achoke"
"social","acholia"
"sock","acholias"
"sodium","acholic"
"sofa","Acholoe"
"software","acholous"
"solar","acholuria"
"sole","acholuric"
"solo","Achomawi"
"solve","achondrite"
"sora","achondritic"
"sort","achondroplasia"
"source","achondroplastic"
"southern","achoo"
"soviet","achor"
"spare","achordal"
"spark","Achordata"
"special","achordate"
"specialize","Achorion"
"spectrum","Achorn"
"speed","Achras"
"spell","achree"
"spend","achroacyte"
"sphere","Achroanthes"
"spill","achrodextrin"
"spin","achrodextrinase"
"spite","achroglobin"
"squad","achroiocythaemia"
"square","achroiocythemia"
"stable","achroite"
"stack","achroma"
"stage","achromacyte"
"stair","achromasia"
"stake","achromat"
"stand","achromat-"
"standard","achromate"
"star","Achromatiaceae"
"starter","achromatic"
"state","achromatically"
"statement","achromaticity"
"statistical","achromatin"
"statistics","achromatinic"
"stay","achromatisation"
"steady","achromatise"
"steak","achromatised"
"steam","achromatising"
"stem","achromatism"
"step","Achromatium"
"stimulus","achromatizable"
"stock","achromatization"
"stop","achromatize"
"storage","achromatized"
"store","achromatizing"
"straight","achromatocyte"
"strain","achromatolysis"
"stranger","achromatope"
"Strategic","achromatophil"
"strategy","achromatophile"
"streak","achromatophilia"
"street","achromatophilic"
"stress","achromatopia"
"stretch","achromatopsy"
"strict","achromatopsia"
"strike","achromatosis"
"strip","achromatous"
"structural","achromats"
"struggle","achromaturia"
"studio","achromia"
"stuff","achromic"
"stupid","Achromycin"
"style","Achromobacter"
"subsidy","Achromobacterieae"
"substance","achromoderma"
"substantial","achromophilous"
"subtle","achromotrichia"
"suburb","achromous"
"suburban","achronical"
"sue","achronychous"
"suite","achronism"
"sum","achroo-"
"summit","achroodextrin"
"sumo","achroodextrinase"
"sundidzira","achroous"
"sunga","achropsia"
"sunny","Achsah"
"super","achtehalber"
"supply","achtel"
"supreme","achtelthaler"
"suspect","achter"
"Sustainable","achterveld"
"sutu","Achuas"
"suwa","achuete"
"svetuka","acy"
"svika","acyanoblepsia"
"svikika","acyanopsia"
"Svondo","acichlorid"
"swing","acichloride"
"syndrome","acyclic"
"system","acyclically"
"tab","acicula"
"table","aciculae"
"tablet","acicular"
"tackle","acicularity"
"tactic","acicularly"
"tag","aciculas"
"take","aciculate"
"takura","aciculated"
"tale","aciculum"
"talk","aciculums"
"tambo","acid"
"tambura","acidaemia"
"tanga","Acidalium"
"tangazve","Acidanthera"
"tank","Acidaspis"
"tap","acid-binding"
"tarenda","acidemia"
"tariro","acidemias"
"tarisa","acider"
"tarisira","acid-fast"
"tarisiro","acid-fastness"
"tateguru","acid-forming"
"tattoo","acidhead"
"tatu","acid-head"
"taura","acidheads"
"tauro","acidy"
"team","acidic"
"teammate","acidiferous"
"teaspoon","acidify"
"tech","acidifiable"
"technical","acidifiant"
"technically","acidific"
"teen","acidification"
"teerera","acidified"
"Teki","acidifier"
"teknolojia","acidifiers"
"tell","acidifies"
"temberi","acidifying"
"tembiricha","acidyl"
"temporary","acidimeter"
"tenda","acidimetry"
"tendai","acidimetric"
"tende","acidimetrical"
"tendency","acidimetrically"
"tender","acidite"
"tendeuka","acidity"
"tengesa","acidities"
"tennis","acidize"
"tepi","acidized"
"teresikopu","acidizing"
"terevhizheni","acidly"
"term","acidness"
"terrific","acidnesses"
"test","acidogenic"
"testamende","acidoid"
"tete","acidolysis"
"text","acidology"
"than","acidometer"
"thank","acidometry"
"the","acidophil"
"theatre","acidophile"
"theoretical","acidophilic"
"thread","acidophilous"
"tide","acidophilus"
"tie","acidoproteolytic"
"tight","acidoses"
"tikiti","acidosis"
"tiny","acidosteophyte"
"tinya","acidotic"
"tire","acidproof"
"tiririyoni","acids"
"tishu","acid-treat"
"title","acidulant"
"tiza","acidulate"
"tolerate","acidulated"
"tomato","acidulates"
"tonga","acidulating"
"tool","acidulation"
"toss","acidulent"
"touchdown","acidulous"
"tour","acidulously"
"tourist","acidulousness"
"Tournament","aciduria"
"towards","acidurias"
"tower","aciduric"
"town","Acie"
"toxic","acier"
"toy","acierage"
"trace","Acieral"
"track","acierate"
"trade","acierated"
"traffic","acierates"
"tragic","acierating"
"trail","acieration"
"transfer","acies"
"transit","acyesis"
"transport","acyetic"
"trap","aciform"
"trauma","acyl"
"travel","acylal"
"treasury","acylamido"
"trend","acylamidobenzene"
"tribal","acylamino"
"trick","acylase"
"trigger","acylate"
"troop","acylated"
"try","acylates"
"tsama","acylating"
"tsamba","acylation"
"tsanangudzo","aciliate"
"tsanangura","aciliated"
"tsananguro","Acilius"
"tsandanyama","acylogen"
"tsangadzi","acyloin"
"tsaona","acyloins"
"t-shirt","acyloxy"
"tsigira","acyloxymethane"
"tsika","acyls"
"tsitsi","Acima"
"tsiva","acinaceous"
"tsiye","acinaces"
"tsoka","acinacifoliate"
"tsono","acinacifolious"
"tsotsi","acinaciform"
"tsuro","acinacious"
"tsvaga","acinacity"
"tsvaira","acinar"
"tsvimbo","acinary"
"tsvina","acinarious"
"tsvuku","Acineta"
"tswanda","Acinetae"
"tuck","acinetan"
"tumira","Acinetaria"
"tune","acinetarian"
"Tungamira","acinetic"
"turera","acinetiform"
"turtle","Acinetina"
"tv","acinetinan"
"twist","acing"
"twitter","acini"
"tyisidzira","acinic"
"tyora","aciniform"
"type","acinose"
"uchapupu","acinotubular"
"uchenjeri","acinous"
"uchi","acinuni"
"uduku","acinus"
"uh","acious"
"uh-huh","Acipenser"
"ukama","Acipenseres"
"um","acipenserid"
"umambo","Acipenseridae"
"uncover","acipenserine"
"under","acipenseroid"
"undergo","Acipenseroidei"
"underlying","acyrology"
"undermine","acyrological"
"unfair","Acis"
"unfold","acystia"
"unganidza","acitate"
"ungano","acity"
"unidentified","aciurgy"
"unique","ACK"
"unit","ack-ack"
"universe","ackee"
"unyanzvi","ackees"
"uori","ackey"
"update","ackeys"
"upfu","Acker"
"upfumi","Ackerley"
"upgrade","Ackerly"
"uranda","Ackerman"
"uraya","Ackermanville"
"urban","Ackley"
"urefu","Ackler"
"uremu","ackman"
"urge","ackmen"
"urombo","acknew"
"urongwa","acknow"
"urovha","acknowing"
"urwere","acknowledge"
"use","acknowledgeable"
"ushamwari","acknowledged"
"ushingi","acknowledgedly"
"ushumiri","acknowledgement"
"uswa","acknowledgements"
"utachiona","acknowledger"
"utano","acknowledgers"
"utera","acknowledges"
"utility","acknowledging"
"utsotsi","acknowledgment"
"utungamiri","acknowledgments"
"utungamiriri","acknowledgment's"
"uya","acknown"
"uye","ack-pirate"
"uye/kana","ackton"
"uyezve","Ackworth"
"uzivi","ACL"
"vacation","aclastic"
"vaccine","acle"
"vadikani","acleidian"
"vakabatana","acleistocardia"
"vakadaro","acleistous"
"vakasarudzwa","Aclemon"
"vakashamisika","aclydes"
"vakasununguka","aclidian"
"vakawanda","aclinal"
"vakwegura","aclinic"
"valid","aclys"
"valley","a-clock"
"value","acloud"
"vampire","ACLS"
"vamwe","ACLU"
"van","ACM"
"vanga","Acmaea"
"vanhu","Acmaeidae"
"vanish","acmaesthesia"
"varaidzo","acmatic"
"variable","acme"
"variation","acmes"
"varombo","acmesthesia"
"varwi","acmic"
"vashandi","Acmispon"
"vashoma","acmite"
"vasipo","Acmon"
"vast","acne"
"vateereri","acned"
"vavariro","acneform"
"vaviri","acneiform"
"vazhinji","acnemia"
"venture","acnes"
"verenga","Acnida"
"verify","acnodal"
"vhangeri","acnode"
"vharanda","acnodes"
"vhidhiyo","ACO"
"vhiki","acoasm"
"vhiri","acoasma"
"vhiringidza","a-coast"
"vhoti","Acocanthera"
"vhuvhuta","acocantherin"
"via","acock"
"viable","acockbill"
"vice","a-cock-bill"
"viga","a-cock-horse"
"vimba","acocotl"
"virtual","Acoela"
"visit","Acoelomata"
"vitamini","acoelomate"
"vocabulary","acoelomatous"
"vocal","Acoelomi"
"volume","acoelomous"
"volunteer","acoelous"
"vs","Acoemetae"
"wachi","Acoemeti"
"wadhiropu","Acoemetic"
"wage","acoenaesthesia"
"wagon","ACOF"
"waini","acoin"
"wait","acoine"
"wake","Acol"
"wako","Acolapissa"
"wall","acold"
"wander","Acolhua"
"warm","Acolhuan"
"warn","acolyctine"
"warrant","acolyte"
"wash","acolytes"
"waste","acolyth"
"watch","acolythate"
"wave","acolytus"
"waya","acology"
"weak","acologic"
"weather","acolous"
"web","acoluthic"
"website","Acoma"
"wedunhu","acomia"
"wedzera","acomous"
"weird","a-compass"
"welfare","aconative"
"wet","Aconcagua"
"whale","acondylose"
"who","acondylous"
"wide","acone"
"wild","aconelline"
"win","aconic"
"wish","aconin"
"withdraw","aconine"
"wo","aconital"
"wongororo","aconite"
"word","aconites"
"wow","aconitia"
"wrap","aconitic"
"wrist","aconitin"
"yakachena","aconitine"
"yakaenzana","Aconitum"
"yakafara","aconitums"
"yakakosha","acontia"
"yakakura","Acontias"
"yakakwana","acontium"
"yakaoma","Acontius"
"yakarurama","aconuresis"
"yakasanganiswa","acool"
"yakasimba","acop"
"yakatsetseka","acopic"
"yakavharwa","acopyrin"
"yakawedzera","acopyrine"
"yakazara","acopon"
"yako","acor"
"yambiro","acorea"
"yangu","acoria"
"yapfuura","acorn"
"yard","acorned"
"yavo","acorns"
"ye","acorn's"
"yechipiri","acorn-shell"
"yegoridhe","Acorus"
"yekare","acosmic"
"yekupedzisira","acosmism"
"yell","acosmist"
"yemagetsi","acosmistic"
"yep","acost"
"yero","Acosta"
"yeuchidza","acotyledon"
"yokugezera","acotyledonous"
"yose","acouasm"
"young","acouchi"
"youth","acouchy"
"yunifomu","acoumeter"
"yunivhesiti","acoumetry"
"zadzisa","acounter"
"zai","acouometer"
"zambuko","acouophonia"
"zamu","acoup"
"zana","acoupa"
"zano","acoupe"
"zero","acousma"
"zevezera","acousmas"
"zino","acousmata"
"ziso","acousmatic"
"zita","acoustic"
"ziva","acoustical"
"zivisa","acoustically"
"ziya","acoustician"
"zone","acoustico-"
"zorodza","acousticolateral"
"zorora","Acousticon"
"zororo","acousticophobia"
"zunza","acoustics"
"zuva","acoustoelectric"
"zvachose","ACP"
"zvakabatana","acpt"
"zvakachengeteka","acpt."
"zvakadaro","Acquah"
"zvakadzama","acquaint"
"zvakadzika","acquaintance"
"zvakaenzana","acquaintances"
"zvakafanana","acquaintance's"
"zvakafanira","acquaintanceship"
"zvakafara","acquaintanceships"
"zvakaipa","acquaintancy"
"zvakajairika","acquaintant"
"zvakajeka","acquainted"
"zvakakodzera","acquaintedness"
"zvakakomba","acquainting"
"zvakakosha","acquaints"
"zvakakwana","Acquaviva"
"zvakanaka","acquent"
"zvakanakisa","acquereur"
"zvakanakisisa","acquest"
"zvakananga","acquests"
"zvakanyanya","acquiesce"
"zvakanyanyisa","acquiesced"
"zvakanyorwa","acquiescement"
"zvakaoma","acquiescence"
"zvakapararira","acquiescences"
"zvakapoteredza","acquiescency"
"zvakare","acquiescent"
"zvakasara","acquiescently"
"zvakashata","acquiescer"
"zvakasikwa","acquiesces"
"zvakasimba","acquiescing"
"zvakasiyana","acquiescingly"
"zvakasiyana-siyana","acquiesence"
"zvakasununguka","acquiet"
"zvakatipoteredza","acquirability"
"zvakavanzika","acquirable"
"zvakawanda","acquire"
"zvakazara","acquired"
"zvake","acquirement"
"zvangu","acquirements"
"zvayo","acquirenda"
"zvebumbiro","acquirer"
"zvechisimba","acquirers"
"zvechitendero","acquires"
"zvechiuto","acquiring"
"zvechivanhu","acquisible"
"zvedu","acquisita"
"zvedzidzo","acquisite"
"zvegutsaruzhinji","acquisited"
"zvekunyika","acquisition"
"zvekutonga","acquisitional"
"zvemagetsi","acquisitions"
"zvemashiripiti","acquisition's"
"zvemichina","acquisitive"
"zvemukati","acquisitively"
"zvemumba","acquisitiveness"
"zvemweya","acquisitor"
"zvenyama","acquisitum"
"zvepabonde","acquist"
"zvepfungwa","acquit"
"zvesainzi","acquital"
"zvesarudzo","acquitment"
"zvese","acquits"
"zvibereko","acquittal"
"zvichibvira","acquittals"
"zvichida","acquittance"
"zvichienderana","acquitted"
"zvichinzi","acquitter"
"zvichiteerana","acquitting"
"zvichiwedzera","acquophonia"
"zvidhinha","acr-"
"zvido","Acra"
"zvikuru","Acrab"
"zvimwe","acracy"
"zvinhu","Acraea"
"zvino","acraein"
"zvinobatanidzwa","Acraeinae"
"zvinobatsira","acraldehyde"
"zvinobudirira","Acrania"
"zvinoda","acranial"
"zvinodhura","acraniate"
"zvinodiwa","acrasy"
"zvinoenderana","acrasia"
"zvinofadza","Acrasiaceae"
"zvinofanira","Acrasiales"
"zvinofinha","acrasias"
"zvinofungidzirwa","Acrasida"
"zvinogamuchirika","Acrasieae"
"zvinogona","acrasin"
"zvinogoneka","acrasins"
"zvinogumbura","Acraspeda"
"zvinoita","acraspedote"
"zvinonaka","acratia"
"zvinonakidza","acraturesis"
"zvinonetsa","acrawl"
"zvinonzi","acraze"
"zvinooneka","Acre"
"zvinopesana","acreable"
"zvinoreva","acreage"
"zvinorwadza","acreages"
"zvinosetsa","acreak"
"zvinoshamisa","acream"
"zvinoshanda","acred"
"zvinosuwisa","acre-dale"
"zvinotarisirwa","Acredula"
"zvinotevera","acre-foot"
"zvinoteverana","acre-inch"
"zvinotyisa","acreman"
"zvinouraya","acremen"
"zvinyoronyoro","Acres"
"zvipfeko","acre's"
"zvirokwazvo","acrestaff"
"zvishoma","a-cry"
"zvishongo","acrid"
"zvisinei","acridan"
"zvisingadaviriki","acridane"
"zvisingadzivisiki","acrider"
"zvisingaiti","acridest"
"zvisinganzwisisike","acridian"
"zvisingatarisirwi","acridic"
"zvisingaverengeki","acridid"
"Zvita","Acrididae"
"zvitsvene","Acridiidae"
"zviuru","acridyl"
"zvivakwa","acridin"
"zviyo","acridine"
"zvizere","acridines"
"zvizhinji","acridinic"
"zvokurapa","acridinium"
"zvokurima","acridity"
"zvose","acridities"
"zvoumwari","Acridium"
