"Lao","English"
"ທຽບເທົ່າ","academian"
"ທຳທ່າ","academias"
"ທຳມະດາ","Academic"
"ທັກສະ","academical"
"ທັກທາຍ","academically"
"ທັງ","academicals"
"ທັງສອງ","academician"
"ທັງໝົດ","academicians"
"ທັດສະນະ","academicianship"
"ທັດສະນະຄະຕິ","academicism"
"ທັນ","academics"
"ທັນ​ສະ​ໄຫມ","academie"
"ທັນທີ","academies"
"ທັນໃດນັ້ນ","academy's"
"ທໍ່","academise"
"ທໍ້","academised"
"ທໍລະຍົດ","academising"
"ທໍາມະຊາດ","academism"
"ທໍາລາຍ","academist"
"ທໍາອິດ","academite"
"ນ​້​ໍ​າ​ໃຈ","academization"
"ນ້ອງໆ","academize"
"ນ້ອຍ","academized"
"ນ້ອຍໆ","academizing"
"ນ້ຳຕາ","Academus"
"ນ້ຳມັນ","Acadia"
"ນ້ຳມັນເຊື້ອໄຟ","acadialite"
"ນ້ຳໜັກ","Acadian"
"ນ້ໍາ","Acadie"
"ນອກ","Acaena"
"ນອກຈາກນັ້ນ","acajou"
"ນອນ","acajous"
"ນອນຫລັບ","acal"
"ນະຄອນຫຼວງ","acalculia"
"ນະລົກ","acale"
"ນະວະນິຍາຍ","acaleph"
"ນະວັດຕະກໍາ","Acalepha"
"ນະໂຍບາຍ","Acalephae"
"ນະໂຍບາຍດ້ານ","acalephan"
"ນາງ","acalephe"
"ນາຍຈ້າງ","acalephes"
"ນາຍຕຳຫຼວດ","acalephoid"
"ນາຍທະນາຄານ","acalephs"
"ນາຍພົນ","Acalia"
"ນາຍົກ","acalycal"
"ນາທີ","acalycine"
"ນິ້ວ","acalycinous"
"ນິ້ວມື","acalyculate"
"ນິຍາຍ","Acalypha"
"ນິຍົມ","Acalypterae"
"ນິຕິບຸກຄົນ","Acalyptrata"
"ນິຕິບັນຍັດ","Acalyptratae"
"ນິທານ","acalyptrate"
"ນິລັນດອນ","Acamar"
"ນິວ​ເຄຼຍ","Acamas"
"ນິໄສ","Acampo"
"ນີ້","acampsia"
"ນຸ່ງ","acana"
"ນົກ","acanaceous"
"ນົກອິນຊີ","acanonical"
"ນົມ","acanth"
"ນຳໃຊ້","acanth-"
"ນັ່ງ","acantha"
"ນັ້ນ","Acanthaceae"
"ນັກ​ຮຽນ","acanthaceous"
"ນັກ​ເຄື່ອນ​ໄຫວ","acanthad"
"ນັກກະວີ","Acantharia"
"ນັກການເມືອງ","acanthi"
"ນັກກິລາ","Acanthia"
"ນັກຂ່າວ","acanthial"
"ນັກຂ້າ","acanthin"
"ນັກຂຽນ","acanthine"
"ນັກຄົ້ນຄວ້າ","acanthion"
"ນັກຈິດຕະວິທະຍາ","acanthite"
"ນັກສະແດງ","acantho-"
"ນັກສຶກສາໃໝ່","acanthocarpous"
"ນັກສືບ","Acanthocephala"
"ນັກສືບສວນ","acanthocephalan"
"ນັກດາລາສາດ","Acanthocephali"
"ນັກດົນຕີ","acanthocephalous"
"ນັກຕໍ່ສູ້","Acanthocereus"
"ນັກທ່ອງທ່ຽວ","acanthocladous"
"ນັກທຸລະກິດ","Acanthodea"
"ນັກບິນ","acanthodean"
"ນັກບຳບັດ","Acanthodei"
"ນັກປະຫວັດສາດ","Acanthodes"
"ນັກພັດທະນາ","acanthodian"
"ນັກລົງທຶນ","Acanthodidae"
"ນັກວິຊາການ","Acanthodii"
"ນັກວິທະຍາສາດ","Acanthodini"
"ນັກວິເຄາະ","acanthoid"
"ນັກຮ້ອງ","Acantholimon"
"ນັກຮົບ","acantholysis"
"ນັກຮົບເກົ່າ","acanthology"
"ນັກເສດຖະສາດ","acanthological"
"ນັກເດີນທາງ","acanthoma"
"ນັກເຕັ້ນລໍາ","acanthomas"
"ນັກແລ່ນ","Acanthomeridae"
"ນັກໂທດ","acanthon"
"ນັບ","Acanthopanax"
"ນັບຕັ້ງແຕ່","Acanthophis"
"ນັບຖື","acanthophorous"
"ນັບບໍ່ຖ້ວນ","acanthopod"
"ນໍ້າຖ້ວມ","acanthopodous"
"ນໍ້າມັນເຊື້ອໄຟ","acanthopomatous"
"ນໍ້າເຜິ້ງ","acanthopore"
"ນໍາ","acanthopteran"
"ນໍາພາ","Acanthopteri"
"ນໍາເຂົ້າ","acanthopterygian"
"ບ່ວງ","Acanthopterygii"
"ບ່ວງກາເຟ","acanthopterous"
"ບ່ອນຈອດລົດ","acanthoses"
"ບ່ອນນັ່ງ","acanthosis"
"ບ່ອນມີແດດ","acanthotic"
"ບ່ອນເຮັດວຽກ","acanthous"
"ບ່ອນໃດກໍ່ຕາມ","Acanthuridae"
"ບ່າ","Acanthurus"
"ບ້ວງ","acanthus"
"ບ້າ","acanthuses"
"ບ້ານ","acanthuthi"
"ບ້ານເກີດເມືອງນອນ","acapnia"
"ບລັອກ","acapnial"
"ບວກ","acapnias"
"ບອກ","acappella"
"ບາ","acapsular"
"ບາງ","acapu"
"ບາງໆ","Acapulco"
"ບາງຄົນ","acara"
"ບາງຄັ້ງ","Acarapis"
"ບາງສ່ວນ","acarari"
"ບາງສິ່ງບາງຢ່າງ","acardia"
"ບາງທີ","acardiac"
"ບາງບ່ອນ","acardite"
"ບາດ​ເຈັບ","acari"
"ບາດເຈັບ","acarian"
"ບາດແຜ","acariasis"
"ບານ","acariatre"
"ບານເຕະ","acaricidal"
"ບາບ","acaricide"
"ບິດ","acarid"
"ບິນ","Acarida"
"ບີບ","acaridae"
"ບຸກຄະລາກອນ","acaridan"
"ບຸກຄະລິກກະພາບ","acaridans"
"ບຸກຄົນ","Acaridea"
"ບຸກລຸກ","acaridean"
"ບຸນຄຸນ","acaridomatia"
"ບູດ","acaridomatium"
"ບູມ","acarids"
"ບູລິມະສິດ","acariform"
"ບູຮານ","Acarina"
"ບົ່ງບອກ","acarine"
"ບົດ","acarines"
"ບົດກະວີ","acarinosis"
"ບົດຂຽນ","Acarnan"
"ບົດຄວາມ","acarocecidia"
"ບົດຄັດຫຍໍ້","acarocecidium"
"ບົດບາດ","acarodermatitis"
"ບົດຮຽນ","acaroid"
"ບັ້ງໄຟ","acarol"
"ບັກ","acarology"
"ບັງຄັບ","acarologist"
"ບັດ","acarophilous"
"ບັນ​ຍາ​ກາດ","acarophobia"
"ບັນຈຸ","acarotoxic"
"ບັນຊີ","acarpellous"
"ບັນຊີລາຍຊື່","acarpelous"
"ບັນຍາຍ","acarpous"
"ບັນທຶກ","Acarus"
"ບັນທຶກປະຈຳວັນ","ACAS"
"ບັນນາທິການ","acast"
"ບັນພະບຸລຸດ","Acastus"
"ບັນລຸ","acatalectic"
"ບັນລັງ","acatalepsy"
"ບັນຫາ","acatalepsia"
"ບັນເທີງ","acataleptic"
"ບັນເທົາ","acatallactic"
"ບໍ​ລິ​ຈາກ","acatamathesia"
"ບໍ່","acataphasia"
"ບໍ່​ມັກ","acataposis"
"ບໍ່​ເຫມາະ​ສົມ","acatastasia"
"ບໍ່ຄ່ອຍ","acatastatic"
"ບໍ່ຄາດຄິດ","acate"
"ບໍ່ຈະແຈ້ງ","acategorical"
"ບໍ່ສະບາຍ","acater"
"ບໍ່ສາມາດ","acatery"
"ບໍ່ສົນໃຈ","acates"
"ບໍ່ຍຸດຕິທຳ","acatharsy"
"ບໍ່ດີ","acatharsia"
"ບໍ່ດົນ","acatholic"
"ບໍ່ຖືກຕ້ອງ","acaudal"
"ບໍ່ມີ","acaudate"
"ບໍ່ມີທີ່ສິ້ນສຸດ","acaudelescent"
"ບໍ່ມີທີ່ຢູ່ອາໄສ","acaulescence"
"ບໍ່ມີບ່ອນໃດ","acaulescent"
"ບໍ່ມີຫຍັງ","acauline"
"ບໍ່ມີໃຜ","acaulose"
"ບໍ່ລົງຮອຍກັນ","acaulous"
"ບໍ່ວ່າ","ACAWS"
"ບໍ່ວ່າຈະ","ACB"
"ບໍ່ຫວັງຜົນກຳໄລ","ACBL"
"ບໍ່ຫຼາຍປານໃດ","ACC"
"ບໍ່ໜ້າເຊື່ອ","acc."
"ບໍ່ຮູ້","acca"
"ບໍ່ຮູ້ຈັກ","accable"
"ບໍ່ຮູ້ຕົວ","Accad"
"ບໍ່ເຄີຍ","accademia"
"ບໍ່ເຄີຍມີມາກ່ອນ","Accadian"
"ບໍ່ເປີດເຜີຍຊື່","Accalia"
"ບໍ່ເຫັນດີ","acce"
"ບໍລິສຸດ","accede"
"ບໍລິສັດ","acceded"
"ບໍລິຫານ","accedence"
"ບໍລິໂພກ","acceder"
"ບໍາລຸງຮັກສາ","acceders"
"ປ່ອງຢ້ຽມ","accedes"
"ປ່ອຍ","acceding"
"ປ່າ","accel"
"ປ່ຽງ","accel."
"ປ່ຽນ","accelerable"
"ປ່ຽນແປງ","accelerando"
"ປ່ຽນແປງໄດ້","accelerant"
"ປ້ອງ​ກັນ","accelerate"
"ປ້ອງກັນ","accelerated"
"ປ້າ","acceleratedly"
"ປ້າຍຊື່","accelerates"
"ປບັ","accelerating"
"ປວດ","acceleratingly"
"ປອກເປືອກ","acceleration"
"ປອດ","accelerations"
"ປອດໄພ","accelerative"
"ປອນ","accelerator"
"ປອມ","acceleratory"
"ປະ​ກອບ​ດ້ວຍ","accelerators"
"ປະກອບ","accelerograph"
"ປະກອບສ່ວນ","accelerometer"
"ປະກອບດ້ວຍ","accelerometers"
"ປະກອບອາວຸດ","accelerometer's"
"ປະກາດ","accend"
"ປະກາດໃຊ້","accendibility"
"ປະກົດ","accendible"
"ປະກົດການ","accensed"
"ປະກັນໄພ","accension"
"ປະຈຸບັນ","accensor"
"ປະຈັກພະຍານ","accent"
"ປະຈໍາປີ","accented"
"ປະຈໍາວັນ","accenting"
"ປະຈໍາອາທິດ","accentless"
"ປະຈໍາເດືອນ","accentor"
"ປະສາດ","accentors"
"ປະສິດທິຜົນ","accents"
"ປະສິດທິພາບ","accentuable"
"ປະສົບການ","accentual"
"ປະສົບຜົນສໍາເລັດ","accentuality"
"ປະສົມ","accentually"
"ປະສົມປະສານ","accentuate"
"ປະຊາກອນ","accentuated"
"ປະຊາຊົນ","accentuates"
"ປະຊາທິປະ​ໄຕ","accentuating"
"ປະຊາທິປະໄຕ","accentuation"
"ປະດິດ","accentuations"
"ປະຕິກິລິຍາ","accentuator"
"ປະຕິທິນ","accentus"
"ປະຕິບັດ","accept"
"ປະຕິບັດການ","acceptability"
"ປະຕິບັດຕາມ","acceptabilities"
"ປະຕິບັດໄດ້","acceptable"
"ປະຕິວັດ","acceptableness"
"ປະຕິເສດ","acceptably"
"ປະຕູ","acceptance"
"ປະຖິ້ມ","acceptances"
"ປະຖົມ","acceptance's"
"ປະຖົມນິເທດ","acceptancy"
"ປະທານ","acceptancies"
"ປະທານາທິບໍດີ","acceptant"
"ປະທັບຕາ","acceptation"
"ປະທັບໃຈ","acceptavit"
"ປະນີປະນອມ","accepted"
"ປະພຶດ","acceptedly"
"ປະມານ","acceptee"
"ປະຢັດ","acceptees"
"ປະລິມານ","accepter"
"ປະຫລາດໃຈ","accepters"
"ປະຫວັດສາດ","acceptilate"
"ປະເຊີນຫນ້າ","acceptilated"
"ປະເທດ","acceptilating"
"ປະເພດ","acceptilation"
"ປະເພນີ","accepting"
"ປະເມີນ","acceptingly"
"ປະໂລຫິດ","acceptingness"
"ປະໂຫຍກ","acception"
"ປະໂຫຍດ","acceptive"
"ປາ","acceptor"
"ປາກ","acceptors"
"ປາກກາ","acceptor's"
"ປາກເວົ້າ","acceptress"
"ປາກົດຂື້ນ","accepts"
"ປາສະຫຼາມ","accerse"
"ປາສາດ","accersition"
"ປາຍ","accersitor"
"ປາດຖະຫນາ","access"
"ປານກາງ","accessability"
"ປາມ","accessable"
"ປາວານ","accessary"
"ປາແຊນມອນ","accessaries"
"ປາແລສໄຕນ໌","accessarily"
"ປິ່ນປົວ","accessariness"
"ປິດ","accessaryship"
"ປິດສະ","accessed"
"ປີ","accesses"
"ປີ້","accessibility"
"ປີ້ນກັບກັນ","accessibilities"
"ປີກ","accessible"
"ປີນຂຶ້ນ","accessibleness"
"ປຶ້ມ","accessibly"
"ປຶ້ມແບບຮຽນ","accessing"
"ປຶກສາ","accession"
"ປືນ","accessional"
"ປືນໃຫຍ່","accessioned"
"ປຸ່ມ","accessioner"
"ປຸ້ນ","accessioning"
"ປຸກ","accessions"
"ປຸງ​ແຕ່ງ​ອາ​ຫານ","accession's"
"ປູ່","accessit"
"ປູມເປົ້າ","accessive"
"ປົກກະຕິ","accessively"
"ປົກກະຕິແລ້ວ","accessless"
"ປົກຄອງ","accessor"
"ປົກປ້ອງ","accessory"
"ປຽບທຽບ","accessorial"
"ປັດຈຸບັນ","accessories"
"ປັດຊະຍາ","accessorii"
"ປັດໄຈ","accessorily"
"ປັບ","accessoriness"
"ປັບຕົວ","accessory's"
"ປັບປຸງ","accessorius"
"ປັບປຸງແກ້ໄຂ","accessoriusorii"
"ປັບໄຫມ","accessorize"
"ປັອບ","accessorized"
"ຜ່ອນຄາຍ","accessorizing"
"ຜ່າຕັດ","accessors"
"ຜ່ານ","accessor's"
"ຜ່ານການ","acciaccatura"
"ຜ້າ","acciaccaturas"
"ຜ້າມ່ານ","acciaccature"
"ຜ້າຫົ່ມ","accidence"
"ຜ້າເຊັດຕົວ","accidency"
"ຜ້າໄຫມ","accidencies"
"ຜ້າໃບ","accident"
"ຜະ​ລິດ​ຕະ​ພັນ","accidental"
"ຜະຈົນໄພ","accidentalism"
"ຜະສົມຜະສານ","accidentalist"
"ຜະລິດ","accidentality"
"ຜາ","accidentally"
"ຜິດ","accidentalness"
"ຜິດ​ພາດ","accidentals"
"ຜິດກົດໝາຍ","accidentary"
"ຜິດປົກກະຕິ","accidentarily"
"ຜິດຫວັງ","accidented"
"ຜິວໜັງ","accidential"
"ຜີ","accidentiality"
"ຜີປີສາດ","accidently"
"ຜູ້​ຈັດ​ການ","accident-prone"
"ຜູ້​ຊາຍ","accidents"
"ຜູ້​ບໍ​ລິ​ຫານ","accidia"
"ຜູ້​ປະ​ທ້ວງ","accidias"
"ຜູ້​ຫຼິ້ນ","accidie"
"ຜູ້ກະທຳຜິດ","accidies"
"ຜູ້ກໍ່ການຮ້າຍ","accinge"
"ຜູ້ກໍ່ຕັ້ງ","accinged"
"ຜູ້ຂາຍ","accinging"
"ຜູ້ຂຽນ","accipenser"
"ຜູ້ຂັບຂີ່","accipient"
"ຜູ້ຄຸມງານ","Accipiter"
"ຜູ້ຈັດພິມ","accipitral"
"ຜູ້ສ້າງ","accipitrary"
"ຜູ້ສະຫນັບສະຫນູນ","Accipitres"
"ຜູ້ສະໜັບສະໜູນ","accipitrine"
"ຜູ້ສະໝັກ","accipter"
"ຜູ້ສະເໜີຊື່","accise"
"ຜູ້ສູງອາຍຸ","accismus"
"ຜູ້ສັງເກດການ","accite"
"ຜູ້ຊ່ວຍ","Accius"
"ຜູ້ຊ່ຽວຊານ","acclaim"
"ຜູ້ຊະນະ","acclaimable"
"ຜູ້ຊາຍ","acclaimed"
"ຜູ້ຊື້","acclaimer"
"ຜູ້ຊົມ","acclaimers"
"ຜູ້ຍິງ","acclaiming"
"ຜູ້ຕອບ","acclaims"
"ຜູ້ຕາງຫນ້າ","acclamation"
"ຜູ້ຕິດຕາມ","acclamations"
"ຜູ້ຖືກກ່າວຟ້ອງ","acclamator"
"ຜູ້ນໍາ","acclamatory"
"ຜູ້ບັນຊາການ","acclimatable"
"ຜູ້ບັນຍາຍ","acclimatation"
"ຜູ້ບໍລິຫານ","acclimate"
"ຜູ້ບໍລິໂພກ","acclimated"
"ຜູ້ປະກອບການ","acclimatement"
"ຜູ້ປະກອບສ່ວນ","acclimates"
"ຜູ້ປະສານງານ","acclimating"
"ຜູ້ປະຕິບັດ","acclimation"
"ຜູ້ປົກຄອງ","acclimations"
"ຜູ້ຜະລິດ","acclimatisable"
"ຜູ້ພິພາກສາ","acclimatisation"
"ຜູ້ຟັງ","acclimatise"
"ຜູ້ລ້າ","acclimatised"
"ຜູ້ລອດຊີວິດ","acclimatiser"
"ຜູ້ລົງຄະແນນສຽງ","acclimatising"
"ຜູ້ອ່ານ","acclimatizable"
"ຜູ້ອອກແບບ","acclimatization"
"ຜູ້ອໍານວຍການ","acclimatizations"
"ຜູ້ຮຽນ","acclimatize"
"ຜູ້ຮັບ","acclimatized"
"ຜູ້ຮັບເໝົາ","acclimatizer"
"ຜູ້ເກັບ","acclimatizes"
"ຜູ້ເຂົ້າຮ່ວມ","acclimatizing"
"ຜູ້ເຄາະຮ້າຍ","acclimature"
"ຜູ້ເສຍພາສີ","acclinal"
"ຜູ້ເຊື່ອຖື","acclinate"
"ຜູ້ເລີ່ມຕົ້ນ","acclivity"
"ຜູ້ແພ້","acclivities"
"ຜູ້ໂດຍສານ","acclivitous"
"ຜູ້ໂທ","acclivous"
"ຜູ້ໃຊ້","accloy"
"ຜູ້ໃດ","accoast"
"ຜູ້ໃຫ້ທຶນ","accoy"
"ຜູ້ໃຫ້ບໍລິການ","accoyed"
"ຜູ້ໃຫຍ່","accoying"
"ຜູກ","accoil"
"ຜູກມັດ","Accokeek"
"ຜົງ","accolade"
"ຜົນກະທົບ","accoladed"
"ຜົນສະທ້ອນ","accolades"
"ຜົນສໍາເລັດ","accolated"
"ຜົນປະໂຫຍດ","accolent"
"ຜົນຜະລິດ","accoll"
"ຜົນໄດ້ຮັບ","accolle"
"ຜົມ","accolled"
"ຜົວ","accollee"
"ຜັກ","Accomac"
"ຜັກທຽມ","accombination"
"ຜັກບົ່ວ","accommodable"
"ຝ່າຍຄ້ານ","accommodableness"
"ຝ້າຍ","accommodate"
"ຝຣັ່ງ","accommodated"
"ຝາ","accommodately"
"ຝາແຝດ","accommodateness"
"ຝຸ່ນ","accommodates"
"ຝູງຊົນ","accommodating"
"ຝົນ","accommodatingly"
"ຝັ່ງ","accommodatingness"
"ຝັງ","accommodation"
"ຝັງສົບ","accommodational"
"ຝັນ","accommodationist"
"ຝັນຮ້າຍ","accommodations"
"ພ້ອມ","accommodative"
"ພ້ອມໆກັນ","accommodatively"
"ພຣະກິດຕິຄຸນ","accommodativeness"
"ພຣະຄຸນ","accommodator"
"ພຣະຄໍາພີ","accommodators"
"ພຣະຜູ້ເປັນເຈົ້າ","accomodate"
"ພຣະອາຈາຣຍ໌","accompanable"
"ພວກ​ເຮົາ","accompany"
"ພວກເຮົາ","accompanied"
"ພອນ","accompanier"
"ພອນສະຫວັນ","accompanies"
"ພະຄໍາພີ","accompanying"
"ພະຍາຍາມ","accompanyist"
"ພະຍາດ","accompaniment"
"ພະຍາດເບົາຫວານ","accompanimental"
"ພະຍານ","accompaniments"
"ພະຍາບານ","accompaniment's"
"ພະນັກງານ","accompanist"
"ພະລາຊະວັງ","accompanists"
"ພະລັງງານ","accompanist's"
"ພະເຈົ້າ","accomplement"
"ພະແນກ","accompletive"
"ພາກ","accompli"
"ພາກສ່ວນ","accomplice"
"ພາກສະຫນາມ","accomplices"
"ພາກພື້ນ","accompliceship"
"ພາກໃຕ້","accomplicity"
"ພາສາ","accomplis"
"ພາສາຍີ່ປຸ່ນ","accomplish"
"ພາສາອັງກິດ","accomplishable"
"ພາສີ","accomplished"
"ພາຍນອກ","accomplisher"
"ພາຍຸ","accomplishers"
"ພາຍໃຕ້","accomplishes"
"ພາຍໃນ","accomplishing"
"ພາຍໃນປະເທດ","accomplishment"
"ພາດ","accomplishments"
"ພາດສະຕິກ","accomplishment's"
"ພາບປະກອບ","accomplisht"
"ພາບລວງຕາ","accompt"
"ພາລະ","accord"
"ພາລະກິດ","accordable"
"ພາລາມິເຕີ","accordance"
"ພາຫະນະ","accordances"
"ພິ​ຈາ​ລະ​ນາ","accordancy"
"ພິ​ຊ​ຊ່າ","accordant"
"ພິ​ເສດ","accordantly"
"ພິກ","accordatura"
"ພິກໄທ","accordaturas"
"ພິຈາລະນາ","accordature"
"ພິສູດ","accorded"
"ພິທີ","accorder"
"ພິທີການ","accorders"
"ພິທີກຳ","according"
"ພິພິທະພັນ","accordingly"
"ພິມ","accordion"
"ພິເສດ","accordionist"
"ພີ່ນ້ອງ","accordionists"
"ພີ່ລ້ຽງ","accordions"
"ພຶດສະພາ","accordion's"
"ພຶດຕິກຳ","accords"
"ພື້ນຖານ","accorporate"
"ພື້ນຖານໂຄງລ່າງ","accorporation"
"ພື້ນທີ່","accost"
"ພື້ນຫລັງ","accostable"
"ພື້ນເມືອງ","accosted"
"ພືດ","accosting"
"ພືດສະຫມຸນໄພ","accosts"
"ພຸ່ມໄມ້","accouche"
"ພູ","accouchement"
"ພູ​ເຂົາ","accouchements"
"ພູມສັນຖານ","accoucheur"
"ພູມຕ້ານທານ","accoucheurs"
"ພູມໃຈ","accoucheuse"
"ພົ້ນເດັ່ນຂື້ນ","accoucheuses"
"ພົກພາ","accounsel"
"ພົນລະເມືອງ","account"
"ພົນລະເຮືອນ","accountability"
"ພົບ","accountabilities"
"ພົມ","accountable"
"ພົວພັນ","accountableness"
"ພຽງ​ພໍ","accountably"
"ພຽງພໍ","accountancy"
"ພຽງແຕ່","accountancies"
"ພັກ","accountant"
"ພັກຜ່ອນ","accountants"
"ພັດທະນາ","accountant's"
"ພັດລົມ","accountantship"
"ພັນ","accounted"
"ພັນຕື້","accounter"
"ພັນທະ","accounters"
"ພັນທະບັດ","accounting"
"ພັນທະມິດ","accountings"
"ພັນເອກ","accountment"
"ພັບ","accountrement"
"ພໍ່","accounts"
"ພໍ່ຄ້າ","accouple"
"ພໍ່ຄົວ","accouplement"
"ພໍ່ຕູ້","accourage"
"ພໍ່ແມ່","accourt"
"ພໍສົມ","accouter"
"ພໍດີ","accoutered"
"ພໍໃຈ","accoutering"
"ຟ","accouterment"
"ຟ້ອງ","accouterments"
"ຟ້າຜ່າ","accouters"
"ຟ້າວ","accoutre"
"ຟຣີ","accoutred"
"ຟອງ","accoutrement"
"ຟອດຊິນ","accoutrements"
"ຟາມ","accoutres"
"ຟີຊິກ","accoutring"
"ຟື້ນຕົວ","Accoville"
"ຟື້ນຟູ","ACCRA"
"ຟັກ","accrease"
"ຟັງ","accredit"
"ຟັນ","accreditable"
"ມ່ວນ","accreditate"
"ມ້ວນ","accreditation"
"ມ້າ","accreditations"
"ມມ","accredited"
"ມມ-ຫຶມ","accreditee"
"ມອງຂ້າມ","accrediting"
"ມອບໝາຍ","accreditment"
"ມອບໃຫ້","accredits"
"ມະ​ຫັດ​ສະ​ຈັນ","accrementitial"
"ມະນຸດ","accrementition"
"ມະນຸດສະທຳ","accresce"
"ມະນຸດຕ່າງດາວ","accrescence"
"ມະຫາສະໝຸດ","accrescendi"
"ມະຫາສານ","accrescendo"
"ມະຫາຊົນ","accrescent"
"ມະຫາວິທະຍາໄລ","accretal"
"ມະຫັດສະຈັນ","accrete"
"ມະເຮັງ","accreted"
"ມາ","accretes"
"ມາຈາກ","accreting"
"ມາດຕະການ","accretion"
"ມາດຕະຖານ","accretionary"
"ມາດຖານ","accretions"
"ມານ","accretion's"
"ມາລະຍາດ","accretive"
"ມາຮອດ","accriminate"
"ມິດຕະພາບ","Accrington"
"ມິຕິ","accroach"
"ມີ","accroached"
"ມີກິ່ນຫອມ","accroaching"
"ມີຄ່າ","accroachment"
"ມີຄວາມສ່ຽງ","accroides"
"ມີຄວາມສາມາດ","accruable"
"ມີຄວາມສຸກ","accrual"
"ມີຄວາມຜິດ","accruals"
"ມີຄວາມໝາຍ","accrue"
"ມີຄຸນສົມບັດ","accrued"
"ມີສ່ວນຮ່ວມ","accruement"
"ມີສິດໄດ້ຮັບ","accruer"
"ມີຊີວິດຢູ່","accrues"
"ມີດ","accruing"
"ມີນາ","ACCS"
"ມີປະສົບການ","ACCT"
"ມີຢູ່","acct."
"ມີລາຍໄດ້","accts"
"ມີອໍານາດ","accubation"
"ມີເຫດຜົນ","accubita"
"ມີໃຫ້","accubitum"
"ມື","accubitus"
"ມື​ອາ​ຊີບ","accueil"
"ມື້","accultural"
"ມື້​ກໍາ​ນົດ​ສົ່ງ","acculturate"
"ມື້​ນີ້","acculturated"
"ມື້ວານນີ້","acculturates"
"ມື້ອື່ນ","acculturating"
"ມື້ໃດນຶ່ງ","acculturation"
"ມືດ","acculturational"
"ມືຖື","acculturationist"
"ມືໃໝ່","acculturative"
"ມຸດສະລິມ","acculturize"
"ມຸມ","acculturized"
"ມົນລະພິດ","acculturizing"
"ມັກ","accum"
"ມັງກອນ","accumb"
"ມັດທະຍົມ","accumbency"
"ມັນ","accumbent"
"ມັນຕົ້ນ","accumber"
"ມັນເບີ","accumulable"
"ມໍລະດົກ","accumulate"
"ມໍເຕີ","accumulated"
"ຢ່າງ​ກ​້​ວາງ​ຂວາງ","accumulates"
"ຢ່າງ​ແຂງ​ແຮງ","accumulating"
"ຢ່າງ​ແທ້​ຈິງ","accumulation"
"ຢ່າງ​ແນ່​ນອນ","accumulations"
"ຢ່າງຈະແຈ້ງ","accumulativ"
"ຢ່າງຈິງຈັງ","accumulative"
"ຢ່າງສົມບູນ","accumulatively"
"ຢ່າງຕໍ່ເນື່ອງ","accumulativeness"
"ຢ່າງຖືກຕ້ອງ","accumulator"
"ຢ່າງບໍ່ຫນ້າເຊື່ອ","accumulators"
"ຢ່າງປອດໄພ","accumulator's"
"ຢ່າງລະອຽດ","accupy"
"ຢ່າງຫ້າວຫັນ","accur"
"ຢ່າງຫນ້ອຍ","accuracy"
"ຢ່າງຫຼວງຫຼາຍ","accuracies"
"ຢ່າງເຂັ້ມງວດ","accurate"
"ຢ່າງເສລີ","accurately"
"ຢ່າງເຕັມສ່ວນ","accurateness"
"ຢ່າງເປີດເຜີຍ","accuratenesses"
"ຢ່າງເປັນທາງການ","accurre"
"ຢ່າງແທ້ຈິງ","accurse"
"ຢ່າງໄວວາ","accursed"
"ຢ່າງໃກ້ຊິດ","accursedly"
"ຢ່າງໃດ","accursedness"
"ຢ່າງໃດກໍຕາມ","accursing"
"ຢ້ານ","accurst"
"ຢ້ຽມຢາມ","accurtation"
"ຢາ","accus"
"ຢາກຮູ້ຢາກເຫັນ","accusable"
"ຢາງ","accusably"
"ຢາສູບ","accusal"
"ຢາເສບຕິດ","accusals"
"ຢາເມັດ","accusant"
"ຢິວ","accusants"
"ຢືນ","accusation"
"ຢືນຢັນ","accusations"
"ຢືມ","accusation's"
"ຢຸດ","accusatival"
"ຢຸດ​ຊົ່ວ​ຄາວ","accusative"
"ຢູ່","accusative-dative"
"ຢູ່ທີ່ນັ້ນ","accusatively"
"ຢູ່ທົ່ວທຸກແຫ່ງ","accusativeness"
"ຢູ່ບ່ອນອື່ນ","accusatives"
"ຢູ່ໃສ","accusator"
"ຣີສອດ","accusatory"
"ລ່ວງໜ້າ","accusatorial"
"ລ່ອງເຮືອ","accusatorially"
"ລ່າ","accusatrix"
"ລ້ອມຮອບ","accusatrixes"
"ລ້າງ","accuse"
"ລ້ານ","accused"
"ລວມ","accuser"
"ລວມກັນ","accusers"
"ລວມຍອດ","accuses"
"ລວມທັງ","accusing"
"ລອຍ","accusingly"
"ລອດ","accusive"
"ລະ​ດູ​ຫນາວ","accusor"
"ລະ​ມັດ​ລະ​ວັງ","accustom"
"ລະຄອນ","accustomation"
"ລະຄອນຜູ້ຍິງ","accustomed"
"ລະດູການ","accustomedly"
"ລະດັບ","accustomedness"
"ລະບອບ","accustoming"
"ລະບາຍ","accustomize"
"ລະບຸ","accustomized"
"ລະບົບ","accustomizing"
"ລະບົບນິເວດ","accustoms"
"ລະບຽງ","Accutron"
"ລະບຽບ","ACD"
"ລະບຽບວິໄນ","ACDA"
"ລະມັດລະວັງ","AC-DC"
"ລະລາຍ","ACE"
"ລະຫວ່າງ","acea"
"ລະຫັດ","aceacenaphthene"
"ລະອຽດ","aceae"
"ລະອຽດອ່ອນ","acean"
"ລະເບີດ","aceanthrene"
"ລະເມີດ","aceanthrenequinone"
