"Hungarian","English"
"kukazunk","alcumy"
"kul","Alcus"
"kulccsal","Ald"
"kulcsar","Ald."
"kulcslyukon","Alda"
"kulcsszo","Aldabra"
"kuld","alday"
"kuldemeny","aldamin"
"kuldemenyt","aldamine"
"kuldenek","Aldan"
"kuldeni","aldane"
"kuldes","Aldarcy"
"kuldj","Aldarcie"
"kuldje","Aldas"
"kuldjel","aldazin"
"kuldjetek","aldazine"
"kuldjon","aldea"
"kuldok","aldeament"
"kuldom","Aldebaran"
"kuldott","aldebaranium"
"kuldottseg","Alded"
"kuldottsege","aldehydase"
"kuldottsegenek","aldehyde"
"kuldottseget","aldehydes"
"kuldottsegvezeto","aldehydic"
"kuldte","aldehydine"
"kuldtek","aldehydrol"
"kuldtem","aldehol"
"kulfoldi","aldeia"
"kulfoldiekkel","Alden"
"kulfoldon","Aldenville"
"kulfoldre","Alder"
"kulfoldrol","alder-"
"kulgazdasagi","Alderamin"
"kulin","Aldercy"
"kulkepviseletek","alderfly"
"kulomben","alderflies"
"kulon","alder-leaved"
"kulon-kulon","alderliefest"
"kulonallo","alderling"
"kulonben","Alderman"
"kulonbozo","aldermanate"
"kulonbozonek","aldermancy"
"kulonbseg","aldermaness"
"kulonbsegek","aldermanic"
"kulonbseggel","aldermanical"
"kulonfele","aldermanity"
"kulonitene","aldermanly"
"kulonitettek","aldermanlike"
"kulonitsenek","aldermanry"
"kulonos","aldermanries"
"kulonosen","alderman's"
"kulpolitikaja","aldermanship"
"kulpolitikajaban","Aldermaston"
"kulso","aldermen"
"kulsosegekkel","aldern"
"kulsosok","Alderney"
"kultu","alders"
"kultura","Aldershot"
"kulturalis","Alderson"
"kulturkor","alderwoman"
"kultusz","alderwomen"
"kultuszminiszternek","Aldhafara"
"kulugyi","Aldhafera"
"kulugyminiszter","aldide"
"kulugyminiszteri","Aldie"
"kulugyminiszterium","aldim"
"kulugyminiszternek","aldime"
"kulugyminiszterrel","aldimin"
"kulugyminisztert","aldimine"
"kulvarosokban","Aldin"
"kum","Aldine"
"kum-oknak","Aldington"
"kun","Aldis"
"kuncz","alditol"
"kuncze","Aldm"
"kupa","Aldo"
"kupa-donto","aldoheptose"
"kupa-merkozest","aldohexose"
"kupa-talalkozot","aldoketene"
"kupa-tornat","aldol"
"kupa-viadalt","aldolase"
"kupadontore","aldolases"
"kupaert","aldolization"
"kupagyozeteseknel","aldolize"
"kupagyoztes","aldolized"
"kupaja","aldolizing"
"kupajanak","aldols"
"kupolajan","Aldon"
"kuratoriuma","aldononose"
"kurmai","aldopentose"
"kurucz","Aldora"
"kurva","Aldos"
"kurzort","aldose"
"kutahyaban","aldoses"
"kutak","aldoside"
"kutassanak","aldosterone"
"kutat","aldosteronism"
"kutatas","Aldous"
"kutatasban","aldovandi"
"kutatashoz","aldoxime"
"kutatasi","Aldred"
"kutatasok","Aldredge"
"kutatasokra","Aldric"
"kutatjak","Aldrich"
"kutatnak","Aldridge"
"kutatni","Aldridge-Brownhills"
"kutatointezetben","Aldrin"
"kutatomunkat","aldrins"
"kutatoval","Aldrovanda"
"kutatva","Alduino"
"kuthi","Aldus"
"kutya","Aldwin"
"kutyut","Aldwon"
"kuvaigou","ale"
"kuzdelem","Alea"
"kuzdhet","aleak"
"kuzdottem","Aleardi"
"kuzmin","aleatory"
"kuznyecov","aleatoric"
"ku~lon","alebench"
"ku~tyu~","aleberry"
"kvalitativ","Alebion"
"kvr|l","ale-blown"
"kyqolu","ale-born"
"kyrillos","alebush"
"l","Alec"
"l-es","Alecia"
"l-lel","alecithal"
"l.varga","alecithic"
"la","alecize"
"la-ig","Aleck"
"lab","aleconner"
"labadrol","alecost"
"labainal","alecs"
"labat","Alecto"
"labbal","Alectoria"
"labdahoz","alectoriae"
"labdak","Alectorides"
"labdarugas","alectoridine"
"labdarugoja","alectorioid"
"labo","Alectoris"
"labor","alectoromachy"
"laborban","alectoromancy"
"laborfalvi","Alectoromorphae"
"labszag","alectoromorphous"
"laci","Alectoropodes"
"lacinak","alectoropodous"
"lady","alectryomachy"
"lafayette-ben","alectryomancy"
"lafayette-tol","Alectrion"
"lagalabb","Alectryon"
"lagymanyosi","Alectrionidae"
"lahol","alecup"
"lajos","Aleda"
"lajos(mdf","Aledo"
"lajos","alee"
"a","Aleece"
"lajos-dij","Aleedis"
"lajosnak","Aleen"
"lajosrol","Aleetha"
"lajossal","alef"
"lakasaba","ale-fed"
"lakasan","alefnull"
"lakashoz","alefs"
"lakaspanama","aleft"
"lakaspanama-ugyben","alefzero"
"lakast","alegar"
"lakastuzrol","alegars"
"lakat","aleger"
"lakatos","Alegre"
"lakberfuteses","Alegrete"
"lakhellyel","alehoof"
"lakik-e","alehouse"
"lakiteleki","alehouses"
"lakitelken","Aley"
"laknak","aleyard"
"lakohazak","Aleichem"
"lakohellyel","Aleydis"
"lakohelye","aleikoum"
"lakohelyemet","aleikum"
"lakohelyrol","aleiptes"
"lakoinak","aleiptic"
"lakoltassanak","Aleyrodes"
"lakom","aleyrodid"
"lakos","Aleyrodidae"
"lakosok","Aleixandre"
"lakossag","Alejandra"
"lakossagaranyanak","Alejandrina"
"lakossagi","Alejandro"
"lakossagu","Alejo"
"laktanya","Alejoa"
"laktanyalatogatason","Alek"
"laktanyarol","Alekhine"
"lalkozokat","Aleknagik"
"lalt","aleknight"
"lam","Aleksandr"
"lamaradtam","Aleksandropol"
"lamtitkarnak","Aleksandrov"
"lanckorlatok","Aleksandrovac"
"landed","Aleksandrovsk"
"lane","Alekseyevska"
"langgal","Aleksin"
"langjai","Alem"
"langok","Aleman"
"langot","alemana"
"language","Alemanni"
"lany","Alemannian"
"lanyit","Alemannic"
"lanykori","Alemannish"
"lanyok","Alembert"
"lanyoknak","alembic"
"lanyom","alembicate"
"lap","alembicated"
"lapertesuleseket","alembics"
"lapjai","alembroth"
"lapjan","Alemite"
"lapnak","alemmal"
"lapocskabol","alemonger"
"lapok","alen"
"lapokat","Alena"
"lapokban","Alencon"
"lapokon","alencons"
"lapon","Alene"
"lapot","alenge"
"lappeenranta","alength"
"lapszemle","Alenson"
"lapszemleben","Alentejo"
"lapszemlet","alentours"
"laptop","alenu"
"lapul","Aleochara"
"lapulo","Alep"
"lapvelemeny","aleph"
"lapzarta","aleph-null"
"lar","alephs"
"large","alephzero"
"las","aleph-zero"
"lasd","alepidote"
"lassan","alepine"
"lassitotta","alepole"
"lassu","alepot"
"lassusagat","Aleppine"
"laszlo","Aleppo"
"laszlonak","Aleras"
"laszlone","alerce"
"laszlot","alerion"
"laszloval","Aleris"
"lasztasi","Aleron"
"lat","alerse"
"latas","alert"
"latban","alerta"
"lathatjak","alerted"
"lathato","alertedly"
"lathatolag","alerter"
"latin","alerters"
"latinod","alertest"
"latja","alerting"
"latlan","alertly"
"latni","alertness"
"latnom","alertnesses"
"latod","alerts"
"latogat","ales"
"latogatas","alesan"
"latogatasaval","Alesandrini"
"latogatason","aleshot"
"latogato","Alesia"
"latok","Alessandra"
"latokoru","Alessandri"
"latom","Alessandria"
"latorcai","Alessandro"
"latotav","alestake"
"latotavolsag","ale-swilling"
"latoterben","Aleta"
"latott","aletap"
"latottaktol","aletaster"
"latszana","Aletes"
"latszanak","Aletha"
"latszik","Alethea"
"lattam","Alethia"
"lattam...koszi","alethic"
"lattan","alethiology"
"latvanya","alethiologic"
"latvanyos","alethiological"
"latvanyossag","alethiologist"
"latvanyt","alethopteis"
"latvanytol","alethopteroid"
"laugh","alethoscope"
"laurencz","aletocyte"
"lavedzs","Aletris"
"lawlib","Aletta"
"lazado","Alette"
"lazar","aleucaemic"
"lazatot","aleucemic"
"lazic","aleukaemic"
"laziotol","aleukemic"
"lctn","Aleurites"
"ld","aleuritic"
"le","Aleurobius"
"leadasat","Aleurodes"
"leallitasarol","Aleurodidae"
"leanykori","aleuromancy"
"leanyrol","aleurometer"
"leanyt","aleuron"
"learning","aleuronat"
"least","aleurone"
"leblokkolt","aleurones"
"lebontasa","aleuronic"
"lebontasat","aleurons"
"lebontasaval","aleuroscope"
"lebonyolitott","Aleus"
"ledobjak","Aleut"
"ledolnek","Aleutian"
"ledonthetnek","Aleutians"
"leeds","Aleutic"
"leeds-bol","aleutite"
"leegett","alevin"
"leendo","alevins"
"leengedte","Alevitsa"
"leepitessel","alew"
"leereszkedo","ale-washed"
"leeresztett","alewhap"
"leesett","alewife"
"lefagyasa","ale-wife"
"lefejelte","alewives"
"lefektetett","Alex"
"lefele","Alexa"
"lefitymalni","Alexander"
"lefoglalta","alexanders"
"lefolyoban","Alexanderson"
"leforditani","Alexandr"
"leg","Alexandra"
"legala","Alexandre"
"legalaabb","Alexandreid"
"legalabb","Alexandretta"
"legalabbis","Alexandria"
"legalabis","Alexandrian"
"legalacsonyabb","Alexandrianism"
"legalis","Alexandrina"
"legalisan","Alexandrine"
"legegyszerubb","alexandrines"
"legelismertebb","Alexandrinus"
"legelso","alexandrite"
"legenda","Alexandro"
"legenyseg","Alexandropolis"
"legepelne","Alexandros"
"legeslegutolso","Alexandroupolis"
"legfeljebb","Alexas"
"legfobb","Alexei"
"legfontosabb","Alexi"
"legfrisebb","Alexia"
"leggomb","Alexian"
"leggyakoribb","Alexiares"
"leghajo","alexias"
"leghajosoknal","alexic"
"leghajozas","Alexicacus"
"legieroenel","alexin"
"legierot","Alexina"
"leginkabb","Alexine"
"legismertebb","alexines"
"legitamadas","alexinic"
"legjavat","alexins"
"legjelentosebb","Alexio"
"legjobb","alexipharmacon"
"legjobbakat","alexipharmacum"
"legjobban","alexipharmic"
"legjobbkor","alexipharmical"
"legkesobb","alexipyretic"
"legkevesbe","ALEXIS"
"legkor","Alexishafen"
"legkoren","alexiteric"
"legkozelebb","alexiterical"
"legkozelebbit","Alexius"
"legkueloenfelebb","alezan"
"legnagyobb","Alf"
"legnepszerubb","ALFA"
"legpisztoly","Alfadir"
"legpisztolyos","alfaje"
"legpuskasok","alfaki"
"legsurgetobb","alfakis"
"legszebb","alfalfa"
"legterenek","alfalfas"
"legtobb","alfaqui"
"legtobbje","alfaquin"
"legujabb","alfaquins"
"legujabban","alfaquis"
"legutobb","Alfarabius"
"legutobbi","alfarga"
"legutobbit","alfas"
"legvedelmi","ALFE"
"legy","Alfedena"
"legyek","alfenide"
"legyel","Alfeo"
"legyen","alferes"
"legyen/menjen","alferez"
"legyenek","alfet"
"legyojjo","Alfeus"
"legyozte","Alfheim"
"legyszi","Alfi"
"legyszives","Alfy"
"lehangolo","Alfie"
"lehel","Alfieri"
"lehessen","alfilaria"
"lehet","alfileria"
"lehet-e","alfilerilla"
"lehetetlen","alfilerillo"
"lehetett","alfin"
"lehetne","alfiona"
"lehetnek","alfione"
"leheto","Alfirk"
"lehetoleg","alfoncino"
"lehetoseg","Alfons"
"lehetosege","Alfonse"
"lehetosegeit","alfonsin"
"lehetosegek","Alfonso"
"lehetosegeket","Alfonson"
"lehetosegekkel","Alfonzo"
"lehetosegekrol","Alford"
"lehetosegem","alforge"
"lehetoseget","alforja"
"lehetoseghez.az","alforjas"
"lehetove","Alfraganus"
"lehetseges","Alfred"
"lehetseges","Alfreda"
"forduljanak","Alfredo"
"lehetseges-e","alfresco"
"lehett","Alfric"
"lehettek","alfridary"
"lehivhatod","alfridaric"
"lehivtam","Alfur"
"lehozott","Alfurese"
"lehull","Alfuro"
"leiras","al-Fustat"
"leirasa","Alg"
"leirasba","alg-"
"leirni","Alg."
"leirt","alga"
"leirta","algae"
"leirtak","algaecide"
"leirtam","algaeology"
"lejarasi","algaeological"
"lejarassak","algaeologist"
"lejarta","algaesthesia"
"lejatszani","algaesthesis"
"lejatszhato","algal"
"lejatszo","algal-algal"
"lejatszok","Algalene"
"lejatszokat","algalia"
"lejatszom","Algar"
"lejatszot","algarad"
"lejatszotta","algarde"
"lejenti","algaroba"
"lekonyult","algarobas"
"lekopott","algarot"
"lekoszono","Algaroth"
"lekotort","algarroba"
"lektor","algarrobilla"
"lelek","algarrobin"
"lelemeny","Algarsyf"
"lelemenyesseget","Algarsife"
"lelepek","Algarve"
"lelepettek","algas"
"lelke","algate"
"lelked","algates"
"lelkek","algazel"
"lelkes","Al-Gazel"
"lelkesiti","Algebar"
"lelket","algebra"
"lellemes","algebraic"
"leloedoezni","algebraical"
"leloni","algebraically"
"lelosseg","algebraist"
"lem","algebraists"
"lemaradni","algebraization"
"lemaradtam","algebraize"
"lemberg","algebraized"
"lemegy","algebraizing"
"lement","algebras"
"lemet","algebra's"
"lemez","algebrization"
"lemezek","Algeciras"
"lemezeket","Algedi"
"lemezen","algedo"
"lemezkei","algedonic"
"lemezt","algedonics"
"lemond","algefacient"
"lemondasaval","Algenib"
"lemondott","Alger"
"len","Algeria"
"lencseket","Algerian"
"lencsen","algerians"
"lencsere","algerienne"
"lencset","Algerine"
"lencsevel","algerines"
"lendvai","algerita"
"lenezo","algerite"
"lengokaros","Algernon"
"lengyel","algesia"
"lengyelek","algesic"
"lengyelo","algesimeter"
"lengyelorsz","algesiometer"
"lengyelorszag","algesireceptor"
"lenleg","algesis"
"lenne","algesthesis"
"lenne","algetic"
"hiszen","Alghero"
"lennek","Algy"
"lennel","algia"
"lennem","Algic"
"lennenek","algicidal"
"lennenk","algicide"
"lenni","algicides"
"lennne","algid"
"lenseg","algidity"
"lentesevel","algidities"
"lentette","algidness"
"lenti","Algie"
"lenyeg","Algieba"
"lenyege","Algiers"
"lenyege","algific"
"a","algin"
"lenyege","alginate"
"hogy","alginates"
"lenyeges","algine"
"lenyeges-e","alginic"
"lenyegesen","algins"
"lenyegi","alginuresis"
"lenyingrad","algiomuscular"
"lenyomasaval","algist"
"lenyomni","algivorous"
"lenyomom","algo-"
"lenyomta","algocyan"
"lenyu'ltak","algodon"
"lenyugszik","algodoncillo"
"lenyulni","algodonite"
"lenyuulni","algoesthesiometer"
"leo","algogenic"
"leomlasanak","algoid"
"leonardo","ALGOL"
"leopoldo","algolagny"
"leostyan","algolagnia"
"lep","algolagnic"
"lepcso","algolagnist"
"lepek","algology"
"lepes","algological"
"lepesben","algologically"
"lepeseivel","algologies"
"lepeseket","algologist"
"lepesekkel","Algoma"
"lepessel","Algoman"
"lepett","algometer"
"lephetek","algometry"
"lephetett","algometric"
"lepik","algometrical"
"lepjenek","algometrically"
"leplezetlen","Algomian"
"lepnek","Algomic"
"lepnem","Algona"
"lepni","Algonac"
"lepnie","Algonkian"
"lepoednek","Algonkin"
"leptek","Algonkins"
"lerakodas","Algonquian"
"lereszegedik","Algonquians"
"lerezetelte","Algonquin"
"lerobbant","Algonquins"
"lerohad","algophagous"
"lerohadt","algophilia"
"lerohantak","algophilist"
"les","algophobia"
"les/","algor"
"lesek","Algorab"
"less","Algores"
"leste","algorism"
"lestyan","algorismic"
"lestyankent","algorisms"
"lesujto","algorist"
"lesz","algoristic"
"lesz.a","algorithm"
"leszallitja","algorithmic"
"leszallitotta","algorithmically"
"leszallnak","algorithms"
"leszallokabinjanak","algorithm's"
"leszarmazottai","algors"
"leszedni","algosis"
"leszek","algous"
"leszel-e","algovite"
"leszerzodtettek","algraphy"
"lesznek","algraphic"
"leszogezik","Algren"
"leszogezte","alguacil"
"leszoritani","alguazil"
"lesztek","alguifou"
"lesztesi","Alguire"
"letartoztatott","algum"
"letenyenel","algums"
"leterdekei","alhacena"
"leterdekeinek","Alhagi"
"leterdekek","Alhambra"
"letesitendo","Alhambraic"
"letesitesevel","Alhambresque"
"letett","alhandal"
"letette","Alhazen"
"letezeserol","Alhena"
"letezett","alhenna"
"letezhet","alhet"
"letezik","ALI"
"letezik-e","aly"
"leteznek","ali-"
"letezo","Alia"
"letilto","Alya"
"letisztult","Aliacensis"
"letoltott","aliamenta"
"letorlik","alias"
"letoroltem","aliased"
"letre","aliases"
"letrehozando","aliasing"
"letrehozasarol","Alyattes"
"letrehozasat","Alibamu"
"letrehozott","alibangbang"
"letrejott","Aliber"
"letrejottet","alibi"
"letrejovo","alibied"
"letszam","alibies"
"letszamu","alibiing"
"lett","alibility"
"lettem","alibis"
"leumi","alibi's"
"levego","alible"
"levegot","Alic"
"level","Alica"
"levelbe","Alicant"
"levelben","Alicante"
"levelbomba","Alice"
"levelbombak","Alyce"
"levelbombakkal","Alicea"
"levelbombat","Alice-in-Wonderland"
"azt","Aliceville"
"levelcimet","alichel"
"levele","Alichino"
"levelebol","Alicia"
"leveled","alicyclic"
"levelek","Alick"
"leveleket","alicoche"
"levelem","alycompaine"
"levelembol","alictisal"
"levelemet","alicula"
"leveleneknehezen","aliculae"
"levelere","Alida"
"levelet","Alyda"
"levelezeseink","alidad"
"leveleznek","alidada"
"levelezni","alidade"
"levelezo","alidades"
"levelnek","alidads"
"levelrol","Alydar"
"levelvaltas","Alidia"
"leven","Alidis"
"leveri","Alids"
"levesenek","Alidus"
"levisticum'-bol","Alie"
"levo","Alief"
"levokre","alien"
"levonasat","alienability"
"levonasokat","alienabilities"
"levonjak","alienable"
"levonnak","alienage"
"levont","alienages"
"lexicon","alienate"
"lezarjak","alienated"
"lezarta","alienates"
"lezartak","alienating"
"lezarulhat","alienation"
"lezarult","alienations"
"lezese","alienator"
"lezese.(ez","aliency"
"lezsak","aliene"
"lfoldon","aliened"
"lhc","alienee"
"li","alienees"
"libanoni","aliener"
"liberalis","alieners"
"liberalisokkal","alienicola"
"liberias","alienicolae"
"liberty.uc.wlu.edu","alienigenate"
"libiai","aliening"
"library","alienism"
"licet","alienisms"
"lidove","alienist"
"liebe","alienists"
"lieresu","alienize"
"lift","alienly"
"liga","alienness"
"liga-eredmenyek","alienor"
"liga-merkozes","alienors"
"liga-merkozesek","aliens"
"liga-merkozeseken","alien's"
"ligaban","alienship"
"ligajaban","Alyeska"
"ligeti","aliesterase"
"ligonier","aliet"
"ligonierben","aliethmoid"
"lik","aliethmoidal"
"likewise","alif"
"lila-fehe","Alifanfaron"
"lila-feherek","alife"
"lilak","aliferous"
"lillafuredi","aliform"
"lillehammeri","alifs"
"limfoma","Aligarh"
"lindfield","aligerous"
"line","alight"
"linguae","alighted"
"lingviszticseszkije","alighten"
"linux","alighting"
"liptak","alightment"
"liquid","alights"
"lis","align"
"lista","aligned"
"listaban","aligner"
"listaja","aligners"
"listajanak","aligning"
"listajat","alignment"
"listat","alignments"
"listavezeto","aligns"
"lisztes","aligreek"
"lisztes","alii"
"illetve","aliya"
"litasi","aliyah"
"litvania","aliyahs"
"livye","aliyas"
"ljawittok","aliyos"
"ljd","aliyot"
"ljubljana","aliyoth"
"ljubljanaba","aliipoe"
"lo","Alika"
"lobbantak","alike"
"lobbyzast","Alikee"
"lobo","alikeness"
"lobol","alikewise"
"locitromokkal","Alikuluf"
"logfile-bol","Alikulufan"
"logikaban","alilonghi"
"logikai","alima"
"logikajanak","alimenation"
"logikus","aliment"
"logikusan","alimental"
"login","alimentally"
"login.dkuug.dk","alimentary"
"logoff","alimentariness"
"logojat","alimentation"
"logok","alimentative"
"logon","alimentatively"
"loistallo","alimentativeness"
"loistallot","alimented"
"lojalis","alimenter"
"lojje","alimentic"
"lok","alimenting"
"lokomotiva","alimentive"
"lon","alimentiveness"
"londonba","alimentotherapy"
"londonban","aliments"
"londoni","alimentum"
"lonek","alimony"
"lonyai","alimonied"
"lonye","alimonies"
"looistaaloo","alymphia"
"looistaalooszag","alymphopotent"
"lopni","alin"
"loquet","Alina"
"lord","alinasal"
"los","Aline"
"loszag","A-line"
"lot","alineation"
"lotartasra","alined"
"lothiexka","alinement"
"lott","aliner"
"lottek","aliners"
"lou","alines"
"loudfie","alingual"
"louis","alining"
"loujupou","alinit"
"lovage-nak","Alinna"
"lovaglas","alinota"
"lovagoltam","alinotum"
"lovakat","alintatao"
"lovakrul","aliofar"
"lovas","Alyose"
"lovat","Alyosha"
"loveses","Alioth"
"lovet","alipata"
"loveval","aliped"
"low-kickben","alipeds"
"lozsice","aliphatic"
"lu","alipin"
"lucas","alypin"
"lucenec","alypine"
"lucinschi","aliptae"
"ludens-rol","alipteria"
"ludens.elte.hu-n","alipterion"
"ludens.elte.hu-t","aliptes"
"ludovika","aliptic"
"lujupu","aliptteria"
"lukacs(miep)inditvanyoz","alypum"
"lukacsi","aliquant"
"lukin","aliquid"
"lukovics","Aliquippa"
"luzern","aliquot"
"luzernt","aliquots"
"lvalue","Alis"
"lven","Alys"
"lvov","Alisa"
"lyavitod","Alysa"
"lyeknel","Alisan"
"lyelentoesege","Alisander"
"lyet","alisanders"
"lyezettjei","Alyse"
"lyi","Alisen"
"lyok","aliseptal"
"lyosabb","alish"
"lyrusu","Alisha"
"lyuk","Alisia"
"m","Alysia"
"m$","alisier"
"m-es","Al-Iskandariyah"
"m.kir.vallases","Alisma"
"m.o-rol","Alismaceae"
"m`g","alismaceous"
"ma","alismad"
"maar","alismal"
"mac","Alismales"
"mac-bol","Alismataceae"
"mac-nepstadion","alismoid"
"maccabi","aliso"
"machine","Alison"
"macintosh","Alyson"
"macintosh-ra","alisonite"
"macintosha","alisos"
"maciot","Alysoun"
"mackosajtban","alisp"
"macsee","alispheno"
"maczo","alisphenoid"
"madach","alisphenoidal"
"madachtol","Alyss"
"madi","Alissa"
"madl","Alyssa"
"madrid","alysson"
"madridi","Alyssum"
"mafc","alyssums"
"maga","alist"
"magaba","Alistair"
"magaban","Alister"
"magabiztos","Alisun"
"magad","ALIT"
"magadjak","Alita"
"magadnak","Alitalia"
"magadott","alytarch"
"magam","alite"
"magamba","aliter"
"magammal","Alytes"
"magan","Alitha"
"maganak","Alithea"
"magancelra","Alithia"
"maganember","ality"
"maganhangzo","alitrunk"
"maganhangzo+massalhangzo","Alitta"
"magankezbe","aliturgic"
"maganlaksertesert","aliturgical"
"maganlevelben","aliunde"
"maganlevelezesemet","Alius"
"maganlevelezesen","alive"
"maganszemely","aliveness"
"maganszemelyek","alives"
"maganuton","alivincular"
"maganvallalathoz","Alyworth"
"maganvallalkozok","Alix"
"magara","Aliza"
"magarol","alizarate"
"magas","alizari"
"magasabb","alizarin"
"magasabbra","alizarine"
"magaslat","alizarins"
"magaslati","aljama"
"magasra","aljamado"
"magassagaban","aljamia"
"magassagbol","aljamiado"
"magassagokbol","aljamiah"
"magassagos","aljoba"
"magat","aljofaina"
"magatol","alk"
"magaval","alk."
"magazin","Alkabo"
"magda","alkahest"
"maghallgatsz","alkahestic"
"magikus","alkahestica"
"magja","alkahestical"
"magnesasztalt","alkahests"
"magnespatko","Alkaid"
"magnolia","alkalamide"
"magot","alkalemia"
"maguk","alkalescence"
"magukat","alkalescency"
"maguknak","alkalescent"
"magyar","alkali"
"magyar-amerikai","alkalic"
"magyar-irani","alkalies"
"magyar-izraeli","alkaliferous"
"magyar-lengyel","alkalify"
"magyar-osztrak","alkalifiable"
"magyar-roman","alkalified"
"magyar-szlovak","alkalifies"
"magyar-torok","alkalifying"
"magyar-ukran","alkaligen"
"magyarabbul","alkaligenous"
"magyaran","alkalimeter"
"magyarazad","alkalimetry"
"magyarazat","alkalimetric"
"magyarazata","alkalimetrical"
"magyarazatait","alkalimetrically"
"magyarazatat","alkalin"
"magyarazatot","alkaline"
"magyarazni","alkalinisation"
"magyarazo","alkalinise"
"magyarazta","alkalinised"
"magyaraztak","alkalinising"
"magyarazza","alkalinity"
"magyarazzak","alkalinities"
"magyarba","alkalinization"
"magyarban","alkalinize"
"magyarbol","alkalinized"
"magyaricae","alkalinizes"
"magyaro","alkalinizing"
"magyarok","alkalinuria"
"magyarokat","alkalis"
"magyarokkal","alkali's"
"magyaroknak","alkalisable"
"magyaror","alkalisation"
"magyarorszag","alkalise"
"magyarorszaggal","alkalised"
"magyarorszagi","alkaliser"
"magyarorszagit","alkalises"
"magyarorszagon","alkalising"
"magyarorszagot","alkalizable"
"magyarorszagra","alkalizate"
"magyarorszagrol","alkalization"
"magyarra","alkalize"
"magyarral","alkalized"
"magyarsag","alkalizer"
"magyarszloven","alkalizes"
"magyartanari","alkalizing"
"magyartanulasukat","alkaloid"
"magyarukran","alkaloidal"
"magyarul","alkaloids"
"mahanhangzo","alkaloid's"
"mai","alkalometry"
"maihoz","alkalosis"
"mail","alkalous"
"mail-t","Alkalurops"
"mailen","alkamin"
"mailer","alkamine"
"maine-ben","alkanal"
"majd","alkane"
"majd.emellett","alkanes"
"majdnem","alkanet"
"majdxsak","alkanethiol"
"major","alkanets"
"majus","Alkanna"
"majusatol","alkannin"
"make","alkanol"
"makon","Alkaphrah"
"makrancoskodik","alkapton"
"malet","alkaptone"
"malev","alkaptonuria"
"managereknek","alkaptonuric"
"managert","alkargen"
"manapsag","alkarsin"
"mandarin","alkarsine"
"mandatumarol","Alka-Seltzer"
"mandatummal","alkatively"
"mandatumra","alkedavy"
"mandula","alkekengi"
"mangrove","alkene"
"manifesz","alkenes"
"manifesztacio","alkenyl"
"manyok","alkenna"
"manyszovivoi","alkermes"
"manyt","Alkes"
"manyzatok","Alkhimovo"
"mar","alky"
"mara","alkyd"
"marad","alkide"
"maradhat","alkyds"
"maradhatsz","alkies"
"maradjon","alkyl"
"maradni","alkylamine"
"marado","alkylamino"
"maradona","alkylarylsulfonate"
"maradt","alkylate"
"maradva","alkylated"
"maradvanya","alkylates"
"maratoninak","alkylating"
"marcius","alkylation"
"marciusban","alkylbenzenesulfonate"
"margit","alkylbenzenesulfonates"
"maria","alkylene"
"marianna","alkylic"
"mariannt","alkylidene"
"maribor","alkylize"
"marie-josephe","alkylogen"
"maris","alkylol"
"markat","alkyloxy"
"market","alkyls"
"marketing","alkin"
"marmint","alkine"
"marosi","alkyne"
"marpedig","alkines"
"mars","alkynes"
"mars.sztaki.hu","alkitran"
"marschall","Alkmaar"
"marta","Alkol"
"martak","alkool"
"martina","Alkoran"
"martir","Alkoranic"
"marton","alkoxy"
"mary","alkoxid"
"mary-joe","alkoxide"
"marylandban","alkoxyl"
"mas","all"
"mas-mas","all-"
"masba","Alla"
"masban","all-abhorred"
"maselli","all-able"
"maset","all-absorbing"
"masfajta","allabuta"
"masfel","all-accomplished"
"masfele","allachesthesia"
"mashol","all-acting"
"masik","allactite"
"masikat","all-admired"
"masikban","all-admiring"
"masikig","all-advised"
"masina","allaeanthus"
"masinan","all-affecting"
"masirozik","all-afflicting"
"maskepp","all-aged"
"maskor","allagite"
"maskulonben","allagophyllous"
"masnak","allagostemonous"
"masnap","Allah"
"masodallasu","Allahabad"
"masodev-vegi","allah's"
"masodfokon","allay"
"masodik","allayed"
"masodikra","allayer"
"masodkezbol","allayers"
"masodlagos","allaying"
"masodosztaly","allayment"
"masodosztalybol","Allain"
"masodpercenkent","Allayne"
"masodpercenkenti","all-air"
"masodrendu","allays"
"masodsorban","allalinite"
"masodszor","Allamanda"
"masok","all-amazed"
"masokat","All-american"
"masoknak","allamonti"
"masokra","all-a-mort"
"masoktol","allamoth"
"masolatat","allamotti"
"masolnak","Allamuchy"
"masolni","Allan"
"masra","Allana"
"masreszt","Allan-a-Dale"
"mass","allanite"
"massal","allanites"
"massalhangzo","allanitic"
"massalhangzo+maganhangzo+massalhangzo","Allanson"
"massalhangzot","allantiasis"
"masszi","all'antica"
"mast","allantochorion"
"masur","allantoic"
"maszik","allantoid"
"mata","allantoidal"
"matav","Allantoidea"
"matav-os","allantoidean"
"matavrol","allantoides"
"matek","allantoidian"
"matematika","allantoin"
"matematikai","allantoinase"
"matematikus","allantoinuria"
"mathematician","allantois"
"matyas","allantoxaidin"
"mav","allanturic"
"max","all-appaled"
"maximus","all-appointing"
"mb-ra","all-approved"
"mbyte","all-approving"
"mbyte-tal","Allard"
"mci-nal","Allardt"
"mdf","Allare"
"mdf-delegacio","allargando"
"mdf-es","all-armed"
"mdf-et","all-around"
"mdf-frakcioszovivo","all-arraigning"
"mdf-kuldottseg","all-arranging"
"mdf-nek","Allasch"
"mdf-sajtotajekoztato","all-assistless"
