"Khmer","English"
"ប៉ូលីស","acataphasia"
"ប៉េងប៉ោង","acataposis"
"ប៉េងប៉ោះ","acatastasia"
"ប៉ះ","acatastatic"
"ប៉ះចុះ","acate"
"ប៉ះពាល់","acategorical"
"ប៊ិច","acater"
"ប៊ីត","acatery"
"ប៊ីស្សព","acates"
"ប៊ឺ","acatharsy"
"ប៊ឺហ្គឺ","acatharsia"
"ប៊ូតុង","acatholic"
"បាក់តេរី","acaudal"
"បាក់ទឹកចិត្ត","acaudate"
"បាច់","acaudelescent"
"បាញ់","acaulescence"
"បាត","acaulescent"
"បាតដៃ","acauline"
"បាតុកម្ម","acaulose"
"បាតុភូត","acaulous"
"បាត់","ACAWS"
"បាត់បង់","ACB"
"បាទ","ACBL"
"បានកើនឡើង","ACC"
"បានប្រើ","acc."
"បានផ្តល់","acca"
"បានផ្តល់ឱ្យ","accable"
"បានរកឃើញ","Accad"
"បានស្នើឡើង","accademia"
"បារម្ភ","Accadian"
"បារាំង","Accalia"
"បារី","acce"
"បាល់","accede"
"បាល់ទាត់","acceded"
"បាល់បោះ","accedence"
"បាវ","acceder"
"បិ​តិក​ភណ្ឌ","acceders"
"បិទ","accedes"
"បិសាច","acceding"
"បី","accel"
"បឹង","accel."
"បុក","accelerable"
"បុគ្គល","accelerando"
"បុគ្គលិក","accelerant"
"បុគ្គលិកលក្ខណៈ","accelerate"
"បុណ្យណូអែល","accelerated"
"បុព្វបុរស","acceleratedly"
"បុព្វលាភ","accelerates"
"បុរស","accelerating"
"បុរាណ","acceleratingly"
"បូក","acceleration"
"បូជាចារ្យ","accelerations"
"បូម","accelerative"
"បួន","accelerator"
"បើក","acceleratory"
"បើកដំណើរការ","accelerators"
"បើកបរ","accelerograph"
"បើមិនដូច្នេះទេ","accelerometer"
"បេក្ខជន","accelerometers"
"បេក្ខភាព","accelerometer's"
"បេតុង","accend"
"បេសកកម្ម","accendibility"
"បេះដូង","accendible"
"បែងចែក","accensed"
"បៃតង","accension"
"បោកគក់","accensor"
"បោស","accent"
"បោះ","accented"
"បោះចោល","accenting"
"បោះឆ្នោត","accentless"
"បោះបង់","accentor"
"បោះបង់ចោល","accentors"
"បោះពុម្ព","accents"
"បោះពុម្ពផ្សាយ","accentuable"
"ប្តី","accentual"
"ប្តីប្រពន្ធ","accentuality"
"ប្តឹង","accentually"
"ប្តូរ","accentuate"
"ប្តេជ្ញាចិត្ត","accentuated"
"ប្រកបដោយប្រសិទ្ធភាព","accentuates"
"ប្រកាន់ពូជសាសន៍","accentuating"
"ប្រកាស","accentuation"
"ប្រកួត​ផ្ដាច់ព្រ័ត្រ","accentuations"
"ប្រកួតប្រជែង","accentuator"
"ប្រកែក","accentus"
"ប្រចាំខែ","accept"
"ប្រចាំឆ្នាំ","acceptability"
"ប្រចាំថ្ងៃ","acceptabilities"
"ប្រចាំសប្តាហ៍","acceptable"
"ប្រចៀវ","acceptableness"
"ប្រឆាំង","acceptably"
"ប្រឆាំង​នឹង​ទល់​នឹង","acceptance"
"ប្រជាធិបតេយ្យ","acceptances"
"ប្រជាប្រិយ","acceptance's"
"ប្រជាប្រិយភាព","acceptancy"
"ប្រជាសាស្រ្ត","acceptancies"
"ប្រឈម","acceptant"
"ប្រឈមមុខ","acceptation"
"ប្រញាប់","acceptavit"
"ប្រដាប់ក្មេងលេង","accepted"
"ប្រដាប់អាវុធ","acceptedly"
"ប្រឌិត","acceptee"
"ប្រតិកម្ម","acceptees"
"ប្រតិទិន","accepter"
"ប្រតិបត្តិ","accepters"
"ប្រតិបត្តិករ","acceptilate"
"ប្រតិបត្តិការ","acceptilated"
"ប្រថុយប្រថាន","acceptilating"
"ប្រទានពរ","acceptilation"
"ប្រទេស","accepting"
"ប្រធាន","acceptingly"
"ប្រធានក្រុម","acceptingness"
"ប្រធានបទ","acception"
"ប្រធានាធិបតី","acceptive"
"ប្រផេះ","acceptor"
"ប្រពន្ធ","acceptors"
"ប្រពៃណី","acceptor's"
"ប្រព្រឹត្ត","acceptress"
"ប្រព័ន្ធ","accepts"
"ប្រព័ន្ធផ្សព្វផ្សាយ","accerse"
"ប្រព័ន្ធអេកូឡូស៊ី","accersition"
"ប្រភព","accersitor"
"ប្រភពដើម","access"
"ប្រភាគ","accessability"
"ប្រភេទ","accessable"
"ប្រមាណ","accessary"
"ប្រមូល","accessaries"
"ប្រមូលផ្តុំ","accessarily"
"ប្រយុទ្ធ","accessariness"
"ប្រយោគ","accessaryship"
"ប្រយោជន៍","accessed"
"ប្រយ័ត្ន","accesses"
"ប្រលោមលោក","accessibility"
"ប្រវត្តិរូប","accessibilities"
"ប្រវត្តិវិទូ","accessible"
"ប្រវត្តិសាស្ត្រ","accessibleness"
"ប្រវែង","accessibly"
"ប្រសិទ្ធភាព","accessing"
"ប្រសិនបើ","accession"
"ប្រសើរឡើង","accessional"
"ប្រហែល","accessioned"
"ប្រហែលជា","accessioner"
"ប្រអប់","accessioning"
"ប្រាកដ","accessions"
"ប្រាកដណាស់","accession's"
"ប្រាកដនិយម","accessit"
"ប្រាក់","accessive"
"ប្រាក់​សោធន​និវត្តន៍","accessively"
"ប្រាក់កម្ចី","accessless"
"ប្រាក់ខែ","accessor"
"ប្រាក់ចំណូល","accessory"
"ប្រាក់ចំណេញ","accessorial"
"ប្រាក់ឈ្នួល","accessories"
"ប្រាក់បញ្ញើ","accessorii"
"ប្រាក់រង្វាន់","accessorily"
"ប្រាក់ឧបត្ថម្ភ","accessoriness"
"ប្រាជ្ញា","accessory's"
"ប្រាថ្នា","accessorius"
"ប្រាប់","accessoriusorii"
"ប្រាសាទ","accessorize"
"ប្រាំ","accessorized"
"ប្រាំបី","accessorizing"
"ប្រាំបួន","accessors"
"ប្រាំពីរ","accessor's"
"ប្រាំមួយ។","acciaccatura"
"ប្រឹក្សា","acciaccaturas"
"ប្រូតេអ៊ីន","acciaccature"
"ប្រូបាប៊ីលីតេ","accidence"
"ប្រើ","accidency"
"ប្រើប្រាស់","accidencies"
"ប្រៀបធៀប","accident"
"ប្រេកង់","accidental"
"ប្រេង","accidentalism"
"ប្រែប្រួល","accidentalist"
"ប្លន់","accidentality"
"ប្លាស្ទិក","accidentally"
"ប្លុក","accidentalness"
"ប្លែក","accidentals"
"បំណងប្រាថ្នា","accidentary"
"បំណុល","accidentarily"
"បំណះ","accidented"
"បំបាត់","accidential"
"បំបែក","accidentiality"
"បំប្លែង","accidently"
"បំផុសគំនិត","accident-prone"
"បំផ្លាញ","accidents"
"បំពង់","accidia"
"បំពង់ក","accidias"
"បំពាក់","accidie"
"បំពាន","accidies"
"បំពេញ","accinge"
"បំរែបំរួល","accinged"
"ផងដែរ","accinging"
"ផងដែរ។","accipenser"
"ផលប៉ះពាល់","accipient"
"ផលបូក","Accipiter"
"ផលប័ត្រ","accipitral"
"ផលិត","accipitrary"
"ផលិតផល","Accipitres"
"ផលិតភាព","accipitrine"
"ផាកពិន័យ","accipter"
"ផឹក","accise"
"ផុតកំណត់","accismus"
"ផុសឡើង","accite"
"ផើង","Accius"
"ផេះ","acclaim"
"ផែនការ","acclaimable"
"ផែនដី","acclaimed"
"ផែនទី","acclaimer"
"ផោន","acclaimers"
"ផ្កា","acclaiming"
"ផ្កាកុលាប","acclaims"
"ផ្កាឈូក","acclamation"
"ផ្កាភ្លើង","acclamations"
"ផ្កាយរណប","acclamator"
"ផ្ញើ","acclamatory"
"ផ្តល់","acclimatable"
"ផ្តល់​ប្រាក់កម្ចី","acclimatation"
"ផ្តល់ឱ្យ","acclimate"
"ផ្តាច់មុខ","acclimated"
"ផ្តួចផ្តើម","acclimatement"
"ផ្តោតអារម្មណ៍","acclimates"
"ផ្ទាល់","acclimating"
"ផ្ទាល់ខ្លួន","acclimation"
"ផ្ទាំង","acclimations"
"ផ្ទាំងក្រណាត់","acclimatisable"
"ផ្ទាំងរូបភាព","acclimatisation"
"ផ្ទុក","acclimatise"
"ផ្ទុះ","acclimatised"
"ផ្ទៀង​ផ្ទាត់","acclimatiser"
"ផ្ទេរ","acclimatising"
"ផ្ទៃ","acclimatizable"
"ផ្ទៃខាងក្រោយ","acclimatization"
"ផ្ទះ","acclimatizations"
"ផ្ទះបាយ","acclimatize"
"ផ្ទះល្វែង","acclimatized"
"ផ្នូរ","acclimatizer"
"ផ្នែក","acclimatizes"
"ផ្នែកខាងក្នុង","acclimatizing"
"ផ្នែកបន្ថែម","acclimature"
"ផ្នែករឹង","acclinal"
"ផ្លាស់ទី","acclinate"
"ផ្លាស់ប្តូរ","acclivity"
"ផ្លុំ","acclivities"
"ផ្លូវ","acclivitous"
"ផ្លូវការ","acclivous"
"ផ្លូវចិត្ត","accloy"
"ផ្លូវច្បាប់","accoast"
"ផ្លូវដើរ","accoy"
"ផ្លូវដែក","accoyed"
"ផ្លូវភេទ","accoying"
"ផ្លូវរូងក្រោមដី","accoil"
"ផ្លូវលំ","Accokeek"
"ផ្លូវហាយវេ","accolade"
"ផ្លេកបន្ទោរ","accoladed"
"ផ្លែឈើ","accolades"
"ផ្លែប៉ោម","accolated"
"ផ្សព្វផ្សាយ","accolent"
"ផ្សារ​ទំនើប","accoll"
"ផ្សេងទៀត","accolle"
"ផ្សេងទៀត។","accolled"
"ផ្សេងៗ","accollee"
"ផ្សំ","Accomac"
"ផ្អាក","accombination"
"ផ្អែម","accommodable"
"ពង្រីក","accommodableness"
"ពង្រឹង","accommodate"
"ពណ៌","accommodated"
"ពណ៌នា","accommodately"
"ពណ៌ផ្កាឈូក","accommodateness"
"ពណ៌ស្វាយ","accommodates"
"ពត់","accommodating"
"ពន្ធ","accommodatingly"
"ពន្យល់","accommodatingness"
"ពន្យាពេល","accommodation"
"ពន្លឺ","accommodational"
"ពន្លឺថ្ងៃ","accommodationist"
"ពន្លឺព្រះអាទិត្យ","accommodations"
"ពពក","accommodative"
"ពពុះ","accommodatively"
"ពពែ","accommodativeness"
"ពរជ័យ","accommodator"
"ពលកម្ម","accommodators"
"ពលបាល","accomodate"
"ពលរដ្ឋ","accompanable"
"ពស់","accompany"
"ពាក្យ","accompanied"
"ពាក្យចចាមអារ៉ាម","accompanier"
"ពាក្យប្រៀបធៀប","accompanies"
"ពាក្យសំដី","accompanying"
"ពាក់","accompanyist"
"ពាក់​កណ្តាលផ្លូវ","accompaniment"
"ពាក់កណ្តាល","accompanimental"
"ពាក់ព័ន្ធ","accompaniments"
"ពាង","accompaniment's"
"ពាណិជ្ជកម្ម","accompanist"
"ពាណិជ្ជករ","accompanists"
"ពាន់","accompanist's"
"ពាន់​លាន","accomplement"
"ពាន់ពាន់លាន","accompletive"
"ពិការ","accompli"
"ពិការភាព","accomplice"
"ពិការភ្នែក","accomplices"
"ពិគ្រោះ","accompliceship"
"ពិចារណា","accomplicity"
"ពិដាន","accomplis"
"ពិត","accomplish"
"ពិតជា","accomplishable"
"ពិតប្រាកដ","accomplished"
"ពិធី","accomplisher"
"ពិធីការ","accomplishers"
"ពិធីជប់លៀង","accomplishes"
"ពិធីបុណ្យ","accomplishing"
"ពិធីបុណ្យ​សព","accomplishment"
"ពិធីសាសនា","accomplishments"
"ពិនិត្យ","accomplishment's"
"ពិនិត្យមើល","accomplisht"
"ពិន្ទុ","accompt"
"ពិន័យ","accord"
"ពិពណ៌នា","accordable"
"ពិព័រណ៍","accordance"
"ពិភពលោក","accordances"
"ពិភាក្សា","accordancy"
"ពិសិដ្ឋ","accordant"
"ពិសេស","accordantly"
"ពិសោធន៍","accordatura"
"ពី","accordaturas"
"ពីចម្ងាយ","accordature"
"ពីមុន","accorded"
"ពីរ","accorder"
"ពីរដង","accorders"
"ពឹងផ្អែក","according"
"ពុករលួយ","accordingly"
"ពុម្ពអក្សរក្បូរក្បាច់","accordion"
"ពុល","accordionist"
"ពូ","accordionists"
"ពូកែ","accordions"
"ពួកគេ","accordion's"
"ពួកគេ។","accords"
"ពួកបរិសុទ្ធ","accorporate"
"ពួកយើង","accorporation"
"ពេជ្រ","accost"
"ពេញ","accostable"
"ពេញ​មោ៉​ង","accosted"
"ពេញចិត្ត","accosting"
"ពេញនិយម","accosts"
"ពេញលេញ","accouche"
"ពេល","accouchement"
"ពេលក្រោយ","accouchements"
"ពេលខ្លះ","accoucheur"
"ពេលណា​","accoucheurs"
"ពេលវេលា","accoucheuse"
"ពែង","accoucheuses"
"ពោត","accounsel"
"ពោះ","account"
"ព្យាណូ","accountability"
"ព្យាបាល","accountabilities"
"ព្យាយាម","accountable"
"ព្យុះ","accountableness"
"ព្យួរ","accountably"
"ព្រ​លាន​យន្តហោះ","accountancy"
"ព្រមាន","accountancies"
"ព្រលឹង","accountant"
"ព្រិល","accountants"
"ព្រឹក","accountant's"
"ព្រឹកព្រលឹម","accountantship"
"ព្រឹត្តិការណ៍","accounted"
"ព្រឹទ្ធសភា","accounter"
"ព្រឹទ្ធសមាជិក","accounters"
"ព្រួញ","accounting"
"ព្រែក","accountings"
"ព្រៃ","accountment"
"ព្រំដែន","accountrement"
"ព្រះ","accounts"
"ព្រះ​ច័ន្ទ","accouple"
"ព្រះគម្ពីរ","accouplement"
"ព្រះគុណ","accourage"
"ព្រះនាង","accourt"
"ព្រះរាជអាជ្ញា","accouter"
"ព្រះវិហារ","accoutered"
"ព្រះអង្គម្ចាស់","accoutering"
"ព្រះអម្ចាស់","accouterment"
"ព្រះអាទិត្យ","accouterments"
"ព័ត៌មាន","accouters"
"ព័ត៌មានជំនួយ","accoutre"
"ភក្ដីភាព","accoutred"
"ភក់","accoutrement"
"ភព","accoutrements"
"ភស្តុតាង","accoutres"
"ភាគខាងកើត","accoutring"
"ភាគច្រើន","Accoville"
"ភាគនិរតី","ACCRA"
"ភាគពាយ័ព្យ","accrease"
"ភាគរយ","accredit"
"ភាគល្អិត","accreditable"
"ភាគហ៊ុន","accreditate"
"ភាគឦសាន","accreditation"
"ភាគអាគ្នេយ៍","accreditations"
"ភាព​ចាំបាច់","accredited"
"ភាព​ជឿជាក់","accreditee"
"ភាព​ត្រឹមត្រូវ","accrediting"
"ភាព​ស្មុគស្មាញ","accreditment"
"ភាព​អត់​ការងារ​ធ្វើ","accredits"
"ភាព​អត់​ឃ្លាន","accrementitial"
"ភាពក្រីក្រ","accrementition"
"ភាពក្លាហាន","accresce"
"ភាពខុសគ្នា","accrescence"
"ភាពងងឹត","accrescendi"
"ភាពងាយស្រួល","accrescendo"
"ភាពចម្រុះ","accrescent"
"ភាពចម្រូងចម្រាស","accretal"
"ភាពច្នៃប្រឌិត","accrete"
"ភាពច្របូកច្របល់","accreted"
"ភាពជាដៃគូ","accretes"
"ភាពជាអ្នកដឹកនាំ","accreting"
"ភាពជឿជាក់","accretion"
"ភាពតានតឹង","accretionary"
"ភាពទន់ខ្សោយ","accretions"
"ភាពបត់បែន","accretion's"
"ភាពមិនប្រាកដប្រជា","accretive"
"ភាពយន្ត","accriminate"
"ភាពរសើប","Accrington"
"ភាពរីករាយ","accroach"
"ភាពល្ងង់ខ្លៅ","accroached"
"ភាពវឹកវរ","accroaching"
"ភាពស៊ាំ","accroachment"
"ភាពស្ងៀមស្ងាត់","accroides"
"ភាពស្មុគស្មាញ","accruable"
"ភាពស្រដៀងគ្នា","accrual"
"ភាពអាចរកបាន","accruals"
"ភារកិច្ច","accrue"
"ភាសា","accrued"
"ភាសាអង់គ្លេស","accruement"
"ភាសាអេស្ប៉ាញ","accruer"
"ភីហ្សា","accrues"
"ភូមិ","accruing"
"ភួយ","ACCS"
"ភៀសខ្លួន","ACCT"
"ភេទ","acct."
"ភេរវកម្ម","accts"
"ភេរវករ","accubation"
"ភោជនីយដ្ឋាន","accubita"
"ភ្ជាប់","accubitum"
"ភ្ញាក់","accubitus"
"ភ្ញាក់ផ្អើល","accueil"
"ភ្ញៀវ","accultural"
"ភ្នាក់ងារ","acculturate"
"ភ្នាល់","acculturated"
"ភ្នែក","acculturates"
"ភ្នំ","acculturating"
"ភ្លាមៗ","acculturation"
"ភ្លឺ","acculturational"
"ភ្លើង","acculturationist"
"ភ្លៀង","acculturative"
"ភ្លេច","acculturize"
"ភ្លោះ","acculturized"
"ភ្លៅ","acculturizing"
"ភ័យ","accum"
"ភ័យខ្លាច","accumb"
"ភ័យរន្ធត់","accumbency"
"ម","accumbent"
"មក","accumber"
"មកដល់","accumulable"
"មកុដ","accumulate"
"មតិ","accumulated"
"មតិកែលម្អ","accumulates"
"មតិយោបល់","accumulating"
"មធ្យម","accumulation"
"មនសិការ","accumulations"
"មនុស្ស","accumulativ"
"មនុស្សចាស់","accumulative"
"មនុស្សធម៌","accumulatively"
"មនុស្សពេញវ័យ","accumulativeness"
"មនុស្សយន្ត","accumulator"
"មនោគមវិជ្ជា","accumulators"
"មនោសញ្ចេតនា","accumulator's"
"មន្តស្នេហ៍","accupy"
"មន្ត្រី","accur"
"មន្ទីរពិសោធន៍","accuracy"
"មន្ទីរពេទ្យ","accuracies"
"មម","accurate"
"មរណៈ","accurately"
"មរតក","accurateness"
"ម-ហម","accuratenesses"
"មហាក្សត្រី","accurre"
"មហារីក","accurse"
"មហាវិទ្យាល័យ","accursed"
"មហាសមុទ្រ","accursedly"
"មហិច្ឆតា","accursedness"
"ម៉ាក","accursing"
"ម៉ាក់","accurst"
"ម៉ាយ","accurtation"
"ម៉ាស","accus"
"ម៉ាស៊ីន","accusable"
"ម៉ាស៊ីនមេ","accusably"
"ម៉ិកស៊ិក","accusal"
"ម៉ឺនុយ","accusals"
"ម៉ូដ","accusant"
"ម៉ូទ័រ","accusants"
"ម៉ូនីទ័រ","accusation"
"ម៉ូលេគុល","accusations"
"ម៉ែត្រ","accusation's"
"ម៉ោង","accusatival"
"ម៉ោន","accusative"
"មាតាបិតា","accusative-dative"
"មាតិកា","accusatively"
"មាតុភូមិ","accusativeness"
"មាត្រដ្ឋាន","accusatives"
"មាត់","accusator"
"មាន","accusatory"
"មាន​ផា​សុខភាព","accusatorial"
"មានកំណត់","accusatorially"
"មានឆន្ទៈ","accusatrix"
"មានតម្លៃ","accusatrixes"
"មានតម្លៃសមរម្យ","accuse"
"មានទេពកោសល្យ","accused"
"មានទោស","accuser"
"មានន័យ","accusers"
"មានបទពិសោធន៍","accuses"
"មានប្រយោជន៍","accusing"
"មានប្រសិទ្ធភាព","accusingly"
"មានប្រសិទ្ធិភាព","accusive"
"មានបំណង","accusor"
"មានផ្ទៃពោះ","accustom"
"មានមហិច្ឆតា","accustomation"
"មានលក្ខណៈគ្រប់គ្រាន់","accustomed"
"មានលទ្ធភាព","accustomedly"
"មានសមត្ថភាព","accustomedness"
"មានសិទ្ធិ","accustoming"
"មានសុខភាពល្អ","accustomize"
"មានឥទ្ធិពល","accustomized"
"មានអារម្មណ៍","accustomizing"
"មាស","accustoms"
"មិត្ត","Accutron"
"មិត្តប្រុស","ACD"
"មិត្តភក្ដិ","ACDA"
"មិត្តភាព","AC-DC"
"មិត្តរួម","ACE"
"មិត្តរួមការងារ","acea"
"មិត្តរួមក្រុម","aceacenaphthene"
"មិត្តស្រី","aceae"
"មិន​គួរ​ឱ្យ​ជឿ","acean"
"មិន​ដូច","aceanthrene"
"មិនគួរឱ្យជឿ","aceanthrenequinone"
"មិនច្បាស់លាស់","acecaffin"
"មិនដែល","acecaffine"
"មិនទំនង","aceconitic"
"មិនធម្មតា","aced"
"មិននឹកស្មានដល់","acedy"
"មិនពិត","acedia"
"មិនយល់ស្រប","acediamin"
"មិនយូរប៉ុន្មាន","acediamine"
"មិនសមរម្យ","acedias"
"មិនសមហេតុសមផល","acediast"
"មិនស្គាល់","ace-high"
"មិនស្គាល់អត្តសញ្ញាណ","Acey"
"មិនស្រួល","acey-deucy"
"មិនស្វែងរកប្រាក់ចំណេញ","aceite"
"មិនអាច","aceituna"
"មិនអាចទៅរួច","Aceldama"
"មិនអីទេ","aceldamas"
"មិនអើពើ","acellular"
"មីង","Acemetae"
"មុខ","Acemetic"
"មុខងារ","acemila"
"មុខរបរ","acenaphthene"
"មុតស្រួច","acenaphthenyl"
"មុន","acenaphthylene"
"មុំ","acenesthesia"
"មូលដ្ឋាន","acensuada"
"មូលដ្ឋានទិន្នន័យ","acensuador"
"មូលធននិយម","acentric"
"មូលនិធិ","acentrous"
"មូលហេតុ","aceology"
"មូស្លីម","aceologic"
"មួក","aceous"
"មួកសុវត្ថិភាព","acephal"
"មួយទៀត","Acephala"
"មួយផ្នែក","acephalan"
"មួយ។","Acephali"
"មើល","acephalia"
"មើលឃើញ","Acephalina"
"មើលមិនឃើញ","acephaline"
"មើលរំលង","acephalism"
"មេ","acephalist"
"មេកានិក","Acephalite"
"មេកានិច","acephalocyst"
"មេឃ","acephalous"
"មេដាយ","acephalus"
"មេដៃ","acepots"
"មេត្តា","acequia"
"មេធាវី","acequiador"
"មេធ្មប់","acequias"
"មេបញ្ជាការ","Acer"
"មេរៀន","Aceraceae"
"មេសា","aceraceous"
"មោទនភាព","Acerae"
"ម្ចាស់","Acerata"
"ម្ចាស់ជំនួយ","acerate"
"ម្ចាស់ផ្ទះ","acerated"
"ម្ជុល","Acerates"
"ម្តង","acerathere"
"ម្តងទៀត","Aceratherium"
"ម្តងម្កាល","aceratosis"
"ម្តងហើយម្តងទៀត","acerb"
"ម្តាយ","Acerbas"
"ម្ភៃ","acerbate"
"ម្រាមជើង","acerbated"
"ម្រាមដៃ","acerbates"
"ម្រេច","acerbating"
"ម្លប់","acerber"
"ម្សិលមិញ","acerbest"
"ម្សៅ","acerbic"
"មំសាសី","acerbically"
"យក","acerbity"
"យកឈ្នះ","acerbityacerose"
"យក្ស","acerbities"
"យន្តការ","acerbitude"
"យន្តហោះ","acerbly"
"យប់","acerbophobia"
"យប់នេះ។","acerdol"
"យល់","aceric"
"យល់ឃើញ","acerin"
"យល់ដឹង","acerli"
"យល់ព្រម","acerola"
"យ៉ាង​ងាយស្រួល","acerolas"
"យ៉ាង​ណា​ក៏​ដោយ","acerose"
"យ៉ាង​ត្រឹមត្រូវ","acerous"
"យ៉ាង​ពិតប្រាកដ","acerra"
"យ៉ាង​យឺត","acers"
"យ៉ាងខ្លាំង","acertannin"
"យ៉ាងខ្លី","acerval"
"យ៉ាងងាយស្រួល","acervate"
"យ៉ាងច្បាស់លាស់","acervately"
"យ៉ាងឆាប់រហ័ស","acervatim"
"យ៉ាងជាក់លាក់","acervation"
"យ៉ាងជិតស្និទ្ធ","acervative"
"យ៉ាងជ្រាលជ្រៅ","acervose"
"យ៉ាងតឹងរ៉ឹង","acervuli"
"យ៉ាងទន់ភ្លន់","acervuline"
"យ៉ាងធ្ងន់ធ្ងរ","acervulus"
"យ៉ាងធំ","aces"
"យ៉ាងពិតប្រាកដ","ace's"
"យ៉ាងពេញលេញ","acescence"
"យ៉ាងរឹងមាំ","acescency"
"យ៉ាងល្អឥតខ្ចោះ","acescent"
"យ៉ាងលំបាក","acescents"
"យ៉ាងសកម្ម","aceship"
"យ៉ាងសំខាន់","Acesius"
"យ៉ាងហោចណាស់","acesodyne"
"យានជំនិះ","acesodynous"
"យានដ្ឋាន","Acessamenus"
"យាម","Acestes"
"យាយ","acestoma"
"យឺត","acet-"
"យុត្តាធិការ","aceta"
"យុត្តិធម៌","acetable"
"យុថ្កា","acetabula"
"យុទ្ធនាការ","acetabular"
"យុទ្ធសាស្ត្រ","Acetabularia"
"យុវជន","acetabuliferous"
"យូរ","acetabuliform"
"យើង","acetabulous"
"យោង","acetabulum"
"យោធា","acetabulums"
"យោល។","acetacetic"
"យំ","acetal"
"ឬ","acetaldehydase"
"រកឃើញ","acetaldehyde"
"រកបាន","acetaldehydrase"
"រក្សា","acetaldol"
"រក្សាទុក","acetalization"
"រក្សាសិទ្ធិ","acetalize"
"រងទុក្ខ","acetals"
"រង្វង់","acetamid"
"រង្វាន់","acetamide"
"រង្វាស់","acetamidin"
"រង្វិលជុំ","acetamidine"
"រង់ចាំ","acetamido"
"រចនាប័ទ្ម","acetamids"
"រចនាសម្ព័ន្ធ","acetaminol"
"រញ៉េរញ៉ៃ","Acetaminophen"
"រដុប","acetanilid"
"រដូវ","acetanilide"
"រដូវក្តៅ","acetanion"
"រដូវរងា","acetaniside"
"រដ្ឋ","acetanisidide"
"រដ្ឋធម្មនុញ្ញ","acetanisidine"
"រដ្ឋបាល","acetannin"
"រដ្ឋមន្ត្រី","acetary"
"រដ្ឋាភិបាល","acetarious"
"រណ្តៅ","acetars"
"រតនាគារ","acetarsone"
"រត់","acetate"
"រត់គេចខ្លួន","acetated"
"រថភ្លើង","acetates"
"រទេះ","acetation"
"រន្ធ","acetazolamide"
"របក","acetbromamide"
"របង","acetenyl"
"របប","Acetes"
"របបអាហារ","acethydrazide"
"របស់​អ្នក","acetiam"
"របស់ខ្ញុំ","acetic"
"របស់គាត់។","acetify"
"របស់នាង","acetification"
"របស់ពួកគេ។","acetified"
"របស់យើង។","acetifier"
"របស់វា។","acetifies"
"របស់អ្នក។","acetifying"
"របាយការណ៍","acetyl"
"របារ","acetylacetonates"
"របារចំហៀង","acetylacetone"
"របាំង","acetylamine"
"របួស","acetylaminobenzene"
"របៀប","acetylaniline"
"របៀបរស់នៅ","acetylasalicylic"
"របៀបវារៈ","acetylate"
"រមណីយដ្ឋាន","acetylated"
"រមៀល","acetylating"
"រយ","acetylation"
"រយៈ​ពេល​ខ្លី","acetylative"
"រយៈ​ពេល​វែង","acetylator"
"រយៈពេល","acetylbenzene"
"រលក","acetylbenzoate"
"រលាយ","acetylbenzoic"
"រលុង","acetylbiuret"
"រលោង","acetylcarbazole"
"រវល់","acetylcellulose"
"រវាង","acetylcholine"
"រវើរវាយ","acetylcholinesterase"
"ឫស","acetylcholinic"
"រសជាតិ","acetylcyanide"
"រសាត់","acetylenation"
"រសើប","acetylene"
"រសៀល","acetylenediurein"
"រស់","acetylenes"
"រស់នៅ","acetylenic"
"រហូតដល់","acetylenyl"
"រហ័ស","acetylenogen"
"រអិល","acetylfluoride"
"រ៉ាដា","acetylglycin"
"រ៉ាឌីកាល់","acetylglycine"
"រ៉ាំរ៉ៃ","acetylhydrazine"
"រ៉ិចទ័រ","acetylic"
"រ៉ុក្កែត","acetylid"
"រ៉ូប","acetylide"
"រ៉ូម៉ាំង","acetyliodide"
"រាក់","acetylizable"
"រាង","acetylization"
"រាងកាយ","acetylize"
"រាជ","acetylized"
"រាជធានី","acetylizer"
"រានហាល។","acetylizing"
"រាប់","acetylmethylcarbinol"
"រាប់មិនអស់","acetylperoxide"
"រាប់សិប","acetylphenylhydrazine"
"រាយការណ៍","acetylphenol"
"រាយប៉ាយ","acetylrosaniline"
"រារាំង","acetyls"
"រាល់","acetylsalicylate"
"រាំ","acetylsalicylic"
"រិះគន់","acetylsalol"
"រីកចម្រើន","acetyltannin"
"រីកធំ","acetylthymol"
"រីករាយ","acetyltropeine"
"រីករាលដាល","acetylurea"
"រីកលូតលាស់","acetimeter"
"រឹង","acetimetry"
"រឹងមាំ","acetimetric"
"រឹបអូស","acetin"
"រឹម","acetine"
"រុករក","acetins"
"រុក្ខជាតិ","acetite"
"រុញ","acetize"
"រុស្ស៊ី","acetla"
"រុំ","acetmethylanilide"
"រូងភ្នំ","acetnaphthalide"
"រូប","aceto-"
"រូបចម្លាក់","acetoacetanilide"
"រូបតំណាង","acetoacetate"
"រូបថត","acetoacetic"
"រូបភាព","acetoamidophenol"
"រូបមន្ត","acetoarsenite"
"រូបរាង","Acetobacter"
"រូបវិទ្យា","acetobenzoic"
"រូបសំណាក","acetobromanilide"
"រូបិយប័ណ្ណ","acetochloral"
"រូបិយវត្ថុ","acetocinnamene"
"រួចរាល់","acetoin"
"រួចហើយ","acetol"
"រួបរួម","acetolysis"
"រួម","acetolytic"
"រួមចំណែក","acetometer"
"រួមទាំង","acetometry"
"រួមបញ្ចូល","acetometric"
