"Greek","English"
"διάστρεμμα","appassionato"
"διασύνδεση","appast"
"διασφαλίζω","appaume"
"διασφάλιση","appaumee"
"διαταξικός","APPC"
"διαταράσσω","appd"
"διατελέσας","appeach"
"διατίθεμαι","appeacher"
"διατομικός","appeachment"
"διατονικός","appeal"
"διατρανώνω","appealability"
"διατράνωση","appealable"
"διαφεντεύω","appealed"
"διαφθορέας","appealer"
"διαφθορείο","appealers"
"διαφορικός","appealing"
"διαχειμάζω","appealingly"
"διαχείμαση","appealingness"
"διαχείριση","appeals"
"διαχυτικός","appear"
"διδακτήριο","appearance"
"διδακτικός","appearanced"
"διδάκτορας","appearances"
"διδακτορία","appeared"
"διδασκαλία","appearer"
"διδάσκαλος","appearers"
"διεθνισμός","appearing"
"διεθνιστής","appears"
"διεθνοποιώ","appeasable"
"διεκδίκηση","appeasableness"
"διενέργεια","appeasably"
"διεξοδικός","appease"
"διερεύνηση","appeased"
"διερμηνέας","appeasement"
"διερμηνεία","appeasements"
"διερμηνεύω","appeaser"
"διερωτώμαι","appeasers"
"διευθέτηση","appeases"
"διευθυντής","appeasing"
"διευκολύνω","appeasingly"
"διηθητικός","appeasive"
"διημέρευση","Appel"
"διηρημένος","appellability"
"διθύραμβος","appellable"
"δικαιολογώ","appellancy"
"δικαιοσύνη","appellant"
"δικαιούμαι","appellants"
"δικαιούχος","appellant's"
"δικαστήριο","appellate"
"δικαστικός","appellation"
"δικηγορίνα","appellational"
"δικογραφία","appellations"
"δικτάτορας","appellative"
"δικτατορία","appellatived"
"διμηνιαίος","appellatively"
"διμοιρίτης","appellativeness"
"διολίσθηση","appellatory"
"διοπτρικός","appellee"
"διορατικός","appellees"
"διοργανώνω","appellor"
"διοργάνωση","appellors"
"διορθώτρια","appels"
"διόσκουροι","appenage"
"διοχέτευση","append"
"διπλασιάζω","appendage"
"διπλοπενιά","appendaged"
"διπλοτυπία","appendages"
"διπλότυπος","appendage's"
"διπλοψηφία","appendalgia"
"διπλωμάτης","appendance"
"διπλωματία","appendancy"
"διποδισμός","appendant"
"διπολισμός","appendectomy"
"διπροσωπία","appendectomies"
"διπρόσωπος","appended"
"δισέγγονος","appendence"
"δισκοβολία","appendency"
"δισκοβόλος","appendent"
"δισκόφρενο","appender"
"δισύλλαβος","appenders"
"διχαστικός","appendical"
"διχογνωμία","appendicalgia"
"διχοστασία","appendicate"
"διχοτόμηση","appendice"
"διχρωμικός","appendiceal"
"δογματικός","appendicectasis"
"δοκιμαστής","appendicectomy"
"δοκιμιακός","appendicectomies"
"δολιοφθορά","appendices"
"δολοπλοκία","appendicial"
"δολοπλόκος","appendicious"
"δομιστικός","appendicitis"
"δοξαστικός","appendicle"
"δραματικός","appendicocaecostomy"
"δραπέτευση","appendico-enterostomy"
"δραστήριος","appendicostomy"
"δρομολόγιο","appendicular"
"δυναμισμός","Appendicularia"
"δυναμίτιδα","appendicularian"
"δυναμιτίζω","Appendiculariidae"
"δυναστικός","Appendiculata"
"δυνατότητα","appendiculate"
"δυσάρεστος","appendiculated"
"δυσαρμονία","appending"
"δυσεντερία","appenditious"
"δυσεύρετος","appendix"
"δύσκαμπτος","appendixed"
"δυσκινησία","appendixes"
"δυσκίνητος","appendixing"
"δυσκοίλιος","appendix's"
"δυσχεραίνω","appendorontgenography"
"δύσχρηστος","appendotome"
"δωδεκάμερο","appends"
"δωδεκάμηνο","appennage"
"δωρεοδόχος","appense"
"δωρολήπτης","appentice"
"εγγλέζικος","Appenzell"
"εγγυημένος","apperceive"
"εγγυητικός","apperceived"
"εγγυοδοσία","apperceiving"
"εγερτήριος","apperception"
"εγκαθιδρύω","apperceptionism"
"εγκαινιάζω","apperceptionist"
"εγκαινίαση","apperceptionistic"
"εγκαρδιώνω","apperceptive"
"εγκαυστική","apperceptively"
"εγκιβωτίζω","appercipient"
"εγκλεισμός","appere"
"έγκλειστος","apperil"
"εγκλιτικός","appersonation"
"εγκριτικός","appersonification"
"εγκυμοσύνη","appert"
"εγκυρότητα","appertain"
"εγνωσμένος","appertained"
"εγχάρακτος","appertaining"
"εγχειρίδιο","appertainment"
"εγχρήματος","appertains"
"εγωίσταρος","appertinent"
"εγωιστικός","appertise"
"εδαφολογία","appestat"
"εθελοθυσία","appestats"
"εθελόντρια","appet"
"εθελοτυφλώ","appete"
"εθελούσιος","appetence"
"εθιμοτυπία","appetency"
"εθνεγερσία","appetencies"
"εθνεγέρτης","appetent"
"εθνικισμός","appetently"
"εθνικιστής","appetibility"
"εθνικοποιώ","appetible"
"εθνικότητα","appetibleness"
"εθνικόφρων","appetiser"
"εθνογραφία","appetising"
"εθνογράφος","appetisse"
"εθνοφρουρά","appetit"
"εθνοφυλακή","appetite"
"ειδικότητα","appetites"
"ειδοποίηση","appetite's"
"εικαστικός","appetition"
"εικοσαετής","appetitional"
"εικοσαετία","appetitious"
"εικοσάρικο","appetitive"
"εικοτολογώ","appetitiveness"
"ειλικρινής","appetitost"
"ειρηνευτής","appetize"
"ειρηνιστής","appetized"
"εισαγγελία","appetizement"
"εισαγωγέας","appetizer"
"εισαγωγικά","appetizers"
"εισέρχομαι","appetizing"
"εισηγήτρια","appetizingly"
"εισηγούμαι","Appia"
"εισιτήριος","Appian"
"εκατέρωθεν","appinite"
"εκατόλιτρο","Appius"
"εκατοντάδα","appl"
"εκατοστίζω","applanate"
"εκατόφυλλο","applanation"
"εκατόχρονο","applaud"
"εκβλαστάνω","applaudable"
"εκβλάστηση","applaudably"
"εκδικήτρια","applauded"
"εκδικούμαι","applauder"
"εκδούλευση","applauders"
"εκδρομικός","applauding"
"εκθειασμός","applaudingly"
"εκθεσιακός","applauds"
"εκκαθαρίζω","applause"
"εκκαθάριση","applauses"
"εκκριτικός","applausive"
"εκλαΐκευση","applausively"
"εκλατινίζω","Apple"
"εκλέγεσθαι","appleberry"
"εκλειπτική","Appleby"
"εκλεκτικός","appleblossom"
"εκλέκτορας","applecart"
"εκλέπτυνση","apple-cheeked"
"εκλιπάρηση","appled"
"εκλογικεύω","Appledorf"
"εκμηδενίζω","appledrane"
"εκμηδένιση","appledrone"
"εκμηχάνιση","apple-eating"
"εκμισθωτής","apple-faced"
"εκπαίδευση","apple-fallow"
"εκπολιτίζω","Applegate"
"εκπορθητής","applegrower"
"εκπόρνευση","applejack"
"εκπρόσωπος","applejacks"
"εκπτωτικός","applejohn"
"εκρήγνυμαι","apple-john"
"εκρηκτικός","applemonger"
"εκρωσισμός","applenut"
"εκστατικός","apple-pie"
"εκστρατεία","apple-polish"
"εκστρατεύω","apple-polisher"
"εκταμίευση","apple-polishing"
"εκτελεστής","appleringy"
"εκτελεστός","appleringie"
"εκτελωνίζω","appleroot"
"εκτιμήτρια","apples"
"εκτοξευτής","apple's"
"εκτοπισμός","applesauce"
"εκτόπλασμα","apple-scented"
"εκτροχιάζω","Appleseed"
"εκτρωτικός","apple-shaped"
"εκφασισμός","applesnits"
"εκφοβισμός","apple-stealing"
"εκφορτωτής","Appleton"
"εκφυλισμός","apple-twig"
"εκφωνήτρια","applewife"
"εκχωματώνω","applewoman"
"εκχωμάτωση","applewood"
"ελαιοκομία","apply"
"ελαιουργία","appliable"
"ελαιόχρωμα","appliableness"
"ελαφόπουλο","appliably"
"ελαφρότητα","appliance"
"ελεγειακός","appliances"
"ελεγκτικός","appliance's"
"ελεημοσύνη","appliant"
"ελευθέριος","applicability"
"ελευθερώνω","applicabilities"
"ελευθέρωση","applicable"
"ελευσίνιος","applicableness"
"ελεφαντίνα","applicably"
"ελικοειδής","applicancy"
"ελικόπτερο","applicancies"
"ελικοφόρος","applicant"
"ελκυστήρας","applicants"
"ελκυστικός","applicant's"
"ελληνάδικο","applicate"
"ελληνισμός","application"
"ελληνιστής","applications"
"εμβολισμός","application's"
"εμμηνορροώ","applicative"
"εμπειρικός","applicatively"
"εμπλουτίζω","applicator"
"εμπνευστής","applicatory"
"εμποδιστής","applicatorily"
"εμποτισμός","applicators"
"εμπρόθετος","applicator's"
"εμπρόσθιος","applied"
"εμφαίνομαι","appliedly"
"εμφαντικός","applier"
"εμφορούμαι","appliers"
"εναρμονίζω","applies"
"εναρμόνιση","applying"
"ενασχόληση","applyingly"
"ενδελέχεια","applyment"
"ενδεχόμενο","Appling"
"ενδιάθετος","applique"
"ενδιαίτημα","appliqued"
"ενδιάμεσος","appliqueing"
"ενδιατρίβω","appliques"
"ενδιαφέρον","applosion"
"ενδιαφέρων","applosive"
"ενδοιασμός","applot"
"ενδοκάρδιο","applotment"
"ενδοκάρπιο","appmt"
"ενδοκρινής","appoggiatura"
"ενδομήτριο","appoggiaturas"
"ενδομυϊκός","appoggiature"
"ενδοσκόπιο","appoint"
"ενδυναμώνω","appointable"
"ενδυνάμωση","appointe"
"ενενηντάρα","appointed"
"ενεργοποιώ","appointee"
"ενεχυριάζω","appointees"
"ενεχυρίαση","appointee's"
"ενηλικίωση","appointer"
"ενθάρρυνση","appointers"
"ενθουσιάζω","appointing"
"ενθυλακώνω","appointive"
"ενθυμούμαι","appointively"
"ενορατικός","appointment"
"ενσταντανέ","appointments"
"ενσύρματος","appointment's"
"ενσωματώνω","appointor"
"ενσωμάτωση","appoints"
"εντελέχεια","Appolonia"
"εντέλλομαι","Appomatox"
"εντιμότητα","Appomattoc"
"εντοπισμός","Appomattox"
"εντρέπομαι","apport"
"ενυπόθηκος","apportion"
"εξαγιασμός","apportionable"
"εξαγνισμός","apportionate"
"εξαγωγικός","apportioned"
"εξαγώγιμος","apportioner"
"εξαγωνικός","apportioning"
"εξαεδρικός","apportionment"
"εξαερισμός","apportionments"
"εξαιρετέος","apportions"
"εξακολουθώ","apposability"
"εξακοντίζω","apposable"
"εξακοσαριά","appose"
"εξακριβώνω","apposed"
"εξακρίβωση","apposer"
"εξαλλοσύνη","apposers"
"εξαμαρτείν","apposes"
"εξαμηνιαία","apposing"
"εξαναγκάζω","apposiopestic"
"εξαπλάσιος","apposite"
"εξαπτέρυγο","appositely"
"εξαργυρώνω","appositeness"
"εξαργύρωση","apposition"
"εξασέλιδος","appositional"
"εξασθένηση","appositionally"
"εξασθενίζω","appositions"
"εξασθένιση","appositive"
"εξάσφαιρος","appositively"
"εξασφαλίζω","apppetible"
"εξασφάλιση","appraisable"
"εξαχρειώνω","appraisal"
"εξαχρείωση","appraisals"
"εξειδικεύω","appraisal's"
"εξελληνίζω","appraise"
"εξεναντίας","appraised"
"εξεπίτηδες","appraisement"
"εξερεύνηση","appraiser"
"εξεταστέος","appraisers"
"εξετάστρια","appraises"
"εξευγενίζω","appraising"
"εξευμενίζω","appraisingly"
"εξευτελίζω","appraisive"
"εξισλαμίζω","apprecate"
"εξισορροπώ","appreciable"
"εξιστόρηση","appreciably"
"εξισωτικός","appreciant"
"εξοικειώνω","appreciate"
"εξοικείωση","appreciated"
"εξοικονομώ","appreciates"
"εξολοθρεύω","appreciating"
"εξομάλυνση","appreciatingly"
"εξομοιωτής","appreciation"
"εξομολόγος","appreciational"
"εξοπλισμός","appreciations"
"εξορκισμός","appreciativ"
"εξορκιστής","appreciative"
"εξουθενώνω","appreciatively"
"εξουθένωση","appreciativeness"
"εξόφθαλμος","appreciator"
"εξοφλητέος","appreciatory"
"εξυπνάκιας","appreciatorily"
"εξωλέμβιος","appreciators"
"εξωμήτριος","appredicate"
"εξωραϊσμός","apprehend"
"εξωστρεφής","apprehendable"
"εξωτερικός","apprehended"
"εορτάσιμος","apprehender"
"εορτολόγιο","apprehending"
"επαγωγικός","apprehendingly"
"επακόλουθο","apprehends"
"επακολουθώ","apprehensibility"
"επαλήθευση","apprehensible"
"επανάκαμψη","apprehensibly"
"επανακρίνω","apprehension"
"επανάκτηση","apprehensions"
"επανάπαυση","apprehension's"
"επανάσταση","apprehensive"
"επαναστατώ","apprehensively"
"επανεισάγω","apprehensiveness"
"επανεκδίδω","apprehensivenesses"
"επανέκδοση","apprend"
"επανεκλέγω","apprense"
"επανεκλογή","apprentice"
"επανεκτιμώ","apprenticed"
"επανένταξη","apprenticehood"
"επανίδρυση","apprenticement"
"επανορθώνω","apprentices"
"επανόρθωση","apprenticeship"
"επαργυρώνω","apprenticeships"
"επαργύρωση","apprenticing"
"επαρχιακός","appress"
"επαρχιώτης","appressed"
"επειγόντως","appressor"
"επείσακτος","appressoria"
"επενδύτρια","appressorial"
"επενέργεια","appressorium"
"επετειακός","apprest"
"επηρεασμός","appreteur"
"επιβάρυνση","appreve"
"επιβατηγός","apprise"
"επιβατικός","apprised"
"επιβήτορας","appriser"
"επιβραβεύω","apprisers"
"επιβραδύνω","apprises"
"επιγραφική","apprising"
"επιδεικνύω","apprizal"
"επιδεινώνω","apprize"
"επιδείνωση","apprized"
"επιδειξίας","apprizement"
"επιδερμίδα","apprizer"
"επιδέχομαι","apprizers"
"επιδημικός","apprizes"
"επιδοτήριο","apprizing"
"επιδρομέας","appro"
"επιθαλάμιο","approach"
"επιθετικός","approachability"
"επιθεώρηση","approachabl"
"επιθυμητός","approachable"
"επικάθομαι","approachableness"
"επικάλυμμα","approached"
"επικαλύπτω","approacher"
"επικεφαλής","approachers"
"επικήδειος","approaches"
"επικηρύσσω","approaching"
"επικοινωνώ","approachless"
"επικόλληση","approachment"
"επικονίαση","approbate"
"επικράτεια","approbated"
"επικράτηση","approbating"
"επικρότηση","approbation"
"επιλήψιμος","approbations"
"επιλόχειος","approbative"
"επιμελητής","approbativeness"
"επίμεμπτος","approbator"
"επιμέτρηση","approbatory"
"επιμήκυνση","apprompt"
"επιμορφώνω","approof"
"επιμόρφωση","appropinquate"
"επιπεφυκώς","appropinquation"
"επιπλάδικο","appropinquity"
"επίπλαστος","appropre"
"επιπόλαιος","appropriable"
"επισημαίνω","appropriament"
"επισήμανση","appropriate"
"επισκέπτης","appropriated"
"επισκευάζω","appropriately"
"επισκόπηση","appropriateness"
"επισμηνίας","appropriates"
"επιστάτρια","appropriating"
"επιστεγάζω","appropriation"
"επιστήθιος","Appropriations"
"επίστρατος","appropriative"
"επισυνάπτω","appropriativeness"
"επισώρευση","appropriator"
"επιτατικός","appropriators"
"επιτάχυνση","appropriator's"
"επιτελικός","approvability"
"επιτήδειος","approvable"
"επιτήδευμα","approvableness"
"επιτήδευση","approvably"
"επιτηρητής","approval"
"επιτρεπτός","approvals"
"επιτροπεία","approval's"
"επιτυγχάνω","approvance"
"επιτύμβιος","approve"
"επιφοίτηση","approved"
"επιφορτίζω","approvedly"
"επιφόρτιση","approvedness"
"επιφυλάσσω","approvement"
"επιφυλλίδα","approver"
"επιχάλκωση","approvers"
"επιχείρημα","approves"
"επιχείρηση","approving"
"επιχρυσώνω","approvingly"
"επιχρύσωση","approx"
"εποικισμός","approx."
"επονομασία","approximable"
"επουράνιος","approximal"
"επουσιώδης","approximant"
"εποφθαλμιώ","approximants"
"επταήμερος","approximate"
"επτάχορδος","approximated"
"επτάχρονος","approximately"
"επταψήφιος","approximates"
"επταώροφος","approximating"
"επωαστικός","approximation"
"επωμίζομαι","approximations"
"ερανίζομαι","approximative"
"ερανίστρια","approximatively"
"ερασμιακός","approximativeness"
"εργασιακός","approximator"
"εργαστήριο","Apps"
"εργοδότρια","appt"
"εργολήπτης","apptd"
"εργοστάσιο","appui"
"ερειπιώνας","appulse"
"ερεισίνωτο","appulses"
"ερειστικός","appulsion"
"ερευνήτρια","appulsive"
"ερημοδικία","appulsively"
"ερημότοπος","appunctuation"
"ερμηνευτής","appurtenance"
"ερμητισμός","appurtenances"
"ερυθρότητα","appurtenant"
"ερωτεύομαι","APR"
"ερωτοτροπώ","Apr."
"εσκεμμένος","APRA"
"εστεμμένος","apractic"
"εστιάτορας","apraxia"
"εστιατόριο","apraxias"
"εσφαλμένος","apraxic"
"εσωστρεφής","apreynte"
"εσωτερικός","aprendiz"
"εταιρισμός","apres"
"ετεροβαρής","Apresoline"
"ετερογενής","apricate"
"ετεροδικία","aprication"
"ετερόδοξος","aprickle"
"ετεροειδής","apricot"
"ετεροθαλής","apricot-kernal"
"ετερονομία","apricots"
"ετερόφυλος","apricot's"
"ετερόφωτος","April"
"ετερώνυμος","Aprile"
"ετοιμότητα","Aprilesque"
"ετυμηγορία","Aprilette"
"ετυμολογία","April-gowk"
"ευαισθησία","Apriline"
"ευαίσθητος","Aprilis"
"ευαρέσκεια","apriori"
"ευγονισμός","apriorism"
"ευδαιμονία","apriorist"
"ευδιαθεσία","aprioristic"
"ευδιάθετος","aprioristically"
"ευδιάλυτος","apriority"
"ευδοκίμηση","apritif"
"ευεξήγητος","Aprocta"
"ευεπίφορος","aproctia"
"ευεργέτημα","aproctous"
"εύθραυστος","apron"
"ευθυκρισία","aproned"
"ευκάλυπτος","aproneer"
"ευλαβούμαι","apronful"
"ευλύγιστος","aproning"
"ευοδώνομαι","apronless"
"ευπατρίδης","apronlike"
"ευπρόσωπος","aprons"
"ευρυγώνιος","apron's"
"ευρυμάθεια","apron-squire"
"ευρωπαϊκός","apronstring"
"ευσεβάστως","apron-string"
"ευσεβισμός","apropos"
"ευσπλαχνία","aprosexia"
"ευσύνοπτος","aprosopia"
"ευτελισμός","aprosopous"
"ευτράπελος","aproterodont"
"ευφημισμός","aprowl"
"ευφρόσυνος","APS"
"ευφυολογία","APSA"
"ευφυολόγος","Apsaras"
"ευχαριστία","Apsarases"
"ευχάριστος","APSE"
"ευχαρίστως","apselaphesia"
"ευχετήριος","apselaphesis"
"ευωδιαστός","apses"
"εφαρμοστής","apsychia"
"εφαρμοστός","apsychical"
"εφελκυσμός","apsid"
"εφευρέτρια","apsidal"
"εφημερεύων","apsidally"
"εφιαλτικός","apsides"
"εφοδιασμός","apsidiole"
"εφοπλισμός","apsinthion"
"εφοπλιστής","Apsyrtus"
"εχθρεύομαι","apsis"
"εχινόδερμο","Apsu"
"εωσφορικός","APT"
"ζαβολιάρης","apt."
"ζαχαρένιος","Aptal"
"ζαχαρούχος","aptate"
"ζεματιστός","Aptenodytes"
"ζευγαρωτός","apter"
"ζευγολάτης","Aptera"
"ζηλοφθονία","apteral"
"ζηλόφθονος","apteran"
"ζημιογόνος","apteria"
"ζητωκραυγή","apterial"
"ζουζουνίζω","Apteryges"
"ζοφερότητα","apterygial"
"ζυθοποιείο","Apterygidae"
"ζωγραφικός","Apterygiformes"
"ζωγράφισμα","Apterygogenea"
"ζωντοχήρος","Apterygota"
"ζωοκλέφτης","apterygote"
"ζωολογικός","apterygotous"
"ζωτικότητα","apteryla"
"ηγεμόνευση","apterium"
"ηγεμονικός","Apteryx"
"ηδονίζομαι","apteryxes"
"ηθελημένος","apteroid"
"ηθικολογία","apterous"
"ηθικολόγος","aptest"
"ηθογράφημα","Apthorp"
"ηθολογικός","aptyalia"
"ηλεκτρικός","aptyalism"
"ηλεκτρόδιο","Aptian"
"ηλεκτρόνιο","Aptiana"
"ηλεκτροσόκ","aptychus"
"ηλιθιότητα","aptitude"
"ηλιόσπορος","aptitudes"
"ηλιοστάσιο","aptitudinal"
"ηλιοτρόπιο","aptitudinally"
"ηλιοφάνεια","aptly"
"ημερολόγιο","aptness"
"ημερομηνία","aptnesses"
"ημιορεινός","Aptos"
"ημισέληνος","aptote"
"ημίσκληρος","aptotic"
"ημισφαίριο","apts"
"ημιτελικός","APU"
"ημιφορτηγό","Apul"
"ηρωοποίηση","Apuleius"
"ηττοπάθεια","Apulia"
"ηχογράφηση","Apulian"
"ηχορύπανση","apulmonic"
"θαλαμίσκος","apulse"
"θαλασσινός","Apure"
"θαλιδομίδη","Apurimac"
"θαμιστικός","apurpose"
"θαμνοειδής","Apus"
"θαμποφέγγω","apx"
"θαμπωτικός","AQ"
"θαυμάστρια","Aqaba"
"θεαματικός","AQL"
"θεάνθρωπος","aqua"
"θεμελιακός","aquabelle"
"θεμελιώδης","aquabib"
"θεμελιωτής","aquacade"
"θεολογικός","aquacades"
"θεόμουρλος","aquacultural"
"θεοπάλαβος","aquaculture"
"θεόπεμπτος","aquadag"
"θεόσταλτος","aquaduct"
"θεόστραβος","aquaducts"
"θεραπευτής","aquae"
"θεράποντας","aquaemanale"
"θεριακλίκι","aquaemanalia"
"θεριστικός","aquafer"
"θερμιδικός","aquafortis"
"θερμόαιμος","aquafortist"
"θερμογόνος","aquage"
"θερμοκήπιο","aquagreen"
"θερμόμετρο","aquake"
"θερμομετρώ","aqualung"
"θερμοπύλες","Aqua-Lung"
"θεσμοθέτης","aqualunger"
"θεσσαλικός","aquamanale"
"θετικισμός","aquamanalia"
"θετικιστής","aquamanile"
"θετικότητα","aquamaniles"
"θεωρητικός","aquamanilia"
"θηλαστικός","aquamarine"
"θηλυκότητα","aquamarines"
"θηλυπρεπής","aquameter"
"θηρευτικός","aquanaut"
"θησαύρισμα","aquanauts"
"θιβετιανός","aquaphobia"
"θνησιγενής","aquaplane"
"θνησιμαίος","aquaplaned"
"θολοσκεπής","aquaplaner"
"θρηνητικός","aquaplanes"
"θριαμβεύων","aquaplaning"
"θριαμβικός","aquapuncture"
"θρυμματίζω","aquaregia"
"θυγατρικός","aquarelle"
"θυμαρίσιος","aquarelles"
"θυρεοειδής","aquarellist"
"θωπευτικός","aquaria"
"θωρακισμός","aquarial"
"ιανουάριος","Aquarian"
"ιγμορίτιδα","aquarians"
"ιδεαλισμός","Aquarid"
"ιδεαλιστής","Aquarii"
"ιδεόγραμμα","aquariia"
"ιδεολόγημα","aquariist"
"ιδιαίτερος","aquariiums"
"ιδιόγραφος","aquarist"
"ιδιοκτησία","aquarists"
"ιδιοκτήτης","aquarium"
"ιδιόκτητος","aquariums"
"ιδιομορφία","Aquarius"
"ιδιόμορφος","aquarter"
"ιδιοποίηση","a-quarter"
"ιδιοτέλεια","aquas"
"ιδιοτροπία","Aquasco"
"ιδιότροπος","aquascope"
"ιδιόχειρος","aquascutum"
"ιδιοχρησία","Aquashicola"
"ιδιωτισμός","aquashow"
"ιδροκόπημα","aquate"
"ιεραρχικός","aquatic"
"ιεροδικείο","aquatical"
"ιεροπραξία","aquatically"
"ιεροσκοπία","aquatics"
"ιεροφάντης","aquatile"
"ιεροψάλτης","aquatint"
"ιλιγγιώδης","aquatinta"
"ιματιοθήκη","aquatinted"
"ινδιάνικος","aquatinter"
"ινδικτιώνα","aquatinting"
"ινδουισμός","aquatintist"
"ινδουιστής","aquatints"
"ινδόχοιρος","aquation"
"ινστιτούτο","aquativeness"
"ιντερμέδιο","aquatone"
"ιντερμέτζο","aquatones"
"ιονόσφαιρα","aquavalent"
"ιορδανικός","aquavit"
"ιουδαϊσμός","aqua-vitae"
"ιππευτικός","aquavits"
"ιπποδρομία","Aquebogue"
"ιπποδρόμιο","aqueduct"
"ιππόδρομος","aqueducts"
"ιπποδύναμη","aqueduct's"
"ιππόκαμπος","aqueity"
"ιπποστάσιο","aquench"
"ιπποτισμός","aqueo-"
"ιρλανδικός","aqueoglacial"
"ισημερινός","aqueoigneous"
"ισλαμισμός","aqueomercurial"
"ισλαμιστής","aqueous"
"ισλανδικός","aqueously"
"ισοβάθμιος","aqueousness"
"ισοβιότητα","aquerne"
"ισοβίτισσα","Aqueus"
"ισοδυναμία","aquiclude"
"ισοδύναμος","aquicolous"
"ισομεγέθης","aquicultural"
"ισόπλευρος","aquiculture"
"ισορρόπηση","aquiculturist"
"ισοσκελίζω","aquifer"
"ισοσκέλιση","aquiferous"
"ισραηλινός","aquifers"
"ισραηλίτης","Aquifoliaceae"
"ιστιοπλοΐα","aquifoliaceous"
"ιστιοπλόος","aquiform"
"ιστόγραμμα","aquifuge"
"ιστορισμός","Aquila"
"ισχαιμικός","Aquilae"
"ισχυρισμός","Aquilaria"
"ισχυροποιώ","aquilawood"
"ιχθυάλευρο","aquilege"
"ιχθυολογία","Aquilegia"
"ιχθυολόγος","Aquileia"
"ιχθυοπώλης","aquilia"
"ιχθυόσκαλα","Aquilian"
"ιχνογραφία","Aquilid"
"καβαλιέρος","aquiline"
"καβαλικεύω","aquiline-nosed"
"καβουρδίζω","aquilinity"
"καγκελαρία","aquilino"
"καγκελωτός","Aquilla"
"καδράρισμα","Aquilo"
"καζάντισμα","aquilon"
"καθαρισμός","Aquinas"
"καθαριστής","aquincubital"
"καθαρότητα","aquincubitalism"
"καθαρτήριο","Aquinist"
"καθαρτικός","aquintocubital"
"καθεδρικός","aquintocubitalism"
"καθετότητα","aquiparous"
"καθηγήτρια","Aquitaine"
"καθησυχάζω","Aquitania"
"καθησύχαση","Aquitanian"
"καθιστικός","aquiver"
"καθοδήγηση","a-quiver"
"καθορισμός","aquo"
"καθούμενος","aquocapsulitis"
"καθρεφτίζω","aquocarbonic"
"καθυπόταξη","aquocellolitis"
"καινοτομία","aquo-ion"
"καινοτόμος","Aquone"
"καινούριος","aquopentamminecobaltic"
"καινοφανής","aquose"
"καιροσκοπώ","aquosity"
"καισαρικός","aquotization"
"κακάσχημος","aquotize"
"κακέκτυπος","ar"
"κακοβουλία","ar-"
"κακόβουλος","Ar."
"κακόγνωμος","ARA"
"κακογραφία","Arab"
"κακογράφος","Arab."
"κακοδιοικώ","araba"
"κακοκαιρία","araban"
"κακομοιριά","arabana"
"κακόμοιρος","Arabeila"
"κακοπιστία","Arabel"
"κακόπιστος","Arabela"
"κακοποίηση","Arabele"
"κακοτεχνία","Arabella"
"κακότεχνος","Arabelle"
"κακότροπος","arabesk"
"κακούργημα","arabesks"
"κακτοειδής","Arabesque"
"καλαμένιος","arabesquely"
"καλαμιώνας","arabesquerie"
"καλαμπούρι","arabesques"
"καλαφατίζω","Arabi"
"καλεσμένος","Araby"
"καλημερίζω","Arabia"
"καλιακούδα","Arabian"
"καλλιγραφώ","Arabianize"
"καλλιέπεια","arabians"
"καλλιλογία","Arabic"
"καλλιστεία","arabica"
"καλλιφωνία","Arabicism"
"καλλίφωνος","Arabicize"
"καλλυντικό","Arabidopsis"
"καλντερίμι","arabiyeh"
"καλόβουλος","arability"
"καλογερεύω","arabin"
"καλογερική","arabine"
"καλόγνωμος","arabinic"
"καλόδεχτος","arabinose"
"καλοκαιρία","arabinosic"
"καλόκαρδος","arabinoside"
"καλοπέραση","Arabis"
"καλόπιασμα","Arabism"
"καλοπιστία","Arabist"
"καλόπιστος","arabit"
"καλοστρώνω","arabite"
"καλότροπος","arabitol"
"καλοχωνεύω","Arabize"
"καλτσοδέτα","arabized"
"καλυτερεύω","arabizes"
"καλωδιακός","arabizing"
"καλωσορίζω","arable"
"καμηλιέρης","arables"
"καμουτσίκι","Arabo-byzantine"
"καμουφλάρω","Arabophil"
"καμπαναριό","arabs"
"καμπανίτης","arab's"
"καμπυλωτός","araca"
"καναπεδάκι","Aracaj"
"κανναβάτσο","Aracaju"
"κανναβούρι","Aracana"
"κανονιέρης","aracanga"
"κανονισμός","aracari"
"κανταδόρος","Aracatuba"
"καντηλήθρα","arace"
"καντσονέτα","Araceae"
"καπελάδικο","araceous"
"καπετανάτο","arach"
"καπετάνιος","arache"
"καπηλευτής","arachic"
"καπνίστρια","arachide"
"καπνογόνος","arachidic"
"καπνοδόχος","arachidonic"
"καπνοπώλης","arachin"
"καπνόφυλλο","Arachis"
"καραβόπανο","arachnactis"
"καραγκούνα","Arachne"
"καραγωγέας","arachnean"
"καραμπογιά","arachnephobia"
"καρατόμηση","arachnid"
"καραφλιάζω","Arachnida"
"καρκινικός","arachnidan"
"καρμανιόλα","arachnidial"
"καρμπονάρα","arachnidism"
"καρνάβαλος","arachnidium"
"καρόδρομος","arachnids"
"καροτσέρης","arachnid's"
"καρούμπαλο","arachnism"
"καρποφορία","Arachnites"
"καρποφόρος","arachnitis"
"καρπώνομαι","arachnoid"
"καρσιλαμάς","arachnoidal"
"καρτερικός","Arachnoidea"
"καρυδέλαιο","arachnoidean"
"καρυδένιος","arachnoiditis"
"καρυδόψιχα","arachnology"
"καρυοφύλλι","arachnological"
"καρφίτσωμα","arachnologist"
