"Bosnian","English"
"pretpostavka","acetotoluid"
"pretpostavljeno","acetotoluide"
"Pretraživač","acetotoluidine"
"pretvoriti","acetous"
"prevara","acetoveratrone"
"prevencija","acetoxyl"
"previdjeti","acetoxyls"
"prevod","acetoxim"
"prevoditi","acetoxime"
"prezentacija","acetoxyphthalide"
"preživjeli","acetphenetid"
"preživjeti","acetphenetidin"
"preživljavanje","acetract"
"priča","acettoluide"
"prigovor","acetum"
"prigradski","aceturic"
"prihod","ACF"
"prihoda","ACGI"
"prihvatanje","ac-globulin"
"prihvatiti","ACH"
"prihvatljivo","Achab"
"prijateljski","Achad"
"prijateljstvo","Achaea"
"prijatelju","Achaean"
"prijatno","Achaemenes"
"prije","Achaemenian"
"prijedlog","Achaemenid"
"prijem","Achaemenidae"
"prijemnik","Achaemenides"
"prijenos","Achaemenidian"
"prijete","Achaemenids"
"prijetnja","achaenocarp"
"prikazati","Achaenodon"
"prikladno","Achaeta"
"prikolica","achaetous"
"prilagoditi","Achaeus"
"prilično","achafe"
"prilika","achage"
"priliku","Achagua"
"priložiti","Achaia"
"primalac","Achaian"
"primarni","Achakzai"
"primarno","achalasia"
"prime","Achamoth"
"primijeniti","Achan"
"primiti","Achango"
"primjedba","achape"
"primjer","achaque"
"princ","achar"
"princezo","acharya"
"princip","Achariaceae"
"principal","Achariaceous"
"prinos","acharne"
"print","acharnement"
"priobalni","Acharnians"
"prioritet","achate"
"pripadati","Achates"
"pripadnost","Achatina"
"priprema","Achatinella"
"pripremiti","Achatinidae"
"priroda","achatour"
"prirodno","Achaz"
"prisiliti","ache"
"pristalica","acheat"
"pristojan","achech"
"pristrasnost","acheck"
"pristup","ached"
"pristupačno","acheer"
"prisustvo","ACHEFT"
"prisustvovati","acheilary"
"prisutan","acheilia"
"pritisak","acheilous"
"pritisnite","acheiria"
"pritužba","acheirous"
"priuštiti","acheirus"
"privatni","Achelous"
"privatnost","Achen"
"prividno","achene"
"privilegija","achenes"
"privremeni","achenia"
"privući","achenial"
"priznaj","achenium"
"priznati","achenocarp"
"prljavo","achenodia"
"prljavština","achenodium"
"pro","acher"
"probaj","Acherman"
"problem","Achernar"
"procedura","Acheron"
"proceniti","Acheronian"
"proces","Acherontic"
"procesor","Acherontical"
"procijenjeno","aches"
"procjena","Acheson"
"prodaja","achesoun"
"prodati","achete"
"prodavac","Achetidae"
"prodavnica","Acheulean"
"producent","Acheulian"
"produktivan","acheweed"
"produktivnost","achy"
"produženo","achier"
"produžiti","achiest"
"profesija","achievability"
"profesionalni","achievable"
"profesor","achieve"
"profil","achieved"
"profit","achievement"
"proglasiti","achievements"
"program","achievement's"
"programiranje","achiever"
"progresivan","achievers"
"progutati","achieves"
"proizvesti","achieving"
"proizvod","ach-y-fi"
"proizvođač","achigan"
"proizvodnja","achilary"
"projekat","achylia"
"projekcija","Achill"
"projektil","Achille"
"prokletstvo","Achillea"
"prokuvati","Achillean"
"prolaz","achilleas"
"prolazeći","Achilleid"
"proljeće","achillein"
"promijeniti","achilleine"
"promiješati","Achilles"
"promocija","Achillize"
"promovirati","achillobursitis"
"prompt","achillodynia"
"pronađeno","achilous"
"propaganda","achylous"
"propast","Achimaas"
"propasti","achime"
"proporcija","Achimelech"
"propovedati","Achimenes"
"proračun","achymia"
"prorok","achymous"
"proširenje","Achinese"
"proširiti","achiness"
"prosjek","achinesses"
"proslava","aching"
"prošlost","achingly"
"prospect","achiote"
"prosuti","achiotes"
"proteina","achira"
"protest","Achyranthes"
"protestant","achirite"
"protiv","Achyrodes"
"protivnik","Achish"
"protok","Achitophel"
"protokol","achkan"
"provajdera","achlamydate"
"provincija","Achlamydeae"
"provizija","achlamydeous"
"provjeriti","achlorhydria"
"prozor","achlorhydric"
"prsa","achlorophyllous"
"prst","achloropsia"
"prsten","achluophobia"
"prtljažnik","Achmed"
"pruga","Achmetha"
"prvenstvo","achoke"
"prvo","acholia"
"pšenica","acholias"
"psiholog","acholic"
"psihologija","Acholoe"
"psihološki","acholous"
"ptica","acholuria"
"publika","acholuric"
"publikacija","Achomawi"
"pucaj","achondrite"
"pucanje","achondritic"
"pucao","achondroplasia"
"pukovnik","achondroplastic"
"puls","achoo"
"pumpa","achor"
"pun","achordal"
"punch","Achordata"
"puno","achordate"
"puška","Achorion"
"pustinja","Achorn"
"pustiti","Achras"
"put","achree"
"putarina","achroacyte"
"puter","Achroanthes"
"putnik","achrodextrin"
"putovanje","achrodextrinase"
"puzati","achroglobin"
"puzzle","achroiocythaemia"
"quarterback","achroiocythemia"
"racionalno","achroite"
"rack","achroma"
"račun","achromacyte"
"računovodstvo","achromasia"
"rad","achromat"
"radar","achromat-"
"radi","achromate"
"radije","Achromatiaceae"
"radikalan","achromatic"
"radio","achromatically"
"radionica","achromaticity"
"radnik","achromatin"
"radost","achromatinic"
"radoznalost","achromatisation"
"radoznao","achromatise"
"rak","achromatised"
"raketa","achromatising"
"rally","achromatism"
"ramena","Achromatium"
"rana","achromatizable"
"ranč","achromatization"
"rang","achromatize"
"rangiranje","achromatized"
"ranjiv","achromatizing"
"rano","achromatocyte"
"rapid","achromatolysis"
"rase","achromatope"
"rasista","achromatophil"
"rasizam","achromatophile"
"rasni","achromatophilia"
"raspoloženje","achromatophilic"
"raspored","achromatopia"
"rasprava","achromatopsy"
"rasprostranjena","achromatopsia"
"rast","achromatosis"
"raste","achromatous"
"rastezanje","achromats"
"rasti","achromaturia"
"rastopiti","achromia"
"rat","achromic"
"ratnik","Achromycin"
"ravno","Achromobacter"
"razdaljina","Achromobacterieae"
"razdvajanje","achromoderma"
"razgovarati","achromophilous"
"razgovor","achromotrichia"
"razjasniti","achromous"
"različita","achronical"
"razlika","achronychous"
"razlikovanje","achronism"
"razlikovati","achroo-"
"razlog","achroodextrin"
"razmatranje","achroodextrinase"
"razmatrati","achroous"
"razmisli","achropsia"
"razmišljanje","Achsah"
"razmjena","achtehalber"
"razmotriti","achtel"
"razne","achtelthaler"
"raznolika","achter"
"raznolikost","achterveld"
"razočaran","Achuas"
"razočaranje","achuete"
"razred","acy"
"razumeti","acyanoblepsia"
"razumijevanje","acyanopsia"
"razumno","acichlorid"
"razvijati","acichloride"
"razviti","acyclic"
"razvod","acyclically"
"razvoj","acicula"
"razvojni","aciculae"
"re","acicular"
"reagovati","acicularity"
"reakcija","acicularly"
"realno","aciculas"
"rebuild","aciculate"
"rečenica","aciculated"
"recenzija","aciculum"
"recept","aciculums"
"recesija","acid"
"reci","acidaemia"
"red","Acidalium"
"redovno","Acidanthera"
"refer","Acidaspis"
"referenca","acid-binding"
"refleksija","acidemia"
"reforma","acidemias"
"region","acider"
"regionalni","acid-fast"
"registar","acid-fastness"
"registracija","acid-forming"
"regrutirati","acidhead"
"regulacija","acid-head"
"regulatorni","acidheads"
"regulisati","acidy"
"reizbor","acidic"
"rejting","acidiferous"
"reklama","acidify"
"rekord","acidifiable"
"relativno","acidifiant"
"relevantan","acidific"
"religija","acidification"
"render","acidified"
"rep","acidifier"
"reply","acidifiers"
"reporter","acidifies"
"reprezentacija","acidifying"
"republika","acidyl"
"republikanski","acidimeter"
"reputacija","acidimetry"
"rešiti","acidimetric"
"resort","acidimetrical"
"respektivno","acidimetrically"
"restaurirati","acidite"
"restoran","acidity"
"resurs","acidities"
"retorika","acidize"
"revolucija","acidized"
"revolucionarno","acidizing"
"rezati","acidly"
"rezbariti","acidness"
"rezerva","acidnesses"
"rezervacija","acidogenic"
"rezervni","acidoid"
"rezident","acidolysis"
"režim","acidology"
"rezoluciju","acidometer"
"rezultat","acidometry"
"riba","acidophil"
"ribnjak","acidophile"
"ribolov","acidophilic"
"ride","acidophilous"
"riječ","acidophilus"
"rijeka","acidoproteolytic"
"riješiti","acidoses"
"rijetko","acidosis"
"ritam","acidosteophyte"
"ritual","acidotic"
"rival","acidproof"
"rizično","acids"
"rizik","acid-treat"
"rješenje","acidulant"
"rob","acidulate"
"roba","acidulated"
"robot","acidulates"
"rock","acidulating"
"rod","acidulation"
"rođak","acidulent"
"rođen","acidulous"
"rođendan","acidulously"
"rođenje","acidulousness"
"roditelj","aciduria"
"roditeljski","acidurias"
"rog","aciduric"
"rok","Acie"
"roll","acier"
"roman","acierage"
"romansa","Acieral"
"romantično","acierate"
"root","acierated"
"ropstvo","acierates"
"round","acierating"
"roze","acieration"
"rub","acies"
"ručak","acyesis"
"ručavanje","acyetic"
"ručka","aciform"
"rukav","acyl"
"rukavica","acylal"
"ruku","acylamido"
"rupa","acylamidobenzene"
"ruralni","acylamino"
"ruski","acylase"
"ruta","acylate"
"rutinski","acylated"
"ruža","acylates"
"ružan","acylating"
"sa","acylation"
"sack","aciliate"
"sačuvati","aciliated"
"sad","Acilius"
"sadržaja","acylogen"
"sadrže","acyloin"
"saglasnost","acyloins"
"sahrana","acyloxy"
"sahrani","acyloxymethane"
"saigrač","acyls"
"sake","Acima"
"sakriti","acinaceous"
"šala","acinaces"
"salata","acinacifoliate"
"sam","acinacifolious"
"sama","acinaciform"
"samit","acinacious"
"samo","acinacity"
"samopouzdanje","acinar"
"samoubistvo","acinary"
"samouveren","acinarious"
"šampion","Acineta"
"san","Acinetae"
"sankcija","acinetan"
"šansa","Acinetaria"
"saobraćaja","acinetarian"
"saosećanje","acinetic"
"šapnuti","acinetiform"
"sapun","Acinetina"
"saradnik","acinetinan"
"saradnja","acing"
"saradnju","acini"
"šarm","acinic"
"sastanak","aciniform"
"sastaviti","acinose"
"sastojak","acinotubular"
"sat","acinous"
"satelit","acinuni"
"šator","acinus"
"saveznik","acious"
"savjest","Acipenser"
"savjet","Acipenseres"
"savjetnik","acipenserid"
"savjetovanje","Acipenseridae"
"savladati","acipenserine"
"savremeno","acipenseroid"
"savršeno","Acipenseroidei"
"sažetak","acyrology"
"scan","acyrological"
"scenario","Acis"
"scene","acystia"
"scout","acitate"
"script","acity"
"sebe","aciurgy"
"šećer","ACK"
"sedam","ack-ack"
"sedmi","ackee"
"sedmica","ackees"
"sedmično","ackey"
"šef","ackeys"
"segment","Acker"
"sekretar","Ackerley"
"seksi","Ackerly"
"seksualno","Ackerman"
"sektoru","Ackermanville"
"sekularni","Ackley"
"sekunda","Ackler"
"sekundarno","ackman"
"sekvenca","ackmen"
"self","acknew"
"selo","acknow"
"senat","acknowing"
"senator","acknowledge"
"sendvič","acknowledgeable"
"senior","acknowledged"
"senka","acknowledgedly"
"sentiment","acknowledgement"
"senzacija","acknowledgements"
"senzor","acknowledger"
"septembar","acknowledgers"
"šerife","acknowledges"
"serija","acknowledging"
"seronjo","acknowledgment"
"sertifikat","acknowledgments"
"server","acknowledgment's"
"serving","acknown"
"šešir","ack-pirate"
"šest","ackton"
"šesto","Ackworth"
"sestro","ACL"
"set","aclastic"
"sex","acle"
"sezone","acleidian"
"sfera","acleistocardia"
"sheer","acleistous"
"shema","Aclemon"
"shopping","aclydes"
"show","aclidian"
"shuttle","aclinal"
"shvatiti","aclinic"
"sidro","aclys"
"sign","a-clock"
"signal","acloud"
"siguran","ACLS"
"sigurno","ACLU"
"sigurnost","ACM"
"sijati","Acmaea"
"sila","Acmaeidae"
"silovanje","acmaesthesia"
"simbol","acmatic"
"simpatija","acme"
"simptom","acmes"
"sin","acmesthesia"
"šina","acmic"
"sindikat","Acmispon"
"sindrom","acmite"
"sing","Acmon"
"single","acne"
"sir","acned"
"širenje","acneform"
"širok","acneiform"
"široka","acnemia"
"široko","acnes"
"siromaštvo","Acnida"
"sirovo","acnodal"
"sisati","acnode"
"sistem","acnodes"
"site","ACO"
"situacija","acoasm"
"siva","acoasma"
"sjedi","a-coast"
"sjedište","Acocanthera"
"sjednici","acocantherin"
"sjeme","acock"
"sjena","acockbill"
"sjever","a-cock-bill"
"sjeverno","a-cock-horse"
"sjeveroistok","acocotl"
"sjeverozapad","Acoela"
"skala","Acoelomata"
"skandal","acoelomate"
"ski","acoelomatous"
"skinuti","Acoelomi"
"skladištenje","acoelomous"
"sklonište","acoelous"
"sklonost","Acoemetae"
"skok","Acoemeti"
"škola","Acoemetic"
"školjka","acoenaesthesia"
"skoro","ACOF"
"skrining","acoin"
"skriveno","acoine"
"skroman","Acol"
"skulptura","Acolapissa"
"skupiti","acold"
"skupo","Acolhua"
"slab","Acolhuan"
"slabost","acolyctine"
"slajd","acolyte"
"slam","acolytes"
"slap","acolyth"
"slatko","acolythate"
"slava","acolytus"
"slaviti","acology"
"sletanje","acologic"
"sličiti","acolous"
"slično","acoluthic"
"sličnost","Acoma"
"slijepi","acomia"
"slika","acomous"
"slikar","a-compass"
"slikarstvo","aconative"
"slip","Aconcagua"
"sljedbenik","acondylose"
"sljedeći","acondylous"
"sloboda","acone"
"slobodno","aconelline"
"sloj","aconic"
"slomljena","aconin"
"slon","aconine"
"složenost","aconital"
"slučaj","aconite"
"sluga","aconites"
"sluha","aconitia"
"slušaj","aconitic"
"slušalac","aconitin"
"službeni","aconitine"
"službenik","Aconitum"
"služiti","aconitums"
"smanjenje","acontia"
"smanjiti","Acontias"
"smatrati","acontium"
"smeće","Acontius"
"smeh","aconuresis"
"smetati","acool"
"smiješno","acop"
"šminka","acopic"
"smiriti","acopyrin"
"smisao","acopyrine"
"smisleno","acopon"
"smjena","acor"
"smjer","acorea"
"smjernica","acoria"
"smjestiti","acorn"
"smrt","acorned"
"smrtonosna","acorns"
"smrznuto","acorn's"
"snabdevanje","acorn-shell"
"snagu","Acorus"
"snap","acosmic"
"snažno","acosmism"
"snijeg","acosmist"
"snimak","acosmistic"
"snimanje","acost"
"soba","Acosta"
"sočivo","acotyledon"
"soda","acotyledonous"
"sofisticiran","acouasm"
"soft","acouchi"
"softly","acouchy"
"softvera","acoumeter"
"sok","acoumetry"
"šok","acounter"
"sol","acouometer"
"solarno","acouophonia"
"sole","acoup"
"solidan","acoupa"
"solo","acoupe"
"sortiraj","acousma"
"sos","acousmas"
"soul","acousmata"
"Sovjetski","acousmatic"
"španski","acoustic"
"spašavanje","acoustical"
"spasiti","acoustically"
"spavaj","acoustician"
"specifično","acoustico-"
"specijalista","acousticolateral"
"specijalizirati","Acousticon"
"spektakularno","acousticophobia"
"spektra","acoustics"
"spekulacije","acoustoelectric"
"špijun","ACP"
"spin","acpt"
"spoj","acpt."
"spol","Acquah"
"spomenik","acquaint"
"spomenuti","acquaintance"
"sponzor","acquaintances"
"spor","acquaintance's"
"sporazum","acquaintanceship"
"sporo","acquaintanceships"
"sport","acquaintancy"
"sportista","acquaintant"
"sposoban","acquainted"
"sposobnost","acquaintedness"
"spreman","acquainting"
"spremno","acquaints"
"spremnost","Acquaviva"
"spriječiti","acquent"
"sprovoditi","acquereur"
"sramota","acquest"
"sranje","acquests"
"srce","acquiesce"
"srebro","acquiesced"
"sreca","acquiescement"
"sreća","acquiescence"
"srećom","acquiescences"
"srednje","acquiescency"
"srednji","acquiescent"
"sretan","acquiescently"
"sretno","acquiescer"
"srijeda","acquiesces"
"šta","acquiescing"
"stabilan","acquiescingly"
"stabilnost","acquiesence"
"stablo","acquiet"
"stadion","acquirability"
"staklo","acquirable"
"štala","acquire"
"stalno","acquired"
"stambeni","acquirement"
"stan","acquirements"
"stand","acquirenda"
"standard","acquirer"
"stani","acquirers"
"stanica","acquires"
"stanište","acquiring"
"stanje","acquisible"
"stanovanje","acquisita"
"stanovništva","acquisite"
"star","acquisited"
"staratelj","acquisition"
"starateljstvo","acquisitional"
"starješina","acquisitions"
"start","acquisition's"
"starter","acquisitive"
"statistički","acquisitively"
"statistika","acquisitiveness"
"status","acquisitor"
"statut","acquisitum"
"stav","acquist"
"štaviše","acquit"
"staviti","acquital"
"steći","acquitment"
"štednja","acquits"
"stepen","acquittal"
"stepenice","acquittals"
"šteta","acquittance"
"stići","acquitted"
"stick","acquitter"
"stidljiv","acquitting"
"stih","acquophonia"
"stil","acr-"
"stimulus","Acra"
"stipendija","Acrab"
"stisnuti","acracy"
"štit","Acraea"
"sto","acraein"
"stog","Acraeinae"
"stojeći","acraldehyde"
"stol","Acrania"
"stolica","acranial"
"stomak","acraniate"
"stopa","acrasy"
"stopalo","acrasia"
"strah","Acrasiaceae"
"štrajk","Acrasiales"
"strana","acrasias"
"stranac","Acrasida"
"strani","Acrasieae"
"stranica","acrasin"
"strašno","acrasins"
"strast","Acraspeda"
"strastveni","acraspedote"
"strategija","acratia"
"strateški","acraturesis"
"streak","acrawl"
"strelica","acraze"
"stresa","Acre"
"string","acreable"
"strm","acreage"
"strog","acreages"
"strogo","acreak"
"strpljenje","acream"
"stručnost","acred"
"struja","acre-dale"
"struktura","Acredula"
"strukturalni","acre-foot"
"student","acre-inch"
"studija","acreman"
"studio","acremen"
"stvar","Acres"
"stvari","acre's"
"stvarni","acrestaff"
"stvarno","a-cry"
"stvarnost","acrid"
"stvorenje","acridan"
"stvoriti","acridane"
"submit","acrider"
"subota","acridest"
"subvencija","acridian"
"sud","acridic"
"sudac","acridid"
"sudbina","Acrididae"
"suđenje","Acridiidae"
"sudnica","acridyl"
"sudski","acridin"
"suho","acridine"
"suknja","acridines"
"sukoba","acridinic"
"suma","acridinium"
"šuma","acridity"
"sumnja","acridities"
"sumnjivo","Acridium"
"sunčano","Acrydium"
"sunce","acridly"
"super","acridness"
"Super","acridnesses"
"superioran","acridone"
"supervizor","acridonium"
"suprotno","acridophagus"
"supruga","acriflavin"
"supružnik","acriflavine"
"supstance","acryl"
"suptilno","acrylaldehyde"
"supu","Acrilan"
"surađivati","acrylate"
"surround","acrylates"
"susjedstvo","acrylic"
"suspendovati","acrylics"
"susret","acrylyl"
"sutra","acrylonitrile"
"suza","acrimony"
"svakako","acrimonies"
"svaki","acrimonious"
"sve","acrimoniously"
"svemir","acrimoniousness"
"sveobuhvatan","acrindolin"
"sveštenik","acrindoline"
"svetac","acrinyl"
"sveti","acrisy"
"sveto","acrisia"
"sveukupno","Acrisius"
"svibanj","Acrita"
"svijeća","acritan"
"svijest","acrite"
"svijesti","acrity"
"svijet","acritical"
"svijetao","acritochromacy"
"svila","acritol"
"svima","acritude"
"svinja","ACRNEMA"
"svinjetina","acro-"
"svjedočenje","Acroa"
"svjedočiti","acroaesthesia"
"svjedok","acroama"
"svjesni","acroamata"
"svjetlo","acroamatic"
"svježe","acroamatical"
"svrha","acroamatics"
"svuda","acroanesthesia"
"sweep","acroarthritis"
"syrian","acroasis"
"SZO","acroasphyxia"
"tab","acroataxia"
"tablet","acroatic"
"tacka","acrobacy"
"tačka","acrobacies"
"tackle","acrobat"
"tacno","Acrobates"
"tačno","acrobatholithic"
"Tačno","acrobatic"
"tačnost","acrobatical"
"tag","acrobatically"
"tajming","acrobatics"
"tajna","acrobatism"
"takav","acrobats"
"takmičar","acrobat's"
"takmičenje","acrobystitis"
"tako","acroblast"
"takođe","acrobryous"
"također","Acrocarpi"
"takozvani","acrocarpous"
"taksi","acrocentric"
"taktika","acrocephaly"
"talac","acrocephalia"
"talas","acrocephalic"
"tale","acrocephalous"
"talent","Acrocera"
"talentovan","Acroceratidae"
"talijanski","Acroceraunian"
"tamo","Acroceridae"
"tanak","Acrochordidae"
"tank","Acrochordinae"
"tap","acrochordon"
"tastatura","acrocyanosis"
"tata","acrocyst"
"tech","acrock"
"tečnost","Acroclinium"
"teen","Acrocomia"
"tehnički","acroconidium"
"tehnika","acrocontracture"
"tehnologije","acrocoracoid"
"tehnološke","Acrocorinth"
"tekst","acrodactyla"
"telefon","acrodactylum"
"teleskop","acrodermatitis"
"televizija","acrodynia"
"tema","acrodont"
"temelj","acrodontism"
"temeljito","acrodonts"
"temeljni","acrodrome"
"temperaturu","acrodromous"
"tempo","Acrodus"
"tend","acroesthesia"
"tender","acrogamy"
"tenis","acrogamous"
"tenzija","acrogen"
"teologija","acrogenic"
"teorija","acrogenous"
"teorijski","acrogenously"
"tepih","acrogens"
"terapeut","Acrogynae"
"terapija","acrogynous"
"teret","acrography"
"teretana","acrolein"
"teritorija","acroleins"
"termin","acrolith"
"teror","acrolithan"
"terorista","acrolithic"
"terorizam","acroliths"
"teško","acrology"
"test","acrologic"
"testament","acrologically"
"testiranje","acrologies"
"testo","acrologism"
"tetka","acrologue"
"tetovaža","acromania"
"težak","acromastitis"
"težina","acromegaly"
"težnja","acromegalia"
"the","acromegalic"
"thread","acromegalies"
"thumb","acromelalgia"
"ti","acrometer"
"tiger","acromia"
"tihi","acromial"
"tiho","acromicria"
"tijelo","acromimia"
"tim","acromioclavicular"
"time","acromiocoracoid"
"tinejdžer","acromiodeltoid"
"tip","Acromyodi"
"tipično","acromyodian"
"tišina","acromyodic"
"tkanina","acromyodous"
"tkiva","acromiohyoid"
"tla","acromiohumeral"
"tlo","acromion"
"to","acromioscapular"
"toalet","acromiosternal"
"toe","acromiothoracic"
"tokom","acromyotonia"
"toksično","acromyotonus"
"tolerisati","acromonogrammatic"
"ton","acromphalus"
"top","acron"
"toplo","acronal"
"toplota","acronarcotic"
"toranj","acroneurosis"
"torba","acronic"
"torbicu","acronyc"
"totalno","acronical"
"touchdown","acronycal"
"tour","acronically"
"track","acronycally"
"tradicija","acronych"
"tradicionalno","acronichal"
"trag","acronychal"
"tragedija","acronichally"
"tragicno","acronychally"
"trajno","acronychous"
"traka","Acronycta"
"transakcija","acronyctous"
"transfer","acronym"
"transformacija","acronymic"
"transformirati","acronymically"
"transport","acronymize"
"tranzicija","acronymized"
"tranzit","acronymizing"
"trap","acronymous"
"trauma","acronyms"
"trava","acronym's"
"travnjak","acronyx"
"traži","acronomy"
"tražiti","acrook"
"trčanje","acroparalysis"
"trči","acroparesthesia"
"treba","acropathy"
"treći","acropathology"
"trend","acropetal"
"trener","acropetally"
"trenutno","acrophobia"
"tresti","acrophonetic"
"tretirati","acrophony"
"tretman","acrophonic"
"trezor","acrophonically"
"trgovac","acrophonies"
"trgovanje","acropodia"
"trgovina","acropodium"
"tri","acropoleis"
"trideset","Acropolis"
"trijem","acropolises"
"trik","acropolitan"
"triliona","Acropora"
"trkač","acropore"
"tron","acrorhagus"
"tropski","acrorrheuma"
"trošak","acrosarc"
"trošenje","acrosarca"
"trotoar","acrosarcum"
"trudna","acroscleriasis"
"trudnoća","acroscleroderma"
"trupa","acroscopic"
"tržište","acrose"
"tuce","acrosome"
"tuck","acrosomes"
"tumor","acrosphacelus"
"tunel","acrospire"
"turist","acrospired"
"turnir","acrospiring"
"turska","acrospore"
"tuš","acrosporous"
"tužan","across"
"tužba","across-the-board"
"tužilac","acrostic"
"tužilaštvo","acrostical"
"tužiti","acrostically"
"tv","acrostichal"
"tvoj","Acrosticheae"
"tvrd","acrostichic"
"tvrditi","acrostichoid"
"TVRDITI","Acrostichum"
"twist","acrosticism"
"twitter","acrostics"
"ubica","acrostolia"
"ubijanje","acrostolion"
"ubistvo","acrostolium"
"ubiti","acrotarsial"
"učenik","acrotarsium"
"učenjak","acroteleutic"
"učenje","acroter"
"učešće","acroteral"
"učesnik","acroteria"
"učestvovati","acroterial"
"učionica","acroteric"
"ud","acroterion"
"udaljeni","acroterium"
"udarac","acroterteria"
"udobno","Acrothoracica"
"udobnost","acrotic"
"udruženje","acrotism"
"udžbenik","acrotisms"
"ugalj","acrotomous"
"ugao","Acrotreta"
"uglavnom","Acrotretidae"
"ugljenik","acrotrophic"
"ugljikohidrata","acrotrophoneurosis"
"ugovor","Acrux"
"ugristi","ACRV"
"uh","ACS"
"uhapsiti","ACSE"
"uh-huh","ACSNET"
"uho","ACSU"
"uhvatiti","ACT"
"ujak","Acta"
"ujedinjeni","actability"
"ukazati","actable"
"uključeni","Actaea"
"uključenost","Actaeaceae"
"uključiti","Actaeon"
"uključujući","Actaeonidae"
"ukloniti","acted"
"ukratko","actg"
"ukupno","actg."
"ukus","ACTH"
"ukusno","Actiad"
"ulaganja","Actian"
"ulaz","actify"
"ulazak","actification"
"ulaznica","actifier"
"ulica","actin"
"uličica","actin-"
"ulje","actinal"
"ulog","actinally"
"uloga","actinautography"
"um","actinautographic"
"umanjiti","actine"
"umire","actinenchyma"
"umivaonik","acting"
"umjereno","acting-out"
"umjetnički","actings"
"umjetnik","Actinia"
"umoran","actiniae"
"umreti","actinian"
"unaprijed","actinians"
"unca","Actiniaria"
"uniforma","actiniarian"
"uništenje","actinias"
"uništiti","actinic"
"univerzalni","actinical"
"univerzitet","actinically"
"univerzum","actinide"
"unos","actinides"
"unutar","Actinidia"
"unutra","Actinidiaceae"
"unutrašnji","actiniferous"
"uobičajeno","actiniform"
"upisati","actinine"
"upit","actiniochrome"
"upitnik","actiniohematin"
"uplašen","Actiniomorpha"
"uporedi","actinism"
"uporno","actinisms"
"upotreba","Actinistia"
"upoznaj","actinium"
"upozorenje","actiniums"
"upozoriti","actino-"
"upravljati","actinobaccilli"
"upravo","actinobacilli"
"uprkos","actinobacillosis"
"uputiti","actinobacillotic"
"uputstvo","Actinobacillus"
"uradi","actinoblast"
"uragan","actinobranch"
"urban","actinobranchia"
"ured","actinocarp"
"uređaj","actinocarpic"
"urednik","actinocarpous"
"uredu","actinochemical"
"usamljen","actinochemistry"
"usklađenost","actinocrinid"
"usko","Actinocrinidae"
"uskoro","actinocrinite"
"uslovi","Actinocrinus"
"usluga","actinocutitis"
"uslugu","actinodermatitis"
"uspjeh","actinodielectric"
"uspješan","actinodrome"
"uspješno","actinodromous"
"uspjeti","actinoelectric"
"uspon","actinoelectrically"
"uspostaviti","actinoelectricity"
"usred","actinogonidiate"
"usta","actinogram"
"ustav","actinograph"
"ustavne","actinography"
"usvajanje","actinographic"
"usvojiti","actinoid"
"uticaj","Actinoida"
"uticajan","Actinoidea"
"utisak","actinoids"
"utjecati","actinolite"
"utorak","actinolitic"
"uvažavanje","actinology"
"uvesti","actinologous"
"uvid","actinologue"
"uvijek","actinomere"
"uvjereni","actinomeric"
"uvjerenje","actinometer"
"uvjeriti","actinometers"
"uvjerljiv","actinometry"
"uvod","actinometric"
"uvoz","actinometrical"
"uvrijediti","actinometricy"
"užasno","Actinomyces"
"uzastopno","actinomycese"
"uzbuđen","actinomycesous"
"uzbuđenje","actinomycestal"
"uzbuditi","Actinomycetaceae"
"uzbudljivo","actinomycetal"
"uzdah","Actinomycetales"
"uzeti","actinomycete"
"uživaj","actinomycetous"
"uznemiravanje","actinomycin"
"uznemiren","actinomycoma"
"uznemirujuće","actinomycosis"
"uzorak","actinomycosistic"
"uzrok","actinomycotic"
"vagati","Actinomyxidia"
"vagon","Actinomyxidiida"
"vakcina","actinomorphy"
"validan","actinomorphic"
"valjanje","actinomorphous"
"valjanost","actinon"
"valuta","Actinonema"
"vampir","actinoneuritis"
"van","actinons"
"vani","actinophone"
"vanjski","actinophonic"
"vanzemaljac","actinophore"
"varijabla","actinophorous"
"varijacija","actinophryan"
"varirati","Actinophrys"
"vaš","actinopod"
"vatre","Actinopoda"
"vau","actinopraxis"
"vazno","actinopteran"
"važnost","Actinopteri"
"već","actinopterygian"
"veče","Actinopterygii"
"večera","actinopterygious"
"večeras","actinopterous"
"većina","actinoscopy"
"veka","actinosoma"
"veličina","actinosome"
"veliki","Actinosphaerium"
"veliko","actinost"
"velikodušan","actinostereoscopy"
"verbalno","actinostomal"
"verify","actinostome"
"verzija","actinotherapeutic"
"veš","actinotherapeutics"
"veteran","actinotherapy"
"veza","actinotoxemia"
"vezati","actinotrichium"
"vice","actinotrocha"
"vid","actinouranium"
"video","Actinozoa"
"vidi","actinozoal"
"vidljivo","actinozoan"
"vijak","actinozoon"
"vijesti","actins"
"vikati","actinula"
"vikend","actinulae"
"vilica","action"
"viljuška","actionability"
"vino","actionable"
"virtualno","actionably"
"virtuelno","actional"
"virus","actionary"
"više","actioner"
"višestruko","actiones"
"visina","actionist"
"visok","actionize"
"visoko","actionized"
"vitalni","actionizing"
"vitamin","actionless"
"viziju","actions"
"vizuelno","action's"
"vječni","action-taking"
"vjenčanje","actious"
