"Macedonian","English"
"прекрасно","acharnement"
"прекршок","Acharnians"
"прекршуваат","achate"
"преку","Achates"
"прекумерна","Achatina"
"прелистувач","Achatinella"
"премиер","Achatinidae"
"премија","achatour"
"премин","Achaz"
"пренесе","ache"
"Преносливост","acheat"
"преостанати","achech"
"препознаваат","acheck"
"препорака","ached"
"препорачуваат","acheer"
"пресврт","ACHEFT"
"прескокнете","acheilary"
"пресметај","acheilia"
"пресметка","acheilous"
"престане","acheiria"
"престапник","acheirous"
"престојувалиште","acheirus"
"пресудата","Achelous"
"претпоставка","Achen"
"претпоставуваат","achene"
"претпочитаат","achenes"
"претприемач","achenia"
"претпријатие","achenial"
"претседавач","achenium"
"претседател","achenocarp"
"претседателски","achenodia"
"претседателство","achenodium"
"претставник","acher"
"претставуваат","Acherman"
"претстојните","Achernar"
"претходно","Acheron"
"прецизни","Acheronian"
"пречка","Acherontic"
"приближно","Acherontical"
"приватен","aches"
"приватноста","Acheson"
"привилегија","achesoun"
"привлекуваат","achete"
"привлечна","Achetidae"
"привлечни","Acheulean"
"привремен","Acheulian"
"приговор","acheweed"
"приградски","achy"
"придонес","achier"
"придонесе","achiest"
"придонесувач","achievability"
"придружник","achievable"
"придружува","achieve"
"прием","achieved"
"приемник","achievement"
"признаат","achievements"
"признаваат","achievement's"
"признавање","achiever"
"пријател","achievers"
"пријателе","achieves"
"пријателски","achieving"
"пријателство","ach-y-fi"
"пријатен","achigan"
"прикажуваат","achilary"
"приказ","achylia"
"приказна","Achill"
"прикачи","Achille"
"прилагоди","Achillea"
"прилагодување","Achillean"
"прилепување","achilleas"
"прилика","Achilleid"
"прилично","achillein"
"примаат","achilleine"
"примател","Achilles"
"пример","Achillize"
"принос","achillobursitis"
"принудат","achillodynia"
"принц","achilous"
"принцеза","achylous"
"принцип","Achimaas"
"приод","achime"
"приоритет","Achimelech"
"припаѓаат","Achimenes"
"припадност","achymia"
"природата","achymous"
"природно","Achinese"
"приспособат","achiness"
"пристаниште","achinesses"
"пристаништето","aching"
"пристап","achingly"
"пристигнете","achiote"
"пристигнување","achiotes"
"пристојно","achira"
"пристрасност","Achyranthes"
"присуство","achirite"
"присуствуваат","Achyrodes"
"присутни","Achish"
"притвор","Achitophel"
"притиснете","achkan"
"притисок","achlamydate"
"притоа","Achlamydeae"
"прифаќање","achlamydeous"
"прифати","achlorhydria"
"прифатлива","achlorhydric"
"прифатливо","achlorophyllous"
"приход","achloropsia"
"приходите","achluophobia"
"причина","Achmed"
"про","Achmetha"
"проблем","achoke"
"провајдер","acholia"
"провери","acholias"
"провинција","acholic"
"проголта","Acholoe"
"програма","acholous"
"програмер","acholuria"
"програмирање","acholuric"
"прогресивен","Achomawi"
"продаваат","achondrite"
"продавач","achondritic"
"продавница","achondroplasia"
"продажба","achondroplastic"
"продажбата","achoo"
"продолжен","achor"
"продолжи","achordal"
"продолжување","Achordata"
"продуктивни","achordate"
"продуктивноста","Achorion"
"продуцент","Achorn"
"проект","Achras"
"проектил","achree"
"проекција","achroacyte"
"прозорец","Achroanthes"
"произведуваат","achrodextrin"
"производ","achrodextrinase"
"производителот","achroglobin"
"производство","achroiocythaemia"
"проклето","achroiocythemia"
"пролет","achroite"
"промена","achroma"
"променлива","achromacyte"
"промешајте","achromasia"
"промовираат","achromat"
"промоција","achromat-"
"пронајден","achromate"
"пропаганда","Achromatiaceae"
"пропадне","achromatic"
"пропаст","achromatically"
"проповеда","achromaticity"
"пропорција","achromatin"
"пророк","achromatinic"
"просек","achromatisation"
"прослава","achromatise"
"прости","achromatised"
"простор","achromatising"
"просторија","achromatism"
"протеин","Achromatium"
"протест","achromatizable"
"против","achromatization"
"противник","achromatize"
"проток","achromatized"
"протокол","achromatizing"
"протресете","achromatocyte"
"проучување","achromatolysis"
"професија","achromatope"
"професионален","achromatophil"
"професор","achromatophile"
"профил","achromatophilia"
"профит","achromatophilic"
"проценети","achromatopia"
"проценка","achromatopsy"
"проценти","achromatopsia"
"процентот","achromatosis"
"процес","achromatous"
"процесор","achromats"
"прочитајте","achromaturia"
"прошетка","achromia"
"прошири","achromic"
"проширување","Achromycin"
"прст","Achromobacter"
"прстен","Achromobacterieae"
"психолог","achromoderma"
"психологија","achromophilous"
"психолошки","achromotrichia"
"птица","achromous"
"публика","achronical"
"пукајте","achronychous"
"пукање","achronism"
"пукна","achroo-"
"пукнатина","achroodextrin"
"пулсот","achroodextrinase"
"пумпа","achroous"
"пустина","achropsia"
"путер","Achsah"
"пушка","achtehalber"
"пцуе","achtel"
"пчела","achtelthaler"
"пченица","achter"
"пченка","achterveld"
"раб","Achuas"
"работа","achuete"
"работат","acy"
"работејќи","acyanoblepsia"
"работи","acyanopsia"
"работилница","acichlorid"
"работник","acichloride"
"работодавачот","acyclic"
"равенка","acyclically"
"раѓање","acicula"
"радар","aciculae"
"радијација","acicular"
"радикални","acicularity"
"радио","acicularly"
"радост","aciculas"
"разбере","aciculate"
"разбирање","aciculated"
"разбуди","aciculum"
"развиваат","aciculums"
"развивање","acid"
"развод","acidaemia"
"развој","Acidalium"
"развојни","Acidanthera"
"разгледување","Acidaspis"
"разговараат","acid-binding"
"разговор","acidemia"
"раздвојување","acidemias"
"разјасни","acider"
"разлика","acid-fast"
"разликуваат","acid-fastness"
"различни","acid-forming"
"различноста","acidhead"
"размена","acid-head"
"размислете","acidheads"
"размислување","acidy"
"разновидна","acidic"
"разновидност","acidiferous"
"разочаран","acidify"
"разочарување","acidifiable"
"разумно","acidifiant"
"рајот","acidific"
"рак","acidification"
"рака","acidified"
"ракав","acidifier"
"ракавица","acidifiers"
"ракета","acidifies"
"рамен","acidifying"
"рамка","acidyl"
"рамнина","acidimeter"
"рамнотежа","acidimetry"
"рамо","acidimetric"
"рана","acidimetrical"
"ранг","acidimetrically"
"рангирање","acidite"
"ранливи","acidity"
"рано","acidities"
"ранчот","acidize"
"раса","acidized"
"расизам","acidizing"
"расист","acidly"
"раскажувачко","acidness"
"расни","acidnesses"
"расположение","acidogenic"
"распоред","acidoid"
"распоредување","acidolysis"
"расправаат","acidology"
"раст","acidometer"
"расте","acidometry"
"растение","acidophil"
"растење","acidophile"
"растојание","acidophilic"
"расфрлаат","acidophilous"
"рационален","acidophilus"
"рачката","acidoproteolytic"
"реагираат","acidoses"
"реакција","acidosis"
"реализираат","acidosteophyte"
"реално","acidotic"
"реалноста","acidproof"
"револуција","acids"
"револуционерен","acid-treat"
"регион","acidulant"
"регионални","acidulate"
"регистрација","acidulated"
"регистрираат","acidulates"
"регрутираат","acidulating"
"регулатива","acidulation"
"регулаторни","acidulent"
"регулираат","acidulous"
"ред","acidulously"
"редовни","acidulousness"
"редовно","aciduria"
"режим","acidurias"
"резерва","aciduric"
"резервација","Acie"
"резервни","acier"
"резервоарот","acierage"
"резиме","Acieral"
"резолуција","acierate"
"резултат","acierated"
"реизбор","acierates"
"рејтинг","acierating"
"река","acieration"
"реклама","acies"
"рекламирање","acyesis"
"рекорд","acyetic"
"релативно","aciform"
"релевантни","acyl"
"религијата","acylal"
"република","acylamido"
"републикански","acylamidobenzene"
"ресторан","acylamino"
"ресурс","acylase"
"ретки","acylate"
"ретко","acylated"
"реторика","acylates"
"референца","acylating"
"реформи","acylation"
"рецепт","aciliate"
"рецесија","aciliated"
"рече","Acilius"
"реченица","acylogen"
"решение","acyloin"
"решетката","acyloins"
"реши","acyloxy"
"Риба","acyloxymethane"
"риболов","acyls"
"ривал","Acima"
"Рид","acinaceous"
"ризик","acinaces"
"ризично","acinacifoliate"
"ризница","acinacifolious"
"римски","acinaciform"
"ритам","acinacious"
"ритуал","acinacity"
"роб","acinar"
"робот","acinary"
"рог","acinarious"
"роден","Acineta"
"роденден","Acinetae"
"родител","acinetan"
"родителски","Acinetaria"
"роднина","acinetarian"
"роза","acinetic"
"розова","acinetiform"
"рок","Acinetina"
"ролна","acinetinan"
"роман","acing"
"романса","acini"
"романтичен","acinic"
"ропство","aciniform"
"руски","acinose"
"рута","acinotubular"
"рутина","acinous"
"ручек","acinuni"
"сè","acinus"
"сабота","acious"
"сад","Acipenser"
"сајт","Acipenseres"
"сака","acipenserid"
"сакана","Acipenseridae"
"сала","acipenserine"
"салата","acipenseroid"
"сам","Acipenseroidei"
"самит","acyrology"
"само","acyrological"
"самоубиство","Acis"
"самоуверен","acystia"
"санкција","acitate"
"сапун","acity"
"сателит","aciurgy"
"Свадба","ACK"
"сведок","ack-ack"
"сведочи","ackee"
"сведоштво","ackees"
"свежо","ackey"
"свеќа","ackeys"
"свесен","Acker"
"свесни","Ackerley"
"свесност","Ackerly"
"свеста","Ackerman"
"светец","Ackermanville"
"свети","Ackley"
"Свети","Ackler"
"светилка","ackman"
"светла","ackmen"
"светлина","acknew"
"свето","acknow"
"светот","acknowing"
"свештеник","acknowledge"
"свила","acknowledgeable"
"свиња","acknowledged"
"свој","acknowledgedly"
"себе","acknowledgement"
"себеси","acknowledgements"
"север","acknowledger"
"северно","acknowledgers"
"северозапад","acknowledges"
"североисток","acknowledging"
"севкупно","acknowledgment"
"сега","acknowledgments"
"сегмент","acknowledgment's"
"седи","acknown"
"седиште","ack-pirate"
"седми","ackton"
"седум","Ackworth"
"сезона","ACL"
"секако","aclastic"
"секогаш","acle"
"секој","acleidian"
"секојдневен","acleistocardia"
"секретарка","acleistous"
"секс","Aclemon"
"секси","aclydes"
"сексуална","aclidian"
"сексуално","aclinal"
"сектор","aclinic"
"секуларна","aclys"
"секундарно","a-clock"
"селекција","acloud"
"село","ACLS"
"селски","ACLU"
"семејството","ACM"
"семка","Acmaea"
"сенатор","Acmaeidae"
"сенатот","acmaesthesia"
"сендвич","acmatic"
"сензација","acme"
"сензор","acmes"
"Сениор","acmesthesia"
"сенка","acmic"
"сентимент","Acmispon"
"сеопфатен","acmite"
"сепак","Acmon"
"септември","acne"
"сервер","acned"
"Сервис","acneform"
"серија","acneiform"
"сериозен","acnemia"
"сериозно","acnes"
"сертификат","Acnida"
"сесија","acnodal"
"сестра","acnode"
"сет","acnodes"
"сече","ACO"
"СЗО","acoasm"
"сиво","acoasma"
"сигнал","a-coast"
"сигурен","Acocanthera"
"сигурно","acocantherin"
"сидро","acock"
"сила","acockbill"
"силата","a-cock-bill"
"силна","a-cock-horse"
"силно","acocotl"
"силување","Acoela"
"симбол","Acoelomata"
"симптом","acoelomate"
"син","acoelomatous"
"сингл","Acoelomi"
"синдикатот","acoelomous"
"синдром","acoelous"
"синџир","Acoemetae"
"сирење","Acoemeti"
"сириски","Acoemetic"
"сиромашен","acoenaesthesia"
"сиромаштија","ACOF"
"систем","acoin"
"сите","acoine"
"ситна","Acol"
"ситуација","Acolapissa"
"скала","acold"
"скандал","Acolhua"
"скапи","Acolhuan"
"скапоцени","acolyctine"
"скенирање","acolyte"
"скијање","acolytes"
"складирање","acolyth"
"склопување","acolythate"
"скок","acolytus"
"скокаат","acology"
"скриени","acologic"
"скрининг","acolous"
"скрипта","acoluthic"
"скромен","Acoma"
"скршена","acomia"
"скулптура","acomous"
"слаб","a-compass"
"слабост","aconative"
"слава","Aconcagua"
"слават","acondylose"
"слајд","acondylous"
"слатка","acone"
"слатко","aconelline"
"следат","aconic"
"следбеник","aconin"
"следење","aconine"
"следно","aconital"
"следствено","aconite"
"слепи","aconites"
"слетување","aconitia"
"слика","aconitic"
"сликање","aconitin"
"сликар","aconitine"
"слично","Aconitum"
"сличност","aconitums"
"слободата","acontia"
"слободно","Acontias"
"сложеност","acontium"
"Слој","Acontius"
"слон","aconuresis"
"слуга","acool"
"службеник","acop"
"слух","acopic"
"случај","acopyrin"
"случајно","acopyrine"
"слушаат","acopon"
"слушај","acor"
"слушател","acorea"
"смеа","acoria"
"смена","acorn"
"смесата","acorned"
"сместат","acorns"
"сметаат","acorn's"
"сметка","acorn-shell"
"сметководство","Acorus"
"смешно","acosmic"
"смирен","acosmism"
"смисла","acosmist"
"смрт","acosmistic"
"смртност","acost"
"смртоносна","Acosta"
"снабдување","acotyledon"
"снег","acotyledonous"
"снимање","acouasm"
"снимката","acouchi"
"со","acouchy"
"соба","acoumeter"
"соберат","acoumetry"
"собираат","acounter"
"собирање","acouometer"
"совеста","acouophonia"
"совет","acoup"
"совети","acoupa"
"советник","acoupe"
"советски","acousma"
"советува","acousmas"
"советување","acousmata"
"современ","acousmatic"
"совршено","acoustic"
"согласност","acoustical"
"сода","acoustically"
"содржат","acoustician"
"содржина","acoustico-"
"соединение","acousticolateral"
"создаваат","Acousticon"
"создавањето","acousticophobia"
"создавач","acoustics"
"соиграч","acoustoelectric"
"сојузник","ACP"
"сок","acpt"
"сол","acpt."
"соларни","Acquah"
"солза","acquaint"
"солидна","acquaintance"
"соло","acquaintances"
"сомнеж","acquaintance's"
"сомнителен","acquaintanceship"
"сон","acquaintanceships"
"сонце","acquaintancy"
"сончево","acquaintant"
"сообраќај","acquainted"
"соодветно","acquaintedness"
"сооднос","acquainting"
"соочуваат","acquaints"
"сопруг","Acquaviva"
"сопруга","acquent"
"сопственик","acquereur"
"сопственоста","acquest"
"соработка","acquests"
"соработник","acquiesce"
"соработуваат","acquiesced"
"сос","acquiescement"
"сосед","acquiescence"
"составот","acquiescences"
"составува","acquiescency"
"составуваат","acquiescent"
"состанок","acquiescently"
"состојба","acquiescer"
"состојка","acquiesces"
"софистицирани","acquiescing"
"софтвер","acquiescingly"
"социјални","acquiesence"
"социјално","acquiet"
"сочинуваат","acquirability"
"сочувство","acquirable"
"спаси","acquire"
"спектакуларен","acquired"
"спектар","acquirement"
"специјализираат","acquirements"
"специјалист","acquirenda"
"специфичен","acquirer"
"спиење","acquirers"
"спин","acquires"
"списание","acquiring"
"споделени","acquisible"
"споделување","acquisita"
"спомен","acquisite"
"спомене","acquisited"
"споменик","acquisition"
"спонзор","acquisitional"
"спор","acquisitions"
"според","acquisition's"
"споредба","acquisitive"
"спореди","acquisitively"
"Спорт","acquisitiveness"
"способни","acquisitor"
"способност","acquisitum"
"справат","acquist"
"спречи","acquit"
"спроведуваат","acquital"
"спротивно","acquitment"
"срам","acquits"
"срамежлив","acquittal"
"срамен","acquittals"
"срање","acquittance"
"сребро","acquitted"
"среда","acquitter"
"средба","acquitting"
"среде","acquophonia"
"средината","acr-"
"средно","Acra"
"средство","Acrab"
"среќа","acracy"
"среќен","Acraea"
"среќно","acraein"
"срцето","Acraeinae"
"стабилна","acraldehyde"
"стабилно","Acrania"
"стабилност","acranial"
"став","acraniate"
"стави","acrasy"
"ставка","acrasia"
"стадион","Acrasiaceae"
"стакло","Acrasiales"
"стан","acrasias"
"станбени","Acrasida"
"стандарден","Acrasieae"
"стандардно","acrasin"
"стане","acrasins"
"станица","Acraspeda"
"стаорец","acraspedote"
"стапица","acratia"
"стапка","acraturesis"
"стапче","acrawl"
"стар","acraze"
"старател","Acre"
"старец","acreable"
"стартер","acreage"
"статија","acreages"
"статистика","acreak"
"статистички","acream"
"статуа","acred"
"статус","acre-dale"
"статутот","Acredula"
"ствари","acre-foot"
"стебло","acre-inch"
"стек","acreman"
"стекнуваат","acremen"
"стекнување","Acres"
"степен","acre's"
"стечај","acrestaff"
"стил","a-cry"
"стимул","acrid"
"стипендија","acridan"
"стих","acridane"
"стихови","acrider"
"сто","acridest"
"стоејќи","acridian"
"стојат","acridic"
"стока","acridid"
"столб","Acrididae"
"столче","Acridiidae"
"стомак","acridyl"
"стомакот","acridin"
"стомна","acridine"
"страв","acridines"
"страдаат","acridinic"
"страдање","acridinium"
"страна","acridity"
"странец","acridities"
"страница","Acridium"
"странски","Acrydium"
"страста","acridly"
"страстен","acridness"
"стратегија","acridnesses"
"стратешки","acridone"
"страшно","acridonium"
"стрелка","acridophagus"
"стрес","acriflavin"
"стрип","acriflavine"
"стрмни","acryl"
"строг","acrylaldehyde"
"строго","Acrilan"
"струја","acrylate"
"структура","acrylates"
"структурни","acrylic"
"студент","acrylics"
"студио","acrylyl"
"субвенција","acrylonitrile"
"сува","acrimony"
"сугерираат","acrimonies"
"судбина","acrimonious"
"судбината","acrimoniously"
"судење","acrimoniousness"
"судија","acrindolin"
"судница","acrindoline"
"судот","acrinyl"
"судски","acrisy"
"сум","acrisia"
"сума","Acrisius"
"супа","Acrita"
"супер","acritan"
"супстанција","acrite"
"суптилни","acrity"
"суров","acritical"
"суровини","acritochromacy"
"суспендира","acritol"
"суштество","acritude"
"суштина","ACRNEMA"
"суштински","acro-"
"сфера","Acroa"
"сцена","acroaesthesia"
"сценарио","acroama"
"т.н","acroamata"
"таа","acroamatic"
"таб","acroamatical"
"табла","acroamatics"
"таблета","acroanesthesia"
"тава","acroarthritis"
"таванот","acroasis"
"тага","acroasphyxia"
"тажен","acroataxia"
"тајмингот","acroatic"
"тајна","acrobacy"
"така","acrobacies"
"такви","acrobat"
"такса","Acrobates"
"такси","acrobatholithic"
"тактика","acrobatic"
"талент","acrobatical"
"талентирани","acrobatically"
"талкаат","acrobatics"
"таму","acrobatism"
"танцуваат","acrobats"
"танцување","acrobat's"
"танцувач","acrobystitis"
"тапан","acroblast"
"тастатура","acrobryous"
"татичко","Acrocarpi"
"татко","acrocarpous"
"татковината","acrocentric"
"тато","acrocephaly"
"тачдаун","acrocephalia"
"твитер","acrocephalic"
"твое","acrocephalous"
"творец","Acrocera"
"тврди","Acroceratidae"
"театар","Acroceraunian"
"тегла","Acroceridae"
"Тежина","Acrochordidae"
"текст","Acrochordinae"
"телевизија","acrochordon"
"телескоп","acrocyanosis"
"телефон","acrocyst"
"тело","acrock"
"тема","Acroclinium"
"темелно","Acrocomia"
"темнина","acroconidium"
"темно","acrocontracture"
"температура","acrocoracoid"
"темпо","Acrocorinth"
"тенденција","acrodactyla"
"тендер","acrodactylum"
"тензија","acrodermatitis"
"Тенис","acrodynia"
"тенки","acrodont"
"тенџере","acrodontism"
"теологијата","acrodonts"
"теоретски","acrodrome"
"теорија","acrodromous"
"тепих","Acrodus"
"терапевт","acroesthesia"
"терапија","acrogamy"
"теренот","acrogamous"
"Теретана","acrogen"
"територија","acrogenic"
"термин","acrogenous"
"термини","acrogenously"
"терор","acrogens"
"тероризам","Acrogynae"
"терорист","acrogynous"
"тесен","acrography"
"тесни","acrolein"
"тесно","acroleins"
"тест","acrolith"
"тестамент","acrolithan"
"тестирање","acrolithic"
"тесто","acroliths"
"тетка","acrology"
"тетоважа","acrologic"
"тетратка","acrologically"
"техн","acrologies"
"техника","acrologism"
"технички","acrologue"
"технологија","acromania"
"технолошки","acromastitis"
"течност","acromegaly"
"тешка","acromegalia"
"тешки","acromegalic"
"тешко","acromegalies"
"тешкотија","acromelalgia"
"ти","acrometer"
"тивко","acromia"
"Тигар","acromial"
"тие","acromicria"
"тим","acromimia"
"тинејџер","acromioclavicular"
"тинејџерски","acromiocoracoid"
"тип","acromiodeltoid"
"типичен","Acromyodi"
"типично","acromyodian"
"тишина","acromyodic"
"ткаенина","acromyodous"
"ткиво","acromiohyoid"
"тоа","acromiohumeral"
"тоалет","acromion"
"товар","acromioscapular"
"тогаш","acromiosternal"
"тој","acromiothoracic"
"токсични","acromyotonia"
"толерира","acromyotonus"
"толкуваат","acromonogrammatic"
"толкување","acromphalus"
"толпата","acron"
"тон","acronal"
"топка","acronarcotic"
"топлина","acroneurosis"
"топло","acronic"
"торба","acronyc"
"торта","acronical"
"точен","acronycal"
"точка","acronically"
"точно","acronycally"
"точност","acronych"
"трага","acronichal"
"трагедија","acronychal"
"трагично","acronichally"
"традиција","acronychally"
"традиционален","acronychous"
"традиционално","Acronycta"
"транзит","acronyctous"
"транзиција","acronym"
"трансакција","acronymic"
"транспорт","acronymically"
"транспортот","acronymize"
"трансфер","acronymized"
"трансформација","acronymizing"
"трансформираат","acronymous"
"траума","acronyms"
"трговец","acronym's"
"трговија","acronyx"
"тргување","acronomy"
"трева","acrook"
"тревник","acroparalysis"
"трејлер","acroparesthesia"
"тремот","acropathy"
"тренд","acropathology"
"тренер","acropetal"
"Треска","acropetally"
"тресне","acrophobia"
"третираат","acrophonetic"
"третман","acrophony"
"трето","acrophonic"
"три","acrophonically"
"триесет","acrophonies"
"тријте","acropodia"
"трик","acropodium"
"трилиони","acropoleis"
"тркалање","Acropolis"
"тркало","acropolises"
"тркач","acropolitan"
"тронот","Acropora"
"тропски","acropore"
"тротоар","acrorhagus"
"трошење","acrorrheuma"
"трошок","acrosarc"
"трпелив","acrosarca"
"трпение","acrosarcum"
"трчај","acroscleriasis"
"трчање","acroscleroderma"
"тужба","acroscopic"
"тужи","acrose"
"тула","acrosome"
"тумор","acrosomes"
"тунел","acrosphacelus"
"тупаница","acrospire"
"турист","acrospired"
"туркање","acrospiring"
"турнеја","acrospore"
"турнир","acrosporous"
"тутунот","across"
"туширање","across-the-board"
"убава","acrostic"
"убавина","acrostical"
"убаво","acrostically"
"убедени","acrostichal"
"убеди","Acrosticheae"
"убедување","acrostichic"
"убивањето","acrostichoid"
"убие","Acrostichum"
"убиец","acrosticism"
"убиство","acrostics"
"уверуваат","acrostolia"
"увид","acrostolion"
"уво","acrostolium"
"увоз","acrotarsial"
"угледот","acrotarsium"
"удар","acroteleutic"
"удобно","acroter"
"удобност","acroteral"
"удри","acroteria"
"ужас","acroterial"
"ужасно","acroteric"
"Ужасно","acroterion"
"уживајте","acroterium"
"укажуваат","acroterteria"
"улица","Acrothoracica"
"уличка","acrotic"
"улога","acrotism"
"умерено","acrotisms"
"уметник","acrotomous"
"уметнички","Acrotreta"
"уметност","Acrotretidae"
"умирање","acrotrophic"
"уморен","acrotrophoneurosis"
"умот","Acrux"
"умре","ACRV"
"универзална","ACS"
"универзитет","ACSE"
"универзум","ACSNET"
"униформа","ACSU"
"уништи","ACT"
"уништување","Acta"
"унца","actability"
"упатство","actable"
"упатува","Actaea"
"употреба","Actaeaceae"
"управуваат","Actaeon"
"управување","Actaeonidae"
"ураган","acted"
"урбани","actg"
"уред","actg."
"уредник","ACTH"
"Уредување","Actiad"
"усвои","Actian"
"услуга","actify"
"усна","actification"
"усогласеност","actifier"
"успее","actin"
"успех","actin-"
"успешна","actinal"
"успешно","actinally"
"устав","actinautography"
"уставни","actinautographic"
"устата","actine"
"утврди","actinenchyma"
"утре","acting"
"утрото","acting-out"
"ух","actings"
"ух-а","Actinia"
"учат","actiniae"
"ученик","actinian"
"учењето","actinians"
"учесник","Actiniaria"
"учество","actiniarian"
"учествуваат","actinias"
"училиште","actinic"
"училница","actinical"
"учтивост","actinically"
"уште","actinide"
"фабрика","actinides"
"фаза","Actinidia"
"фаќање","Actinidiaceae"
"факт","actiniferous"
"фактор","actiniform"
"факултет","actinine"
"фантазија","actiniochrome"
"фантастично","actiniohematin"
"фарма","Actiniomorpha"
"фармерки","actinism"
"фасцинантен","actinisms"
"фати","Actinistia"
"февруари","actinium"
"федерални","actiniums"
"феномен","actino-"
"фенси","actinobaccilli"
"фер","actinobacilli"
"фестивал","actinobacillosis"
"фигура","actinobacillotic"
"физика","Actinobacillus"
"физички","actinoblast"
"фиксна","actinobranch"
"фикција","actinobranchia"
"филм","actinocarp"
"филозофија","actinocarpic"
"филозофски","actinocarpous"
"филтер","actinochemical"
"финансии","actinochemistry"
"финансирање","actinocrinid"
"финансиски","Actinocrinidae"
"фиока","actinocrinite"
"фискална","Actinocrinus"
"фитнес","actinocutitis"
"флексибилни","actinodermatitis"
"флексибилност","actinodielectric"
"флота","actinodrome"
"фокус","actinodromous"
"фонд","actinoelectric"
"форма","actinoelectrically"
"формален","actinoelectricity"
"формат","actinogonidiate"
"формирање","actinogram"
"формула","actinograph"
"форум","actinography"
"фосилни","actinographic"
"фотограф","actinoid"
"фотографија","Actinoida"
"фраза","Actinoidea"
"француски","actinoids"
"франшиза","actinolite"
"фреквенција","actinolitic"
"фрли","actinology"
"фрлија","actinologous"
"фрустрација","actinologue"
"фудбал","actinomere"
"фундаментално","actinomeric"
"функција","actinometer"
"функционални","actinometers"
"фунта","actinometry"
"фустан","actinometric"
"ха","actinometrical"
"хаос","actinometricy"
"хардвер","Actinomyces"
"хартија","actinomycese"
"хеликоптер","actinomycesous"
"хемијата","actinomycestal"
"хемиски","Actinomycetaceae"
"херој","actinomycetal"
"хипотеза","Actinomycetales"
"хипотека","actinomycete"
"хирург","actinomycetous"
"хм","actinomycin"
"хмм","actinomycoma"
"ходник","actinomycosis"
"хокеј","actinomycosistic"
"холандски","actinomycotic"
"холестерол","Actinomyxidia"
"хоризонтот","Actinomyxidiida"
"хормон","actinomorphy"
"хотел","actinomorphic"
"храбар","actinomorphous"
"храброст","actinon"
"храмот","Actinonema"
"храна","actinoneuritis"
"христијанин","actinons"
"христијанството","actinophone"
"хроника","actinophonic"
"хронична","actinophore"
"хумор","actinophorous"
"царот","actinophryan"
"царството","Actinophrys"
"цвеќе","actinopod"
"цврсто","Actinopoda"
"цевка","actinopraxis"
"цел","actinopteran"
"цела","Actinopteri"
"целина","actinopterygian"
"целосно","Actinopterygii"
"цена","actinopterygious"
"цени","actinopterous"
"цент","actinoscopy"
"центар","actinosoma"
"централно","actinosome"
"церемонија","Actinosphaerium"
"цивилизација","actinost"
"цивилна","actinostereoscopy"
"цигара","actinostomal"
"циклус","actinostome"
"цитат","actinotherapeutic"
"цитираат","actinotherapeutics"
"цица","actinotherapy"
"црвено","actinotoxemia"
"црево","actinotrichium"
"црквата","actinotrocha"
"црна","actinouranium"
"цртаат","Actinozoa"
"цртање","actinozoal"
"чад","actinozoan"
"чај","actinozoon"
"чанта","actins"
"Чао","actinula"
"час","actinulae"
"часовник","action"
"часот","actionability"
"чаша","actionable"
"чевелот","actionably"
"чекаат","actional"
"чекај","actionary"
"чекан","actioner"
"чекор","actiones"
"челик","actionist"
"челото","actionize"
"череп","actionized"
"чест","actionizing"
"чести","actionless"
"честичка","actions"
"често","action's"
"четврт","action-taking"
"четврти","actious"
"четвртина","Actipylea"
"четврток","Actis"
"четири","Actium"
"четириесет","activable"
"четка","activate"
"чизма","activated"
"чиј","activates"
"чинија","activating"
"чип","activation"
"чиста","activations"
"чисти","activator"
"читање","activators"
"читач","activator's"
"чкрапало","active"
"член","active-bodied"
"членство","actively"
"човек","active-limbed"
"човечки","active-minded"
"човештвото","activeness"
"чоколадо","actives"
"чорап","activin"
"чувар","activism"
"чувствителна","activisms"
"чувствителност","activist"
"чувство","activistic"
"чувствуваат","activists"
"чудно","activist's"
"чудо","activital"
"чудовиште","activity"
"чукаат","activities"
"џвакање","activity's"
"џеб","activize"
"џез","activized"
"џин","activizing"
"џунглата","actless"
"шајка","actomyosin"
"шамар","Acton"
"шампион","Actor"
"шанса","actory"
"шансите","Actoridae"
"шарм","actorish"
"шатл","actor-manager"
"шатор","actor-proof"
"шега","actors"
"шеќер","actor's"
"шема","actorship"
"шепот","actos"
"шериф","ACTPU"
"шест","actress"
"шести","actresses"
"Шипка","actressy"
"ширење","actress's"
"широк","ACTS"
"широка","ACTU"
"шише","actual"
"шкафче","actualisation"
"школка","actualise"
"шлем","actualised"
"Шминка","actualising"
"шок","actualism"
"шопинг","actualist"
"шпанска","actualistic"
"шпански","actuality"
"шпекулации","actualities"
"шпион","actualization"
"штала","actualizations"
"штекер","actualize"
"штета","actualized"
"штит","actualizes"
"што","actualizing"
"штрајк","actually"
"шума","actualness"
"шупак","actuals"
