"Pashto","English"
"موسسه","acetated"
"موسم","acetates"
"موسیقار","acetation"
"موسيقي","acetazolamide"
"موضوع","acetbromamide"
"موقع","acetenyl"
"موقعیت","Acetes"
"مومن","acethydrazide"
"موندل","acetiam"
"موندنه","acetic"
"مونګ","acetify"
"می","acetification"
"میاشت","acetified"
"میاشتنی","acetifier"
"میخانیک","acetifies"
"میخانیکي","acetifying"
"میدان","acetyl"
"میراث","acetylacetonates"
"میرمن","acetylacetone"
"میړه","acetylamine"
"میز","acetylaminobenzene"
"میکانیزم","acetylaniline"
"میل","acetylasalicylic"
"ميلمه","acetylate"
"مین","acetylated"
"مینځل","acetylating"
"مینه","acetylation"
"مینو","acetylative"
"میوزیکل","acetylator"
"میوزیم","acetylbenzene"
"میوه","acetylbenzoate"
"ناپاکه","acetylbenzoic"
"ناپوه","acetylbiuret"
"ناپوهي","acetylcarbazole"
"ناڅاپه","acetylcellulose"
"ناڅرګند","acetylcholine"
"ناخالص","acetylcholinesterase"
"نادر","acetylcholinic"
"نارنج","acetylcyanide"
"ناروغ","acetylenation"
"ناروغي","acetylene"
"نارینه","acetylenediurein"
"نازک","acetylenes"
"ناست","acetylenic"
"ناشته","acetylenyl"
"ناشوني","acetylenogen"
"ناشونی","acetylfluoride"
"نافذول","acetylglycin"
"ناکام","acetylglycine"
"ناکامي","acetylhydrazine"
"ناگزیر","acetylic"
"نامعلوم","acetylid"
"نامناسب","acetylide"
"ناوخته","acetyliodide"
"ناورین","acetylizable"
"ناول","acetylization"
"ناوې","acetylize"
"نائب","acetylized"
"نبات","acetylizer"
"نبض","acetylizing"
"نجلۍ","acetylmethylcarbinol"
"نڅا","acetylperoxide"
"نڅاګر","acetylphenylhydrazine"
"نرخ","acetylphenol"
"نږدې","acetylrosaniline"
"نرس","acetyls"
"نرم","acetylsalicylate"
"نړۍ","acetylsalicylic"
"نړیوال","acetylsalol"
"نژاد","acetyltannin"
"نسبتا","acetylthymol"
"نسج","acetyltropeine"
"نسخه","acetylurea"
"نسل","acetimeter"
"نښلول","acetimetry"
"نښه","acetimetric"
"نشتوالی","acetin"
"نشر","acetine"
"نشه","acetins"
"نصاب","acetite"
"نصب","acetize"
"نصواري","acetla"
"نظارت","acetmethylanilide"
"نظر","acetnaphthalide"
"نظري","aceto-"
"نظریه","acetoacetanilide"
"نظم","acetoacetate"
"نغدي","acetoacetic"
"نفرت","acetoamidophenol"
"نفوذ","acetoarsenite"
"نفوس","Acetobacter"
"نقاد","acetobenzoic"
"نقاشي","acetobromanilide"
"نقشه","acetochloral"
"نقطه","acetocinnamene"
"نمرې","acetoin"
"نمونه","acetol"
"نن","acetolysis"
"نندارتون","acetolytic"
"ننګونکی","acetometer"
"ننګونه","acetometry"
"ننگی","acetometric"
"ننوتل","acetometrical"
"نه","acetometrically"
"نهه","acetomorphin"
"نو","acetomorphine"
"نور","acetonaemia"
"نورم","acetonaemic"
"نورمال","acetonaphthone"
"نوښت","acetonate"
"نوښتګر","acetonation"
"نوک","acetone"
"نوکر","acetonemia"
"نوم","acetonemic"
"نوماند","acetones"
"نومبر","acetonic"
"نومول","acetonyl"
"نومونې","acetonylacetone"
"نوی","acetonylidene"
"نیا","acetonitrile"
"نیت","acetonization"
"نیټه","acetonize"
"نیکه","acetonuria"
"نیکی","acetonurometer"
"نیم","acetophenetide"
"نیمګړتیا","acetophenetidin"
"نیول","acetophenetidine"
"هاخوا","acetophenin"
"هارډویر","acetophenine"
"هاکي","acetophenone"
"هالووین","acetopiperone"
"هامر","acetopyrin"
"هپ","acetopyrine"
"هټۍ","acetosalicylic"
"هڅه","acetose"
"هڅول","acetosity"
"هڅونکی","acetosoluble"
"هڅونه","acetostearin"
"هدف","acetothienone"
"هډوکي","acetotoluid"
"هر","acetotoluide"
"هرات","acetotoluidine"
"هراړخیز","acetous"
"هرچیرې","acetoveratrone"
"هرڅه","acetoxyl"
"هرڅوک","acetoxyls"
"هرکله","acetoxim"
"هرن","acetoxime"
"هسپانوي","acetoxyphthalide"
"هغه","acetphenetid"
"هغې","acetphenetidin"
"هګۍ","acetract"
"هک","acettoluide"
"هلته","acetum"
"هلک","aceturic"
"هم","ACF"
"همجنسباز","ACGI"
"همداسې","ac-globulin"
"همکار","ACH"
"همکاري","Achab"
"هندي","Achad"
"هنر","Achaea"
"هنرمند","Achaean"
"هنري","Achaemenes"
"هو","Achaemenian"
"هوا","Achaemenid"
"هوټل","Achaemenidae"
"هورمون","Achaemenides"
"هوساینه","Achaemenidian"
"هوښيار","Achaemenids"
"هوښیار","achaenocarp"
"هوم","Achaenodon"
"هویت","Achaeta"
"هېرول","achaetous"
"هیڅکله","Achaeus"
"هیڅوک","achafe"
"هیک","achage"
"هیلمټ","Achagua"
"هیله","Achaia"
"هیلۍ","Achaian"
"هیواد","Achakzai"
"وا","achalasia"
"واټن","Achamoth"
"واچول","Achan"
"واحد","Achango"
"واخله","achape"
"واده","achaque"
"واردول","achar"
"واښه","acharya"
"واقعي","Achariaceae"
"واقعیا","Achariaceous"
"واګون","acharne"
"واک","acharnement"
"واکسین","Acharnians"
"والدین","achate"
"والي","Achates"
"واوره","Achatina"
"واورئ","Achatinella"
"وایرس","Achatinidae"
"وتل","achatour"
"وتون","Achaz"
"وجود","ache"
"وچ","acheat"
"وچول","achech"
"وحشت","acheck"
"وحشتناک","ached"
"وحشي","acheer"
"وحی","ACHEFT"
"وخت","acheilary"
"ودانۍ","acheilia"
"وده","acheilous"
"ور","acheiria"
"ورپسې","acheirous"
"ورته","acheirus"
"ورځ","Achelous"
"ورځپاڼه","Achen"
"ورځنی","achene"
"ورخطايي","achenes"
"ورزشکار","achenia"
"ورق","achenial"
"ورک","achenium"
"ورکړل","achenocarp"
"ورکشاپ","achenodia"
"ورکول","achenodium"
"ورو","acher"
"ورور","Acherman"
"وروستنی","Achernar"
"وروسته","Acheron"
"وروستی","Acheronian"
"وروڼه","Acherontic"
"ورېځ","Acherontical"
"ورېښم","aches"
"وږی","Acheson"
"وريجې","achesoun"
"وړ","achete"
"وړاندوینه","Achetidae"
"وړاندې","Acheulean"
"وړاندیز","Acheulian"
"وړانګې","acheweed"
"وړتیا","achy"
"وړل","achier"
"وړونکی","achiest"
"وړيا","achievability"
"وزارت","achievable"
"وزر","achieve"
"وزن","achieved"
"وزه","achievement"
"وزیر","achievements"
"وژل","achievement's"
"وژنه","achiever"
"وژونکی","achievers"
"وسله","achieves"
"وسیله","achieving"
"وصیت","ach-y-fi"
"وضاحت","achigan"
"وطن","achilary"
"وفادار","achylia"
"وفاداري","Achill"
"وقار","Achille"
"وقفه","Achillea"
"وګوره","Achillean"
"وګورئ","achilleas"
"وكيل","Achilleid"
"وکر","achillein"
"ولاړ","achilleine"
"ولایت","Achilles"
"ولړزول","Achillize"
"ولسمشر","achillobursitis"
"ولسمشرۍ","achillodynia"
"ولسوالی","achilous"
"ولې","achylous"
"ونه","Achimaas"
"وهل","achime"
"ووایه","Achimelech"
"ووږه","Achimenes"
"وي","achymia"
"وياړ","achymous"
"وياند","Achinese"
"ویب","achiness"
"ويټامين","achinesses"
"ویجاړول","aching"
"ویډیو","achingly"
"ویښ","achiote"
"ویښتان","achiotes"
"ویش","achira"
"ویشل","Achyranthes"
"ویل","achirite"
"ویمپائر","Achyrodes"
"وین","Achish"
"وینا","Achitophel"
"وینه","achkan"
"یا","achlamydate"
"یاد","Achlamydeae"
"یادښت","achlamydeous"
"یادگار","achlorhydria"
"یادول","achlorhydric"
"یادونه","achlorophyllous"
"یخ","achloropsia"
"یرغل","achluophobia"
"یرغمل","Achmed"
"یقینا","Achmetha"
"یهودي","achoke"
"یو","acholia"
"یوازې","acholias"
"یوازیتوب","acholic"
"یوازینی","Acholoe"
"یوځای","acholous"
"یوځل","acholuria"
"یولس","acholuric"
"یوناني","Achomawi"
"یونیفورم","achondrite"
"یووالی","achondritic"
