"Tatar","English"
"трейлер","acetyls"
"трек","acetylsalicylate"
"тренд","acetylsalicylic"
"тренер","acetylsalol"
"трлн","acetyltannin"
"тропик","acetylthymol"
"тротаур","acetyltropeine"
"труба","acetylurea"
"туалет","acetimeter"
"тубык","acetimetry"
"туган","acetimetric"
"тугры","acetin"
"тугрылыклы","acetine"
"тугыз","acetins"
"туды","acetite"
"тудыру","acetize"
"тузан","acetla"
"туй","acetmethylanilide"
"туклану","acetnaphthalide"
"Тукта","aceto-"
"туктату","acetoacetanilide"
"туктау","acetoacetate"
"туктаусыз","acetoacetic"
"тукыма","acetoamidophenol"
"тулай","acetoarsenite"
"тулы","Acetobacter"
"Тулырак","acetobenzoic"
"тулысынча","acetobromanilide"
"тундырган","acetochloral"
"туннель","acetocinnamene"
"туңдыру","acetoin"
"туп","acetol"
"тупас","acetolysis"
"туплау","acetolytic"
"Тур","acetometer"
"турист","acetometry"
"турнир","acetometric"
"туры","acetometrical"
"Туры","acetometrically"
"Турыдан","acetomorphin"
"турыдан-туры","acetomorphine"
"турында","acetonaemia"
"тутыру","acetonaemic"
"туу","acetonaphthone"
"туфрак","acetonate"
"түбә","acetonation"
"түбән","acetone"
"түгел","acetonemia"
"түгәрәк","acetonemic"
"түгү","acetones"
"түземлек","acetonic"
"түзү","acetonyl"
"түләү","acetonylacetone"
"түшәк","acetonylidene"
"түшәм","acetonitrile"
"тыгыз","acetonization"
"тыгызлыгы","acetonize"
"тыгылу","acetonuria"
"тыйнак","acetonurometer"
"тылсымлы","acetophenetide"
"тын","acetophenetidin"
"тынлык","acetophenetidine"
"тыныч","acetophenin"
"тынычлык","acetophenine"
"тынычсыз","acetophenone"
"тыныш","acetopiperone"
"тыңла","acetopyrin"
"тыңлаучы","acetopyrine"
"тырнау","acetosalicylic"
"тырышлык","acetose"
"тырышсалар","acetosity"
"тычкан","acetosoluble"
"тыш","acetostearin"
"тышкы","acetothienone"
"тышта","acetotoluid"
"тыю","acetotoluide"
"тыярлар","acetotoluidine"
"тясадцфи","acetous"
"тяшкил","acetoveratrone"
"углерод","acetoxyl"
"уен","acetoxyls"
"уенчык","acetoxim"
"узарга","acetoxime"
"узу","acetoxyphthalide"
"узыш","acetphenetid"
"уйла","acetphenetidin"
"уйлау","acetract"
"уйнау","acettoluide"
"уку","acetum"
"укучы","aceturic"
"укыгыз","ACF"
"укыйлар","ACGI"
"укыту","ac-globulin"
"укытучы","ACH"
"ул","Achab"
"Ул","Achad"
"улы","Achaea"
"ум","Achaean"
"ун","Achaemenes"
"унбер","Achaemenian"
"унбиш","Achaemenid"
"универсаль","Achaemenidae"
"университет","Achaemenides"
"уникаль","Achaemenidian"
"унике","Achaemenids"
"уну","achaenocarp"
"унцию","Achaenodon"
"унъеллык","Achaeta"
"унышсыз","achaetous"
"уң","Achaeus"
"уңай","achafe"
"уңайлы","achage"
"уңайлык","Achagua"
"уңайсыз","Achaia"
"уңыш","Achaian"
"уңышлы","Achakzai"
"уңышсыз","achalasia"
"уңышсызлык","Achamoth"
"урам","Achan"
"урлау","Achango"
"урлый","achape"
"урман","achaque"
"урнаштыру","achar"
"урнашу","acharya"
"урта","Achariaceae"
"уртак","Achariaceous"
"уртаклашты","acharne"
"уртача","acharnement"
"урын","Acharnians"
"урынбасары","achate"
"урындык","Achates"
"урынсыз","Achatina"
"урынына","Achatinella"
"ут","Achatinidae"
"утрау","achatour"
"утыз","Achaz"
"утыр","ache"
"уятыр","acheat"
"үбү","achech"
"үгез","acheck"
"үз","ached"
"үзара","acheer"
"үзгәреш","ACHEFT"
"үзгәртү","acheilary"
"үзгәрүе","acheilia"
"үзгәрүчән","acheilous"
"үзе","acheiria"
"үзебезне","acheirous"
"үзем","acheirus"
"үзенеке","Achelous"
"үзенчәлек","Achen"
"үзең","achene"
"үзәк","achenes"
"үзән","achenia"
"үзләре","achenial"
"үкчә","achenium"
"үлгән","achenocarp"
"үлде","achenodia"
"үлем","achenodium"
"үлә","acher"
"үлән","Acherman"
"үлчәм","Achernar"
"үлчәү","Acheron"
"үпкә","Acheronian"
"үрдәк","Acherontic"
"үрнәк","Acherontical"
"үсемлек","aches"
"үсеш","Acheson"
"үсешенең","achesoun"
"үсә","achete"
"үстәлик","Achetidae"
"үтерү","Acheulean"
"үтерүне","Acheulian"
"үтерүче","acheweed"
"үтәлмәсә","achy"
"үтәү","achier"
"үтәүче","achiest"
"үткән","achievability"
"үтмәү","achievable"
"үч","achieve"
"фаворит","achieved"
"фаза","achievement"
"файда","achievements"
"файдалы","achievement's"
"файдасыз","achiever"
"файл","achievers"
"Файлның","achieves"
"факт","achieving"
"фактор","ach-y-fi"
"факультет","achigan"
"фантазия","achilary"
"фантастика","achylia"
"фаразланган","Achill"
"фаразлау","Achille"
"фасоль","Achillea"
"фатирлы","Achillean"
"фатиха","achilleas"
"фатихасын","Achilleid"
"февраль","achillein"
"федераль","achilleine"
"феномен","Achilles"
"ферма","Achillize"
"фермер","achillobursitis"
"фестиваль","achillodynia"
"фетнәче","achilous"
"фәлсәфи","achylous"
"фән","Achimaas"
"фәнни","achime"
"фәрештә","Achimelech"
"фигура","Achimenes"
"физик","achymia"
"физика","achymous"
"фикер","Achinese"
"фил","achiness"
"филиалы","achinesses"
"философия","aching"
"фильм","achingly"
"фильтр","achiote"
"финал","achiotes"
"финанс","achira"
"финанслау","Achyranthes"
"фиркадән","achirite"
"флаг","Achyrodes"
"флип","Achish"
"флот","Achitophel"
"флэш","achkan"
"фокус","achlamydate"
"фон","Achlamydeae"
"фонд","achlamydeous"
"форма","achlorhydria"
"формалаштыру","achlorhydric"
"формаль","achlorophyllous"
"формат","achloropsia"
"формула","achluophobia"
"фортепиано","Achmed"
"форум","Achmetha"
"фото","achoke"
"фотография","acholia"
"фотографы","acholias"
"фракциясе","acholic"
"фрейм","Acholoe"
"фронт","acholous"
"фундаменталь","acholuria"
"функциональ","acholuric"
"функция","Achomawi"
"фургон","achondrite"
"футбол","achondritic"
"хайван","achondroplasia"
"хакимият","achondroplastic"
"хаклы","achoo"
"хакы","achor"
"хакыйкать","achordal"
"хакына","Achordata"
"халык","achordate"
"халыкара","Achorion"
"ханым","Achorn"
"хаос","Achras"
"характер","achree"
"хат","achroacyte"
"хата","Achroanthes"
"хатын","achrodextrin"
"хатын-кыз","achrodextrinase"
"хатыны","achroglobin"
"хач","achroiocythaemia"
"хезмәт","achroiocythemia"
"хезмәткәр","achroite"
"хезмәттәш","achroma"
"хезмәттәшлек","achromacyte"
"хезмәтче","achromasia"
"хәбәр","achromat"
"хәбәрдарлык","achromat-"
"хәзер","achromate"
"хәзерге","Achromatiaceae"
"хәзинә","achromatic"
"хәйлә","achromatically"
"хәйрия","achromaticity"
"хәл","achromatin"
"хәлсезлек","achromatinic"
"хәрби","achromatisation"
"хәрәкәт","achromatise"
"хәсрәт","achromatised"
"хәтер","achromatising"
"хәтәрле","achromatism"
"хәтта","Achromatium"
"хикәя","achromatizable"
"хикәяләү","achromatization"
"хикәяләүче","achromatize"
"химик","achromatized"
"химия","achromatizing"
"хирург","achromatocyte"
"хирургия","achromatolysis"
"хисап","achromatope"
"Хисап","achromatophil"
"хисаплау","achromatophile"
"хит","achromatophilia"
"хоккей","achromatophilic"
"хокук","achromatopia"
"хокуклык","achromatopsy"
"холестерин","achromatopsia"
"хосусыйлык","achromatosis"
"хөкем","achromatous"
"хөкүмәт","achromats"
"хөрмәт","achromaturia"
"христиан","achromia"
"хроник","achromic"
"хроника","Achromycin"
"хуҗа","Achromobacter"
"хуҗасы","Achromobacterieae"
"хуплау","achromoderma"
"хуш","achromophilous"
"ХХVII","achromotrichia"
"хыял","achromous"
"хыялу","achronical"
"цент","achronychous"
"цикл","achronism"
"цитата","achroo-"
"цифрлы","achroodextrin"
"ЦСТa","achroodextrinase"
"чагылдыру","achroous"
"чагыштыр","achropsia"
"чагыштыру","Achsah"
"чакыру","achtehalber"
"чалбар","achtel"
"чамаланганда","achtelthaler"
"чамасы","achter"
"чангы","achterveld"
"чатыр","Achuas"
"чеби","achuete"
"челтәр","acy"
"чемодан","acyanoblepsia"
"чемпион","acyanopsia"
"чемпионат","acichlorid"
"чәй","acichloride"
"чәйлек","acyclic"
"чәршәмбе","acyclically"
"чәч","acicula"
"чәчәк","aciculae"
"чигарма","acicular"
"чик","acicularity"
"чикләнгән","acicularly"
"чикләү","aciculas"
"чиксез","aciculate"
"чиләк","aciculated"
"чимал","aciculum"
"Чираттагы","aciculums"
"чирек","acid"
"чиркәү","acidaemia"
"чирттерү","Acidalium"
"чиста","Acidanthera"
"чит","Acidaspis"
"читкә","acid-binding"
"читлек","acidemia"
"читтә","acidemias"
"чишелеш","acider"
"чишенү","acid-fast"
"чишү","acid-fastness"
"чолан","acid-forming"
"чөнки","acidhead"
"Чу","acid-head"
"чуалчык","acidheads"
"чүкеч","acidy"
"чүл","acidic"
"чүлдә","acidiferous"
"чүлмәк","acidify"
"чүп","acidifiable"
"чүп-чар","acidifiant"
"чыбык","acidific"
"чыга","acidification"
"чыганак","acidified"
"чыгару","acidifier"
"чыгарылыш","acidifiers"
"чыгарырга","acidifies"
"Чыгу","acidifying"
"чыгым","acidyl"
"чыгымнар","acidimeter"
"чыгып","acidimetry"
"чыгышларын","acidimetric"
"чылбыр","acidimetrical"
"чын","acidimetrically"
"чынаяк","acidite"
"чынбарлык","acidity"
"Чынлыкта","acidities"
"чыхарышын","acidize"
"чякинир","acidized"
"шагыйрь","acidizing"
"шайтан","acidly"
"шактый","acidness"
"шалтырату","acidnesses"
"шалтырау","acidogenic"
"шаһит","acidoid"
"шаһитлек","acidolysis"
"шарт","acidology"
"шартлар","acidometer"
"шартлату","acidometry"
"шартлау","acidophil"
"шартнамә","acidophile"
"шатлык","acidophilic"
"шатлыклы","acidophilous"
"Шаттл","acidophilus"
"шахта","acidoproteolytic"
"шаярту","acidoses"
"шелтә","acidosis"
"шериф","acidosteophyte"
"шеш","acidotic"
"шешә","acidproof"
"шәкерте","acids"
"шәм","acid-treat"
"шәһәр","acidulant"
"шәфкать","acidulate"
"шәхес","acidulated"
"шәхсән","acidulates"
"шәхси","acidulating"
"шигърият","acidulation"
"шигырь","acidulent"
"шик","acidulous"
"шикәр","acidulously"
"шикле","acidulousness"
"шикләнү","aciduria"
"шикләнүче","acidurias"
"шимбә","aciduric"
"шина","Acie"
"шифащи","acier"
"шкаф","acierage"
"шнур","Acieral"
"шок","acierate"
"шоколад","acierated"
"шома","acierates"
"шомлык","acierating"
"шоссе","acieration"
"шоу","acies"
"шпион","acyesis"
"шт","acyetic"
"штаб","aciform"
"шторм","acyl"
"штраф","acylal"
"шулай","acylamido"
"шулпа","acylamidobenzene"
"шуннан","acylamino"
"шуышу","acylase"
"шыңгырау","acylate"
"шяраит","acylated"
"шяхс","acylates"
"щётка","acylating"
"ым","acylation"
"ыргыту","aciliate"
"ысул","aciliated"
"ысулы","Acilius"
"ычкындыру","acylogen"
"ышан","acyloin"
"ышандыр","acyloins"
"ышандыру","acyloxy"
"ышандырырлык","acyloxymethane"
"ышану","acyls"
"ышаныч","Acima"
"ышанычлы","acinaceous"
"ышанычлылык","acinaces"
"ышку","acinacifoliate"
"эволюция","acinacifolious"
"эендер","acinaciform"
"эз","acinacious"
"эзлекле","acinacity"
"эзлеклелеге","acinar"
"эзләр","acinary"
"эзләү","acinarious"
"эй","Acineta"
"эквивалент","Acinetae"
"экологик","acinetan"
"экосистема","Acinetaria"
"экран","acinetarian"
"эксперимент","acinetic"
"эксперименталь","acinetiform"
"экспертиза","Acinetina"
"экспорт","acinetinan"
"экспресс","acing"
"экстремаль","acini"
"элеватор","acinic"
"элегант","aciniform"
"элек","acinose"
"элеккеге","acinotubular"
"электр","acinous"
"электрон","acinuni"
"элемент","acinus"
"элита","acious"
"эмоциональ","Acipenser"
"энергия","Acipenseres"
"энтузиаст","acipenserid"
"эретү","Acipenseridae"
"эскәмия","acipenserine"
"эт","acipenseroid"
"этешү","Acipenseroidei"
"этәргеч","acyrology"
"этәрә","acyrological"
"этик","Acis"
"эффект","acystia"
"эффектив","acitate"
"эх","acity"
"эчек","aciurgy"
"эчендә","ACK"
"эчке","ack-ack"
"эчкәннәр","ackee"
"эчтәге","ackees"
"эчтәлеге","ackey"
"эчү","ackeys"
"эш","Acker"
"эшемне","Ackerley"
"эшкәртү","Ackerly"
"эшкәртүче","Ackerman"
"эшлә","Ackermanville"
"эшләпә","Ackley"
"эшләү","Ackler"
"эшли","ackman"
"эшмәкәре","ackmen"
"эшсезлек","acknew"
"эшче","acknow"
"эшчәнлек","acknowing"
"юбка","acknowledge"
"югалды","acknowledgeable"
"югалту","acknowledged"
"югары","acknowledgedly"
"югыйсә","acknowledgement"
"юк","acknowledgements"
"юклык","acknowledger"
"юл","acknowledgers"
"юлбарыс","acknowledges"
"юләр","acknowledging"
"юлцм","acknowledgment"
"юмор","acknowledgments"
"юнәлеш","acknowledgment's"
"юнәлү","acknown"
"юрган","ack-pirate"
"юридик","ackton"
"юридиклы","Ackworth"
"юрисдикция","ACL"
"юрист","aclastic"
"юу","acle"
"ябык","acleidian"
"яввял","acleistocardia"
"явызлык","acleistous"
"ягли","Aclemon"
"ягулык","aclydes"
"ягы","aclidian"
"ягымлы","aclinal"
"ягына","aclinic"
"яз","aclys"
"язарга","a-clock"
"язау","acloud"
"язма","ACLS"
"язмыш","ACLU"
"язу","ACM"
"язучы","Acmaea"
"язылган","Acmaeidae"
"язышу","acmaesthesia"
"яисә","acmatic"
"як","acme"
"як-","acmes"
"яка","acmesthesia"
"яки","acmic"
"яклаучы","Acmispon"
"яклаучылар","acmite"
"якорь","Acmon"
"яктан","acne"
"якты","acned"
"яктылык","acneform"
"яктырту","acneiform"
"якшәмбе","acnemia"
"якын","acnes"
"якында","Acnida"
"якынлашу","acnodal"
"якынча","acnode"
"ял","acnodes"
"ялагядар","ACO"
"ялангач","acoasm"
"ялвар","acoasma"
"ялган","a-coast"
"ялганчы","Acocanthera"
"ялгыз","acocantherin"
"ялгыш","acock"
"ялкау","acockbill"
"ялкын","a-cock-bill"
"ялкынлы","a-cock-horse"
"яллаучы","acocotl"
"ялтырау","Acoela"
"ямау","Acoelomata"
"ямьсез","acoelomate"
"яны","acoelomatous"
"янында","Acoelomi"
"янып","acoelomous"
"яңа","acoelous"
"яңак","Acoemetae"
"Яңалыклар","Acoemeti"
"яңарту","Acoemetic"
"яңгыр","acoenaesthesia"
"яһүди","ACOF"
"яп-якты","acoin"
"яр","acoine"
"яра","Acol"
"Ярар","Acolapissa"
"яраткан","acold"
"ярдәм","Acolhua"
"ярдәмлекләр","Acolhuan"
"ярдәмче","acolyctine"
"ярдәмчел","acolyte"
"ярдәмчесе","acolytes"
"ярәшу","acolyth"
"ярканат","acolythate"
"ярлы","acolytus"
"ярлык","acology"
"ярлылык","acologic"
"ярминкә","acolous"
"ярсу","acoluthic"
"ярты","Acoma"
"ярык","acomia"
"ясалма","acomous"
"ясарга","a-compass"
"ясаучы","aconative"
"яссы","Aconcagua"
"ясыйсыз","acondylose"
"ята","acondylous"
"яфрак","acone"
"яхшы","aconelline"
"яхшылык","aconic"
"яхшырак","aconin"
"яхшырткан","aconine"
"яхшырту","aconital"
"яшел","aconite"
"яшелчә","aconites"
"яшен","aconitia"
"яшер","aconitic"
"яшерен","aconitin"
"яшә","aconitine"
"яшәү","Aconitum"
"яшүсмер","aconitums"
"яшь","acontia"
"яшьлек","Acontias"
"яшьтәшләр","acontium"
