"Bulgarian","English"
"щракнете","Acherontical"
"сняг","aches"
"така","Acheson"
"така","achesoun"
"футбол","achete"
"социални","Achetidae"
"обществото","Acheulean"
"мека","Acheulian"
"софтуер","acheweed"
"почва","achy"
"слънчева","achier"
"войник","achiest"
"твърд","achievability"
"решение","achievable"
"решавам","achieve"
"някои","achieved"
"някой","achievement"
"някак","achievements"
"някой","achievement's"
"нещо","achiever"
"понякога","achievers"
"до","achieves"
"някъде","achieving"
"син","ach-y-fi"
"песен","achigan"
"скоро","achilary"
"сложен","achylia"
"съжалявам","Achill"
"вид","Achille"
"душа","Achillea"
"звук","Achillean"
"супа","achilleas"
"източник","Achilleid"
"юг","achillein"
"южна","achilleine"
"съветски","Achilles"
"пространство","Achillize"
"испански","achillobursitis"
"говори","achillodynia"
"говорител","achilous"
"специален","achylous"
"специалист","Achimaas"
"видове","achime"
"специфични","Achimelech"
"конкретно","Achimenes"
"реч","achymia"
"скорост","achymous"
"заклинание","Achinese"
"харча","achiness"
"харчене","achinesses"
"въртене","aching"
"дух","achingly"
"духовен","achiote"
"разделяне","achiotes"
"говори","achira"
"говорител","Achyranthes"
"спорт","achirite"
"място","Achyrodes"
"разпространение","Achish"
"пролетта","Achitophel"
"квадрат","achkan"
"стиснете","achlamydate"
"стабилност","Achlamydeae"
"стабилен","achlamydeous"
"персонал","achlorhydria"
"сцена","achlorhydric"
"стълбище","achlorophyllous"
"кол","achloropsia"
"стойка","achluophobia"
"стандартен","Achmed"
"стоящ","Achmetha"
"звезда","achoke"
"взират","acholia"
"започнете","acholias"
"състояние","acholic"
"изявление","Acholoe"
"станция","acholous"
"статистика","acholuria"
"състояние","acholuric"
"престой","Achomawi"
"вместо","achondrite"
"стабилен","achondritic"
"крадат","achondroplasia"
"пара","achondroplastic"
"стомана","achoo"
"стъпка","achor"
"пръчка","achordal"
"все","Achordata"
"разбъркайте","achordate"
"наличност","Achorion"
"стомах","Achorn"
"камък","Achras"
"стоеше","achree"
"Спри","achroacyte"
"съхранение","Achroanthes"
"магазин","achrodextrin"
"буря","achrodextrinase"
"история","achroglobin"
"прав","achroiocythaemia"
"странно","achroiocythemia"
"непознат","achroite"
"стратегически","achroma"
"стратегия","achromacyte"
"поток","achromasia"
"улица","achromat"
"сила","achromat-"
"укрепвам","achromate"
"стрес","Achromatiaceae"
"опъвам","achromatic"
"стачка","achromatically"
"низ","achromaticity"
"Лента","achromatin"
"удар","achromatinic"
"силен","achromatisation"
"силно","achromatise"
"структура","achromatised"
"борба","achromatising"
"студент","achromatism"
"студио","Achromatium"
"проучване","achromatizable"
"неща","achromatization"
"глупав","achromatize"
"стил","achromatized"
"предмет","achromatizing"
"Изпращане","achromatocyte"
"последващи","achromatolysis"
"вещество","achromatope"
"съществена","achromatophil"
"изваждам","achromatophile"
"успявам","achromatophilia"
"успех","achromatophilic"
"успешен","achromatopia"
"успешно","achromatopsy"
"такъв","achromatopsia"
"внезапен","achromatosis"
"внезапно","achromatous"
"съдя","achromats"
"страдат","achromaturia"
"достатъчно","achromia"
"наставка","achromic"
"захар","Achromycin"
"предлагам","Achromobacter"
"внушение","Achromobacterieae"
"самоубийство","achromoderma"
"костюм","achromophilous"
"лято","achromotrichia"
"връх","achromous"
"слънце","achronical"
"супер","achronychous"
"доставка","achronism"
"поддържа","achroo-"
"поддръжник","achroodextrin"
"предположим","achroodextrinase"
"предполагаем","achroous"
"Върховен","achropsia"
"сигурен","Achsah"
"със","achtehalber"
"повърхност","achtel"
"хирургия","achtelthaler"
"изненада","achter"
"изненадан","achterveld"
"изненадващо","Achuas"
"изненадващо","achuete"
"обграждам","acy"
"изследване","acyanoblepsia"
"оцеляване","acyanopsia"
"оцелее","acichlorid"
"оцелял","acichloride"
"заподозрян","acyclic"
"поддържам","acyclically"
"Закълни","acicula"
"помете","aciculae"
"сладка","acicular"
"плувам","acicularity"
"люлка","acicularly"
"превключвател","aciculas"
"сричка","aciculate"
"символ","aciculated"
"симптом","aciculum"
"система","aciculums"
"маса","acid"
"супена","acidaemia"
"тактика","Acidalium"
"опашка","Acidanthera"
"предприеме","Acidaspis"
"приказка","acid-binding"
"талант","acidemia"
"говоря","acidemias"
"висок","acider"
"резервоар","acid-fast"
"докоснете","acid-fastness"
"лента","acid-forming"
"цел","acidhead"
"задача","acid-head"
"вкус","acidheads"
"данък","acidy"
"данъкоплатец","acidic"
"чай","acidiferous"
"преподавам","acidify"
"учител","acidifiable"
"преподаване","acidifiant"
"екип","acidific"
"късам","acidification"
"чаена","acidified"
"технически","acidifier"
"техника","acidifiers"
"технология","acidifies"
"тийнейджър","acidifying"
"тийнейджър","acidyl"
"зъби","acidimeter"
"телефон","acidimetry"
"телескоп","acidimetric"
"телевизия","acidimetrical"
"казвам","acidimetrically"
"температура","acidite"
"временен","acidity"
"десет","acidities"
"склонен","acidize"
"тенденция","acidized"
"тенис","acidizing"
"напрежение","acidly"
"палатка","acidness"
"срок","acidnesses"
"условия","acidogenic"
"ужасно","acidoid"
"територия","acidolysis"
"терор","acidology"
"тероризъм","acidometer"
"терорист","acidometry"
"тест","acidophil"
"свидетелствам","acidophile"
"свидетелство","acidophilic"
"тестване","acidophilous"
"текст","acidophilus"
"отколкото","acidoproteolytic"
"благодаря","acidoses"
"Благодаря","acidosis"
"че","acidosteophyte"
"на","acidotic"
"театър","acidproof"
"техен","acids"
"тях","acid-treat"
"тема","acidulant"
"себе","acidulate"
"тогава","acidulated"
"теория","acidulates"
"терапия","acidulating"
"там","acidulation"
"Следователно","acidulent"
"тези","acidulous"
"те","acidulously"
"дебел","acidulousness"
"тънък","aciduria"
"нещо","acidurias"
"мисля","aciduric"
"мислене","Acie"
"трети","acier"
"тридесет","acierage"
"това","Acieral"
"тези","acierate"
"все","acierated"
"мисъл","acierates"
"хиляди","acierating"
"заплаха","acieration"
"заплашвам","acies"
"три","acyesis"
"гърлото","acyetic"
"през","aciform"
"навсякъде","acyl"
"хвърлям","acylal"
"поради","acylamido"
"билет","acylamidobenzene"
"връзвам","acylamino"
"стегнат","acylase"
"време","acylate"
"мъничък","acylated"
"бакшиш","acylates"
"автомобилна","acylating"
"изморен","acylation"
"тъкан","aciliate"
"заглавие","aciliated"
"да","Acilius"
"тютюн","acylogen"
"днес","acyloin"
"пръст","acyloins"
"заедно","acyloxy"
"казал","acyloxymethane"
"домат","acyls"
"утре","Acima"
"тон","acinaceous"
"език","acinaces"
"тази","acinacifoliate"
"също","acinacifolious"
"взеха","acinaciform"
"инструмент","acinacious"
"зъб","acinacity"
"Горна","acinar"
"тема","acinary"
"хвърлям","acinarious"
"обща","Acineta"
"напълно","Acinetae"
"докосване","acinetan"
"твърд","Acinetaria"
"обиколка","acinetarian"
"турист","acinetic"
"турнир","acinetiform"
"към","Acinetina"
"към","acinetinan"
"кула","acing"
"град","acini"
"играчка","acinic"
"проследяване","aciniform"
"писта","acinose"
"търговия","acinotubular"
"традиция","acinous"
"традиционен","acinuni"
"трафик","acinus"
"трагедия","acious"
"пътека","Acipenser"
"влак","Acipenseres"
"обучение","acipenserid"
"прехвърляне","Acipenseridae"
"трансформирайте","acipenserine"
"трансформация","acipenseroid"
"преход","Acipenseroidei"
"превеждам","acyrology"
"транспортиране","acyrological"
"пътуване","Acis"
"лекувам","acystia"
"лечение","acitate"
"договор","acity"
"дърво","aciurgy"
"огромен","ACK"
"тенденция","ack-ack"
"пробен","ackee"
"триъгълник","ackees"
"племе","ackey"
"трик","ackeys"
"пътуване","Acker"
"отряд","Ackerley"
"неприятности","Ackerly"
"камион","Ackerman"
"наистина","Ackermanville"
"Доверие","Ackley"
"истина","Ackler"
"опитвам","ackman"
"тръба","ackmen"
"тунел","acknew"
"завъртете","acknow"
"телевизор","acknowing"
"дванадесет","acknowledge"
"двайсет","acknowledgeable"
"два","acknowledged"
"близнак","acknowledgedly"
"две","acknowledgement"
"Тип","acknowledgements"
"типичен","acknowledger"
"обикновено","acknowledgers"
"грозно","acknowledges"
"краен","acknowledging"
"в","acknowledgment"
"не","acknowledgments"
"чичо","acknowledgment's"
"под","acknown"
"подложи","ack-pirate"
"разбирам","ackton"
"разбиране","Ackworth"
"за","ACL"
"униформа","aclastic"
"съюз","acle"
"единствен","acleidian"
"мерна","acleistocardia"
"Юнайтед","acleistous"
"универсален","Aclemon"
"Вселената","aclydes"
"университет","aclidian"
"неизвестен","aclinal"
"освен","aclinic"
"за","aclys"
"малко","a-clock"
"до","acloud"
"необичайно","ACLS"
"нагоре","ACLU"
"върху","ACM"
"горен","Acmaea"
"градски","Acmaeidae"
"порив","acmaesthesia"
"нас","acmatic"
"използвайте","acme"
"използван","acmes"
"полезен","acmesthesia"
"потребител","acmic"
"обичайно","Acmispon"
"обикновено","acmite"
"полезност","Acmon"
"ваканция","acne"
"долина","acned"
"ценен","acneform"
"стойност","acneiform"
"променлив","acnemia"
"вариация","acnes"
"разнообразие","Acnida"
"различни","acnodal"
"варират","acnode"
"необятна","acnodes"
"зеленчукови","ACO"
"превозно","acoasm"
"венчър","acoasma"
"глагол","a-coast"
"версия","Acocanthera"
"срещу","acocantherin"
"много","acock"
"съд","acockbill"
"ветеран","a-cock-bill"
"чрез","a-cock-horse"
"жертва","acocotl"
"победа","Acoela"
"видео","Acoelomata"
"изглед","acoelomate"
"зрител","acoelomatous"
"село","Acoelomi"
"нарушават","acoelomous"
"нарушение","acoelous"
"насилие","Acoemetae"
"насилствен","Acoemeti"
"виртуално","Acoemetic"
"добродетел","acoenaesthesia"
"вирус","ACOF"
"видими","acoin"
"визия","acoine"
"посещение","Acol"
"посетител","Acolapissa"
"визуално","acold"
"жизненоважен","Acolhua"
"глас","Acolhuan"
"сила","acolyctine"
"доброволец","acolyte"
"гласувайте","acolytes"
"избирател","acolyth"
"гласна","acolythate"
"срещу","acolytus"
"уязвими","acology"
"заплата","acologic"
"изчакайте","acolous"
"събуждам","acoluthic"
"разходка","Acoma"
"стена","acomia"
"скитат","acomous"
"искам","a-compass"
"война","aconative"
"топло","Aconcagua"
"предупреди","acondylose"
"внимание","acondylous"
"беше","acone"
"мия","aconelline"
"отпадъци","aconic"
"гледам","aconin"
"вода","aconine"
"вълна","aconital"
"начин","aconite"
"ние","aconites"
"слаб","aconitia"
"богатство","aconitic"
"богат","aconitin"
"оръжие","aconitine"
"износване","Aconitum"
"метеорологично","aconitums"
"сватба","acontia"
"седмица","Acontias"
"уикенд","acontium"
"седмично","Acontius"
"претегля","aconuresis"
"тегло","acool"
"добре","acop"
"благосъстояние","acopic"
"добре","acopyrin"
"отиде","acopyrine"
"бяха","acopon"
"запад","acor"
"уестърн","acorea"
"мокро","acoria"
"Какво","acorn"
"както","acorned"
"колело","acorns"
"кога","acorn's"
"когато","acorn-shell"
"където","Acorus"
"като","acosmic"
"дали","acosmism"
"който","acosmist"
"докато","acosmistic"
"шепнеш","acost"
"бял","Acosta"
"Кой","acotyledon"
"цял","acotyledonous"
"на","acouasm"
"чиито","acouchi"
"защо","acouchy"
"широк","acoumeter"
"широко","acoumetry"
"широко","acounter"
"съпруга","acouometer"
"див","acouophonia"
"ще","acoup"
"желаещи","acoupa"
"печеля","acoupe"
"вятър","acousma"
"прозорец","acousmas"
"вино","acousmata"
"крило","acousmatic"
"победител","acoustic"
"зимата","acoustical"
"избършете","acoustically"
"тел","acoustician"
"мъдрост","acoustico-"
"мъдър","acousticolateral"
"желание","Acousticon"
"с","acousticophobia"
"оттегли","acoustics"
"в","acoustoelectric"
"без","ACP"
"свидетел","acpt"
"жена","acpt."
"Жени","Acquah"
"няма","acquaint"
"чудя","acquaintance"
"чудесен","acquaintances"
"дърво","acquaintance's"
"дървени","acquaintanceship"
"дума","acquaintanceships"
"работа","acquaintancy"
"работник","acquaintant"
"работещ","acquainted"
"върши","acquaintedness"
"работилница","acquainting"
"света","acquaints"
"притеснен","Acquaviva"
"тревожи","acquent"
"заслужава","acquereur"
"би","acquest"
"рана","acquests"
"обвивам","acquiesce"
"пишете","acquiesced"
"писател","acquiescement"
"писане","acquiescence"
"написано","acquiescences"
"погрешно","acquiescency"
"написа","acquiescent"
"Двор","acquiescently"
"да","acquiescer"
"година","acquiesces"
"крещи","acquiescing"
"жълто","acquiescingly"
"да","acquiesence"
"вчера","acquiet"
"още","acquirability"
"добив","acquirable"
"Вие","acquire"
"млад","acquired"
"Вашият","acquirement"
"твоя","acquirements"
"себе","acquirenda"
"младост","acquirer"
"зона","acquirers"
"зоология","acquires"
"зоологическа","acquiring"
"зомби","acquisible"
"мащабиране","acquisita"
