"Myanmar","English"
"ပျမ်းမျှ","Acanthodei"
"ပျား","Acanthodes"
"ပျားရည်","acanthodian"
"ပျိုးပင်","Acanthodidae"
"ပျော့ပျောင်း","Acanthodii"
"ပျောက်","Acanthodini"
"ပျောက်ကင်းသည်။","acanthoid"
"ပျောက်ဆုံး","Acantholimon"
"ပျော်စရာ","acantholysis"
"ပျော်တယ်။","acanthology"
"ပျော်ပျော်ပါးပါး","acanthological"
"ပျော်ရွှင်စွာ","acanthoma"
"ပျော်ရွှင်ပါစေ။","acanthomas"
"ပျော်ရွှင်မှု","Acanthomeridae"
"ပရမ်းပတာ","acanthon"
"ပရဟိတ","Acanthopanax"
"ပရိဘောဂ","Acanthophis"
"ပရိသတ်","acanthophorous"
"ပရိုဂရမ်ရေးခြင်း။","acanthopod"
"ပရိုဆက်ဆာ","acanthopodous"
"ပရိုတင်း","acanthopomatous"
"ပရိုတိုကော","acanthopore"
"ပရိုမိုးရှင်း","acanthopteran"
"ပရီမီယံ","Acanthopteri"
"ပရောဖက်","acanthopterygian"
"ပရော်ဖက်ရှင်နယ်","Acanthopterygii"
"ပြက္ခဒိန်","acanthopterous"
"ပြခန်း","acanthoses"
"ပြင်းထန်မှု","acanthosis"
"ပြင်းထန်သည်။","acanthotic"
"ပြင်းထန်သော","acanthous"
"ပြင်းပြင်းထန်ထန်","Acanthuridae"
"ပြင်ဆင်ချက်","Acanthurus"
"ပြင်ဆင်ပါ။","acanthus"
"ပြင်ဆင်မှု","acanthuses"
"ပြင်ပ","acanthuthi"
"ပြင်သစ်","acapnia"
"ပြစ်ဒဏ်","acapnial"
"ပြစ်ဒဏ်ချမှတ်သည်။","acapnias"
"ပြစ်မှု","acappella"
"ပြစ်မှုကျူးလွန်သူ","acapsular"
"ပြဇာတ်ရုံ","acapu"
"ပြည်တွင်း","Acapulco"
"ပြည်ထောင်စု","acara"
"ပြည်နယ်","Acarapis"
"ပြဋ္ဌာန်း","acarari"
"ပြဋ္ဌာန်းသည်။","acardia"
"ပြတင်းပေါက်","acardiac"
"ပြတိုက်","acardite"
"ပြတ်လပ်မှု","acari"
"ပြတ်သားမှု","acarian"
"ပြတ်သားသည်။","acariasis"
"ပြန်ကောင်း","acariatre"
"ပြန်ခေါ်","acaricidal"
"ပြန်စသည်","acaricide"
"ပြန်လည်","acarid"
"ပြန်လည်တည်ဆောက်ပါ။","Acarida"
"ပြန်လည်ထူထောင်ရေး","acaridae"
"ပြန်လည်ရယူပါ။","acaridan"
"ပြန်လည်ရွေးကောက်","acaridans"
"ပြန်လာ","Acaridea"
"ပြပွဲ","acaridean"
"ပြသခြင်း။","acaridomatia"
"ပြဿနာ","acaridomatium"
"ပြာ","acarids"
"ပြားချပ်","acariform"
"ပြိုကျ","Acarina"
"ပြိုင်ပွဲ","acarine"
"ပြိုင်ဘက်","acarines"
"ပြီးစီးရမည့်နောက်ဆုံးအချိန်","acarinosis"
"ပြီးနောက်","Acarnan"
"ပြီးပြည့်စုံသော","acarocecidia"
"ပြီးပြီ။","acarocecidium"
"ပြီးပါပြီ။","acarodermatitis"
"ပြီးမြောက်","acaroid"
"ပြီးအောင်","acarol"
"ပြုံးပါ။","acarology"
"ပြုစုသူ","acarologist"
"ပြုတ်","acarophilous"
"ပြုပြင်ခြင်း။","acarophobia"
"ပြုပြင်ထိန်းသိမ်းမှု","acarotoxic"
"ပြုပြင်ပြောင်းလဲရေး","acarpellous"
"ပြုမူ","acarpelous"
"ပြုမူပါ။","acarpous"
"ပြေး","Acarus"
"ပြေးခုန်ပစ်","ACAS"
"ပြေးသည်။","acast"
"ပြေတယ်။","Acastus"
"ပြေလည်မှု","acatalectic"
"ပြော","acatalepsy"
"ပြောင်း","acatalepsia"
"ပြောင်းပြန်","acataleptic"
"ပြောင်းဖူး","acatallactic"
"ပြောင်းလွယ်ပြင်လွယ်","acatamathesia"
"ပြောင်းလဲခြင်း။","acataphasia"
"ပြောင်းလဲနိုင်သော","acataposis"
"ပြောင်းလဲပါ။","acatastasia"
"ပြောင်းလဲမှု","acatastatic"
"ပြောပြပါ။","acate"
"ပြောမယ်ဆိုရင်","acategorical"
"ပြောရမှာပါ။","acater"
"ပြောရေးဆိုခွင့်ရှိသူ","acatery"
"ပလက်ဖောင်း","acates"
"ပလပ်စတစ်","acatharsy"
"ပလ္လင်","acatharsia"
"ပွင့်ပွင့်လင်းလင်း","acatholic"
"ပွတ်ပေးပါ။","acaudal"
"ပွဲ","acaudate"
"ပွဲစဉ်","acaudelescent"
"ပွဲတော်","acaulescence"
"ပွဲဦးထွက်","acaulescent"
"ပဟေဠိ","acauline"
"ပါ့","acaulose"
"ပါး","acaulous"
"ပါးစပ်","ACAWS"
"ပါးစပ်နှင့်ဆိုင်သော","ACB"
"ပါးပါး","ACBL"
"ပါးရိုက်","ACC"
"ပါတီ","acc."
"ပါမောက္ခ","acca"
"ပါရမီ","accable"
"ပါလက်စတိုင်း","Accad"
"ပါလိမ့်မယ်။","accademia"
"ပါဝင်ကူညီ","Accadian"
"ပါဝင်တယ်။","Accalia"
"ပါဝင်ပစ္စည်း","acce"
"ပါဝင်ပတ်သက်မှု","accede"
"ပါဝင်ပါ။","acceded"
"ပါဝင်ပါတယ်။","accedence"
"ပါဝင်မှု","acceder"
"ပါဝင်သည်။","acceders"
"ပါဝင်သူ","accedes"
"ပါဝါ","acceding"
"ပိတ်ဆို့မှု","accel"
"ပိတ်ပင်ထားမှု","accel."
"ပိတ်ပါ။","accelerable"
"ပိတ်ရက်","accelerando"
"ပိတ်သိမ်း","accelerant"
"ပိန်တယ်။","accelerate"
"ပို့စ်","accelerated"
"ပို့ဆောင်","acceleratedly"
"ပို့ပါ။","accelerates"
"ပိုးကောင်","accelerating"
"ပိုးထည်","acceleratingly"
"ပိုးမွှား","acceleration"
"ပိုကြိုက်တယ်။","accelerations"
"ပိုကောင်းပါတယ်။","accelerative"
"ပိုက်","accelerator"
"ပိုက်ကွန်","acceleratory"
"ပိုက်ဆံ","accelerators"
"ပိုက်ဆံအိတ်","accelerograph"
"ပိုက်လိုင်း","accelerometer"
"ပိုင်ဆိုင်မှု","accelerometers"
"ပိုင်ရှင်","accelerometer's"
"ပိုင်သည်။","accend"
"ပိုဒ်","accendibility"
"ပိုနည်း","accendible"
"ပိုများလာသည်။","accensed"
"ပီစီ","accension"
"ပီဇာ","accensor"
"ပုံ","accent"
"ပုံး","accented"
"ပုံစံ","accenting"
"ပုံဆွဲ","accentless"
"ပုံဆောင်ခဲ","accentor"
"ပုံတူ","accentors"
"ပုံနှိပ်","accents"
"ပုံပြင်","accentuable"
"ပုံဖော်သည်။","accentual"
"ပုံမှန်","accentuality"
"ပုံမှန်မဟုတ်သော","accentually"
"ပုံမှန်အစည်းအဝေး","accentuate"
"ပုံသဏ္ဍာန်","accentuated"
"ပုံသေ","accentuates"
"ပုံဥပမာ","accentuating"
"ပုဂ္ဂိုလ်များ","accentuation"
"ပုဂ္ဂိုလ်ရေးအရ","accentuations"
"ပုန်း","accentuator"
"ပုပ်ရဟန်းမင်းကြီး","accentus"
"ပုလင်း","accept"
"ပူးတွဲ","acceptability"
"ပူးပေါင်းကြံစည်မှု","acceptabilities"
"ပူးပေါင်းဆောင်ရွက်ခြင်း","acceptable"
"ပူးပေါင်းဆောင်ရွက်ပါ။","acceptableness"
"ပူးပေါင်းဆောင်ရွက်မှု","acceptably"
"ပူးပေါင်းပါ။","acceptance"
"ပူဇော်သက္ကာ","acceptances"
"ပူတယ်။","acceptance's"
"ပူနွေးခြင်း။","acceptancy"
"ပူပင်သောက","acceptancies"
"ပူဖောင်း","acceptant"
"ပေး","acceptation"
"ပေးဆပ်ခြင်း","acceptavit"
"ပေးဆောင်","accepted"
"ပေးထားသည်။","acceptedly"
"ပေးပါ။","acceptee"
"ပေးပို့ခြင်း။","acceptees"
"ပေးမယ်။","accepter"
"ပေးသည်","accepters"
"ပေါ့ပေါ့တန်တန်","acceptilate"
"ပေါ့ပေါ့ပါးပါး","acceptilated"
"ပေါ့ပ်","acceptilating"
"ပေါက်ကွဲ","acceptilation"
"ပေါက်ကွဲမှု","accepting"
"ပေါက်ဖော်","acceptingly"
"ပေါင်","acceptingness"
"ပေါင်းစည်းမှု","acception"
"ပေါင်းစပ်","acceptive"
"ပေါင်းစပ်ပါ။","acceptor"
"ပေါင်းပင်","acceptors"
"ပေါင်နှံခြင်း။","acceptor's"
"ပေါ်ထွက်လာ","acceptress"
"ပေါ်လာ","accepts"
"ပေါ်သို့","accerse"
"ပဲ","accersition"
"ပဲ့တင်သံ","accersitor"
"ဖက်ဒရယ်","access"
"ဖက်ရှင်","accessability"
"ဖက်သည်","accessable"
"ဖတ်ပါ။","accessary"
"ဖနောင့်","accessaries"
"ဖန်","accessarily"
"ဖန်စီ","accessariness"
"ဖန်တီးပါ။","accessaryship"
"ဖန်တီးမှု","accessed"
"ဖန်တီးသူ","accesses"
"ဖမ်း","accessibility"
"ဖမ်းဆီးခြင်း","accessibilities"
"ဖယောင်းတိုင်","accessible"
"ဖယ်","accessibleness"
"ဖယ်ထုတ်ပါ။","accessibly"
"ဖယ်ရှားပစ်ပါ။","accessing"
"ဖယ်ရှားပါ။","accession"
"ဖယ်ရှားရေး","accessional"
"ဖျက်ဆီး","accessioned"
"ဖျက်ပါ။","accessioner"
"ဖျော်ဖြေပွဲ","accessioning"
"ဖျော်ဖြေရေး","accessions"
"ဖျော်ဖြေသူ","accession's"
"ဖျော်ရည်","accessit"
"ဖရိုဖရဲ","accessive"
"ဖြစ်","accessively"
"ဖြစ်ကောင်း","accessless"
"ဖြစ်ခြင်း။","accessor"
"ဖြစ်ထွန်းသည်။","accessory"
"ဖြစ်နိုင်ချေ","accessorial"
"ဖြစ်နိုင်ခြေ","accessories"
"ဖြစ်နိုင်စရာ","accessorii"
"ဖြစ်နိုင်တယ်။","accessorily"
"ဖြစ်နိုင်ပါတယ်။","accessoriness"
"ဖြစ်နိုင်သည်။","accessory's"
"ဖြစ်ပျက်","accessorius"
"ဖြစ်ပေါ်လာသည်။","accessoriusorii"
"ဖြစ်ဖြစ်၊","accessorize"
"ဖြစ်ရပ်ဆန်း","accessorized"
"ဖြစ်ရသည်။","accessorizing"
"ဖြစ်လာသည်","accessors"
"ဖြည့်စွက်","accessor's"
"ဖြည်","acciaccatura"
"ဖြည်းဖြည်းချင်း","acciaccaturas"
"ဖြတ်","acciaccature"
"ဖြတ်တယ်။","accidence"
"ဖြတ်ပြီး","accidency"
"ဖြန့်ကျက်","accidencies"
"ဖြန့်ကြဲ","accident"
"ဖြန့်ဖြူးခြင်း။","accidental"
"ဖြန့်ဝေ","accidentalism"
"ဖြားယောင်းသွေးဆောင်","accidentalist"
"ဖြီး","accidentality"
"ဖြုန်း","accidentally"
"ဖြေ","accidentalness"
"ဖြေဆိုသူ","accidentals"
"ဖြေရှင်းချက်","accidentary"
"ဖြေရှင်းပါ။","accidentarily"
"ဖြေရှင်းသည်","accidented"
"ဖြဲ","accidential"
"ဖွံ့ဖြိုးဆဲ","accidentiality"
"ဖွံ့ဖြိုးတိုးတက်","accidently"
"ဖွံ့ဖြိုးတိုးတက်မှု","accident-prone"
"ဖွင့်ပါ။","accidents"
"ဖွင့်သည်။","accidia"
"ဖွတ်","accidias"
"ဖွေးဖွေး","accidie"
"ဖွဲ့စည်းပုံ","accidies"
"ဖွဲ့စည်းမှု","accinge"
"ဖွဲ့စည်းသည်။","accinged"
"ဖာထေးခြင်း။","accinging"
"ဖိတ်ကြားချက်","accipenser"
"ဖိတ်ခေါ်ပါတယ်။","accipient"
"ဖိတ်သည်။","Accipiter"
"ဖိနပ်","accipitral"
"ဖိနပ်အောက်ခံအသား","accipitrary"
"ဖိအား","Accipitres"
"ဖိုက်ဘာ","accipitrine"
"ဖိုင်","accipter"
"ဖိုရမ်","accise"
"ဖုတ်","accismus"
"ဖုန်း","accite"
"ဖုန်းခေါ်ဆိုသူ","Accius"
"ဖုန်မှုန့်","acclaim"
"ဖေဖေ","acclaimable"
"ဖေဖော်ဝါရီ","acclaimed"
"ဖောက်သည်","acclaimer"
"ဖော်ကျူး","acclaimers"
"ဖော်ထုတ်ပါ။","acclaiming"
"ဖော်ပြချက်","acclaims"
"ဖော်ပြခြင်း။","acclamation"
"ဖော်ပြပါ။","acclamations"
"ဖော်မြူလာ","acclamator"
"ဖော်ရွေသော","acclamatory"
"ဗင်","acclimatable"
"ဗျာဒိတ်တော်","acclimatation"
"ဗျူရို","acclimate"
"ဗျူဟာ","acclimated"
"ဗလာ","acclimatement"
"ဗဟို","acclimates"
"ဗားရှင်း","acclimating"
"ဗိမာန်တော်","acclimation"
"ဗိသုကာပညာ","acclimations"
"ဗိသုကာပညာရှင်","acclimatisable"
"ဗိုက်","acclimatisation"
"ဗိုက်ဆာတယ်။","acclimatise"
"ဗိုင်းရပ်စ်","acclimatised"
"ဗိုလ်မှူးကြီး","acclimatiser"
"ဗီဇ","acclimatising"
"ဗီတာမင်","acclimatizable"
"ဗီဒီယို","acclimatization"
"ဗီဒီယိုဖိုင်","acclimatizations"
"ဗီရို","acclimatize"
"ဗုံ","acclimatized"
"ဗုံး","acclimatizer"
"ဗုံးကြဲခြင်း။","acclimatizes"
"ဗုဒ္ဓဟူးနေ့","acclimatizing"
"ဘက်တီးရီးယား","acclimature"
"ဘက်ထရီ","acclinal"
"ဘက်လိုက်မှု","acclinate"
"ဘဏ္ဍာတိုက်","acclivity"
"ဘဏ္ဍာရေး","acclivities"
"ဘဏ်","acclivitous"
"ဘဏ်လုပ်ငန်း","acclivous"
"ဘဏ်လုပ်ငန်းရှင်","accloy"
"ဘတ်ဂျက်","accoast"
"ဘတ်စကက်ဘော","accoy"
"ဘတ်စ်ကား","accoyed"
"ဘဘ","accoying"
"ဘယ်တော့မှ","accoil"
"ဘယ်တော့လဲ","Accokeek"
"ဘယ်နေရာမဆို","accolade"
"ဘယ်နေရာမှာမှ","accoladed"
"ဘယ်မှာလဲ။","accolades"
"ဘယ်လိုလဲ","accolated"
"ဘယ်သွားသွား","accolent"
"ဘယ်သူ့ကိုမှ","accoll"
"ဘယ်သူပဲဖြစ်ဖြစ်","accolle"
"ဘယ်သူမဆို","accolled"
"ဘယ်သူမှ","accollee"
"ဘယ်သူလဲ။","Accomac"
"ဘယ်ဟာ","accombination"
"ဘရောက်ဆာ","accommodable"
"ဘလော့ဂ်","accommodableness"
"ဘလောက်","accommodate"
"ဘဝ","accommodated"
"ဘွဲ့","accommodately"
"ဘွဲ့ရ","accommodateness"
"ဘွဲ့ရသည်","accommodates"
"ဘား","accommodating"
"ဘာဂါ","accommodatingly"
"ဘာပဲဖြစ်ဖြစ်","accommodatingness"
"ဘာဖြစ်ဖြစ်","accommodation"
"ဘာဖြစ်လို့လဲဆိုတော့","accommodational"
"ဘာမဆို","accommodationist"
"ဘာမှ","accommodations"
"ဘာလဲ","accommodative"
"ဘာသာစကား","accommodatively"
"ဘာသာတရား","accommodativeness"
"ဘာသာပြန်","accommodator"
"ဘာသာပြန်ပါ။","accommodators"
"ဘာသာရပ်","accomodate"
"ဘာသာရေး","accompanable"
"ဘိုးတော်","accompany"
"ဘိုးဘေး","accompanied"
"ဘီး","accompanier"
"ဘီယာ","accompanies"
"ဘီလီယံ","accompanying"
"ဘီလူး","accompanyist"
"ဘုံ","accompaniment"
"ဘုတ်အဖွဲ့","accompanimental"
"ဘုန်း","accompaniments"
"ဘုန်းကြီး","accompaniment's"
"ဘုန်းတော်ကြီး","accompanist"
"ဘုန်းဘုန်း","accompanists"
"ဘုရင်","accompanist's"
"ဘုရား","accomplement"
"ဘုရားကျောင်း","accompletive"
"ဘုရားတရား","accompli"
"ဘုရားသခ","accomplice"
"ဘူတာရုံ","accomplices"
"ဘေ့စ်ဘော","accompliceship"
"ဘေးကင်းရေး","accomplicity"
"ဘေးကင်းသည်။","accomplis"
"ဘေးနား","accomplish"
"ဘေးဖယ်","accomplishable"
"ဘေးဘား","accomplished"
"ဘေးအန္တရာယ်","accomplisher"
"ဘေဘီ","accomplishers"
"ဘေလ်","accomplishes"
"ဘောဂဗေဒပညာရှင်","accomplishing"
"ဘောင်","accomplishment"
"ဘောင်း","accomplishments"
"ဘောင်းဘီ","accomplishment's"
"ဘောနပ်စ်","accomplisht"
"ဘောပင်","accompt"
"ဘောလုံး","accord"
"ဘဲ","accordable"
"မကြာခင်","accordance"
"မကြာခဏ","accordances"
"မကြာမီ","accordancy"
"မကြာသေးမီက","accordant"
"မကြိုက်","accordantly"
"မကြုံစဖူး","accordatura"
"မကောင်း","accordaturas"
"မကောင်းပါဘူး။","accordature"
"မကောင်းမှု","accorded"
"မက္ကဆီကန်","accorder"
"မက်လုံး","accorders"
"မဂ္ဂဇင်း","according"
"မင်းသမီး","accordingly"
"မင်းသား","accordion"
"မင်းအတွက်","accordionist"
"မင်္ဂလာဆောင်","accordionists"
"မစ်ရှင်","accordions"
"မည်သို့ပင်ဆိုစေ","accordion's"
"မည်သို့ပင်ဆိုစေကာမူ","accords"
"မတရားဘူး။","accorporate"
"မတူပါ။","accorporation"
"မတူဘူး။","accost"
"မတော်တဆ","accostable"
"မတ်စောက်သော","accosted"
"မတ်မတ်","accosting"
"မထင်မှတ်","accosts"
"မနက်ခင်း","accouche"
"မနက်စာ","accouchement"
"မနက်ဖြန်","accouchements"
"မနာလို","accoucheur"
"မနေ့က","accoucheurs"
"မန်နေဂျာ","accoucheuse"
"မပါဘဲ","accoucheuses"
"မဖြစ်နိုင်ပါ။","accounsel"
"မဖြစ်နိုင်ဘူး။","account"
"မမြင်","accountability"
"မမြင်နိုင်သော","accountabilities"
"မယား","accountable"
"မယုံနိုင်စရာ","accountableness"
"မယုံနိုင်လောက်အောင်","accountably"
"မျက်ခုံးမွေး","accountancy"
"မျက်စိကန်းသော","accountancies"
"မျက်နှာ","accountant"
"မျက်နှာကျက်","accountants"
"မျက်နှာပြင်","accountant's"
"မျက်နှာဖုံး","accountantship"
"မျက်နှာသာ","accounted"
"မျက်နှာသုတ်ပုဝါ","accounter"
"မျက်ရည်","accounters"
"မျက်လုံး","accounting"
"မျှတစွာ","accountings"
"မျှဝေပါ။","accountment"
"မျှဝေသည်။","accountrement"
"မျှသာ","accounts"
"မျှော","accouple"
"မျှော်စင်","accouplement"
"မျှော်မှန်းသည်။","accourage"
"မျှော်လင့်ချက်","accourt"
"မျှော်လင့်ပါတယ်။","accouter"
"မျှော်လင့်မထားသော","accoutered"
"မျှော်လင့်ထား","accoutering"
"မျှော်လင့်ထားသည့်","accouterment"
"များနေပြီ။","accouterments"
"များပြားလှသော","accouters"
"များပါတယ်။","accoutre"
"များသော","accoutred"
"များသောအားဖြင့်","accoutrement"
"မျိုးစိတ်","accoutrements"
"မျိုးစုံ","accoutres"
"မျိုးစေ့","accoutring"
"မျိုးဆက်","Accoville"
"မျိုးရိုး","ACCRA"
"မျောက်","accrease"
"မရပါ။","accredit"
"မရှိ","accreditable"
"မရှိခြင်း။","accreditate"
"မရှိမဖြစ်","accreditation"
"မရှိမဖြစ်လိုအပ်သည်။","accreditations"
"မရှိသလောက်","accredited"
"မရှိသေး","accreditee"
"မရှိအောင်၊","accrediting"
"မရှုမလှ","accreditment"
"မရေမတွက်နိုင်သော","accredits"
"မြက်","accrementitial"
"မြက်ခင်း","accrementition"
"မြင့်တက်","accresce"
"မြင့်မြတ်သော","accrescence"
"မြင့်မားသော","accrescendi"
"မြင်း","accrescendo"
"မြင်းစီးသူ","accrescent"
"မြင်ကွင်း","accretal"
"မြင်နိုင်သည်။","accrete"
"မြစ်","accreted"
"မြည်း","accretes"
"မြတ်နိုး","accreting"
"မြန်မြန်","accretion"
"မြန်သည်။","accretionary"
"မြွေ","accretions"
"မြှင့်","accretion's"
"မြှင့်တင်ပါ။","accretive"
"မြှင့်တင်ရန်","accriminate"
"မြှား","Accrington"
"မြို","accroach"
"မြို့","accroached"
"မြို့တော်","accroaching"
"မြို့တော်ဝန်","accroachment"
"မြို့ပြ","accroides"
"မြို့လယ်","accruable"
"မြေ","accrual"
"မြေကြီး","accruals"
"မြေဆီလွှာ","accrue"
"မြေပြင်","accrued"
"မြေပုံ","accruement"
"မြေပဲ","accruer"
"မြေအောက်ခန်း","accrues"
"မြောက်ပိုင်း","accruing"
"မြောက်ဘက်","ACCS"
"မြောက်မြားစွာ","ACCT"
"မြောင်း","acct."
"မလွှဲမရှောင်သာ","accts"
"မွှေပေးပါ။","accubation"
"မွေး","accubita"
"မွေးကင်းစ","accubitum"
"မွေးစား","accubitus"
"မွေးစားခြင်း။","accueil"
"မွေးနေ့","accultural"
"မွေးမြူရေးခြံ","acculturate"
"မွေးရပ်မြေ","acculturated"
"မသက်ဆိုင်","acculturates"
"မသင့်လျော်သော","acculturating"
"မသည်","acculturation"
"မသန်စွမ်း","acculturational"
"မသန်စွမ်းမှု","acculturationist"
"မသိ","acculturative"
"မသိမသာ","acculturize"
"မသေချာ","acculturized"
"မသဲကွဲ","acculturizing"
"မဟာမိတ်","accum"
"မဟုတ်တော့ဘူး။","accumb"
"မဟုတ်ပါ","accumbency"
"မဟုတ်ပါ။","accumbent"
"မဟုတ်ဘူး","accumber"
"မဟုတ်ရင်","accumulable"
"မဟုတ်လျှင်","accumulate"
"မှတဆင့်","accumulated"
"မှတပါး","accumulates"
"မှတ်ချက်","accumulating"
"မှတ်ဉာဏ်","accumulation"
"မှတ်တမ်း","accumulations"
"မှတ်တမ်းတင်ခြင်း။","accumulativ"
"မှတ်တမ်းရုပ်ရှင်","accumulative"
"မှတ်ပုံတင်","accumulatively"
"မှတ်မှတ်ရရ","accumulativeness"
"မှန်တယ်","accumulator"
"မှန်တယ်။","accumulators"
"မှန်ပြောင်း","accumulator's"
"မှန်ပါတယ်။","accupy"
"မှန်ဘီလူး","accur"
"မှန်မှန်ကန်ကန်","accuracy"
"မှလွဲ","accuracies"
"မှာ","accurate"
"မှားတယ်။","accurately"
"မှားသော","accurateness"
"မှိန်","accuratenesses"
"မှီး","accurre"
"မှီခို","accurse"
"မှုတ်","accursed"
"မှောငျမိုကျသော","accursedly"
"မှော်","accursedness"
"မာန","accursing"
"မာရ်နတ်","accurst"
"မိတ်ကပ်","accurtation"
"မိတ်ဆက်","accus"
"မိန့်ခွန်း","accusable"
"မိနစ်","accusably"
"မိန်းကလေး","accusal"
"မိန်းမ","accusals"
"မိဖုရား","accusant"
"မိဘ","accusants"
"မိမိကိုယ်ကို","accusation"
"မိသားစု","accusations"
"မိုး","accusation's"
"မိုးကုပ်စက်ဝိုင်း","accusatival"
"မိုင်","accusative"
"မိုင်း","accusative-dative"
"မိုဘိုင်း","accusatively"
"မီ","accusativeness"
"မီး","accusatives"
"မီးခိုး","accusator"
"မီးခိုးရောင်","accusatory"
"မီးတောက်","accusatorial"
"မီးပွား","accusatorially"
"မီးပုံ","accusatrix"
"မီးပုံးပျံ","accusatrixes"
"မီးဖို","accuse"
"မီးဖိုချောင်","accused"
"မီးမောင်းထိုးပြ","accuser"
"မီးရှို့","accusers"
"မီးလောင်ရာ","accuses"
"မီးအိမ်","accusing"
"မီတာ","accusingly"
"မီဒီယာ","accusive"
"မီနူး","accusor"
"မီလီမီတာ","accustom"
"မုဆိုး","accustomation"
"မုတ်","accustomed"
"မုဒိမ်းမှု","accustomedly"
"မုဒ်","accustomedness"
"မုန့်","accustoming"
"မုန့်စိမ်း","accustomize"
"မုန့်ညက်","accustomized"
"မုန်းသည်။","accustomizing"
"မုန်တိုင်း","accustoms"
"မူး","Accutron"
"မူးယစ်ဆေးဝါး","ACD"
"မူဆလင်","ACDA"
"မူတည်","AC-DC"
"မူပိုင်ခွင့်","ACE"
"မူဘောင်","acea"
"မူရင်း","aceacenaphthene"
"မူလ","aceae"
"မူလတန်း","acean"
"မူဝါဒ","aceanthrene"
"မေ","aceanthrenequinone"
"မေ့","acecaffin"
"မေး","acecaffine"
"မေးခွန်း","aceconitic"
"မေးခွန်းလွှာ","aced"
"မေးစေ့","acedy"
"မေးရိုး","acedia"
"မေးလ်","acediamin"
"မေတ္တာပို့ပါ။","acediamine"
"မေမေ","acedias"
"မောက်","acediast"
"မောင်း","ace-high"
"မောင်းနှင်မှု","Acey"
"မောဟ","acey-deucy"
"မော်တော်","aceite"
"မော်ဒယ်","aceituna"
"မော်လီကျူး","Aceldama"
"မဲ","aceldamas"
"မဲဆန္ဒရှင်","acellular"
"မဲပေးခြင်း။","Acemetae"
"မဲပေးပါ။","Acemetic"
"ယခင်","acemila"
"ယခု","acenaphthene"
"ယင်း","acenaphthenyl"
"ယဇ်ပူဇော်ခြင်း။","acenaphthylene"
"ယဉ်ကျေးမှု","acenesthesia"
"ယဉ်ကျေးသော","acensuada"
"ယန္တရား","acensuador"
"ယှဉ်ပြိုင်","acentric"
"ယှဉ်ပြိုင်မှု","acentrous"
"ယာဉ်","aceology"
"ယာယီ","aceologic"
"ယိုစိမ့်ခြင်း။","aceous"
"ယုံကြည်","acephal"
"ယုံကြည်ကိုးစားမှု","Acephala"
"ယုံကြည်ချက်","acephalan"
"ယုံကြည်ခြင်း","Acephali"
"ယုံကြည်စိတ်ချရမှု","acephalia"
"ယုံကြည်မှု","Acephalina"
"ယုံကြည်ရာ","acephaline"
"ယုံကြည်သူ","acephalism"
"ယုတ္တိနည်း","acephalist"
"ယုတ္တိဗေဒ","Acephalite"
"ယုန်","acephalocyst"
"ယူ","acephalous"
"ယူဆ","acephalus"
"ယူဆချက်","acepots"
"ယူဆရသည်။","acequia"
"ယူဆသည်။","acequiador"
"ယူနစ်","acequias"
"ယူနီဖောင်း","Acer"
"ယူလာပါ။","Aceraceae"
"ယေဘုယျအားဖြင့်","aceraceous"
"ယောက်ျားလေး","Acerae"
"ရံဖန်ရံခါ","Acerata"
"ရက်ချိန်း","acerate"
"ရက်စက်","acerated"
"ရက်စွဲ","Acerates"
"ရက်ရက်စက်စက်","acerathere"
"ရင်းနှီးမြှုပ်နှံမှု","Aceratherium"
"ရင်းနှီးမြှုပ်နှံသူ","aceratosis"
"ရင်းနှီးမြုပ်နှံပါ။","acerb"
"ရင်းနှီးသည်။","Acerbas"
"ရင်းနှီးသော","acerbate"
"ရင်ခွင်","acerbated"
"ရင်ဆိုင်ပါ။","acerbates"
"ရင်ဘတ်","acerbating"
"ရင်သပ်ရှုမောဖွယ်","acerber"
"ရင်သား","acerbest"
"ရစ်သမ်","acerbic"
"ရည်းစား","acerbically"
"ရည်မှန်းချက်","acerbity"
"ရည်မှန်းချက်ကြီးသည်။","acerbityacerose"
"ရည်ရွယ်ချက်","acerbities"
"ရည်ရွယ်သည်။","acerbitude"
"ရတနာ","acerbly"
"ရထား","acerbophobia"
"ရထားလမ်း","acerdol"
"ရန်","aceric"
"ရန်ပုံငွေ","acerin"
"ရန်လိုသော","acerli"
"ရန်သူ","acerola"
"ရပ်","acerolas"
"ရပ်ကွက်ထဲ","acerose"
"ရပ်စဲ","acerous"
"ရပ်တည်ချက်","acerra"
"ရပ်နေသည်။","acers"
"ရပ်ပါ။","acertannin"
"ရမ်း","acerval"
"ရယူ","acervate"
"ရယူသည်။","acervately"
"ရယ်","acervatim"
"ရယ်စရာ","acervation"
"ရယ်စရာကောင်းတယ်။","acervative"
"ရယ်ပါ။","acervose"
"ရယ်မော","acervuli"
"ရယ်မောခြင်း။","acervuline"
"ရရှိနိုင်","acervulus"
"ရရှိနိုင်မှု","aces"
"ရရှိသည်","ace's"
"ရလဒ်","acescence"
"ရလား","acescency"
"ရလိမ့်မည်။","acescent"
"ရွက်လွှင့်","acescents"
"ရွှံ့","aceship"
"ရွှေ","Acesius"
"ရွှေ့","acesodyne"
"ရွှေ့ပြောင်းခြင်း။","acesodynous"
