"Estonian","English"
"plastist","acetylize"
"platvorm","acetylized"
"playoff","acetylizer"
"pliiats","acetylizing"
"pluss","acetylmethylcarbinol"
"pm","acetylperoxide"
"poeg","acetylphenylhydrazine"
"põgeneda","acetylphenol"
"põhikiri","acetylrosaniline"
"põhiline","acetyls"
"põhilised","acetylsalicylate"
"põhimõte","acetylsalicylic"
"põhimõtteliselt","acetylsalol"
"põhiseadus","acetyltannin"
"põhiseaduslik","acetylthymol"
"põhja","acetyltropeine"
"põhjalikult","acetylurea"
"põhjapoolne","acetimeter"
"põhjus","acetimetry"
"pöial","acetimetric"
"poiss","acetin"
"poiss-sõber","acetine"
"poleemika","acetins"
"põletada","acetite"
"põletamine","acetize"
"poliitik","acetla"
"poliitika","acetmethylanilide"
"poliitiline","acetnaphthalide"
"poliitiliselt","aceto-"
"põlisrahvad","acetoacetanilide"
"politsei","acetoacetate"
"politseinik","acetoacetic"
"põllumajandus","acetoamidophenol"
"põllumajanduslik","acetoarsenite"
"põllumees","Acetobacter"
"põlve","acetobenzoic"
"põlvkond","acetobromanilide"
"pomm","acetochloral"
"pommitamine","acetocinnamene"
"põnev","acetoin"
"põnevust","acetol"
"pood","acetolysis"
"poodi","acetolytic"
"pool","acetometer"
"poole","acetometry"
"poolitatud","acetometric"
"poolus","acetometrical"
"poos","acetometrically"
"põõsas","acetomorphin"
"pop","acetomorphine"
"populaarne","acetonaemia"
"populaarsust","acetonaemic"
"põrgatama","acetonaphthone"
"põrgu","acetonate"
"portfell","acetonation"
"portree","acetone"
"positiivne","acetonemia"
"positsiooni","acetonemic"
"põske","acetones"
"postitus","acetonic"
"potentsiaal","acetonyl"
"potentsiaalselt","acetonylacetone"
"pott","acetonylidene"
"praad","acetonitrile"
"praegu","acetonization"
"praegune","acetonize"
"pragu","acetonuria"
"praktik","acetonurometer"
"praktiline","acetophenetide"
"praktiliselt","acetophenetidin"
"preester","acetophenetidine"
"presidendiks","acetophenin"
"president","acetophenine"
"pressiesindaja","acetophenone"
"printida","acetopiperone"
"prints","acetopyrin"
"printsess","acetopyrine"
"prioriteet","acetosalicylic"
"privaatne","acetose"
"privaatsus","acetosity"
"privileeg","acetosoluble"
"pro","acetostearin"
"probleem","acetothienone"
"produktiivne","acetotoluid"
"professionaalne","acetotoluide"
"professor","acetotoluidine"
"profiil","acetous"
"programm","acetoveratrone"
"programmeerimine","acetoxyl"
"progressiivne","acetoxyls"
"prohvet","acetoxim"
"projekt","acetoxime"
"projektsioon","acetoxyphthalide"
"prokurör","acetphenetid"
"proovige","acetphenetidin"
"propaganda","acetract"
"proportsioon","acettoluide"
"protesti","acetum"
"protestija","aceturic"
"protokolli","ACF"
"protsenti","ACGI"
"protsentides","ac-globulin"
"protsessi","ACH"
"protsessor","Achab"
"proua","Achad"
"provints","Achaea"
"prügi","Achaean"
"prügikast","Achaemenes"
"prügimäele","Achaemenian"
"pruun","Achaemenid"
"pruut","Achaemenidae"
"psühholoog","Achaemenides"
"psühholoogia","Achaemenidian"
"psühholoogiline","Achaemenids"
"publik","achaenocarp"
"pudel","Achaenodon"
"püha","Achaeta"
"pühak","achaetous"
"pühakiri","Achaeus"
"pühapäev","achafe"
"puhas","achage"
"puhata","Achagua"
"pühendama","Achaia"
"pühenduma","Achaian"
"pühendumust","Achakzai"
"pühkida","achalasia"
"pühkima","Achamoth"
"puhkus","Achan"
"puhkust","Achango"
"puidust","achape"
"puit","achaque"
"pulber","achar"
"pull","acharya"
"pulmad","Achariaceae"
"pulss","Achariaceous"
"pump","acharne"
"punane","acharnement"
"punkt","Acharnians"
"purjetada","achate"
"purjus","Achates"
"purk","Achatina"
"purustada","Achatinella"
"püsima","Achatinidae"
"püsiv","achatour"
"pusle","Achaz"
"püss","ache"
"putka","acheat"
"putukas","achech"
"puu","acheck"
"püüda","ached"
"puudega","acheer"
"püüdlus","ACHEFT"
"püüdma","acheilary"
"puudu","acheilia"
"puudujääk","acheilous"
"puudumine","acheiria"
"puudus","acheirous"
"puudutada","acheirus"
"puudutage","Achelous"
"puue","Achen"
"puur","achene"
"puurida","achenes"
"puusa","achenia"
"puuvilju","achenial"
"puuvill","achenium"
"raadio","achenocarp"
"räägi","achenodia"
"räägivad","achenodium"
"rääkida","acher"
"raamat","Acherman"
"raamatukogu","Achernar"
"raamatupidamine","Acheron"
"raami","Acheronian"
"raamistik","Acherontic"
"rada","Acherontical"
"radar","aches"
"radikaalne","Acheson"
"raev","achesoun"
"raha","achete"
"rahakott","Achetidae"
"rahaline","Acheulean"
"rahandus","Acheulian"
"rahastamine","acheweed"
"rahu","achy"
"rahul","achier"
"rahuldada","achiest"
"rahulik","achievability"
"rahulolu","achievable"
"rahumeelne","achieve"
"rahvahulk","achieved"
"rahvalik","achievement"
"rahvaloendus","achievements"
"rahvus","achievement's"
"rahvuslik","achiever"
"rahvusvaheline","achievers"
"rajatis","achieves"
"rakendama","achieving"
"rakendamine","ach-y-fi"
"rakendus","achigan"
"rakett","achilary"
"ralli","achylia"
"rämps","Achill"
"rand","Achille"
"randme","Achillea"
"range","Achillean"
"rangelt","achilleas"
"ränne","Achilleid"
"rannikuäärne","achillein"
"rannikul","achilleine"
"rantšo","Achilles"
"raputama","Achillize"
"rase","achillobursitis"
"Rasedus","achillodynia"
"rasestuda","achilous"
"raske","achylous"
"raskust","Achimaas"
"rassi","achime"
"rassiline","Achimelech"
"rassism","Achimenes"
"rassistlik","achymia"
"rasv","achymous"
"ratas","Achinese"
"rätik","achiness"
"ratsionaalne","achinesses"
"rattur","aching"
"raud","achingly"
"raudtee","achiote"
"ravi","achiotes"
"ravida","achira"
"ravim","Achyranthes"
"ravimeid","achirite"
"re","Achyrodes"
"reageerida","Achish"
"reaktsioon","Achitophel"
"realistlik","achkan"
"reeda","achlamydate"
"reedel","Achlamydeae"
"reegel","achlamydeous"
"reform","achlorhydria"
"Registreeri","achlorhydric"
"registreerimine","achlorophyllous"
"registreeruda","achloropsia"
"regulaarne","achluophobia"
"regulaarselt","Achmed"
"regulatiivsed","Achmetha"
"reguleerida","achoke"
"reguleerimine","acholia"
"rehv","acholias"
"reie","acholic"
"reis","Acholoe"
"reisida","acholous"
"reisija","acholuria"
"reklaam","acholuric"
"rekord","Achomawi"
"religioon","achondrite"
"religioosne","achondritic"
"relv","achondroplasia"
"relvastatud","achondroplastic"
"remont","achoo"
"renderdama","achor"
"rentida","achordal"
"reostus","Achordata"
"rep","achordate"
"Reporter","Achorion"
"reserv","Achorn"
"reservatsioon","Achras"
"resolutsioon","achree"
"ressurss","achroacyte"
"restoran","Achroanthes"
"retoorika","achrodextrin"
"retsept","achrodextrinase"
"revolutsioon","achroglobin"
"revolutsiooniline","achroiocythaemia"
"režiim","achroiocythemia"
"režiimis","achroite"
"riba","achroma"
"rida","achromacyte"
"riided","achromasia"
"riie","achromat"
"riietus","achromat-"
"Riietus","achromate"
"riigikassa","Achromatiaceae"
"riik","achromatic"
"riis","achromatically"
"riistvara","achromaticity"
"riiul","achromatin"
"rikas","achromatinic"
"rikkuma","achromatisation"
"rikkumine","achromatise"
"rikkust","achromatised"
"rind","achromatising"
"ring","achromatism"
"ringkond","Achromatium"
"ringreis","achromatizable"
"riputama","achromatization"
"risk","achromatize"
"riskantne","achromatized"
"rist","achromatizing"
"rituaal","achromatocyte"
"rivaal","achromatolysis"
"robot","achromatope"
"roheline","achromatophil"
"rohi","achromatophile"
"rohkem","achromatophilia"
"rõhuasetus","achromatophilic"
"rõhuta","achromatopia"
"rolli","achromatopsy"
"romaan","achromatopsia"
"romantikat","achromatosis"
"romantiline","achromatous"
"rong","achromats"
"ronida","achromaturia"
"rõõm","achromia"
"rooma","achromic"
"roomama","Achromycin"
"rõõmsalt","Achromobacter"
"rõõmus","Achromobacterieae"
"rõõmustama","achromoderma"
"roos","achromophilous"
"roosa","achromotrichia"
"röövida","achromous"
"rott","achronical"
"rulli","achronychous"
"rumal","achronism"
"rünnak","achroo-"
"rusikas","achroodextrin"
"rutiin","achroodextrinase"
"rütm","achroous"
"ruumi","achropsia"
"ruut","Achsah"
"saab","achtehalber"
"saabas","achtel"
"saabuma","achtelthaler"
"saabumine","achter"
"saada","achterveld"
"saadaval","Achuas"
"saade","achuete"
"saagida","acy"
"saagikus","acyanoblepsia"
"saaja","acyanopsia"
"saal","acichlorid"
"saar","acichloride"
"säästmine","acyclic"
"saatkond","acyclically"
"saatus","acicula"
"saavutada","aciculae"
"saavutus","acicular"
"saba","acicularity"
"sada","acicularly"
"sadam","aciculas"
"sadamasse","aciculate"
"säde","aciculated"
"sage","aciculum"
"sagedus","aciculums"
"sageli","acid"
"sahtel","acidaemia"
"säilitada","Acidalium"
"säilitama","Acidanthera"
"sait","Acidaspis"
"sajandil","acid-binding"
"sakk","acidemia"
"saladus","acidemias"
"salapärane","acider"
"salat","acid-fast"
"salk","acid-fastness"
"salm","acid-forming"
"salvestada","acidhead"
"salvestamine","acid-head"
"sama","acidheads"
"samaaegselt","acidy"
"samas","acidic"
"samasugused","acidiferous"
"samaväärne","acidify"
"samm","acidifiable"
"samuti","acidifiant"
"sanktsioon","acidific"
"särama","acidification"
"särav","acidified"
"särk","acidifier"
"sarnanema","acidifiers"
"sarnased","acidifies"
"sarnaselt","acidifying"
"sarnasus","acidyl"
"sarvest","acidimeter"
"säte","acidimetry"
"satelliit","acidimetric"
"savi","acidimetrical"
"seade","acidimetrically"
"seadistus","acidite"
"seadus","acidity"
"seadusandja","acidities"
"seadusandlik","acidize"
"seadusandlus","acidized"
"seaduslik","acidizing"
"seaduslikult","acidly"
"seal","acidness"
"sealiha","acidnesses"
"seas","acidogenic"
"seatud","acidoid"
"seda","acidolysis"
"see","acidology"
"seega","acidometer"
"seeläbi","acidometry"
"seelik","acidophil"
"seeme","acidophile"
"seep","acidophilic"
"seeria","acidophilous"
"seersant","acidophilus"
"sees","acidoproteolytic"
"seetõttu","acidoses"
"segada","acidosis"
"segadus","acidosteophyte"
"segage","acidotic"
"segatud","acidproof"
"segment","acids"
"segu","acid-treat"
"segunema","acidulant"
"seiklus","acidulate"
"seina","acidulated"
"seisma","acidulates"
"seistes","acidulating"
"seitse","acidulation"
"seitsmes","acidulent"
"sekkumine","acidulous"
"sekretär","acidulously"
"seks","acidulousness"
"seksikas","aciduria"
"seksuaalne","acidurias"
"seksuaalselt","aciduric"
"sektor","Acie"
"seletama","acier"
"selge","acierage"
"selgelt","Acieral"
"selgesõnaline","acierate"
"selgesõnaliselt","acierated"
"selgitus","acierates"
"selle","acierating"
"sellegipoolest","acieration"
"selline","acies"
"senaator","acyesis"
"senat","acyetic"
"sensatsioon","aciform"
"senti","acyl"
"seoses","acylal"
"seotud","acylamido"
"september","acylamidobenzene"
"šerif","acylamino"
"serv","acylase"
"serveeri","acylate"
"serveerimine","acylated"
"server","acylates"
"sest","acylating"
"sfäär","acylation"
"sibul","aciliate"
"sidrun","aciliated"
"siduda","Acilius"
"siga","acylogen"
"sigaret","acyloin"
"signaal","acyloins"
"sihikindlus","acyloxy"
"sihtasutus","acyloxymethane"
"sihtkoht","acyls"
"sihtmärk","Acima"
"siid","acinaceous"
"siin","acinaces"
"siis","acinacifoliate"
"sikutama","acinacifolious"
"sild","acinaciform"
"sile","acinacious"
"silma","acinacity"
"silmapaistev","acinar"
"silmaring","acinary"
"silmus","acinarious"
"silt","Acineta"
"sina","Acinetae"
"sinine","acinetan"
"sinu","Acinetaria"
"sisaldama","acinetarian"
"sisaldavad","acinetic"
"sisemine","acinetiform"
"sisend","Acinetina"
"sisenema","acinetinan"
"sisenemine","acing"
"sisestada","acini"
"sisikond","acinic"
"sisse","aciniform"
"sissejuhatus","acinose"
"sissepääs","acinotubular"
"sisu","acinous"
"sisuliselt","acinuni"
"sitapea","acinus"
"skandaal","acious"
"skannida","Acipenser"
"skaut","Acipenseres"
"skeem","acipenserid"
"skoor","Acipenseridae"
"skulptuur","acipenserine"
"slam","acipenseroid"
"sõber","Acipenseroidei"
"sobima","acyrology"
"sobivus","acyrological"
"sõbralik","Acis"
"sõda","acystia"
"sõdalane","acitate"
"sõdur","acity"
"soe","aciurgy"
"sõelumine","ACK"
"sõidukit","ack-ack"
"sõidurada","ackee"
"sõita","ackees"
"sõites","ackey"
"sõitma","ackeys"
"sõjaväelased","Acker"
"sokk","Ackerley"
"šokk","Ackerly"
"šokolaad","Ackerman"
"sõltumata","Ackermanville"
"sõltumatud","Ackley"
"sõltuv","Ackler"
"sõltuvad","ackman"
"sõltuvus","ackmen"
"solvata","acknew"
"solvav","acknow"
"sõna","acknowing"
"sõnavara","acknowledge"
"sõnum","acknowledgeable"
"sooda","acknowledged"
"sööda","acknowledgedly"
"soodustus","acknowledgement"
"soojendamine","acknowledgements"
"soojust","acknowledger"
"sööki","acknowledgers"
"soola","acknowledges"
"soolo","acknowledging"
"sööma","acknowledgment"
"söömine","acknowledgments"
"soov","acknowledgment's"
"soovi","acknown"
"soovitada","ack-pirate"
"soovitus","ackton"
"sõprus","Ackworth"
"sõrm","ACL"
"sorteerida","aclastic"
"sosistama","acle"
"sotsiaalne","acleidian"
"sotsiaalselt","acleistocardia"
"spekter","acleistous"
"spekulatsioon","Aclemon"
"spetsialiseeruda","aclydes"
"spetsialist","aclidian"
"spetsiifiline","aclinal"
"spioon","aclinic"
"sponsor","aclys"
"Sport","a-clock"
"sportlane","acloud"
"sportlik","ACLS"
"staadion","ACLU"
"stabiilne","ACM"
"stabiilsus","Acmaea"
"standard","Acmaeidae"
"starter","acmaesthesia"
"statistika","acmatic"
"statistiline","acme"
"stiilis","acmes"
"stiimul","acmesthesia"
"stipendium","acmic"
"strateegia","Acmispon"
"strateegiline","acmite"
"streikima","Acmon"
"stress","acne"
"string","acned"
"struktuur","acneform"
"struktuurne","acneiform"
"stseen","acnemia"
"stsenaarium","acnes"
"stuudio","Acnida"
"süda","acnodal"
"südametunnistus","acnode"
"sügav","acnodes"
"sügavalt","ACO"
"sügavus","acoasm"
"sügis","acoasma"
"sugu","a-coast"
"sugulane","Acocanthera"
"suhe","acocantherin"
"suhelda","acock"
"suhkur","acockbill"
"suhteliselt","a-cock-bill"
"suhtlemine","a-cock-horse"
"suhtumine","acocotl"
"suitsu","Acoela"
"sulama","Acoelomata"
"sulane","acoelomate"
"sularaha","acoelomatous"
"sülearvuti","Acoelomi"
"süles","acoelomous"
"suletud","acoelous"
"Sulge","Acoemetae"
"sülitada","Acoemeti"
"sümbol","Acoemetic"
"summa","acoenaesthesia"
"sümptom","ACOF"
"sündi","acoin"
"sundima","acoine"
"sündinud","Acol"
"sündmus","Acolapissa"
"sündroom","acold"
"sünnipäev","Acolhua"
"Super","Acolhuan"
"supilusikatäis","acolyctine"
"supp","acolyte"
"surema","acolytes"
"suremas","acolyth"
"suremus","acolythate"
"surma","acolytus"
"surmav","acology"
"surnud","acologic"
"suruma","acolous"
"survet","acoluthic"
"süsinik","Acoma"
"süsivesikuid","acomia"
"süsteem","acomous"
"süstik","a-compass"
"suu","aconative"
"süü","Aconcagua"
"süüdi","acondylose"
"süüdimõistetu","acondylous"
"süüdistada","acone"
"süüdistama","aconelline"
"süüdistus","aconic"
"suudlema","aconin"
"suuline","aconine"
"suunas","aconital"
"suur","aconite"
"suurejooneline","aconites"
"suurendada","aconitia"
"suurendama","aconitic"
"suureneb","aconitin"
"suurenenud","aconitine"
"suurepärane","Aconitum"
"suuresti","aconitums"
"süürlane","acontia"
"suursaadik","Acontias"
"suursugune","acontium"
"suurus","Acontius"
"suurusjärk","aconuresis"
"suusatada","acool"
"süütu","acop"
"süütunne","acopic"
"süvend","acopyrin"
"suvi","acopyrine"
"süžee","acopon"
"sviit","acor"
"ta","acorea"
"taala","acoria"
"taastama","acorn"
"taastuda","acorned"
"taastumine","acorns"
"tabas","acorn's"
"tablett","acorn-shell"
"tädi","Acorus"
"taevas","acosmic"
"taevasse","acosmism"
"taga","acosmist"
"tagaaed","acosmistic"
"tagajärg","acost"
"tagamängija","Acosta"
"taganema","acotyledon"
"tagasi","acotyledonous"
"tagasihoidlik","acouasm"
"tagasikutsumine","acouchi"
"tagasisidet","acouchy"
"tagasivalimine","acoumeter"
"tagatisraha","acoumetry"
"tagavaraks","acounter"
"tagumik","acouometer"
"tagurpidi","acouophonia"
"tahan","acoup"
"tahe","acoupa"
"tähelepanu","acoupe"
"tähelepanuväärne","acousma"
"tähendab","acousmas"
"tähenduses","acousmata"
"tähendusrikas","acousmatic"
"tähistada","acoustic"
"tähistamine","acoustical"
"tahke","acoustically"
"täht","acoustician"
"tähtaeg","acoustico-"
"tähtsus","acousticolateral"
"tähtsust","Acousticon"
"tahvelarvuti","acousticophobia"
"täielik","acoustics"
"täielikult","acoustoelectric"
"täiesti","ACP"
"taim","acpt"
"tainas","acpt."
"täis","Acquah"
"täiskasvanud","acquaint"
"täiskohaga","acquaintance"
"täita","acquaintances"
"täiuslik","acquaintance's"
"täiuslikult","acquaintanceship"
"taju","acquaintanceships"
"tajuda","acquaintancy"
"tajutud","acquaintant"
"takistuseks","acquainted"
"Takso","acquaintedness"
"taktika","acquainting"
"tala","acquaints"
"tald","Acquaviva"
"talent","acquent"
"talu","acquereur"
"taluma","acquest"
"talvel","acquests"
"tamm","acquiesce"
"täna","acquiesced"
"tänan","acquiescement"
"tänav","acquiescence"
"tank","acquiescences"
"tantsida","acquiescency"
"tantsija","acquiescent"
"tantsimine","acquiescently"
"tänulik","acquiescer"
"tänupüha","acquiesces"
"tapja","acquiescing"
"tapmine","acquiescingly"
"täpne","acquiesence"
"täpp","acquiet"
"tappa","acquirability"
"täpselt","acquirable"
"täpsust","acquire"
"täpsustada","acquired"
"tara","acquirement"
"tarbida","acquirements"
"tarbija","acquirenda"
"tarbimist","acquirer"
"tark","acquirers"
"tarkus","acquires"
"tarkvara","acquiring"
"tasakaalu","acquisible"
"tasane","acquisita"
"tasemel","acquisite"
"tasku","acquisited"
"taskukohane","acquisition"
"tass","acquisitional"
"tasu","acquisitions"
"tasuta","acquisition's"
"tätoveering","acquisitive"
"taustal","acquisitively"
"tavaline","acquisitiveness"
"tavaliselt","acquisitor"
"tavapärane","acquisitum"
"tea","acquist"
"teadaanne","acquit"
"teadlane","acquital"
"teadlik","acquitment"
"teadlikkust","acquits"
"teadmata","acquittal"
"teadmatus","acquittals"
"teadmisi","acquittance"
"teadus","acquitted"
"teaduslik","acquitter"
"teadvus","acquitting"
"teatama","acquophonia"
"teater","acr-"
"teatud","Acra"
"teavet","Acrab"
"teavitama","acracy"
"teda","Acraea"
"tee","acraein"
"teekonda","Acraeinae"
"teelusikatäis","acraldehyde"
"teema","Acrania"
"teemaksu","acranial"
"teemant","acraniate"
"teene","acrasy"
"teenida","acrasia"
"teenust","Acrasiaceae"
"teesklema","Acrasiales"
"tegeleda","acrasias"
"tegelema","Acrasida"
"tegelik","Acrasieae"
"tegelikkus","acrasin"
"tegelikult","acrasins"
"tegema","Acraspeda"
"tegevdirektor","acraspedote"
"tegevjuht","acratia"
"tegevust","acraturesis"
"tegija","acrawl"
"tegutseda","acraze"
"tegutsema","Acre"
"tegutsevad","acreable"
"teha","acreage"
"tehas","acreages"
"tehing","acreak"
"tehnika","acream"
"tehnikat","acred"
"tehniline","acre-dale"
"tehniliselt","Acredula"
"tehnoloogia","acre-foot"
"tehnoloogiline","acre-inch"
"teine","acreman"
"teisejärguline","acremen"
"teiseks","Acres"
"teisendada","acre's"
"teisendamine","acrestaff"
"teisipäev","a-cry"
"teismeline","acrid"
"tekil","acridan"
"tekk","acridane"
"tekkida","acrider"
"tekkimas","acridest"
"teksad","acridian"
"tekst","acridic"
"telefon","acridid"
"teleskoop","Acrididae"
"televiisor","Acridiidae"
"telk","acridyl"
"tellida","acridin"
"telliskivi","acridine"
"tema","acridines"
"tempel","acridinic"
"temperatuuri","acridinium"
"tempos","acridity"
"tennis","acridities"
"teoloogia","Acridium"
"teooria","Acrydium"
"teoreetiline","acridly"
"tera","acridness"
"teraapia","acridnesses"
"terapeut","acridone"
"terasest","acridonium"
"terav","acridophagus"
"Teravili","acriflavin"
"Tere","acriflavine"
"territooriumil","acryl"
"terror","acrylaldehyde"
"terrorism","Acrilan"
"terrorist","acrylate"
"terve","acrylates"
"terved","acrylic"
"terviklikkus","acrylics"
"tervishoid","acrylyl"
"tervist","acrylonitrile"
"tervitada","acrimony"
"testament","acrimonies"
"testimine","acrimonious"
"tihe","acrimoniously"
"tihedalt","acrimoniousness"
"tihedus","acrindolin"
"tiib","acrindoline"
"tiiger","acrinyl"
"tiik","acrisy"
"tilk","acrisia"
"tilluke","Acrisius"
"tingimata","Acrita"
"tingimus","acritan"
"tingimustele","acrite"
"tipp","acrity"
"tippkohtumisel","acritical"
"tõde","acritochromacy"
"tõeliselt","acritol"
"tõenäoliselt","acritude"
"tõenäosus","ACRNEMA"
"tõend","acro-"
"tõendid","Acroa"
"tõepoolest","acroaesthesia"
"tõestama","acroama"
"tõesti","acroamata"
"toetaja","acroamatic"
"toetav","acroamatical"
"toetus","acroamatics"
"tõhus","acroanesthesia"
"tõhusalt","acroarthritis"
"tõhusust","acroasis"
"tohutu","acroasphyxia"
"toidupoed","acroataxia"
"toimetaja","acroatic"
"toimetama","acrobacy"
"toimumiskoht","acrobacies"
"toit","acrobat"
"toitumine","Acrobates"
"tõlge","acrobatholithic"
"tõlgendada","acrobatic"
"tõlgendus","acrobatical"
"tõlkida","acrobatically"
"tolli","acrobatics"
"tolm","acrobatism"
"tomat","acrobats"
"tõmba","acrobat's"
"töö","acrobystitis"
"tööandja","acroblast"
"tööd","acrobryous"
"toode","Acrocarpi"
"tööhõive","acrocarpous"
"töökoht","acrocentric"
"tool","acrocephaly"
"tööline","acrocephalia"
"toon","acrocephalic"
"tööpuudus","acrocephalous"
"toores","Acrocera"
"tööriist","Acroceratidae"
"tööstusele","Acroceraunian"
"tööstuslik","Acroceridae"
"toota","Acrochordidae"
"töötab","Acrochordinae"
"töötaja","acrochordon"
"töötajad","acrocyanosis"
"töötavad","acrocyst"
"tootja","acrock"
"töötlemine","Acroclinium"
"tootlikkus","Acrocomia"
"tootmine","acroconidium"
"töötuba","acrocontracture"
"töövõtja","acrocoracoid"
"torm","Acrocorinth"
"torni","acrodactyla"
"toru","acrodactylum"
"torujuhe","acrodermatitis"
"Tõsi","acrodynia"
"tosin","acrodont"
"tõsine","acrodontism"
"tõsiselt","acrodonts"
"tõsta","acrodrome"
"tõstke","acrodromous"
"tõusma","Acrodus"
"tõusulaine","acroesthesia"
"traagiline","acrogamy"
"traat","acrogamous"
"traditsioon","acrogen"
"traditsiooniline","acrogenic"
"traditsiooniliselt","acrogenous"
"tragöödia","acrogenously"
"transiit","acrogens"
"transport","Acrogynae"
"trauma","acrogynous"
"treener","acrography"
"treening","acrolein"
"treiler","acroleins"
"trend","acrolith"
"trepp","acrolithan"
"triip","acrolithic"
"triivida","acroliths"
"trikk","acrology"
"triljonit","acrologic"
"troonile","acrologically"
"troopiline","acrologies"
"trumm","acrologism"
"t-särk","acrologue"
"tseremoonia","acromania"
"tsitaat","acromastitis"
"tsiviil-","acromegaly"
"tsiviilisik","acromegalia"
"tsivilisatsioon","acromegalic"
"tsooni","acromegalies"
"tsükkel","acromelalgia"
"tualettruum","acrometer"
"tuba","acromia"
"tubakas","acromial"
"tüdruk","acromicria"
"tüdruksõber","acromimia"
"tugev","acromioclavicular"
"tugevalt","acromiocoracoid"
"tugevdada","acromiodeltoid"
"tugevdama","Acromyodi"
"tugevus","acromyodian"
"tugineda","acromyodic"
"tuhat","acromyodous"
"tühi","acromiohyoid"
"tühistada","acromiohumeral"
"tuhk","acromion"
"tuhmuma","acromioscapular"
"tuju","acromiosternal"
"tükk","acromiothoracic"
"tule","acromyotonia"
"tulekahju","acromyotonus"
"tulemas","acromonogrammatic"
"tulemus","acromphalus"
"tuletada","acron"
"tulevik","acronal"
"tulistada","acronarcotic"
"tulistamist","acroneurosis"
"tulistas","acronic"
"tulnukas","acronyc"
"tulu","acronical"
"tulud","acronycal"
"tume","acronically"
"tund","acronycally"
"tunda","acronych"
"tundlik","acronichal"
"tundlikkus","acronychal"
"tung","acronichally"
"tünn","acronychally"
"tunne","acronychous"
"tunnel","Acronycta"
"tunnistaja","acronyctous"
"tunnistama","acronym"
"tunnistus","acronymic"
"tunnusjoon","acronymically"
"tunnustust","acronymize"
"turist","acronymized"
"turniir","acronymizing"
"turul","acronymous"
"turundus","acronyms"
"turvaline","acronym's"
"turvalisus","acronyx"
"tütar","acronomy"
"tuttav","acrook"
"tutvustada","acroparalysis"
"tuua","acroparesthesia"
"tuul","acropathy"
"tuum","acropathology"
"tuumaenergia","acropetal"
"tüüp","acropetally"
"tüüpiline","acrophobia"
"tüüpiliselt","acrophonetic"
"tuvastada","acrophony"
"tuvastamata","acrophonic"
"tuvastamine","acrophonically"
"tüvi","acrophonies"
"TV","acropodia"
"twitter","acropodium"
"uba","acropoleis"
"uh","Acropolis"
"üheksa","acropolises"
"ühend","acropolitan"
"ühendada","Acropora"
"ühendus","acropore"
"ühinenud","acrorhagus"
"ühiskond","acrorrheuma"
"uhke","acrosarc"
"uhkus","acrosarca"
"ühtlane","acrosarcum"
"ühtsus","acroscleriasis"
"ujuda","acroscleroderma"
"ujuk","acroscopic"
"uks","acrose"
"üks","acrosome"
"ukseava","acrosomes"
"üksi","acrosphacelus"
"üksikasjalik","acrospire"
"üksildane","acrospired"
"üksteist","acrospiring"
"üksus","acrospore"
"ulatus","acrosporous"
"ulatuslik","across"
"üldine","across-the-board"
"üldiselt","acrostic"
"üldse","acrostical"
"üle","acrostically"
"üleandmine","acrostichal"
"ülemäärane","Acrosticheae"
"ülemine","acrostichic"
"üleminek","acrostichoid"
"ülemus","Acrostichum"
"üles","acrosticism"
"ülesanne","acrostics"
"ületada","acrostolia"
"üleujutus","acrostolion"
"ülevaade","acrostolium"
"ülevaatus","acrotarsial"
"üleval","acrotarsium"
"ülikond","acroteleutic"
"ülikool","acroter"
"ülikoolilinnak","acroteral"
"ülim","acroteria"
"ülioluline","acroterial"
"üllatav","acroteric"
"üllatavalt","acroterion"
"üllatunud","acroterium"
"üllatus","acroterteria"
"um","Acrothoracica"
"ümber","acrotic"
"umbes","acrotism"
"ümbrik","acrotisms"
"ümbritsema","acrotomous"
"ümbritsev","Acrotreta"
"umbrohi","Acrotretidae"
"ümmargune","acrotrophic"
"unistus","acrotrophoneurosis"
"universaalne","Acrux"
"universum","ACRV"
"unts","ACS"
"unusta","ACSE"
"uppuma","ACSNET"
"ürt","ACSU"
"usaldama","ACT"
"usaldusväärne","Acta"
"usaldusväärsus","actability"
"usk","actable"
"usklik","Actaea"
"uskuda","Actaeaceae"
"uskumatu","Actaeon"
"uskumatult","Actaeonidae"
"ustav","acted"
"ütle","actg"
"uudised","actg."
"uudishimu","ACTH"
"uudishimulik","Actiad"
"uuendada","Actian"
"uuenduslik","actify"
"uuenduslikkust","actification"
"uuesti","actifier"
"uurida","actin"
"uurija","actin-"
"uurima","actinal"
"uurimine","actinally"
"uuring","actinautography"
"Uuring","actinautographic"
"uus","actine"
"uustulnuk","actinenchyma"
"vaade","acting"
"vaal","acting-out"
"väänata","actings"
"väärikust","Actinia"
"väärima","actiniae"
"väärt","actinian"
"väärtus","actinians"
"väärtuslik","Actiniaria"
"vaata","actiniarian"
"vaataja","actinias"
"vaatamata","actinic"
"vaatleja","actinical"
"vaatlus","actinically"
"vabadust","actinide"
"vabalt","actinides"
"vabandage","Actinidia"
"vabandust","Actinidiaceae"
"Vabariik","actiniferous"
"vabariiklane","actiniform"
"vabastada","actinine"
"vabatahtlik","actiniochrome"
"vaene","actiniohematin"
"vaenlane","Actiniomorpha"
"vaenulik","actinism"
"väeosa","actinisms"
"vaesus","Actinistia"
