"Gujarati","English"
"ફાયદો","accompany"
"ફાળો","accompanied"
"ફિટ","accompanier"
"ફિલસૂફી","accompanies"
"ફિલોસોફિકલ","accompanying"
"ફિલ્ટર","accompanyist"
"ફિલ્મ","accompaniment"
"ફી","accompanimental"
"ફીડ","accompaniments"
"ફુગાવો","accompaniment's"
"ફુવારો","accompanist"
"ફૂટપાથ","accompanists"
"ફૂટબોલ","accompanist's"
"ફૂટેજ","accomplement"
"ફૂલ","accompletive"
"ફેંકવું","accompli"
"ફેકલ્ટી","accomplice"
"ફેન્સી","accomplices"
"ફેફસાં","accompliceship"
"ફેબ્રિક","accomplicity"
"ફેબ્રુઆરી","accomplis"
"ફેરફાર","accomplish"
"ફેલાવો","accomplishable"
"ફેશન","accomplished"
"ફોકસ","accomplisher"
"ફોટો","accomplishers"
"ફોટોગ્રાફ","accomplishes"
"ફોટોગ્રાફર","accomplishing"
"ફોટોગ્રાફી","accomplishment"
"ફોન","accomplishments"
"ફોરમ","accomplishment's"
"ફોર્મ","accomplisht"
"ફોર્મેટ","accompt"
"ફોલ્ડ","accord"
"ફ્રીક","accordable"
"ફ્રેન્ચ","accordance"
"ફ્રેન્ચાઇઝ","accordances"
"ફ્રેમ","accordancy"
"ફ્રેમવર્ક","accordant"
"ફ્લાઇટ","accordantly"
"ફ્લિપ","accordatura"
"ફ્લેટ","accordaturas"
"ફ્લેશ","accordature"
"ફ્લોટ","accorded"
"બંદર","accorder"
"બંદૂક","accorders"
"બંધ","according"
"બંધક","accordingly"
"બંધારણ","accordion"
"બંધારણીય","accordionist"
"બંને","accordionists"
"બકરી","accordions"
"બકવાસ","accordion's"
"બગીચો","accords"
"બચત","accorporate"
"બચાવ","accorporation"
"બજાર","accost"
"બજેટ","accostable"
"બટન","accosted"
"બટાકા","accosting"
"બતક","accosts"
"બતાવો","accouche"
"બદલાતી","accouchement"
"બદલી","accouchements"
"બદલો","accoucheur"
"બધા","accoucheurs"
"બધું","accoucheuse"
"બનાવટ","accoucheuses"
"બનાવવું","accounsel"
"બનાવો","account"
"બપોર","accountability"
"બપોરે","accountabilities"
"બબડાટ","accountable"
"બબલ","accountableness"
"બરતરફ","accountably"
"બરફ","accountancy"
"બરાબર","accountancies"
"બર્ગર","accountant"
"બર્ન","accountants"
"બર્નિંગ","accountant's"
"બલિદાન","accountantship"
"બલૂન","accounted"
"બસ","accounter"
"બહાદુર","accounters"
"બહાનું","accounting"
"બહાર","accountings"
"બહુમતી","accountment"
"બહુવિધ","accountrement"
"બહેન","accounts"
"બળ","accouple"
"બળતણ","accouplement"
"બળદ","accourage"
"બળવાખોર","accourt"
"બળાત્કાર","accouter"
"બાંધકામ","accoutered"
"બાંધવું","accoutering"
"બાઇક","accouterment"
"બાઇબલ","accouterments"
"બાઉન્સ","accouters"
"બાકાત","accoutre"
"બાકી","accoutred"
"બાજુ","accoutrement"
"બાજુમાં","accoutrements"
"બાથરૂમ","accoutres"
"બાદમાં","accoutring"
"બાબત","Accoville"
"બાય","ACCRA"
"બાયોલોજી","accrease"
"બાર","accredit"
"બારી","accreditable"
"બાસ્કેટબોલ","accreditate"
"બાસ્ટર્ડ","accreditation"
"બાહ્ય","accreditations"
"બાળક","accredited"
"બાળપણ","accreditee"
"બિંદુ","accrediting"
"બિઝનેસ","accreditment"
"બિનનફાકારક","accredits"
"બિનસાંપ્રદાયિક","accrementitial"
"બિલ","accrementition"
"બિલાડી","accresce"
"બિલ્ડ","accrescence"
"બિશપ","accrescendi"
"બીક","accrescendo"
"બીચ","accrescent"
"બીજ","accretal"
"બીજું","accrete"
"બીટ","accreted"
"બીભત્સ","accretes"
"બીમ","accreting"
"બીમાર","accretion"
"બીમારી","accretionary"
"બીયર","accretions"
"બુટ","accretion's"
"બુદ્ધિ","accretive"
"બુદ્ધિશાળી","accriminate"
"બુધવાર","Accrington"
"બે","accroach"
"બેંક","accroached"
"બેંકર","accroaching"
"બેંકિંગ","accroachment"
"બેંગ","accroides"
"બેકઅપ","accruable"
"બેકયાર્ડ","accrual"
"બેક્ટેરિયા","accruals"
"બેઘર","accrue"
"બેચેન","accrued"
"બેઝબોલ","accruement"
"બેટ","accruer"
"બેટરી","accrues"
"બેઠક","accruing"
"બેડરૂમ","ACCS"
"બેડોળ","ACCT"
"બેન્ચ","acct."
"બેન્ડ","accts"
"બેરલ","accubation"
"બેરોજગારી","accubita"
"બેલ્ટ","accubitum"
"બેસવું","accubitus"
"બેહદ","accueil"
"બૉમ્બ","accultural"
"બોક્સ","acculturate"
"બોજ","acculturated"
"બોટલ","acculturates"
"બોનસ","acculturating"
"બોન્ડ","acculturation"
"બોયફ્રેન્ડ","acculturational"
"બોલી","acculturationist"
"બોલો","acculturative"
"બોલ્ડ","acculturize"
"બોસ","acculturized"
"બૌદ્ધિક","acculturizing"
"બ્યુરો","accum"
"બ્રશ","accumb"
"બ્રહ્માંડ","accumbency"
"બ્રાઉઝર","accumbent"
"બ્રાન્ડ","accumber"
"બ્રિટિશ","accumulable"
"બ્રેડ","accumulate"
"બ્લેડ","accumulated"
"બ્લોક","accumulates"
"બ્લોગ","accumulating"
"ભંડોળ","accumulation"
"ભગવાન","accumulations"
"ભટકવું","accumulativ"
"ભદ્ર","accumulative"
"ભમર","accumulatively"
"ભય","accumulativeness"
"ભયંકર","accumulator"
"ભયભીત","accumulators"
"ભયાનક","accumulator's"
"ભયાવહ","accupy"
"ભરતી","accur"
"ભરો","accuracy"
"ભરોસો","accuracies"
"ભલાઈ","accurate"
"ભલામણ","accurately"
"ભવિષ્ય","accurateness"
"ભવ્ય","accuratenesses"
"ભાઈ","accurre"
"ભાગ","accurse"
"ભાગીદાર","accursed"
"ભાગીદારી","accursedly"
"ભાગ્ય","accursedness"
"ભાડું","accursing"
"ભાડે","accurst"
"ભાર","accurtation"
"ભારતીય","accus"
"ભારપૂર્વક","accusable"
"ભારે","accusably"
"ભાવના","accusal"
"ભાવનાત્મક","accusals"
"ભાષણ","accusant"
"ભાષા","accusants"
"ભાષ્ય","accusation"
"ભીડ","accusations"
"ભીનું","accusation's"
"ભુરો","accusatival"
"ભૂખ","accusative"
"ભૂખરા","accusative-dative"
"ભૂખ્યા","accusatively"
"ભૂત","accusativeness"
"ભૂતકાળ","accusatives"
"ભૂતપૂર્વ","accusator"
"ભૂમિકા","accusatory"
"ભૂલ","accusatorial"
"ભેખડ","accusatorially"
"ભેગા","accusatrix"
"ભેટ","accusatrixes"
"ભેદ","accuse"
"ભેદભાવ","accused"
"ભોંયરું","accuser"
"ભોગ","accusers"
"ભોજન","accuses"
"ભૌતિક","accusing"
"ભૌતિકશાસ્ત્ર","accusingly"
"ભ્રમણકક્ષા","accusive"
"ભ્રમણા","accusor"
"ભ્રષ્ટ","accustom"
"ભ્રષ્ટાચાર","accustomation"
"મંગળવારે","accustomed"
"મંજૂર","accustomedly"
"મંજૂરી","accustomedness"
"મંડપ","accustoming"
"મંત્રાલય","accustomize"
"મંત્રી","accustomized"
"મંદિર","accustomizing"
"મંદી","accustoms"
"મકાઈ","Accutron"
"મકાન","ACD"
"મગજ","ACDA"
"મગફળી","AC-DC"
"મજબૂત","ACE"
"મજા","acea"
"મજાક","aceacenaphthene"
"મજૂરી","aceae"
"મત","acean"
"મતદાન","aceanthrene"
"મતદાર","aceanthrenequinone"
"મતપત્ર","acecaffin"
"મતભેદ","acecaffine"
"મથક","aceconitic"
"મદદ","aced"
"મદદનીશ","acedy"
"મદદરૂપ","acedia"
"મધ","acediamin"
"મધમાખી","acediamine"
"મધ્ય","acedias"
"મધ્યમ","acediast"
"મધ્યરાત્રિ","ace-high"
"મન","Acey"
"મનપસંદ","acey-deucy"
"મનાવવા","aceite"
"મને","aceituna"
"મનોરંજન","Aceldama"
"મનોવિજ્ઞાન","aceldamas"
"મનોવિજ્ઞાની","acellular"
"મનોવૈજ્ઞાનિક","Acemetae"
"મફત","Acemetic"
"મમ્મી","acemila"
"મરી","acenaphthene"
"મર્યાદા","acenaphthenyl"
"મર્યાદિત","acenaphthylene"
"મશીન","acenesthesia"
"મહત્તમ","acensuada"
"મહત્વ","acensuador"
"મહત્વપૂર્ણ","acentric"
"મહત્વાકાંક્ષા","acentrous"
"મહત્વાકાંક્ષી","aceology"
"મહાન","aceologic"
"મહાસાગર","aceous"
"મહેમાન","acephal"
"મહેલ","Acephala"
"મહોરું","acephalan"
"મળતા","Acephali"
"મળી","acephalia"
"મળો","Acephalina"
"મા","acephaline"
"માં","acephalism"
"માંગ","acephalist"
"માંસ","Acephalite"
"માઇલ","acephalocyst"
"માઉન્ટ","acephalous"
"માખણ","acephalus"
"માછલી","acepots"
"માછીમારી","acequia"
"માટી","acequiador"
"માટે","acequias"
"માણસ","Acer"
"માતા","Aceraceae"
"માત્ર","aceraceous"
"માત્રા","Acerae"
"માધ્યમ","Acerata"
"માનવ","acerate"
"માનવતા","acerated"
"માનવું","Acerates"
"માનસિક","acerathere"
"માન્ય","Aceratherium"
"માન્યતા","aceratosis"
"માપ","acerb"
"માપદંડ","Acerbas"
"માફી","acerbate"
"મારફતે","acerbated"
"મારવા","acerbates"
"મારા","acerbating"
"માર્કર","acerber"
"માર્કેટિંગ","acerbest"
"માર્ગ","acerbic"
"માર્ગદર્શક","acerbically"
"માર્ગદર્શન","acerbity"
"માર્ગદર્શિકા","acerbityacerose"
"માર્જિન","acerbities"
"માલિક","acerbitude"
"માલિકી","acerbly"
"માસ","acerbophobia"
"માસિક","acerdol"
"માસ્ટર","aceric"
"માહિતી","acerin"
"માળ","acerli"
"માળખાકીય","acerola"
"માળખું","acerolas"
"માળો","acerose"
"મિકેનિક","acerous"
"મિકેનિઝમ","acerra"
"મિત્ર","acers"
"મિત્રતા","acertannin"
"મિનિટ","acerval"
"મિલ","acervate"
"મિલકત","acervately"
"મિલિયન","acervatim"
"મિશન","acervation"
"મિશ્ર","acervative"
"મિશ્રણ","acervose"
"મિસાઇલ","acervuli"
"મીટર","acervuline"
"મીઠાઈ","acervulus"
"મીઠી","aces"
"મીઠું","ace's"
"મીડિયા","acescence"
"મીણબત્તી","acescency"
"મીમી","acescent"
"મુકદ્દમો","acescents"
"મુકાબલો","aceship"
"મુક્કો","Acesius"
"મુક્તપણે","acesodyne"
"મુક્તિ","acesodynous"
"મુખ્ય","Acessamenus"
"મુખ્યત્વે","Acestes"
"મુખ્યમથક","acestoma"
"મુઠ્ઠી","acet-"
"મુઠ્ઠીભર","aceta"
"મુદત","acetable"
"મુદ્દો","acetabula"
"મુલાકાત","acetabular"
"મુલાકાતી","Acetabularia"
"મુશ્કેલ","acetabuliferous"
"મુશ્કેલી","acetabuliform"
"મુસાફર","acetabulous"
"મુસ્લિમ","acetabulum"
"મૂંગું","acetabulums"
"મૂંઝવણ","acetacetic"
"મૂકવું","acetal"
"મૂકો","acetaldehydase"
"મૂડ","acetaldehyde"
"મૂડીવાદ","acetaldehydrase"
"મૂર્ખ","acetaldol"
"મૂલ્ય","acetalization"
"મૂલ્યવાન","acetalize"
"મૂલ્યાંકન","acetals"
"મૂળ","acetamid"
"મૂળભૂત","acetamide"
"મૃત","acetamidin"
"મૃત્યુ","acetamidine"
"મૃત્યુદર","acetamido"
"મેક્સીકન","acetamids"
"મેજિક","acetaminol"
"મેડમ","Acetaminophen"
"મેનુ","acetanilid"
"મેનેજર","acetanilide"
"મેમરી","acetanion"
"મેયર","acetaniside"
"મેળ","acetanisidide"
"મેળવવું","acetanisidine"
"મેળવો","acetannin"
"મેળાપ","acetary"
"મેળાવડા","acetarious"
"મૈત્રીપૂર્ણ","acetars"
"મોં","acetarsone"
"મોકલો","acetate"
"મોજાં","acetated"
"મોટર","acetates"
"મોટું","acetation"
"મોટેથી","acetazolamide"
"મોડ","acetbromamide"
"મોડું","acetenyl"
"મોડેલ","Acetes"
"મોનિટર","acethydrazide"
"મોબાઇલ","acetiam"
"મોલ","acetic"
"મોસમ","acetify"
"મૌખિક","acetification"
"મૌન","acetified"
"યકૃત","acetifier"
"યજમાન","acetifies"
"યહૂદી","acetifying"
"યાંત્રિક","acetyl"
"યાદ","acetylacetonates"
"યાદી","acetylacetone"
"યાર્ડ","acetylamine"
"યુક્તિ","acetylaminobenzene"
"યુગ","acetylaniline"
"યુદ્ધ","acetylasalicylic"
"યુનિફોર્મ","acetylate"
"યુનિવર્સિટી","acetylated"
"યુરોપિયન","acetylating"
"યુવા","acetylation"
"યુવાન","acetylative"
"યોગદાન","acetylator"
"યોગ્ય","acetylbenzene"
"યોગ્યતા","acetylbenzoate"
"યોજના","acetylbenzoic"
"યોદ્ધા","acetylbiuret"
"રંગ","acetylcarbazole"
"રકમ","acetylcellulose"
"રક્તસ્ત્રાવ","acetylcholine"
"રક્ષક","acetylcholinesterase"
"રક્ષણ","acetylcholinic"
"રક્ષણાત્મક","acetylcyanide"
"રચના","acetylenation"
"રજા","acetylene"
"રજૂઆત","acetylenediurein"
"રડવું","acetylenes"
"રડાર","acetylenic"
"રણ","acetylenyl"
"રન","acetylenogen"
"રફ","acetylfluoride"
"રમ","acetylglycin"
"રમકડું","acetylglycine"
"રમત","acetylhydrazine"
"રમતગમત","acetylic"
"રમતવીર","acetylid"
"રમુજી","acetylide"
"રમૂજ","acetyliodide"
"રવિવાર","acetylizable"
"રશિયન","acetylization"
"રસ","acetylize"
"રસપ્રદ","acetylized"
"રસાયણશાસ્ત્ર","acetylizer"
"રસી","acetylizing"
"રસોઇ","acetylmethylcarbinol"
"રસોઈ","acetylperoxide"
"રસોઈયો","acetylphenylhydrazine"
"રસોડું","acetylphenol"
"રહસ્ય","acetylrosaniline"
"રહસ્યમય","acetyls"
"રહે","acetylsalicylate"
"રહેઠાણ","acetylsalicylic"
"રહેણાંક","acetylsalol"
"રહેવું","acetyltannin"
"રાઇડ","acetylthymol"
"રાઈફલ","acetyltropeine"
"રાક્ષસ","acetylurea"
"રાખ","acetimeter"
"રાખવું","acetimetry"
"રાજકારણ","acetimetric"
"રાજકારણી","acetin"
"રાજકીય","acetine"
"રાજકુમાર","acetins"
"રાજકુમારી","acetite"
"રાજદૂત","acetize"
"રાજદ્વારી","acetla"
"રાજા","acetmethylanilide"
"રાજીનામું","acetnaphthalide"
"રાજ્ય","aceto-"
"રાણી","acetoacetanilide"
"રાત","acetoacetate"
"રાત્રિભોજન","acetoacetic"
"રામરામ","acetoamidophenol"
"રાષ્ટ્ર","acetoarsenite"
"રાષ્ટ્રપતિ","Acetobacter"
"રાષ્ટ્રીય","acetobenzoic"
"રાસાયણિક","acetobromanilide"
"રાહત","acetochloral"
"રિંગ","acetocinnamene"
"રિજ","acetoin"
"રિટેલ","acetol"
"રિપોર્ટર","acetolysis"
"રીંછ","acetolytic"
"રીત","acetometer"
"રીપ","acetometry"
"રીમાઇન્ડર","acetometric"
"રીસીવર","acetometrical"
"રુકી","acetometrically"
"રૂઢિચુસ્ત","acetomorphin"
"રૂપક","acetomorphine"
"રૂપરેખા","acetonaemia"
"રૂપાંતર","acetonaemic"
"રેક","acetonaphthone"
"રેકોર્ડ","acetonate"
"રેકોર્ડિંગ","acetonation"
"રેખા","acetone"
"રેટરિક","acetonemia"
"રેટિંગ","acetonemic"
"રેડવું","acetones"
"રેડિયેશન","acetonic"
"રેડિયો","acetonyl"
"રેતી","acetonylacetone"
"રેન્કિંગ","acetonylidene"
"રેન્ડમ","acetonitrile"
"રેન્ડર","acetonization"
"રેલ","acetonize"
"રેલરોડ","acetonuria"
"રેલી","acetonurometer"
"રેશમ","acetophenetide"
"રેસ","acetophenetidin"
"રેસીપી","acetophenetidine"
"રેસ્ટોરન્ટ","acetophenin"
"રોકડ","acetophenine"
"રોકાણ","acetophenone"
"રોકાણકાર","acetopiperone"
"રોકેટ","acetopyrin"
"રોગ","acetopyrine"
"રોગપ્રતિકારક","acetosalicylic"
"રોજગાર","acetose"
"રોબોટ","acetosity"
"રોમન","acetosoluble"
"રોમાંસ","acetostearin"
"રોમેન્ટિક","acetothienone"
"રોલ","acetotoluid"
"રોલિંગ","acetotoluide"
"લંબાઈ","acetotoluidine"
"લંબાવવું","acetous"
"લક્ષણ","acetoveratrone"
"લક્ષ્ય","acetoxyl"
"લખાયેલ","acetoxyls"
"લખો","acetoxim"
"લગભગ","acetoxime"
"લગ્ન","acetoxyphthalide"
"લઘુમતી","acetphenetid"
"લડાઈ","acetphenetidin"
"લપેટી","acetract"
"લય","acettoluide"
"લવચીક","acetum"
"લવચીકતા","aceturic"
"લશ્કર","ACF"
"લશ્કરી","ACGI"
"લસણ","ac-globulin"
"લાંબી","ACH"
"લાઇસન્સ","Achab"
"લાકડાનું","Achad"
"લાકડી","Achaea"
"લાકડું","Achaean"
"લાક્ષણિક","Achaemenes"
"લાક્ષણિકતા","Achaemenian"
"લાગણી","Achaemenid"
"લાગતું","Achaemenidae"
"લાત","Achaemenides"
"લાદવું","Achaemenidian"
"લાભ","Achaemenids"
"લાયક","achaenocarp"
"લાયકાત","Achaenodon"
"લાલ","Achaeta"
"લાવો","achaetous"
"લિંક","Achaeus"
"લિંગ","achafe"
"લિફ્ટ","achage"
"લીંબુ","Achagua"
"લીક","Achaia"
"લીગ","Achaian"
"લીડ","Achakzai"
"લીલા","achalasia"
"લૂંટ","Achamoth"
"લૂપ","Achan"
"લેખ","Achango"
"લેખક","achape"
"લેખન","achaque"
"લેટિન","achar"
"લેન","acharya"
"લેન્ડસ્કેપ","Achariaceae"
"લેન્સ","Achariaceous"
"લેપટોપ","acharne"
"લેફ્ટનન્ટ","acharnement"
"લેબલ","Acharnians"
"લેસર","achate"
"લૉન","Achates"
"લો","Achatina"
"લોક","Achatinella"
"લોકપ્રિયતા","Achatinidae"
"લોકર","achatour"
"લોકશાહી","Achaz"
"લોકસભા","ache"
"લોકો","acheat"
"લોખંડ","achech"
"લોગ","acheck"
"લોટ","ached"
"લોન","acheer"
"લોન્ચ","ACHEFT"
"લોન્ડ્રી","acheilary"
"લોબી","acheilia"
"લોહિયાળ","acheilous"
"લોહી","acheiria"
"વંશીય","acheirous"
"વકીલ","acheirus"
"વક્રોક્તિ","Achelous"
"વખાણ","Achen"
"વગર","achene"
"વગેરે","achenes"
"વચન","achenia"
"વચ્ચે","achenial"
"વજન","achenium"
"વટાવી","achenocarp"
"વડા","achenodia"
"વડીલ","achenodium"
"વતન","acher"
"વતી","Acherman"
"વત્તા","Achernar"
"વધતું","Acheron"
"વધવું","Acheronian"
"વધારવું","Acherontic"
"વધારાનુ","Acherontical"
"વધારાનું","aches"
"વધારો","Acheson"
"વધુ","achesoun"
"વધુમાં","achete"
"વન્યજીવન","Achetidae"
"વપરાયેલ","Acheulean"
"વપરાશ","Acheulian"
"વપરાશકર્તા","acheweed"
"વફાદાર","achy"
"વફાદારી","achier"
"વરસાદ","achiest"
"વરાળ","achievability"
"વરિષ્ઠ","achievable"
"વરુ","achieve"
"વર્કઆઉટ","achieved"
"વર્કશોપ","achievement"
"વર્ગ","achievements"
"વર્ગખંડ","achievement's"
"વર્ગીકરણ","achiever"
"વર્ચ્યુઅલ","achievers"
"વર્ણન","achieves"
"વર્તન","achieving"
"વર્તમાન","ach-y-fi"
"વર્તુળ","achigan"
"વર્તે","achilary"
"વર્ષ","achylia"
"વર્ષગાંઠ","Achill"
"વલણ","Achille"
"વશીકરણ","Achillea"
"વસંત","Achillean"
"વસાહત","achilleas"
"વસાહતી","Achilleid"
"વસિયતનામા","achillein"
"વસ્તી","achilleine"
"વસ્તુ","Achilles"
"વસ્ત્ર","Achillize"
"વહન","achillobursitis"
"વહાણ","achillodynia"
"વહીવટ","achilous"
"વહીવટી","achylous"
"વહેચણી","Achimaas"
"વહેલું","achime"
"વળતર","Achimelech"
"વળાંક","Achimenes"
"વાંચન","achymia"
"વાંચવું","achymous"
"વાંધો","Achinese"
"વાઇન","achiness"
"વાઇરસ","achinesses"
"વાઇસ","aching"
"વાકેફ","achingly"
"વાક્ય","achiote"
"વાગ્યા","achiotes"
"વાઘ","achira"
"વાચક","Achyranthes"
"વાજબી","achirite"
"વાટકી","Achyrodes"
"વાટવું","Achish"
"વાટાઘાટો","Achitophel"
"વાડ","achkan"
"વાણિજ્ય","achlamydate"
"વાત","Achlamydeae"
"વાતચીત","achlamydeous"
"વાતાવરણ","achlorhydria"
"વાદળ","achlorhydric"
"વાદળી","achlorophyllous"
"વાન","achloropsia"
"વાનગી","achluophobia"
"વાનર","Achmed"
"વાપરવુ","Achmetha"
"વાયર","achoke"
"વારંવાર","acholia"
"વારસો","acholias"
"વાર્તા","acholic"
"વાર્તાકાર","Acholoe"
"વાર્ષિક","acholous"
"વાલી","acholuria"
"વાસ્તવિક","acholuric"
"વાસ્તવિકતા","Achomawi"
"વાહ","achondrite"
"વાહક","achondritic"
"વાહન","achondroplasia"
"વાહિયાત","achondroplastic"
"વાળ","achoo"
"વાળવું","achor"
"વિ","achordal"
"વિકલ્પ","Achordata"
"વિકાસ","achordate"
"વિકાસકર્તા","Achorion"
"વિકાસલક્ષી","Achorn"
"વિકાસશીલ","Achras"
"વિક્રેતા","achree"
"વિક્ષેપ","achroacyte"
"વિગત","Achroanthes"
"વિગતવાર","achrodextrin"
"વિચલિત","achrodextrinase"
"વિચાર","achroglobin"
"વિચારણા","achroiocythaemia"
"વિચારધારા","achroiocythemia"
"વિચારો","achroite"
"વિચિત્ર","achroma"
"વિચિત્ર","achromacyte"
"વિજય","achromasia"
"વિજેતા","achromat"
"વિજ્ઞાન","achromat-"
"વિટામિન","achromate"
"વિડિઓ","Achromatiaceae"
"વિતરણ","achromatic"
"વિદેશમાં","achromatically"
"વિદેશી","achromaticity"
"વિદ્યાર્થી","achromatin"
"વિદ્યુત","achromatinic"
"વિદ્વાન","achromatisation"
"વિનંતી","achromatise"
"વિનમ્ર","achromatised"
"વિનાશ","achromatising"
"વિનિમય","achromatism"
"વિપરીત","Achromatium"
"વિભાગ","achromatizable"
"વિભાજન","achromatization"
"વિભાવના","achromatize"
"વિમાન","achromatized"
"વિરામ","achromatizing"
"વિરુદ્ધ","achromatocyte"
"વિરોધ","achromatolysis"
"વિરોધી","achromatope"
"વિલંબ","achromatophil"
"વિવાદ","achromatophile"
"વિવાદાસ્પદ","achromatophilia"
"વિવિધ","achromatophilic"
"વિવિધતા","achromatopia"
"વિવેચક","achromatopsy"
"વિશાળ","achromatopsia"
"વિશિષ્ટ","achromatosis"
"વિશે","achromatous"
"વિશેષાધિકાર","achromats"
"વિશ્લેષક","achromaturia"
"વિશ્લેષણ","achromia"
"વિશ્વભરમાં","achromic"
"વિશ્વસનીય","Achromycin"
"વિશ્વસનીયતા","Achromobacter"
"વિશ્વાસ","Achromobacterieae"
"વિશ્વાસુ","achromoderma"
"વિષય","achromophilous"
"વિસ્તરણ","achromotrichia"
"વિસ્તાર","achromous"
"વિસ્તૃત","achronical"
"વિસ્ફોટ","achronychous"
"વીજળી","achronism"
"વીમા","achroo-"
"વીસ","achroodextrin"
"વૃક્ષ","achroodextrinase"
"વૃત્તિ","achroous"
"વૃદ્ધ","achropsia"
"વૃદ્ધિ","Achsah"
"વેકેશન","achtehalber"
"વેગ","achtel"
"વેગન","achtelthaler"
"વેચાણ","achter"
"વેતન","achterveld"
"વેદના","Achuas"
"વેપાર","achuete"
"વેપારી","acy"
"વેબ","acyanoblepsia"
"વેબસાઇટ","acyanopsia"
"વેમ્પાયર","acichlorid"
"વૈકલ્પિક","acichloride"
"વૈચારિક","acyclic"
"વૈજ્ઞાનિક","acyclically"
"વૈશ્વિક","acicula"
"વોરંટ","aciculae"
"વોર્મિંગ","acicular"
"વોલ્યુમ","acicularity"
"વ્યક્ત","acicularly"
"વ્યક્તિ","aciculas"
"વ્યક્તિગત","aciculate"
"વ્યક્તિત્વ","aciculated"
"વ્યવસાય","aciculum"
"વ્યવસાયી","aciculums"
"વ્યવસ્થા","acid"
"વ્યવસ્થાપન","acidaemia"
"વ્યવહારુ","Acidalium"
"વ્યસન","Acidanthera"
"વ્યસ્ત","Acidaspis"
"વ્યાખ્યા","acid-binding"
"વ્યાખ્યાન","acidemia"
"વ્યાજ","acidemias"
"વ્યાપક","acider"
"વ્યાપકપણે","acid-fast"
"વ્યાપારી","acid-fastness"
"વ્યાવસાયિક","acid-forming"
"વ્યૂહરચના","acidhead"
"વ્યૂહાત્મક","acid-head"
"વ્હેલ","acidheads"
"શંકા","acidy"
"શંકાસ્પદ","acidic"
"શકવું","acidiferous"
"શક્તિ","acidify"
"શક્તિશાળી","acidifiable"
"શક્ય","acidifiant"
"શક્યતા","acidific"
"શટલ","acidification"
"શનગાર","acidified"
"શનિવાર","acidifier"
"શબ્દ","acidifiers"
"શબ્દભંડોળ","acidifies"
"શબ્દસમૂહ","acidifying"
"શરણાર્થી","acidyl"
"શરત","acidimeter"
"શરતો","acidimetry"
"શરમ","acidimetric"
"શરમજનક","acidimetrical"
"શરમાવું","acidimetrically"
"શરમાળ","acidite"
"શરીર","acidity"
"શરૂઆત","acidities"
"શરૂઆતથી","acidize"
"શરૂઆતમાં","acidized"
"શર્ટ","acidizing"
"શસ્ત્ર","acidly"
"શહેર","acidness"
"શહેરી","acidnesses"
"શાંત","acidogenic"
"શાંતિ","acidoid"
"શાંતિથી","acidolysis"
"શાંતિપૂર્ણ","acidology"
"શાકભાજી","acidometer"
"શાખા","acidometry"
"શાણપણ","acidophil"
"શાબ્દિક","acidophile"
"શાર્ક","acidophilic"
"શાશ્વત","acidophilous"
"શાસન","acidophilus"
"શાસ્ત્ર","acidoproteolytic"
"શાસ્ત્રીય","acidoses"
"શાહી","acidosis"
"શાળા","acidosteophyte"
"શિકાર","acidotic"
"શિકારી","acidproof"
"શિક્ષક","acids"
"શિક્ષણ","acid-treat"
"શિક્ષિત","acidulant"
"શિબિર","acidulate"
"શિયાળો","acidulated"
"શિલ્પ","acidulates"
"શિશુ","acidulating"
"શિષ્યવૃત્તિ","acidulation"
"શિસ્ત","acidulent"
"શીખનાર","acidulous"
"શીખવું","acidulously"
"શીખવો","acidulousness"
"શીખો","aciduria"
"શીટ","acidurias"
"શીર્ષક","aciduric"
"શું","Acie"
"શુક્રવાર","acier"
"શુદ્ધ","acierage"
"શુષ્ક","Acieral"
"શૂટ","acierate"
"શૂટિંગ","acierated"
"શૂન્ય","acierates"
"શેતાન","acierating"
"શેર","acieration"
"શેરિફ","acies"
"શેરી","acyesis"
"શેલ","acyetic"
"શેલ્ફ","aciform"
"શૈક્ષણિક","acyl"
"શૈલી","acylal"
"શોધ","acylamido"
"શોધવું","acylamidobenzene"
"શોધો","acylamino"
"શોષણ","acylase"
"શૌચાલય","acylate"
"શ્રીમંત","acylated"
"શ્રેણી","acylates"
"શ્રેષ્ઠ","acylating"
"શ્લોક","acylation"
"શ્વાસ","aciliate"
"સંકળાયેલ","aciliated"
"સંકેત","Acilius"
"સંકોચો","acylogen"
"સંક્રમણ","acyloin"
"સંક્ષિપ્ત","acyloins"
"સંખ્યા","acyloxy"
"સંગઠન","acyloxymethane"
"સંગીત","acyls"
"સંગીતકાર","Acima"
"સંગીતમય","acinaceous"
"સંગ્રહ","acinaces"
"સંગ્રહાલય","acinacifoliate"
"સંઘ","acinacifolious"
"સંઘર્ષ","acinaciform"
"સંઘીય","acinacious"
"સંચાર","acinacity"
"સંચાલક","acinar"
"સંચાલન","acinary"
"સંજોગો","acinarious"
"સંડોવણી","Acineta"
"સંત","Acinetae"
"સંતુલન","acinetan"
"સંતોષ","Acinetaria"
"સંતોષવા","acinetarian"
"સંદર્ભ","acinetic"
"સંદેશ","acinetiform"
"સંધિ","Acinetina"
"સંપત્તિ","acinetinan"
"સંપર્ક","acing"
"સંપાદક","acini"
"સંપાદન","acinic"
"સંપૂર્ણ","aciniform"
"સંપૂર્ણપણે","acinose"
"સંબંધ","acinotubular"
