"Yoruba","English"
"pẹlu","acetylacetone"
"pẹlú","acetylamine"
"pẹlupẹlu","acetylaminobenzene"
"pese","acetylaniline"
"pẹtẹẹsì","acetylasalicylic"
"pẹtẹpẹtẹ","acetylate"
"petirolu","acetylated"
"piano","acetylating"
"pilẹṣẹ","acetylation"
"pin","acetylative"
"Pin","acetylator"
"pín","acetylbenzene"
"pine","acetylbenzoate"
"Pink","acetylbenzoic"
"pinnu","acetylbiuret"
"pinpin","acetylcarbazole"
"pipa","acetylcellulose"
"pipaṣẹ","acetylcholine"
"pipe","acetylcholinesterase"
"pipin","acetylcholinic"
"Pirate","acetylcyanide"
"pizza","acetylenation"
"pm","acetylene"
"pọ","acetylenediurein"
"pọọku","acetylenes"
"póòpù","acetylenic"
"põra","acetylenyl"
"portfolio","acetylenogen"
"pq","acetylfluoride"
"pro","acetylglycin"
"processing","acetylglycine"
"profaili","acetylhydrazine"
"protest","acetylic"
"protester","acetylid"
"pulse","acetylide"
"Punch","acetyliodide"
"pupa","acetylizable"
"pupo","acetylization"
"pupọ","acetylize"
"Pupọ","acetylized"
"purọ","acetylizer"
"puzzle","acetylizing"
"ra","acetylmethylcarbinol"
"rada","acetylperoxide"
"ran","acetylphenylhydrazine"
"ranti","acetylphenol"
"rara","acetylrosaniline"
"ratio","acetyls"
"ray","acetylsalicylate"
"re","acetylsalicylic"
"reasonable","acetylsalol"
"redio","acetyltannin"
"registration","acetylthymol"
"reluwe","acetyltropeine"
"reportedly","acetylurea"
"rere","acetimeter"
"rerin","acetimetry"
"Reserve","acetimetric"
"resistance","acetin"
"reti","acetine"
"ri","acetins"
"RÍ","acetite"
"riboribo","acetize"
"rikisi","acetla"
"rilara","acetmethylanilide"
"rin","acetnaphthalide"
"Rìn","aceto-"
"rinlẹ","acetoacetanilide"
"ripi","acetoacetate"
"rira","acetoacetic"
"rirọpo","acetoamidophenol"
"ro","acetoarsenite"
"rọ","Acetobacter"
"Rob","acetobenzoic"
"roboti","acetobromanilide"
"Rocket","acetochloral"
"rogbodiyan","acetocinnamene"
"rogodo","acetoin"
"romantic","acetol"
"romu","acetolysis"
"ropo","acetolytic"
"rọra","acetometer"
"rorun","acetometry"
"rọrun","acetometric"
"royal","acetometrical"
"ru","acetometrically"
"rú","acetomorphin"
"rub","acetomorphine"
"rudurudu","acetonaemia"
"run","acetonaemic"
"russia","acetonaphthone"
"sá","acetonate"
"ṣaaju","acetonation"
"saami","acetone"
"ṣàdánwò","acetonemia"
"sadeedee","acetonemic"
"ṣafikun","acetones"
"ṣagbe","acetonic"
"saikolojisiti","acetonyl"
"s'aiye","acetonylacetone"
"sajenti","acetonylidene"
"ṣakiyesi","acetonitrile"
"ṣakoso","acetonization"
"saladi","acetonize"
"salaye","acetonuria"
"sami","acetonurometer"
"samisi","acetophenetide"
"sample","acetophenetidin"
"ṣàníyàn","acetophenetidine"
"sanlalu","acetophenin"
"sanra","acetophenine"
"sanwo","acetophenone"
"sare","acetopiperone"
"satelaiti","acetopyrin"
"satẹlaiti","acetopyrine"
"satunkọ","acetosalicylic"
"satunṣe","acetose"
"Saturday","acetosity"
"ṣawari","acetosoluble"
"sayensi","acetostearin"
"ṣayẹwo","acetothienone"
"se","acetotoluid"
"sẹ","acetotoluide"
"ṣe","acetotoluidine"
"ṣẹda","acetous"
"sedede","acetoveratrone"
"sẹẹli","acetoxyl"
"seese","acetoxyls"
"seeti","acetoxim"
"ṣẹlẹ","acetoxime"
"selifu","acetoxyphthalide"
"sensọ","acetphenetid"
"ṣepọ","acetphenetidin"
"sese","acetract"
"sẹsẹ","acettoluide"
"setan","acetum"
"seto","aceturic"
"ṣeto","ACF"
"ṣetọju","ACGI"
"ṣetọrẹ","ac-globulin"
"setumo","ACH"
"seyin","Achab"
"Sheriff","Achad"
"shield","Achaea"
"shot","Achaean"
"shove","Achaemenes"
"si","Achaemenian"
"sibe","Achaemenid"
"Sibe","Achaemenidae"
"sibẹsibẹ","Achaemenides"
"sibling","Achaemenidian"
"sibomiiran","Achaemenids"
"sidewalk","achaenocarp"
"siga","Achaenodon"
"sigh","Achaeta"
"ṣii","achaetous"
"siki","Achaeus"
"sikolashipu","achafe"
"Sílà","achage"
"sile","Achagua"
"silẹ","Achaia"
"siliki","Achaian"
"simẹnti","Achakzai"
"simi","achalasia"
"sin","Achamoth"
"sìn","Achan"
"Sinmi","Achango"
"ṣinṣin","achape"
"sinu","achaque"
"sipaki","achar"
"sipeli","acharya"
"sir","Achariaceae"
"Siria","Achariaceous"
"sisan","acharne"
"ṣiṣan","acharnement"
"sise","Acharnians"
"ṣiṣe","achate"
"ṣiṣẹ","Achates"
"siseto","Achatina"
"ṣiṣi","Achatinella"
"ṣiṣu","Achatinidae"
"sisun","achatour"
"sit","Achaz"
"siwaju","ache"
"ṣiyemeji","acheat"
"slam","achech"
"so","acheck"
"sọ","ached"
"ṣọ","acheer"
"sock","ACHEFT"
"soda","acheilary"
"sode","acheilia"
"ṣodi","acheilous"
"software","acheiria"
"sọfun","acheirous"
"ṣojulọyin","acheirus"
"sokale","Achelous"
"ṣọkan","Achen"
"soke","achene"
"soko","achenes"
"sokoto","achenia"
"sonipa","achenial"
"sonu","achenium"
"sọnu","achenocarp"
"soobu","achenodia"
"sopọ","achenodium"
"ṣọra","acher"
"sori","Acherman"
"soro","Achernar"
"sọrọ","Acheron"
"Soviet","Acheronian"
"ṣọwọn","Acherontic"
"spare","Acherontical"
"statistiki","aches"
"steki","Acheson"
"subu","achesoun"
"ṣubu","achete"
"suga","Achetidae"
"şuga","Acheulean"
"sugbon","Acheulian"
"suite","acheweed"
"sun","achy"
"Sunday","achier"
"sunmo","achiest"
"Super","achievability"
"sure","achievable"
"suuru","achieve"
"suwiti","achieved"
"Syeed","achievement"
"ta","achievements"
"taabu","achievement's"
"taara","achiever"
"Taara","achievers"
"taba","achieves"
"tabi","achieving"
"tabili","ach-y-fi"
"tablespoon","achigan"
"tabulẹti","achilary"
"tag","achylia"
"tai","Achill"
"takiti","Achille"
"tako","Achillea"
"talaka","Achillean"
"talenti","achilleas"
"tàn","Achilleid"
"tani","achillein"
"tànkálẹ","achilleine"
"tapa","Achilles"
"taratara","Achillize"
"tatuu","achillobursitis"
"taya","achillodynia"
"tcnu","achilous"
"te","achylous"
"tẹ","Achimaas"
"teammate","achime"
"teaspoon","Achimelech"
"teepu","Achimenes"
"tekinikali","achymia"
"tekinoloji","achymous"
"tele","Achinese"
"tẹle","achiness"
"tẹlẹ","achinesses"
"tẹlifisiọnu","aching"
"tẹlifoonu","achingly"
"temi","achiote"
"temilorun","achiotes"
"tẹmpili","achira"
"tẹnisi","Achyranthes"
"tente","achirite"
"Teriba","Achyrodes"
"tesiwaju","Achish"
"tẹsiwaju","Achitophel"
"tete","achkan"
"tẹtẹ","achlamydate"
"ti","Achlamydeae"
"Ti","achlamydeous"
"tii","achlorhydria"
"tiipa","achlorhydric"
"tiju","achlorophyllous"
"tikalararẹ","achloropsia"
"Tiketi","achluophobia"
"tilẹ","Achmed"
"timole","Achmetha"
"timotimo","achoke"
"tinrin","acholia"
"tirẹ","acholias"
"Tirẹ","acholic"
"tirela","Acholoe"
"tita","acholous"
"titẹ","acholuria"
"titẹnumọ","acholuric"
"titẹsi","Achomawi"
"titi","achondrite"
"titiipa","achondritic"
"titobi","achondroplasia"
"titun","achondroplastic"
"titunṣe","achoo"
"tiwa","achor"
"tiwantiwa","achordal"
"tiwon","Achordata"
"tiwqn","achordate"
"to","Achorion"
"tọ","Achorn"
"tobi","Achras"
"toje","achree"
"toju","achroacyte"
"tọju","Achroanthes"
"tọkasi","achrodextrin"
"Tọki","achrodextrinase"
"tọkọtaya","achroglobin"
"tolesese","achroiocythaemia"
"t'olofin","achroiocythemia"
"tomati","achroite"
"tona","achroma"
"tongue","achromacyte"
"too","achromasia"
"Tropical","achromat"
"t-shirt","achromat-"
"tú","achromate"
"tube","Achromatiaceae"
"tubu","achromatic"
"tuck","achromatically"
"Tuesday","achromaticity"
"tumo","achromatin"
"tumọ","achromatinic"
"tumosi","achromatisation"
"tun","achromatise"
"tune","achromatised"
"tun-idibo","achromatising"
"tunse","achromatism"
"tunu","Achromatium"
"turtle","achromatizable"
"tutọ","achromatization"
"tutu","achromatize"
"tũtu","achromatized"
"tv","achromatizing"
"twitter","achromatocyte"
"um","achromatolysis"
"Uncomfortable","achromatope"
"undertake","achromatophil"
"unfold","achromatophile"
"unh","achromatophilia"
"unknown","achromatophilic"
"vitamin","achromatopia"
"vs","achromatopsy"
"wa","achromatopsia"
"wá","achromatosis"
"wahala","achromatous"
"waini","achromats"
"wakati","achromaturia"
"wakọ","achromia"
"walẹ","achromic"
"wara","Achromycin"
"warankasi","Achromobacter"
"waworan","Achromobacterieae"
"waye","achromoderma"
"we","achromophilous"
"wẹ","achromotrichia"
"Wednesday","achromous"
"were","achronical"
"whisper","achronychous"
"wín","achronism"
"wire","achroo-"
"wiwa","achroodextrin"
"wiwakọ","achroodextrinase"
"wiwo","achroous"
"wiwọle","achropsia"
"wiwọn","Achsah"
"Wiwulo","achtehalber"
"wo","achtel"
"wọ","achtelthaler"
"woju","achter"
"wọle","achterveld"
"woli","Achuas"
"won","achuete"
"wọn","acy"
"woo","acyanoblepsia"
"wọpọ","acyanopsia"
"wulo","acichlorid"
"wuni","acichloride"
"wura","acyclic"
"yá","acyclically"
"yà","acicula"
"yan","aciculae"
"yàn","acicular"
"yangan","acicularity"
"yanilenu","acicularly"
"yanju","aciculas"
"yara","aciculate"
"yàrá","aciculated"
"yasọtọ","aciculum"
"yato","aciculums"
"yatọ","acid"
"yàtọ","acidaemia"
"yawo","Acidalium"
"ye","Acidanthera"
"yẹ","Acidaspis"
"yege","acid-binding"
"yeri","acidemia"
"yeye","acidemias"
"yika","acider"
"yinyin","acid-fast"
"yio","acid-fastness"
"yipada","acid-forming"
"yipo","acidhead"
"yiya","acid-head"
"yiyan","acidheads"
"yiyara","acidy"
"yiyipada","acidic"
"yiyọ","acidiferous"
"yo","acidify"
"yó","acidifiable"
"yọ","acidifiant"
"yọǹda","acidific"
