"Kinyarwanda","English"
"Palestine","acescents"
"papa","aceship"
"parike","Acesius"
"pariki","acesodyne"
"particle","acesodynous"
"pasiteri","Acessamenus"
"pc","Acestes"
"perezida","acestoma"
"Perezida","acet-"
"Peteroli-amavuta","aceta"
"photography","acetable"
"Pipeline","acetabula"
"pisine","acetabular"
"piss","Acetabularia"
"Piye","acetabuliferous"
"pizza","acetabuliform"
"play","acetabulous"
"pm","acetabulum"
"politiki","acetabulums"
"pop","acetacetic"
"porogaramu","acetal"
"Porogaramu","acetaldehydase"
"poropagande","acetaldehyde"
"Porotokole","acetaldehydrase"
"portrait","acetaldol"
"post","acetalization"
"pro","acetalize"
"proteine","acetals"
"psychologie","acetamid"
"pulasitiki","acetamide"
"pulse","acetamidin"
"Purafo","acetamidine"
"quality","acetamido"
"quarterback","acetamids"
"radiyo","acetaminol"
"ranking","Acetaminophen"
"raporo","acetanilid"
"rating","acetanilide"
"raw","acetanion"
"re","acetaniside"
"REACH","acetanisidide"
"re-amatora","acetanisidine"
"reba","acetannin"
"Reba","acetary"
"reka","acetarious"
"remezo","acetars"
"Rep","acetarsone"
"republika","acetate"
"Repubulika","acetated"
"resitora","acetates"
"rid","acetation"
"rikorerwa","acetazolamide"
"rikunze","acetbromamide"
"rimwe","acetenyl"
"rindira","Acetes"
"rirambye","acethydrazide"
"rirenga","acetiam"
"rirenze","acetic"
"rirerire","acetify"
"rishinzwe","acetification"
"ritangaje","acetified"
"riva","acetifier"
"roketi","acetifies"
"Roman","acetifying"
"rookie","acetyl"
"Rose","acetylacetonates"
"route","acetylacetone"
"rubanza","acetylamine"
"RUBOZAMIZI","acetylaminobenzene"
"rudandaza","acetylaniline"
"rugakora","acetylasalicylic"
"rugamba","acetylate"
"rugero","acetylated"
"ruguru","acetylating"
"ruhande","acetylation"
"ruheta","acetylative"
"rujijo","acetylator"
"rukiko","acetylbenzene"
"rukomeye","acetylbenzoate"
"Rukururana","acetylbenzoic"
"Rukuruzi","acetylbiuret"
"rumwe","acetylcarbazole"
"runaka","acetylcellulose"
"runner","acetylcholine"
"runtu","acetylcholinesterase"
"rusange","acetylcholinic"
"Rusaye","acetylcyanide"
"Russian","acetylenation"
"ruswa","acetylene"
"rutugu","acetylenediurein"
"rw","acetylenes"
"rwagutse","acetylenic"
"rwihishwa","acetylenyl"
"rw'imbaraga","acetylenogen"
"rw'inyuma","acetylfluoride"
"rwiyemezamirimo","acetylglycin"
"rwobo","acetylglycine"
"rwose","acetylhydrazine"
"ryari","acetylic"
"ryugaye","acetylid"
"sasita","acetylide"
"Satani","acetyliodide"
"sawa","acetylizable"
"scan","acetylization"
"Scout","acetylize"
"se","acetylized"
"sekuru","acetylizer"
"sekuruza","acetylizing"
"Sena","acetylmethylcarbinol"
"Senateri","acetylperoxide"
"senga","acetylphenylhydrazine"
"Seriveri","acetylphenol"
"serivisi","acetylrosaniline"
"serwakira","acetyls"
"Setilite","acetylsalicylate"
"sexy","acetylsalicylic"
"shake","acetylsalol"
"shakisha","acetyltannin"
"shampiyona","acetylthymol"
"sheer","acetyltropeine"
"Sheviye","acetylurea"
"shikiriza","acetimeter"
"shingiro","acetimetry"
"shit","acetimetric"
"shobuja","acetin"
"Shokoko","acetine"
"shopping","acetins"
"shuttle","acetite"
"shyira","acetize"
"shyiramo","acetla"
"silly","acetmethylanilide"
"Simbuka","acetnaphthalide"
"siporo","aceto-"
"Sisitemu","acetoacetanilide"
"sita","acetoacetate"
"Sitati","acetoacetic"
"siyanse","acetoamidophenol"
"siyansi","acetoarsenite"
"slam","Acetobacter"
"sobanura","acetobenzoic"
"Sobanura","acetobromanilide"
"sock","acetochloral"
"soda","acetocinnamene"
"sodium","acetoin"
"soft","acetol"
"solo","acetolysis"
"soma","acetolytic"
"sosiyete","acetometer"
"southern","acetometry"
"spectrum","acetometric"
"stade","acetometrical"
"stage","acetometrically"
"stair","acetomorphin"
"station","acetomorphine"
"stock","acetonaemia"
"studio","acetonaemic"
"subiza","acetonaphthone"
"suburban","acetonate"
"suite","acetonation"
"suka","acetone"
"sweetheart","acetonemia"
"swing","acetonemic"
"Syria","acetones"
"tab","acetonic"
"tablespoon","acetonyl"
"tanga","acetonylacetone"
"tangira","acetonylidene"
"Tech","acetonitrile"
"tegereza","acetonization"
"tekereza","acetonize"
"tekiniki","acetonuria"
"telefone","acetonurometer"
"teleskope","acetophenetide"
"televiziyo","acetophenetidin"
"tewolojiya","acetophenetidine"
"theoretical","acetophenin"
"tide","acetophenine"
"tiga","acetophenone"
"touchdown","acetopiperone"
"tour","acetopyrin"
"transit","acetopyrine"
"translation","acetosalicylic"
"Trend","acetose"
"trillion","acetosity"
"t-shirt","acetosoluble"
"Tubitangire","acetostearin"
"tugitegereje","acetothienone"
"Turirimbire","acetotoluid"
"turkey","acetotoluide"
"tuvuge","acetotoluidine"
"TV","acetous"
"Twashyize","acetoveratrone"
"twe","acetoxyl"
"Twige","acetoxyls"
"twitter","acetoxim"
"twizere","acetoxime"
"ubahindura","acetoxyphthalide"
"ubashe","acetphenetid"
"Uberewe","acetphenetidin"
"ubireba","acetract"
"ububabare","acettoluide"
"ububasha","acetum"
"Ububasha","aceturic"
"Ububi","ACF"
"ububiko","ACGI"
"Ububiko","ac-globulin"
"ububikoshingiro","ACH"
"ubucuruzi","Achab"
"ubucuti","Achad"
"Ubudage","Achaea"
"ubufasha","Achaean"
"ubufatanye","Achaemenes"
"ubufindo","Achaemenian"
"ubugari","Achaemenid"
"ubugenge","Achaemenidae"
"ubugingo","Achaemenides"
"ubugome","Achaemenidian"
"Ubuhacye","Achaemenids"
"ubuhamya","achaenocarp"
"ubuhanga","Achaenodon"
"ubuhanzi","Achaeta"
"ubuhinzi","achaetous"
"ubujiji","Achaeus"
"ubujyakuzimu","achafe"
"ubujyanama","achage"
"ubukafi","Achagua"
"ubukana","Achaia"
"ubukangurambaga","Achaian"
"ubukene","Achakzai"
"ubuki","achalasia"
"ubukirisitu","Achamoth"
"ubukomere","Achan"
"Ubukonje","Achango"
"ubukorikori","achape"
"ubukungu","achaque"
"ubukwe","achar"
"Ubulangiti","acharya"
"ubumana","Achariaceae"
"ubumenyi","Achariaceous"
"Ubumenyi","acharne"
"ubumuga","acharnement"
"ubumwe","Acharnians"
"Ubumwe","achate"
"ubundi","Achates"
"ubungubu","Achatina"
"ubuntu","Achatinella"
"ubunyangamugayo","Achatinidae"
"uburakari","achatour"
"uburambe","Achaz"
"uburebure","ache"
"uburemere","acheat"
"uburenganzira","achech"
"uburezi","acheck"
"uburiganya","ached"
"uburigunge","acheer"
"uburimbane","ACHEFT"
"uburinganire","acheilary"
"Uburogi","acheilia"
"uburyo","acheilous"
"uburyohe","acheiria"
"ubusa","acheirous"
"ubusanzwe","acheirus"
"Ubusanzwe","Achelous"
"Ubusawe","Achen"
"ubushakashatsi","achene"
"ubushake","achenes"
"ubushinjacyaha","achenia"
"ubushishozi","achenial"
"ubushobozi","achenium"
"Ubushobozi","achenocarp"
"Ubushushanyi","achenodia"
"ubushyuhe","achenodium"
"Ubuso","acher"
"ubusukiro","Acherman"
"ubutabera","Achernar"
"ubutaha","Acheron"
"ubutaka","Acheronian"
"ubutayu","Acherontic"
"Ubutayu","Acherontical"
"ubutegetsi","aches"
"ubutoni","Acheson"
"ubutumire","achesoun"
"ubutumwa","achete"
"Ubutumwa","Achetidae"
"ubutungulu","Acheulean"
"ubutunzi","Acheulian"
"ubutwari","acheweed"
"ubuvanganzo","achy"
"ubuvumbuzi","achier"
"ubuvuzi","achiest"
"ubuyobozi","achievability"
"ubuzima","achievable"
"ubuzima-kwita","achieve"
"ubwabo","achieved"
"ubwacu","achievement"
"ubwami","achievements"
"ubwato","achievement's"
"ubwatsi","achiever"
"ubwayo","achievers"
"ubwe","achieves"
"ubwemeracyaha","achieving"
"ubwenegihugu","ach-y-fi"
"ubwenge","achigan"
"ubwibone","achilary"
"ubwicanyi","achylia"
"Ubwicyani","Achill"
"ubwigenge","Achille"
"ubwimvikane","Achillea"
"ubwishingizi","Achillean"
"ubwitonzi","achilleas"
"ubwiyahuzi","Achilleid"
"ubwiza","achillein"
"ubwoba","achilleine"
"Ubwoba","Achilles"
"ubwoko","Achillize"
"Ubwoko","achillobursitis"
"ubwonko","achillodynia"
"Ubyubutetsi","achilous"
"udaharanira","achylous"
"Udokoko","Achimaas"
"uduhimba","achime"
"udushya","Achimelech"
"ufotora","Achimenes"
"Ugamije","achymia"
"ugenzura","achymous"
"ugereranyije","Achinese"
"Ugushyingo","achiness"
"ugutwi","achinesses"
"uh","aching"
"uhagarariye","achingly"
"uhamagaye","achiote"
"Uh-hum","achiotes"
"ukekwaho","achira"
"ukingiriza","Achyranthes"
"Ukogiteye","achirite"
"ukomeye","Achyrodes"
"ukuboko","Achish"
"Ukuboza","Achitophel"
"ukudahemuka","achkan"
"ukuguru","achlamydate"
"ukujijuka","Achlamydeae"
"ukundi","achlamydeous"
"ukuntu","achlorhydria"
"ukuri","achlorhydric"
"ukurikije","achlorophyllous"
"ukuza","achloropsia"
"ukwakira","achluophobia"
"Ukwakira","Achmed"
"ukwezi","Achmetha"
"Ukwihuza","achoke"
"ukwizera","acholia"
"Ulwenya","acholias"
"um","acholic"
"umenetse","Acholoe"
"umubano","acholous"
"umubare","acholuria"
"Umubazi","acholuric"
"umubeshi","Achomawi"
"umubiri","achondrite"
"umubumbe","achondritic"
"umubwiriza","achondroplasia"
"umubyeyi","achondroplastic"
"Umubyinyi","achoo"
"umucamanza","achor"
"umucanga","achordal"
"umucebe","Achordata"
"umuceli","achordate"
"umuco","Achorion"
"umucuruzi","Achorn"
"Umucyene","Achras"
"Umucyinyi","achree"
"umucyo","achroacyte"
"umudendezo","Achroanthes"
"umufana","achrodextrin"
"umufasha","achrodextrinase"
"umufatanyabikorwa","achroglobin"
"umuforomo","achroiocythaemia"
"umufuka","achroiocythemia"
"Umufuka","achroite"
"umufungwa","achroma"
"umugabane","achromacyte"
"Umugabane","achromasia"
"umugabo","achromat"
"umugambi","achromat-"
"umuganga","achromate"
"umugani","Achromatiaceae"
"umugaragu","achromatic"
"umugati","achromatically"
"umugeni","achromaticity"
"umugenzi","achromatin"
"umugenzo","achromatinic"
"Umugenzuzi","achromatisation"
"umugereka","achromatise"
"Umugeri","achromatised"
"umugezi","achromatising"
"umugisha","achromatism"
"Umugisha","Achromatium"
"umugore","achromatizable"
"umugozi","achromatization"
"Umugunguzi","achromatize"
"umuguzi","achromatized"
"umugwaneza","achromatizing"
"umuhamya","achromatocyte"
"umuhanda","achromatolysis"
"Umuhanda","achromatope"
"umuhanuzi","achromatophil"
"umuhanzi","achromatophile"
"umuheto","achromatophilia"
"umuhigi","achromatophilic"
"Umuhinde","achromatopia"
"umuhinzi","achromatopsy"
"umuhogo","achromatopsia"
"Umuhombyi","achromatosis"
"umuhondo","achromatous"
"umuhungu","achromats"
"umuhuzabikorwa","achromaturia"
"umuja","achromia"
"umujenzi","achromic"
"umujinya","Achromycin"
"umujura","Achromobacter"
"umujyanama","Achromobacterieae"
"umujyi","achromoderma"
"umukambwe","achromophilous"
"umukandara","achromotrichia"
"umukandida","achromous"
"umukara","achronical"
"Umukati","achronychous"
"umukinnyi","achronism"
"umukino","achroo-"
"umukire","achroodextrin"
"umukobwa","achroodextrinase"
"Umukonda","achroous"
"umukono","achropsia"
"Umukono","Achsah"
"umukorerabushake","achtehalber"
"umukoresha","achtel"
"Umukoresha","achtelthaler"
"umukoro","achter"
"Umukoro","achterveld"
"umukozi","Achuas"
"Umukozi","achuete"
"Umukristo","acy"
"umukubuzo","acyanoblepsia"
"umukungugu","acyanopsia"
"Umulinotie","acichlorid"
"umulizo","acichloride"
"umulokotsi","acyclic"
"umumarayika","acyclically"
"Umumaro","acicula"
"umunani","aciculae"
"umunara","acicular"
"umunebwe","acicularity"
"Umunebwe","acicularly"
"umunetsi","aciculas"
"umunezero","aciculate"
"umunota","aciculated"
"umunsi","aciculum"
"umuntu","aciculums"
"umunwa","acid"
"umunyabwenge","acidaemia"
"umunyamabanga","Acidalium"
"umunyamakuru","Acidanthera"
"Umunyamategeko","Acidaspis"
"umunyamerika","acid-binding"
"umunyamuryango","acidemia"
"Umunyamwete","acidemias"
"umunyapolitiki","acider"
"Umunyeshaba","acid-fast"
"umunyeshuri","acid-fastness"
"Umunyeshyaka","acid-forming"
"umunyu","acidhead"
"umupaka","acid-head"
"umupfapfa","acidheads"
"umupira","acidy"
"Umupira","acidic"
"umupolisi","acidiferous"
"umurabyo","acidify"
"umurage","acidifiable"
"Umurego","acidifiant"
"umuremyi","acidific"
"Umurenge","acidification"
"umurima","acidified"
"umurimo","acidifier"
"umuriro","acidifiers"
"umurongo","acidifies"
"Umurongo","acidifying"
"Umurozi","acidyl"
"umurwa","acidimeter"
"Umurwanyi","acidimetry"
"umuryango","acidimetric"
"umusanzu","acidimetrical"
"Umusanzu","acidimetrically"
"umusaraba","acidite"
"umusaruro","acidity"
"Umusate","acidities"
"umusatsi","acidize"
"umusazi","acidized"
"Umusege","acidizing"
"umusego","acidly"
"umusenyeri","acidness"
"Umuserame","acidnesses"
"Umusetsi","acidogenic"
"umushahara","acidoid"
"umushakashatsi","acidolysis"
"umushikirizansiguro","acidology"
"umushinga","acidometer"
"umushinjacyaha","acidometry"
"umushitsi","acidophil"
"umushoferi","acidophile"
"umushoramari","acidophilic"
"umushushanyi","acidophilous"
"Umushushanyi","acidophilus"
"umushyigikizi","acidoproteolytic"
"umushyitsi","acidoses"
"umusirikare","acidosis"
"umusomyi","acidosteophyte"
"umusore","acidotic"
"umusoro","acidproof"
"umusozi","acids"
"Umusubawo-buji","acid-treat"
"umusumari","acidulant"
"Umusume","acidulate"
"umutambyi","acidulated"
"Umutangizi","acidulates"
"umutego","acidulating"
"Umutego","acidulation"
"umutekano","acidulent"
"umutima","acidulous"
"umutimanama","acidulously"
"umutingito","acidulousness"
"umutobe","aciduria"
"Umutohozakahise","acidurias"
"umutoza","aciduric"
"Umutsinzi","Acie"
"umutuku","acier"
"umutungo","acierage"
"umuturage","Acieral"
"umutwale","acierate"
"umutware","acierated"
"umutwaro","acierates"
"umutwe","acierating"
"Umutwe","acieration"
"umuvandimwe","acies"
"umuvuduko","acyesis"
"umuvugizi","acyetic"
"umuyaga","aciform"
"umuyoboke","acyl"
"umuyoboro","acylal"
"Umuyoboro","acylamido"
"umuyobozi","acylamidobenzene"
"Umuyobozi","acylamino"
"umuzi","acylase"
"umuzigo","acylate"
"umuziki","acylated"
"umuzimu","acylates"
"umva","acylating"
"umvura","acylation"
"umwaka","aciliate"
"umwambaro","aciliated"
"umwami","Acilius"
"umwamikazi","acylogen"
"umwana","acyloin"
"umwanda","acyloins"
"Umwandiko","acyloxy"
"umwanditsi","acyloxymethane"
"Umwanditsi","acyls"
"umwangavu","Acima"
"umwanya","acinaceous"
"Umwanya","acinaces"
"Umwanze","acinacifoliate"
"umwanzi","acinacifolious"
"umwanzuro","acinaciform"
"Umwarabu","acinacious"
"umwarimu","acinacity"
"umwenda","acinar"
"Umwenda-Ihema","acinary"
"umweru","acinarious"
"umwicanyi","Acineta"
"umwijima","Acinetae"
"umwirondoro","acinetan"
"Umwishyi","Acinetaria"
"umwobo","acinetarian"
"umwotsi","acinetic"
"umwuga","acinetiform"
"umwuka","Acinetina"
"Umwuka","acinetinan"
"umwunganira","acing"
"umwuzure","acini"
"undi","acinic"
"Universal","aciniform"
"unknown","acinose"
"update","acinotubular"
"urahera","acinous"
"uregwa","acinuni"
"uretse","acinus"
"Uretse","acious"
"urubanza","Acipenser"
"urubuga","Acipenseres"
"urubura","acipenserid"
"urubyiruko","Acipenseridae"
"urudodo","acipenserine"
"urufatiro","acipenseroid"
"Urufunguzo","Acipenseroidei"
"Urugaga","acyrology"
"urugamba","acyrological"
"uruganda","Acis"
"urugendo","acystia"
"urugero","acitate"
"Urugero","acity"
"urugingo","aciurgy"
"urugo","ACK"
"urugomo","ack-ack"
"urugwiro","ackee"
"uruhande","ackees"
"uruhare","ackey"
"Uruhare","ackeys"
"uruhu","Acker"
"uruhushya","Ackerley"
"urujijo","Ackerly"
"Urujijo","Ackerman"
"urujyano","Ackermanville"
"urukundo","Ackley"
"Urukurikirane","Ackler"
"urukuta","ackman"
"urungano","ackmen"
"urunigi","acknew"
"urupapuro","acknow"
"Urupapuro","acknowing"
"urupfu","acknowledge"
"ururimi","acknowledgeable"
"urusaku","acknowledged"
"urusenda","acknowledgedly"
"urusengero","acknowledgement"
"urushinge","acknowledgements"
"Urushinge","acknowledger"
"urusobe","acknowledgers"
"Urusobetudirishya","acknowledges"
"urutare","acknowledging"
"uruti","acknowledgment"
"urutoki","acknowledgments"
"urutonde","acknowledgment's"
"Urutonde","acknown"
"Urutsinga","ack-pirate"
"uruzi","ackton"
"uruziga","Ackworth"
"Urwandiko","ACL"
"urwango","aclastic"
"urwego","acle"
"Urwego","acleidian"
"urwitwazo","acleistocardia"
"usanga","acleistous"
"ushikamye","Aclemon"
"ushimishijwe","aclydes"
"ushinzwe","aclidian"
"ushobora","aclinal"
"usibye","aclinic"
"usosa","aclys"
"Utegeka","a-clock"
"utekanye","acloud"
"utility","ACLS"
"Utsinze","ACLU"
"utunganye","ACM"
"utuye","Acmaea"
"uwagikoze","Acmaeidae"
"uwahawe","acmaesthesia"
"uwahohotewe","acmatic"
"uwakoze","acme"
"uwanjye","acmes"
"Uwi","acmesthesia"
"uwiga","acmic"
"uwizera","Acmispon"
"uwo","acmite"
"Uwomuhanganye","Acmon"
"Uwomuhuza","acne"
"Uwumva","acned"
"uwungirije","acneform"
"uwuzengurutsa","acneiform"
"uyigize","acnemia"
"uzwi","acnes"
"vampire","Acnida"
"van","acnodal"
"VC","acnode"
"vendredi","acnodes"
"version","ACO"
"vice","acoasm"
"videwo","acoasma"
"virusi","a-coast"
"Visi","Acocanthera"
"Viyerije","acocantherin"
"vs","acock"
"vuba","acockbill"
"vuga","a-cock-bill"
"vy'akanyengetera","a-cock-horse"
"vyaranditswe","acocotl"
"vyifashe","Acoela"
"vyihutirwa","Acoelomata"
"vy'inyifato","acoelomate"
"vy'inyiyumvo","acoelomatous"
"Vyongeye","Acoelomi"
"w'abami","acoelomous"
"waka","acoelous"
"w'akazi","Acoemetae"
"w'amaguru","Acoemeti"
"w'amashuri","Acoemetic"
"we","acoenaesthesia"
"web","ACOF"
"weekend","acoin"
"wegukanye","acoine"
"wenyine","Acol"
"wera","Acolapissa"
"Werurwe","acold"
"wese","Acolhua"
"western","Acolhuan"
"whoa","acolyctine"
"wige","acolyte"
"wigishe","acolytes"
"w'ikoro","acolyth"
"w'imbere","acolythate"
"w'inararibonye","acolytus"
"w'ingabo","acology"
"w'ingengo","acologic"
"winter","acolous"
"wirengagize","acoluthic"
"w'itegeko","Acoma"
"wiyoroshya","acomia"
"wizeye","acomous"
"w'izuba","a-compass"
"wow","aconative"
"wowe","Aconcagua"
"w'umuyabaga","acondylose"
"w'umuzunguruko","acondylous"
"wungirije","acone"
"yababwiraga","aconelline"
"yabo","aconic"
"yacu","aconin"
"y'agaciro","aconine"
"yagombaga","aconital"
"yahawe","aconite"
"yakira","aconites"
"yakomeje","aconitia"
"yama","aconitic"
"y'amafaranga","aconitin"
"y'amajyambere","aconitine"
"y'amavuko","Aconitum"
"yapfuye","aconitums"
"yard","acontia"
"yasinze","Acontias"
"yavutse","acontium"
"yavyifashemwo","Acontius"
"yawe","aconuresis"
"yayo","acool"
"yego","acop"
"yep","acopic"
"yerekeza","acopyrin"
"yeruye","acopyrine"
"yewe","acopon"
"y'ibigazi","acor"
"yica","acorea"
"yigaragariza","acoria"
"yigenga","acorn"
"y'igihe","acorned"
"yihariye","acorns"
"yihuse","acorn's"
"yihuta","acorn-shell"
"y'ijwi","Acorus"
"y'imari","acosmic"
"yimirije","acosmism"
"yinyanyagiza","acosmist"
"y'inyongera","acosmistic"
"yiruka","acost"
"yishimiye","Acosta"
"yishimye","acotyledon"
"yisumbuye","acotyledonous"
"y'itora","acouasm"
"y'ivy'ihindagurika","acouchi"
"yongeyeho","acouchy"
"yonyene","acoumeter"
"yoroshye","acoumetry"
"yose","acounter"
"y'ubucuruzi","acouometer"
"y'ubundi","acouophonia"
"y'ubutegetsi","acoup"
"y'umwimerere","acoupa"
"y'urufi","acoupe"
"yuzuye","acousma"
"z'Abasoviyeti","acousmas"
"zaboze","acousmata"
"zabukuru","acousmatic"
"zahabu","acoustic"
"z'amasosiyete","acoustical"
"z'amatsinda","acoustically"
"zazimiye","acoustician"
"zero","acoustico-"
"z'ibanze","acousticolateral"
"zihindura","Acousticon"
"z'inshinjabyaha","acousticophobia"
"zirayoye","acoustics"
"zisanzwe","acoustoelectric"
"zitabarika","ACP"
"zitabera","acpt"
"zitandukanye","acpt."
"zone","Acquah"
"z'ubumara","acquaint"
"z'ubutabera","acquaintance"
"z'ubutegetsi","acquaintances"
