"Kazakh","English"
"сұр","acetylglycin"
"сұрақ","acetylglycine"
"сұраныс","acetylhydrazine"
"сұраңыз","acetylic"
"сұрау","acetylid"
"сұрыптау","acetylide"
"сұхбат","acetyliodide"
"схема","acetylizable"
"сценарий","acetylization"
"сыбырлау","acetylize"
"сығындысы","acetylized"
"сызат","acetylizer"
"Сызат","acetylizing"
"сызу","acetylmethylcarbinol"
"сыйақы","acetylperoxide"
"сыйлық","acetylphenylhydrazine"
"сыйымдылығы","acetylphenol"
"сым","acetylrosaniline"
"сын","acetyls"
"сынақ","acetylsalicylate"
"сынау","acetylsalicylic"
"сынған","acetylsalol"
"сыни","acetyltannin"
"сыншы","acetylthymol"
"сынып","acetyltropeine"
"сыпайылық","acetylurea"
"сыпыру","acetimeter"
"сыра","acetimetry"
"сырғанау","acetimetric"
"сыртқы","acetin"
"сыртында","acetine"
"сэндвич","acetins"
"сэр","acetite"
"сюжет","acetize"
"т.б","acetla"
"таба","acetmethylanilide"
"табақ","acetnaphthalide"
"табалдырық","aceto-"
"табан","acetoacetanilide"
"табиғат","acetoacetate"
"табиғи","acetoacetic"
"таблетка","acetoamidophenol"
"табу","acetoarsenite"
"табылды","Acetobacter"
"табыс","acetobenzoic"
"табысты","acetobromanilide"
"тағайындау","acetochloral"
"тағам","acetocinnamene"
"тағдыр","acetoin"
"таза","acetol"
"тайпа","acetolysis"
"такси","acetolytic"
"тактика","acetometer"
"тақ","acetometry"
"тақта","acetometric"
"тақырып","acetometrical"
"Тақырып","acetometrically"
"талант","acetomorphin"
"талантты","acetomorphine"
"талап","acetonaemia"
"Талап","acetonaemic"
"талас","acetonaphthone"
"талғампаз","acetonate"
"талдау","acetonation"
"талдаушы","acetone"
"талқылау","acetonemia"
"талшық","acetonemic"
"тамақ","acetones"
"тамақтану","acetonic"
"тамаша","acetonyl"
"тамыз","acetonylacetone"
"тамыр","acetonylidene"
"танк","acetonitrile"
"тану","acetonization"
"танымал","acetonize"
"танымалдылық","acetonuria"
"таныс","acetonurometer"
"таныстыру","acetophenetide"
"таң","acetophenetidin"
"таңдану","acetophenetidine"
"таңдаңыз","acetophenin"
"таңдау","acetophenine"
"таңқаларлық","acetophenone"
"таңу","acetopiperone"
"тапсырма","acetopyrin"
"тапсырыс","acetopyrine"
"тапшылық","acetosalicylic"
"тар","acetose"
"тарату","acetosity"
"Тарих","acetosoluble"
"тарихи","acetostearin"
"тарихшы","acetothienone"
"тармақ","acetotoluid"
"Тарт","acetotoluide"
"тартпа","acetotoluidine"
"тарту","acetous"
"тартымды","acetoveratrone"
"тартыну","acetoxyl"
"тас","acetoxyls"
"тасбақа","acetoxim"
"таспа","acetoxime"
"тастау","acetoxyphthalide"
"тасу","acetphenetid"
"тасымалдау","acetphenetidin"
"тасымалдаушы","acetract"
"татуировкасы","acettoluide"
"татуласу","acetum"
"тау","aceturic"
"тауар","ACF"
"тауық","ACGI"
"таяз","ac-globulin"
"таяқ","ACH"
"театр","Achab"
"тебу","Achad"
"тег","Achaea"
"Тегін","Achaean"
"тегіс","Achaemenes"
"тез","Achaemenian"
"Тезірек","Achaemenid"
"тек","Achaemenidae"
"тексеру","Achaemenides"
"теледидар","Achaemenidian"
"телескоп","Achaemenids"
"телефон","achaenocarp"
"темекі","Achaenodon"
"темір","Achaeta"
"теміржол","achaetous"
"температура","Achaeus"
"тенденция","achafe"
"теннис","achage"
"тең","Achagua"
"теңгерім","Achaia"
"теңдеу","Achaian"
"теңдік","Achakzai"
"теңіз","achalasia"
"теология","Achamoth"
"теория","Achan"
"теориялық","Achango"
"тер","achape"
"терапевт","achaque"
"терапия","achar"
"тергеу","acharya"
"тергеуші","Achariaceae"
"терезе","Achariaceous"
"терең","acharne"
"тереңдігі","acharnement"
"тері","Acharnians"
"теріс","achate"
"террор","Achates"
"терроризм","Achatina"
"террорист","Achatinella"
"тесік","Achatinidae"
"тестілеу","achatour"
"техника","Achaz"
"техникалық","ache"
"технология","acheat"
"технологиялық","achech"
"тәж","acheck"
"тәжірибе","ached"
"тәжірибелі","acheer"
"тәжірибеші","ACHEFT"
"тәлімгер","acheilary"
"тән","acheilia"
"тәрбиелеу","acheilous"
"тәрбиелеуші","acheiria"
"тәрбиелік","acheirous"
"тәрбиеші","acheirus"
"тәртіп","Achelous"
"тәртіпсіздік","Achen"
"тәсілі","achene"
"тәте","achenes"
"тәтті","achenia"
"тәуекел","achenial"
"тәуекелді","achenium"
"тәуелді","achenocarp"
"тәуелділік","achenodia"
"тәуелсіз","achenodium"
"тәуелсіздік","acher"
"тиесілі","Acherman"
"тиімді","Achernar"
"тиімділігі","Acheron"
"тиісінше","Acheronian"
"тиын","Acherontic"
"тізбек","Acherontical"
"тізе","aches"
"тізім","Acheson"
"тік","achesoun"
"тікелей","achete"
"тікұшақ","Achetidae"
"тіл","Acheulean"
"тілек","Acheulian"
"тілім","acheweed"
"тілші","achy"
"тіпті","achier"
"тірі","achiest"
"тіркелгі","achievability"
"тіркелу","achievable"
"тіркеме","achieve"
"тіркеңіз","achieved"
"тіркеу","achievement"
"тіс","achievements"
"тістеу","achievement's"
"тобық","achiever"
"тобыр","achievers"
"тоған","achieves"
"тоғыз","achieving"
"тозақ","ach-y-fi"
"тойлау","achigan"
"ток","achilary"
"тоқсан","achylia"
"Тоқта","Achill"
"тоқтату","Achille"
"толқу","Achillea"
"толқыған","Achillean"
"толқын","achilleas"
"толтыру","Achilleid"
"толығымен","achillein"
"толық","achilleine"
"тон","Achilles"
"тонау","Achillize"
"топ","achillobursitis"
"топтама","achillodynia"
"топырақ","achilous"
"тор","achylous"
"торт","Achimaas"
"тосқауыл","achime"
"тостаған","Achimelech"
"төбе","Achimenes"
"төгілу","achymia"
"төгу","achymous"
"төлем","Achinese"
"төлеу","achiness"
"төмен","achinesses"
"төменгі","aching"
"төменде","achingly"
"төмендеуі","achiote"
"төрағасы","achiotes"
"төрт","achira"
"төртінші","Achyranthes"
"төсек","achirite"
"төсем","Achyrodes"
"төтенше","Achish"
"трагедия","Achitophel"
"транзакция","achkan"
"транзит","achlamydate"
"трафик","Achlamydeae"
"трек","achlamydeous"
"тренд","achlorhydria"
"триггер","achlorhydric"
"триллион","achlorophyllous"
"тропикалық","achloropsia"
"тротуар","achluophobia"
"туған","Achmed"
"туннель","Achmetha"
"тур","achoke"
"туралау","acholia"
"туралы","acholias"
"турист","acholic"
"турнир","Acholoe"
"туу","acholous"
"туыс","acholuria"
"түгендеу","acholuric"
"түзету","Achomawi"
"түзу","achondrite"
"Түзу","achondritic"
"түйіндеме","achondroplasia"
"түймесі","achondroplastic"
"түйреуіш","achoo"
"түйсіну","achor"
"түкіру","achordal"
"түлек","Achordata"
"түн","achordate"
"түпкілікті","Achorion"
"түпнұсқа","Achorn"
"түр","Achras"
"түрі","achree"
"Түркия","achroacyte"
"түрлендіру","Achroanthes"
"түрлері","achrodextrin"
"түрме","achrodextrinase"
"түртіңіз","achroglobin"
"түрту","achroiocythaemia"
"түс","achroiocythemia"
"түсі","achroite"
"түсіндіру","achroma"
"түсінік","achromacyte"
"түсініксіз","achromasia"
"түсініктеме","achromat"
"түсіну","achromat-"
"түсіру","achromate"
"түсу","Achromatiaceae"
"түтік","achromatic"
"түтін","achromatically"
"тұжырымдама","achromaticity"
"тұжырымдамасы","achromatin"
"тұз","achromatinic"
"тұзақ","achromatisation"
"тұздық","achromatise"
"тұқым","achromatised"
"тұлға","achromatising"
"тұрады","achromatism"
"тұрақты","Achromatium"
"тұрақтылық","achromatizable"
"Тұрғылықты","achromatization"
"тұрғыны","achromatize"
"тұру","achromatized"
"тұтас","achromatizing"
"тұтастық","achromatocyte"
"тұтқа","achromatolysis"
"тұтқын","achromatope"
"тұтыну","achromatophil"
"тұтынушы","achromatophile"
"тығыз","achromatophilia"
"тығыздығы","achromatophilic"
"тыныс","achromatopia"
"тыныш","achromatopsy"
"тыныштық","achromatopsia"
"тыңда","achromatosis"
"тыңдаушы","achromatous"
"тырысу","achromats"
"тыс","achromaturia"
"тышқан","achromia"
"уағыз","achromic"
"уайымдады","Achromycin"
"уайымдау","Achromobacter"
"уақыт","Achromobacterieae"
"уақытша","achromoderma"
"уәде","achromophilous"
"улы","achromotrichia"
"университет","achromous"
"унция","achronical"
"утилита","achronychous"
"у-у-у","achronism"
"уыс","achroo-"
"үздіксіз","achroodextrin"
"үзіліс","achroodextrinase"
"үзу","achroous"
"үй","achropsia"
"үйінді","Achsah"
"үйлен","achtehalber"
"үйленген","achtel"
"үйлестіруші","achtelthaler"
"үйрек","achter"
"үйрену","achterveld"
"үйрету","Achuas"
"үкім","achuete"
"үкімет","acy"
"үлгі","acyanoblepsia"
"үлес","acyanopsia"
"үлкен","acichlorid"
"үміт","acichloride"
"үміттенемін","acyclic"
"үнді","acyclically"
"үнемдеу","acicula"
"үнемі","aciculae"
"үнсіз","acicular"
"үңгір","acicularity"
"үстел","acicularly"
"үстіне","aciculas"
"үш","aciculate"
"үшін","aciculated"
"үшінші","aciculum"
"ұғым","aciculums"
"ұжымдық","acid"
"ұзақ","acidaemia"
"ұзарту","Acidalium"
"ұзартылған","Acidanthera"
"ұзындығы","Acidaspis"
"ұйықтау","acid-binding"
"ұйымдастыру","acidemia"
"ұқсайды","acidemias"
"ұқсас","acider"
"ұқсастық","acid-fast"
"ұл","acid-fastness"
"ұлғайту","acid-forming"
"ұлпа","acidhead"
"ұлт","acid-head"
"ұлттық","acidheads"
"ұлы","acidy"
"ұмтылу","acidic"
"ұмыт","acidiferous"
"ұн","acidify"
"ұнтақ","acidifiable"
"ұрлау","acidifiant"
"ұрлық","acidific"
"ұрпақ","acidification"
"ұру","acidified"
"ұры","acidifier"
"ұрыс","acidifiers"
"ұсақтау","acidifies"
"ұсқынсыз","acidifying"
"ұстаңыз","acidyl"
"ұстау","acidimeter"
"ұсыну","acidimetry"
"ұсынылған","acidimetric"
"ұсыныс","acidimetrical"
"ұшақ","acidimetrically"
"ұшқын","acidite"
"ұшқыш","acidity"
"ұшу","acidities"
"ұя","acidize"
"ұялды","acidized"
"ұялшақ","acidizing"
"ұялы","acidly"
"ұят","acidness"
"ұяшық","acidnesses"
"фазасы","acidogenic"
"файл","acidoid"
"факт","acidolysis"
"фактор","acidology"
"факультет","acidometer"
"федералды","acidometry"
"ферма","acidophil"
"фермер","acidophile"
"фестиваль","acidophilic"
"фигура","acidophilous"
"физика","acidophilus"
"физикалық","acidoproteolytic"
"филиалы","acidoses"
"философия","acidosis"
"философиялық","acidosteophyte"
"фильм","acidotic"
"финал","acidproof"
"фискалдық","acids"
"фитнес","acid-treat"
"флот","acidulant"
"фон","acidulate"
"форма","acidulated"
"формальды","acidulates"
"формула","acidulating"
"фортепиано","acidulation"
"форум","acidulent"
"фото","acidulous"
"фотограф","acidulously"
"фотосурет","acidulousness"
"француз","aciduria"
"франшиза","acidurias"
"функционалды","aciduric"
"функциясы","Acie"
"фунт","acier"
"фургон","acierage"
"футбол","Acieral"
"футболка","acierate"
"хабар","acierated"
"хабардар","acierates"
"хабардарлық","acierating"
"хабарланды","acieration"
"хабарландыру","acies"
"хабарлау","acyesis"
"халық","acyetic"
"халықаралық","aciform"
"ханзада","acyl"
"ханшайым","acylal"
"ханым","acylamido"
"хаос","acylamidobenzene"
"хат","acylamino"
"хаттама","acylase"
"хатшы","acylate"
"хек","acylated"
"химия","acylates"
"химиялық","acylating"
"хирург","acylation"
"хирургия","aciliate"
"хмм","aciliated"
"хоккей","Acilius"
"холестерин","acylogen"
"хост","acyloin"
"храм","acyloins"
"христиан","acyloxy"
"христиандық","acyloxymethane"
"хроника","acyls"
"Хэллоуин","Acima"
"цент","acinaceous"
"цикл","acinaces"
"чат","acinacifoliate"
"чемпион","acinacifolious"
"чемпионат","acinaciform"
"чип","acinacious"
"шабандоз","acinacity"
"шабуыл","acinar"
"шабуылдау","acinary"
"шабыт","acinarious"
"шабыттандырады","Acineta"
"шағым","Acinetae"
"шағымдану","acinetan"
"шай","Acinetaria"
"шайқас","acinetarian"
"шайқау","acinetic"
"шайнау","acinetiform"
"шайтан","Acinetina"
"шақыру","acinetinan"
"шалбар","acing"
"шам","acini"
"шамалы","acinic"
"шамамен","aciniform"
"шамасы","acinose"
"шанышқы","acinotubular"
"шаң","acinous"
"шаңғы","acinuni"
"шар","acinus"
"шарап","acious"
"шарасыз","Acipenser"
"шарт","Acipenseres"
"шарттар","acipenserid"
"шаршаған","Acipenseridae"
"шаршы","acipenserine"
"шатастыру","acipenseroid"
"шатасу","Acipenseroidei"
"шаттл","acyrology"
"шатыр","acyrological"
"Шаш","Acis"
"шашырау","acystia"
"шебер","acitate"
"шеберлік","acity"
"шеберхана","aciurgy"
"шеге","ACK"
"шекара","ack-ack"
"шексіз","ackee"
"шектелген","ackees"
"шектеу","ackey"
"шелек","ackeys"
"шеңбер","Acker"
"шериф","Ackerley"
"шетелде","Ackerly"
"шетелдік","Ackerman"
"шетке","Ackermanville"
"шешім","Ackley"
"шешу","Ackler"
"шешуші","ackman"
"шәкіртақы","ackmen"
"шикі","acknew"
"шина","acknow"
"шілде","acknowing"
"шіркеу","acknowledge"
"шкаф","acknowledgeable"
"шоғырландыру","acknowledged"
"шоғырлану","acknowledgedly"
"шок","acknowledgement"
"шоколад","acknowledgements"
"шолу","acknowledger"
"шолушысы","acknowledgers"
"шот","acknowledges"
"шошқа","acknowledging"
"шөл","acknowledgment"
"шөп","acknowledgments"
"шпион","acknowledgment's"
"штаб","acknown"
"штамм","ack-pirate"
"шу","ackton"
"шуақты","Ackworth"
"шүберек","ACL"
"шұлық","aclastic"
"шұңқыр","acle"
"шығанағы","acleidian"
"шығармашылық","acleistocardia"
"шығару","acleistous"
"шығу","Aclemon"
"Шығу","aclydes"
"шығын","aclidian"
"шығып","aclinal"
"шығыс","aclinic"
"шыдамдылық","aclys"
"шыдау","a-clock"
"шынайы","acloud"
"шындап","ACLS"
"шындық","ACLU"
"шынжыр","ACM"
"шынтақ","Acmaea"
"шыны","Acmaeidae"
"шынымен","acmaesthesia"
"шынында","acmatic"
"шыңы","acme"
"шырын","acmes"
"щек","acmesthesia"
"щетка","acmic"
"ықпалды","Acmispon"
"ықтимал","acmite"
"ықтималдық","Acmon"
"ым","acne"
"ынта","acned"
"ынталандыру","acneform"
"ынталандырушы","acneiform"
"ынталы","acnemia"
"ынтымақтастық","acnes"
"ынтымақтасу","Acnida"
"ыңғайлы","acnodal"
"ыңғайсыз","acnode"
"ырғақ","acnodes"
"ысқылау","ACO"
"ыстық","acoasm"
"эволюция","acoasma"
"эго","a-coast"
"эй","Acocanthera"
"эквивалент","acocantherin"
"экипаж","acock"
"экожүйе","acockbill"
"экологиялық","a-cock-bill"
"экономика","a-cock-horse"
"экономикалық","acocotl"
"экономист","Acoela"
"экран","Acoelomata"
"эксклюзивті","acoelomate"
"эксперимент","acoelomatous"
"эксперименттік","Acoelomi"
"экспозиция","acoelomous"
"экспорттау","acoelous"
"экспресс","Acoemetae"
"электр","Acoemeti"
"электрлік","Acoemetic"
"электронды","acoenaesthesia"
"элемент","ACOF"
"элита","acoin"
"эмиссия","acoine"
"эмоционалды","Acol"
"эмоция","Acolapissa"
"энергия","acold"
"эпизод","Acolhua"
"эссе","Acolhuan"
"этика","acolyctine"
"этикалық","acolyte"
"этникалық","acolytes"
"юбка","acolyth"
"юмор","acolythate"
"юрисдикция","acolytus"
"ядролық","acology"
"якорь","acologic"
