"Indonesian","English"
"merah","anthropomorphizing"
"merajak","anthropomorphology"
"merak","anthropomorphological"
"merakan","anthropomorphologically"
"meralgia","anthropomorphosis"
"merambai","anthropomorphotheist"
"merambung","anthropomorphous"
"merana","anthropomorphously"
"merang","anthroponym"
"meranggi","anthroponomy"
"merangsi","anthroponomical"
"merangu","anthroponomics"
"meranti","anthroponomist"
"merapu","anthropopathy"
"merat","anthropopathia"
"merawal","anthropopathic"
"merawan","anthropopathically"
"merbah","anthropopathism"
"merbau","anthropopathite"
"merbaya","anthropophagi"
"merbuk","anthropophagy"
"merbulan","anthropophagic"
"mercak-mercik","anthropophagical"
"mercon","anthropophaginian"
"mercu","anthropophagism"
"mercusuar","anthropophagist"
"merdangga","anthropophagistic"
"merdeka","anthropophagit"
"merdesa","anthropophagite"
"merdinah","anthropophagize"
"merdu","anthropophagous"
"merduk","anthropophagously"
"mere","anthropophagus"
"merek","anthropophilous"
"mereka","anthropophysiography"
"merem","anthropophysite"
"merembung","anthropophobia"
"mereng","anthropophuism"
"meres","anthropophuistic"
"mergat","Anthropopithecus"
"merger","anthropopsychic"
"mergul","anthropopsychism"
"meri","Anthropos"
"meriam","anthroposcopy"
"meriang","anthroposociology"
"merica","anthroposociologist"
"meridian","anthroposomatology"
"merih","anthroposophy"
"merik","anthroposophic"
"merikan","anthroposophical"
"merikarp","anthroposophist"
"merinding","anthropoteleoclogy"
"mering","anthropoteleological"
"meringis","anthropotheism"
"meristem","anthropotheist"
"merjan","anthropotheistic"
"merkah","anthropotomy"
"merkantilisme","anthropotomical"
"merkubang","anthropotomist"
"merkuri","anthropotoxin"
"merkurium","Anthropozoic"
"merkurius","anthropurgic"
"merkuro","anthroropolith"
"merkurokrom","anthroxan"
"merlilin","anthroxanic"
"merlimau","anththeridia"
"merogoni","Anthurium"
"merosot","Anthus"
"merot","Anti"
"merpati","anti-"
"merpaud","Antia"
"merpitis","antiabolitionist"
"merpoyan","antiabortion"
"merserisasi","antiabrasion"
"mersik","antiabrin"
"merta","antiabsolutist"
"mertamu","antiacademic"
"mertapal","antiacid"
"mertayam","anti-acid"
"mertega","antiadiaphorist"
"mertelu","antiaditis"
"mertua","antiadministration"
"meru","antiae"
"meruap","antiaesthetic"
"merubi","antiager"
"merunggai","antiagglutinant"
"merut","antiagglutinating"
"merwatin","antiagglutination"
"mes","antiagglutinative"
"mesa","antiagglutinin"
"mesan","antiaggression"
"mesara","antiaggressionist"
"mesem","antiaggressive"
"mesin","antiaggressively"
"mesiu","antiaggressiveness"
"mesjid","antiaircraft"
"meskalin","anti-aircraft"
"meskalina","antialbumid"
"meski","antialbumin"
"mesmerisme","antialbumose"
"mesoderm","antialcoholic"
"mesodermik","antialcoholism"
"mesofili","antialcoholist"
"mesofit","antialdoxime"
"mesolitik","antialexin"
"mesolitikum","antialien"
"mesometeorologi","Anti-ally"
"mesomorf","Anti-allied"
"meson","antiamboceptor"
"mesopause","Anti-american"
"mesosfer","Anti-americanism"
"mesotel","antiamylase"
"mesotoraks","antiamusement"
"mesozoa","antianaphylactogen"
"mesozoikum","antianaphylaxis"
"mesra","antianarchic"
"mester","antianarchist"
"mesti","Anti-anglican"
"mestika","antiangular"
"mestizo","antiannexation"
"mesui","antiannexationist"
"mesum","antianopheline"
"mesut","antianthrax"
"meta","antianthropocentric"
"meta-","antianthropomorphism"
"metabahasa","antiantibody"
"metabolik","antiantidote"
"metabolis","antiantienzyme"
"metabolisme","antiantitoxin"
"metabolit","antianxiety"
"metafil","antiapartheid"
"metafisik","antiaphrodisiac"
"metafisika","antiaphthic"
"metafora","antiapoplectic"
"metaforis","antiapostle"
"metah","antiaquatic"
"metai","antiar"
"metal","Anti-arab"
"metalik","Antiarcha"
"metalinguistik","Antiarchi"
"metalografi","Anti-arian"
"metaloid","antiarin"
"metalurgi","antiarins"
"metalurgis","Antiaris"
"metamorf","antiaristocracy"
"metamorfis","antiaristocracies"
"metamorfisme","antiaristocrat"
"metamorfosis","antiaristocratic"
"metana","antiaristocratical"
"metanefros","antiaristocratically"
"metanol","Anti-aristotelian"
"metari","anti-Aristotelianism"
"metasenter","Anti-armenian"
"metastasis","Anti-arminian"
"metatarsus","Anti-arminianism"
"metatesis","antiarrhythmic"
"metazoa","antiars"
"mete","antiarthritic"
"meteor","antiascetic"
"meteorit","antiasthmatic"
"meteorograf","antiastronomical"
"meteorogram","Anti-athanasian"
"meteoroid","antiatheism"
"meteorologi","antiatheist"
"meteorologis","antiatheistic"
"meteorologiwan","antiatheistical"
"meter","antiatheistically"
"meterai","Anti-athenian"
"metil","antiatom"
"metode","antiatoms"
"metodik","antiatonement"
"metodis","antiattrition"
"metodologi","anti-attrition"
"metonimi","anti-Australian"
"metonimia","anti-Austria"
"metrik","Anti-austrian"
"metris","antiauthoritarian"
"metro","antiauthoritarianism"
"metrologi","antiautolysin"
"metromini","antiauxin"
"metronimik","Anti-babylonianism"
"metronom","antibacchic"
"metronomis","antibacchii"
"metropolis","antibacchius"
"metropolisasi","antibacterial"
"metropolitan","antibacteriolytic"
"metroragia","antiballistic"
"metrum","antiballooner"
"meunasah","antibalm"
"mewah","antibank"
"mewari","antibaryon"
"mewek","Anti-bartholomew"
"mezanin","antibasilican"
"mezbah","antibenzaldoxime"
"mezosopran","antiberiberin"
"mi","Antibes"
"miak","antibias"
"miana","anti-Bible"
"miang","Anti-biblic"
"miap","Anti-biblical"
"miasma","anti-Biblically"
"midar","antibibliolatry"
"midi","antibigotry"
"midik","antibilious"
"midodareni","antibiont"
"mieloma","antibiosis"
"migrain","antibiotic"
"migran","antibiotically"
"migrasi","antibiotics"
"migren","Anti-birmingham"
"mihrab","antibishop"
"mihun","antiblack"
"miiofili","antiblackism"
"mijil","antiblastic"
"miju","antiblennorrhagic"
"mik","antiblock"
"mika","antiblue"
"mikat","antibody"
"mikologi","antibodies"
"mikologiwan","Anti-bohemian"
"mikoprotein","antiboycott"
"mikosis","Anti-bolshevik"
"mikotoksin","anti-Bolshevism"
"mikraj","Anti-bolshevist"
"mikro","anti-Bolshevistic"
"mikro-","Anti-bonapartist"
"mikroanalisis","antiboss"
"mikroangiopati","antibourgeois"
"mikrob","antiboxing"
"mikrobe","antibrachial"
"mikrobiologi","antibreakage"
"mikrobiologis","antibridal"
"mikrobisida","Anti-british"
"mikrobus","Anti-britishism"
"mikroekonomi","antibromic"
"mikroelektronika","antibubonic"
"mikroelemen","antibug"
"mikrofag","antibureaucratic"
"mikrofarad","Antiburgher"
"mikrofilm","antiburglar"
"mikrofita","antiburglary"
"mikrofon","antibusiness"
"mikrofotografi","antibusing"
"mikrogelombang","antic"
"mikrograf","antica"
"mikrografika","anticachectic"
"mikrogram","Anti-caesar"
"mikrohabitat","antical"
"mikrohistori","anticalcimine"
"mikrohm","anticalculous"
"mikroklimat","antically"
"mikrokomputer","anticalligraphic"
"mikrokosmos","Anti-calvinism"
"mikrolet","Anti-calvinist"
"mikrolinguistik","Anti-calvinistic"
"mikrolit","anti-Calvinistical"
"mikrom","Anti-calvinistically"
"mikromanipulasi","anticamera"
"mikrometer","anticancer"
"mikrometri","anticancerous"
"mikron","anticapital"
"mikroorganisme","anticapitalism"
"mikroprosesor","anticapitalist"
"mikrosefalia","anticapitalistic"
"mikrosekon","anticapitalistically"
"mikroskop","anticapitalists"
"mikroskopis","anticar"
"mikrospora","anticardiac"
"mikrotom","anticardium"
"mikrovilus","anticarious"
"mikrowatt","anticarnivorous"
"mikser","anticaste"
"miksoedema","anticatalase"
"mil","anticatalyst"
"milad","anticatalytic"
"milenium","anticatalytically"
"mili-","anticatalyzer"
"miliampere","anticatarrhal"
"miliar","Anti-cathedralist"
"miliarder","anticathexis"
"miliaria","anticathode"
"miliarwan","anticatholic"
"milibar","Anti-catholic"
"milieu","anti-Catholicism"
"miligram","anticausotic"
"milik","anticaustic"
"mililiter","anticensorial"
"milimeter","anticensorious"
"milimikron","anticensoriously"
"milimol","anticensoriousness"
"milioner","anticensorship"
"milir","anticentralism"
"milisi","anticentralist"
"militan","anticentralization"
"militansi","anticephalalgic"
"militer","anticeremonial"
"militerisme","anticeremonialism"
"militeristis","anticeremonialist"
"miliun","anticeremonially"
"miliuner","anticeremonious"
"milivolt","anticeremoniously"
"milu","anticeremoniousness"
"mim","antichamber"
"mimbar","antichance"
"mimeograf","anticheater"
"mimesis","antichymosin"
"mimi","antichlor"
"mimik","antichlorine"
"mimikri","antichloristic"
"mimis","antichlorotic"
"mimisan","anticholagogue"
"mimosa","anticholinergic"
"mimpi","anticholinesterase"
"min","antichoromanic"
"mina","antichorus"
"minangsraya","antichreses"
"minat","antichresis"
"minder","antichretic"
"mindi","Antichrist"
"mindoan","antichristian"
"mindring","Anti-christian"
"mineral","antichristianism"
"mineralisasi","Anti-christianism"
"mineralogi","antichristianity"
"mineralogis","Anti-christianity"
"minggat","Anti-christianize"
"minggir","antichristianly"
"minggu","Anti-christianly"
"minhaj","antichrists"
"mini","antichrome"
"mini-","antichronical"
"miniatur","antichronically"
"minibasket","antichronism"
"minibus","antichthon"
"minikar","antichthones"
"minikata","antichurch"
"minikomputer","antichurchian"
"minim","anticyclic"
"minimal","anticyclical"
"minimarket","anticyclically"
"minimum","anticyclogenesis"
"minium","anticyclolysis"
"minor","anticyclone"
"minoritas","anticyclones"
"minta","anticyclonic"
"mintak","anticyclonically"
"mintakat","anticigarette"
"mintakulburuj","anticynic"
"mintal","anticynical"
"minterat","anticynically"
"mintuna","anticynicism"
"minum","anticipant"
"minus","anticipatable"
"minyak","anticipate"
"mioglobin","anticipated"
"miokardia","anticipates"
"mioma","anticipating"
"miop","anticipatingly"
"miopia","anticipation"
"miosis","anticipations"
"miotik","anticipative"
"mipis","anticipatively"
"mirah","anticipator"
"mirai","anticipatory"
"mirakel","anticipatorily"
"mirat","anticipators"
"miriapod","anticity"
"mirih","anticytolysin"
"mirik","anticytotoxin"
"miring","anticivic"
"mirip","anticivil"
"miris","anticivilian"
"mirmekofag","anticivism"
"mirmekofili","anticize"
"mirmekologi","antick"
"misa","anticked"
"misai","anticker"
"misal","anticking"
"misan","anticks"
"misantrop","antickt"
"misbah","anticlactic"
"misdinar","anticlassical"
"misi","anticlassicalism"
"misil","anticlassicalist"
"misiologi","anticlassically"
"misionaris","anticlassicalness"
"misioner","anticlassicism"
"miskal","anticlassicist"
"miskin","anticlastic"
"miskram","Anticlea"
"misoa","anticlergy"
"misofobia","anticlerical"
"misogami","anticlericalism"
"misoginis","anticlericalist"
"mispersepsi","anticly"
"miss","anticlimactic"
"mistar","anticlimactical"
"mister","anticlimactically"
"misteri","anticlimax"
"misterius","anticlimaxes"
"mistik","anticlinal"
"mistis","anticline"
"mistisisme","anticlines"
"mistri","anticlinoria"
"misuh","anticlinorium"
"miswat","anticlnoria"
"mitasi","anticlockwise"
"mite","anticlogging"
"mitisida","anticnemion"
"mitogen","anticness"
"mitologi","anticoagulan"
"mitologis","anticoagulant"
"mitos","anticoagulants"
"mitosis","anticoagulate"
"mitra","anticoagulating"
"mitraliur","anticoagulation"
"mizab","anticoagulative"
"mizan","anticoagulator"
"mnemonik","anticoagulin"
"moa","anticodon"
"mob","anticogitative"
"mobil","anticoincidence"
"mobilet","anticold"
"mobilisasi","anticolic"
"mobilisator","anticollision"
"mobilitas","anticolonial"
"moblong","anticombination"
"mobokrasi","anticomet"
"mochi","anticomment"
"modal","anticommercial"
"modalitas","anticommercialism"
"modar","anticommercialist"
"mode","anticommercialistic"
"model","anticommerciality"
"modeling","anticommercially"
"modem","anticommercialness"
"moderamen","anticommunism"
"moderat","anticommunist"
"moderato","anticommunistic"
"moderator","anticommunistical"
"modern","anticommunistically"
"modernisasi","anticommunists"
"modernisme","anticommutative"
"modernitas","anticompetitive"
"modernomaniak","anticomplement"
"modifikasi","anticomplementary"
"modifikatif","anticomplex"
"modin","anticonceptionist"
"modis","anticonductor"
"modiste","anticonfederationism"
"modol","anticonfederationist"
"modul","anticonfederative"
"modular","anticonformist"
"modulasi","anticonformity"
"modulator","anticonformities"
"modus","anticonscience"
"mofet","anticonscription"
"moga","anticonscriptive"
"mogok","anticonservation"
"mohair","anticonservationist"
"mohon","anticonservatism"
"mohor","anticonservative"
"mojah","anticonservatively"
"mojang","anticonservativeness"
"mok","anticonstitution"
"moka","anticonstitutional"
"mokal","anticonstitutionalism"
"moke","anticonstitutionalist"
"moko","anticonstitutionally"
"moksa","anticonsumer"
"mol","anticontagion"
"mola","anticontagionist"
"molar","anticontagious"
"mole","anticontagiously"
"molek","anticontagiousness"
"molekul","anticonvellent"
"molekuler","anticonvention"
"moler","anticonventional"
"moles","anticonventionalism"
"molibden","anticonventionalist"
"molibdenum","anticonventionally"
"molor","anticonvulsant"
"molos","anticonvulsive"
"molotov","anticor"
"moluska","anticorn"
"momen","anticorona"
"momental","anticorrosion"
"momentum","anticorrosive"
"momok","anticorrosively"
"momong","anticorrosiveness"
"momot","anticorrosives"
"monarki","anticorruption"
"moncong","anticorset"
"moncor","anticosine"
"mondar-mandir","anticosmetic"
"mondeling","anticosmetics"
"mondial","Anticosti"
"mondok","anticouncil"
"mondolan","anticourt"
"mondong","anticourtier"
"monel","anticous"
"moneter","anticovenanter"
"mong","anticovenanting"
"monggo","anticreation"
"monggol","anticreational"
"mongkok","anticreationism"
"mongmong","anticreationist"
"mongolisme","anticreative"
"mongoloid","anticreatively"
"monisme","anticreativeness"
"monitor","anticreativity"
"mono","anticreator"
"mono-","anticreep"
"monoatom","anticreeper"
"monodi","anticreeping"
"monodrama","anticrepuscular"
"monofag","anticrepuscule"
"monofobia","anticrime"
"monofonir","anticryptic"
"monogam","anticryptically"
"monogami","anticrisis"
"monogini","anticritic"
"monografi","anticritical"
"monogram","anticritically"
"monokarpa","anticriticalness"
"monokel","anticritique"
"monokini","anticrochet"
"monoklin","anticrotalic"
"monoklinal","anticruelty"
"monokotil","antics"
"monokotiledon","antic's"
"monokrasi","anticularia"
"monokrom","anticult"
"monokromatis","anticultural"
"monokromator","anticum"
"monoksida","anticus"
"monokultur","antidactyl"
"monolingual","antidancing"
"monolit","antidandruff"
"monolitik","anti-Darwin"
"monolog","Anti-darwinian"
"monoloyalitas","Anti-darwinism"
"monomania","anti-Darwinist"
"monomer","antidecalogue"
"monoploid","antideflation"
"monopoli","antidemocracy"
"monopolistik","antidemocracies"
"monopsoni","antidemocrat"
"monorel","antidemocratic"
"monosakarida","antidemocratical"
"monosem","antidemocratically"
"monosemantik","antidemoniac"
"monosemi","antidepressant"
"monosilabel","anti-depressant"
"monosilabisme","antidepressants"
"monosit","antidepressive"
"monospermi","antiderivative"
"monoteis","antidetonant"
"monoteisme","antidetonating"
"monotipe","antidiabetic"
"monoton","antidiastase"
"monsinyur","Antidicomarian"
"monster","Antidicomarianite"
"monstera","antidictionary"
"monsun","antidiffuser"
"montase","antidynamic"
"montering","antidynasty"
"montir","antidynastic"
"montit","antidynastical"
"montok","antidynastically"
"monumen","antidinic"
"monumental","antidiphtheria"
"monyet","antidiphtheric"
"monyong","antidiphtherin"
"monyos","antidiphtheritic"
"mop","antidisciplinarian"
"mopela","antidyscratic"
"mopit","antidiscrimination"
"morak","antidysenteric"
"moral","antidisestablishmentarian"
"moralis","antidisestablishmentarianism"
"moralisasi","antidysuric"
"moralisme","antidiuretic"
"moralistis","antidivine"
"moralitas","antidivorce"
"morat-marit","Antido"
"moratorium","Anti-docetae"
"morbiditas","antidogmatic"
"morbili","antidogmatical"
"mordan","antidogmatically"
"moreng","antidogmatism"
"mores","antidogmatist"
"morf","antidomestic"
"morfem","antidomestically"
"morfemik","antidominican"
"morfemis","antidora"
"morfin","Antidorcas"
"morfinis","antidoron"
"morfofonem","antidotal"
"morfofonemik","antidotally"
"morfofonemis","antidotary"
"morfofonologi","antidote"
"morfogenesis","antidoted"
"morfologi","antidotes"
"mori","antidote's"
"moril","antidotical"
"mormon","antidotically"
"moron","antidoting"
"morong","antidotism"
"morse","antidraft"
"mortalitas","antidrag"
"mortar","Anti-dreyfusard"
"mortir","antidromal"
"mosaik","antidromy"
"mosi","antidromic"
"mosok","antidromically"
"moster","antidromous"
"mota","antidrug"
"motel","antiduke"
"motif","antidumping"
"motivasi","antieavesdropping"
"motivator","antiecclesiastic"
"moto","antiecclesiastical"
"motor","antiecclesiastically"
"motorik","antiecclesiasticism"
"motoris","antiedemic"
"motorisasi","antieducation"
"motorsaikel","antieducational"
"moyang","antieducationalist"
"mozah","antieducationally"
"mozaik","antieducationist"
"mu","antiegoism"
"mua","antiegoist"
"muadin","antiegoistic"
"muai","antiegoistical"
"muak","antiegoistically"
"muakadah","antiegotism"
"mual","antiegotist"
"mualaf","antiegotistic"
"mualamat","antiegotistical"
"mualif","antiegotistically"
"mualim","antieyestrain"
"muamalah","antiejaculation"
"muamalat","antielectron"
"muanas","antielectrons"
"muara","antiemetic"
"muarikh","anti-emetic"
"muas","antiemetics"
"muasasah","antiemperor"
"muasir","antiempiric"
"muat","antiempirical"
"muazam","antiempirically"
"muazin","antiempiricism"
"mubah","antiempiricist"
"mubalig","antiendotoxin"
"mubaligah","antiendowment"
"mubarak","antienergistic"
"mubarat","Anti-english"
"mubazir","antient"
"mubtadi","Anti-entente"
"mubut","antienthusiasm"
"mucikari","antienthusiast"
"mud","antienthusiastic"
"muda","antienthusiastically"
"mudah","antienvironmentalism"
"mudakar","antienvironmentalist"
"mudarabah","antienvironmentalists"
"mudarat","antienzymatic"
"mudasir","antienzyme"
"mudat","antienzymic"
"mudigah","antiepicenter"
"mudik","antiepileptic"
"mudra","antiepiscopal"
"mudun","antiepiscopist"
"mufaham","antiepithelial"
"mufakat","antierysipelas"
"mufarik","antierosion"
"mufasal","antierosive"
"mufasir","antiestablishment"
"muflis","Antietam"
"mufrad","anti-ethmc"
"mufsidin","antiethnic"
"mufti","antieugenic"
"mugabat","anti-Europe"
"muhabah","Anti-european"
"muhadarah","anti-Europeanism"
"muhadat","antievangelical"
"muhajat","antievolution"
"muhajir","antievolutional"
"muhajirin","antievolutionally"
"muhal","antievolutionary"
"muhalil","antievolutionist"
"muhami","antievolutionistic"
"muhammad","antiexpansion"
"muharam","antiexpansionism"
"muhasabah","antiexpansionist"
"muhib","antiexporting"
"muhibah","antiexpressionism"
"muhit","antiexpressionist"
"muhlikah","antiexpressionistic"
"muhrim","antiexpressive"
"muhsin","antiexpressively"
"muhtasyam","antiexpressiveness"
"muih","antiextreme"
"mujadalah","antiface"
"mujadid","antifaction"
"mujahadat","antifame"
"mujahid","antifanatic"
"mujahidin","antifascism"
"mujair","Anti-fascism"
"mujang","antifascist"
"mujarab","Anti-fascist"
"mujarad","Anti-fascisti"
"mujari","antifascists"
"mujbir","antifat"
"mujtahid","antifatigue"
"mujtamak","antifebrile"
"mujur","antifebrin"
"muk","antifederal"
"muka","Antifederalism"
"mukabalah","Antifederalist"
"mukadam","anti-federalist"
"mukadas","antifelon"
"mukadim","antifelony"
"mukadimah","antifemale"
"mukadin","antifeminine"
"mukadis","antifeminism"
"mukah","antifeminist"
"mukalaf","antifeministic"
"mukalid","antiferment"
"mukaram","antifermentative"
"mukatabah","antiferroelectric"
"mukena","antiferromagnet"
"mukhabarah","antiferromagnetic"
"mukhalaf","antiferromagnetism"
"mukhalafah","antifertility"
"mukhalif","antifertilizer"
"mukhalis","antifeudal"
"mukhlis","antifeudalism"
"mukhtasar","antifeudalist"
"mukibat","antifeudalistic"
"mukim","antifeudalization"
"mukimin","antifibrinolysin"
"mukjizat","antifibrinolysis"
"mukmin","antifideism"
"mukminat","antifire"
"mukminin","antiflash"
"mukoprotein","antiflattering"
"mukosa","antiflatulent"
"mukositis","antiflux"
"muktabar","antifoam"
"muktamad","antifoaming"
"muktamar","antifoggant"
"muktamirin","antifogmatic"
"muktazilah","antiforeign"
"mukun","antiforeigner"
"mula","antiforeignism"
"mulai","antiformant"
"mulakat","antiformin"
"mulamasah","antifouler"
"mulas","antifouling"
"mulat","Anti-fourierist"
"mulato","antifowl"
"mulazamah","anti-France"
"mulhid","antifraud"
"mulia","antifreeze"
"muliawan","antifreezes"
"mullah","antifreezing"
"mulsa","Anti-french"
"multazam","anti-Freud"
"multi-","Anti-freudian"
"multibahasa","anti-Freudianism"
"multibahasawan","antifriction"
"multidimensi","antifrictional"
"multidisipliner","antifrost"
"multietnik","antifundamentalism"
"multifaset","antifundamentalist"
"multifungsi","antifungal"
"multigravida","antifungin"
"multiguna","antifungus"
"multijutawan","antigay"
"multikompleks","antigalactagogue"
"multikrisis","antigalactic"
"multikultur","anti-gallic"
"multikulturalisme","Anti-gallican"
"multilateral","anti-gallicanism"
"multilingual","antigambling"
"multilingualisme","antiganting"
"multimedia","antigen"
"multimeter","antigene"
"multimilioner","antigenes"
"multinasional","antigenic"
"multinegara","antigenically"
"multiorgan","antigenicity"
"multipara","antigens"
"multipel","antigen's"
"multipleks","Anti-german"
"multiplikasi","anti-Germanic"
"multiplikator","Anti-germanism"
"multipolar","anti-Germanization"
"multiprosesor","antighostism"
"multirasial","antigigmanic"
"multirasialisme","antigyrous"
"multiseluler","antiglare"
"multivalen","antiglyoxalase"
"multivalensi","antiglobulin"
"multivitamin","antignostic"
"muluk","Anti-gnostic"
"mulur","antignostical"
"mulus","Antigo"
"mulut","antigod"
"mumayiz","anti-god"
"mumbang","Antigone"
"mumbul","antigonococcic"
"mumbung","Antigonon"
"mumet","antigonorrheal"
"mumi","antigonorrheic"
"mumifikasi","Antigonus"
"mumpung","antigorite"
"mumpuni","Anti-gothicist"
"mumuk","antigovernment"
"mumur","antigovernmental"
"mumut","antigovernmentally"
"munafik","antigraft"
"munafikin","antigrammatical"
"munajat","antigrammatically"
"munajim","antigrammaticalness"
"munasabah","antigraph"
"muncang","antigraphy"
"munci","antigravitate"
"muncikari","antigravitation"
"muncrat","antigravitational"
"muncul","antigravitationally"
"muncus","antigravity"
"mundam","anti-Greece"
"munding","anti-Greek"
"mundu","antigropelos"
"mundur","antigrowth"
"mung","Antigua"
"mung-mung","Antiguan"
"munggu","antiguerilla"
"munggur","antiguggler"
"mungil","anti-guggler"
"mungkar","antigun"
"mungkin","antihalation"
"mungkir","Anti-hanoverian"
"mungkum","antiharmonist"
"mungkur","antihectic"
"mungmung","antihelices"
"mungsi","antihelix"
"mungut","antihelixes"
"munib","antihelminthic"
"munjung","antihemagglutinin"
"muno","antihemisphere"
"munsyi","antihemoglobin"
"muntaber","antihemolysin"
"muntah","antihemolytic"
"muntaha","antihemophilic"
"muntu","antihemorrhagic"
"muntul","antihemorrheidal"
"muntup","antihero"
"munyuk","anti-hero"
"muon","antiheroes"
"mupaham","antiheroic"
"muparik","anti-heroic"
"mupus","antiheroism"
"mur","antiheterolysin"
"mura","antihydrophobic"
"murad","antihydropic"
"muradif","antihydropin"
"murah","antihidrotic"
"murai","antihierarchal"
"murakab","antihierarchy"
"murakabi","antihierarchic"
"mural","antihierarchical"
"muram","antihierarchically"
"murang","antihierarchies"
"muras","antihierarchism"
"murba","antihierarchist"
"murbei","antihygienic"
"murca","antihygienically"
"muri","antihijack"
"murid","antihylist"
"muring","antihypertensive"
"muris","antihypertensives"
"murka","antihypnotic"
"murni","antihypnotically"
"mursal","antihypochondriac"
"mursyid","antihypophora"
"murtad","antihistamine"
"muruah","antihistamines"
"murung","antihistaminic"
"murup","antihysteric"
"murus","antihistorical"
"mus","anti-hog-cholera"
"musaadah","antiholiday"
"musabab","antihomosexual"
"musabaqah","antihormone"
"musafir","antihuff"
"musafirin","antihum"
"musakat","antihuman"
"musala","antihumanism"
"musang","antihumanist"
"musara","antihumanistic"
"museolog","antihumanity"
"museologi","antihumbuggist"
"museum","antihunting"
"mushaf","Anti-ibsenite"
"musibah","anti-icer"
"musik","anti-icteric"
"musikal","anti-idealism"
"musikalisasi","anti-idealist"
"musikalitas","anti-idealistic"
"musikolog","anti-idealistically"
"musikologi","anti-idolatrous"
"musikologis","anti-immigration"
"musikus","anti-immigrationist"
"musim","anti-immune"
"musisi","anti-imperialism"
"muskil","anti-imperialist"
"muskovit","anti-imperialistic"
"muslih","anti-incrustator"
"muslihat","anti-indemnity"
"muslim","anti-induction"
"muslimat","anti-inductive"
"muslimin","anti-inductively"
"muslin","anti-inductiveness"
"musnah","anti-infallibilist"
"muspra","anti-infantal"
"mustahak","antiinflammatory"
"mustahik","antiinflammatories"
"mustahil","anti-innovationist"
"mustaid","antiinstitutionalist"
"mustajab","antiinstitutionalists"
"mustak","antiinsurrectionally"
"mustaka","antiinsurrectionists"
"mustakim","anti-intellectual"
"mustamik","anti-intellectualism"
"mustang","anti-intellectualist"
"musuh","anti-intellectuality"
"musyarakah","anti-intermediary"
"musyarakat","anti-Irish"
"musyarik","Anti-irishism"
"musyawarah","anti-isolation"
"musyawarat","anti-isolationism"
"musyrik","anti-isolationist"
"musyrikin","anti-isolysin"
"musytak","Anti-italian"
"musytari","anti-Italianism"
"mutabar","anti-jacobin"
"mutagen","anti-jacobinism"
"mutah","antijam"
"mutakadim","antijamming"
"mutakalim","Anti-jansenist"
"mutakhir","Anti-japanese"
"mutaki","Anti-japanism"
"mutalaah","Anti-jesuit"
"mutamad","anti-Jesuitic"
"mutan","anti-Jesuitical"
"mutasawif","anti-Jesuitically"
"mutasi","anti-Jesuitism"
"mutawif","anti-Jesuitry"
"mute","Anti-jewish"
"mutiara","Anti-judaic"
"mutih","Anti-judaism"
"mutilasi","anti-Judaist"
"mutisme","anti-Judaistic"
"mutlak","Antikamnia"
"mutmainah","antikathode"
"mutu","antikenotoxin"
"mutualisme","antiketogen"
"mutung","antiketogenesis"
"muwafakat","antiketogenic"
"muwahid","antikinase"
"muwajahah","antiking"
"muwakal","antikings"
"muwakil","Antikythera"
"muwari","Anti-klan"
"muzah","Anti-klanism"
"muzakar","antiknock"
"muzakarah","antiknocks"
"muzaki","antilabor"
"muzamil","antilaborist"
"muzawir","antilacrosse"
"muzhab","antilacrosser"
"n","antilactase"
"na","anti-laissez-faire"
"naam","Anti-lamarckian"
"nabatah","antilapsarian"
"nabati","antilapse"
"nabi","Anti-latin"
"nabtun","anti-Latinism"
"nabu","Anti-laudism"
"nada","antileague"
"nadi","anti-leaguer"
"nadim","antileak"
"nadir","Anti-Lebanon"
"naf","anti-lecomption"
"nafar","anti-lecomptom"
"nafi","antileft"
"nafiri","antilegalist"
"nafkah","antilegomena"
"nafsi","antilemic"
"nafsu","antilens"
"nafta","antilepsis"
"naftal","antileptic"
"naftalena","antilepton"
"naftena","antilethargic"
"naftol","antileukemic"
"naga","antileveling"
"nagam","antilevelling"
"nagara","Antilia"
"nagari","antiliberal"
"nagasari","Anti-liberal"
"nah","antiliberalism"
"nahak","antiliberalist"
"nahas","antiliberalistic"
"nahdiyin","antiliberally"
"nahi","antiliberalness"
"nahkoda","antiliberals"
"nahu","antilibration"
"naib","antilife"
"naif","antilift"
"naik","antilynching"
"naim","antilipase"
"najam","antilipoid"
"najasah","antiliquor"
"najasat","antilysin"
"najis","antilysis"
"nak","antilyssic"
"naka","antilithic"
"nakal","antilytic"
"nakara","antilitter"
"nakhoda","antilittering"
"nal","antiliturgy"
"nala","antiliturgic"
"nalam","antiliturgical"
"nalar","antiliturgically"
"nali","antiliturgist"
"nalih","Antillean"
"naluri","Antilles"
"naluriah","antilobium"
"nama","Antilocapra"
"namaskara","Antilocapridae"
"namatad","Antilochus"
"namatium","antiloemic"
"nambi","antilog"
"namnam","antilogarithm"
"nampan","antilogarithmic"
"namun","antilogarithms"
"nan","antilogy"
"nanah","antilogic"
"nanang","antilogical"
"nanap","antilogies"
"nanaplankton","antilogism"
"nanar","antilogistic"
"nanas","antilogistically"
"nandu","antilogous"
"nandung","antilogs"
"nang","antiloimic"
"nangka","Antilope"
"nangkoda","Antilopinae"
"nangkring","antilopine"
