"Swahili","English"
"udhibiti","acetylphenol"
"udhuru","acetylrosaniline"
"udongo","acetyls"
"uendeshaji","acetylsalicylate"
"ufa","acetylsalicylic"
"ufadhili","acetylsalol"
"ufafanuzi","acetyltannin"
"ufahamu","acetylthymol"
"ufalme","acetyltropeine"
"ufanisi","acetylurea"
"ufikiaji","acetimeter"
"ufuatiliaji","acetimetry"
"ufukweni","acetimetric"
"ufundi","acetin"
"ufungaji","acetine"
"ufunguo","acetins"
"ufunguzi","acetite"
"ufunuo","acetize"
"ugaidi","acetla"
"ugani","acetmethylanilide"
"ugonjwa","acetnaphthalide"
"ugumu","aceto-"
"ugunduzi","acetoacetanilide"
"uh","acetoacetate"
"uhaba","acetoacetic"
"uhalali","acetoamidophenol"
"uhalifu","acetoarsenite"
"uhamiaji","Acetobacter"
"uhamisho","acetobenzoic"
"Uhandisi","acetobromanilide"
"uharibifu","acetochloral"
"uhasibu","acetocinnamene"
"uh-ha","acetoin"
"uhifadhi","acetol"
"uhuru","acetolysis"
"uhusiano","acetolytic"
"uislamu","acetometer"
"ujao","acetometry"
"ujasiri","acetometric"
"ujenzi","acetometrical"
"ujinga","acetometrically"
"ujumbe","acetomorphin"
"ujumla","acetomorphine"
"ujuzi","acetonaemia"
"ukadiriaji","acetonaemic"
"ukaguzi","acetonaphthone"
"ukali","acetonate"
"ukanda","acetonation"
"ukarabati","acetone"
"ukingo","acetonemia"
"ukiukaji","acetonemic"
"ukosefu","acetones"
"ukosoaji","acetonic"
"ukristo","acetonyl"
"ukuaji","acetonylacetone"
"ukubwa","acetonylidene"
"ukumbi","acetonitrile"
"ukumbusho","acetonization"
"ukurasa","acetonize"
"ukuta","acetonuria"
"ukweli","acetonurometer"
"ulaghai","acetophenetide"
"ulaya","acetophenetidin"
"ulemavu","acetophenetidine"
"ulimi","acetophenin"
"ulimwengu","acetophenine"
"ulinzi","acetophenone"
"uliokithiri","acetopiperone"
"uliopita","acetopyrin"
"uliza","acetopyrine"
"um","acetosalicylic"
"uma","acetose"
"umaarufu","acetosity"
"umakini","acetosoluble"
"umaskini","acetostearin"
"umbali","acetothienone"
"umbizo","acetotoluid"
"umbo","acetotoluide"
"umeme","acetotoluidine"
"umiliki","acetous"
"umma","acetoveratrone"
"umoja","acetoxyl"
"umri","acetoxyls"
"umuhimu","acetoxim"
"unafuu","acetoxime"
"unaweza","acetoxyphthalide"
"undani","acetphenetid"
"unga","acetphenetidin"
"ununuzi","acetract"
"unyanyasaji","acettoluide"
"uokoaji","acetum"
"uongo","aceturic"
"Uongo","ACF"
"uongofu","ACGI"
"uongozi","ac-globulin"
"uovu","ACH"
"upande","Achab"
"upanga","Achad"
"upanuzi","Achaea"
"upasuaji","Achaean"
"upatikanaji","Achaemenes"
"upendeleo","Achaemenian"
"upendo","Achaemenid"
"upeo","Achaemenidae"
"upepo","Achaemenides"
"upinde","Achaemenidian"
"upinzani","Achaemenids"
"upotevu","achaenocarp"
"upungufu","Achaenodon"
"upuuzi","Achaeta"
"upweke","achaetous"
"urafiki","Achaeus"
"urahisi","achafe"
"uraia","achage"
"uraibu","Achagua"
"urais","Achaia"
"urefu","Achaian"
"urithi","Achakzai"
"usafiri","achalasia"
"usahihi","Achamoth"
"usajili","Achan"
"usalama","Achango"
"usambazaji","achape"
"usanifu","achaque"
"usawa","achar"
"ushahidi","acharya"
"ushairi","Achariaceae"
"ushauri","Achariaceous"
"ushawishi","acharne"
"ushindani","acharnement"
"ushindi","Acharnians"
"ushirika","achate"
"ushiriki","Achates"
"ushirikiano","Achatina"
"ushuhuda","Achatinella"
"ushuru","Achatinidae"
"usikivu","achatour"
"usiku","Achaz"
"usimamizi","ache"
"usindikaji","acheat"
"uso","achech"
"ustaarabu","acheck"
"ustawi","ached"
"usuli","acheer"
"utaalam","ACHEFT"
"utaalamu","acheilary"
"utabiri","acheilia"
"utafiti","acheilous"
"utajiri","acheiria"
"utamaduni","acheirous"
"utambulisho","acheirus"
"utambuzi","Achelous"
"utangulizi","Achen"
"utaratibu","achene"
"utata","achenes"
"utawala","achenia"
"utayari","achenial"
"utekelezaji","achenium"
"utendaji","achenocarp"
"uteuzi","achenodia"
"Utgång","achenodium"
"utoaji","acher"
"utofauti","Acherman"
"utotoni","Achernar"
"utu","Acheron"
"utukufu","Acheronian"
"utulivu","Acherontic"
"utumbo","Acherontical"
"utume","aches"
"utumwa","Acheson"
"utungaji","achesoun"
"Uturuki","achete"
"uumbaji","Achetidae"
"uvamizi","Acheulean"
"uvimbe","Acheulian"
"uvumbuzi","acheweed"
"uvumi","achy"
"uvuvi","achier"
"uwajibikaji","achiest"
"uwakilishi","achievability"
"uwanja","achievable"
"uwasilishaji","achieve"
"uwekaji","achieved"
"uwekezaji","achievement"
"uwepo","achievements"
"uwezekano","achievement's"
"uwezo","achiever"
"uwiano","achievers"
"uwindaji","achieves"
"uzalishaji","achieving"
"uzi","ach-y-fi"
"uzinduzi","achigan"
"uzio","achilary"
"uzito","achylia"
"uzoefu","Achill"
"uzuri","Achille"
"vampire","Achillea"
"vazi","Achillean"
"viazi","achilleas"
"vibaya","Achilleid"
"vichekesho","achillein"
"video","achilleine"
"vifaa","Achilles"
"vifo","Achillize"
"vigezo","achillobursitis"
"vigumu","achillodynia"
"vijana","achilous"
"vijijini","achylous"
"vikwazo","Achimaas"
"vile","achime"
"vinginevyo","Achimelech"
"vipi","Achimenes"
"vipodozi","achymia"
"vipuri","achymous"
"virusi","Achinese"
"vita","achiness"
"vitamini","achinesses"
"vitendo","aching"
"viwanda","achingly"
"vizuri","achiote"
"vuja","achiotes"
"vumbi","achira"
"vumilia","Achyranthes"
"vurugu","achirite"
"vuta","Achyrodes"
"vyenye","Achish"
"Vyovyote","Achitophel"
"wachache","achkan"
"wachina","achlamydate"
"wadudu","Achlamydeae"
"wafanyakazi","achlamydeous"
"wafu","achlorhydria"
"wajanja","achlorhydric"
"wajibu","achlorophyllous"
"wajinga","achloropsia"
"wakala","achluophobia"
"wakati","Achmed"
"wakili","Achmetha"
"wako","achoke"
"wala","acholia"
"walakini","acholias"
"walemavu","acholic"
"waliogandishwa","Acholoe"
"wanandoa","acholous"
"wanaoishi","acholuria"
"wanyamapori","acholuric"
"wanzi","Achomawi"
"wao","achondrite"
"wapi","achondritic"
"wapya","achondroplasia"
"warsha","achondroplastic"
"wasifu","achoo"
"wasilisha","achor"
"wasiojulikana","achordal"
"wasiwasi","Achordata"
"wasomi","achordate"
"wastani","Achorion"
"watazamaji","Achorn"
"watu","Achras"
"wavu","achree"
"Waya","achroacyte"
"wazee","Achroanthes"
"wazi","achrodextrin"
"wazimu","achrodextrinase"
"waziri","achroglobin"
"wazo","achroiocythaemia"
"weka","achroiocythemia"
"Weka","achroite"
"wekeza","achroma"
"wema","achromacyte"
"wengi","achromasia"
"wenyewe","achromat"
"wetu","achromat-"
"wewe","achromate"
"wezesha","Achromatiaceae"
"WHO","achromatic"
"wigo","achromatically"
"wikendi","achromaticity"
"wiki","achromatin"
"wilaya","achromatinic"
"wimbi","achromatisation"
"wimbo","achromatise"
"wingi","achromatised"
"wingu","achromatising"
"wito","achromatism"
"wizara","Achromatium"
"wizi","achromatizable"
"wow","achromatization"
"ya","achromatize"
"yadi","achromatized"
"yai","achromatizing"
"yake","achromatocyte"
"yako","achromatolysis"
"yangu","achromatope"
"yao","achromatophil"
"yenyewe","achromatophile"
"yeye","achromatophilia"
"yeyote","achromatophilic"
"yoyote","achromatopia"
"zabuni","achromatopsy"
"zahanati","achromatopsia"
"zaidi","achromatosis"
"zama","achromatous"
"zamani","achromats"
"zambarau","achromaturia"
"zao","achromia"
"zawadi","achromic"
"zege","Achromycin"
"ziada","Achromobacter"
"ziara","Achromobacterieae"
"zidi","achromoderma"
"zilizopita","achromophilous"
"zilizopo","achromotrichia"
"zima","achromous"
"zimwi","achronical"
"zinazoendelea","achronychous"
"zinazotolewa","achronism"
"zingatia","achroo-"
"zisizotarajiwa","achroodextrin"
"Ziwa","achroodextrinase"
"zote","achroous"
"zuia","achropsia"
"zulia","Achsah"
"zungumza","achtehalber"
