"Malagasy","English"
"RAFITRA","Aceraceae"
"RAHA","aceraceous"
"rahalahin-drain'i","Acerae"
"RAHALAHY","Acerata"
"rahampitso","acerate"
"raharaham-barotra","acerated"
"rahavavy","Acerates"
"rahona","acerathere"
"rahoviana","Aceratherium"
"raibe","aceratosis"
"Raiki-Dela","acerb"
"raikipohy","Acerbas"
"raiki-tahotra","acerbate"
"raikitra","acerbated"
"Raiso","acerbates"
"raki-kira","acerbating"
"rakitra","acerber"
"rambo","acerbest"
"rangahy","acerbic"
"rano","acerbically"
"ranomandry","acerbity"
"ranomasimbe","acerbityacerose"
"ranomasina","acerbities"
"RANOMASINA","acerbitude"
"ranom-boankazo","acerbly"
"ranon","acerbophobia"
"rantsambatana","acerdol"
"rantsan-","aceric"
"rantsan-tongony","acerin"
"raozy","acerli"
"rariny","acerola"
"ratra","acerolas"
"ratsy","acerose"
"RATSY","acerous"
"RAVA","acerra"
"ravina","acers"
"ray","acertannin"
"RAZANA","acerval"
"Recommend","acervate"
"Reference","acervately"
"re-fifidianana","acervatim"
"Region","acervation"
"REHAREHANY","acervative"
"rehefa","acervose"
"rehetra","acervuli"
"renirano","acervuline"
"RENIRANO","acervulus"
"renitantely","aces"
"RENIVOHITR'I","ace's"
"rENY","acescence"
"rep","acescency"
"repoblikana","acescent"
"Republic","acescents"
"RERAKA","aceship"
"resadresaka","Acesius"
"RESAKA","acesodyne"
"Research","acesodynous"
"Restaurant","Acessamenus"
"retrieve","Acestes"
"Revelation","acestoma"
"revolisiona","acet-"
"revolisionera","aceta"
"rindrina","acetable"
"rindriny","acetabula"
"RIP","acetabular"
"ririnina","Acetabularia"
"Rivo-doza","acetabuliferous"
"rivotra","acetabuliform"
"rOA","acetabulous"
"rob","acetabulum"
"robot","acetabulums"
"rofia","acetacetic"
"rohy","acetal"
"ROJO","acetaldehydase"
"Romana","acetaldehyde"
"rongony","acetaldehydrase"
"RONGONY","acetaldol"
"ronono","acetalization"
"rookie","acetalize"
"Rosiana","acetals"
"rotaka","acetamid"
"Ry","acetamide"
"SAFIDY","acetamidin"
"Safo-drano","acetamidine"
"saha","acetamido"
"sahaza","acetamids"
"SAHAZA","acetaminol"
"Sahia","Acetaminophen"
"sahotaka","acetanilid"
"sahy","acetanilide"
"saika","acetanion"
"Saina","acetaniside"
"sainam-pirenena","acetanisidide"
"SAINGY","acetanisidine"
"saka","acetannin"
"sakafo","acetary"
"SAKAFO","acetarious"
"sakana","acetars"
"sakay","acetarsone"
"salady","acetate"
"Salama","acetated"
"SALASALANY","acetates"
"salut","acetation"
"SAMBATRA","acetazolamide"
"sambo","acetbromamide"
"SAMBO","acetenyl"
"sambory","Acetes"
"samihafa","acethydrazide"
"sampahom-boaloboka","acetiam"
"sampam-pianarana","acetic"
"SAMPANA","acetify"
"sampan-draharaha","acetification"
"Sandam-bola","acetified"
"SANDOKA","acetifier"
"sandwich","acetifies"
"sangany","acetifying"
"santimetatra","acetyl"
"santionany","acetylacetonates"
"saokany","acetylacetone"
"saosy","acetylamine"
"Saraho","acetylaminobenzene"
"saran'ny","acetylaniline"
"sarety","acetylasalicylic"
"sariaka","acetylate"
"saribakoly","acetylated"
"sarimiaina","acetylating"
"sarimihetsika","acetylation"
"sarina","acetylative"
"sarintany","acetylator"
"sarivongana","acetylbenzene"
"sarobidy","acetylbenzoate"
"saro-piaro","acetylbenzoic"
"saro-takarina","acetylbiuret"
"sarotra","acetylcarbazole"
"sary","acetylcellulose"
"SARY","acetylcholine"
"sasany","acetylcholinesterase"
"SASANY","acetylcholinic"
"sata","acetylcyanide"
"Sata","acetylenation"
"satria","acetylene"
"SATRIA","acetylenediurein"
"satro-boninahitra","acetylenes"
"satroka","acetylenic"
"saumon","acetylenyl"
"savily","acetylenogen"
"savony","acetylfluoride"
"sazy","acetylglycin"
"Science","acetylglycine"
"scotch","acetylhydrazine"
"scout","acetylic"
"sehatra","acetylid"
"SEHATRA","acetylide"
"sela","acetyliodide"
"SELA","acetylizable"
"sembana","acetylization"
"sensor","acetylize"
"sento","acetylized"
"septembre","acetylizer"
"seranana","acetylizing"
"serfa","acetylmethylcarbinol"
"Sergent","acetylperoxide"
"setroka","acetylphenylhydrazine"
"sexy","acetylphenol"
"seza","acetylrosaniline"
"SIANTIFIKA","acetyls"
"SIDA","acetylsalicylate"
"sidebar","acetylsalicylic"
"sidintsidina","acetylsalol"
"sigara","acetyltannin"
"Sign","acetylthymol"
"silaka","acetyltropeine"
"silamo","acetylurea"
"Silver","acetimeter"
"simenitra","acetimetry"
"Simia","acetimetric"
"Similar","acetin"
"singa","acetine"
"SINOA","acetins"
"Sintony","acetite"
"siny","acetize"
"sipany","acetla"
"sira","acetmethylanilide"
"siramamy","acetnaphthalide"
"sisin-dalana","aceto-"
"sisin'ny","acetoacetanilide"
"sisintany","acetoacetate"
"sisin-tany","acetoacetic"
"sisiny","acetoamidophenol"
"sitraka","acetoarsenite"
"sitrana","Acetobacter"
"sivana","acetobenzoic"
"sivily","acetobromanilide"
"sivy","acetochloral"
"Size","acetocinnamene"
"ski","acetoin"
"slam","acetol"
"sns","acetolysis"
"soavaly","acetolytic"
"Society","acetometer"
"sock","acetometry"
"soda","acetometric"
"sodina","acetometrical"
"sofina","acetometrically"
"software","acetomorphin"
"sokajy","acetomorphine"
"sokatra","acetonaemia"
"sôkôla","acetonaemic"
"solika","acetonaphthone"
"SOLIKA","acetonate"
"solo","acetonation"
"solontenan'ny","acetone"
"somary","acetonemia"
"sombiny","acetonemic"
"sonia","acetones"
"soratra","acetonic"
"soraty","acetonyl"
"soritry","acetonylacetone"
"sorona","acetonylidene"
"sort","acetonitrile"
"soso-kevitra","acetonization"
"Soso-kevitra","acetonize"
"SOSO-KEVITRA","acetonuria"
"sosona","acetonurometer"
"sotro","acetophenetide"
"sotrokely","acetophenetidin"
"Source","acetophenetidine"
"sovietika","acetophenin"
"Special","acetophenine"
"Square","acetophenone"
"stack","acetopiperone"
"starterDouble","acetopyrin"
"steak","acetopyrine"
"stratejika","acetosalicylic"
"streak","acetose"
"stream","acetosity"
"studio","acetosoluble"
"super","acetostearin"
"surface","acetothienone"
"SY","acetotoluid"
"Syriana","acetotoluide"
"tabilao","acetotoluidine"
"Tabilao","acetous"
"Tadiavo","acetoveratrone"
"Tadidio","acetoxyl"
"tady","acetoxyls"
"tafaray","acetoxim"
"tafiditra","acetoxime"
"TAFIKA","acetoxyphthalide"
"tafintohina","acetphenetid"
"TAFOTRANO","acetphenetidin"
"taha","acetract"
"tahan'ny","acettoluide"
"tahirin-kevitra","acetum"
"tahiry","aceturic"
"tahony","ACF"
"TAHOTRA","ACGI"
"takalon'aina","ac-globulin"
"takariva","ACH"
"takatry","Achab"
"takelaka","Achad"
"takolany","Achaea"
"talantalana","Achaean"
"talata","Achaemenes"
"tale","Achaemenian"
"Talent","Achaemenid"
"taloha","Achaemenidae"
"tambajotra","Achaemenides"
"tampoka","Achaemenidian"
"tanàna","Achaemenids"
"TANAN'ILAY","achaenocarp"
"tanan'ny","Achaenodon"
"tandroka","Achaeta"
"TANIMANGA","achaetous"
"tanindrazany","Achaeus"
"tanjona","achafe"
"tanky","achage"
"tanora","Achagua"
"tANORA","Achaia"
"tantanana","Achaian"
"tantara","Achakzai"
"Tantara","achalasia"
"TANTARA","Achamoth"
"tantaram-pitiavana","Achan"
"Tantaran'i","Achango"
"TANTARANY","achape"
"Tanteraho","achaque"
"tanteraka","achar"
"tantsambo","acharya"
"tany","Achariaceae"
"taolana","Achariaceous"
"TAOM-","acharne"
"TAONA","acharnement"
"taonjato","Acharnians"
"taova","achate"
"tapa","Achates"
"tapaka","Achatina"
"tapa-kazo","Achatinella"
"tapa-kevitra","Achatinidae"
"tapakila","achatour"
"tapitra","Achaz"
"TAPITRISA","ache"
"tara","acheat"
"tara-masoandro","achech"
"taranaka","acheck"
"TARANAKA","ached"
"taratasim-bola","acheer"
"taratasy","ACHEFT"
"TARATASY","acheilary"
"taratra","acheilia"
"tarehy","acheilous"
"tariby","acheiria"
"tari-dalana","acheirous"
"tari-dresaka","acheirus"
"tarihiny","Achelous"
"tariny","Achen"
"tatatra","achene"
"tatitra","achenes"
"TATITRA","achenia"
"tavoahangy","achenial"
"tazo","achenium"
"te","achenocarp"
"teboka","achenodia"
"tech","achenodium"
"Technique","acher"
"TECHNOLOGY","Acherman"
"tehamaina","Achernar"
"tehina","Acheron"
"teknolojia","Acheronian"
"telefaonina","Acherontic"
"TELEFAONINA","Acherontical"
"teleskaopy","aches"
"TELO","Acheson"
"telo-polo","achesoun"
"TEMPOLY","achete"
"tena","Achetidae"
"TENA","Acheulean"
"tenda","Acheulian"
"tendrombohitra","acheweed"
"TENDROMBOHITR'ANDRIAMANITRA","achy"
"tendron'ny","achier"
"tendrony","achiest"
"tenifototra","achievability"
"tenisy","achievable"
"teny","achieve"
"teo","achieved"
"teorika","achievement"
"teraka","achievements"
"TERAKA","achievement's"
"teratany","achiever"
"-tery","achievers"
"testament","achieves"
"tetezamita","achieving"
"tetezana","ach-y-fi"
"tetibola","achigan"
"tetika","achilary"
"TETIKASA","achylia"
"TEZITRA","Achill"
"Theatre","Achille"
"tia","Achillea"
"tian'ny","Achillean"
"tiany","achilleas"
"tifitra","Achilleid"
"Tigra","achillein"
"tilikambo","achilleine"
"toa","Achilles"
"toby","Achillize"
"toe-javatra","achillobursitis"
"toekarena","achillodynia"
"TOEKARENA","achilous"
"toe-po","achylous"
"toeram-pambolena","Achimaas"
"toeram-pianarana","achime"
"toeram-piasana","Achimelech"
"toeram-piompiana","Achimenes"
"toeram-pitsaboana","achymia"
"toeram-pivarotana","achymous"
"toeram-ponenana","Achinese"
"toerana","achiness"
"toetra","achinesses"
"TOETRA","aching"
"toetr'andro","achingly"
"toetrany","achiote"
"toe-tsaina","achiotes"
"tohatra","achira"
"Tohero","Achyranthes"
"tohina","achirite"
"tokantrano","Achyrodes"
"toko","Achish"
"tokoa","Achitophel"
"tokonam-baravarana","achkan"
"tokony","achlamydate"
"tokotanin-tsambo","Achlamydeae"
"tokotany","achlamydeous"
"tOLAKANDRO","achlorhydria"
"tolo-kevitra","achlorhydric"
"tolotra","achlorophyllous"
"tombanana","achloropsia"
"Tombano","achluophobia"
"tombantombana","Achmed"
"TOMBO-KASE","Achmetha"
"tombokavatsa","achoke"
"TOMBONTSOAM","acholia"
"tombony","acholias"
"Tompo","acholic"
"TOMPOKO","Acholoe"
"tompon'andraikitra","acholous"
"Tompon-daka","acholuria"
"TOMPON'NY","acholuric"
"tompony","Achomawi"
"tondrozotra","achondrite"
"tonelina","achondritic"
"TONGA","achondroplasia"
"tongolo","achondroplastic"
"tongotra","achoo"
"tononkalo","achor"
"tontolo","achordal"
"tontonana","Achordata"
"Tony","achordate"
"tora-pasika","Achorion"
"torimaso","Achorn"
"torio","Achras"
"torohevitra","achree"
"toro-hevitra","achroacyte"
"TOROHEVITRA","Achroanthes"
"Torolalana","achrodextrin"
"tosika","achrodextrinase"
"totohondriny","achroglobin"
"totohondry","achroiocythaemia"
"touchdown","achroiocythemia"
"TOY","achroite"
"Training","achroma"
"tranga","achromacyte"
"trano","achromasia"
"tranofiara","achromat"
"tranombakoka","achromat-"
"tranom-borona","achromate"
"tranonkala","Achromatiaceae"
"translate","achromatic"
"Transport","achromatically"
"tratra","achromaticity"
"trondro","achromatin"
"TRONDRO","achromatinic"
"trosa","achromatisation"
"trozona","achromatise"
"tsaho","achromatised"
"tsangambato","achromatising"
"tsanganana","achromatism"
"Tsangatsangana","Achromatium"
"tsapako","achromatizable"
"tsara","achromatization"
"TSARA","achromatize"
"tsaramaso","achromatized"
"tsarovy","achromatizing"
"tsary","achromatocyte"
"tsatòka","achromatolysis"
"tsehatra","achromatope"
"tsena","achromatophil"
"-tserasera","achromatophile"
"t-shirt","achromatophilia"
"tsikelikely","achromatophilic"
"tsikera","achromatopia"
"tsiky","achromatopsy"
"tsimoka","achromatopsia"
"tsindraindray","achromatosis"
"tsindrin-tsakafo","achromatous"
"tsindrio","achromats"
"tsindry","achromaturia"
"tsingerin'ny","achromia"
"tsingerintaona","achromic"
"tsinontsinona","Achromycin"
"tsiny","Achromobacter"
"tsio-drivotra","Achromobacterieae"
"tsipelina","achromoderma"
"tsipìka","achromophilous"
"tsirairay","achromotrichia"
"tsiranoka","achromous"
"tsiro","achronical"
"tsirony","achronychous"
"tsitrapo","achronism"
"-tsorony","achroo-"
"tsotra","achroodextrin"
"Tss","achroodextrinase"
"tsy","achroous"
"TSY","achropsia"
"tuck","Achsah"
"tv","achtehalber"
"twitter","achtel"
"uh-huh","achtelthaler"
"Union","achter"
"utility","achterveld"
"VADIKO","Achuas"
"vady","achuete"
"VADY","acy"
"vahana","acyanoblepsia"
"vahao","acyanopsia"
"vahaolana","acichlorid"
"vahiny","acichloride"
"VAHINY","acyclic"
"vahoaka","acyclically"
"vakansy","acicula"
"vaksiny","aciculae"
"vaky","acicular"
"valahana","acicularity"
"valan-javaboary","acicularly"
"valanorano","aciculas"
"valindrihana","aciculate"
"valiny","aciculated"
"valisoa","aciculum"
"VALO","aciculums"
"valopy","acid"
"vampira","acidaemia"
"van","Acidalium"
"vanim-potoana","Acidanthera"
"vao","Acidaspis"
"vaovao","acid-binding"
"varavarana","acidemia"
"VARAVARANA","acidemias"
"varavarankely","acider"
"varotra","acid-fast"
"vary","acid-fastness"
"vatan-kazo","acid-forming"
"vatany","acidhead"
"vatasarihana","acid-head"
"vato","acidheads"
"vatofantsika","acidy"
"vatolampy","acidic"
"vatomamy","acidiferous"
"vatom-pifidianana","acidify"
"vava","acidifiable"
"Vavahady","acidifiant"
"VAVAKA","acidific"
"vavolombelona","acidification"
"vavony","acidified"
"vavy","acidifier"
"vay","acidifiers"
"vazivazy","acidifies"
"ve","acidifying"
"vehivavy","acidyl"
"VEHIVAVY","acidimeter"
"veloma","acidimetry"
"Veloma","acidimetric"
"Velom-pankasitrahana","acidimetrical"
"velona","acidimetrically"
"VELONA","acidite"
"vera","acidity"
"very","acidities"
"VERY","acidize"
"Video","acidized"
"vidin'ny","acidizing"
"vidiny","acidly"
"vilany","acidness"
"vilia","acidnesses"
"vinavina","acidogenic"
"vintana","acidoid"
"viriosy","acidolysis"
"virtoaly","acidology"
"visy","acidometer"
"vitaminina","acidometry"
"vitsivitsy","acidophil"
"vitsy","acidophile"
"VITSY","acidophilic"
"voa","acidophilous"
"voafetra","acidophilus"
"voafonja","acidoproteolytic"
"voaheloka","acidoses"
"voajanahary","acidosis"
"voakasika","acidosteophyte"
"voalavo","acidotic"
"voalaza","acidproof"
"voalohany","acids"
"VOALOHANY","acid-treat"
"VOAMBOLANA","acidulant"
"voampanga","acidulate"
"voanjo","acidulated"
"voankazo","acidulates"
"voarindrina","acidulating"
"voaroy","acidulation"
"voasary","acidulent"
"voatabia","acidulous"
"voatery","acidulously"
"voavaha","acidulousness"
"vody","aciduria"
"Voina","acidurias"
"vokany","aciduric"
"vokatra","Acie"
"vokatr'izany","acier"
"vokatry","acierage"
"vola","Acieral"
"volamena","acierate"
"volana","acierated"
"VOLANA","acierates"
"volavolan-","acierating"
"volomaso","acieration"
"volontany","acies"
"vondrona","acyesis"
"voninahitra","acyetic"
"voninkazo","aciform"
"Vonjeo","acyl"
"vonjimaika","acylal"
"vonoan-olona","acylamido"
"vonona","acylamidobenzene"
"Vorio","acylamino"
"vorona","acylase"
"vorontsiloza","acylate"
"votoaty","acylated"
"vovoka","acylates"
"vovonana","acylating"
"vozon'akanjoko","acylation"
"vozony","aciliate"
"vs","aciliated"
"vy","Acilius"
"VY","acylogen"
"Weather","acyloin"
"Weekend","acyloins"
"Wow","acyloxy"
"za-draharaha","acyloxymethane"
"zanabolana","acyls"
"ZANAKA","Acima"
"zanak'i","acinaceous"
"zanak'osy","acinaces"
"zanatany","acinacifoliate"
"zana-tsipìka","acinacifolious"
"zandriny","acinaciform"
"zaraina","acinacious"
"Zarao","acinacity"
"ZARIDAINA","acinar"
"zatovo","acinary"
"Zava","acinarious"
"zava-baovao","Acineta"
"zava-bita","Acinetae"
"zava-bitany","acinetan"
"zavaboary","Acinetaria"
"zava-dehibe","acinetarian"
"ZAVA-DEHIBE","acinetic"
"zava-doza","acinetiform"
"Zava-kendreny","Acinetina"
"zava-miafina","acinetinan"
"zava-misy","acing"
"ZAVA-MISY","acini"
"zava-nitranga","acinic"
"zava-pisotro","aciniform"
"zavatra","acinose"
"ZAVATRA","acinotubular"
"zaza","acinous"
"ZAZA","acinuni"
"ZAZAKELY","acinus"
"zazalahy","acious"
"zipo","Acipenser"
"zo","Acipenseres"
"zokiolona","acipenserid"
"ZOMA","Acipenseridae"
"zom-pirenena","acipenserine"
"zoro","acipenseroid"
"zozoro","Acipenseroidei"
