"Esperanto","English"
"legi","acetanilid"
"legitimadi","acetanilide"
"legitimi","acetanion"
"lekcii","acetaniside"
"leki","acetanisidide"
"lektrinki","acetanisidine"
"lernoservi","acetannin"
"lesivi","acetary"
"levi","acetarious"
"lezi","acetars"
"liberlasi","acetarsone"
"licenci","acetate"
"lici","acetated"
"ligi","acetates"
"lignizi","acetation"
"lignotegi","acetazolamide"
"ligofermi","acetbromamide"
"liki","acetenyl"
"likvidi","Acetes"
"limdifini","acethydrazide"
"limfiksi","acetiam"
"limi","acetic"
"limiti","acetify"
"limsigni","acetification"
"linĉi","acetified"
"linii","acetifier"
"lipi","acetifies"
"lirli","acetifying"
"lispi","acetyl"
"literumi","acetylacetonates"
"litografi","acetylacetone"
"liveri","acetylamine"
"lofi","acetylaminobenzene"
"loĝadi","acetylaniline"
"logakiri","acetylasalicylic"
"logaritmi","acetylate"
"loĝi","acetylated"
"loginstigi","acetylating"
"logi","acetylation"
"lokfiksi","acetylative"
"loki","acetylator"
"loksidi","acetylbenzene"
"lombardi","acetylbenzoate"
"longi","acetylbenzoic"
"lopi","acetylbiuret"
"loti","acetylcarbazole"
"lotumi","acetylcellulose"
"lubriki","acetylcholine"
"ludi","acetylcholinesterase"
"ludoni","acetylcholinic"
"ludŝerci","acetylcyanide"
"luĝi","acetylenation"
"lui","acetylene"
"luksacii","acetylenediurein"
"lukti","acetylenes"
"luli","acetylenic"
"lumeski","acetylenyl"
"lumi","acetylenogen"
"lumineski","acetylfluoride"
"lumvibri","acetylglycin"
"lupreni","acetylglycine"
"luti","acetylhydrazine"
"luvi","acetylic"
"maceri","acetylid"
"maĉeti","acetylide"
"maĉi","acetyliodide"
"magneti","acetylizable"
"majesti","acetylization"
"majstri","acetylize"
"makleri","acetylized"
"makuli","acetylizer"
"malagrafi","acetylizing"
"malagregi","acetylmethylcarbinol"
"malakceli","acetylperoxide"
"malakcepti","acetylphenylhydrazine"
"malakiri","acetylphenol"
"malami","acetylrosaniline"
"malankri","acetyls"
"malanonci","acetylsalicylate"
"malaperadi","acetylsalicylic"
"malaperi","acetylsalol"
"malaprobi","acetyltannin"
"malaranĝi","acetylthymol"
"malarmi","acetyltropeine"
"malatenti","acetylurea"
"malbeni","acetimeter"
"malbonfari","acetimetry"
"malbonfarti","acetimetric"
"malbonodori","acetin"
"malboodori","acetine"
"malbuki","acetins"
"malbutoni","acetite"
"malcedi","acetize"
"malĉifri","acetla"
"maldiligenti","acetmethylanilide"
"maldormi","acetnaphthalide"
"maldungi","aceto-"
"malei","acetoacetanilide"
"malesperi","acetoacetate"
"malestimi","acetoacetic"
"maletendi","acetoamidophenol"
"malfaldi","acetoarsenite"
"malfermadi","Acetobacter"
"malfermi","acetobenzoic"
"malfidi","acetobromanilide"
"malfrosti","acetochloral"
"malfrui","acetocinnamene"
"malfunkcii","acetoin"
"malgaji","acetol"
"malgajni","acetolysis"
"malglui","acetolytic"
"malhasti","acetometer"
"malhavi","acetometry"
"malhelpi","acetometric"
"malhisi","acetometrical"
"malhonori","acetometrically"
"malimpliki","acetomorphin"
"malkaŝi","acetomorphine"
"malkateni","acetonaemia"
"malkluĉi","acetonaemic"
"malkodi","acetonaphthone"
"malkombini","acetonate"
"malkombi","acetonation"
"malkomponi","acetone"
"malkoncentri","acetonemia"
"malkonekti","acetonemic"
"malkonfidi","acetones"
"malkonfirmi","acetonic"
"malkonsenti","acetonyl"
"malkonsili","acetonylacetone"
"malkonstrui","acetonylidene"
"malkonveni","acetonitrile"
"malkorki","acetonization"
"malkovri","acetonize"
"malkreski","acetonuria"
"malkroĉeti","acetonurometer"
"malkroĉi","acetophenetide"
"malkudri","acetophenetidin"
"malkvalifiki","acetophenetidine"
"mallabori","acetophenin"
"mallaĉi","acetophenine"
"mallaksi","acetophenone"
"mallaŭdi","acetopiperone"
"mallevi","acetopyrin"
"malligi","acetopyrine"
"malmergi","acetosalicylic"
"malmobilizi","acetose"
"malmunti","acetosity"
"malnodi","acetosoluble"
"malobei","acetostearin"
"malpaci","acetothienone"
"malpaki","acetotoluid"
"malpermesi","acetotoluide"
"malplaĉi","acetotoluidine"
"malplasi","acetous"
"malplekti","acetoveratrone"
"malpreni","acetoxyl"
"malprofiti","acetoxyls"
"malprogresi","acetoxim"
"malrespekti","acetoxime"
"malŝalti","acetoxyphthalide"
"malsamopinii","acetphenetid"
"malsaneti","acetphenetidin"
"malsani","acetract"
"malŝargi","acettoluide"
"malŝarĝi","acetum"
"malsati","aceturic"
"malŝati","ACF"
"malsigeli","ACGI"
"malŝlosi","ac-globulin"
"malŝpari","ACH"
"malŝraŭbi","Achab"
"malstebi","Achad"
"malŝtopi","Achaea"
"malstreĉi","Achaean"
"malsukcesi","Achaemenes"
"malsuprenfali","Achaemenian"
"malsuprenflui","Achaemenid"
"malsuprengrimpi","Achaemenidae"
"malsupreniri","Achaemenides"
"malsuprenĵeti","Achaemenidian"
"malsuprenkuri","Achaemenids"
"malsuprenporti","achaenocarp"
"malsuprentiri","Achaenodon"
"malsuprenveturi","Achaeta"
"malŝveli","achaetous"
"maltegi","Achaeus"
"maltordi","achafe"
"maltrafi","achage"
"maltriki","Achagua"
"malutili","Achaia"
"malvarmumi","Achaian"
"malvenki","Achakzai"
"malvesti","achalasia"
"malvigli","Achamoth"
"malvolvi","Achan"
"malvuali","Achango"
"malzipi","achape"
"malzorgi","achaque"
"mamnutri","achar"
"mamsuĉi","acharya"
"manbatali","Achariaceae"
"mandiveni","Achariaceous"
"manformi","acharne"
"manĝaĉi","acharnement"
"manĝadi","Acharnians"
"manĝegi","achate"
"mangesti","Achates"
"manĝeti","Achatina"
"manĝi","Achatinella"
"manifestacii","Achatinidae"
"manifesti","achatour"
"manikuri","Achaz"
"manipuli","ache"
"mankaresi","acheat"
"manki","achech"
"manklaki","acheck"
"manovri","ached"
"mansani","acheer"
"mansigni","ACHEFT"
"mansvingi","acheilary"
"manuzi","acheilia"
"mapi","acheilous"
"marĉandi","acheiria"
"marini","acheirous"
"marketri","acheirus"
"marki","Achelous"
"markoti","Achen"
"marodi","achene"
"marŝi","achenes"
"martelbati","achenia"
"marteli","achenial"
"masaĝi","achenium"
"masakri","achenocarp"
"maŝinskribi","achenodia"
"maski","achenodium"
"masoni","acher"
"mastiki","Acherman"
"mastri","Achernar"
"masturbi","Acheron"
"mati","Acheronian"
"matrici","Acherontic"
"matrikuli","Acherontical"
"mebli","aches"
"medali","Acheson"
"mediti","achesoun"
"meĥanizi","achete"
"mekanizi","Achetidae"
"meki","Acheulean"
"melki","Acheulian"
"memorfiksi","acheweed"
"memori","achy"
"memorteni","achier"
"mencii","achiest"
"mendi","achievability"
"mensogi","achievable"
"mergi","achieve"
"meringi","achieved"
"meriti","achievement"
"mesaĝi","achievements"
"metalizi","achievement's"
"meti","achiever"
"metit","achievers"
"mezuri","achieves"
"miaŭi","achieving"
"mieni","ach-y-fi"
"migreti","achigan"
"migri","achilary"
"miksaĉi","achylia"
"miksi","Achill"
"militakiri","Achille"
"militarizi","Achillea"
"militi","Achillean"
"militservi","achilleas"
"mimiki","Achilleid"
"mimi","achillein"
"minaci","achilleine"
"minekspluati","Achilles"
"minfosi","Achillize"
"mini","achillobursitis"
"misagi","achillodynia"
"misagordi","achilous"
"misaŭdi","achylous"
"miselekti","Achimaas"
"misformi","achime"
"misfunkcii","Achimelech"
"misinterpreti","Achimenes"
"miskalkuli","achymia"
"miskompreni","achymous"
"misloki","Achinese"
"misparoli","achiness"
"mispaŝi","achinesses"
"misprezenti","aching"
"mistaksi","achingly"
"mistifiki","achiote"
"mistraduki","achiotes"
"mistrafi","achira"
"mistrakti","Achyranthes"
"misvoji","achirite"
"mizeri","Achyrodes"
"mobilizi","Achish"
"modeli","Achitophel"
"modifi","achkan"
"modli","achlamydate"
"moduli","Achlamydeae"
"moki","achlamydeous"
"mokridi","achlorhydria"
"molesti","achlorhydric"
"monologi","achlorophyllous"
"monpuni","achloropsia"
"montri","achluophobia"
"morddifekti","Achmed"
"mordeti","Achmetha"
"mordi","achoke"
"mordkapti","acholia"
"mordteni","acholias"
"mordumi","acholic"
"mordvundi","Acholoe"
"mortaĉi","acholous"
"mortezi","acholuria"
"morti","acholuric"
"mortpafi","Achomawi"
"mortpersekuti","achondrite"
"mortpiki","achondritic"
"mortpuni","achondroplasia"
"mortstrangoli","achondroplastic"
"morttorturi","achoo"
"mortturmenti","achor"
"motivi","achordal"
"motorizi","Achordata"
"movi","achordate"
"mueli","Achorion"
"muelprocedi","Achorn"
"muĝi","Achras"
"mulĉi","achree"
"muldi","achroacyte"
"multipliki","Achroanthes"
"multobligi","achrodextrin"
"mungi","achrodextrinase"
"munti","achroglobin"
"murdi","achroiocythaemia"
"murfarbi","achroiocythemia"
"murmureti","achroite"
"murmuri","achroma"
"mutacii","achromacyte"
"mutili","achromasia"
"muziki","achromat"
"naĝi","achromat-"
"najbari","achromate"
"najlfermi","Achromatiaceae"
"najli","achromatic"
"narkoti","achromatically"
"naski","achromaticity"
"naturalizi","achromatin"
"naŭzi","achromatinic"
"navigadi","achromatisation"
"navigi","achromatise"
"nazbrui","achromatised"
"nazflari","achromatising"
"nazparoli","achromatism"
"naztrumpeti","Achromatium"
"nebuli","achromatizable"
"nebulpluveti","achromatization"
"nebulpluvi","achromatize"
"neĝbataleti","achromatized"
"neĝbatali","achromatizing"
"negi","achromatocyte"
"neĝi","achromatolysis"
"neglekti","achromatope"
"negliĝi","achromatophil"
"negocaĉi","achromatophile"
"negoci","achromatophilia"
"nei","achromatophilic"
"nenifari","achromatopia"
"nesti","achromatopsy"
"nigrumi","achromatopsia"
"nikeli","achromatosis"
"nikelizi","achromatous"
"niveli","achromats"
"noci","achromaturia"
"noĉi","achromia"
"nodi","achromic"
"nokti","Achromycin"
"noktumi","Achromobacter"
"nomadi","Achromobacterieae"
"nombri","achromoderma"
"nomi","achromophilous"
"nomumi","achromotrichia"
"normi","achromous"
"normumi","achronical"
"nostalgii","achronychous"
"noti","achronism"
"novali","achroo-"
"nuanci","achroodextrin"
"nubmieni","achroodextrinase"
"numeri","achroous"
"nutri","achropsia"
"obdukcii","Achsah"
"obei","achtehalber"
"obĵeti","achtel"
"obligi","achtelthaler"
"obliteri","achter"
"obsedi","achterveld"
"observi","Achuas"
"obstakli","achuete"
"obstini","acy"
"obstrukci","acyanoblepsia"
"obturi","acyanopsia"
"odoraĉi","acichlorid"
"odori","acichloride"
"ofendi","acyclic"
"oferi","acyclically"
"oferti","acicula"
"ofici","aciculae"
"okazi","acicular"
"oksidi","acicularity"
"okulegi","acicularly"
"okuleti","aciculas"
"okuli","aciculate"
"okulsigni","aciculated"
"okulumi","aciculum"
"okulvagi","aciculums"
"okupacii","acid"
"okupi","acidaemia"
"olei","Acidalium"
"oleumi","Acidanthera"
"omaĝi","Acidaspis"
"ombri","acid-binding"
"ondadi","acidemia"
"ondetadi","acidemias"
"ondeti","acider"
"ondi","acid-fast"
"ondumi","acid-fastness"
"opaleski","acid-forming"
"operacii","acidhead"
"opinii","acid-head"
"oponi","acidheads"
"opozicii","acidy"
"opresi","acidic"
"orakoli","acidiferous"
"oratori","acidify"
"ordeni","acidifiable"
"ordini","acidifiant"
"ordi","acidific"
"ordofari","acidification"
"ordoĝeni","acidified"
"ordometi","acidifier"
"ordoni","acidifiers"
"ordorompi","acidifies"
"organizi","acidifying"
"orgeni","acidyl"
"orgenludi","acidimeter"
"orgojli","acidimetry"
"orienti","acidimetric"
"origini","acidimetrical"
"ori","acidimetrically"
"orli","acidite"
"ornami","acidity"
"orumi","acidities"
"oscedi","acidize"
"oscili","acidized"
"ostenti","acidizing"
"ovacii","acidly"
"ovri","acidness"
"ozonizi","acidnesses"
"pacienci","acidogenic"
"pacifi","acidoid"
"pafi","acidolysis"
"pafvundi","acidology"
"pagaji","acidometer"
"pagi","acidometry"
"paĝonumeri","acidophil"
"pajlosterni","acidophile"
"paki","acidophilic"
"pakumi","acidophilous"
"palavri","acidophilus"
"paledizi","acidoproteolytic"
"palisi","acidoses"
"palisumi","acidosis"
"palpadi","acidosteophyte"
"palpebrumi","acidotic"
"palpekzameni","acidproof"
"palpesplori","acids"
"palpi","acid-treat"
"panegiri","acidulant"
"panei","acidulate"
"paniki","acidulated"
"pansi","acidulates"
"panumi","acidulating"
"papagumi","acidulation"
"papiliumi","acidulent"
"paradi","acidulous"
"paradornami","acidulously"
"paradvesti","acidulousness"
"parafi","aciduria"
"parafrazi","acidurias"
"paralizi","aciduric"
"paraŝuti","Acie"
"parati","acier"
"paraziti","acierage"
"pardoni","Acieral"
"pardonpeti","acierate"
"parfumi","acierated"
"pargeti","acierates"
"pari","acierating"
"parki","acieration"
"parodii","acies"
"parolaĉi","acyesis"
"paroladi","acyetic"
"paroli","aciform"
"parolmaski","acyl"
"paroltrompi","acylal"
"partopreni","acylamido"
"parvenui","acylamidobenzene"
"paŝeti","acylamino"
"pasi","acylase"
"paŝi","acylate"
"pasloĝi","acylated"
"paŝmezuri","acylates"
"paŝoŝanĝi","acylating"
"paŝti","acylation"
"pastri","aciliate"
"pasumi","aciliated"
"patenti","Acilius"
"pati","acylogen"
"patrici","acyloin"
"patrini","acyloins"
"patroli","acyloxy"
"patronadi","acyloxymethane"
"patroni","acyls"
"paŭŝali","Acima"
"paŭsi","acinaceous"
"paŭti","acinaces"
"paŭzi","acinacifoliate"
"pavadi","acinacifolious"
"pavimi","acinaciform"
"pavi","acinacious"
"pedali","acinacity"
"pedikuri","acinar"
"pekigadi","acinary"
"pekli","acinarious"
"peladi","Acineta"
"pelatingi","Acinetae"
"pelĉasi","acinetan"
"peli","Acinetaria"
"pendi","acinetarian"
"pendoli","acinetic"
"pendornami","acinetiform"
"pendumi","Acinetina"
"penegi","acinetinan"
"penetri","acing"
"peniki","acini"
"peni","acinic"
"penlabori","aciniform"
"pensii","acinose"
"pensi","acinotubular"
"penti","acinous"
"pentofari","acinuni"
"pentri","acinus"
"pepi","acious"
"pepkanti","Acipenser"
"peradaĉi","Acipenseres"
"percepti","acipenserid"
"perdi","Acipenseridae"
"perei","acipenserine"
"pereni","acipenseroid"
"perfori","Acipenseroidei"
"peri","acyrology"
"perkuti","acyrological"
"perli","Acis"
"permesi","acystia"
"permuti","acitate"
"persekuti","acity"
"persisti","aciurgy"
"persvadi","ACK"
"perturbi","ack-ack"
"pesi","ackee"
"petakiri","ackees"
"petegi","ackey"
"peticii","ackeys"
"peti","Acker"
"petolegi","Ackerley"
"petoli","Ackerly"
"petolkuri","Ackerman"
"petpeti","Ackermanville"
"petroseli","Ackley"
"petveturi","Ackler"
"piedaĉi","ackman"
"piedbati","ackmen"
"piedfrakasi","acknew"
"piedfrapi","acknow"
"piediri","acknowing"
"piedpremi","acknowledge"
"piedpuŝi","acknowledgeable"
"pigri","acknowledged"
"piketi","acknowledgedly"
"piki","acknowledgement"
"pikmoki","acknowledgements"
"pikniki","acknowledger"
"pikparoli","acknowledgers"
"pikpiki","acknowledges"
"pikpluki","acknowledging"
"pikvundi","acknowledgment"
"pilgrimi","acknowledgments"
"piloti","acknowledgment's"
"pinĉi","acknown"
"pinti","ack-pirate"
"pioĉi","ackton"
"pipkrii","Ackworth"
"pipri","ACL"
"pirati","aclastic"
"pirueti","acle"
"pisi","acleidian"
"pisti","acleistocardia"
"pistolfarbi","acleistous"
"pistolŝpruci","Aclemon"
"plaĉi","aclydes"
"plafoni","aclidian"
"plagiati","aclinal"
"plaki","aclinic"
"plandegi","aclys"
"plani","a-clock"
"planizi","acloud"
"planki","ACLS"
"planti","ACLU"
"plasi","ACM"
"platgarni","Acmaea"
"plaŭdeti","Acmaeidae"
"plaŭdi","acmaesthesia"
"pledi","acmatic"
"plekti","acme"
"plektri","acmes"
"plenblovi","acmesthesia"
"plendeti","acmic"
"plendi","Acmispon"
"plenĝui","acmite"
"pleni","Acmon"
"plenskribi","acne"
"plenŝoveli","acned"
"plenŝtopi","acneform"
"plenŝuti","acneiform"
"plenumi","acnemia"
"plezurĝuegi","acnes"
"plezurĝui","Acnida"
"plezuri","acnodal"
"plisi","acnode"
"plonĝi","acnodes"
"ploraĉi","ACO"
"plorbleki","acoasm"
"plorboji","acoasma"
"ploregi","a-coast"
"ploreti","Acocanthera"
"plorĝemi","acocantherin"
"plori","acock"
"plorkrii","acockbill"
"plorpepi","a-cock-bill"
"plorsingulti","a-cock-horse"
"plugi","acocotl"
"pluki","Acoela"
"plumi","Acoelomata"
"plupagi","acoelomate"
"pluvegi","acoelomatous"
"pluveti","Acoelomi"
"pluvguti","acoelomous"
"pluvi","acoelous"
"polarizi","Acoemetae"
"polemiki","Acoemeti"
"poleni","Acoemetic"
"polui","acoenaesthesia"
"poluri","ACOF"
"polvi","acoin"
"pomadi","acoine"
"pompi","Acol"
"ponardi","Acolapissa"
"porciumi","acold"
"porparoli","Acolhua"
"porti","Acolhuan"
"portreti","acolyctine"
"posedi","acolyte"
"postdati","acolytes"
"posteni","acolyth"
"postiri","acolythate"
"poŝti","acolytus"
"postlasi","acology"
"postresti","acologic"
"postsekvi","acolous"
"postuli","acoluthic"
"postveni","Acoma"
"postvivi","acomia"
"potenci","acomous"
"povi","a-compass"
"povoscii","aconative"
"pozi","Aconcagua"
"praktiki","acondylose"
"prami","acondylous"
"pranci","acone"
"pravi","aconelline"
"precipiti","aconic"
"prediki","aconin"
"predi","aconine"
"preferadi","aconital"
"preferi","aconite"
"preĝi","aconites"
"pregi","aconitia"
"prelegi","aconitic"
"premegi","aconitin"
"premeti","aconitine"
"premii","Aconitum"
"premisi","aconitums"
"premi","acontia"
"premkontuzi","Acontias"
"premligi","acontium"
"premsigni","Acontius"
"premsufoki","aconuresis"
"premtordi","acool"
"premtuŝi","acop"
"premvundi","acopic"
"preni","acopyrin"
"prepari","acopyrine"
"preskribi","acopon"
"preskripti","acor"
"preteksti","acorea"
"pretendi","acoria"
"preteratenti","acorn"
"preterdormi","acorned"
"preterflugi","acorns"
"pretergliti","acorn's"
"preteriri","acorn-shell"
"preterkuri","Acorus"
"preterlasi","acosmic"
"preterpasi","acosmism"
"preterpaŝi","acosmist"
"preterpeli","acosmistic"
"preterrapidi","acost"
"preterveturi","Acosta"
"preventi","acotyledon"
"prezenti","acotyledonous"
"prezidi","acouasm"
"priatenti","acouchi"
"priaŭskulti","acouchy"
"pribedaŭri","acoumeter"
"pridebati","acoumetry"
"pridiskuti","acounter"
"pridonaci","acouometer"
"priflari","acouophonia"
"prifriponi","acoup"
"prihaki","acoupa"
"prijuĝi","acoupe"
"prikalkuli","acousma"
"prikanti","acousmas"
"prikli","acousmata"
"prikonsideri","acousmatic"
"prilabori","acoustic"
"prilaŭdi","acoustical"
"prilumi","acoustically"
"primajstri","acoustician"
"primastrumi","acoustico-"
"primediti","acousticolateral"
"primeti","Acousticon"
"primoki","acousticophobia"
"printi","acoustics"
"pripafi","acoustoelectric"
"pripalpi","ACP"
"priparoli","acpt"
"pripensi","acpt."
"priplanti","Acquah"
"priplori","acquaint"
"pripluki","acquaintance"
"prirabi","acquaintances"
"priradii","acquaintance's"
"pririgardi","acquaintanceship"
"prisekreti","acquaintanceships"
"prisemi","acquaintancy"
"priserĉi","acquaintant"
"priservi","acquainted"
"prisetli","acquaintedness"
"prisilenti","acquainting"
"priskrapi","acquaints"
"priskribi","Acquaviva"
"priŝteladi","acquent"
"priŝteli","acquereur"
"pritaksi","acquest"
"pritondi","acquests"
"pritrakti","acquiesce"
"priverŝadi","acquiesced"
"priverŝi","acquiescement"
"privilegii","acquiescence"
"prizorgi","acquiescences"
"proceduri","acquiescency"
"procesi","acquiescent"
"prodigi","acquiescently"
"produkti","acquiescer"
"profani","acquiesces"
"profeti","acquiescing"
"profili","acquiescingly"
"profiti","acquiesence"
"profituzi","acquiet"
"prognozi","acquirability"
"programi","acquirable"
"progresadi","acquire"
"progresi","acquired"
"prohibi","acquirement"
"projekcii","acquirements"
"projekti","acquirenda"
"proklami","acquirer"
"prokrasti","acquirers"
"proliferi","acquires"
"promeni","acquiring"
"promenveturi","acquisible"
"promesi","acquisita"
"promocii","acquisite"
"proni","acquisited"
"propagandi","acquisition"
"propagi","acquisitional"
"propeti","acquisitions"
"proponi","acquisition's"
"prosperi","acquisitive"
"protektadi","acquisitively"
"protekti","acquisitiveness"
"protesti","acquisitor"
"protokoli","acquisitum"
"provi","acquist"
"provizi","acquit"
"provoki","acquital"
"prudi","acquitment"
"pruntepreni","acquits"
"prunti","acquittal"
"pruvi","acquittals"
"publici","acquittance"
"publiki","acquitted"
"pudli","acquitter"
"pulsi","acquitting"
"pumpi","acquophonia"
"pumpumi","acr-"
"punadmoni","Acra"
"puni","Acrab"
"punkcii","acracy"
"punkti","Acraea"
"punsidi","acraein"
"purti","Acraeinae"
"puŝbati","acraldehyde"
"puŝfermi","Acrania"
"pusi","acranial"
"puŝi","acraniate"
"putri","acrasy"
"rabakiri","acrasia"
"rabataki","Acrasiaceae"
"rabii","Acrasiales"
"rabi","acrasias"
"radiadi","Acrasida"
"radii","Acrasieae"
"radiki","acrasin"
"radiografi","acrasins"
"radioskopi","Acraspeda"
"radpremi","acraspedote"
"radŝiri","acratia"
"radumi","acraturesis"
"rafini","acrawl"
"rajpi","acraze"
"rajti","Acre"
"raketi","acreable"
"rakonti","acreage"
"rami","acreages"
"rampi","acreak"
"rangantaŭi","acream"
"rangi","acred"
"rapidegi","acre-dale"
"rapidi","Acredula"
"raporti","acre-foot"
"rasli","acre-inch"
"raspi","acreman"
"rasti","acremen"
"rastkolekti","Acres"
"ratifiki","acre's"
"raŭki","acrestaff"
"raŭksoni","a-cry"
"ravegi","acrid"
"ravi","acridan"
"razi","acridane"
"reagi","acrider"
"reanimi","acridest"
"rebati","acridian"
"rebobeni","acridic"
"rebrili","acridid"
"reburĝoni","Acrididae"
"recenzi","Acridiidae"
"recepi","acridyl"
"recepti","acridin"
"reciproki","acridine"
"reciti","acridines"
"redakti","acridinic"
"redempti","acridinium"
"rediri","acridity"
"redoni","acridities"
"redukti","Acridium"
"reeduki","Acrydium"
"reekzameni","acridly"
"reenspezi","acridness"
"refaldi","acridnesses"
"refandi","acridone"
"refari","acridonium"
"refasoni","acridophagus"
"referenci","acriflavin"
"referi","acriflavine"
"refi","acryl"
"reflekti","acrylaldehyde"
"reformi","Acrilan"
"reforstumi","acrylate"
"refrakti","acrylates"
"refreŝiĝadi","acrylic"
"refuti","acrylics"
"regali","acrylyl"
"regeneri","acrylonitrile"
"reĝisori","acrimony"
"registri","acrimonies"
"regi","acrimonious"
"reglamenti","acrimoniously"
"regresi","acrimoniousness"
"regurgiti","acrindolin"
"rehabiliti","acrindoline"
"reimagi","acrinyl"
"reiri","acrisy"
"rekalkuli","acrisia"
"reklamacii","Acrisius"
"reklami","Acrita"
"rekomenci","acritan"
"rekomendi","acrite"
"rekoni","acrity"
"rekonstrui","acritical"
"rekonturi","acritochromacy"
"rekrei","acritol"
"rekruti","acritude"
"rektifiki","ACRNEMA"
"rektifi","acro-"
"rekudri","Acroa"
"rekuperi","acroaesthesia"
"rekvizicii","acroama"
"relabori","acroamata"
"remaĉi","acroamatic"
"remburi","acroamatical"
"rememori","acroamatics"
"remeti","acroanesthesia"
"remi","acroarthritis"
"remorki","acroasis"
"rempari","acroasphyxia"
"renaski","acroataxia"
"renkonti","acroatic"
"renonci","acrobacy"
"rentgeni","acrobacies"
"renversi","acrobat"
"reorganizi","Acrobates"
"repagi","acrobatholithic"
"repliki","acrobatic"
"repreni","acrobatical"
"represi","acrobatically"
"reprezenti","acrobatics"
"reprodukti","acrobatism"
"repudii","acrobats"
"repuŝi","acrobat's"
"resendi","acrobystitis"
"reskribi","acroblast"
"resoni","acrobryous"
"reŝosi","Acrocarpi"
"respekti","acrocarpous"
"respondi","acrocentric"
"responsi","acrocephaly"
"restadi","acrocephalia"
"restaŭri","acrocephalic"
"resti","acrocephalous"
"restitui","Acrocera"
"restrikti","Acroceratidae"
"resumi","Acroceraunian"
"retajpi","Acroceridae"
"reteni","Acrochordidae"
"retiri","Acrochordinae"
"retkapti","acrochordon"
"retrati","acrocyanosis"
"retroefiki","acrocyst"
"retrofleksi","acrock"
"retroiri","Acroclinium"
"retroklini","Acrocomia"
"retropaŝi","acroconidium"
"retroveturi","acrocontracture"
"retuŝi","acrocoracoid"
"revelacii","Acrocorinth"
"reveni","acrodactyla"
"reverki","acrodactylum"
"revidi","acrodermatitis"
"revi","acrodynia"
"revindi","acrodont"
"revizii","acrodontism"
"revizi","acrodonts"
"revizori","acrodrome"
"revoki","acrodromous"
"revolucii","Acrodus"
"revolvi","acroesthesia"
"revui","acrogamy"
"rezervi","acrogamous"
"rezidi","acrogen"
"rezignacii","acrogenic"
"rezigni","acrogenous"
"rezisti","acrogenously"
"rezolucii","acrogens"
"rezoni","Acrogynae"
"rezulti","acrogynous"
"ribeli","acrography"
"riceli","acrolein"
"ricevadi","acroleins"
"ricevi","acrolith"
"riĉi","acrolithan"
"ridegi","acrolithic"
"rideksplodi","acroliths"
"rideti","acrology"
"rifuzegi","acrologic"
"rifuzi","acrologically"
"rigardaĉi","acrologies"
"rigardensorĉi","acrologism"
"rigardi","acrologue"
"rigi","acromania"
"rigladi","acromastitis"
"rigli","acromegaly"
"rikani","acromegalia"
"rikolti","acromegalic"
"rilati","acromegalies"
"rilegi","acromelalgia"
"rimarki","acrometer"
"rimi","acromia"
"rimorsi","acromial"
"ringizi","acromicria"
"ripari","acromimia"
"ripozi","acromioclavicular"
"riproĉadmoni","acromiocoracoid"
"riproĉegi","acromiodeltoid"
"riproĉi","Acromyodi"
"riski","acromyodian"
"risorti","acromyodic"
"ristorni","acromyodous"
"ritmi","acromiohyoid"
"riveli","acromiohumeral"
"riverenci","acromion"
"rivolui","acromioscapular"
"roli","acromiosternal"
"rompadi","acromiothoracic"
"rompdifekti","acromyotonia"
"rompeti","acromyotonus"
"rompi","acromonogrammatic"
"rompsoni","acromphalus"
"rondflugi","acron"
"rondiradi","acronal"
"rondiri","acronarcotic"
"rondkuri","acroneurosis"
"rondnaĝi","acronic"
"rondturni","acronyc"
"ronĝi","acronical"
"ronki","acronycal"
"ronroni","acronically"
"rori","acronycally"
"roskovri","acronych"
"rosti","acronichal"
"rostsibli","acronychal"
"rotacii","acronichally"
"rudri","acronychally"
"rugi","acronychous"
"ruĝi","Acronycta"
"ruĝumi","acronyctous"
"rui","acronym"
"rukti","acronymic"
"rukuli","acronymically"
"rulcilindri","acronymize"
"rulfali","acronymized"
"ruli","acronymizing"
"rulknedi","acronymous"
"rulpremi","acronyms"
"rulsoni","acronym's"
"rulvolvi","acronyx"
"rusti","acronomy"
"ruzi","acrook"
"ruztrompi","acroparalysis"
"sabli","acroparesthesia"
"saboti","acropathy"
"sabri","acropathology"
"ŝafbleki","acropetal"
"ŝafobleki","acropetally"
"safrani","acrophobia"
"sagi","acrophonetic"
"saĝumi","acrophony"
"ŝajni","acrophonic"
"ŝaki","acrophonically"
"ŝakludi","acrophonies"
"sakrilegii","acropodia"
"ŝakri","acropodium"
"ŝaktenveturi","acropoleis"
"salajri","Acropolis"
"saldi","acropolises"
"sali","acropolitan"
"salivi","Acropora"
"salivmakuli","acropore"
"salivumi","acrorhagus"
"saltadi","acrorrheuma"
"salteti","acrosarc"
"salti","acrosarca"
"ŝalti","acrosarcum"
"salutakcepti","acroscleriasis"
"saluti","acroscleroderma"
"samopinii","acroscopic"
"sampli","acrose"
"ŝampui","acrosome"
"ŝanceleti","acrosomes"
"ŝanceliri","acrosphacelus"
"ŝanceli","acrospire"
"sangadi","acrospired"
"ŝanĝeti","acrospiring"
"sangi","acrospore"
"ŝanĝi","acrosporous"
"sankcii","across"
"sanktolei","across-the-board"
"sanktoleumi","acrostic"
"sapei","acrostical"
"sapi","acrostically"
