"Sesotho","English"
"tshebeletsano","acetylrosaniline"
"tshebeletso","acetyls"
"tshebetso","acetylsalicylate"
"tsheha","acetylsalicylic"
"tshehetsa","acetylsalol"
"tshehetsang","acetyltannin"
"tshehetso","acetylthymol"
"tshela","acetyltropeine"
"tshelela","acetylurea"
"tshenolo","acetimeter"
"tshenyeho","acetimetry"
"tshenyo","acetimetric"
"tshepe","acetin"
"tshepile","acetine"
"tshepisa","acetins"
"tshepiso","acetite"
"tshepo","acetize"
"tsheshetsa","acetla"
"tshilafatso","acetmethylanilide"
"tshireletso","acetnaphthalide"
"tshisinyo","aceto-"
"tshoana","acetoacetanilide"
"tshoanang","acetoacetate"
"tshoanya","acetoacetic"
"tshoara","acetoamidophenol"
"tshoarela","acetoarsenite"
"tshoarelo","Acetobacter"
"tshoaro","acetobenzoic"
"tshoaroa","acetobromanilide"
"tshobotsi","acetochloral"
"tshoha","acetocinnamene"
"tshohanyetso","acetoin"
"tshohile","acetol"
"tshokoloho","acetolysis"
"tshomo","acetolytic"
"tshosa","acetometer"
"tshosang","acetometry"
"tshoso","acetometric"
"tshusumetso","acetometrical"
"tsieleha","acetometrically"
"tsielehile","acetomorphin"
"tsietsi","acetomorphine"
"tsilatsila","acetonaemia"
"tšimoloho","acetonaemic"
"tšitiso","acetonaphthone"
"tsitlella","acetonate"
"tsitsang","acetonation"
"tsitsipano","acetone"
"tsitsitseng","acetonemia"
"tsoa","acetonemic"
"tšoaetso","acetones"
"tsoalo","acetonic"
"tsoaloa","acetonyl"
"tšoaneleha","acetonylacetone"
"tšoanelehang","acetonylidene"
"tšoaneloa","acetonitrile"
"tšoantšiso","acetonization"
"tšoara","acetonize"
"tšoarelo","acetonuria"
"tšoasa","acetonurometer"
"tšobotsi","acetophenetide"
"tsoekere","acetophenetidin"
"tsoelopele","acetophenetidine"
"tsoelo-pele","acetophenin"
"tšoene","acetophenine"
"tšoenya","acetophenone"
"tšoenyang","acetopiperone"
"tšoenyeha","acetopyrin"
"tšoenyehile","acetopyrine"
"tšoeu","acetosalicylic"
"tsoha","acetose"
"tsohile","acetosity"
"tšohile","acetosoluble"
"tsohle","acetostearin"
"tsoma","acetothienone"
"tšōmo","acetotoluid"
"tsosolosa","acetotoluide"
"tsotehang","acetotoluidine"
"tsuba","acetous"
"tube","acetoveratrone"
"tukang","acetoxyl"
"tuketsa","acetoxyls"
"tumellano","acetoxim"
"tumello","acetoxime"
"tumelo","acetoxyphthalide"
"tummeng","acetphenetid"
"tv","acetphenetidin"
"twitter","acetract"
"uena","acettoluide"
"uh","acetum"
"uh-huh","aceturic"
"um","ACF"
"unit","ACGI"
"univesithi","ac-globulin"
"utloa","ACH"
"utloahalang","Achab"
"utloisisa","Achad"
"utsoa","Achaea"
"vaerase","Achaean"
"vampire","Achaemenes"
"van","Achaemenian"
"veini","Achaemenid"
"video","Achaemenidae"
"vithamine","Achaemenides"
"warrant","Achaemenidian"
"websaeteng","Achaemenids"
"wela","achaenocarp"
"WHO","Achaenodon"
"whoa","Achaeta"
"workshop","achaetous"
"Wow","Achaeus"
"Yerrrrrrr","achafe"
"zero","achage"
