"Tajik","English"
"фаришта","acetylglycin"
"фарк","acetylglycine"
"фарқият","acetylhydrazine"
"фармоиш","acetylic"
"фармон","acetylid"
"фаровон","acetylide"
"фарогирӣ","acetyliodide"
"фаронсавӣ","acetylizable"
"фасод","acetylization"
"фасодзада","acetylize"
"фаҳманд","acetylized"
"фаҳмиш","acetylizer"
"фаъол","acetylizing"
"фаъолият","acetylmethylcarbinol"
"фаъолона","acetylperoxide"
"феврал","acetylphenylhydrazine"
"федералй","acetylphenol"
"ферма","acetylrosaniline"
"фестиваль","acetyls"
"физика","acetylsalicylate"
"фил","acetylsalicylic"
"филиал","acetylsalol"
"филм","acetyltannin"
"филтр","acetylthymol"
"филфил","acetyltropeine"
"фильм","acetylurea"
"фиристодан","acetimeter"
"фискалӣ","acetimetry"
"фитнес","acetimetric"
"фишанг","acetin"
"фишор","acetine"
"фишурдан","acetins"
"флеш","acetite"
"флот","acetize"
"фоида","acetla"
"фоиданок","acetmethylanilide"
"фоидаовар","acetnaphthalide"
"фоиз","aceto-"
"фонда","acetoacetanilide"
"формат","acetoacetate"
"формула","acetoacetic"
"фортепиано","acetoamidophenol"
"форум","acetoarsenite"
"фосила","Acetobacter"
"фочиа","acetobenzoic"
"фоҷиавӣ","acetobromanilide"
"франшиза","acetochloral"
"функсионалӣ","acetocinnamene"
"функсия","acetoin"
"фунт","acetol"
"фуромадан","acetolysis"
"фурсат","acetolytic"
"фурудгоҳ","acetometer"
"фурӯш","acetometry"
"фурӯшанд","acetometric"
"фурӯшанда","acetometrical"
"футбол","acetometrically"
"футболка","acetomorphin"
"фуҷур","acetomorphine"
"ха","acetonaemia"
"хавотир","acetonaemic"
"хавф","acetonaphthone"
"хавфнок","acetonate"
"хаёл","acetonation"
"хаёт","acetone"
"хазидан","acetonemia"
"хазинаи","acetonemic"
"хайвонот","acetones"
"хайкалтарошй","acetonic"
"хайма","acetonyl"
"хайр","acetonylacetone"
"Хайр","acetonylidene"
"хайрия","acetonitrile"
"халиҷ","acetonization"
"халичи","acetonize"
"халк","acetonuria"
"халос","acetonurometer"
"халта","acetophenetide"
"хамеша","acetophenetidin"
"хамир","acetophenetidine"
"хамкорй","acetophenin"
"хамсафар","acetophenine"
"хамсоя","acetophenone"
"ханда","acetopiperone"
"хандаовар","acetopyrin"
"хандидан","acetopyrine"
"хандовар","acetosalicylic"
"хануз","acetose"
"хар","acetosity"
"характер","acetosoluble"
"харбй","acetostearin"
"харгӯш","acetothienone"
"харид","acetotoluid"
"харидор","acetotoluide"
"харита","acetotoluidine"
"хароб","acetous"
"харобй","acetoveratrone"
"харом","acetoxyl"
"харочот","acetoxyls"
"харошидан","acetoxim"
"хаста","acetoxime"
"хасу","acetoxyphthalide"
"хат","acetphenetid"
"Хатар","acetphenetidin"
"хатарнок","acetract"
"хати","acettoluide"
"хатм","acetum"
"хато","aceturic"
"хатогӣ","ACF"
"хафагӣ","ACGI"
"хашм","ac-globulin"
"хашмгин","ACH"
"хек","Achab"
"хеле","Achad"
"Хеллоуин","Achaea"
"хеши","Achaean"
"хиёбон","Achaemenes"
"хиёбони","Achaemenian"
"хизматгор","Achaemenid"
"хизматрасонй","Achaemenidae"
"химия","Achaemenides"
"химиявй","Achaemenidian"
"хип","Achaemenids"
"хирад","achaenocarp"
"хирс","Achaenodon"
"хислат","Achaeta"
"хишт","achaetous"
"хмм","Achaeus"
"хоб","achafe"
"хобидан","achage"
"хоидан","Achagua"
"хок","Achaia"
"хока","Achaian"
"хокистар","Achakzai"
"хокистарранг","achalasia"
"хоккей","Achamoth"
"хоксор","Achan"
"хола","Achango"
"холестирин","achape"
"холй","achaque"
"холӣ","achar"
"хом","acharya"
"хомуш","Achariaceae"
"хомӯш","Achariaceous"
"хомушй","acharne"
"хона","acharnement"
"хонанда","Acharnians"
"хондан","achate"
"хонед","Achates"
"хонум","Achatina"
"хориҷӣ","Achatinella"
"хос","Achatinidae"
"хотира","achatour"
"хотиррасон","Achaz"
"хохар","ache"
"хохиш","acheat"
"хохишманд","achech"
"хоҳад","acheck"
"хочагй","ached"
"хроника","acheer"
"хуб","ACHEFT"
"Хуб","acheilary"
"худ","acheilia"
"худам","acheilous"
"худамон","acheiria"
"худат","acheirous"
"худаш","acheirus"
"худашон","Achelous"
"худкушӣ","Achen"
"худо","achene"
"Худоё","achenes"
"хук","achenia"
"хукумат","achenial"
"хулоса","achenium"
"хун","achenocarp"
"хунравй","achenodia"
"хунхор","achenodium"
"хурд","acher"
"хӯрдан","Acherman"
"Хурдафурӯшӣ","Achernar"
"хурдсол","Acheron"
"хурмо","Acheronian"
"хӯрок","Acherontic"
"хуроки","Acherontical"
"хусусӣ","aches"
"хусусият","Acheson"
"хучумкунанда","achesoun"
"хуччатй","achete"
"хуш","Achetidae"
"хушбахт","Acheulean"
"хушбахтй","Acheulian"
"хушбахтона","acheweed"
"хушбин","achy"
"хушк","achier"
"хушмуомила","achiest"
"хушнуд","achievability"
"хушхабар","achievable"
"ҳа","achieve"
"ҳаб","achieved"
"ҳавас","achievement"
"ҳавасмандкунӣ","achievements"
"ҳавз","achievement's"
"ҳавлӣ","achiever"
"ҳаво","achievers"
"ҳавопаймо","achieves"
"ҳадаф","achieving"
"ҳадя","ach-y-fi"
"ҳазор","achigan"
"ҳайвон","achilary"
"ҳайкал","achylia"
"ҳайратангез","Achill"
"ҳайратовар","Achille"
"ҳайрон","Achillea"
"ҳақиқат","Achillean"
"ҳақиқатан","achilleas"
"ҳаққи","Achilleid"
"ҳал","achillein"
"ҳалим","achilleine"
"ҳалқа","Achilles"
"ҳалли","Achillize"
"ҳама","achillobursitis"
"ҳамаҷониба","achillodynia"
"ҳамвор","achilous"
"ҳамдардӣ","achylous"
"ҳамён","Achimaas"
"ҳамеша","achime"
"ҳамзамон","Achimelech"
"ҳамкор","Achimenes"
"ҳамкорӣ","achymia"
"ҳамла","achymous"
"ҳаммом","Achinese"
"Ҳамоиш","achiness"
"ҳамон","achinesses"
"ҳамроҳ","aching"
"ҳамсар","achingly"
"ҳамсол","achiote"
"ҳамто","achiotes"
"ҳаракат","achira"
"ҳарду","Achyranthes"
"Ҳаромзода","achirite"
"ҳарорат","Achyrodes"
"ҳарҳафтаина","Achish"
"ҳасад","Achitophel"
"ҳассос","achkan"
"ҳассосият","achlamydate"
"ҳастам","Achlamydeae"
"ҳатман","achlamydeous"
"ҳатто","achlorhydria"
"Ҳафт","achlorhydric"
"ҳафта","achlorophyllous"
"ҳафтум","achloropsia"
"ҳаҷвӣ","achluophobia"
"ҳаҷм","Achmed"
"ҳашарот","Achmetha"
"ҳашт","achoke"
"ҳаштум","acholia"
"ҳаюло","acholias"
"ҳаяҷон","acholic"
"ҳаяҷоновар","Acholoe"
"ҳеҷ","acholous"
"ҳизб","acholuria"
"ҳикоя","acholuric"
"ҳимоя","Achomawi"
"ҳимоягар","achondrite"
"ҳимоятгар","achondritic"
"ҳиндӣ","achondroplasia"
"ҳис","achondroplastic"
"ҳисоб","achoo"
"Ҳисоб","achor"
"ҳисобкунак","achordal"
"ҳиссагузор","Achordata"
"ҳиссиёт","achordate"
"ҳифз","Achorion"
"ҳодиса","Achorn"
"ҳозир","Achras"
"ҳокимият","achree"
"ҳолати","achroacyte"
"ҳомиладор","Achroanthes"
"ҳомиладорӣ","achrodextrin"
"ҳоҷатхона","achrodextrinase"
"ҳубобӣ","achroglobin"
"ҳузур","achroiocythaemia"
"ҳукм","achroiocythemia"
"ҳукмрон","achroite"
"ҳуқуқ","achroma"
"ҳунар","achromacyte"
"ҳуҷайра","achromasia"
"ҳуҷра","achromat"
"ҳуҷум","achromat-"
"ҳуҷҷат","achromate"
"ҳушдор","Achromatiaceae"
"ҷавоб","achromatic"
"ҷавон","achromatically"
"чавонон","achromaticity"
"ҷадвал","achromatin"
"ҷаз","achromatinic"
"ҷазира","achromatisation"
"ҷазо","achromatise"
"чамъият","achromatised"
"чамъиятй","achromatising"
"ҷамъоварӣ","achromatism"
"ҷамъомад","Achromatium"
"ҷанбаи","achromatizable"
"чанг","achromatization"
"ҷанг","achromatize"
"чангак","achromatized"
"чангал","achromatizing"
"ҷангал","achromatocyte"
"чангидан","achromatolysis"
"ҷанговар","achromatope"
"чандир","achromatophil"
"чандирӣ","achromatophile"
"ҷаноб","achromatophilia"
"ҷануб","achromatophilic"
"ҷанубӣ","achromatopia"
"ҷанҷол","achromatopsy"
"чап","achromatopsia"
"ҷараён","achromatosis"
"ҷарима","achromatous"
"чарм","achromats"
"чаро","achromaturia"
"чароғ","achromia"
"ҷароҳат","achromic"
"чаррох","Achromycin"
"ҷарроҳӣ","Achromobacter"
"чарх","Achromobacterieae"
"чархбол","achromoderma"
"ҷаҳаннам","achromophilous"
"ҷаҳиш","achromotrichia"
"чаҳорчӯба","achromous"
"чашм","achronical"
"ҷашн","achronychous"
"ҷевон","achronism"
"чемпион","achroo-"
"чемпионат","achroodextrin"
"чеҳра","achroodextrinase"
"чӣ","achroous"
"ҷигар","achropsia"
"ҷиддӣ","Achsah"
"чиз","achtehalber"
"чизе","achtel"
"чил","achtelthaler"
"чинӣ","achter"
"ҷиноят","achterveld"
"чинояткор","Achuas"
"ҷинояткор","achuete"
"ҷинс","acy"
"ҷинсӣ","acyanoblepsia"
"чип","acyanopsia"
"чипта","acichlorid"
"чисмонй","acichloride"
"ҷисмонӣ","acyclic"
"ҷодугар","acyclically"
"ҷодугарӣ","acicula"
"чой","aciculae"
"ҷой","acicular"
"ҷойгиркунӣ","acicularity"
"ҷойгиршавӣ","acicularly"
"ҷойи","aciculas"
"ҷолиб","aciculate"
"ҷомашӯӣ","aciculated"
"ҷомеа","aciculum"
"ҷон","aciculums"
"чоп","acid"
"чор","acidaemia"
"чорво","Acidalium"
"ҷорӣ","Acidanthera"
"чормағз","Acidaspis"
"чорум","acid-binding"
"чоршанбе","acidemia"
"чосус","acidemias"
"чоҳ","acider"
"чошнӣ","acid-fast"
"чуб","acid-fastness"
"чӯб","acid-forming"
"чубин","acidhead"
"ҷуброн","acid-head"
"ҷуворӣ","acidheads"
"ҷудо","acidy"
"ҷудоӣ","acidic"
"ҷудокунӣ","acidiferous"
"ҷузъи","acidify"
"чуқур","acidifiable"
"ҷумъа","acidifiant"
"чун","acidific"
"чунбондан","acidification"
"чунин","acidified"
"ҷӯроб","acidifier"
"ҷуръат","acidifiers"
"ҷустуҷӯ","acidifies"
"ҷуфт","acidifying"
"чӯҷа","acidyl"
"шаб","acidimeter"
"шабака","acidimetry"
"шавковар","acidimetric"
"шавҳар","acidimetrical"
"шадид","acidimetrically"
"шайтон","acidite"
"Шайтон","acidity"
"шакар","acidities"
"шакл","acidize"
"шамол","acidized"
"шамшер","acidizing"
"шамъ","acidly"
"шанбе","acidness"
"шараф","acidnesses"
"шарбат","acidogenic"
"шарик","acidoid"
"шарикӣ","acidolysis"
"шарқӣ","acidology"
"шарм","acidometer"
"шармгин","acidometry"
"шарора","acidophil"
"шарт","acidophile"
"шартнома","acidophilic"
"шартҳо","acidophilous"
"шарҳ","acidophilus"
"Шарҳ","acidoproteolytic"
"шаттл","acidoses"
"шаффоф","acidosis"
"шахр","acidosteophyte"
"шахрванд","acidotic"
"шахрй","acidproof"
"шахс","acids"
"шахсан","acid-treat"
"шахсӣ","acidulant"
"шахсият","acidulate"
"шаҳодат","acidulated"
"шаҳр","acidulates"
"шаҳрвандӣ","acidulating"
"шаш","acidulation"
"шашум","acidulent"
"шево","acidulous"
"шер","acidulously"
"шериф","acidulousness"
"шеър","aciduria"
"шиддат","acidurias"
"шикам","aciduric"
"шикаст","Acie"
"шикаста","acier"
"шикор","acierage"
"шикорчй","Acieral"
"шикоят","acierate"
"шим","acierated"
"шимол","acierates"
"шимолӣ","acierating"
"шина","acieration"
"шинос","acies"
"шиносоӣ","acyesis"
"шир","acyetic"
"ширин","aciform"
"шириниҳо","acyl"
"ширкат","acylal"
"шитоб","acylamido"
"шифо","acylamidobenzene"
"шифоҳӣ","acylamino"
"шифт","acylase"
"шиша","acylate"
"шкаф","acylated"
"шод","acylates"
"шодй","acylating"
"шоир","acylation"
"шоиста","aciliate"
"шоколад","aciliated"
"шом","Acilius"
"шоридан","acylogen"
"шох","acyloin"
"шоҳзода","acyloins"
"Шоҳзода","acyloxy"
"шоҳид","acyloxymethane"
"шоҳона","acyls"
"шоҳроҳ","Acima"
"шояд","acinaceous"
"штаб","acinaces"
"шубҳа","acinacifoliate"
"шубҳанок","acinacifolious"
"шуғл","acinaciform"
"шудан","acinacious"
"шукргузорӣ","acinacity"
"шумо","acinar"
"шумор","acinary"
"шунаванда","acinarious"
"шунидан","Acineta"
"шӯрбо","Acinetae"
"шӯриш","acinetan"
"шӯро","Acinetaria"
"шустан","acinetarian"
"шуур","acinetic"
"шӯхӣ","acinetiform"
"шӯҳрат","Acinetina"
"шӯҳратпараст","acinetinan"
"шӯҳратпарастӣ","acing"
"шуш","acini"
"э","acinic"
"эволютсия","aciniform"
"эго","acinose"
"Эй","acinotubular"
"экипаж","acinous"
"экосистема","acinuni"
"экран","acinus"
"электрик","acious"
"электрикй","Acipenser"
"электронӣ","Acipenseres"
"элемент","acipenserid"
"элита","Acipenseridae"
"эмотсионалӣ","acipenserine"
"энергия","acipenseroid"
"эпизод","Acipenseroidei"
"эрод","acyrology"
"эронӣ","acyrological"
"этникй","Acis"
"эхтиётй","acystia"
"эҳсос","acitate"
"эҳсосӣ","acity"
"эҳсосот","aciurgy"
"эҳтиёт","ACK"
"эҳтимол","ack-ack"
"эҳтимолан","ackee"
"эҳтимолият","ackees"
"эҳтимолиятҳо","ackey"
"эҳтиром","ackeys"
"эҷод","Acker"
"эчодй","Ackerley"
"эчодкорй","Ackerly"
"эълон","Ackerman"
"эътиборнок","Ackermanville"
"эътиқод","Ackley"
"эътилоф","Ackler"
"эътимод","ackman"
"эътимоднокӣ","ackmen"
"эътироз","acknew"
"эътирозгар","acknow"
"эътироф","acknowing"
"юмор","acknowledge"
"юнонӣ","acknowledgeable"
"юрисдикция","acknowledged"
"ягон","acknowledgedly"
"ягонагй","acknowledgement"
"ядрой","acknowledgements"
"як","acknowledger"
"яксон","acknowledgers"
"якхела","acknowledges"
"якчанд","acknowledging"
"якчоя","acknowledgment"
"якшанбе","acknowledgments"
"ямоқи","acknowledgment's"
"январ","acknown"
"японӣ","ack-pirate"
"ях","ackton"
"яхкардашуда","Ackworth"
"яҳудӣ","ACL"
