"Basque","English"
"kopa","acetation"
"kopeta","acetazolamide"
"kopiatu","acetbromamide"
"kordoi","acetenyl"
"koreera","Acetes"
"koroa","acethydrazide"
"koronel","acetiam"
"korporatiboa","acetic"
"korporazio","acetify"
"korrelazioa","acetification"
"korrespontsala","acetified"
"korrika","acetifier"
"korrikalaria","acetifies"
"Kostaldea","acetifying"
"kostaldekoa","acetyl"
"kostua","acetylacetonates"
"kotoia","acetylacetone"
"kotxea","acetylamine"
"kreditua","acetylaminobenzene"
"krema","acetylaniline"
"kriminal","acetylasalicylic"
"krisia","acetylate"
"kristala","acetylated"
"kristaua","acetylating"
"kristautasuna","acetylation"
"kritika","acetylative"
"kritikaria","acetylator"
"kritikatu","acetylbenzene"
"kritikoa","acetylbenzoate"
"kronika","acetylbenzoic"
"kronikoa","acetylbiuret"
"krudela","acetylcarbazole"
"kuantikoa","acetylcellulose"
"kuboa","acetylcholine"
"kudeaketa","acetylcholinesterase"
"kudeatu","acetylcholinic"
"kudeatzailea","acetylcyanide"
"kultura","acetylenation"
"kulturala","acetylene"
"kulunka","acetylenediurein"
"kuota","acetylenes"
"kurba","acetylenic"
"kutsadura","acetylenyl"
"kutxa","acetylenogen"
"labana","acetylfluoride"
"labarra","acetylglycin"
"labea","acetylglycine"
"labean","acetylhydrazine"
"laborantza","acetylic"
"laborategia","acetylid"
"labur-labur","acetylide"
"laburpen","acetyliodide"
"laburra","acetylizable"
"lagina","acetylization"
"lagun","acetylize"
"laguna","acetylized"
"lagunartekoa","acetylizer"
"lagundu","acetylizing"
"lagungarria","acetylmethylcarbinol"
"laguntza","acetylperoxide"
"laguntzaile","acetylphenylhydrazine"
"laguntzailea","acetylphenol"
"laguntzak","acetylrosaniline"
"laikoa","acetyls"
"lana","acetylsalicylate"
"lanak","acetylsalicylic"
"lanbidea","acetylsalol"
"landa","acetyltannin"
"landarea","acetylthymol"
"lanean","acetyltropeine"
"langabezia","acetylurea"
"langilea","acetimeter"
"langileak","acetimetry"
"lankidea","acetimetric"
"lankidetza","acetin"
"lanpara","acetine"
"lanpetuta","acetins"
"lantokia","acetite"
"lapikoa","acetize"
"lapurra","acetla"
"lapurreta","acetmethylanilide"
"lapurtu","acetnaphthalide"
"laranja","aceto-"
"larri","acetoacetanilide"
"larria","acetoacetate"
"larrialdia","acetoacetic"
"larrua","acetoamidophenol"
"larunbata","acetoarsenite"
"lasai","Acetobacter"
"laserra","acetobenzoic"
"laster","acetobromanilide"
"lasterketa","acetochloral"
"latina","acetocinnamene"
"lau","acetoin"
"laua","acetol"
"laudorio","acetolysis"
"laugarrena","acetolytic"
"laurdena","acetometer"
"lausotu","acetometry"
"lautada","acetometric"
"laztana","acetometrical"
"legea","acetometrically"
"legedia","acetomorphin"
"legegilea","acetomorphine"
"legegintzaldia","acetonaemia"
"legez","acetonaemic"
"legezkoa","acetonaphthone"
"legitimoa","acetonate"
"lehena","acetonation"
"lehendakaria","acetone"
"lehendakaritza","acetonemia"
"lehenengoa","acetonemic"
"lehenetsia","acetones"
"lehengusua","acetonic"
"lehenik","acetonyl"
"lehentasun","acetonylacetone"
"lehentasuna","acetonylidene"
"leherketa","acetonitrile"
"lehertu","acetonization"
"lehiaketa","acetonize"
"lehiakide","acetonuria"
"lehiakorra","acetonurometer"
"lehiatu","acetophenetide"
"lehoia","acetophenetidin"
"lehorra","acetophenetidine"
"leial","acetophenin"
"leialtasuna","acetophenine"
"leihoa","acetophenone"
"leku","acetopiperone"
"lekua","acetopyrin"
"lekuko","acetopyrine"
"lentea","acetosalicylic"
"lepoa","acetose"
"lepokoa","acetosity"
"lerroa","acetosoluble"
"lerrokatu","acetostearin"
"lesioa","acetothienone"
"letrak","acetotoluid"
"leuna","acetotoluide"
"liberala","acetotoluidine"
"libratu","acetous"
"libreki","acetoveratrone"
"liburua","acetoxyl"
"liburutegia","acetoxyls"
"lidergoa","acetoxim"
"liderra","acetoxime"
"liga","acetoxyphthalide"
"likidazioa","acetphenetid"
"liluragarria","acetphenetidin"
"limoia","acetract"
"liteke","acettoluide"
"literalki","acetum"
"literarioa","aceturic"
"literatura","ACF"
"litroa","ACGI"
"litzateke","ac-globulin"
"lizarra","ACH"
"lizentzia","Achab"
"lizentziatua","Achad"
"lodia","Achaea"
"lodiak","Achaean"
"logela","Achaemenes"
"logika","Achaemenian"
"logikoa","Achaemenid"
"lokatza","Achaemenidae"
"lorategi","Achaemenides"
"lorea","Achaemenidian"
"lorpena","Achaemenids"
"lortu","achaenocarp"
"lotan","Achaenodon"
"lotsa","Achaeta"
"lotsati","achaetous"
"lotsatuta","Achaeus"
"lotu","achafe"
"lotura","achage"
"lurperatu","Achagua"
"lurra","Achaia"
"lurraldea","Achaian"
"lurreratzea","Achakzai"
"lurrikara","achalasia"
"lurruna","Achamoth"
"lursaila","Achan"
"lurzorua","Achango"
"luzapena","achape"
"luzatu","achaque"
"luzea","achar"
"luzera","acharya"
"madarikatua","Achariaceae"
"magia","Achariaceous"
"magikoa","acharne"
"magnitudea","acharnement"
"mahaia","Acharnians"
"mahuka","achate"
"maiatza","Achates"
"maila","Achatina"
"mailegatu","Achatinella"
"mailegu","Achatinidae"
"mailua","achatour"
"maisu","Achaz"
"maitagarria","ache"
"maitalea","acheat"
"maitasuna","achech"
"maitea","acheck"
"maiz","ached"
"maiztasuna","acheer"
"makila","ACHEFT"
"makillajea","acheilary"
"makina","acheilia"
"makurtu","acheilous"
"malgua","acheiria"
"malgutasuna","acheirous"
"mamua","acheirus"
"manifestari","Achelous"
"manipulatu","Achen"
"manta","achene"
"mantendu","achenes"
"mantentzea","achenia"
"mapa","achenial"
"marea","achenium"
"margolaria","achenocarp"
"margotu","achenodia"
"marihuana","achenodium"
"marjina","acher"
"marka","Acherman"
"markatu","Achernar"
"markatzailea","Acheron"
"marketina","Acheronian"
"markoa","Acherontic"
"marra","Acherontical"
"marrazkia","aches"
"marrazoa","Acheson"
"marraztu","achesoun"
"marroia","achete"
"martxoa","Achetidae"
"masa","Acheulean"
"masaila","Acheulian"
"masailezurra","acheweed"
"masiboa","achy"
"maskara","achier"
"maskota","achiest"
"matematika","achievability"
"materia","achievable"
"materiala","achieve"
"matxinada","achieved"
"matxinatu","achievement"
"medikoa","achievements"
"medikua","achievement's"
"Medikuntza","achiever"
"mehatxatu","achievers"
"mehatxua","achieves"
"mehea","achieving"
"mekanikoa","ach-y-fi"
"mekanismoa","achigan"
"memoria","achilary"
"mendean","achylia"
"mendebaldea","Achill"
"mendebaldekoa","Achille"
"mendekoa","Achillea"
"mendekotasuna","Achillean"
"mendekua","achilleas"
"menderatu","Achilleid"
"mendia","achillein"
"mendilerroa","achilleine"
"menpekoa","Achilles"
"mentala","Achillize"
"mentalki","achillobursitis"
"menua","achillodynia"
"merezi","achilous"
"meritua","achylous"
"merkantzia","Achimaas"
"merkatari","achime"
"merkataritza","Achimelech"
"merkatua","Achimenes"
"merke","achymia"
"merkean","achymous"
"mesede","Achinese"
"mesedez","achiness"
"metafora","achinesses"
"metala","aching"
"metodoa","achingly"
"metrajea","achiote"
"metroa","achiotes"
"mexikarra","achira"
"mezua","Achyranthes"
"miaketa","achirite"
"migrazioa","Achyrodes"
"mihia","Achish"
"mihisea","Achitophel"
"mila","achkan"
"milioi","achlamydate"
"militarra","Achlamydeae"
"mina","achlamydeous"
"minbizia","achlorhydria"
"mindu","achlorhydric"
"minduta","achlorophyllous"
"mingarria","achloropsia"
"mingotsa","achluophobia"
"minimizatu","Achmed"
"minimoa","Achmetha"
"ministerioa","achoke"
"ministroa","acholia"
"minutua","acholias"
"miraria","acholic"
"miretsi","Acholoe"
"misil","acholous"
"misterioa","acholuria"
"misteriotsua","acholuric"
"mistoa","Achomawi"
"mitoa","achondrite"
"mm","achondritic"
"mm-hmm","achondroplasia"
"mmm","achondroplastic"
"moda","achoo"
"moderatua","achor"
"modernoa","achordal"
"modukoa","Achordata"
"Moe","achordate"
"moldatu","Achorion"
"molekula","Achorn"
"molestatu","Achras"
"momentua","achree"
"moneta","achroacyte"
"monitorea","Achroanthes"
"monumentua","achrodextrin"
"morala","achrodextrinase"
"mordoa","achroglobin"
"morea","achroiocythaemia"
"morroi","achroiocythemia"
"mota","achroite"
"motela","achroma"
"motibatu","achromacyte"
"motibazioa","achromasia"
"motiboa","achromat"
"motorra","achromat-"
"mozkortuta","achromate"
"mozorroa","Achromatiaceae"
"moztu","achromatic"
"muga","achromatically"
"mugaketa","achromaticity"
"mugatu","achromatin"
"mugatua","achromatinic"
"mugikorra","achromatisation"
"mugimendua","achromatise"
"mugitu","achromatised"
"muina","achromatising"
"muinoa","achromatism"
"mundua","Achromatium"
"munstroa","achromatizable"
"muntaia","achromatization"
"muntatu","achromatize"
"murrizketa","achromatized"
"murriztu","achromatizing"
"murtxikatu","achromatocyte"
"Museoa","achromatolysis"
"musika","achromatope"
"musikala","achromatophil"
"musikaria","achromatophile"
"musu","achromatophilia"
"musulmana","achromatophilic"
"mutila","achromatopia"
"mutil-laguna","achromatopsy"
"mutu","achromatopsia"
"muturrekoa","achromatosis"
"nabarmen","achromatous"
"nabarmena","achromats"
"nabarmendu","achromaturia"
"nagusi","achromia"
"nagusia","achromic"
"nahasi","Achromycin"
"nahasketa","Achromobacter"
"nahasmena","Achromobacterieae"
"nahastea","achromoderma"
"nahastu","achromophilous"
"nahi","achromotrichia"
"nahia","achromous"
"nahiago","achronical"
"nahiko","achronychous"
"nahikoa","achronism"
"nahita","achroo-"
"nahitaez","achroodextrin"
"narratzailea","achroodextrinase"
"narrazioa","achroous"
"natura","achropsia"
"naturala","Achsah"
"nazioa","achtehalber"
"nazioartekoa","achtel"
"nazionala","achtelthaler"
"negatiboa","achter"
"negoziatu","achterveld"
"negoziazioa","Achuas"
"negozioa","achuete"
"negua","acy"
"nekatuta","acyanoblepsia"
"nekazaritza","acyanopsia"
"nekez","acichlorid"
"nerabe","acichloride"
"nerabea","acyclic"
"nerbioa","acyclically"
"neska","acicula"
"neska-lagun","aciculae"
"neurketa","acicular"
"neurria","acicularity"
"neutroa","acicularly"
"ni","aciculas"
"nirea","aciculate"
"noiz","aciculated"
"noizbait","aciculum"
"noiznahi","aciculums"
"nola","acid"
"nolabait","acidaemia"
"non","Acidalium"
"nonahi","Acidanthera"
"nonbait","Acidaspis"
"norabidea","acid-binding"
"noraeza","acidemia"
"norbait","acidemias"
"norbera","acider"
"nori","acid-fast"
"normala","acid-fastness"
"normalean","acid-forming"
"nortasuna","acidhead"
"noski","acid-head"
"nozioa","acidheads"
"nuklearra","acidy"
"objektua","acidic"
"odola","acidiferous"
"odoldu","acidify"
"odoltsua","acidifiable"
"ofiziala","acidifiant"
"ofizialki","acidific"
"ogia","acidification"
"ogitartekoa","acidified"
"ohar","acidifier"
"ohartarazi","acidifiers"
"ohartu","acidifies"
"ohea","acidifying"
"ohia","acidyl"
"ohikoa","acidimeter"
"ohitura","acidimetry"
"ohore","acidimetric"
"oi","acidimetrical"
"oihal","acidimetrically"
"oihana","acidite"
"oihartzuna","acidity"
"oilaskoa","acidities"
"oina","acidize"
"oinarria","acidized"
"oinarrizkoa","acidizing"
"oinez","acidly"
"okasioa","acidness"
"okupatu","acidnesses"
"okupazioa","acidogenic"
"olatua","acidoid"
"oldarkorra","acidolysis"
"oliba","acidology"
"olinpiadak","acidometer"
"olinpikoa","acidometry"
"olioa","acidophil"
"on","acidophile"
"ona","acidophilic"
"onargarria","acidophilous"
"onarpena","acidophilus"
"onartu","acidoproteolytic"
"ondarea","acidoses"
"ondasuna","acidosis"
"ondo","acidosteophyte"
"ondoan","acidotic"
"ondoren","acidproof"
"ondorengoa","acids"
"ondorioa","acid-treat"
"ondorioz","acidulant"
"ondorioztatu","acidulate"
"onena","acidulated"
"onespena","acidulates"
"ongizatea","acidulating"
"ontasuna","acidulation"
"ontza","acidulent"
"ontzia","acidulous"
"onura","acidulously"
"onuragarria","acidulousness"
"ooh","aciduria"
"opari","acidurias"
"opera","aciduric"
"operadorea","Acie"
"operazioa","acier"
"oporrak","acierage"
"oporretan","Acieral"
"oposizioa","acierate"
"orain","acierated"
"oraindik","acierates"
"orbita","acierating"
"ordaindu","acieration"
"ordainketa","acies"
"ordena","acyesis"
"ordenagailua","acyetic"
"ordenatu","aciform"
"ordezkaria","acyl"
"ordezkatu","acylal"
"ordezkoa","acylamido"
"ordua","acylamidobenzene"
"orduak","acylamino"
"ordutegia","acylase"
"orea","acylate"
"orein","acylated"
"oreka","acylates"
"organikoa","acylating"
"organismo","acylation"
"organoa","aciliate"
"orientazio","aciliated"
"orientazioa","Acilius"
"orkatila","acylogen"
"oroigarria","acyloin"
"orokorra","acyloins"
"orokorrean","acyloxy"
"orpoa","acyloxymethane"
"orratz","acyls"
"orrialdea","Acima"
"osaba","acinaceous"
"osagaia","acinaces"
"osagarriak","acinacifoliate"
"osasuna","acinacifolious"
"osasun-laguntza","acinaciform"
"osasuntsu","acinacious"
"osatu","acinacity"
"oskola","acinar"
"oso","acinary"
"osoa","acinarious"
"osotasuna","Acineta"
"ospakizuna","Acinetae"
"ospatu","acinetan"
"ospea","Acinetaria"
"ospetsu","acinetarian"
"ospetsua","acinetic"
"ospitalea","acinetiform"
"ostalari","Acinetina"
"osteguna","acinetinan"
"ostikoa","acing"
"ostirala","acini"
"otoitza","acinic"
"otsaila","aciniform"
"otsoa","acinose"
"oxigenoa","acinotubular"
"ozeanoa","acinous"
"ozen","acinuni"
"ozta-ozta","acinus"
"oztopatu","acious"
"oztopo","Acipenser"
"pad","Acipenseres"
"paisaia","acipenserid"
"paketea","Acipenseridae"
"pala","acipenserine"
"palestinarra","acipenseroid"
"palmondoa","Acipenseroidei"
"panela","acyrology"
"panpina","acyrological"
"pantaila","Acis"
"papera","acystia"
"paragrafoa","acitate"
"parametroa","acity"
"parekidea","aciurgy"
"parekoa","ACK"
"parkea","ack-ack"
"parlamentua","ackee"
"partaidetza","ackees"
"parte-hartzailea","ackey"
"partekatu","ackeys"
"partekatua","Acker"
"partida","Ackerley"
"partikula","Ackerly"
"partziala","Ackerman"
"partzialki","Ackermanville"
"pasa","Ackley"
"pasabidea","Ackler"
"pasartea","ackman"
"pasilloa","ackmen"
"pasioa","acknew"
"patata","acknow"
"patentea","acknowing"
"patioa","acknowledge"
"patruila","acknowledgeable"
"patua","acknowledged"
"pausa","acknowledgedly"
"pazientea","acknowledgement"
"pazientzia","acknowledgements"
"pelikula","acknowledger"
"pentsatu","acknowledgers"
"pentsatzen","acknowledges"
"pentsioa","acknowledging"
"per","acknowledgment"
"perfektua","acknowledgments"
"perpausa","acknowledgment's"
"perspektiba","acknown"
"pertsona","ack-pirate"
"pertsonaia","ackton"
"pertsonala","Ackworth"
"pertsonalki","ACL"
"pertzepzioa","aclastic"
"pianoa","acle"
"pieza","acleidian"
"pila","acleistocardia"
"pilatu","acleistous"
"pilota","Aclemon"
"pilotua","aclydes"
"pilula","aclidian"
"pin","aclinal"
"pintura","aclinic"
"pinua","aclys"
"piperra","a-clock"
"pirata","acloud"
"pisatu","ACLS"
"pista","ACLU"
"pistola","ACM"
"pisua","Acmaea"
"pitxerra","Acmaeidae"
"pitzadura","acmaesthesia"
"pixa","acmatic"
"pixkanaka","acme"
"pizgarri","acmes"
"piztia","acmesthesia"
"pizza","acmic"
"plaka","Acmispon"
"plana","acmite"
"planeta","Acmon"
"plangintza","acne"
"planteatu","acned"
"plastikoa","acneform"
"plataforma","acneiform"
"platanoa","acnemia"
"plater","acnes"
"plazerra","Acnida"
"pneumatiko","acnodal"
"pobrea","acnode"
"pobrezia","acnodes"
"poema","ACO"
"poesia","acoasm"
"poeta","acoasma"
"polemika","a-coast"
"polemikoa","Acocanthera"
"poliki-poliki","acocantherin"
"polita","acock"
"politika","acockbill"
"politikaria","a-cock-bill"
"politikoa","a-cock-horse"
"politikoki","acocotl"
"polizia","Acoela"
"poltsa","Acoelomata"
"poltsikoan","acoelomate"
"ponpa","acoelomatous"
"pop","Acoelomi"
"porrot","acoelomous"
"porrota","acoelous"
"portaera","Acoemetae"
"portatu","Acoemeti"
"portua","Acoemetic"
"posible","acoenaesthesia"
"positiboa","ACOF"
"posizioa","acoin"
"posta","acoine"
"postrea","Acol"
"potea","Acolapissa"
"potentziala","acold"
"potentzialki","Acolhua"
"potolo","Acolhuan"
"poza","acolyctine"
"pozgarria","acolyte"
"pozik","acolytes"
"praka","acolyth"
"praktikatu","acolythate"
"praktikatzailea","acolytus"
"praktikoa","acology"
"prebenitu","acologic"
"prebentzioa","acolous"
"predikatu","acoluthic"
"premisa","Acoma"
"presaka","acomia"
"presente","acomous"
"presentzia","a-compass"
"presidentea","aconative"
"presidentetzarako","Aconcagua"
"presioa","acondylose"
"preso","acondylous"
"prest","acone"
"prestaketa","aconelline"
"prestakuntza","aconic"
"prestatu","aconin"
"prestatzailea","aconine"
"preziatua","aconital"
"prezioa","aconite"
"pribatua","aconites"
"pribatutasuna","aconitia"
"pribilegioa","aconitic"
"prima","aconitin"
"primeran","aconitine"
"printzea","Aconitum"
"printzesa","aconitums"
"printzipioa","acontia"
"pro","Acontias"
"proba","acontium"
"probabilitatea","Acontius"
"probabilitateak","aconuresis"
"probak","acool"
"probintzia","acop"
"produktibitatea","acopic"
"produktiboa","acopyrin"
"produktua","acopyrine"
"profesionala","acopon"
"profeta","acor"
"profila","acorea"
"programa","acoria"
"programazioa","acorn"
"progresiboa","acorned"
"proiektua","acorns"
"proiekzioa","acorn's"
"propaganda","acorn-shell"
"propioa","Acorus"
"proportzioa","acosmic"
"proposamen","acosmism"
"proposamena","acosmist"
"proposatu","acosmistic"
"proteina","acost"
"protesta","Acosta"
"protokoloa","acotyledon"
"prozedura","acotyledonous"
"prozedurak","acouasm"
"prozesadorea","acouchi"
"prozesatzea","acouchy"
"prozesua","acoumeter"
"Psikologia","acoumetry"
"psikologikoa","acounter"
"psikologoa","acouometer"
"publiko","acouophonia"
"publikoa","acoup"
"publikoki","acoupa"
"publizitatea","acoupe"
"pultsua","acousma"
"punta","acousmas"
"puntua","acousmata"
"puntuazioa","acousmatic"
"puska","acoustic"
"puta","acoustical"
"putzua","acoustically"
"puxika","acoustician"
"puzzlea","acoustico-"
"quarterback","acousticolateral"
"rack","Acousticon"
"radarra","acousticophobia"
"rallya","acoustics"
"ratioa","acoustoelectric"
"rekin","ACP"
"rentzat","acpt"
"rep","acpt."
"robota","Acquah"
"rola","acquaint"
"sabaia","acquaintance"
"sabela","acquaintances"
"sagarra","acquaintance's"
"sagua","acquaintanceship"
"saguzarra","acquaintanceships"
"saiakera","acquaintancy"
"saiatu","acquaintant"
"saihestezina","acquainted"
"saihestu","acquaintedness"
"Sail","acquainting"
"sailkapena","acquaints"
"sailkatu","Acquaviva"
"saioa","acquent"
"sakabanatu","acquereur"
"sakatu","acquest"
"sakea","acquests"
"sakona","acquiesce"
"sakonera","acquiesced"
"sakonki","acquiescement"
"sakratua","acquiescence"
"sakrifizioa","acquiescences"
"salaketa","acquiescency"
"salatu","acquiescent"
"salbuespena","acquiescently"
"saldu","acquiescer"
"salmenta","acquiesces"
"salmentak","acquiescing"
"saltatu","acquiescingly"
"saltsa","acquiesence"
"saltzailea","acquiet"
"samurra","acquirability"
"santua","acquirable"
"sarbidea","acquire"
"sardexka","acquired"
"sarea","acquirement"
"sarean","acquirements"
"sareta","acquirenda"
"saria","acquirer"
"Saria","acquirers"
"sarjentu","acquires"
"sarrera","acquiring"
"sartu","acquisible"
"sasikume","acquisita"
"saskia","acquisite"
"saskibaloia","acquisited"
"satelitea","acquisition"
"segmentua","acquisitional"
"segurtasuna","acquisitions"
"segurtasunez","acquisition's"
"seguru","acquisitive"
"sei","acquisitively"
"seigarrena","acquisitiveness"
"seinale","acquisitor"
"seinalea","acquisitum"
"sekretua","acquist"
"sektorea","acquit"
"sekuentzia","acquital"
"semea","acquitment"
"sena","acquits"
"senarra","acquittal"
"senataria","acquittals"
"senatua","acquittance"
"sendatu","acquitted"
"seniorra","acquitter"
"sentikorra","acquitting"
"sentimendua","acquophonia"
"sentitu","acr-"
"sentsazioa","Acra"
"sentsibilitatea","Acrab"
"sentsorea","acracy"
"seriea","Acraea"
"serioski","acraein"
"sexua","Acraeinae"
"sexuala","acraldehyde"
"sexualki","Acrania"
"sexy","acranial"
"sheriff","acraniate"
"shock","acrasy"
"sinadura","acrasia"
"sinboloa","Acrasiaceae"
"sindromea","Acrasiales"
"sinesgaitza","acrasias"
"sinesgarria","Acrasida"
"sinesgarritasuna","Acrasieae"
"sinesmena","acrasin"
"sinestezina","acrasins"
"sinetsi","Acraspeda"
"sinpatia","acraspedote"
"sinplea","acratia"
"sintoma","acraturesis"
"siriarra","acrawl"
"sistema","acraze"
"slam","Acre"
"sobietarra","acreable"
"sodioa","acreage"
"sofa","acreages"
"sofistikatua","acreak"
"softwarea","acream"
"soila","acred"
"soinua","acre-dale"
"soka","Acredula"
"solairua","acre-foot"
"soldadu","acre-inch"
"soldata","acreman"
"solidarioa","acremen"
"solidoa","Acres"
"solteak","acre's"
"sorbalda","acrestaff"
"sorgina","a-cry"
"sorgintzea","acrid"
"sorkuntza","acridan"
"sormena","acridane"
"sorpresa","acrider"
"sorta","acridest"
"sortu","acridian"
"sortzailea","acridic"
"sosa","acridid"
"sotila","Acrididae"
"sotoa","Acridiidae"
"sozialak","acridyl"
"sozialki","acridin"
"stocka","acridine"
"substantzia","acridines"
"sudurra","acridinic"
"sufrimendua","acridinium"
"sufritu","acridity"
"sugarra","acridities"
"sugea","Acridium"
"suitea","Acrydium"
"suizidioa","acridly"
"sukaldaria","acridness"
"sukaldaritza","acridnesses"
"sukaldea","acridone"
"sukar","acridonium"
"suntsipena","acridophagus"
"suntsitu","acriflavin"
"super","acriflavine"
"suposatu","acryl"
"suposizioa","acrylaldehyde"
"susmagarria","Acrilan"
"susmoa","acrylate"
"sustapena","acrylates"
"sustatu","acrylic"
"sute","acrylics"
"sutsu","acrylyl"
"tabakoa","acrylonitrile"
"taberna","acrimony"
"tableta","acrimonies"
"tailerra","acrimonious"
"taktika","acrimoniously"
"taldea","acrimoniousness"
"taldekidea","acrindolin"
"talentua","acrindoline"
"tamaina","acrinyl"
"tamalgarria","acrisy"
"tarta","acrisia"
"tartea","Acrisius"
"tarteka","Acrita"
"tasa","acritan"
"tatuajea","acrite"
"taula","acrity"
"taxia","acritical"
"tea","acritochromacy"
"teilatua","acritol"
"teklatua","acritude"
"teknika","ACRNEMA"
"teknikoa","acro-"
"teknikoki","Acroa"
"teknologia","acroaesthesia"
"teknologikoa","acroama"
"telebista","acroamata"
"telefonoa","acroamatic"
"teleskopioa","acroamatical"
"tematu","acroamatics"
"teniente","acroanesthesia"
"tenisa","acroarthritis"
"tenperatura","acroasis"
"tenplua","acroasphyxia"
"tenporizazioa","acroataxia"
"tentsioa","acroatic"
"teologia","acrobacy"
"teoria","acrobacies"
"teorikoa","acrobat"
"terapeuta","Acrobates"
"terapia","acrobatholithic"
"terminoa","acrobatic"
"terminoak","acrobatical"
"terrorismoa","acrobatically"
"terrorista","acrobatics"
"testamentua","acrobatism"
"testigantza","acrobats"
"testua","acrobat's"
"testuingurua","acrobystitis"
"testuliburua","acroblast"
"tigrea","acrobryous"
"tik","Acrocarpi"
"tinko","acrocarpous"
"tipikoa","acrocentric"
"tipoa","acrocephaly"
"tipula","acrocephalia"
"tira","acrocephalic"
"tiradera","acrocephalous"
"tiroka","Acrocera"
"titularra","Acroceratidae"
"to","Acroceraunian"
"tolestu","Acroceridae"
"tomatea","Acrochordidae"
"tontoa","Acrochordinae"
"tonua","acrochordon"
"topaketa","acrocyanosis"
"torlojua","acrocyst"
"toxikoa","acrock"
"tradizioa","Acroclinium"
"tradizionala","Acrocomia"
"tradizionalki","acroconidium"
"trafikoa","acrocontracture"
"tragedia","acrocoracoid"
"tragikoa","Acrocorinth"
"trailerra","acrodactyla"
"trajea","acrodactylum"
"tranpa","acrodermatitis"
"transakzioa","acrodynia"
"transferentzia","acrodont"
"transmisio","acrodontism"
"transmititu","acrodonts"
"trantsizioa","acrodrome"
"tratamendua","acrodromous"
"tratatu","Acrodus"
"tratua","acroesthesia"
"trauma","acrogamy"
"trazua","acrogamous"
"trebetasuna","acrogen"
"trena","acrogenic"
"trenbidea","acrogenous"
"tresna","acrogenously"
"tribal","acrogens"
"tribua","Acrogynae"
"trigger","acrogynous"
"trikimailua","acrography"
"tripa","acrolein"
"tripulazioa","acroleins"
"triste","acrolith"
"tronua","acrolithan"
"tropa","acrolithic"
"tropikalak","acroliths"
"trukea","acrology"
"tu","acrologic"
"tumorea","acrologically"
"tunel","acrologies"
"turista","acrologism"
"tutorea","acrologue"
"tutua","acromania"
"twitter","acromastitis"
"txakurra","acromegaly"
"txalupa","acromegalia"
"txandaka","acromegalic"
"txanpon","acromegalies"
"txantxa","acromelalgia"
"txapela","acrometer"
"txapeldun","acromia"
"Txapelketa","acromial"
"txarra","acromicria"
"txartela","acromimia"
"txerria","acromioclavicular"
"txerrikia","acromiocoracoid"
"txertatu","acromiodeltoid"
"txertoa","Acromyodi"
"txikia","acromyodian"
"txikitu","acromyodic"
"txiki-txikia","acromyodous"
"txikizkaria","acromiohyoid"
"tximinoa","acromiohumeral"
"tximista","acromion"
"txinera","acromioscapular"
"txinparta","acromiosternal"
"txipa","acromiothoracic"
"txirrindularia","acromyotonia"
"txokolatea","acromyotonus"
"txoria","acromonogrammatic"
"txosna","acromphalus"
"txostena","acron"
"txuleta","acronal"
"txundigarria","acronarcotic"
"txupinazoa","acroneurosis"
"udaberria","acronic"
"udara","acronyc"
"ugari","acronical"
"uh","acronycal"
"uh-huh","acronically"
"uholde","acronycally"
"ukabil","acronych"
"ukapena","acronichal"
"ukatu","acronychal"
"ukitu","acronichally"
"ukitua","acronychally"
"ukondoa","acronychous"
"ukuilua","Acronycta"
"ulermena","acronyctous"
"ulertu","acronym"
"um","acronymic"
"ume","acronymically"
"umea","acronymize"
"umorea","acronymized"
"unibertsala","acronymizing"
"unibertsitatea","acronymous"
"unibertsoa","acronyms"
"uniformea","acronym's"
"unitatea","acronyx"
"untxia","acronomy"
"ura","acrook"
"urakana","acroparalysis"
"urdaila","acroparesthesia"
"urdina","acropathy"
"urduri","acropathology"
"urraketa","acropetal"
"urratsa","acropetally"
"urratu","acrophobia"
"urrea","acrophonetic"
"urrezkoa","acrophony"
"urria","acrophonic"
"urrun","acrophonically"
"urrutiko","acrophonies"
"urtarrila","acropodia"
"urtean","acropodium"
"urtebetetzea","acropoleis"
"urtekoa","Acropolis"
"urtero","acropolises"
"urteurrena","acropolitan"
"urtu","Acropora"
"usaina","acropore"
"uste","acrorhagus"
"ustekabekoa","acrorrheuma"
"ustelak","acrosarc"
"ustelkeria","acrosarca"
"ustez","acrosarcum"
"ustiatu","acroscleriasis"
"utzi","acroscleroderma"
"uztaila","acroscopic"
"vs","acrose"
"web","acrosome"
"webgunea","acrosomes"
"xaboia","acrosphacelus"
"xarma","acrospire"
"xedapena","acrospired"
"xede","acrospiring"
"xehetasuna","acrospore"
"xerra","acrosporous"
"xurgatu","across"
"xuxurlatu","across-the-board"
"zabal","acrostic"
"zabala","acrostical"
"zabaldu","acrostically"
"zaborra","acrostichal"
"zaharra","Acrosticheae"
"zaharrena","acrostichic"
"zaila","acrostichoid"
"zailtasuna","Acrostichum"
"zaindaria","acrosticism"
"zaindu","acrostics"
"zaintza","acrostolia"
"zakar","acrostolion"
"zakarra","acrostolium"
"zakua","acrotarsial"
"zalantza","acrotarsium"
"zaldi","acroteleutic"
"zama","acroter"
"zantzua","acroteral"
"zapata","acroteria"
"zaplastekoa","acroterial"
"zaporea","acroteric"
"zarata","acroterion"
"zartagina","acroterium"
"zatia","acroterteria"
"zatiketa","Acrothoracica"
