"Vietnamese","English"
"lứt","achieves"
"lưu","achieving"
"lựu","ach-y-fi"
"ma","achigan"
"ma-bùn","achilary"
"ma-cà-bông","achylia"
"ma-cà-rồng","Achill"
"ma-cô","Achille"
"ma-dút","Achillea"
"ma-gi","Achillean"
"ma-két","achilleas"
"ma-men","Achilleid"
"mà","achillein"
"mả","achilleine"
"mã","Achilles"
"má","Achillize"
"mạ","achillobursitis"
"mác","achillodynia"
"mác-xít","achilous"
"mạc","achylous"
"mách","Achimaas"
"mạch","achime"
"mai","Achimelech"
"mài","Achimenes"
"mải","achymia"
"mãi","achymous"
"mái","Achinese"
"mại","achiness"
"man","achinesses"
"màn","aching"
"mãn","achingly"
"mạn","achiote"
"mang","achiotes"
"màng","achira"
"mảng","Achyranthes"
"máng","achirite"
"mạng","Achyrodes"
"manh","Achish"
"mành","Achitophel"
"mảnh","achkan"
"mãnh","achlamydate"
"mánh","Achlamydeae"
"mạnh","achlamydeous"
"mao","achlorhydria"
"mào","achlorhydric"
"mão","achlorophyllous"
"mạo","achloropsia"
"mát","achluophobia"
"mạt","Achmed"
"mạt-chược","Achmetha"
"mau","achoke"
"màu","acholia"
"máu","acholias"
"may","acholic"
"may-ô","Acholoe"
"may-ơ","acholous"
"may-so","acholuria"
"mày","acholuric"
"mảy","Achomawi"
"máy","achondrite"
"mắc","achondritic"
"mặc","achondroplasia"
"măm","achondroplastic"
"mắm","achoo"
"mằn","achor"
"mẳn","achordal"
"mắn","Achordata"
"mặn","achordate"
"măng","Achorion"
"măng-đa","Achorn"
"măng-đô-lin","Achras"
"măng-sét","achree"
"măng-sông","achroacyte"
"măng-tô","Achroanthes"
"mắng","achrodextrin"
"mắt","achrodextrinase"
"mặt","achroglobin"
"mâm","achroiocythaemia"
"mầm","achroiocythemia"
"mân","achroite"
"mần","achroma"
"mấn","achromacyte"
"mận","achromasia"
"mâng","achromat"
"mầng","achromat-"
"mập","achromate"
"mất","Achromatiaceae"
"mật","achromatic"
"mâu","achromatically"
"mầu","achromaticity"
"mẫu","achromatin"
"mấu","achromatinic"
"mậu","achromatisation"
"mây","achromatise"
"mẩy","achromatised"
"mấy","achromatising"
"me","achromatism"
"me-xừ","Achromatium"
"mè","achromatizable"
"mẻ","achromatization"
"mẽ","achromatize"
"mé","achromatized"
"mẹ","achromatizing"
"mem","achromatocyte"
"mèm","achromatolysis"
"men","achromatope"
"mén","achromatophil"
"mèng","achromatophile"
"meo","achromatophilia"
"mèo","achromatophilic"
"mẻo","achromatopia"
"méo","achromatopsy"
"mẹo","achromatopsia"
"mép","achromatosis"
"mẹp","achromatous"
"mét","achromats"
"mẹt","achromaturia"
"mê","achromia"
"mề","achromic"
"mề-đay","Achromycin"
"mễ","Achromobacter"
"mế","Achromobacterieae"
"mệ","achromoderma"
"mềm","achromophilous"
"mền","achromotrichia"
"mến","achromous"
"mệnh","achronical"
"mệt","achronychous"
"mếu","achronism"
"mi","achroo-"
"mi-ca","achroodextrin"
"mi-cơ-rô","achroodextrinase"
"mì","achroous"
"mí","achropsia"
"mia","Achsah"
"mỉa","achtehalber"
"mía","achtel"
"miền","achtelthaler"
"miễn","achter"
"miến","achterveld"
"miện","Achuas"
"miếng","achuete"
"miệng","acy"
"miết","acyanoblepsia"
"miệt","acyanopsia"
"miêu","acichlorid"
"miễu","acichloride"
"miếu","acyclic"
"mỉm","acyclically"
"mím","acicula"
"min","aciculae"
"mìn","acicular"
"mịn","acicularity"
"minh","acicularly"
"mình","aciculas"
"mịnh","aciculate"
"mít","aciculated"
"mít-tinh","aciculum"
"mịt","aciculums"
"mo","acid"
"mò","acidaemia"
"mỏ","Acidalium"
"mỏ-lết","Acidanthera"
"mõ","Acidaspis"
"mó","acid-binding"
"moay-ơ","acidemia"
"móc","acidemias"
"mọc","acider"
"moi","acid-fast"
"mòi","acid-fastness"
"mỏi","acid-forming"
"mọi","acidhead"
"mom","acid-head"
"mòm","acidheads"
"mỏm","acidy"
"mõm","acidic"
"móm","acidiferous"
"mòn","acidify"
"món","acidifiable"
"mọn","acidifiant"
"mong","acidific"
"mòng","acidification"
"mỏng","acidified"
"móng","acidifier"
"mọng","acidifiers"
"moóc","acidifies"
"moóc-chê","acidifying"
"móp","acidyl"
"mót","acidimeter"
"mọt","acidimetry"
"mô","acidimetric"
"mô-bi-lét","acidimetrical"
"mô-đéc","acidimetrically"
"mô-tô","acidite"
"mô-tơ","acidity"
"mồ","acidities"
"mổ","acidize"
"mỗ","acidized"
"mố","acidizing"
"mộ","acidly"
"mốc","acidness"
"mộc","acidnesses"
"môi","acidogenic"
"môi-răng","acidoid"
"môi-vòm","acidolysis"
"mồi","acidology"
"mỗi","acidometer"
"mối","acidometry"
"môm","acidophil"
"mồm","acidophile"
"môn","acidophilic"
"mông","acidophilous"
"mồng","acidophilus"
"mổng","acidoproteolytic"
"mống","acidoses"
"mộng","acidosis"
"mốt","acidosteophyte"
"một","acidotic"
"mơ","acidproof"
"mờ","acids"
"mở","acid-treat"
"mỡ","acidulant"
"mớ","acidulate"
"mơi","acidulated"
"mời","acidulates"
"mới","acidulating"
"mờm","acidulation"
"mớm","acidulent"
"mơn","acidulous"
"mu","acidulously"
"mù","acidulousness"
"mù-tạt","aciduria"
"mủ","acidurias"
"mũ","aciduric"
"mú","Acie"
"mua","acier"
"mùa","acierage"
"múa","Acieral"
"múc","acierate"
"mục","acierated"
"mui","acierates"
"mùi","acierating"
"mùi-xoa","acieration"
"mủi","acies"
"mũi","acyesis"
"múi","acyetic"
"mụi","aciform"
"mum","acyl"
"múm","acylal"
"mun","acylamido"
"mùn","acylamidobenzene"
"mủn","acylamino"
"mụn","acylase"
"mùng","acylate"
"mủng","acylated"
"muôi","acylates"
"muỗi","acylating"
"muối","acylation"
"muội","aciliate"
"muỗm","aciliated"
"muôn","Acilius"
"muốn","acylogen"
"muộn","acyloin"
"muỗng","acyloins"
"muống","acyloxy"
"muốt","acyloxymethane"
"múp","acyls"
"mụp","Acima"
"mút","acinaceous"
"mưa","acinaces"
"mửa","acinacifoliate"
"mứa","acinacifolious"
"mựa","acinaciform"
"mức","acinacious"
"mực","acinacity"
"mừng","acinar"
"mươi","acinary"
"mười","acinarious"
"mướn","Acineta"
"mượn","Acinetae"
"mướp","acinetan"
"mướt","Acinetaria"
"mượt","acinetarian"
"mứt","acinetic"
"mưu","acinetiform"
"na","Acinetina"
"na-pan","acinetinan"
"nà","acing"
"nả","acini"
"nã","acinic"
"ná","aciniform"
"nạ","acinose"
"nác","acinotubular"
"nạc","acinous"
"nách","acinuni"
"nai","acinus"
"nài","acious"
"nải","Acipenser"
"nái","Acipenseres"
"nại","acipenserid"
"nam","Acipenseridae"
"nám","acipenserine"
"nạm","acipenseroid"
"nan","Acipenseroidei"
"nàn","acyrology"
"nản","acyrological"
"nán","Acis"
"nạn","acystia"
"nang","acitate"
"nàng","acity"
"náng","aciurgy"
"nạng","ACK"
"nanh","ack-ack"
"nành","ackee"
"nánh","ackees"
"nạnh","ackey"
"nao","ackeys"
"nào","Acker"
"não","Ackerley"
"náo","Ackerly"
"nạo","Ackerman"
"nạp","Ackermanville"
"nát","Ackley"
"nạt","Ackler"
"nau","ackman"
"náu","ackmen"
"nay","acknew"
"này","acknow"
"nảy","acknowing"
"nãy","acknowledge"
"nạy","acknowledgeable"
"nặc","acknowledged"
"năm","acknowledgedly"
"nằm","acknowledgement"
"nắm","acknowledgements"
"nắn","acknowledger"
"nặn","acknowledgers"
"năng","acknowledges"
"nắng","acknowledging"
"nặng","acknowledgment"
"nắp","acknowledgments"
"nấc","acknowledgment's"
"nầm","acknown"
"nấm","ack-pirate"
"nậm","ackton"
"nân","Ackworth"
"nâng","ACL"
"nẫng","aclastic"
"nậng","acle"
"nấp","acleidian"
"nâu","acleistocardia"
"nẫu","acleistous"
"nấu","Aclemon"
"nậu","aclydes"
"nây","aclidian"
"nầy","aclinal"
"nẩy","aclinic"
"nấy","aclys"
"nậy","a-clock"
"ne","acloud"
"nè","ACLS"
"nẻ","ACLU"
"né","ACM"
"nem","Acmaea"
"ném","Acmaeidae"
"nén","acmaesthesia"
"neo","acmatic"
"nèo","acme"
"nẻo","acmes"
"néo","acmesthesia"
"nép","acmic"
"nẹp","Acmispon"
"nét","acmite"
"nẹt","Acmon"
"nê","acne"
"nê-ông","acned"
"nề","acneform"
"nể","acneiform"
"nệ","acnemia"
"nêm","acnes"
"nếm","Acnida"
"nệm","acnodal"
"nên","acnode"
"nền","acnodes"
"nến","ACO"
"nện","acoasm"
"nếp","acoasma"
"nết","a-coast"
"nêu","Acocanthera"
"nếu","acocantherin"
"nga","acock"
"ngà","acockbill"
"ngả","a-cock-bill"
"ngã","a-cock-horse"
"ngạc","acocotl"
"ngách","Acoela"
"ngạch","Acoelomata"
"ngai","acoelomate"
"ngài","acoelomatous"
"ngải","Acoelomi"
"ngãi","acoelomous"
"ngái","acoelous"
"ngại","Acoemetae"
"ngàm","Acoemeti"
"ngám","Acoemetic"
"ngan","acoenaesthesia"
"ngàn","ACOF"
"ngán","acoin"
"ngang","acoine"
"ngãng","Acol"
"ngáng","Acolapissa"
"ngành","acold"
"ngảnh","Acolhua"
"ngạnh","Acolhuan"
"ngao","acolyctine"
"ngào","acolyte"
"ngão","acolytes"
"ngáo","acolyth"
"ngạo","acolythate"
"ngáp","acolytus"
"ngát","acology"
"ngạt","acologic"
"ngàu","acolous"
"ngay","acoluthic"
"ngày","Acoma"
"ngáy","acomia"
"ngắc","acomous"
"ngăm","a-compass"
"ngắm","aconative"
"ngăn","Aconcagua"
"ngắn","acondylose"
"ngẳng","acondylous"
"ngẵng","acone"
"ngắt","aconelline"
"ngặt","aconic"
"ngấc","aconin"
"ngâm","aconine"
"ngầm","aconital"
"ngẫm","aconite"
"ngấm","aconites"
"ngậm","aconitia"
"ngân","aconitic"
"ngần","aconitin"
"ngẩn","aconitine"
"ngấn","Aconitum"
"ngẩng","aconitums"
"ngập","acontia"
"ngất","Acontias"
"ngâu","acontium"
"ngầu","Acontius"
"ngẫu","aconuresis"
"ngấu","acool"
"ngậu","acop"
"ngây","acopic"
"ngầy","acopyrin"
"ngấy","acopyrine"
"ngậy","acopon"
"nghe","acor"
"nghè","acorea"
"nghé","acoria"
"nghẽn","acorn"
"nghẹn","acorned"
"nghèo","acorns"
"nghẻo","acorn's"
"nghẽo","acorn-shell"
"nghẹo","Acorus"
"nghẹt","acosmic"
"nghề","acosmism"
"nghệ","acosmist"
"nghếch","acosmistic"
"nghệch","acost"
"nghển","Acosta"
"nghểnh","acotyledon"
"nghêu","acotyledonous"
"nghều","acouasm"
"nghễu","acouchi"
"nghi","acouchy"
"nghì","acoumeter"
"nghỉ","acoumetry"
"nghĩ","acounter"
"nghị","acouometer"
"nghĩa","acouophonia"
"nghịch","acoup"
"nghiêm","acoupa"
"nghiệm","acoupe"
"nghiên","acousma"
"nghiền","acousmas"
"nghiến","acousmata"
"nghiện","acousmatic"
"nghiêng","acoustic"
"nghiệp","acoustical"
"nghỉm","acoustically"
"nghìn","acoustician"
"nghỉn","acoustico-"
"nghít","acousticolateral"
"ngò","Acousticon"
"ngỏ","acousticophobia"
"ngõ","acoustics"
"ngó","acoustoelectric"
"ngoã","ACP"
"ngoác","acpt"
"ngoách","acpt."
"ngoài","Acquah"
"ngoái","acquaint"
"ngoại","acquaintance"
"ngoàm","acquaintances"
"ngoạm","acquaintance's"
"ngoan","acquaintanceship"
"ngoảnh","acquaintanceships"
"ngoao","acquaintancy"
"ngoáo","acquaintant"
"ngoảy","acquainted"
"ngoáy","acquaintedness"
"ngoắc","acquainting"
"ngoặc","acquaints"
"ngoằng","Acquaviva"
"ngoẵng","acquent"
"ngoắt","acquereur"
"ngóc","acquest"
"ngọc","acquests"
"ngoe","acquiesce"
"ngòi","acquiesced"
"ngõi","acquiescement"
"ngói","acquiescence"
"ngòm","acquiescences"
"ngỏm","acquiescency"
"ngóm","acquiescent"
"ngon","acquiescently"
"ngòn","acquiescer"
"ngón","acquiesces"
"ngọn","acquiescing"
"ngòng","acquiescingly"
"ngỏng","acquiesence"
"ngõng","acquiet"
"ngóng","acquirability"
"ngọng","acquirable"
"ngọt","acquire"
"ngô","acquired"
"ngổ","acquirement"
"ngố","acquirements"
"ngộ","acquirenda"
"ngốc","acquirer"
"ngôi","acquirers"
"ngồi","acquires"
"ngôn","acquiring"
"ngốn","acquisible"
"ngộn","acquisita"
"ngông","acquisite"
"ngồng","acquisited"
"ngỗng","acquisition"
"ngốt","acquisitional"
"ngột","acquisitions"
"ngơ","acquisition's"
"ngờ","acquisitive"
"ngỡ","acquisitively"
"ngớ","acquisitiveness"
"ngợ","acquisitor"
"ngơi","acquisitum"
"ngời","acquist"
"ngợm","acquit"
"ngớp","acquital"
"ngợp","acquitment"
"ngớt","acquits"
"ngu","acquittal"
"ngủ","acquittals"
"ngũ","acquittance"
"ngụ","acquitted"
"ngúc","acquitter"
"ngục","acquitting"
"ngụm","acquophonia"
"nguội","acr-"
"nguồn","Acra"
"ngụp","Acrab"
"nguy","acracy"
"ngụy","Acraea"
"nguyên","acraein"
"nguyệt","Acraeinae"
"nguýt","acraldehyde"
"ngừ","Acrania"
"ngữ","acranial"
"ngừa","acraniate"
"ngửa","acrasy"
"ngứa","acrasia"
"ngựa","Acrasiaceae"
"ngực","Acrasiales"
"ngửi","acrasias"
"ngưng","Acrasida"
"ngừng","Acrasieae"
"ngửng","acrasin"
"ngước","acrasins"
"ngược","Acraspeda"
"ngươi","acraspedote"
"người","acratia"
"ngưỡng","acraturesis"
"ngượng","acrawl"
"ngứt","acraze"
"ngưu","Acre"
"nha","acreable"
"nhà","acreage"
"nhả","acreages"
"nhã","acreak"
"nhá","acream"
"nhác","acred"
"nhạc","acre-dale"
"nhách","Acredula"
"nhai","acre-foot"
"nhài","acre-inch"
"nhãi","acreman"
"nhái","acremen"
"nham","Acres"
"nhàm","acre's"
"nhảm","acrestaff"
"nhám","a-cry"
"nhàn","acrid"
"nhãn","acridan"
"nhạn","acridane"
"nhãng","acrider"
"nháng","acridest"
"nhanh","acridian"
"nhành","acridic"
"nhảnh","acridid"
"nhánh","Acrididae"
"nhao","Acridiidae"
"nhào","acridyl"
"nháo","acridin"
"nhạo","acridine"
"nháp","acridines"
"nhát","acridinic"
"nhạt","acridinium"
"nhau","acridity"
"nhàu","acridities"
"nhay","Acridium"
"nhày","Acrydium"
"nhảy","acridly"
"nháy","acridness"
"nhạy","acridnesses"
"nhắc","acridone"
"nhăm","acridonium"
"nhằm","acridophagus"
"nhắm","acriflavin"
"nhặm","acriflavine"
"nhăn","acryl"
"nhằn","acrylaldehyde"
"nhẳn","Acrilan"
"nhẵn","acrylate"
"nhắn","acrylates"
"nhăng","acrylic"
"nhằng","acrylics"
"nhẳng","acrylyl"
"nhắng","acrylonitrile"
"nhặng","acrimony"
"nhắp","acrimonies"
"nhắt","acrimonious"
"nhặt","acrimoniously"
"nhấc","acrimoniousness"
"nhâm","acrindolin"
"nhầm","acrindoline"
"nhẩm","acrinyl"
"nhấm","acrisy"
"nhân","acrisia"
"nhẫn","Acrisius"
"nhấn","Acrita"
"nhận","acritan"
"nhấp","acrite"
"nhập","acrity"
"nhất","acritical"
"nhậu","acritochromacy"
"nhây","acritol"
"nhầy","acritude"
"nhẫy","ACRNEMA"
"nhậy","acro-"
"nhe","Acroa"
"nhè","acroaesthesia"
"nhẻ","acroama"
"nhé","acroamata"
"nhẹ","acroamatic"
"nhem","acroamatical"
"nhèm","acroamatics"
"nhẻm","acroanesthesia"
"nhèo","acroarthritis"
"nhét","acroasis"
"nhện","acroasphyxia"
"nhi","acroataxia"
"nhì","acroatic"
"nhỉ","acrobacy"
"nhĩ","acrobacies"
"nhị","acrobat"
"nhích","Acrobates"
"nhiếc","acrobatholithic"
"nhiễm","acrobatic"
"nhiễn","acrobatical"
"nhiệt","acrobatically"
"nhiêu","acrobatics"
"nhiều","acrobatism"
"nhiễu","acrobats"
"nhím","acrobat's"
"nhìn","acrobystitis"
"nhín","acroblast"
"nhịn","acrobryous"
"nhỉnh","Acrocarpi"
"nhíp","acrocarpous"
"nhịp","acrocentric"
"nhíu","acrocephaly"
"nhịu","acrocephalia"
"nho","acrocephalic"
"nhỏ","acrocephalous"
"nhọ","Acrocera"
"nhòa","Acroceratidae"
"nhoai","Acroceraunian"
"nhoáng","Acroceridae"
"nhọc","Acrochordidae"
"nhòe","Acrochordinae"
"nhoi","acrochordon"
"nhom","acrocyanosis"
"nhòm","acrocyst"
"nhỏm","acrock"
"nhóm","Acroclinium"
"nhõn","Acrocomia"
"nhón","acroconidium"
"nhọn","acrocontracture"
"nhót","acrocoracoid"
"nhọt","Acrocorinth"
"nhô","acrodactyla"
"nhổ","acrodactylum"
"nhôi","acrodermatitis"
"nhồi","acrodynia"
"nhôm","acrodont"
"nhổm","acrodontism"
"nhộn","acrodonts"
"nhông","acrodrome"
"nhồng","acrodromous"
"nhộng","Acrodus"
"nhốt","acroesthesia"
"nhột","acrogamy"
"nhơ","acrogamous"
"nhờ","acrogen"
"nhớ","acrogenic"
"nhợ","acrogenous"
"nhơi","acrogenously"
"nhời","acrogens"
"nhớm","Acrogynae"
"nhơn","acrogynous"
"nhờn","acrography"
"nhớn","acrolein"
"nhớt","acroleins"
"nhợt","acrolith"
"nhu","acrolithan"
"nhũ","acrolithic"
"nhụ","acroliths"
"nhục","acrology"
"nhui","acrologic"
"nhũn","acrologically"
"nhung","acrologies"
"nhũng","acrologism"
"nhúng","acrologue"
"nhuốc","acromania"
"nhuốm","acromastitis"
"nhuộm","acromegaly"
"nhút","acromegalia"
"nhụt","acromegalic"
"nhụy","acromegalies"
"nhuyễn","acromelalgia"
"như","acrometer"
"nhừ","acromia"
"nhử","acromial"
"nhứ","acromicria"
"nhựa","acromimia"
"nhức","acromioclavicular"
"nhưng","acromiocoracoid"
"những","acromiodeltoid"
"nhược","Acromyodi"
"nhường","acromyodian"
"nhướng","acromyodic"
"nhượng","acromyodous"
"nhứt","acromiohyoid"
"nhựt","acromiohumeral"
"ni","acromion"
"ni-lông","acromioscapular"
"nì","acromiosternal"
"nỉ","acromiothoracic"
"nia","acromyotonia"
"nĩa","acromyotonus"
"ních","acromonogrammatic"
"nịch","acromphalus"
"niêm","acron"
"niềm","acronal"
"niệm","acronarcotic"
"niên","acroneurosis"
"niền","acronic"
"niễng","acronyc"
"niết","acronical"
"niệt","acronycal"
"niêu","acronically"
"niệu","acronycally"
"nín","acronych"
"ninh","acronichal"
"nịnh","acronychal"
"níp","acronichally"
"nít","acronychally"
"nịt","acronychous"
"níu","Acronycta"
"no","acronyctous"
"nò","acronym"
"nỏ","acronymic"
"nõ","acronymically"
"nó","acronymize"
"nọ","acronymized"
"noãn","acronymizing"
"nóc","acronymous"
"nọc","acronyms"
"noi","acronym's"
"nòi","acronyx"
"nỏi","acronomy"
"nói","acrook"
"nom","acroparalysis"
"non","acroparesthesia"
"nõn","acropathy"
"nón","acropathology"
"nọn","acropetal"
"nong","acropetally"
"nóng","acrophobia"
"nọng","acrophonetic"
"nô","acrophony"
"nồ","acrophonic"
"nổ","acrophonically"
"nỗ","acrophonies"
"nố","acropodia"
"nộ","acropodium"
"nôi","acropoleis"
"nồi","Acropolis"
"nổi","acropolises"
"nỗi","acropolitan"
"nối","Acropora"
"nội","acropore"
"nôm","acrorhagus"
"nộm","acrorrheuma"
"nôn","acrosarc"
"nông","acrosarca"
"nồng","acrosarcum"
"nống","acroscleriasis"
"nộp","acroscleroderma"
"nốt","acroscopic"
"nột","acrose"
"nơ","acrosome"
"nờ","acrosomes"
"nở","acrosphacelus"
"nỡ","acrospire"
"nớ","acrospired"
"nợ","acrospiring"
"nơi","acrospore"
"nới","acrosporous"
"nơm","across"
"nỡm","across-the-board"
"nụ","acrostic"
"nủa","acrostical"
"núc","acrostically"
"nục","acrostichal"
"nùi","Acrosticheae"
"núi","acrostichic"
"núm","acrostichoid"
"nùn","Acrostichum"
"nung","acrosticism"
"nũng","acrostics"
"núng","acrostolia"
"nuốc","acrostolion"
"nuộc","acrostolium"
"nuôi","acrotarsial"
"nuối","acrotarsium"
"nuốm","acroteleutic"
"nuông","acroter"
"nuốt","acroteral"
"nuột","acroteria"
"núp","acroterial"
"nút","acroteric"
"nư","acroterion"
"nữ","acroterium"
"nưa","acroterteria"
"nửa","Acrothoracica"
"nữa","acrotic"
"nứa","acrotism"
"nức","acrotisms"
"nực","acrotomous"
"nưng","Acrotreta"
"nừng","Acrotretidae"
"nựng","acrotrophic"
"nước","acrotrophoneurosis"
"nược","Acrux"
"nương","ACRV"
"nường","ACS"
"nướng","ACSE"
"nứt","ACSNET"
"o","ACSU"
"o-xi","ACT"
"ó","Acta"
"òa","actability"
"oách","actable"
"oạch","Actaea"
"oai","Actaeaceae"
"oải","Actaeon"
"oái","Actaeonidae"
"oan","acted"
"oản","actg"
"oán","actg."
"oang","ACTH"
"oanh","Actiad"
"oát","Actian"
"oằn","actify"
"oắt","actification"
"oặt","actifier"
"óc","actin"
"ọc","actin-"
"oẻ","actinal"
"oẹ","actinally"
"oi","actinautography"
"ỏi","actinautographic"
"ói","actine"
"ọi","actinenchyma"
"om","acting"
"òm","acting-out"
"ỏm","actings"
"ong","Actinia"
"ỏng","actiniae"
"óng","actinian"
"óp","actinians"
"ót","Actiniaria"
"ô","actiniarian"
"ô-tô","actinias"
"ô-tô-buýt","actinic"
"ô-tô-ca","actinical"
"ồ","actinically"
"ổ","actinide"
"ố","actinides"
"ốc","Actinidia"
"ộc","Actinidiaceae"
"ôi","actiniferous"
"ổi","actiniform"
"ối","actinine"
"ôm","actiniochrome"
"ốm","actiniohematin"
"ôn","Actiniomorpha"
"ồn","actinism"
"ổn","actinisms"
"ộn","Actinistia"
"ông","actinium"
"ống","actiniums"
"ốp","actino-"
"ốp-xét","actinobaccilli"
"ơ","actinobacilli"
"ờ","actinobacillosis"
"ở","actinobacillotic"
"ớ","Actinobacillus"
"ợ","actinoblast"
"ơi","actinobranch"
"ới","actinobranchia"
"ớm","actinocarp"
"ơn","actinocarpic"
"ớn","actinocarpous"
"ớt","actinochemical"
"ợt","actinochemistry"
"palăng","actinocrinid"
"pan","Actinocrinidae"
"pao","actinocrinite"
"pha","Actinocrinus"
"phà","actinocutitis"
"phả","actinodermatitis"
"phá","actinodielectric"
"phác","actinodrome"
"phách","actinodromous"
"phạch","actinoelectric"
"phai","actinoelectrically"
"phải","actinoelectricity"
"phái","actinogonidiate"
"phàm","actinogram"
"phạm","actinograph"
"phản","actinography"
"phán","actinographic"
"phạn","actinoid"
"phang","Actinoida"
"phạng","Actinoidea"
"phanh","actinoids"
"phao","actinolite"
"phào","actinolitic"
"pháo","actinology"
"pháp","actinologous"
"phát","actinologue"
"phạt","actinomere"
"phau","actinomeric"
"phay","actinometer"
"phảy","actinometers"
"phắc","actinometry"
"phăng","actinometric"
"phẳng","actinometrical"
"phắt","actinometricy"
"phẩm","Actinomyces"
"phân","actinomycese"
"phần","actinomycesous"
"phẩn","actinomycestal"
"phẫn","Actinomycetaceae"
"phấn","actinomycetal"
"phận","Actinomycetales"
"phập","actinomycete"
"phất","actinomycetous"
"phẫu","actinomycin"
"phẩy","actinomycoma"
"phe","actinomycosis"
"phè","actinomycosistic"
"phen","actinomycotic"
"phèn","Actinomyxidia"
"phèo","Actinomyxidiida"
"phép","actinomorphy"
"phét","actinomorphic"
"phẹt","actinomorphous"
"phê","actinon"
"phế","Actinonema"
"phệ","actinoneuritis"
"phếch","actinons"
"phên","actinophone"
"phễn","actinophonic"
"phềnh","actinophore"
"phệnh","actinophorous"
"phết","actinophryan"
"phệt","Actinophrys"
"phều","actinopod"
"phễu","Actinopoda"
"phi","actinopraxis"
"phì","actinopteran"
"phí","Actinopteri"
"phị","actinopterygian"
"phìa","Actinopterygii"
"phía","actinopterygious"
"phịa","actinopterous"
"phích","actinoscopy"
"phịch","actinosoma"
"phiếm","actinosome"
"phiên","Actinosphaerium"
"phiền","actinost"
"phiến","actinostereoscopy"
"phiện","actinostomal"
"phiết","actinostome"
"phiếu","actinotherapeutic"
"phim","actinotherapeutics"
"phím","actinotherapy"
"phin","actinotoxemia"
"phình","actinotrichium"
"phỉnh","actinotrocha"
"phĩnh","actinouranium"
"phính","Actinozoa"
"phịt","actinozoal"
"phịu","actinozoan"
"pho","actinozoon"
"phò","actins"
"phó","actinula"
"phóc","actinulae"
"phoi","action"
"phòi","actionability"
"phom","actionable"
"phong","actionably"
"phòng","actional"
"phỏng","actionary"
"phóng","actioner"
"phót","actiones"
"phọt","actionist"
"phô","actionize"
"phồ","actionized"
"phổ","actionizing"
"phố","actionless"
"phốc","actions"
"phôi","action's"
"phổi","action-taking"
"phông","actious"
"phồng","Actipylea"
"phổng","Actis"
"phỗng","Actium"
"phốp","activable"
"phơ","activate"
"phở","activated"
"phơi","activates"
"phu","activating"
"phù","activation"
"phủ","activations"
"phú","activator"
"phụ","activators"
"phúc","activator's"
"phục","active"
"phủi","active-bodied"
"phun","actively"
"phùn","active-limbed"
"phung","active-minded"
"phùng","activeness"
"phúng","actives"
"phụng","activin"
"phút","activism"
"phụt","activisms"
"phuy","activist"
"phứa","activistic"
"phức","activists"
"phừng","activist's"
"phước","activital"
"phưỡn","activity"
"phướn","activities"
"phương","activity's"
"phường","activize"
"phướng","activized"
"phượng","activizing"
"phượu","actless"
"phứt","actomyosin"
"phựt","Acton"
"pi","Actor"
"pi-a-nô","actory"
"pi-gia-ma","Actoridae"
"pi-rít","actorish"
"pin","actor-manager"
"ping-pông","actor-proof"
"pom-mát","actors"
"pô","actor's"
"pô-pe-lin","actorship"
"pô-rơ-tít","actos"
"pơ-luya","ACTPU"
"pu-li","actress"
"qua","actresses"
"quà","actressy"
"quả","actress's"
"quá","ACTS"
"quạ","ACTU"
"quác","actual"
"quạc","actualisation"
"quách","actualise"
"quạch","actualised"
"quai","actualising"
"quài","actualism"
"quải","actualist"
"quái","actualistic"
"quan","actuality"
"quàn","actualities"
"quản","actualization"
"quán","actualizations"
"quang","actualize"
"quàng","actualized"
"quãng","actualizes"
"quáng","actualizing"
"quanh","actually"
"quành","actualness"
"quánh","actuals"
"quạnh","actuary"
"quao","actuarial"
"quào","actuarially"
"quát","actuarian"
"quạt","actuaries"
"quáu","actuaryship"
"quay","actuate"
"quày","actuated"
"quảy","actuates"
"quặc","actuating"
"quăm","actuation"
"quắm","actuator"
"quặm","actuators"
"quăn","actuator's"
"quằn","actuose"
"quắn","ACTUP"
"quặn","acture"
"quăng","acturience"
"quẳng","actus"
"quặng","actutate"
"quắp","act-wait"
"quặp","ACU"
"quắt","acuaesthesia"
"quặt","Acuan"
"quấc","acuate"
"quân","acuating"
"quần","acuation"
"quẩn","Acubens"
"quẫn","acuchi"
"quấn","acuclosure"
"quận","acuductor"
"quầng","acuerdo"
"quẩng","acuerdos"
"quất","acuesthesia"
"quật","acuity"
"quây","acuities"
"quầy","aculea"
"quẩy","aculeae"
"quẫy","Aculeata"
"quấy","aculeate"
"quậy","aculeated"
"que","aculei"
"què","aculeiform"
"quẻ","aculeolate"
"qué","aculeolus"
"quen","aculeus"
"quèn","acumble"
"queo","acumen"
"quèo","acumens"
"quéo","acuminate"
"quẹo","acuminated"
"quét","acuminating"
"quẹt","acumination"
"quê","acuminose"
"quế","acuminous"
"quên","acuminulate"
"quện","acupress"
"quết","acupressure"
"quệt","acupunctuate"
"quều","acupunctuation"
"quít","acupuncturation"
"quịt","acupuncturator"
"quốc","acupuncture"
"quơ","acupunctured"
"quờ","acupunctures"
"quở","acupuncturing"
"quớ","acupuncturist"
"quy","acupuncturists"
"quỳ","acurative"
"quỷ","Acus"
"quỹ","acusection"
"quý","acusector"
"quyên","acushla"
"quyền","Acushnet"
