"Nepali","English"
"भ्रष्टाचार","accupy"
"म","accur"
"मंगलबार","accuracy"
"मकै","accuracies"
"मक्खन","accurate"
"मजाक","accurately"
"मतदाता","accurateness"
"मतदान","accuratenesses"
"मतपत्र","accurre"
"मतलब","accurse"
"मताधिकार","accursed"
"मद्दत","accursedly"
"मधुमेह","accursedness"
"मध्य","accursing"
"मध्यम","accurst"
"मध्यरात","accurtation"
"मनपर्ने","accus"
"मनाउन","accusable"
"मनाउने","accusably"
"मनोनयन","accusal"
"मनोरञ्जन","accusals"
"मनोविज्ञान","accusant"
"मनोवृत्ति","accusants"
"मनोवैज्ञानिक","accusation"
"मन्त्रालय","accusations"
"मन्त्री","accusation's"
"मन्दिर","accusatival"
"मन्दी","accusative"
"मरुभूमि","accusative-dative"
"मर्नु","accusatively"
"मर्ने","accusativeness"
"मर्मत","accusatives"
"मर्मतसम्भार","accusator"
"मर्यादा","accusatory"
"मल","accusatorial"
"मस्तिष्क","accusatorially"
"मस्यौदा","accusatrix"
"मह","accusatrixes"
"महँगो","accuse"
"महत्त्वपूर्ण","accused"
"महत्व","accuser"
"महत्वपूर्ण","accusers"
"महत्वाकांक्षा","accuses"
"महत्वाकांक्षी","accusing"
"महल","accusingly"
"महसुस","accusive"
"महादेश","accusor"
"महान","accustom"
"महासागर","accustomation"
"महिना","accustomed"
"महिमा","accustomedly"
"महिला","accustomedness"
"महोदय","accustoming"
"मा","accustomize"
"माइग्रेसन","accustomized"
"माइल","accustomizing"
"माउन्ट","accustoms"
"माग","Accutron"
"माछा","ACD"
"माटो","ACDA"
"मातृभूमि","AC-DC"
"मातेको","ACE"
"मात्र","acea"
"मात्रा","aceacenaphthene"
"माथि","aceae"
"माथिल्लो","acean"
"माध्यमिक","aceanthrene"
"मानक","aceanthrenequinone"
"मानव","acecaffin"
"मानवता","acecaffine"
"मानसिक","aceconitic"
"मानिएको","aced"
"मानिसहरू","acedy"
"मानौं","acedia"
"मान्छे","acediamin"
"मान्नु","acediamine"
"मान्य","acedias"
"मान्यता","acediast"
"मापदण्ड","ace-high"
"मापन","Acey"
"माफी","acey-deucy"
"मामला","aceite"
"माया","aceituna"
"मायालु","Aceldama"
"मार्कर","aceldamas"
"मार्केटिङ","acellular"
"मार्ग","Acemetae"
"मार्च","Acemetic"
"मार्जिन","acemila"
"मार्नु","acenaphthene"
"मार्फत","acenaphthenyl"
"मालिक","acenaphthylene"
"मास","acenesthesia"
"मासिक","acensuada"
"मासु","acensuador"
"मास्टर","acentric"
"मिटर","acentrous"
"मिठाई","aceology"
"मिडिया","aceologic"
"मिति","aceous"
"मित्रता","acephal"
"मिथक","Acephala"
"मिनेट","acephalan"
"मिल","Acephali"
"मिलान","acephalia"
"मिलियन","Acephalina"
"मिल्दोजुल्दो","acephaline"
"मिशन","acephalism"
"मिश्रण","acephalist"
"मिश्रित","Acephalite"
"मिस","acephalocyst"
"मिसाइल","acephalous"
"मीठो","acephalus"
"मुकदमा","acepots"
"मुकुट","acequia"
"मुक्का","acequiador"
"मुख","acequias"
"मुख्य","Acer"
"मुख्यालय","Aceraceae"
"मुटु","aceraceous"
"मुट्ठी","Acerae"
"मुट्ठीभर","Acerata"
"मुठभेड","acerate"
"मुद्दा","acerated"
"मुद्रा","Acerates"
"मुद्रास्फीति","acerathere"
"मुलधार","Aceratherium"
"मुश्किलले","aceratosis"
"मुसा","acerb"
"मुस्कान","Acerbas"
"मुस्लिम","acerbate"
"मुहान","acerbated"
"मूड","acerbates"
"मूर्ख","acerbating"
"मूर्ति","acerber"
"मूर्तिकला","acerbest"
"मूल्य","acerbic"
"मूल्यवान","acerbically"
"मूल्याङ्कन","acerbity"
"मृत","acerbityacerose"
"मृत्यु","acerbities"
"मेकअप","acerbitude"
"मेकानिक","acerbly"
"मेक्सिकन","acerbophobia"
"मेटाउन","acerdol"
"मेनु","aceric"
"मेमोरी","acerin"
"मेयर","acerli"
"मेरो","acerola"
"मेल","acerolas"
"मेसिन","acerose"
"मैत्री","acerous"
"मैदान","acerra"
"मैनबत्ती","acers"
"मोजा","acertannin"
"मोटर","acerval"
"मोटो","acervate"
"मोड","acervately"
"मोडेल","acervatim"
"मोबाइल","acervation"
"मौका","acervative"
"मौखिक","acervose"
"मौद्रिक","acervuli"
"मौन","acervuline"
"मौनता","acervulus"
"मौरी","aces"
"मौलिक","ace's"
"मौसम","acescence"
"म्याद","acescency"
"यथार्थपरक","acescent"
"यदि","acescents"
"यद्यपि","aceship"
"यसको","Acesius"
"यसबाहेक","acesodyne"
"यसरी","acesodynous"
"यस्तो","Acessamenus"
"यहाँ","Acestes"
"यहूदी","acestoma"
"याचिका","acet-"
"यातायात","aceta"
"यात्रा","acetable"
"यात्री","acetabula"
"यान्त्रिक","acetabular"
"यार्ड","Acetabularia"
"यी","acetabuliferous"
"युग","acetabuliform"
"युद्ध","acetabulous"
"युरोपेली","acetabulum"
"युवा","acetabulums"
"यो","acetacetic"
"योगदान","acetal"
"योगदानकर्ता","acetaldehydase"
"योगफल","acetaldehyde"
"योग्य","acetaldehydrase"
"योग्यता","acetaldol"
"योजना","acetalization"
"योद्धा","acetalize"
"यौगिक","acetals"
"यौन","acetamid"
"र","acetamide"
"र/वा","acetamidin"
"रंग","acetamidine"
"रकम","acetamido"
"रकेट","acetamids"
"रक्तपात","acetaminol"
"रक्षा","Acetaminophen"
"रक्षात्मक","acetanilid"
"रक्सी","acetanilide"
"रगत","acetanion"
"रचना","acetaniside"
"रचनात्मक","acetanisidide"
"रचनात्मकता","acetanisidine"
"रड","acetannin"
"रडार","acetary"
"रणनीति","acetarious"
"रणनीतिक","acetars"
"रद्दी","acetarsone"
"रद्दीटोकरी","acetate"
"रमाइलो","acetated"
"रस","acetates"
"रहनु","acetation"
"रहन्छ","acetazolamide"
"रहस्य","acetbromamide"
"रहस्यमय","acetenyl"
"राइफल","Acetes"
"राक्षस","acethydrazide"
"राख्न","acetiam"
"राख्नु","acetic"
"राख्ने","acetify"
"राजकुमार","acetification"
"राजकुमारी","acetified"
"राजदूत","acetifier"
"राजनीति","acetifies"
"राजनीतिक","acetifying"
"राजनीतिज्ञ","acetyl"
"राजमार्ग","acetylacetonates"
"राजस्व","acetylacetone"
"राजा","acetylamine"
"राजीनामा","acetylaminobenzene"
"राज्य","acetylaniline"
"रात","acetylasalicylic"
"रातो","acetylate"
"रानी","acetylated"
"राम्ररी","acetylating"
"राम्रो","acetylation"
"राय","acetylative"
"राष्ट्र","acetylator"
"राष्ट्रपति","acetylbenzene"
"राष्ट्रपतिको","acetylbenzoate"
"राष्ट्रिय","acetylbenzoic"
"रासायनिक","acetylbiuret"
"राहत","acetylcarbazole"
"रिकभरी","acetylcellulose"
"रिज","acetylcholine"
"रिजर्व","acetylcholinesterase"
"रिपोर्ट","acetylcholinic"
"रिपोर्टर","acetylcyanide"
"रिपोर्टिङ","acetylenation"
"रिमाइन्डर","acetylene"
"रिमोट","acetylenediurein"
"रिलीज","acetylenes"
"रिसोर्ट","acetylenic"
"रुचाउँछन्","acetylenyl"
"रुनु","acetylenogen"
"रूख","acetylfluoride"
"रूढिवादी","acetylglycin"
"रूपक","acetylglycine"
"रूपरेखा","acetylhydrazine"
"रूपान्तरण","acetylic"
"रूसी","acetylid"
"रेकर्ड","acetylide"
"रेकर्डिङ","acetyliodide"
"रेखा","acetylizable"
"रेखाचित्र","acetylization"
"रेडियो","acetylize"
"रेन्डर","acetylized"
"रेल","acetylizer"
"रेलमार्ग","acetylizing"
"रेशम","acetylmethylcarbinol"
"रेस्टुरेन्ट","acetylperoxide"
"रैंकिंग","acetylphenylhydrazine"
"रोक","acetylphenol"
"रोकथाम","acetylrosaniline"
"रोक्न","acetyls"
"रोग","acetylsalicylate"
"रोचक","acetylsalicylic"
"रोजगार","acetylsalol"
"रोजगारदाता","acetyltannin"
"रोजगारी","acetylthymol"
"रोटी","acetyltropeine"
"रोबोट","acetylurea"
"रोमन","acetimeter"
"रोमाञ्चक","acetimetry"
"रोमान्टिक","acetimetric"
"रोमान्स","acetin"
"रोल","acetine"
"रोलिङ","acetins"
"र्याक","acetite"
"ल","acetize"
"लंगर","acetla"
"लकर","acetmethylanilide"
"लकीर","acetnaphthalide"
"लक्षण","aceto-"
"लक्ष्य","acetoacetanilide"
"लग","acetoacetate"
"लगभग","acetoacetic"
"लगाउनु","acetoamidophenol"
"लगातार","acetoarsenite"
"लगानी","Acetobacter"
"लगानीकर्ता","acetobenzoic"
"लचकता","acetobromanilide"
"लचिलो","acetochloral"
"लजालु","acetocinnamene"
"लज्जित","acetoin"
"लडाई","acetol"
"लडाकु","acetolysis"
"लत","acetolytic"
"लबी","acetometer"
"लम्बाइ","acetometry"
"लसुन","acetometric"
"लहर","acetometrical"
"लाइभ","acetometrically"
"लागत","acetomorphin"
"लाज","acetomorphine"
"लात","acetonaemia"
"लानत","acetonaemic"
"लाभ","acetonaphthone"
"लाभदायक","acetonate"
"लामो","acetonation"
"लिग","acetone"
"लिङ्क","acetonemia"
"लिङ्ग","acetonemic"
"लिनुहोस्","acetones"
"लिने","acetonic"
"लिपि","acetonyl"
"लिफ्ट","acetonylacetone"
"लुकाउनुहोस्","acetonylidene"
"लुकेको","acetonitrile"
"लुगा","acetonization"
"लुट","acetonize"
"लुप","acetonuria"
"लेख","acetonurometer"
"लेखक","acetophenetide"
"लेखन","acetophenetidin"
"लेखा","acetophenetidine"
"लेखिएको","acetophenin"
"लेख्नुहोस्","acetophenine"
"लेजर","acetophenone"
"लेन","acetopiperone"
"लेनदेन","acetopyrin"
"लेन्स","acetopyrine"
"लेफ्टिनेन्ट","acetosalicylic"
"लेबल","acetose"
"लोक","acetosity"
"लोकतन्त्र","acetosoluble"
"लोकतन्त्रवादी","acetostearin"
"लोकतान्त्रिक","acetothienone"
"लोकप्रिय","acetotoluid"
"लोकप्रियता","acetotoluide"
"लोड","acetotoluidine"
"ल्याउनुहोस्","acetous"
"ल्याटिन","acetoveratrone"
"ल्यान","acetoxyl"
"ल्याप","acetoxyls"
"ल्यापटप","acetoxim"
"वकिल","acetoxime"
"वकील","acetoxyphthalide"
"वक्ता","acetphenetid"
"वक्र","acetphenetidin"
"वजन","acetract"
"वन्यजन्तु","acettoluide"
"वफादार","acetum"
"वफादारी","aceturic"
"वयस्क","ACF"
"वरपर","ACGI"
"वरिपरि","ac-globulin"
"वरिष्ठ","ACH"
"वर्ग","Achab"
"वर्तमान","Achad"
"वर्दी","Achaea"
"वर्ष","Achaean"
"वर्षा","Achaemenes"
"वसन्त","Achaemenian"
"वसीयतनामा","Achaemenid"
"वस्तु","Achaemenidae"
"वस्तुतः","Achaemenides"
"वा","Achaemenidian"
"वाक्य","Achaemenids"
"वाक्यांश","achaenocarp"
"वाचा","Achaenodon"
"वाणिज्य","Achaeta"
"वातावरण","achaetous"
"वारेन्ट","Achaeus"
"वार्ता","achafe"
"वार्षिक","achage"
"वार्षिकोत्सव","Achagua"
"वास्तवमा","Achaia"
"वास्तविक","Achaian"
"वास्तविकता","Achakzai"
"वास्तुकला","achalasia"
"वाह","Achamoth"
"वाहक","Achan"
"विकल्प","Achango"
"विकसित","achape"
"विकार","achaque"
"विकास","achar"
"विकासकर्ता","acharya"
"विकासात्मक","Achariaceae"
"विकिरण","Achariaceous"
"विक्रेता","acharne"
"विगत","acharnement"
"विचलित","Acharnians"
"विचार","achate"
"विचारधारा","Achates"
"विचित्र","Achatina"
"विजय","Achatinella"
"विजेता","Achatinidae"
"विज्ञान","achatour"
"विज्ञापन","Achaz"
"विडंबना","ache"
"वितरण","acheat"
"वित्त","achech"
"वित्तीय","acheck"
"विदेशमा","ached"
"विदेशी","acheer"
"विद्यार्थी","ACHEFT"
"विद्यालय","acheilary"
"विद्युतीय","acheilia"
"विद्रोही","acheilous"
"विद्वान","acheiria"
"विधा","acheirous"
"विधान","acheirus"
"विधायिका","Achelous"
"विधायी","Achen"
"विधि","achene"
"विनाश","achenes"
"विनिमय","achenia"
"विपरीत","achenial"
"विभाग","achenium"
"विभाजन","achenocarp"
"विभिन्न","achenodia"
"विमान","achenodium"
"विमानस्थल","acher"
"विरलै","Acherman"
"विरासत","Achernar"
"विरुद्ध","Acheron"
"विरोध","Acheronian"
"विरोधी","Acherontic"
"विवरण","Acherontical"
"विवाद","aches"
"विवादास्पद","Acheson"
"विवाह","achesoun"
"विवाहित","achete"
"विविध","Achetidae"
"विविधता","Acheulean"
"विवेक","Acheulian"
"विशाल","acheweed"
"विशिष्ट","achy"
"विशेष","achier"
"विशेषज्ञ","achiest"
"विशेषज्ञता","achievability"
"विशेषता","achievable"
"विशेषाधिकार","achieve"
"विश्राम","achieved"
"विश्लेषक","achievement"
"विश्लेषण","achievements"
"विश्वविद्यालय","achievement's"
"विश्वव्यापी","achiever"
"विश्वसनीयता","achievers"
"विश्वस्त","achieves"
"विश्वास","achieving"
"विश्वासी","ach-y-fi"
"विषय","achigan"
"विषयवस्तु","achilary"
"विषाक्त","achylia"
"विस्तार","Achill"
"विस्तारित","Achille"
"विस्तृत","Achillea"
"विस्फोट","Achillean"
"वृत्तचित्र","achilleas"
"वृत्ति","Achilleid"
"वृद्ध","achillein"
"वृद्धि","achilleine"
"वेब","Achilles"
"वेबसाइट","Achillize"
"वैकल्पिक","achillobursitis"
"वैचारिक","achillodynia"
"वैज्ञानिक","achilous"
"वैध","achylous"
"वैधता","Achimaas"
"व्यक्त","achime"
"व्यक्ति","Achimelech"
"व्यक्तिगत","Achimenes"
"व्यक्तित्व","achymia"
"व्यवस्था","achymous"
"व्यवस्थापन","Achinese"
"व्यवहार","achiness"
"व्यवहार्य","achinesses"
"व्यस्त","aching"
"व्याख्या","achingly"
"व्याख्यान","achiote"
"व्यापक","achiotes"
"व्यापार","achira"
"व्यापारी","Achyranthes"
"व्यायाम","achirite"
"व्यावसायिक","Achyrodes"
"व्यावहारिक","Achish"
"व्युत्पन्न","Achitophel"
"शंका","achkan"
"शंकास्पद","achlamydate"
"शक्ति","Achlamydeae"
"शक्तिशाली","achlamydeous"
"शटल","achlorhydria"
"शताब्दी","achlorhydric"
"शत्रु","achlorophyllous"
"शत्रुतापूर्ण","achloropsia"
"शनिबार","achluophobia"
"शब्द","Achmed"
"शब्दावली","Achmetha"
"शयनकक्ष","achoke"
"शरणार्थी","acholia"
"शर्ट","acholias"
"शर्त","acholic"
"शल्यक्रिया","Acholoe"
"शहर","acholous"
"शानदार","acholuria"
"शान्त","acholuric"
"शान्ति","Achomawi"
"शान्तिपूर्ण","achondrite"
"शारीरिक","achondritic"
"शार्क","achondroplasia"
"शासन","achondroplastic"
"शास्त्र","achoo"
"शास्त्रीय","achor"
"शाही","achordal"
"शिकार","Achordata"
"शिकारी","achordate"
"शिक्षक","Achorion"
"शिक्षण","Achorn"
"शिक्षा","Achras"
"शिक्षार्थी","achree"
"शिक्षित","achroacyte"
"शिखर","Achroanthes"
"शिफ्ट","achrodextrin"
"शिल्प","achrodextrinase"
"शिविर","achroglobin"
"शिशु","achroiocythaemia"
"शिष्टाचार","achroiocythemia"
"शीर्ष","achroite"
"शीर्षक","achroma"
"शुक्रबार","achromacyte"
"शुद्ध","achromasia"
"शुद्धता","achromat"
"शुरुवात","achromat-"
"शुल्क","achromate"
"शूटिंग","Achromatiaceae"
"शून्य","achromatic"
"शेफ","achromatically"
"शेरिफ","achromaticity"
"शेल्फ","achromatin"
"शैक्षिक","achromatinic"
"शैली","achromatisation"
"शोक","achromatise"
"शोषण","achromatised"
"शौचालय","achromatising"
"श्रम","achromatism"
"श्रीमान्","Achromatium"
"श्रृंखला","achromatizable"
"श्रेणी","achromatization"
"श्रोता","achromatize"
"षड्यन्त्र","achromatized"
"सँगै","achromatizing"
"संकट","achromatocyte"
"संकल्प","achromatolysis"
"संकाय","achromatope"
"संकुचन","achromatophil"
"संकेत","achromatophile"
"संकोच","achromatophilia"
"संक्रमण","achromatophilic"
"संक्षिप्त","achromatopia"
"संख्या","achromatopsy"
"संग","achromatopsia"
"संगठन","achromatosis"
"संगीत","achromatous"
"संगीतकार","achromats"
"संग्रहालय","achromaturia"
"संघ","achromia"
"संघर्ष","achromic"
"संघीय","Achromycin"
"संज्ञानात्मक","Achromobacter"
"संत","Achromobacterieae"
"संयन्त्र","achromoderma"
"संयुक्त","achromophilous"
"संयोजक","achromotrichia"
"संयोजन","achromous"
"संरक्षक","achronical"
"संरक्षण","achronychous"
"संरचना","achronism"
"संरचनात्मक","achroo-"
"संलग्न","achroodextrin"
"संलग्नता","achroodextrinase"
"संवाद","achroous"
"संवाददाता","achropsia"
"संविधान","Achsah"
"संवेदनशील","achtehalber"
"संवेदनशीलता","achtel"
"संवैधानिक","achtelthaler"
"संशोधन","achter"
"संसद","achterveld"
"संसार","Achuas"
"संस्करण","achuete"
"संस्कृति","acy"
"संस्था","acyanoblepsia"
"संस्थागत","acyanopsia"
"संस्थान","acichlorid"
"संस्थापक","acichloride"
"सकल","acyclic"
"सकारात्मक","acyclically"
"सक्छ","acicula"
"सक्रिय","aciculae"
"सक्षम","acicular"
"सङ्कलन","acicularity"
"सङ्केत","acicularly"
"सचिव","aciculas"
"सचेत","aciculate"
"सजाय","aciculated"
"सजिलै","aciculum"
"सजिलो","aciculums"
"सज्जन","acid"
"सञ्चार","acidaemia"
"सञ्चालन","Acidalium"
"सटीक","Acidanthera"
"सट्टा","Acidaspis"
"सडक","acid-binding"
"सतह","acidemia"
"सत्य","acidemias"
"सत्र","acider"
"सदस्य","acid-fast"
"सदस्यता","acid-fastness"
"सधैं","acid-forming"
"सधैंभरि","acidhead"
"सन्तुलन","acid-head"
"सन्तुष्टि","acidheads"
"सन्दर्भ","acidy"
"सन्देश","acidic"
"सन्धि","acidiferous"
"सपना","acidify"
"सप्ताहन्त","acidifiable"
"सफल","acidifiant"
"सफलता","acidific"
"सफलतापूर्वक","acidification"
"सफा","acidified"
"सफ्टवेयर","acidifier"
"सबै","acidifiers"
"सबैजना","acidifies"
"सभा","acidifying"
"सभ्य","acidyl"
"सभ्यता","acidimeter"
"समकक्ष","acidimetry"
"समकालीन","acidimetric"
"समझौता","acidimetrical"
"समतल","acidimetrically"
"समय","acidite"
"समयमा","acidity"
"समर्थक","acidities"
"समर्थन","acidize"
"समर्पण","acidized"
"समलिङ्गी","acidizing"
"समस्या","acidly"
"समाचार","acidness"
"समाज","acidnesses"
"समात्नु","acidogenic"
"समात्नुहोस्","acidoid"
"समाधान","acidolysis"
"समान","acidology"
"समानता","acidometer"
"समाप्त","acidometry"
"समायोजन","acidophil"
"समारोह","acidophile"
"समावेश","acidophilic"
"समिति","acidophilous"
"समीकरण","acidophilus"
"समीक्षा","acidoproteolytic"
"समुदाय","acidoses"
"समुद्र","acidosis"
"समुद्री","acidosteophyte"
"समूह","acidotic"
"सम्झना","acidproof"
"सम्झनु","acids"
"सम्झाउने","acid-treat"
"सम्झौता","acidulant"
"सम्पत्ति","acidulate"
"सम्पादक","acidulated"
"सम्पूर्ण","acidulates"
"सम्बद्धता","acidulating"
"सम्बन्ध","acidulation"
"सम्बन्धमा","acidulent"
"सम्बन्धित","acidulous"
"सम्भवतः","acidulously"
"सम्भावना","acidulousness"
"सम्भाव्यता","aciduria"
"सम्म","acidurias"
"सम्मान","aciduric"
"सम्मेलन","Acie"
"सम्राट","acier"
"सय","acierage"
"सर","Acieral"
"सरकार","acierate"
"सरल","acierated"
"सरासर","acierates"
"सर्किट","acierating"
"सर्जन","acieration"
"सर्तहरू","acies"
"सर्प","acyesis"
"सर्भर","acyetic"
"सर्वेक्षण","aciform"
"सर्वोच्च","acyl"
"सलाद","acylal"
"सल्लाह","acylamido"
"सल्लाहकार","acylamidobenzene"
"सवार","acylamino"
"सवारी","acylase"
"सशस्त्र","acylate"
"सस्तो","acylated"
"सहकर्मी","acylates"
"सहज","acylating"
"सहजता","acylation"
"सहन","aciliate"
"सहभागिता","aciliated"
"सहभागी","Acilius"
"सहमत","acylogen"
"सहमति","acyloin"
"सहयोग","acyloins"
"सहयोगी","acyloxy"
"सहर","acyloxymethane"
"सहरी","acyls"
"सहसम्बन्ध","Acima"
"सहानुभूति","acinaceous"
"सहायक","acinaces"
"सहायता","acinacifoliate"
"सहित","acinacifolious"
"सही","acinaciform"
"साँघुरो","acinacious"
"साँच्चै","acinacity"
"साँझ","acinar"
"सांख्यिकीय","acinary"
"सांगीतिक","acinarious"
"सांसद","Acineta"
"सांस्कृतिक","Acinetae"
"साइकल","acinetan"
"साइट","Acinetaria"
"साइडबार","acinetarian"
"साक्षरता","acinetic"
"साक्षी","acinetiform"
"साखा","Acinetina"
"सागसब्जी","acinetinan"
"साझेदारी","acing"
"सात","acini"
"सातौं","acinic"
"साथ","aciniform"
"साथमा","acinose"
"साथी","acinotubular"
"सादा","acinous"
"साधन","acinuni"
"साधारणतया","acinus"
"सानो","acious"
"सान्दर्भिक","Acipenser"
"साप्ताहिक","Acipenseres"
"साबुन","acipenserid"
"सामग्री","Acipenseridae"
"सामन","acipenserine"
"सामना","acipenseroid"
"सामाजिक","Acipenseroidei"
"सामान","acyrology"
"सामान्य","acyrological"
"सामान्यतः","Acis"
"सामान्यतया","acystia"
"सामूहिक","acitate"
"साम्राज्य","acity"
"सायद","aciurgy"
"सार","ACK"
"सारांश","ack-ack"
"सार्जेन्ट","ackee"
"सार्थक","ackees"
"सार्वजनिक","ackey"
"सावधान","ackeys"
"सावधानीपूर्वक","Acker"
"सास","Ackerley"
"साहस","Ackerly"
"साहसिक","Ackerman"
"साहित्य","Ackermanville"
"साहित्यिक","Ackley"
"सिंह","Ackler"
"सिंहासन","ackman"
"सिकाउनुहोस्","ackmen"
"सिक्का","acknew"
"सिक्नुहोस्","acknow"
"सिक्ने","acknowing"
"सिजन","acknowledge"
"सिद्ध","acknowledgeable"
"सिद्धान्त","acknowledged"
"सिनेट","acknowledgedly"
"सिनेटर","acknowledgement"
"सिन्ड्रोम","acknowledgements"
"सिपाही","acknowledger"
"सिफारिस","acknowledgers"
"सिरियाली","acknowledges"
"सिर्जना","acknowledging"
"सिर्जनाकर्ता","acknowledgment"
"सीङ","acknowledgments"
"सीट","acknowledgment's"
"सीढी","acknown"
"सीधा","ack-pirate"
"सीमा","ackton"
"सीमाना","Ackworth"
"सीमित","ACL"
"सुँगुर","aclastic"
"सुइट","acle"
"सुई","acleidian"
"सुक्खा","acleistocardia"
"सुखद","acleistous"
"सुझाव","Aclemon"
"सुतेको","aclydes"
"सुत्नु","aclidian"
"सुदृढीकरण","aclinal"
"सुधार","aclinic"
"सुधारिएको","aclys"
"सुन","a-clock"
"सुनुवाइ","acloud"
"सुनौलो","ACLS"
"सुन्तला","ACLU"
"सुन्दर","ACM"
"सुन्नुहोस्","Acmaea"
"सुपर","Acmaeidae"
"सुरक्षा","acmaesthesia"
"सुरक्षात्मक","acmatic"
"सुरक्षित","acme"
"सुराग","acmes"
"सुरु","acmesthesia"
"सुरुङ","acmic"
"सुरुचिपूर्ण","Acmispon"
"सुरुमा","acmite"
"सुविधा","Acmon"
"सुसंगत","acne"
"सुसज्जित","acned"
"सुसमाचार","acneform"
"सूक्ष्म","acneiform"
"सूचक","acnemia"
"सूचना","acnes"
"सूची","Acnida"
"सूट","acnodal"
"सूत्र","acnode"
"सूप","acnodes"
"सूर्य","ACO"
"सूर्यास्त","acoasm"
"सेक्स","acoasma"
"सेक्सी","a-coast"
"सेट","Acocanthera"
"सेटिङ","acocantherin"
"सेतो","acock"
"सेना","acockbill"
"सेन्ट","a-cock-bill"
"सेन्सर","a-cock-horse"
"सेप्टेम्बर","acocotl"
"सेल","Acoela"
"सेलिब्रिटी","Acoelomata"
"सेवक","acoelomate"
"सेवा","acoelomatous"
"सेवानिवृत्त","Acoelomi"
"सेवानिवृत्ति","acoelomous"
"सैद्धान्तिक","acoelous"
"सैन्य","Acoemetae"
"सोच","Acoemeti"
"सोच्नुहोस्","Acoemetic"
"सोडा","acoenaesthesia"
"सोडियम","ACOF"
"सोध्नु","acoin"
"सोफा","acoine"
"सोभियत","Acol"
"सोमबार","Acolapissa"
"सौन्दर्य","acold"
"सौर्य","Acolhua"
"स्कर्ट","Acolhuan"
"स्काउट","acolyctine"
"स्की","acolyte"
"स्केल","acolytes"
"स्कोर","acolyth"
"स्क्यान","acolythate"
"स्क्रीनिङ","acolytus"
"स्टक","acology"
"स्टार्टर","acologic"
"स्टील","acolous"
"स्टुडियो","acoluthic"
"स्टेक","Acoma"
"स्टेडियम","acomia"
"स्टेम","acomous"
"स्टेशन","a-compass"
"स्टोर","aconative"
"स्ट्याक","Aconcagua"
"स्तन","acondylose"
"स्तम्भ","acondylous"
"स्तम्भकार","acone"
"स्तर","aconelline"
"स्थल","aconic"
"स्थान","aconin"
"स्थानान्तरण","aconine"
"स्थानिय","aconital"
"स्थापना","aconite"
"स्थायी","aconites"
"स्थिति","aconitia"
"स्थिर","aconitic"
"स्थिरता","aconitin"
"स्नातक","aconitine"
"स्नान","Aconitum"
"स्नायु","aconitums"
"स्न्याप","acontia"
"स्पर्श","Acontias"
"स्पष्ट","acontium"
"स्पार्क","Acontius"
"स्पिन","aconuresis"
"स्पेक्ट्रम","acool"
"स्पेनिश","acop"
"स्मारक","acopic"
"स्मार्ट","acopyrin"
"स्याऊ","acopyrine"
"स्यान्डविच","acopon"
"स्रोत","acor"
"स्लाइड","acorea"
"स्ल्याम","acoria"
"स्व","acorn"
"स्वचालित","acorned"
"स्वतन्त्र","acorns"
"स्वतन्त्रता","acorn's"
"स्वदेशी","acorn-shell"
"स्वयंसेवक","Acorus"
"स्वर","acosmic"
"स्वर्ग","acosmism"
"स्वस्थ","acosmist"
"स्वागत","acosmistic"
"स्वाद","acost"
"स्वादिष्ट","Acosta"
"स्वामित्व","acotyledon"
"स्वास्थ्य","acotyledonous"
"स्विङ","acouasm"
"स्विच","acouchi"
"स्वीकार","acouchy"
"स्वीकार्य","acoumeter"
"स्वीकृति","acoumetry"
"स्वीप","acounter"
"ह","acouometer"
"हकदार","acouophonia"
"हक्की","acoup"
"हजार","acoupa"
"हजुरआमा","acoupe"
"हजुरबुबा","acousma"
"हटाउन","acousmas"
"हटाउने","acousmata"
"हडताल","acousmatic"
"हड्डी","acoustic"
"हतार","acoustical"
"हताश","acoustically"
"हताहत","acoustician"
"हतियार","acoustico-"
"हत्केला","acousticolateral"
"हत्या","Acousticon"
"हत्यारा","acousticophobia"
"हथौडा","acoustics"
"हद","acoustoelectric"
"हप्ता","ACP"
"हम्म","acpt"
"हराइरहेको","acpt."
"हराउनु","Acquah"
"हरामी","acquaint"
"हरायो","acquaintance"
"हरियो","acquaintances"
"हरुवा","acquaintance's"
"हरेक","acquaintanceship"
"हर्मोन","acquaintanceships"
"हल","acquaintancy"
"हलचल","acquaintant"
"हलवे","acquainted"
"हल्का","acquaintedness"
"हल्लाउनु","acquainting"
"हवाईजहाज","acquaints"
"हस्तक्षेप","Acquaviva"
"हस्ताक्षर","acquent"
"हाँस","acquereur"
"हाँसो","acquest"
"हाँस्न","acquests"
"हाँस्नु","acquiesce"
"हात","acquiesced"
"हात्ती","acquiescement"
"हानि","acquiescence"
"हामी","acquiescences"
"हामीलाई","acquiescency"
"हाम्रो","acquiescent"
"हार्डवेयर","acquiescently"
"हाल","acquiescer"
"हालै","acquiesces"
"हावा","acquiescing"
"हास्नु","acquiescingly"
"हास्य","acquiesence"
"हास्यास्पद","acquiet"
"हिंसा","acquirability"
"हिंसात्मक","acquirable"
"हिउँ","acquire"
"हिजो","acquired"
"हिज्जे","acquirement"
"हिट","acquirements"
"हिड्दै","acquirenda"
"हिड्नु","acquirer"
"हिप","acquirers"
"हिम्मत","acquires"
"हिरण","acquiring"
"हिरासत","acquisible"
"हिल","acquisita"
"हिस्पैनिक","acquisite"
