"Luxembourgish","English"
"ongenéiert","acetanilide"
"ongerecht","acetanion"
"ongewéinlech","acetaniside"
"onglécklech","acetanisidide"
"onheemlech","acetanisidine"
"onidentifizéiert","acetannin"
"onkloer","acetary"
"online","acetarious"
"Onmass","acetars"
"onméiglech","acetarsone"
"onofhängeg","acetate"
"Onofhängegkeet","acetated"
"onpassend","acetates"
"onschëlleg","acetation"
"Onsécherheet","acetazolamide"
"onsichtbar","acetbromamide"
"onwahrscheinlech","acetenyl"
"onwuel","Acetes"
"ooh","acethydrazide"
"op","acetiam"
"opbauen","acetic"
"opbruecht","acetify"
"oper","acetification"
"Operatioun","acetified"
"operéieren","acetifier"
"opfer","acetifies"
"opgedeelt","acetifying"
"opgereegt","acetyl"
"opgestan","acetylacetonates"
"opginn","acetylacetone"
"opgoen","acetylamine"
"ophalen","acetylaminobenzene"
"ophiewen","acetylaniline"
"Opmierksamkeet","acetylasalicylic"
"Opnam","acetylate"
"oppen","acetylated"
"Oppositioun","acetylating"
"Opreegung","acetylation"
"opsammelen","acetylative"
"opt","acetylator"
"optimistesch","acetylbenzene"
"Optioun","acetylbenzoate"
"Optraghueler","acetylbenzoic"
"orange","acetylbiuret"
"organesch","acetylcarbazole"
"Organisatioun","acetylcellulose"
"organiséieren","acetylcholine"
"Organismus","acetylcholinesterase"
"Orientéierung","acetylcholinic"
"original","acetylcyanide"
"Osten","acetylenation"
"Otem","acetylene"
"otmen","acetylenediurein"
"Ouer","acetylenes"
"ouni","acetylenic"
"outfit","acetylenyl"
"Outlet","acetylenogen"
"Ouverture","acetylfluoride"
"Owend","acetylglycin"
"Ozean","acetylglycine"
"paar","acetylhydrazine"
"Pabeier","acetylic"
"Package","acetylid"
"packen","acetylide"
"pad","acetyliodide"
"pädagogesch","acetylizable"
"Päerd","acetylization"
"Päif","acetylize"
"päischt","acetylized"
"pal","acetylizer"
"Palais","acetylizing"
"palästinensesch","acetylmethylcarbinol"
"palm","acetylperoxide"
"pan","acetylphenylhydrazine"
"panel","acetylphenol"
"Panik","acetylrosaniline"
"pant","acetyls"
"Papp","acetylsalicylate"
"parade","acetylsalicylic"
"Paragraph","acetylsalol"
"parameter","acetyltannin"
"parken","acetylthymol"
"Parking","acetyltropeine"
"Parlament","acetylurea"
"Partei","acetimeter"
"Participant","acetimetry"
"Participatioun","acetimetric"
"Partikel","acetin"
"Partner","acetine"
"Partnerschaft","acetins"
"Paschtouer","acetite"
"Passage","acetize"
"Passagéier","acetla"
"passéieren","acetmethylanilide"
"passend","acetnaphthalide"
"passionéierte","aceto-"
"patent","acetoacetanilide"
"Patient","acetoacetate"
"Patrimoine","acetoacetic"
"Patron","acetoamidophenol"
"patrouilléieren","acetoarsenite"
"paus","Acetobacter"
"pc","acetobenzoic"
"peer","acetobromanilide"
"Peffer","acetochloral"
"pen","acetocinnamene"
"Péng","acetoin"
"pensionéieren","acetol"
"pensionéiert","acetolysis"
"Pensioun","acetolytic"
"per","acetometer"
"Perceptioun","acetometry"
"perfekt","acetometric"
"Period","acetometrical"
"permanent","acetometrically"
"perséinlech","acetomorphin"
"Perséinlechkeet","acetomorphine"
"Personal","acetonaemia"
"Persoun","acetonaemic"
"Perspektiv","acetonaphthone"
"pet","acetonate"
"Petitioun","acetonation"
"Pfeil","acetone"
"Pflicht","acetonemia"
"Phänomen","acetonemic"
"Phantasie","acetones"
"Phase","acetonic"
"philosopheschen","acetonyl"
"Philosophie","acetonylacetone"
"Physik","acetonylidene"
"Piano","acetonitrile"
"pie","acetonization"
"pill","acetonize"
"pilot","acetonuria"
"pin","acetonurometer"
"Pinien","acetophenetide"
"Pipeline","acetophenetidin"
"pirat","acetophenetidine"
"piss","acetophenin"
"Pistoul","acetophenine"
"pit","acetophenone"
"pitcher","acetopiperone"
"pizza","acetopyrin"
"Placement","acetopyrine"
"plack","acetosalicylic"
"plädéieren","acetose"
"Plafong","acetosity"
"Plage","acetosoluble"
"Plainte","acetostearin"
"plakeg","acetothienone"
"Planéit","acetotoluid"
"plangen","acetotoluide"
"Planz","acetotoluidine"
"Plastik","acetous"
"Plat","acetoveratrone"
"Plattform","acetoxyl"
"platzen","acetoxyls"
"playoff","acetoxim"
"Plaz","acetoxime"
"pluss","acetoxyphthalide"
"pm","acetphenetid"
"Poesie","acetphenetidin"
"poet","acetract"
"pol","acettoluide"
"Police","acetum"
"politesch","aceturic"
"Politik","ACF"
"Politiker","ACGI"
"pompelen","ac-globulin"
"Pool","ACH"
"Poopst","Achab"
"pop","Achad"
"popp","Achaea"
"populär","Achaean"
"Popularitéit","Achaemenes"
"port","Achaemenian"
"Portfolio","Achaemenid"
"Portioun","Achaemenidae"
"Portmonni","Achaemenides"
"portrait","Achaemenidian"
"portraitéieren","Achaemenids"
"poséieren","achaenocarp"
"Positioun","Achaenodon"
"positiv","Achaeta"
"posten","achaetous"
"pot","Achaeus"
"Potential","achafe"
"potenziell","achage"
"Poulet","Achagua"
"Pound","Achaia"
"Präis","Achaian"
"praktesch","Achakzai"
"Praktiker","achalasia"
"Präsenz","Achamoth"
"Präventioun","Achan"
"Praxis","Achango"
"präzis","achape"
"predator","achaque"
"Preferenz","achar"
"premie","acharya"
"Premier","Achariaceae"
"Prënz","Achariaceous"
"preparéieren","acharne"
"Presentatioun","acharnement"
"presentéieren","Acharnians"
"Présidence","achate"
"President","Achates"
"Presidentiellen","Achatina"
"presséiert","Achatinella"
"Prêt","Achatinidae"
"prett","achatour"
"priedegen","Achaz"
"primär","ache"
"Prinzessin","acheat"
"Prinzip","achech"
"Prioritéit","acheck"
"Prisong","ached"
"Prisonnéier","acheer"
"privat","ACHEFT"
"Privatsphär","acheilary"
"Privileg","acheilia"
"pro","acheilous"
"probéieren","acheiria"
"Problem","acheirous"
"Problemer","acheirus"
"Procureur","Achelous"
"Produit","Achen"
"Produktioun","achene"
"produktiv","achenes"
"Produktivitéit","achenia"
"produzéieren","achenial"
"Produzent","achenium"
"professor","achenocarp"
"Profil","achenodia"
"profitabel","achenodium"
"profitéieren","acher"
"Programm","Acherman"
"programméiere","Achernar"
"progressiv","Acheron"
"Projektioun","Acheronian"
"Projet","Acherontic"
"Promi","Acherontical"
"prominent","aches"
"Promotioun","Acheson"
"promovéieren","achesoun"
"Propaganda","achete"
"Prophéit","Achetidae"
"Proportioun","Acheulean"
"proposéieren","Acheulian"
"proposéiert","acheweed"
"Propositioun","achy"
"propper","achier"
"Propriétéit","achiest"
"protein","achievability"
"protestéieren","achievable"
"Protester","achieve"
"Protokoll","achieved"
"Provënz","achievement"
"Provider","achievements"
"Prozedur","achievement's"
"Prozeduren","achiever"
"Prozent","achievers"
"Prozentsaz","achieves"
"Prozess","achieving"
"Prozessor","ach-y-fi"
"Psycholog","achigan"
"psychologesch","achilary"
"Psychologie","achylia"
"Publikatioun","Achill"
"Publikum","Achille"
"publizéieren","Achillea"
"publizéiert","Achillean"
"Pudder","achilleas"
"puer","Achilleid"
"pulséieren","achillein"
"punkt","achilleine"
"Punkt","Achilles"
"Punktzuel","Achillize"
"Puppelchen","achillobursitis"
"Puzzel","achillodynia"
"Quadrat","achilous"
"qualifizéieren","achylous"
"Qualitéit","Achimaas"
"Quantitéit","achime"
"quantum","Achimelech"
"Quarterback","Achimenes"
"Quartier","achymia"
"quasi","achymous"
"Quell","Achinese"
"quest","achiness"
"Questionnaire","achinesses"
"racistesch","aching"
"Rack","achingly"
"rad","achiote"
"radar","achiotes"
"radikal","achira"
"radio","Achyranthes"
"raffinéiert","achirite"
"räich","Achyrodes"
"Räich","Achish"
"Räichtum","Achitophel"
"raisonnabel","achkan"
"räissen","achlamydate"
"Rakéit","Achlamydeae"
"Rallye","achlamydeous"
"ranch","achlorhydria"
"rand","achlorhydric"
"rangéieren","achlorophyllous"
"Ranking","achloropsia"
"Ranner","achluophobia"
"rar","Achmed"
"Rassismus","Achmetha"
"rassistesch","achoke"
"rat","acholia"
"rational","acholias"
"rau","acholic"
"ray","Acholoe"
"Räzess","acholous"
"re","acholuria"
"reagéieren","acholuric"
"Reaktioun","Achomawi"
"real","achondrite"
"realiséieren","achondritic"
"realistesch","achondroplasia"
"Realitéit","achondroplastic"
"rebelléieren","achoo"
"Recetten","achor"
"Rechenschaftspflicht","achordal"
"Rechnung","Achordata"
"réckelen","achordate"
"Recommandatioun","Achorion"
"recommandéieren","Achorn"
"recuperéieren","Achras"
"Redakter","achree"
"Reduktioun","achroacyte"
"reduzéieren","Achroanthes"
"reenen","achrodextrin"
"Rees","achrodextrinase"
"reesen","achroglobin"
"reesend","achroiocythaemia"
"Referenz","achroiocythemia"
"reflektéieren","achroite"
"Reflexioun","achroma"
"Reform","achromacyte"
"refuséieren","achromasia"
"Regal","achromat"
"regéieren","achromat-"
"regelméisseg","achromate"
"Regierung","Achromatiaceae"
"Regime","achromatic"
"regional","achromatically"
"Regioun","achromaticity"
"regléieren","achromatin"
"reglementaresche","achromatinic"
"Regulatioun","achromatisation"
"Reider","achromatise"
"réieren","achromatised"
"Reih","achromatising"
"Reis","achromatism"
"reiwen","Achromatium"
"Reklammen","achromatizable"
"Rekord","achromatization"
"rekrutéieren","achromatize"
"Relatioun","achromatized"
"relativ","achromatizing"
"relax","achromatocyte"
"relevant","achromatolysis"
"reliéis","achromatope"
"Relioun","achromatophil"
"Remise","achromatophile"
"Rendez-vous","achromatophilia"
"Rëndfleesch","achromatophilic"
"reng","achromatopia"
"rep","achromatopsy"
"Reparatur","achromatopsia"
"reporter","achromatosis"
"Representatioun","achromatous"
"republik","achromats"
"republikanesch","achromaturia"
"Rescht","achromia"
"Reseau","achromic"
"Reservatioun","Achromycin"
"reservéieren","Achromobacter"
"Residenz","Achromobacterieae"
"Resistenz","achromoderma"
"Resolutioun","achromophilous"
"respektéieren","achromotrichia"
"respektiv","achromous"
"responsabel","achronical"
"Ressource","achronychous"
"Restaurant","achronism"
"restauréieren","achroo-"
"Restriktioun","achroodextrin"
"Resultat","achroodextrinase"
"Resumé","achroous"
"Retard","achropsia"
"Rettung","Achsah"
"Revanche","achtehalber"
"revolutionär","achtel"
"Revolutioun","achtelthaler"
"rezent","achter"
"Rezept","achterveld"
"Rhetorik","Achuas"
"rhythmus","achuete"
"richen","acy"
"richteg","acyanoblepsia"
"Richtlinnen","acyanopsia"
"Richtung","acichlorid"
"ridge","acichloride"
"Rido","acyclic"
"Ried","acyclically"
"rieseg","acicula"
"riets","aciculae"
"riichtaus","acicular"
"Riichter","acicularity"
"ring","acicularly"
"riot","aciculas"
"RIP","aciculate"
"riskant","aciculated"
"riskéieren","aciculum"
"ritual","aciculums"
"rivaliséieren","acid"
"Roboter","acidaemia"
"rock","Acidalium"
"Rock","Acidanthera"
"rod","Acidaspis"
"roden","acid-binding"
"roll","acidemia"
"Roll","acidemias"
"roman","acider"
"Romance","acid-fast"
"romanteschen","acid-fastness"
"ronderëm","acid-forming"
"ronn","acidhead"
"rookie","acid-head"
"root","acidheads"
"rosa","acidy"
"rosen","acidic"
"Roserei","acidiferous"
"Rotschléi","acidify"
"rouben","acidifiable"
"roueg","acidifiant"
"Rouer","acidific"
"Rout","acidification"
"route","acidified"
"Routine","acidifier"
"royal","acidifiers"
"ruff","acidifies"
"Ruff","acidifying"
"ruffen","acidyl"
"Ruhm","acidimeter"
"ruinéieren","acidimetry"
"rullen","acidimetric"
"ruppeg","acidimetrical"
"Russesch","acidimetrically"
"rutschen","acidite"
"Saach","acidity"
"Saachen","acidities"
"sack","acidize"
"Saint","acidized"
"Saison","acidizing"
"Säit","acidly"
"Sak","acidness"
"Sall","acidnesses"
"Salut","acidogenic"
"Salz","acidoid"
"sammelen","acidolysis"
"Sammler","acidology"
"Samschdeg","acidometer"
"Sand","acidometry"
"Sandwich","acidophil"
"sanft","acidophile"
"sangen","acidophilic"
"Sänger","acidophilous"
"Sanktioun","acidophilus"
"Satellit","acidoproteolytic"
"sauer","acidoses"
"Sauerstoff","acidosis"
"Saumon","acidosteophyte"
"Saz","acidotic"
"scannen","acidproof"
"schaarf","acids"
"Schädel","acid-treat"
"schafen","acidulant"
"schaffen","acidulate"
"Schafung","acidulated"
"Schäiss","acidulates"
"schalt","acidulating"
"Schanken","acidulation"
"Schatz","acidulent"
"schätzen","acidulous"
"Schatzkammer","acidulously"
"Schauspiller","acidulousness"
"schécken","aciduria"
"schëdden","acidurias"
"Scheedung","aciduric"
"Schëff","Acie"
"Schëffer","acier"
"schei","acierage"
"Scheier","Acieral"
"Scheif","acierate"
"schéin","acierated"
"Schéinheet","acierates"
"scheiss","acierating"
"schéissen","acieration"
"Scheiwen","acies"
"Schëld","acyesis"
"schëlleg","acyetic"
"Schëller","aciform"
"Schema","acyl"
"schéngen","acylal"
"Schëpfer","acylamido"
"Schicksal","acylamidobenzene"
"Schied","acylamino"
"schielen","acylase"
"Schildkröt","acylate"
"Schlaag","acylated"
"Schlaang","acylates"
"Schlamm","acylating"
"schlank","acylation"
"schlapp","aciliate"
"Schlass","aciliated"
"schlau","Acilius"
"schlecht","acylogen"
"schlecken","acyloin"
"schlécken","acyloins"
"Schléissfach","acyloxy"
"Schlëssel","acyloxymethane"
"schloe","acyls"
"schloen","Acima"
"schlofen","acinaceous"
"Schlofkummer","acinaces"
"Schloo","acinacifoliate"
"Schluecht","acinacifolious"
"schlussendlech","acinaciform"
"schmaachen","acinacious"
"schmelzen","acinacity"
"Schmink","acinar"
"schmuel","acinary"
"Schnéi","acinarious"
"schneiden","Acineta"
"schnouer","Acinetae"
"scho","acinetan"
"Schock","Acinetaria"
"Schockela","acinetarian"
"Schof","acinetic"
"Schold","acinetiform"
"Schong","Acinetina"
"Schossel","acinetinan"
"Schoul","acing"
"schounen","acini"
"schrauwen","acinic"
"Schrecken","aciniform"
"schrecklech","acinose"
"Schrëft","acinotubular"
"Schrëftsteller","acinous"
"schreiwen","acinuni"
"Schrëtt","acinus"
"schrumpfen","acious"
"schued","Acipenser"
"Schued","Acipenseres"
"schueden","acipenserid"
"Schuel","Acipenseridae"
"Schüler","acipenserine"
"schüttelen","acipenseroid"
"Schutz","Acipenseroidei"
"schützen","acyrology"
"Schutzmoossnamen","acyrological"
"schwaach","Acis"
"schwaarz","acystia"
"Schwächt","acitate"
"Schwäert","acity"
"Schwäin","aciurgy"
"schwammen","ACK"
"Schwammen","ack-ack"
"schwanger","ackee"
"Schwangerschaft","ackees"
"Schwanz","ackey"
"schwätzen","ackeys"
"schweessen","Acker"
"schwéier","Ackerley"
"Schwéierkraaft","Ackerly"
"Schwéierpunkt","Ackerman"
"Schwell","Ackermanville"
"schwéngen","Ackley"
"Schwëster","Ackler"
"Schwieregkeet","ackman"
"schwieren","ackmen"
"Scout","acknew"
"sech","acknow"
"sécher","acknowing"
"Sécherheet","acknowledge"
"sécherlech","acknowledgeable"
"sechs","acknowledged"
"sechsten","acknowledgedly"
"Secteur","acknowledgement"
"seef","acknowledgements"
"Seel","acknowledger"
"segelen","acknowledgers"
"Segen","acknowledges"
"segment","acknowledging"
"Séi","acknowledgment"
"Seid","acknowledgments"
"séier","acknowledgment's"
"Séil","acknown"
"séiss","ack-pirate"
"Séissegkeeten","ackton"
"Sekretär","Ackworth"
"Sektioun","ACL"
"sekundär","aclastic"
"selten","acle"
"selwecht","acleidian"
"selwer","acleistocardia"
"Sëlwer","acleistous"
"Senat","Aclemon"
"senator","aclydes"
"seng","aclidian"
"sengem","aclinal"
"senior","aclinic"
"Sënn","aclys"
"sënnvoll","a-clock"
"Sensatioun","acloud"
"sensibel","ACLS"
"sensor","ACLU"
"September","ACM"
"Sequenz","Acmaea"
"sergeant","Acmaeidae"
"Serie","acmaesthesia"
"sérieux","acmatic"
"Server","acme"
"Service","acmes"
"Sëtz","acmesthesia"
"setzen","acmic"
"sëtzt","Acmispon"
"Sëtzung","acmite"
"sexuell","Acmon"
"sexy","acne"
"shark","acned"
"sheriff","acneform"
"Shopping","acneiform"
"si","acnemia"
"sichen","acnes"
"sidebar","Acnida"
"Signal","acnodal"
"siichtbar","acnode"
"Siidlung","acnodes"
"sin","ACO"
"sinn","acoasm"
"Site","acoasma"
"Situatioun","a-coast"
"siwen","Acocanthera"
"siwenten","acocantherin"
"Skala","acock"
"Skandal","acockbill"
"ski","a-cock-bill"
"skizzéieren","a-cock-horse"
"Sklave","acocotl"
"Sklaverei","Acoela"
"Skulptur","Acoelomata"
"snap","acoelomate"
"Societeit","acoelomatous"
"soda","Acoelomi"
"soen","acoelomous"
"Software","acoelous"
"sok","Acoemetae"
"solar","Acoemeti"
"soll","Acoemetic"
"solo","acoenaesthesia"
"Som","ACOF"
"Sommet","acoin"
"Sonn","acoine"
"Sonndeg","Acol"
"sonneg","Acolapissa"
"Sonneliicht","acold"
"Sonnenënnergang","Acolhua"
"Sonnenopgang","Acolhuan"
"sortéieren","acolyctine"
"Sortie","acolyte"
"soss","acolytes"
"sougenannte","acolyth"
"souguer","acolythate"
"souwisou","acolytus"
"souwuel","acology"
"sowjetesch","acologic"
"sozial","acolous"
"Spaass","acoluthic"
"späicheren","Acoma"
"späiz","acomia"
"spalt","acomous"
"spannend","a-compass"
"Spannung","aconative"
"spéider","Aconcagua"
"spéit","acondylose"
"spektakulär","acondylous"
"Spektrum","acone"
"Spekulatiounen","aconelline"
"spenden","aconic"
"Spender","aconin"
"spezialiséiert","aconine"
"Spezialist","aconital"
"speziell","aconite"
"spezifesch","aconites"
"Sphär","aconitia"
"Spidol","aconitic"
"Spigel","aconitin"
"spill","aconitine"
"Spill","Aconitum"
"spillen","aconitums"
"Spiller","acontia"
"Spillsaach","Acontias"
"spin","acontium"
"spion","Acontius"
"spirituell","aconuresis"
"Sponsor","acool"
"Sport","acop"
"Sportler","acopic"
"sprangen","acopyrin"
"Spriecher","acopyrine"
"Sprooch","acopon"
"Spuenesch","acor"
"spueren","acorea"
"staamt","acoria"
"staark","acorn"
"Staat","acorned"
"stabil","acorns"
"Stabilitéit","acorn's"
"Stack","acorn-shell"
"Stad","Acorus"
"Stadion","acosmic"
"stäerken","acosmism"
"Stamm","acosmist"
"Stand","acosmistic"
"Standard","acost"
"Standuert","Acosta"
"stänneg","acotyledon"
"Stär","acotyledonous"
"Stärekoup","acouasm"
"starten","acouchi"
"Startënnerlagen","acouchy"
"statistesch","acoumeter"
"Statistiken","acoumetry"
"Statu","acounter"
"Status","acouometer"
"Statut","acouophonia"
"steak","acoup"
"Stëbs","acoupa"
"Stéck","acoupe"
"steen","acousma"
"Steier","acousmas"
"stéieren","acousmata"
"steierlechen","acousmatic"
"Stéierungen","acoustic"
"Steierzueler","acoustical"
"steif","acoustically"
"Stellvertrieder","acoustician"
"Stëmm","acoustico-"
"stëmmen","acousticolateral"
"stemmt","Acousticon"
"Stëmmung","acousticophobia"
"Stempel","acoustics"
"stëppelen","acoustoelectric"
"stieche","ACP"
"stier","acpt"
"stierwen","acpt."
"stierzen","Acquah"
"Stil","acquaint"
"stimulus","acquaintance"
"Stipendium","acquaintances"
"Stir","acquaintance's"
"Stock","acquaintanceship"
"Stockage","acquaintanceships"
"stoen","acquaintancy"
"Stoff","acquaintant"
"Stol","acquainted"
"stolz","acquaintedness"
"Stonn","acquainting"
"Stot","acquaints"
"Sträif","Acquaviva"
"Sträit","acquent"
"Stralung","acquereur"
"strategesch","acquest"
"Strategie","acquests"
"stream","acquiesce"
"streck","acquiesced"
"Streck","acquiescement"
"strecken","acquiescence"
"streiden","acquiescences"
"streiken","acquiescency"
"streng","acquiescent"
"Stress","acquiescently"
"String","acquiescer"
"Strof","acquiesces"
"Strooss","acquiescing"
"Stroum","acquiescingly"
"Struktur","acquiesence"
"strukturell","acquiet"
"studéieren","acquirability"
"studio","acquirable"
"Stuerm","acquire"
"Stull","acquired"
"Subsid","acquirement"
"substantiell","acquirements"
"Substanz","acquirenda"
"subtile","acquirer"
"Sucht","acquirers"
"suckelen","acquires"
"Süden","acquiring"
"südlechen","acquisible"
"Südosten","acquisita"
"Südwesten","acquisite"
"sue","acquisited"
"Suen","acquisition"
"Suerg","acquisitional"
"Suergen","acquisitions"
"Suergerecht","acquisition's"
"Suite","acquisitive"
"Suizid","acquisitively"
"Sujet","acquisitiveness"
"Summer","acquisitor"
"super","acquisitum"
"Supervisor","acquist"
"Supporter","acquit"
"suspendéieren","acquital"
"Symbol","acquitment"
"Sympathie","acquits"
"Symptom","acquittal"
"Syndrom","acquittals"
"syresch","acquittance"
"System","acquitted"
"Szenario","acquitter"
"tab","acquitting"
"Tablet","acquophonia"
"tag","acr-"
"Tagebuch","Acra"
"taktik","Acrab"
"Talent","acracy"
"talentéiert","Acraea"
"tank","acraein"
"tante","Acraeinae"
"tap","acraldehyde"
"Tasche","Acrania"
"Tastatur","acranial"
"Täter","acraniate"
"Tatsaach","acrasy"
"tatsächlech","acrasia"
"Tattoo","Acrasiaceae"
"Taux","Acrasiales"
"Teamkolleg","acrasias"
"tech","Acrasida"
"technesch","Acrasieae"
"Technik","acrasin"
"technologesch","acrasins"
"Technologie","Acraspeda"
"Teelöffel","acraspedote"
"teenager","acratia"
"Teenager","acraturesis"
"Téi","acrawl"
"Telefon","acraze"
"Teleskop","Acre"
"Televisioun","acreable"
"tempel","acreage"
"Temperatur","acreages"
"tempo","acreak"
"temporäre","acream"
"tendéieren","acred"
"Tendenz","acre-dale"
"tennis","Acredula"
"Teppech","acre-foot"
"Termin","acre-inch"
"Terrain","acreman"
"Territoire","acremen"
"Terror","Acres"
"Terrorismus","acre's"
"terroristesch","acrestaff"
"Tëschefall","a-cry"
"Tëschenzäit","acrid"
"tëscht","acridan"
"Testament","acridane"
"testen","acrider"
"Text","acridest"
"Texter","acridian"
"Thanksgiving","acridic"
"Theater","acridid"
"Thema","Acrididae"
"theologie","Acridiidae"
"theoretesch","acridyl"
"Theorie","acridin"
"Therapeut","acridine"
"Therapie","acridines"
"Ticket","acridinic"
"tie","acridinium"
"Tierkei","acridity"
"tiger","acridities"
"timing","Acridium"
"tipp","Acrydium"
"Tirang","acridly"
"Tissue","acridness"
"Titel","acridnesses"
"Toilette","acridone"
"toleréieren","acridonium"
"Tomate","acridophagus"
"Tool","acriflavin"
"touchdown","acriflavine"
"Toun","acryl"
"Tour","acrylaldehyde"
"touristesch","Acrilan"
"Tournoi","acrylate"
"traditionell","acrylates"
"Traditioun","acrylic"
"tragedie","acrylics"
"tragesch","acrylyl"
"Trail","acrylonitrile"
"Trailer","acrimony"
"trainer","acrimonies"
"Trainer","acrimonious"
"trait","acrimoniously"
"Transaktioun","acrimoniousness"
"transferéieren","acrindolin"
"Transformatioun","acrindoline"
"transforméieren","acrinyl"
"transit","acrisy"
"Transport","acrisia"
"trap","Acrisius"
"trauen","Acrita"
"Trauer","acritan"
"Trauma","acrite"
"traureg","acrity"
"treffen","acritical"
"trei","acritochromacy"
"Trend","acritol"
"trennen","acritude"
"Trennung","ACRNEMA"
"treppen","acro-"
"tribal","Acroa"
"trick","acroaesthesia"
"trommel","acroama"
"tropescher","acroamata"
"Trottoir","acroamatic"
"trotz","acroamatical"
"trotzdem","acroamatics"
"troun","acroanesthesia"
"trunk","acroarthritis"
"truppen","acroasis"
"t-Shirt","acroasphyxia"
"Tubak","acroataxia"
"tuck","acroatic"
"Tuerm","acrobacy"
"Tumor","acrobacies"
"Tunnel","acrobat"
"Turnstonnen","Acrobates"
"tv","acrobatholithic"
"twitter","acrobatic"
"Typ","acrobatical"
"typesch","acrobatically"
"Übung","acrobatics"
"Uebst","acrobatism"
"Ueleg","acrobats"
"uerdentlech","acrobat's"
"Uergel","acrobystitis"
"Uerteel","acroblast"
"uewen","acrobryous"
"Uewen","Acrocarpi"
"Uewerfläch","acrocarpous"
"Ufank","acrocentric"
"ufänken","acrocephaly"
"ufanks","acrocephalia"
"Ufer","acrocephalic"
"Ufro","acrocephalous"
"ufroen","Acrocera"
"Ufuerderung","Acroceratidae"
"ugefaangen","Acroceraunian"
"ugeholl","Acroceridae"
"uginn","Acrochordidae"
"uh","Acrochordinae"
"uhhh","acrochordon"
"Ukënnegung","acrocyanosis"
"Uklo","acrocyst"
"ultimate","acrock"
"um","Acroclinium"
"umarm","Acrocomia"
"unerkennen","acroconidium"
"Unerkennung","acrocontracture"
"unhuelen","acrocoracoid"
"universal","Acrocorinth"
"Universitéit","acrodactyla"
"Universum","acrodactylum"
"Unterrécht","acrodermatitis"
"unz","acrodynia"
"unzepaken","acrodont"
"unzezéien","acrodontism"
"Upassung","acrodonts"
"update","acrodrome"
"Upgrade","acrodromous"
"urban","Acrodus"
"Ureiz","acroesthesia"
"Ursaach","acrogamy"
"ursprénglech","acrogamous"
"Urspronk","acrogen"
"Uruffer","acrogenic"
"usprochsvollen","acrogenous"
"ustrengen","acrogenously"
"ustriewen","acrogens"
"Utility","Acrogynae"
"Uweisunge","acrogynous"
"Vakanz","acrography"
"valabel","acrolein"
"Validitéit","acroleins"
"vampire","acrolith"
"variabel","acrolithan"
"Variatioun","acrolithic"
"variéieren","acroliths"
"Varietéit","acrology"
"véier","acrologic"
"Véierel","acrologically"
"Véierten","acrologies"
"véierzeg","acrologism"
"Velo","acrologue"
"Venture","acromania"
"Veraarbechtung","acromastitis"
"Veranda","acromegaly"
"Verantwortung","acromegalia"
"verbal","acromegalic"
"verbesseren","acromegalies"
"verbessert","acromelalgia"
"Verbesserung","acrometer"
"verbidden","acromia"
"Verbindung","acromial"
"verbleiwen","acromicria"
"verbrauchen","acromimia"
"verbreet","acromioclavicular"
"verbréngen","acromiocoracoid"
"verbrennen","acromiodeltoid"
"Verdacht","Acromyodi"
"verdächteg","acromyodian"
"verdammt","acromyodic"
"verdeedegen","acromyodous"
"verdeelen","acromiohyoid"
"Verdeelung","acromiohumeral"
"verdéngen","acromion"
"Verdéngschter","acromioscapular"
"verdréien","acromiosternal"
"vereenegt","acromiothoracic"
"verëffentlechen","acromyotonia"
"Verfassung","acromyotonus"
"verfollegen","acromonogrammatic"
"verfügbar","acromphalus"
"Vergaangenheet","acron"
"vergewaltegt","acronal"
"vergiessen","acronarcotic"
"Verglach","acroneurosis"
"vergläichen","acronic"
"verhaft","acronyc"
"Verhale","acronical"
"Verhalen","acronycal"
"Verhältnis","acronically"
"Verhandlunge","acronycally"
"verhënneren","acronych"
"Verkaf","acronichal"
"verkafen","acronychal"
"Verkeefer","acronichally"
"Verkéier","acronychally"
"verlaangen","acronychous"
"Verlag","Acronycta"
"verlängeren","acronyctous"
"verlängert","acronym"
"Verlängerung","acronymic"
"verleegnen","acronymically"
"verléieren","acronymize"
"Verléierer","acronymized"
"verletzen","acronymizing"
"verletzt","acronymous"
"Verletzung","acronyms"
"verloossen","acronym's"
"Verloscht","acronyx"
"verluer","acronomy"
"vermeiden","acrook"
"Verméigen","acroparalysis"
"vermeintlech","acroparesthesia"
"vermëschen","acropathy"
"vermëssen","acropathology"
"vermësst","acropetal"
"vermettelen","acropetally"
"Verréckelung","acrophobia"
"verréckt","acrophonetic"
"verréid","acrophony"
"verroden","acrophonic"
"vers","acrophonically"
"versammele","acrophonies"
"versammelen","acropodia"
"verschidde","acropodium"
"Verschmotzung","acropoleis"
"verschwannen","Acropolis"
"Verschwörung","acropolises"
"versécheren","acropolitan"
"Versécherung","Acropora"
"versiegelen","acropore"
"Versioun","acrorhagus"
"versoen","acrorrheuma"
"verspriechen","acrosarc"
"verstäerken","acrosarca"
"Verständnis","acrosarcum"
"verstoen","acroscleriasis"
"verstoppen","acroscleroderma"
"verstoppt","acroscopic"
"Versuch","acrose"
"Verteideger","acrosome"
"Verteidegung","acrosomes"
"Vertrag","acrosphacelus"
"vertrauen","acrospire"
"Vertrauen","acrospired"
"vertraut","acrospiring"
"vertrieden","acrospore"
"Vertrieder","acrosporous"
"veruerteelen","across"
"veruerteelt","across-the-board"
"verwalten","acrostic"
