"Catalan","English"
"patró","acheirus"
"patrocinador","Achelous"
"patrulla","Achen"
"pau","achene"
"pausa","achenes"
"pauta","achenia"
"pc","achenial"
"peatge","achenium"
"pebre","achenocarp"
"peça","achenodia"
"pecat","achenodium"
"pedra","acher"
"pegat","Acherman"
"peixos","Achernar"
"pel·lícula","Acheron"
"pelar","Acheronian"
"pell","Acherontic"
"penalització","Acherontical"
"pendent","aches"
"penjar","Acheson"
"pensant","achesoun"
"pensar","achete"
"pensat","Achetidae"
"pensió","Acheulean"
"penya-segat","Acheulian"
"per","acheweed"
"percebre","achy"
"percebut","achier"
"percentatge","achiest"
"percepció","achievability"
"perdedor","achievable"
"perdonar","achieve"
"perdre","achieved"
"pèrdua","achievement"
"perdut","achievements"
"perfectament","achievement's"
"perfecte","achiever"
"Perfil","achievers"
"perill","achieves"
"perillós","achieving"
"període","ach-y-fi"
"periodisme","achigan"
"periodista","achilary"
"permanent","achylia"
"permetre","Achill"
"permetre's","Achille"
"permís","Achillea"
"però","Achillean"
"perquè","achilleas"
"persecució","Achilleid"
"perseguir","achillein"
"persistir","achilleine"
"persona","Achilles"
"personal","Achillize"
"personalitat","achillobursitis"
"personalment","achillodynia"
"personals","achilous"
"personatge","achylous"
"perspectiva","Achimaas"
"perspicàcia","achime"
"persuadir","Achimelech"
"pertànyer","Achimenes"
"pertinença","achymia"
"pes","achymous"
"pesada","Achinese"
"pesar","achiness"
"pescar","achinesses"
"pestanya","aching"
"petició","achingly"
"petit","achiote"
"petó","achiotes"
"peu","achira"
"pi","Achyranthes"
"piano","achirite"
"pica","Achyrodes"
"pila","Achish"
"pilot","Achitophel"
"pilota","achkan"
"pin","achlamydate"
"pintor","Achlamydeae"
"pintura","achlamydeous"
"pinzell","achlorhydria"
"pirata","achlorhydric"
"pis","achlorophyllous"
"piscina","achloropsia"
"pissarra","achluophobia"
"pista","Achmed"
"pistola","Achmetha"
"pit","achoke"
"pixar","acholia"
"pizza","acholias"
"pla","acholic"
"placa","Acholoe"
"plaer","acholous"
"plana","acholuria"
"planeta","acholuric"
"planificació","Achomawi"
"planta","achondrite"
"plàstic","achondritic"
"plat","achondroplasia"
"plata","achondroplastic"
"plataforma","achoo"
"plàtan","achor"
"platja","achordal"
"ple","Achordata"
"plec","achordate"
"plegar","Achorion"
"plet","Achorn"
"plorar","Achras"
"pluja","achree"
"pm","achroacyte"
"pneumàtic","Achroanthes"
"població","achrodextrin"
"poble","achrodextrinase"
"pobre","achroglobin"
"pobresa","achroiocythaemia"
"poc","achroiocythemia"
"pocs","achroite"
"poder","achroma"
"podria","achromacyte"
"poema","achromasia"
"poesia","achromat"
"poeta","achromat-"
"polèmica","achromate"
"policia","Achromatiaceae"
"polític","achromatic"
"política","achromatically"
"políticament","achromaticity"
"pollastre","achromatin"
"pols","achromatinic"
"polzada","achromatisation"
"polze","achromatise"
"poma","achromatised"
"pont","achromatising"
"pop","achromatism"
"popular","Achromatium"
"popularitat","achromatizable"
"por","achromatization"
"porc","achromatize"
"porció","achromatized"
"porpra","achromatizing"
"port","achromatocyte"
"porta","achromatolysis"
"portador","achromatope"
"portar","achromatophil"
"portàtil","achromatophile"
"portaveu","achromatophilia"
"porxo","achromatophilic"
"posar","achromatopia"
"posició","achromatopsy"
"positiu","achromatopsia"
"posseir","achromatosis"
"possessió","achromatous"
"possibilitat","achromats"
"possibilitats","achromaturia"
"possible","achromia"
"possiblement","achromic"
"posterior","Achromycin"
"postres","Achromobacter"
"postura","Achromobacterieae"
"pot","achromoderma"
"potencial","achromophilous"
"potencialment","achromotrichia"
"potent","achromous"
"potser","achronical"
"pràctic","achronychous"
"pràctica","achronism"
"pràcticament","achroo-"
"practicant","achroodextrin"
"preciós","achroodextrinase"
"preciosa","achroous"
"precís","achropsia"
"precisament","Achsah"
"precisió","achtehalber"
"predicar","achtel"
"predicció","achtelthaler"
"predir","achter"
"preferència","achterveld"
"preferir","Achuas"
"pregar","achuete"
"pregària","acy"
"pregunta","acyanoblepsia"
"preguntar","acyanopsia"
"premi","acichlorid"
"premissa","acichloride"
"premium","acyclic"
"premsa","acyclically"
"prendre","acicula"
"preocupació","aciculae"
"preocupar-se","acicular"
"preocupat","acicularity"
"preparació","acicularly"
"preparar","aciculas"
"pres","aciculate"
"prescripció","aciculated"
"presència","aciculum"
"present","aciculums"
"presentació","acid"
"Presentar","acidaemia"
"preservar","Acidalium"
"presidència","Acidanthera"
"presidencial","Acidaspis"
"president","acid-binding"
"presó","acidemia"
"presoner","acidemias"
"pressa","acider"
"pressió","acid-fast"
"pressupost","acid-fastness"
"prestar","acid-forming"
"prestatge","acidhead"
"préstec","acid-head"
"presumiblement","acidheads"
"pretenen","acidy"
"preu","acidic"
"prevenció","acidiferous"
"prevenir","acidify"
"preveure","acidifiable"
"prèviament","acidifiant"
"prim","acidific"
"primària","acidification"
"primavera","acidified"
"primer","acidifier"
"príncep","acidifiers"
"princesa","acidifies"
"principal","acidifying"
"principalment","acidyl"
"principi","acidimeter"
"prioritat","acidimetry"
"privadesa","acidimetric"
"privat","acidimetrical"
"privilegi","acidimetrically"
"pro","acidite"
"probabilitat","acidity"
"probable","acidities"
"probablement","acidize"
"problema","acidized"
"problemes","acidizing"
"procediment","acidly"
"procediments","acidness"
"procedir","acidnesses"
"procés","acidogenic"
"processador","acidoid"
"processament","acidolysis"
"producció","acidology"
"producte","acidometer"
"productiva","acidometry"
"productivitat","acidophil"
"productor","acidophile"
"produir","acidophilic"
"professió","acidophilous"
"professional","acidophilus"
"professor","acidoproteolytic"
"professorat","acidoses"
"profeta","acidosis"
"profunda","acidosteophyte"
"profundament","acidotic"
"profunditat","acidproof"
"programa","acids"
"programació","acid-treat"
"programari","acidulant"
"progressiu","acidulate"
"prohibició","acidulated"
"prohibir","acidulates"
"prohibit","acidulating"
"projecció","acidulation"
"projecte","acidulent"
"promesa","acidulous"
"prometedor","acidulously"
"promoció","acidulousness"
"promoure","aciduria"
"prompte","acidurias"
"promulgar","aciduric"
"prop","Acie"
"propagació","acier"
"propaganda","acierage"
"propera","Acieral"
"propi","acierate"
"propietari","acierated"
"propietat","acierates"
"propina","acierating"
"proporció","acieration"
"proporcionar","acies"
"proporcionat","acyesis"
"proposar","acyetic"
"proposat","aciform"
"propòsit","acyl"
"proposta","acylal"
"prosperar","acylamido"
"protecció","acylamidobenzene"
"protectora","acylamino"
"protegir","acylase"
"proteïna","acylate"
"protesta","acylated"
"protocol","acylates"
"prova","acylating"
"provant","acylation"
"provar","aciliate"
"proveïdor","aciliated"
"proves","Acilius"
"província","acylogen"
"Pròxim","acyloin"
"psicòleg","acyloins"
"Psicologia","acyloxy"
"psicològic","acyloxymethane"
"públic","acyls"
"publicació","Acima"
"públicament","acinaceous"
"publicar","acinaces"
"publicitat","acinacifoliate"
"pujar","acinacifolious"
"pulmó","acinaciform"
"punt","acinacious"
"puntada","acinacity"
"puntuació","acinar"
"punxada","acinary"
"puny","acinarious"
"pur","Acineta"
"quadrat","Acinetae"
"qualificació","acinetan"
"qualificar","Acinetaria"
"qualitat","acinetarian"
"qualsevol","acinetic"
"Quan","acinetiform"
"quàntica","Acinetina"
"quantitat","acinetinan"
"quaranta","acing"
"quart","acini"
"quarterback","acinic"
"quatre","aciniform"
"que","acinose"
"què","acinotubular"
"quedar-se","acinous"
"queixa","acinuni"
"queixar-se","acinus"
"qüestionari","acious"
"qui","Acipenser"
"química","Acipenseres"
"quin","acipenserid"
"quinze","Acipenseridae"
"quota","acipenserine"
"ràbia","acipenseroid"
"racial","Acipenseroidei"
"racional","acyrology"
"racisme","acyrological"
"racista","Acis"
"radar","acystia"
"radiació","acitate"
"radical","acity"
"ràdio","aciurgy"
"raig","ACK"
"ramat","ack-ack"
"rang","ackee"
"ranxo","ackees"
"raó","ackey"
"raonable","ackeys"
"ràpid","Acker"
"ràpidament","Ackerley"
"rar","Ackerly"
"rascar","Ackerman"
"rata","Ackermanville"
"ratolí","Ackley"
"ratpenat","Ackler"
"ratxa","ackman"
"re","ackmen"
"reacció","acknew"
"reaccionar","acknow"
"real","acknowing"
"realista","acknowledge"
"realitat","acknowledgeable"
"realitzar","acknowledged"
"realment","acknowledgedly"
"rebel","acknowledgement"
"rebotar","acknowledgements"
"rebre","acknowledger"
"rebutjar","acknowledgers"
"recent","acknowledges"
"recentment","acknowledging"
"recepció","acknowledgment"
"recepta","acknowledgments"
"receptor","acknowledgment's"
"recerca","acknown"
"recessió","ack-pirate"
"reclamació","ackton"
"reclutar","Ackworth"
"recollida","ACL"
"recollir","aclastic"
"recomanació","acle"
"recomanar","acleidian"
"recompensa","acleistocardia"
"reconeixement","acleistous"
"reconèixer","Aclemon"
"reconstruir","aclydes"
"recorda","aclidian"
"recordar","aclinal"
"recordatori","aclinic"
"recte","aclys"
"recuperació","a-clock"
"recuperar","acloud"
"recuperar-se","ACLS"
"recurs","ACLU"
"reducció","ACM"
"reduir","Acmaea"
"reeixit","Acmaeidae"
"reelecció","acmaesthesia"
"referència","acmatic"
"referent","acme"
"referir-se","acmes"
"reflectir","acmesthesia"
"reflexió","acmic"
"reforçar","Acmispon"
"reforma","acmite"
"refredat","Acmon"
"refresc","acne"
"refugi","acned"
"refugiat","acneform"
"regal","acneiform"
"règim","acnemia"
"regió","acnes"
"regional","Acnida"
"registrar-se","acnodal"
"registre","acnode"
"regla","acnodes"
"regne","ACO"
"regulació","acoasm"
"reguladora","acoasma"
"regular","a-coast"
"regularment","Acocanthera"
"rei","acocantherin"
"Reial","acock"
"reina","acockbill"
"relació","a-cock-bill"
"relacionar","a-cock-horse"
"relacionats","acocotl"
"relatiu","Acoela"
"relativament","Acoelomata"
"relaxa't","acoelomate"
"religió","acoelomatous"
"religiosa","Acoelomi"
"relleu","acoelomous"
"rellevants","acoelous"
"relliscar","Acoemetae"
"rellotge","Acoemeti"
"remenar","Acoemetic"
"remot","acoenaesthesia"
"renderitzar","ACOF"
"rendiment","acoin"
"rentar","acoine"
"rep","Acol"
"reparació","Acolapissa"
"repartiment","acold"
"repartir","Acolhua"
"repetidament","Acolhuan"
"repetir","acolyctine"
"representació","acolyte"
"representant","acolytes"
"representar","acolyth"
"República","acolythate"
"republicana","acolytus"
"reputació","acology"
"requereixen","acologic"
"requerit","acolous"
"requisit","acoluthic"
"res","Acoma"
"rescat","acomia"
"reserva","acomous"
"residència","a-compass"
"residencial","aconative"
"resident","Aconcagua"
"resistència","acondylose"
"resistir","acondylous"
"resoldre","acone"
"resolució","aconelline"
"resort","aconic"
"respecte","aconin"
"respectivament","aconine"
"respiració","aconital"
"respirar","aconite"
"respondre","aconites"
"responsabilitat","aconitia"
"responsable","aconitic"
"resposta","aconitin"
"ressaltar","aconitine"
"restant","Aconitum"
"restaurant","aconitums"
"restaurar","acontia"
"restricció","Acontias"
"restringir","acontium"
"resultat","Acontius"
"resum","aconuresis"
"retard","acool"
"retenir","acop"
"reticents","acopic"
"retirar-se","acopyrin"
"retòrica","acopyrine"
"retrat","acopon"
"retratar","acor"
"reunió","acorea"
"reunir","acoria"
"revelació","acorn"
"revelar","acorned"
"revés","acorns"
"revisió","acorn's"
"revista","acorn-shell"
"revolució","Acorus"
"revolucionari","acosmic"
"Riba","acosmism"
"ric","acosmist"
"rics","acosmistic"
"ridícul","acost"
"rierol","Acosta"
"rifle","acotyledon"
"rígid","acotyledonous"
"riquesa","acouasm"
"risc","acouchi"
"ritme","acouchy"
"ritual","acoumeter"
"riu","acoumetry"
"riure","acounter"
"rival","acouometer"
"roba","acouophonia"
"robar","acoup"
"robatori","acoupa"
"robot","acoupe"
"roca","acousma"
"roda","acousmas"
"rodant","acousmata"
"rodó","acousmatic"
"romà","acoustic"
"romanç","acoustical"
"romandre","acoustically"
"romàntic","acoustician"
"rosa","acoustico-"
"rotllo","acousticolateral"
"roure","Acousticon"
"ruïna","acousticophobia"
"rumor","acoustics"
"rural","acoustoelectric"
"rus","ACP"
"ruta","acpt"
"rutina","acpt."
"sabata","Acquah"
"saber","acquaint"
"sabó","acquaintance"
"sabor","acquaintances"
"sac","acquaintance's"
"sacerdot","acquaintanceship"
"sacrifici","acquaintanceships"
"sacsejar","acquaintancy"
"sagnant","acquaintant"
"sagnar","acquainted"
"sagrat","acquaintedness"
"sake","acquainting"
"sal","acquaints"
"sala","Acquaviva"
"salari","acquent"
"salmó","acquereur"
"salsa","acquest"
"saltar","acquests"
"saludable","acquiesce"
"saludar","acquiesced"
"salut","acquiescement"
"salvatge","acquiescence"
"samarreta","acquiescences"
"sanció","acquiescency"
"sang","acquiescent"
"Sant","acquiescently"
"satèl·lit","acquiescer"
"satisfacció","acquiesces"
"satisfer","acquiescing"
"savi","acquiescingly"
"saviesa","acquiesence"
"sec","acquiet"
"secció","acquirability"
"secret","acquirable"
"secretari","acquire"
"sector","acquired"
"secular","acquirement"
"secundària","acquirements"
"segell","acquirenda"
"segle","acquirer"
"segment","acquirers"
"segon","acquires"
"segons","acquiring"
"segueix","acquisible"
"següent","acquisita"
"seguidor","acquisite"
"segur","acquisited"
"segurament","acquisition"
"seguretat","acquisitional"
"seient","acquisitions"
"selecció","acquisition's"
"seleccionar","acquisitive"
"semblança","acquisitively"
"semblants","acquisitiveness"
"semblar","acquisitor"
"sempre","acquisitum"
"senador","acquist"
"senat","acquit"
"sencer","acquital"
"sensació","acquitment"
"sense","acquits"
"sensibilitat","acquittal"
"sensible","acquittals"
"sensor","acquittance"
"sentiment","acquitted"
"sentir","acquitter"
"sentit","acquitting"
"senyal","acquophonia"
"senyalar","acr-"
"senyor","Acra"
"senyora","Acrab"
"senyoreta","acracy"
"senzill","Acraea"
"senzillament","acraein"
"separació","Acraeinae"
"separat","acraldehyde"
"seqüència","Acrania"
"ser","acranial"
"sergent","acraniate"
"sèrie","acrasy"
"seriós","acrasia"
"seriosament","Acrasiaceae"
"serp","Acrasiales"
"servei","acrasias"
"servent","Acrasida"
"servidor","Acrasieae"
"servir","acrasin"
"sessió","acrasins"
"set","Acraspeda"
"setè","acraspedote"
"setembre","acratia"
"setmana","acraturesis"
"setmanalment","acrawl"
"seu","acraze"
"seure","Acre"
"seva","acreable"
"sexe","acreage"
"sexual","acreages"
"sexualment","acreak"
"sexy","acream"
"si","acred"
"sí","acre-dale"
"signatura","Acredula"
"signe","acre-foot"
"significar","acre-inch"
"significat","acreman"
"significatiu","acremen"
"significativament","Acres"
"silenci","acre's"
"silenciós","acrestaff"
"símbol","a-cry"
"simplement","acrid"
"símptoma","acridan"
"simultàniament","acridane"
"síndrome","acrider"
"sirià","acridest"
"sis","acridian"
"sisè","acridic"
"sistema","acridid"
"situació","Acrididae"
"slam","Acridiidae"
"so","acridyl"
"sobre","acridin"
"Sobre","acridine"
"sobreviure","acridines"
"soc","acridinic"
"soci","acridinium"
"socialment","acridity"
"socials","acridities"
"societat","Acridium"
"sodi","Acrydium"
"sofà","acridly"
"sofisticat","acridness"
"sol","acridnesses"
"sòl","acridone"
"sola","acridonium"
"solar","acridophagus"
"soldat","acriflavin"
"sòlid","acriflavine"
"solidari","acryl"
"solitària","acrylaldehyde"
"solta","Acrilan"
"solter","acrylate"
"solució","acrylates"
"somni","acrylic"
"somriure","acrylics"
"sopa","acrylyl"
"sopar","acrylonitrile"
"sorgir","acrimony"
"soroll","acrimonies"
"sorprenent","acrimonious"
"sorprenentment","acrimoniously"
"sorprès","acrimoniousness"
"sorpresa","acrindolin"
"sorra","acrindoline"
"sort","acrinyl"
"sorteig","acrisy"
"sortida","acrisia"
"sortir","Acrisius"
"sortosament","Acrita"
"sospir","acritan"
"sospita","acrite"
"sospitós","acrity"
"sostenible","acritical"
"sostenir","acritochromacy"
"sostre","acritol"
"sota","acritude"
"soterrani","ACRNEMA"
"sou","acro-"
"soviètic","Acroa"
"sovint","acroaesthesia"
"suar","acroama"
"suau","acroamata"
"suaument","acroamatic"
"subjacent","acroamatical"
"subministrament","acroamatics"
"substància","acroanesthesia"
"substancial","acroarthritis"
"substitució","acroasis"
"substituir","acroasphyxia"
"subtil","acroataxia"
"suburbà","acroatic"
"suburbi","acrobacy"
"subvenció","acrobacies"
"suc","acrobat"
"sucre","Acrobates"
"sud","acrobatholithic"
"sud-est","acrobatic"
"sud-oest","acrobatical"
"suficient","acrobatically"
"suggeriment","acrobatics"
"suggerir","acrobatism"
"suïcidi","acrobats"
"suite","acrobat's"
"suma","acrobystitis"
"súper","acroblast"
"superar","acrobryous"
"superfície","Acrocarpi"
"superior","acrocarpous"
"supervisar","acrocentric"
"supervisor","acrocephaly"
"supervivència","acrocephalia"
"supervivent","acrocephalic"
"súplica","acrocephalous"
"suplicar","Acrocera"
"suport","Acroceratidae"
"suportar","Acroceraunian"
"suposada","Acroceridae"
"suposadament","Acrochordidae"
"suposar","Acrochordinae"
"suposat","acrochordon"
"suposició","acrocyanosis"
"suprem","acrocyst"
"suspendre","acrock"
"tabac","Acroclinium"
"taca","Acrocomia"
"tàctica","acroconidium"
"tal","acrocontracture"
"talent","acrocoracoid"
"talentós","Acrocorinth"
"tallar","acrodactyla"
"taller","acrodactylum"
"taló","acrodermatitis"
"també","acrodynia"
"tambor","acrodont"
"tampoc","acrodontism"
"tan","acrodonts"
"tanc","acrodrome"
"tanca","acrodromous"
"Tanca","Acrodus"
"tancat","acroesthesia"
"tanmateix","acrogamy"
"taquilla","acrogamous"
"tard","acrogen"
"tarda","acrogenic"
"targeta","acrogenous"
"taronja","acrogenously"
"tasca","acrogens"
"tassa","Acrogynae"
"tatuatge","acrogynous"
"taula","acrography"
"tauleta","acrolein"
"tauró","acroleins"
"taxa","acrolith"
"te","acrolithan"
"teatre","acrolithic"
"teclat","acroliths"
"tècnica","acrology"
"tècnicament","acrologic"
"tecnologia","acrologically"
"tecnològic","acrologies"
"teixit","acrologism"
"tela","acrologue"
"telèfon","acromania"
"telescopi","acromastitis"
"televisió","acromegaly"
"tema","acromegalia"
"temperatura","acromegalic"
"tempesta","acromegalies"
"temple","acromelalgia"
"temporada","acrometer"
"temporal","acromia"
"temporització","acromial"
"temps","acromicria"
"tendeix","acromimia"
"tendència","acromioclavicular"
"tendre","acromiocoracoid"
"tenir","acromiodeltoid"
"tennis","Acromyodi"
"tensió","acromyodian"
"teologia","acromyodic"
"teoria","acromyodous"
"teòric","acromiohyoid"
"terapeuta","acromiohumeral"
"teràpia","acromion"
"tercer","acromioscapular"
"terme","acromiosternal"
"termes","acromiothoracic"
"terra","acromyotonia"
"terratrèmol","acromyotonus"
"terrible","acromonogrammatic"
"territori","acromphalus"
"terror","acron"
"terrorisme","acronal"
"terrorista","acronarcotic"
"testament","acroneurosis"
"testimoni","acronic"
"testimoniar","acronyc"
"teu","acronical"
"texans","acronycal"
"text","acronically"
"tia","acronycally"
"tigre","acronych"
"tija","acronichal"
"timbre","acronychal"
"tímid","acronichally"
"tinent","acronychally"
"típic","acronychous"
"típicament","Acronycta"
"tipus","acronyctous"
"tir","acronym"
"tira","acronymic"
"tirar","acronymically"
"títol","acronymize"
"titular","acronymized"
"to","acronymizing"
"toc","acronymous"
"tocar","acronyms"
"tolerar","acronym's"
"tomàquet","acronyx"
"tomba","acronomy"
"tonteries","acrook"
"torn","acroparalysis"
"tornar","acroparesthesia"
"torneig","acropathy"
"toro","acropathology"
"torre","acropetal"
"tortuga","acropetally"
"tot","acrophobia"
"total","acrophonetic"
"totalment","acrophony"
"tothom","acrophonic"
"tots","acrophonically"
"tovallola","acrophonies"
"tòxic","acropodia"
"traça","acropodium"
"tractament","acropoleis"
"tractar","Acropolis"
"tractat","acropolises"
"tradició","acropolitan"
"tradicional","Acropora"
"tradicionalment","acropore"
"traducció","acrorhagus"
"traduir","acrorrheuma"
"tragèdia","acrosarc"
"tràgic","acrosarca"
"tràiler","acrosarcum"
"trair","acroscleriasis"
"trampa","acroscleroderma"
"tranquil","acroscopic"
"transacció","acrose"
"transferència","acrosome"
"transformació","acrosomes"
"transformar","acrosphacelus"
"transició","acrospire"
"trànsit","acrospired"
"transmetre","acrospiring"
"transmissió","acrospore"
"transport","acrosporous"
"trauma","across"
"treball","across-the-board"
"treballador","acrostic"
"tremenda","acrostical"
"tren","acrostically"
"trencaclosques","acrostichal"
"trencar","Acrosticheae"
"trencat","acrostichic"
"trenta","acrostichoid"
"trepant","Acrostichum"
"tres","acrosticism"
"tresor","acrostics"
"tresoreria","acrostolia"
"tret","acrostolion"
"triar","acrostolium"
"tribal","acrotarsial"
"tribu","acrotarsium"
"trimestre","acroteleutic"
"tripulació","acroter"
"trist","acroteral"
"tristament","acroteria"
"trobada","acroterial"
"trobant","acroteric"
"trobar","acroterion"
"trobar-se","acroterium"
"trobat","acroterteria"
"tron","Acrothoracica"
"tronc","acrotic"
"tropa","acrotism"
"tropical","acrotisms"
"tros","acrotomous"
"truc","Acrotreta"
"tu","Acrotretidae"
"tub","acrotrophic"
"tumor","acrotrophoneurosis"
"túnel","Acrux"
"turística","ACRV"
"turmell","ACS"
"turó","ACSE"
"twitter","ACSNET"
"ubicació","ACSU"
"ull","ACT"
"um","Acta"
"un","actability"
"unça","actable"
"uneix-te","Actaea"
"únic","Actaeaceae"
"únicament","Actaeon"
"uniforme","Actaeonidae"
"Unió","acted"
"unir-se","actg"
"unitat","actg."
"units","ACTH"
"univers","Actiad"
"universal","Actian"
"universitat","actify"
"urbà","actification"
"urgència","actifier"
"ús","actin"
"usuari","actin-"
"útil","actinal"
"utilitat","actinally"
"utilitzar","actinautography"
"utilitzat","actinautographic"
"vaca","actine"
"vacances","actinenchyma"
"vacuna","acting"
"vagó","acting-out"
"vaixell","actings"
"vaja","Actinia"
"valent","actiniae"
"vàlid","actinian"
"validesa","actinians"
"vall","Actiniaria"
"valor","actiniarian"
"valoració","actinias"
"valuós","actinic"
"vampir","actinical"
"vapor","actinically"
"vaquer","actinide"
"vareta","actinides"
"variable","Actinidia"
"variació","Actinidiaceae"
"variar","actiniferous"
"varietat","actiniform"
"vast","actinine"
"vedella","actiniochrome"
"vegetal","actiniohematin"
"vehicle","Actiniomorpha"
"veí","actinism"
"vell","actinisms"
"velocitat","Actinistia"
"venda","actinium"
"vendes","actiniums"
"vendre","actino-"
"venedor","actinobaccilli"
"venjança","actinobacilli"
"vent","actinobacillosis"
"ventilador","actinobacillotic"
"ventre","Actinobacillus"
"verbal","actinoblast"
"verd","actinobranch"
"veredicte","actinobranchia"
"vergonya","actinocarp"
"verificar","actinocarpic"
"veritablement","actinocarpous"
"veritat","actinochemical"
"vermell","actinochemistry"
"vers","actinocrinid"
"versió","Actinocrinidae"
"vespre","actinocrinite"
"vessament","Actinocrinus"
"vestíbul","actinocutitis"
"vestit","actinodermatitis"
"veterà","actinodielectric"
"veu","actinodrome"
"veure","actinodromous"
"vi","actinoelectric"
"via","actinoelectrically"
"viable","actinoelectricity"
"viatge","actinogonidiate"
"viatger","actinogram"
"viatjar","actinograph"
"vici","actinography"
"víctima","actinographic"
"victòria","actinoid"
"vida","Actinoida"
"vídeo","Actinoidea"
"vidre","actinoids"
"vigilància","actinolite"
"vine","actinolitic"
"vint","actinology"
"violació","actinologous"
"violar","actinologue"
"violència","actinomere"
"violents","actinomeric"
"virtual","actinometer"
"virtualment","actinometers"
"virtut","actinometry"
"virus","actinometric"
"visible","actinometrical"
"visió","actinometricy"
"visita","Actinomyces"
"visitant","actinomycese"
"vista","actinomycesous"
"visual","actinomycestal"
"visualització","Actinomycetaceae"
"vital","actinomycetal"
"vitamina","Actinomycetales"
"viu","actinomycete"
"vivent","actinomycetous"
"vocabulari","actinomycin"
"vocal","actinomycoma"
"vol","actinomycosis"
"volar","actinomycosistic"
"voler","actinomycotic"
"volta","Actinomyxidia"
"voltejar","Actinomyxidiida"
"volum","actinomorphy"
"voluntari","actinomorphic"
"voluntat","actinomorphous"
"vora","actinon"
"vorera","Actinonema"
"vostè","actinoneuritis"
"votació","actinons"
"votant","actinophone"
"votar","actinophonic"
"vs","actinophore"
"vuit","actinophorous"
"vuitè","actinophryan"
"vulnerable","Actinophrys"
"web","actinopod"
"xarxa","Actinopoda"
"xat","actinopraxis"
"xef","actinopteran"
"xèrif","Actinopteri"
"xicot","actinopterygian"
"xicota","Actinopterygii"
"ximple","actinopterygious"
"xinès","actinopterous"
"xip","actinoscopy"
"xiuxiuejar","actinosoma"
"xoc","actinosome"
"xocolata","Actinosphaerium"
"xuclar","actinost"
"zero","actinostereoscopy"
"zona","actinostomal"
