"Xhosa","English"
"ukuhlolwa","acephalocyst"
"ukujikeleza","acephalous"
"ukujonga","acephalus"
"ukujoyina","acepots"
"ukukala","acequia"
"ukukhanya","acequiador"
"ukukhanyela","acequias"
"ukukhazeka","Acer"
"ukukhokela","Aceraceae"
"ukukhonza","aceraceous"
"ukukhukuliseka","Acerae"
"ukukhula","Acerata"
"ukukhulelwa","acerate"
"ukukhululeka","acerated"
"ukukhutshwa","Acerates"
"ukukopela","acerathere"
"ukukrokra","Aceratherium"
"ukulala","aceratosis"
"ukulalanisa","acerb"
"ukulibazisa","Acerbas"
"ukulingana","acerbate"
"ukuloba","acerbated"
"ukuluma","acerbates"
"ukulunga","acerbating"
"ukulungisa","acerber"
"ukulungiselela","acerbest"
"ukulungiswa","acerbic"
"ukulwa","acerbically"
"ukuma","acerbity"
"ukumangala","acerbityacerose"
"ukumela","acerbities"
"ukumelwa","acerbitude"
"ukumila","acerbly"
"ukumka","acerbophobia"
"ukumkani","acerdol"
"ukumkanikazi","aceric"
"ukunciphisa","acerin"
"ukungabikho","acerli"
"ukungaboni","acerola"
"ukungagqibeki","acerolas"
"ukungakhululeki","acerose"
"ukungakhuseleki","acerous"
"ukungaqeshwa","acerra"
"ukungaqiniseki","acers"
"ukungazi","acertannin"
"ukungcatsha","acerval"
"ukungcwaba","acervate"
"ukungena","acervately"
"Ukungena","acervatim"
"ukungxama","acervation"
"ukunqanda","acervative"
"ukunqongophala","acervose"
"ukuntlitheka","acervuli"
"ukuntsonkotha","acervuline"
"ukunyaniseka","acervulus"
"ukunyanzelisa","aces"
"ukunyathela","ace's"
"ukunyuka","acescence"
"ukunyusa","acescency"
"ukunyuswa","acescent"
"ukupela","acescents"
"ukupeyinta","aceship"
"ukuphakama","Acesius"
"ukuphaphazela","acesodyne"
"ukuphazamiseka","acesodynous"
"ukuphefumla","Acessamenus"
"ukupheka","Acestes"
"ukuphoxeka","acestoma"
"ukuphucula","acet-"
"ukuphuculwa","aceta"
"ukuphuhlisa","acetable"
"ukuphumelela","acetabula"
"ukuphunyezwa","acetabular"
"ukuqala","Acetabularia"
"ukuqengqeleka","acetabuliferous"
"ukuqesha","acetabuliform"
"ukuqeshwa","acetabulous"
"ukuqhekeka","acetabulum"
"ukuqhomfa","acetabulums"
"ukuqhuba","acetacetic"
"ukuqhubeka","acetal"
"ukuqhubekeka","acetaldehydase"
"ukuqhushumba","acetaldehyde"
"ukuqiniseka","acetaldehydrase"
"Ukuqobisana","acetaldol"
"ukuqokelela","acetalization"
"ukuqonda","acetalize"
"ukuqondwa","acetals"
"ukurekhoda","acetamid"
"ukurhoxa","acetamide"
"ukurhoxisa","acetamidin"
"ukurhweba","acetamidine"
"ukusabela","acetamido"
"ukusebenza","acetamids"
"ukusekwa","acetaminol"
"ukusela","Acetaminophen"
"ukusetyenziswa","acetanilid"
"ukusika","acetanilide"
"ukusilela","acetanion"
"ukusinda","acetaniside"
"ukusondela","acetanisidide"
"ukusuka","acetanisidine"
"ukusukela","acetannin"
"ukusungulwa","acetary"
"ukususwa","acetarious"
"ukuswela","acetars"
"ukuthandabuza","acetarsone"
"ukuthandwa","acetate"
"ukuthembeka","acetated"
"ukuthenga","acetates"
"ukuthengisa","acetation"
"ukuthetha","acetazolamide"
"ukuthobela","acetbromamide"
"ukuthozama","acetenyl"
"ukutolikwa","Acetes"
"ukutsala","acethydrazide"
"ukutshaya","acetiam"
"ukutshintsha","acetic"
"ukutshintshwa","acetify"
"ukutshisa","acetification"
"ukutshona","acetified"
"ukutshutshisa","acetifier"
"ukutya","acetifies"
"ukutyunjwa","acetifying"
"ukuva","acetyl"
"ukuvota","acetylacetonates"
"ukuvula","acetylacetone"
"ukuvuma","acetylamine"
"ukuvuza","acetylaminobenzene"
"ukuwa","acetylaniline"
"ukuwisa","acetylasalicylic"
"ukuxabisa","acetylate"
"ukuxela","acetylated"
"ukuxhalaba","acetylating"
"ukuxhaphaza","acetylation"
"ukuxhathisa","acetylative"
"ukuxhatshazwa","acetylator"
"ukuxhokonxa","acetylbenzene"
"ukuxilongwa","acetylbenzoate"
"ukuxinana","acetylbenzoic"
"ukuya","acetylbiuret"
"ukuzalwa","acetylcarbazole"
"ukuzenzisa","acetylcellulose"
"ukuzibophelela","acetylcholine"
"ukuzibulala","acetylcholinesterase"
"ukuzilolonga","acetylcholinic"
"ukuzimela","acetylcyanide"
"ukuzimisela","acetylenation"
"ukuzingca","acetylene"
"ukuzingela","acetylenediurein"
"ukuzingisa","acetylenes"
"ukuzinza","acetylenic"
"ukuziphatha","acetylenyl"
"ukuziphindezela","acetylenogen"
"ukuziqhelanisa","acetylfluoride"
"ukuzisola","acetylglycin"
"ukuzithemba","acetylglycine"
"ukuzithethelela","acetylhydrazine"
"ukuziva","acetylic"
"ukuzonwabisa","acetylid"
"ukwabelana","acetylide"
"ukwahluka","acetyliodide"
"ukwahlukana","acetylizable"
"ukwakha","acetylization"
"ukwakheka","acetylize"
"ukwakhiwa","acetylized"
"ukwamkela","acetylizer"
"ukwamkelwa","acetylizing"
"ukwanda","acetylmethylcarbinol"
"Ukwandiswa","acetylperoxide"
"ukwaphulwa","acetylphenylhydrazine"
"ukwazisa","acetylphenol"
"ukwenzakala","acetylrosaniline"
"ukwenzakalisa","acetyls"
"ulambile","acetylsalicylate"
"ulandelelwano","acetylsalicylic"
"ulawulo","acetylsalol"
"ulindelo","acetyltannin"
"uloliwe","acetylthymol"
"ulondolozo","acetyltropeine"
"ulonwabo","acetylurea"
"uloyiko","acetimeter"
"uloyiso","acetimetry"
"uluhlu","acetimetric"
"ulungiselelo","acetin"
"uluntu","acetine"
"ulusu","acetins"
"ulutsha","acetite"
"uluvo","acetize"
"ulwakhiwo","acetla"
"ulwalathiso","acetmethylanilide"
"ulwamkelo","acetnaphthalide"
"ulwandiso","aceto-"
"ulwandlalo","acetoacetanilide"
"ulwandle","acetoacetate"
"ulwaneliseko","acetoacetic"
"ulwaphulo-mthetho","acetoamidophenol"
"ulwazi","acetoarsenite"
"ulwelo","Acetobacter"
"uLwesibini","acetobenzoic"
"uLwesihlanu","acetobromanilide"
"uLwesine","acetochloral"
"uLwesithathu","acetocinnamene"
"ulwimi","acetoin"
"um","acetol"
"umabonakude","acetolysis"
"umabonwakude","acetolytic"
"umAfrika","acetometer"
"umAfrika-waseMelika","acetometry"
"umahluko","acetometric"
"umakazi","acetometrical"
"umakhi","acetometrically"
"umakhulu","acetomorphin"
"umaleko","acetomorphine"
"umalume","acetonaemia"
"umama","acetonaemic"
"umamkeli","acetonaphthone"
"umanyano","acetonate"
"umArabhu","acetonation"
"umatshini","acetone"
"umbala","acetonemia"
"umbalisi","acetonemic"
"umbane","acetones"
"umbhali","acetonic"
"umbhali-mbali","acetonyl"
"umbhalo","acetonylacetone"
"umbhiyozo","acetonylidene"
"umbhobho","acetonitrile"
"umbingeleli","acetonization"
"umboko","acetonize"
"umbona","acetonuria"
"umboneleli","acetonurometer"
"umbongo","acetophenetide"
"umboniseli","acetophenetidin"
"umboniso","acetophenetidine"
"umbono","acetophenin"
"umbulali","acetophenine"
"umbulelo","acetophenone"
"umbutho","acetopiperone"
"umbuzo","acetopyrin"
"umcebisi","acetopyrine"
"umchasi","acetosalicylic"
"umcimbi","acetose"
"umculo","acetosity"
"umcuphi","acetosoluble"
"umda","acetostearin"
"umdala","acetothienone"
"umdali","acetotoluid"
"umdanisi","acetotoluide"
"umdaniso","acetotoluidine"
"umdla","acetous"
"umdlali","acetoveratrone"
"umdlalo","acetoxyl"
"umdlandla","acetoxyls"
"Umehlulelwano","acetoxim"
"umenzi","acetoxime"
"umfama","acetoxyphthalide"
"umfana","acetphenetid"
"umfanekiso","acetphenetidin"
"umfazi","acetract"
"umfo","acettoluide"
"umfoti","acetum"
"umfundi","aceturic"
"umfundisi","ACF"
"umfuniselo","ACGI"
"umfutho","ac-globulin"
"umgama","ACH"
"umgangatho","Achab"
"umgaqo","Achad"
"umgaqo-nkqubo","Achaea"
"umgaqo-siseko","Achaean"
"umgca","Achaemenes"
"umgcini","Achaemenian"
"umgcini-bhanki","Achaemenid"
"umgibe","Achaemenidae"
"umgodi","Achaemenides"
"uMgqibelo","Achaemenidian"
"umgubo","Achaemenids"
"umgwebi","achaenocarp"
"umgxeki","Achaenodon"
"umhambi","Achaeta"
"umhla","achaetous"
"umhlaba","Achaeus"
"umhlalaphantsi","achafe"
"umhlali","achage"
"umhlalutyi","Achagua"
"umhlaseli","Achaia"
"umhlathi","Achaian"
"umhlaza","Achakzai"
"umhleli","achalasia"
"umhlobo","Achamoth"
"umhloli","Achan"
"umIran","Achango"
"umjikelo","achape"
"umjukujelwa","achaque"
"umkhandi","achar"
"umkhangeli","acharya"
"umkhenkce","Achariaceae"
"Umkhenkce","Achariaceous"
"umkhenkethi","acharne"
"umkhondo","acharnement"
"umkhono","Acharnians"
"umkhonzi","achate"
"umkhosi","Achates"
"umkhusane","Achatina"
"umkhuseli","Achatinella"
"umkhwa","Achatinidae"
"umkhweli","achatour"
"umkomishinala","Achaz"
"umkrwelo","ache"
"umlambo","acheat"
"umlandeli","achech"
"umlawuli","acheck"
"umlenze","ached"
"umlilo","acheer"
"umlindi","ACHEFT"
"umlingane","acheilary"
"umlinganiselo","acheilia"
"umlinganiswa","acheilous"
"umlingo","acheiria"
"umlomo","acheirous"
"umlutha","acheirus"
"umlweli","Achelous"
"umlwi","Achen"
"ummandla","achene"
"ummangalelwa","achenes"
"ummangaliso","achenia"
"ummeli","achenial"
"ummelwane","achenium"
"ummi","achenocarp"
"ummiselo","achenodia"
"umnatha","achenodium"
"umncedisi","acher"
"umndilili","Acherman"
"umndiya","Achernar"
"umnenga","Acheron"
"umngcelele","Acheronian"
"umngcwabo","Acherontic"
"umngeni","Acherontical"
"umngxuma","aches"
"umnikeli","Acheson"
"umnikelo","achesoun"
"umnini","achete"
"umnqakathi","Achetidae"
"umnqamlezo","Acheulean"
"umnqolobi","Acheulian"
"umnquma","acheweed"
"umnqwazi","achy"
"umnqweno","achier"
"umntakwethu","achiest"
"umntu","achievability"
"umntwana","achievable"
"umnwe","achieve"
"umnxeba","achieved"
"umnxibelelanisi","achievement"
"umnyango","achievements"
"umnyele","achievement's"
"umonakalo","achiever"
"umonde","achievers"
"umondli","achieves"
"umongameli","achieving"
"umongikazi","ach-y-fi"
"umoni","achigan"
"umothuko","achilary"
"umoya","achylia"
"umpapashi","Achill"
"umphambukeli","Achille"
"umphanda","Achillea"
"umphandi","Achillean"
"umphangi","achilleas"
"umphathi","Achilleid"
"umphathiswa","achillein"
"umphefumlo","achilleine"
"umpheki","Achilles"
"umphenduli","Achillize"
"umphezulu","achillobursitis"
"umphuhlisi","achillodynia"
"umphulaphuli","achilous"
"umphunga","achylous"
"umprofeti","Achimaas"
"umpu","achime"
"umqadi","Achimelech"
"umqala","Achimenes"
"umqalisi","achymia"
"umqamelo","achymous"
"umqeqeshi","Achinese"
"umqeshi","achiness"
"umqhankqalazi","achinesses"
"umqhaphu","aching"
"umqhubi","achingly"
"umqobo","achiote"
"umqokeleli","achiotes"
"umqolo","achira"
"umqondiso","Achyranthes"
"umqulu","achirite"
"umrhanelwa","Achyrodes"
"umrhumo","Achish"
"umrhwebi","Achitophel"
"umsantsa","achkan"
"umsebenzi","achlamydate"
"umsebenzisi","Achlamydeae"
"umseki","achlamydeous"
"umsesane","achlorhydria"
"umsila","achlorhydric"
"umsindo","achlorophyllous"
"umsinga","achloropsia"
"umSiriya","achluophobia"
"umsitho","Achmed"
"umsonto","Achmetha"
"umthambo","achoke"
"umthamo","acholia"
"umthandazo","acholias"
"umthathi-nxaxheba","acholic"
"umthendeleko","Acholoe"
"umthengi","acholous"
"umthengisi","acholuria"
"umthetheli-mkhosi","acholuric"
"umthetho","Achomawi"
"umthi","achondrite"
"umthombo","achondritic"
"umthonyama","achondroplasia"
"umthunzi","achondroplastic"
"umthwali","achoo"
"umthwalo","achor"
"umtsalane","achordal"
"umtshakazi","Achordata"
"umtshato","achordate"
"umtshutshisi","Achorion"
"umtya","Achorn"
"umtyali-mali","Achras"
"umtyunjwa","achree"
"umva","achroacyte"
"umvambo","Achroanthes"
"umvelisi","achrodextrin"
"umviwa","achrodextrinase"
"umvoti","achroglobin"
"uMvulo","achroiocythaemia"
"umvundla","achroiocythemia"
"umvuzo","achroite"
"umxhasi","achroma"
"umxholo","achromacyte"
"umxhuzulane","achromasia"
"umxube","achromat"
"umyalelo","achromat-"
"umyalezo","achromate"
"umyeni","Achromatiaceae"
"umyili","achromatic"
"umYuda","achromatically"
"umzabalazo","achromaticity"
"umzala","achromatin"
"umzali","achromatinic"
"umzamo","achromatisation"
"umzekeliso","achromatise"
"umzekelo","achromatised"
"umzila","achromatising"
"umzimba","achromatism"
"umzi-mveliso","Achromatium"
"umzingeli","achromatizable"
"umzobi","achromatization"
"umzobo","achromatize"
"umzuzu","achromatized"
"unako","achromatizing"
"uncedo","achromatocyte"
"uncumo","achromatolysis"
"uncwadi","achromatope"
"uNdlunkulu","achromatophil"
"undoqo","achromatophile"
"undwendwe","achromatophilia"
"uneentloni","achromatophilic"
"unesiphiwo","achromatopia"
"unesithukuthezi","achromatopsy"
"unethamsanqa","achromatopsia"
"unetyala","achromatosis"
"ungahoyi","achromatous"
"ungcoliseko","achromats"
"ungenelelo","achromaturia"
"ungquzulwano","achromia"
"uninzi","achromic"
"unjingalwazi","Achromycin"
"unobangela","Achromobacter"
"unobhala","Achromobacterieae"
"unodoli","achromoderma"
"unomathotholo","achromophilous"
"unomdla","achromotrichia"
"unomona","achromous"
"unothi","achronical"
"Unothimba","achronychous"
"unozakuzaku","achronism"
"unqulo","achroo-"
"unxibelelwano","achroodextrin"
"unxilile","achroodextrinase"
"unxulumano","achroous"
"unxweme","achropsia"
"unyaka","Achsah"
"unyana","achtehalber"
"unyango","achtel"
"unyanisekile","achtelthaler"
"unyanzeliso","achter"
"unyawo","achterveld"
"unyulo","Achuas"
"upapa","achuete"
"upapasho","acy"
"uphahla","acyanoblepsia"
"uphambene","acyanopsia"
"uphando","acichlorid"
"uphawu","acichloride"
"uphondo","acyclic"
"uphononongo","acyclically"
"uphuhliso","acicula"
"uPro","aciculae"
"uqeqesho","acicular"
"uqhagamshelwano","acicularity"
"uqhanqalazo","acicularly"
"uqhawulo-mtshato","aciculas"
"uqhelaniso","aciculate"
"uqhushululu","aciculated"
"uqhushumbo","aciculum"
"uqikelelo","aciculums"
"uqoqosho","acid"
"uqwalaselo","acidaemia"
"urhulumente","Acidalium"
"urhwaphilizo","Acidanthera"
"urhwebo","Acidaspis"
"usana","acid-binding"
"usapho","acidemia"
"usasazeko","acidemias"
"usasazo","acider"
"usathana","acid-fast"
"usekela","acid-fastness"
"usetyenziso","acid-forming"
"usiba","acidhead"
"usihlalo","acid-head"
"uSirayeli","acidheads"
"usisi","acidy"
"usisidenge","acidic"
"usizi","acidiferous"
"usodolophu","acidify"
"usomashishini","acidifiable"
"usonga","acidifiant"
"usuku","acidific"
"usulelo","acidification"
"utata","acidified"
"utatomkhulu","acidifier"
"uthando","acidifiers"
"uthelekiso","acidifies"
"uthethathethwano","acidifying"
"uthintelo","acidyl"
"uthixo","acidimeter"
"uthotho","acidimetry"
"uthuli","acidimetric"
"uthutho","acidimetrical"
"uthuthu","acidimetrically"
"utitshala","acidite"
"utolo","acidity"
"utshaba","acidities"
"utshatile","acidize"
"UTshazimpuzi","acidized"
"utshintshiselwano","acidizing"
"utshintsho","acidly"
"utyalo-mali","acidness"
"utyando","acidnesses"
"utyekelo","acidogenic"
"utyikityo","acidoid"
"utywala","acidolysis"
"uvakalelo","acidology"
"uvalo","acidometer"
"uvandlakanyo","acidometry"
"uvavanyo","acidophil"
"uvelwano","acidophile"
"uvimba","acidophilic"
"uviwo","acidophilous"
"uvoto","acidophilus"
"uvukelo","acidoproteolytic"
"uvuselelo","acidoses"
"uvuyo","acidosis"
"uwiso-mthetho","acidosteophyte"
"uxanduva","acidotic"
"uxinzelelo","acidproof"
"Uxinzelelo","acids"
"uxolo","acid-treat"
"uxwebhu","acidulant"
"uya","acidulate"
"uyagula","acidulated"
"uyakwazi","acidulates"
"uyazi","acidulating"
"uyilo","acidulation"
"uzinzile","acidulent"
"uzinzo","acidulous"
"uzuko","acidulously"
"uzwane","acidulousness"
"vakalisa","aciduria"
"vala","acidurias"
"vavanya","aciduric"
"vela","Acie"
"velisa","acier"
"veza","acierage"
"vs","Acieral"
"vuka","acierate"
"vula","acierated"
"vuma","acierates"
"vumela","acierating"
"vuthela","acieration"
"vuya","acies"
"vuyisa","acyesis"
"wadutyulwa","acyetic"
"Wamkelekile","aciform"
"waqhubeka","acyl"
"waseMelika","acylal"
"wasemzini","acylamido"
"wavuka","acylamidobenzene"
"wazalwa","acylamino"
"wedwa","acylase"
"wena","acylate"
"wethu","acylated"
"wezopolitiko","acylates"
"wisa","acylating"
"Wowu","acylation"
"xela","aciliate"
"xh","aciliated"
"xhasa","Acilius"
"xhathisa","acylogen"
"xhobisa","acyloin"
"xhokonxa","acyloins"
"xilonga","acyloxy"
"xoka","acyloxymethane"
"xolela","acyls"
"xoxa","Acima"
"xuba","acinaceous"
"yabazali","acinaces"
"yabela","acinacifoliate"
"yahluka","acinacifolious"
"yahlula","acinaciform"
"yakhe","acinacious"
"yakho","acinacity"
"yala","acinar"
"yalela","acinary"
"yam","acinarious"
"yamandulo","Acineta"
"yamkela","Acinetae"
"yandisiwe","acinetan"
"yangasese","Acinetaria"
"yangoku","acinetarian"
"yaphukile","acinetic"
"yasebukhosini","acinetiform"
"yasemzini","Acinetina"
"yaseYurophu","acinetinan"
"yayo","acing"
"yazi","acini"
"yazisa","acinic"
"ye","aciniform"
"yeCongress","acinose"
"yedemokhrasi","acinotubular"
"yedwa","acinous"
"yegolide","acinuni"
"yehla","acinus"
"yeka","acious"
"yekhasino","Acipenser"
"yemali","Acipenseres"
"yemveli","acipenserid"
"yena","Acipenseridae"
"yendalo","acipenserine"
"yendawo","acipenseroid"
"yenza","Acipenseroidei"
"yesakhiwo","acyrology"
"yesibini","acyrological"
"yeziko","Acis"
"yho","acystia"
"yhoo","acitate"
"yhu","acity"
"yima","aciurgy"
"Yima","ACK"
"yimincili","ack-ack"
"yimpumelelo","ackee"
"yingozi","ackees"
"Yinyani","ackey"
"yithi","ackeys"
"yitya","Acker"
"yiva","Ackerley"
"yiya","Ackerly"
"yiza","Ackerman"
"yobuchwephesha","Ackermanville"
"yobuislam","Ackley"
"yobukoloniyali","Ackler"
"yobuThixo","ackman"
"yohlwaya","ackmen"
"yokugcina","acknew"
"yokugqibela","acknow"
"yokuqala","acknowing"
"yokutyela","acknowledge"
"yokuziphatha","acknowledgeable"
"yokwenyani","acknowledged"
"yokwenziwa","acknowledgedly"
"yolula","acknowledgement"
"yombane","acknowledgements"
"yomelele","acknowledger"
"yomeleza","acknowledgers"
"yomile","acknowledges"
"yona","acknowledging"
"yonakele","acknowledgment"
"yongeza","acknowledgments"
"yongezwe","acknowledgment's"
"yonke","acknown"
"yonwabele","ack-pirate"
"yonyulo","ackton"
"yopha","Ackworth"
"yoqobo","ACL"
"yorhwebo","aclastic"
"yoyika","acle"
"yoyikeka","acleidian"
"yure","acleistocardia"
"zabo","acleistous"
"zahlula","Aclemon"
"zakudala","aclydes"
"zakwalizwi","aclidian"
"zama","aclinal"
"zasendle","aclinic"
"ze","aclys"
"zembali","a-clock"
"zemfundo","acloud"
"zenyukliya","ACLS"
"zibandakanya","ACLU"
"zibophelele","ACM"
"zidityanisiwe","Acmaea"
"zikhona","Acmaeidae"
"zingisa","acmaesthesia"
"zingqondweni","acmatic"
"zinikele","acme"
"zininzi","acmes"
"zintanda","acmesthesia"
"zinyamalale","acmic"
"ziphephe","Acmispon"
"ziquka","acmite"
"ziqulathe","Acmon"
"zitshiphu","acne"
"zixabisekile","acned"
"zixhomekeke","acneform"
"zizinzileyo","acneiform"
"zizityebi","acnemia"
"zoba","acnes"
"zobugcisa","Acnida"
"zombane","acnodal"
"zombini","acnode"
"zomculo","acnodes"
"zomlingo","ACO"
"zoncwadi","acoasm"
"zonke","acoasma"
"zothando","a-coast"
"zuza","Acocanthera"
