"Telugu","English"
"పునరావృతం","acclimatizable"
"పునరుద్ధరించు","acclimatization"
"పునర్నిర్మాణం","acclimatizations"
"పునాది","acclimatize"
"పురాణం","acclimatized"
"పురుషుడు","acclimatizer"
"పురోగతి","acclimatizes"
"పుర్రె","acclimatizing"
"పులి","acclimature"
"పువ్వు","acclinal"
"పుష్","acclinate"
"పుష్కలంగా","acclivity"
"పుస్తకం","acclivities"
"పూజారి","acclivitous"
"పూర్తి","acclivous"
"పూర్తిగా","accloy"
"పూర్వీకుడు","accoast"
"పై","accoy"
"పెంచండి","accoyed"
"పెంచు","accoying"
"పెండ్లి","accoil"
"పెంపొందించు","Accokeek"
"పెట్టుబడి","accolade"
"పెట్టుబడిదారుడు","accoladed"
"పెట్టె","accolades"
"పెదవి","accolated"
"పెద్ద","accolent"
"పెద్దమనిషి","accoll"
"పెద్దలు","accolle"
"పైన","accolled"
"పెనాల్టీ","accollee"
"పెన్","Accomac"
"పెన్షన్","accombination"
"పెయింటింగ్","accommodable"
"పెయింట్","accommodableness"
"పెరడు","accommodate"
"పెరిగింది","accommodated"
"పెరుగు","accommodately"
"పెరుగుతాయి","accommodateness"
"పెరుగుతున్న","accommodates"
"పెరుగుతున్నాయి","accommodating"
"పెళ్లయింది","accommodatingly"
"పేజీ","accommodatingness"
"పేటెంట్","accommodation"
"పేదరికం","accommodational"
"పేదవాడు","accommodationist"
"పేరా","accommodations"
"పేరు","accommodative"
"పేర్కొనవచ్చు","accommodatively"
"పేలవంగా","accommodativeness"
"పేలుడు","accommodator"
"పై","accommodators"
"పైకప్పు","accomodate"
"పైకి","accompanable"
"పైగా","accompany"
"పైపు","accompanied"
"పైప్లైన్","accompanier"
"పైలట్","accompanies"
"పొందండి","accompanying"
"పొందటానికి","accompanyist"
"పొందుపరచండి","accompaniment"
"పొగ","accompanimental"
"పొగాకు","accompaniments"
"పొట్టి","accompaniment's"
"పొట్టు","accompanist"
"పొడవు","accompanists"
"పొడి","accompanist's"
"పొడిగించబడింది","accomplement"
"పొడిగింపు","accompletive"
"పొద","accompli"
"పొదుపు","accomplice"
"పొయ్యి","accomplices"
"పొర","accompliceship"
"పొరపాటు","accomplicity"
"పొరపాట్లు","accomplis"
"పొరుగు","accomplish"
"పొలం","accomplishable"
"పోటీ","accomplished"
"పోటీదారు","accomplisher"
"పోటు","accomplishers"
"పోప్","accomplishes"
"పోయాలి","accomplishing"
"పోరాటం","accomplishment"
"పోరాడాలి","accomplishments"
"పోరాడు","accomplishment's"
"పోరాడుతున్నారు","accomplisht"
"పోర్ట్‌ఫోలియో","accompt"
"పోలిక","accord"
"పోలీసు","accordable"
"పోల్","accordance"
"పోషణ","accordances"
"పోస్టర్","accordancy"
"పోస్ట్","accordant"
"పౌండ్","accordantly"
"పౌర","accordatura"
"పౌరసత్వం","accordaturas"
"పౌరుడు","accordature"
"ప్యాంటు","accorded"
"ప్యాకేజీ","accorder"
"ప్యాక్","accorders"
"ప్యాడ్","according"
"ప్యానెల్","accordingly"
"ప్రకటన","accordion"
"ప్రకటనలు","accordionist"
"ప్రకటించండి","accordionists"
"ప్రకరణము","accordions"
"ప్రకారం","accordion's"
"ప్రకాశవంతమైన","accords"
"ప్రకృతి","accorporate"
"ప్రక్కన","accorporation"
"ప్రక్రియ","accost"
"ప్రగతిశీల","accostable"
"ప్రచారం","accosted"
"ప్రచురణ","accosting"
"ప్రచురణకర్త","accosts"
"ప్రచురించండి","accouche"
"ప్రచురించడం","accouchement"
"ప్రజలు","accouchements"
"ప్రజా","accoucheur"
"ప్రజాదరణ","accoucheurs"
"ప్రజాస్వామికమైనది","accoucheuse"
"ప్రజాస్వామ్యం","accoucheuses"
"ప్రజాస్వామ్యవాది","accounsel"
"ప్రణాళిక","account"
"ప్రతి","accountability"
"ప్రతికూల","accountabilities"
"ప్రతిఘటన","accountable"
"ప్రతిఘటించండి","accountableness"
"ప్రతిచోటా","accountably"
"ప్రతిదీ","accountancy"
"ప్రతిధ్వని","accountancies"
"ప్రతినిధి","accountant"
"ప్రతిపాదన","accountants"
"ప్రతిపాదించండి","accountant's"
"ప్రతిపాదించారు","accountantship"
"ప్రతిబింబం","accounted"
"ప్రతిబింబిస్తాయి","accounter"
"ప్రతిభ","accounters"
"ప్రతిభావంతులైన","accounting"
"ప్రతిరూపం","accountings"
"ప్రతివాది","accountment"
"ప్రతిష్టాత్మకమైన","accountrement"
"ప్రతిస్పందన","accounts"
"ప్రత్యక్షంగా","accouple"
"ప్రత్యర్థి","accouplement"
"ప్రత్యామ్నాయం","accourage"
"ప్రత్యేక","accourt"
"ప్రత్యేకంగా","accouter"
"ప్రత్యేకత","accoutered"
"ప్రత్యేకమైనది","accoutering"
"ప్రదర్శకుడు","accouterment"
"ప్రదర్శన","accouterments"
"ప్రదర్శించండి","accouters"
"ప్రదర్శించు","accoutre"
"ప్రధమ","accoutred"
"ప్రధాన","accoutrement"
"ప్రధానంగా","accoutrements"
"ప్రధానమైనది","accoutres"
"ప్రపంచ","accoutring"
"ప్రపంచం","Accoville"
"ప్రపంచవ్యాప్తంగా","ACCRA"
"ప్రభావం","accrease"
"ప్రభావవంతమైన","accredit"
"ప్రభుత్వం","accreditable"
"ప్రభువు","accreditate"
"ప్రమాణం","accreditation"
"ప్రమాణాలు","accreditations"
"ప్రమాదం","accredited"
"ప్రమాదకర","accreditee"
"ప్రమాదకరం","accrediting"
"ప్రమాదకరమైన","accreditment"
"ప్రముఖ","accredits"
"ప్రమేయం","accrementitial"
"ప్రమోషన్","accrementition"
"ప్రయత్నం","accresce"
"ప్రయత్నించండి","accrescence"
"ప్రయాణం","accrescendi"
"ప్రయాణీకుడు","accrescendo"
"ప్రయోగ","accrescent"
"ప్రయోగం","accretal"
"ప్రయోగశాల","accrete"
"ప్రయోగాత్మకమైన","accreted"
"ప్రయోజనం","accretes"
"ప్రయోజనకరమైన","accreting"
"ప్రవక్త","accretion"
"ప్రవర్తన","accretionary"
"ప్రవర్తనాపరమైన","accretions"
"ప్రవర్తిస్తారు","accretion's"
"ప్రవాహం","accretive"
"ప్రవృత్తి","accriminate"
"ప్రవేశం","Accrington"
"ప్రశంసతో","accroach"
"ప్రశంసలు","accroached"
"ప్రశాంతత","accroaching"
"ప్రశ్న","accroachment"
"ప్రశ్నాపత్రం","accroides"
"ప్రసంగం","accruable"
"ప్రసార","accrual"
"ప్రసిద్ధి","accruals"
"ప్రస్తావన","accrue"
"ప్రస్తుత","accrued"
"ప్రస్తుతం","accruement"
"ప్రాంతం","accruer"
"ప్రాంతీయ","accrues"
"ప్రాంప్ట్","accruing"
"ప్రాచీన","ACCS"
"ప్రాజెక్ట్","ACCT"
"ప్రాణనష్టం","acct."
"ప్రాణాధారమైన","accts"
"ప్రాతినిథ్యం","accubation"
"ప్రాథమిక","accubita"
"ప్రాథమికంగా","accubitum"
"ప్రాధాన్యత","accubitus"
"ప్రాముఖ్యత","accueil"
"ప్రారంభ","accultural"
"ప్రారంభం","acculturate"
"ప్రారంభంలో","acculturated"
"ప్రారంభించండి","acculturates"
"ప్రారంభించు","acculturating"
"ప్రారంభిస్తోంది","acculturation"
"ప్రార్థన","acculturational"
"ప్రార్థించండి","acculturationist"
"ప్రావిన్స్","acculturative"
"ప్రాసిక్యూటర్","acculturize"
"ప్రాసిక్యూషన్","acculturized"
"ప్రాసెసర్","acculturizing"
"ప్రాసెసింగ్","accum"
"ప్రిన్సిపాల్","accumb"
"ప్రియతమా","accumbency"
"ప్రియమైన","accumbent"
"ప్రియమైన","accumber"
"ప్రియుడు","accumulable"
"ప్రియురాలు","accumulate"
"ప్రిస్క్రిప్షన్","accumulated"
"ప్రీమియం","accumulates"
"ప్రెడేటర్","accumulating"
"ప్రేక్షకులు","accumulation"
"ప్రేమ","accumulations"
"ప్రేమించే","accumulativ"
"ప్రేమికుడు","accumulative"
"ప్రేరణ","accumulatively"
"ప్రేరేపించు","accumulativeness"
"ప్రేరేపిస్తాయి","accumulator"
"ప్రైవేట్","accumulators"
"ప్రొజెక్షన్","accumulator's"
"ప్రొఫైల్","accupy"
"ప్రొఫెసర్","accur"
"ప్రొవైడర్","accuracy"
"ప్రొసీడింగ్స్","accuracies"
"ప్రోగ్రామింగ్","accurate"
"ప్రోటీన్","accurately"
"ప్రోటోకాల్","accurateness"
"ప్రోత్సహించడం","accuratenesses"
"ప్రోత్సహిస్తాయి","accurre"
"ప్రోత్సాహకం","accurse"
"ప్లాట్లు","accursed"
"ప్లాస్టిక్","accursedly"
"ప్లేఆఫ్","accursedness"
"ప్లేట్","accursing"
"ప్లేస్మెంట్","accurst"
"ఫంక్షనల్","accurtation"
"ఫంక్షన్","accus"
"ఫకింగ్","accusable"
"ఫక్","accusably"
"ఫర్నిచర్","accusal"
"ఫలితం","accusals"
"ఫాంటసీ","accusant"
"ఫాన్సీ","accusants"
"ఫార్మాట్","accusation"
"ఫిక్షన్","accusations"
"ఫిట్‌నెస్","accusation's"
"ఫిబ్రవరి","accusatival"
"ఫిర్యాదు","accusative"
"ఫీడ్","accusative-dative"
"ఫీల్డ్","accusatively"
"ఫుటేజ్","accusativeness"
"ఫుట్బాల్","accusatives"
"ఫైనాన్స్","accusator"
"ఫైబర్","accusatory"
"ఫైల్","accusatorial"
"ఫోటో","accusatorially"
"ఫోటోగ్రఫీ","accusatrix"
"ఫోటోగ్రాఫర్","accusatrixes"
"ఫోన్","accuse"
"ఫోరమ్","accused"
"ఫోర్క్","accuser"
"ఫ్యాషన్","accusers"
"ఫ్రాంచైజీ","accuses"
"ఫ్రీజ్","accusing"
"ఫ్రెంచ్","accusingly"
"ఫ్రేమ్","accusive"
"ఫ్రేమ్వర్క్","accusor"
"ఫ్లాట్","accustom"
"ఫ్లాష్","accustomation"
"బంగారం","accustomed"
"బంగారు","accustomedly"
"బంగాళదుంప","accustomedness"
"బండి","accustoming"
"బంతి","accustomize"
"బందీ","accustomized"
"బంధం","accustomizing"
"బంధువు","accustoms"
"బకాయి","Accutron"
"బకెట్","ACD"
"బక్","ACDA"
"బగ్","AC-DC"
"బటన్","ACE"
"బట్","acea"
"బట్ట","aceacenaphthene"
"బట్టలు","aceae"
"బట్వాడా","acean"
"బడ్జెట్","aceanthrene"
"బదిలీ","aceanthrenequinone"
"బదులుగా","acecaffin"
"బయట","acecaffine"
"బయటకు","aceconitic"
"బయటి","aced"
"బరువు","acedy"
"బర్గర్","acedia"
"బలం","acediamin"
"బలపరుస్తాయి","acediamine"
"బలమైన","acedias"
"బలవంతం","acediast"
"బలవంతపు","ace-high"
"బలహీనత","Acey"
"బలహీనమైన","acey-deucy"
"బస్సు","aceite"
"బహిరంగంగా","aceituna"
"బహిరంగపరచడం","Aceldama"
"బహిర్గతం","aceldamas"
"బహుమతి","acellular"
"బహుళ","Acemetae"
"బహుశా","Acemetic"
"బాంబు","acemila"
"బాక్టీరియా","acenaphthene"
"బాగా","acenaphthenyl"
"బాగుంది","acenaphthylene"
"బాణం","acenesthesia"
"బాతు","acensuada"
"బాత్రూమ్","acensuador"
"బాధ","acentric"
"బాధపడతారు","acentrous"
"బాధాకరమైన","aceology"
"బాధించింది","aceologic"
"బాధితుడు","aceous"
"బాధ్యత","acephal"
"బానిస","Acephala"
"బానిసత్వం","acephalan"
"బారెల్","Acephali"
"బార్","acephalia"
"బాల్యం","Acephalina"
"బాస్","acephaline"
"బాస్కెట్‌బాల్","acephalism"
"బాస్టర్డ్","acephalist"
"బాహ్య","Acephalite"
"బిగుతుగా","acephalocyst"
"బిగ్గరగా","acephalous"
"బిచ్","acephalus"
"బిజీగా","acepots"
"బిట్","acequia"
"బిడ్డ","acequiador"
"బియ్యం","acequias"
"బిలియన్","Acer"
"బిల్లు","Aceraceae"
"బిషప్","aceraceous"
"బీచ్","Acerae"
"బీన్","Acerata"
"బీరు","acerate"
"బుట్ట","acerated"
"బుడగ","Acerates"
"బుతువు","acerathere"
"బుధవారం","Aceratherium"
"బుల్లెట్","aceratosis"
"బూట్","acerb"
"బూడిద","Acerbas"
"బూత్","acerbate"
"బూమ్","acerbated"
"బెంచ్","acerbates"
"బెదిరించే","acerbating"
"బెదిరింపు","acerber"
"బైబిల్","acerbest"
"బెలూన్","acerbic"
"బెల్ట్","acerbically"
"బే","acerbity"
"బేర్","acerbityacerose"
"బేసి","acerbities"
"బేస్","acerbitude"
"బేస్బాల్","acerbly"
"బై","acerbophobia"
"బైక్","acerdol"
"బొగ్గు","aceric"
"బొటనవేలు","acerin"
"బొడ్డు","acerli"
"బొమ్మ","acerola"
"బోధకుడు","acerolas"
"బోధన","acerose"
"బోధనాపరమైన","acerous"
"బోధిస్తారు","acerra"
"బోర్డు","acers"
"బోల్డ్","acertannin"
"బౌన్స్","acerval"
"బ్యాంకర్","acervate"
"బ్యాంకింగ్","acervately"
"బ్యాంకు","acervatim"
"బ్యాండ్","acervation"
"బ్యాకప్","acervative"
"బ్యాటరీ","acervose"
"బ్యాట్","acervuli"
"బ్యాలెట్","acervuline"
"బ్యూరో","acervulus"
"బ్రష్","aces"
"బ్రహ్మాండమైన","ace's"
"బ్రాండ్","acescence"
"బ్రిటిష్","acescency"
"బ్రేక్","acescent"
"బ్రౌజర్","acescents"
"బ్లాగు","aceship"
"బ్లేడ్","Acesius"
"భంగిమలో","acesodyne"
"భద్రత","acesodynous"
"భయం","Acessamenus"
"భయంకరం","Acestes"
"భయంకరమైన","acestoma"
"భయపడటం","acet-"
"భయపడ్డాను","aceta"
"భయాందోళనలు","acetable"
"భయానక","acetabula"
"భయానకంగా","acetabular"
"భరిస్తున్నారు","Acetabularia"
"భరోసా","acetabuliferous"
"భర్త","acetabuliform"
"భర్తీ","acetabulous"
"భవిష్యత్తు","acetabulum"
"భాగం","acetabulums"
"భాగస్వామి","acetacetic"
"భాగస్వామ్యం","acetal"
"భారం","acetaldehydase"
"భారతీయుడు","acetaldehyde"
"భారీ","acetaldehydrase"
"భారీగా","acetaldol"
"భార్య","acetalization"
"భావం","acetalize"
"భావజాలం","acetals"
"భావన","acetamid"
"భావించండి","acetamide"
"భావోద్వేగ","acetamidin"
"భావోద్వేగం","acetamidine"
"భాష","acetamido"
"భిన్నం","acetamids"
"భిన్నంగా","acetaminol"
"భిన్నమైనది","Acetaminophen"
"భీభత్సం","acetanilid"
"భీమా","acetanilide"
"భుజం","acetanion"
"భూకంపం","acetaniside"
"భూగోళం","acetanisidide"
"భూతం","acetanisidine"
"భూభాగం","acetannin"
"భూమి","acetary"
"భేదం","acetarious"
"భోజనం","acetars"
"భౌతిక","acetarsone"
"భౌతికంగా","acetate"
"భ్రాంతి","acetated"
"మంగళవారం","acetates"
"మంచం","acetation"
"మంచి","acetazolamide"
"మంచితనం","acetbromamide"
"మంచిది","acetenyl"
"మంచు","Acetes"
"మంజూరు","acethydrazide"
"మంత్రగత్తె","acetiam"
"మంత్రము","acetic"
"మంత్రి","acetify"
"మంత్రివర్గం","acetification"
"మందపాటి","acetified"
"మందిరము","acetifier"
"మందు","acetifies"
"మందులు","acetifying"
"మక్కువ","acetyl"
"మట్టి","acetylacetonates"
"మడత","acetylacetone"
"మడమ","acetylamine"
"మణికట్టు","acetylaminobenzene"
"మతం","acetylaniline"
"మతపరమైన","acetylasalicylic"
"మద్దతు","acetylate"
"మద్దతుదారు","acetylated"
"మద్దతునిస్తుంది","acetylating"
"మద్యం","acetylation"
"మధుమేహం","acetylative"
"మధ్య","acetylator"
"మధ్యలో","acetylbenzene"
"మధ్యస్థ","acetylbenzoate"
"మధ్యాహ్నం","acetylbenzoic"
"మనమే","acetylbiuret"
"మనవి","acetylcarbazole"
"మనసు","acetylcellulose"
"మనస్తత్వవేత్త","acetylcholine"
"మనస్తత్వశాస్త్రం","acetylcholinesterase"
"మనస్సాక్షి","acetylcholinic"
"మనిషి","acetylcyanide"
"మనుగడ","acetylenation"
"మనోహరమైన","acetylene"
"మన్నించు","acetylenediurein"
"మమ్మీ","acetylenes"
"మరణం","acetylenic"
"మరణము","acetylenyl"
"మరణిస్తున్నాను","acetylenogen"
"మరమ్మత్తు","acetylfluoride"
"మరింత","acetylglycin"
"మరియు","acetylglycine"
"మరియు/లేదా","acetylhydrazine"
"మరెక్కడా","acetylic"
"మరొకటి","acetylid"
"మరోవైపు","acetylide"
"మర్చిపోతారు","acetyliodide"
"మర్యాద","acetylizable"
"మలుపు","acetylization"
"మళ్ళీ","acetylize"
"మా","acetylized"
"మాంద్యం","acetylizer"
"మాంసం","acetylizing"
"మాకు","acetylmethylcarbinol"
"మాజీ","acetylperoxide"
"మాట్లాడండి","acetylphenylhydrazine"
"మాట్లాడతారు","acetylphenol"
"మాట్లాడుతున్నారు","acetylrosaniline"
"మాతృభూమి","acetyls"
"మాత్ర","acetylsalicylate"
"మాత్రమే","acetylsalicylic"
"మాది","acetylsalol"
"మానవత్వం","acetyltannin"
"మానవుడు","acetylthymol"
"మానసిక","acetyltropeine"
"మానసికంగా","acetylurea"
"మానిటర్","acetimeter"
"మామ","acetimetry"
"మాయా","acetimetric"
"మారండి","acetin"
"మారుతున్న","acetine"
"మార్కర్","acetins"
"మార్కెటింగ్","acetite"
"మార్గం","acetize"
"మార్గదర్శకం","acetla"
"మార్గదర్శకత్వం","acetmethylanilide"
"మార్గదర్శకుడు","acetnaphthalide"
"మార్చటానికి","aceto-"
"మార్చు","acetoacetanilide"
"మార్చ్","acetoacetate"
"మార్జిన్","acetoacetic"
"మార్పిడి","acetoamidophenol"
"మార్పు","acetoarsenite"
"మాల్","Acetobacter"
"మాస్టర్","acetobenzoic"
"మి.మీ","acetobromanilide"
"మింగడానికి","acetochloral"
"మించిపోతాయి","acetocinnamene"
"మిఠాయి","acetoin"
"మితిమీరిన","acetol"
"మిత్ర","acetolysis"
"మిత్రుడు","acetolytic"
"మినహాయించండి","acetometer"
"మినహాయింపు","acetometry"
"మిరియాలు","acetometric"
"మిలియన్","acetometrical"
"మిల్లు","acetometrically"
"మిశ్రమ","acetomorphin"
"మిశ్రమం","acetomorphine"
"మిషన్","acetonaemia"
"మిస్","acetonaemic"
"మీ","acetonaphthone"
"మీటర్","acetonate"
"మీడియా","acetonation"
"మీద","acetone"
"మీది","acetonemia"
"మీరు","acetonemic"
"మీరే","acetones"
"ముందు","acetonic"
"ముందుకు","acetonyl"
"ముక్క","acetonylacetone"
"ముక్కు","acetonylidene"
"ముఖం","acetonitrile"
"ముఖ్యంగా","acetonization"
"ముఖ్యమైన","acetonize"
"ముఖ్యమైనది","acetonuria"
"ముగించారు","acetonurometer"
"ముగింపు","acetophenetide"
"ముఠా","acetophenetidin"
"ముడి","acetophenetidine"
"ముద్దు","acetophenin"
"ముద్ర","acetophenine"
"ముద్రణ","acetophenone"
"మునిగిపోతుంది","acetopiperone"
"మునుగు","acetopyrin"
"మునుపటి","acetopyrine"
"ముప్పై","acetosalicylic"
"మురికి","acetose"
"ముసుగు","acetosity"
"ముసుగులో","acetosoluble"
"ముస్లిం","acetostearin"
"మూగ","acetothienone"
"మూడవది","acetotoluid"
"మూడు","acetotoluide"
"మూలం","acetotoluidine"
"మూలకం","acetous"
"మూలలో","acetoveratrone"
"మూలవస్తువుగా","acetoxyl"
"మూలిక","acetoxyls"
"మూల్యాంకనం","acetoxim"
"మూసి","acetoxime"
"మూసివేయబడింది","acetoxyphthalide"
"మృగం","acetphenetid"
"మృదువైన","acetphenetidin"
"మెకానిక్","acetract"
"మెక్సికన్","acettoluide"
"మెచ్చుకుంటారు","acetum"
"మెజారిటీ","aceturic"
"మెటల్","ACF"
"మెట్లు","ACGI"
"మెడ","ac-globulin"
"మెత్తగా","ACH"
"మెను","Achab"
"మెయిల్","Achad"
"మెరుగు","Achaea"
"మెరుగుపరుస్తాయి","Achaean"
"మెరుగైన","Achaemenes"
"మెరుపు","Achaemenian"
"మే","Achaemenid"
"మేక","Achaemenidae"
"మేకర్","Achaemenides"
"మేఘం","Achaemenidian"
"మేడమీద","Achaemenids"
"మేడమ్","achaenocarp"
"మేధావి","Achaenodon"
"మేము","Achaeta"
"మేయర్","achaetous"
"మేరకు","Achaeus"
"మేల్కొని","achafe"
"మేల్కొలపండి","achage"
"మైనర్","Achagua"
"మైనారిటీ","Achaia"
"మైలు","Achaian"
"మొక్క","Achakzai"
"మొక్కజొన్న","achalasia"
"మొగ్గు","Achamoth"
"మొత్తం","Achan"
"మొదలైనవి","Achango"
"మొబైల్","achape"
"మోకాలి","achaque"
"మోచేయి","achar"
"మోటార్","acharya"
"మోడల్","Achariaceae"
"మోడ్","Achariaceous"
"మోతాదు","acharne"
"మోసం","acharnement"
"మోస్తరు","Acharnians"
"మోహరించేందుకు","achate"
"మౌంట్","Achates"
"మౌఖిక","Achatina"
"మౌనంగా","Achatinella"
"మౌస్","Achatinidae"
"మ్యాచ్","achatour"
"మ్యూజియం","Achaz"
"యంత్రం","ache"
"యంత్రాంగం","acheat"
"యజమాని","achech"
"యాంకర్","acheck"
"యాంత్రిక","ached"
"యాక్సెస్","acheer"
"యాజమాన్యం","ACHEFT"
"యాత్ర","acheilary"
"యాత్రికుడు","acheilia"
"యాదృచ్ఛికంగా","acheilous"
"యాభై","acheiria"
"యార్డ్","acheirous"
"యాస","acheirus"
"యుక్తవయస్సు","Achelous"
"యుగం","Achen"
"యుద్ధ","achene"
"యుద్ధం","achenes"
"యువకుడు","achenia"
"యువత","achenial"
"యువరాజు","achenium"
"యువరాణి","achenocarp"
"యూదు","achenodia"
"యూనిట్","achenodium"
"యూనియన్","acher"
"యూరోపియన్","Acherman"
"యొక్క","Achernar"
"యోగ్యత","Acheron"
"యోగ్యమైనది","Acheronian"
"యోధుడు","Acherontic"
"రంగం","Acherontical"
"రంగస్థలం","aches"
"రంగు","Acheson"
"రండి","achesoun"
"రంధ్రం","achete"
"రకం","Achetidae"
"రక్తం","Acheulean"
"రక్తసిక్తమైనది","Acheulian"
"రక్తస్రావం","acheweed"
"రక్షకుడు","achy"
"రక్షణ","achier"
"రక్షణాత్మకమైన","achiest"
"రక్షించడానికి","achievability"
"రక్షించు","achievable"
"రక్షిత","achieve"
"రచయిత","achieved"
"రద్దుచేసే","achievement"
"రన్నర్","achievements"
"రవాణా","achievement's"
"రష్యన్","achiever"
"రసం","achievers"
"రసాయన","achieves"
"రహస్య","achieving"
"రహస్యం","ach-y-fi"
"రహస్యమైన","achigan"
"రాక","achilary"
"రాకెట్","achylia"
"రాక్","Achill"
"రాక్షసుడు","Achille"
"రాజకీయ","Achillea"
"రాజకీయంగా","Achillean"
"రాజకీయాలు","achilleas"
"రాజధాని","Achilleid"
"రాజభవనం","achillein"
"రాజీ","achilleine"
"రాజు","Achilles"
"రాజ్యం","Achillize"
"రాజ్యాంగం","achillobursitis"
"రాజ్యాంగబద్ధమైనది","achillodynia"
"రాడార్","achilous"
"రాడికల్","achylous"
"రాడ్","Achimaas"
"రాణి","achime"
"రాత్రి","Achimelech"
"రాబోయే","Achimenes"
"రాయడం","achymia"
"రాయబారి","achymous"
"రాయి","Achinese"
"రాష్ట్రం","achiness"
"రాష్ట్రపతి","achinesses"
"రింగ్","aching"
"రికవరీ","achingly"
"రికార్డింగ్","achiote"
"రికార్డు","achiotes"
"రిక్రూట్","achira"
"రిజర్వేషన్","Achyranthes"
"రిజర్వ్","achirite"
"రిటైల్","Achyrodes"
"రిపబ్లికన్","Achish"
"రిపబ్లిక్","Achitophel"
"రిపోర్టర్","achkan"
"రిమైండర్","achlamydate"
"రిమోట్","Achlamydeae"
"రివర్స్","achlamydeous"
"రిసార్ట్","achlorhydria"
"రిసీవర్","achlorhydric"
"రిసెప్షన్","achlorophyllous"
"రీకాల్","achloropsia"
"రుగ్మత","achluophobia"
"రుచి","Achmed"
"రుచికరమైన","Achmetha"
"రుజువు","achoke"
"రుణపడి","acholia"
"రుద్దు","acholias"
"రుసుము","acholic"
"రూకీ","Acholoe"
"రూట్","acholous"
"రూపం","acholuria"
"రూపకం","acholuric"
"రూపకర్త","Achomawi"
"రూపకల్పన","achondrite"
"రూపాంతరము","achondritic"
"రూపురేఖలు","achondroplasia"
"రెండర్","achondroplastic"
"రెండవ","achoo"
"రెండు","achor"
"రెండుసార్లు","achordal"
"రెక్క","Achordata"
"రెట్టింపు","achordate"
"రెట్లు","Achorion"
"రెడీ","Achorn"
"రైలు","Achras"
"రెస్టారెంట్","achree"
"రేటింగ్","achroacyte"
"రేటు","Achroanthes"
"రేడియేషన్","achrodextrin"
"రేడియో","achrodextrinase"
"రేపు","achroglobin"
"రైడర్","achroiocythaemia"
"రైడ్","achroiocythemia"
"రైతు","achroite"
"రైఫిల్","achroma"
"రైలు","achromacyte"
"రైలుమార్గం","achromasia"
"రొటీన్","achromat"
"రొట్టె","achromat-"
"రొమ్ము","achromate"
"రోగనిరోధక","Achromatiaceae"
"రోగము","achromatic"
"రోగి","achromatically"
"రోజు","achromaticity"
"రోజువారీ","achromatin"
"రోబోట్","achromatinic"
"రోమన్","achromatisation"
"రోలింగ్","achromatise"
"రోల్","achromatised"
"ర్యాంకింగ్","achromatising"
"ర్యాంక్","achromatism"
"ర్యాలీ","Achromatium"
"లంగా","achromatizable"
"లక్షణం","achromatization"
"లక్ష్యం","achromatize"
"లభ్యత","achromatized"
"లయ","achromatizing"
"లాండ్రీ","achromatocyte"
"లాకర్","achromatolysis"
"లాగండి","achromatope"
"లాగ్","achromatophil"
"లాటిన్","achromatophile"
"లాబీ","achromatophilia"
"లాభం","achromatophilic"
"లావాదేవీ","achromatopia"
"లావు","achromatopsy"
"లింక్","achromatopsia"
"లింగం","achromatosis"
"లీక్","achromatous"
"లీగ్","achromats"
"లూప్","achromaturia"
"లెక్కలేనన్ని","achromia"
"లెక్కించు","achromic"
"లెక్కింపు","Achromycin"
"లెన్స్","Achromobacter"
"లెఫ్టినెంట్","Achromobacterieae"
"లే","achromoderma"
"లేకపోతే","achromophilous"
"లేకపోవడం","achromotrichia"
"లేకుంటే","achromous"
"లేకుండా","achronical"
"లేఖ","achronychous"
"లేజర్","achronism"
"లేత","achroo-"
"లేదా","achroodextrin"
"లేదు","achroodextrinase"
"లేబుల్","achroous"
"లైంగిక","achropsia"
"లైంగికంగా","Achsah"
"లైన్","achtehalber"
"లైసెన్స్","achtel"
"లో","achtelthaler"
"లోకి","achter"
"లోటు","achterveld"
"లోడ్","Achuas"
"లోతు","achuete"
"లోతుగా","acy"
"లోతైన","acyanoblepsia"
"లోతైన","acyanopsia"
"లోపం","acichlorid"
"లోపల","acichloride"
"లోపలి","acyclic"
"లోయ","acyclically"
"లౌకిక","acicula"
"ల్యాండింగ్","aciculae"
"ల్యాప్టాప్","acicular"
"వంచు","acicularity"
"వంట","acicularly"
"వంటకం","aciculas"
"వంటగది","aciculate"
"వంటి","aciculated"
"వంతెన","aciculum"
"వంద","aciculums"
"వంపు","acid"
"వచనం","acidaemia"
"వజ్రం","Acidalium"
"వడపోత","Acidanthera"
"వణుకు","Acidaspis"
"వదిలివేయండి","acid-binding"
"వదిలేశారు","acidemia"
"వదులుగా","acidemias"
"వద్ద","acider"
"వధువు","acid-fast"
"వనరు","acid-fastness"
"వన్యప్రాణులు","acid-forming"
"వయస్సు","acidhead"
"వరకు","acid-head"
"వరద","acidheads"
"వరుస","acidy"
"వరుసగా","acidic"
"వర్గం","acidiferous"
"వర్గీకరించండి","acidify"
"వర్చువల్","acidifiable"
"వర్ణించండి","acidifiant"
"వర్ణించు","acidific"
"వర్ణించేందుకు","acidification"
"వర్ణిస్తాయి","acidified"
"వర్తకం","acidifier"
"వర్షం","acidifiers"
"వర్సెస్","acidifies"
"వలస","acidifying"
"వలసదారు","acidyl"
"వలసవాద","acidimeter"
"వశ్యత","acidimetry"
"వసంత","acidimetric"
"వస్తున్నది","acidimetrical"
"వస్తువు","acidimetrically"
"వాకిలి","acidite"
