"Sundanese","English"
"panolakan","acetimetric"
"panon","acetin"
"panongton","acetine"
"panonpoe","acetins"
"pantai","acetite"
"pantes","acetize"
"panto","acetla"
"pantun","acetmethylanilide"
"panulis","acetnaphthalide"
"panumpang","aceto-"
"panungtungan","acetoacetanilide"
"panutup","acetoacetate"
"panyabutan","acetoacetic"
"panyadia","acetoamidophenol"
"panyakit","acetoarsenite"
"panyalindungan","Acetobacter"
"panyanyi","acetobenzoic"
"panyawat","acetobromanilide"
"panyidik","acetochloral"
"panyingkepan","acetocinnamene"
"panyipta","acetoin"
"panyumputan","acetol"
"papacangan","acetolysis"
"papakéan","acetolytic"
"papan","acetometer"
"papanggih","acetometry"
"papisah","acetometric"
"parabot","acetometrical"
"parabotan","acetometrically"
"parade","acetomorphin"
"parah","acetomorphine"
"parahu","acetonaemia"
"parameter","acetonaemic"
"parentah","acetonaphthone"
"paréntah","acetonate"
"pariksa","acetonation"
"paripolah","acetone"
"parkir","acetonemia"
"parlemén","acetonemic"
"parna","acetones"
"parsial","acetonic"
"partikel","acetonyl"
"partisipasi","acetonylacetone"
"partnership","acetonylidene"
"Parumahan","acetonitrile"
"pas","acetonization"
"pasagi","acetonize"
"pasamoan","acetonuria"
"pasang","acetonurometer"
"pasangan","acetophenetide"
"pasar","acetophenetidin"
"pasini","acetophenetidine"
"pasir","acetophenin"
"pasti","acetophenine"
"pasukan","acetophenone"
"patali","acetopiperone"
"patalimarga","acetopyrin"
"patani","acetopyrine"
"patarosan","acetosalicylic"
"patch","acetose"
"patén","acetosity"
"patengahan","acetosoluble"
"patok","acetostearin"
"patroli","acetothienone"
"patugas","acetotoluid"
"patung","acetotoluide"
"patut","acetotoluidine"
"paus","acetous"
"pausahaan","acetoveratrone"
"payuneun","acetoxyl"
"pc","acetoxyls"
"Pébruari","acetoxim"
"pecut","acetoxime"
"pedang","acetoxyphthalide"
"pedaran","acetphenetid"
"péér","acetphenetidin"
"pegat","acetract"
"pelecehan","acettoluide"
"pelindung","acetum"
"pélor","aceturic"
"pelukis","ACF"
"pembimbing","ACGI"
"pembunuh","ac-globulin"
"pemicu","ACH"
"penampilan","Achab"
"penari","Achad"
"pencegahan","Achaea"
"pencét","Achaean"
"pendamping","Achaemenes"
"pendaptaran","Achaemenian"
"pendatang","Achaemenid"
"pendeta","Achaemenidae"
"pendidik","Achaemenides"
"pendukung","Achaemenidian"
"penegak","Achaemenids"
"pengacara","achaenocarp"
"pengendara","Achaenodon"
"pengikut","Achaeta"
"péngkolan","achaetous"
"penilaian","Achaeus"
"penting","achafe"
"pentingna","achage"
"per","Achagua"
"peradaban","Achaia"
"pérak","Achaian"
"peran","Achakzai"
"perang","achalasia"
"perangna","Achamoth"
"perawat","Achan"
"perbaikan","Achango"
"perbankan","achape"
"perbendaharaan","achaque"
"perbudakan","achar"
"percaya","acharya"
"percobaan","Achariaceae"
"perdana","Achariaceous"
"perhatian","acharne"
"perhiasan","acharnement"
"peringatan","Acharnians"
"perjangjian","achate"
"perjuangan","Achates"
"perkara","Achatina"
"perkiraan","Achatinella"
"perkosa","Achatinidae"
"perlakuan","achatour"
"permanén","Achaz"
"permén","ache"
"pernah","acheat"
"pernyataan","achech"
"perpustakaan","acheck"
"persamaan","ached"
"persen","acheer"
"perséntase","ACHEFT"
"persépsi","acheilary"
"persetujuan","acheilia"
"persiapan","acheilous"
"pertahanan","acheiria"
"pertandingan","acheirous"
"perusahaan","acheirus"
"peryogi","Achelous"
"pesawat","Achen"
"pesen","achene"
"pesenan","achenes"
"pesiar","achenia"
"péso","achenial"
"pesona","achenium"
"peta","achenocarp"
"peternakan","achenodia"
"petikan","achenodium"
"petisi","acher"
"peujit","Acherman"
"peuntas","Achernar"
"peunteun","Acheron"
"peupeus","Acheronian"
"peureum","Acherontic"
"peuting","Acherontical"
"piagam","aches"
"piano","Acheson"
"piaraan","achesoun"
"picilakaeun","achete"
"pigeulang","Achetidae"
"pigura","Acheulean"
"pihak","Acheulian"
"pikaboseneun","acheweed"
"pikagumbiraeun","achy"
"pikaresepeun","achier"
"pikareueuseun","achiest"
"pikaseurieun","achievability"
"pikeun","achievable"
"pikiran","achieve"
"pil","achieved"
"pilem","achievement"
"pilihan","achievements"
"pilot","achievement's"
"pin","achiever"
"pinalti","achievers"
"pindah","achieves"
"pingping","achieving"
"pinter","ach-y-fi"
"pintonan","achigan"
"pinuh","achilary"
"pinunjul","achylia"
"pinus","Achill"
"pipah","Achille"
"pipi","Achillea"
"pipilueun","Achillean"
"pipis","achilleas"
"pipisahan","Achilleid"
"piring","achillein"
"pisan","achilleine"
"pit","Achilles"
"pita","Achillize"
"pitch","achillobursitis"
"pituduh","achillodynia"
"pitunjuk","achilous"
"piwuruk","achylous"
"pizza","Achimaas"
"planét","achime"
"platform","Achimelech"
"plot","Achimenes"
"pm","achymia"
"poek","achymous"
"poho","Achinese"
"poko","achiness"
"pola","achinesses"
"politikus","aching"
"polling","achingly"
"polos","achiote"
"polusi","achiotes"
"pon","achira"
"pondok","Achyranthes"
"pop","achirite"
"popularitas","Achyrodes"
"populasi","Achish"
"populér","Achitophel"
"porsi","achkan"
"portopolio","achlamydate"
"pos","Achlamydeae"
"pose","achlamydeous"
"posisi","achlorhydria"
"positip","achlorhydric"
"poster","achlorophyllous"
"pot","achloropsia"
"poténsial","achluophobia"
"poto","Achmed"
"potrét","Achmetha"
"prajurit","achoke"
"prakték","acholia"
"praktis","acholias"
"praktisi","acholic"
"pramuka","Acholoe"
"predator","acholous"
"prediksi","acholuria"
"premis","acholuric"
"premium","Achomawi"
"presentasi","achondrite"
"presiden","achondritic"
"présidén","achondroplasia"
"prestasi","achondroplastic"
"pribadi","achoo"
"pribumi","achor"
"prihatin","achordal"
"primér","Achordata"
"prinsipna","achordate"
"prioritas","Achorion"
"privasi","Achorn"
"pro","Achras"
"probabiliti","achree"
"produk","achroacyte"
"produksi","Achroanthes"
"produktif","achrodextrin"
"produktivitas","achrodextrinase"
"produsén","achroglobin"
"produser","achroiocythaemia"
"profési","achroiocythemia"
"profésional","achroite"
"profesor","achroma"
"profil","achromacyte"
"program","achromasia"
"programming","achromat"
"progresif","achromat-"
"promosi","achromate"
"propaganda","Achromatiaceae"
"Propinsi","achromatic"
"proporsi","achromatically"
"prosedur","achromaticity"
"prosés","achromatin"
"prosésor","achromatinic"
"prospek","achromatisation"
"protéin","achromatise"
"protés","achromatised"
"protokol","achromatising"
"proyék","achromatism"
"proyéksi","Achromatium"
"psikolog","achromatizable"
"Psikologi","achromatization"
"psikologis","achromatize"
"publikasi","achromatized"
"puguh","achromatizing"
"pujangga","achromatocyte"
"pulas","achromatolysis"
"pulisi","achromatope"
"pulitik","achromatophil"
"pulo","achromatophile"
"pulsa","achromatophilia"
"puncak","achromatophilic"
"punch","achromatopia"
"pundung","achromatopsy"
"punjul","achromatopsia"
"Punten","achromatosis"
"pupuhu","achromatous"
"pura-pura","achromats"
"puri","achromaturia"
"puseur","achromia"
"putra","achromic"
"putri","Achromycin"
"putus","Achromobacter"
"putusan","Achromobacterieae"
"quest","achromoderma"
"racun","achromophilous"
"rada","achromotrichia"
"radar","achromous"
"radiasi","achronical"
"radikal","achronychous"
"radio","achronism"
"ragrag","achroo-"
"ragu","achroodextrin"
"rahang","achroodextrinase"
"rahayat","achroous"
"rahmat","achropsia"
"raja","Achsah"
"rajah","achtehalber"
"rajapati","achtel"
"rak","achtelthaler"
"raket","achter"
"rakitan","achterveld"
"raksasa","Achuas"
"rally","achuete"
"ramatloka","acy"
"ramo","acyanoblepsia"
"rangsangan","acyanopsia"
"ranjang","acichlorid"
"ranking","acichloride"
"ranté","acyclic"
"rarancang","acyclically"
"rarasaan","acicula"
"ras","aciculae"
"rasa","acicular"
"rasional","acicularity"
"rasis","acicularly"
"rasisme","aciculas"
"rata-rata","aciculate"
"ratu","aciculated"
"ray","aciculum"
"réaksi","aciculums"
"realistis","acid"
"rebo","acidaemia"
"redaktur","Acidalium"
"réfléksi","Acidanthera"
"reformasi","Acidaspis"
"régional","acid-binding"
"regu","acidemia"
"rejeki","acidemias"
"réjim","acider"
"rékaman","acid-fast"
"rékayasa","acid-fastness"
"rekomendasi","acid-forming"
"rel","acidhead"
"rélatif","acid-head"
"relawan","acidheads"
"relevan","acidy"
"reliabiliti","acidic"
"relief","acidiferous"
"religius","acidify"
"remen","acidifiable"
"rencana","acidifiant"
"rendang","acidific"
"render","acidification"
"rengat","acidified"
"rengse","acidifier"
"rentan","acidifiers"
"rentang","acidifies"
"rep","acidifying"
"républik","acidyl"
"reputasi","acidimeter"
"resensi","acidimetry"
"resep","acidimetric"
"resép","acidimetrical"
"reservasi","acidimetrically"
"resesi","acidite"
"resiko","acidity"
"resmi","acidities"
"resolusi","acidize"
"Resort","acidized"
"respon","acidizing"
"réspondén","acidly"
"réstoran","acidness"
"rétorika","acidnesses"
"reueus","acidogenic"
"reuneuh","acidoid"
"reureuh","acidolysis"
"reuwas","acidology"
"reuwaseun","acidometer"
"revolusi","acidometry"
"revolusioner","acidophil"
"ribut","acidophile"
"rip","acidophilic"
"ritual","acidophilous"
"robah","acidophilus"
"robot","acidoproteolytic"
"rod","acidoses"
"rohani","acidosis"
"rojongan","acidosteophyte"
"rok","acidotic"
"rokét","acidproof"
"roko","acids"
"roman","acid-treat"
"romantis","acidulant"
"rongkah","acidulate"
"rookie","acidulated"
"roti","acidulates"
"ruas","acidulating"
"rubak","acidulation"
"rujukan","acidulent"
"rumaja","acidulous"
"rumus","acidulously"
"rundingan","acidulousness"
"rungkun","aciduria"
"runtah","acidurias"
"runtuyan","aciduric"
"rupa","Acie"
"rupa-rupa","acier"
"rurusuhan","acierage"
"rusia","Acieral"
"rusiah","acierate"
"rutin","acierated"
"sabab","acierates"
"sababaraha","acierating"
"sabagean","acieration"
"sabalikna","acies"
"sabar","acyesis"
"sabelas","acyetic"
"sabenerna","aciform"
"sabeulah","acyl"
"sabudeureun","acylal"
"sabuk","acylamido"
"sabun","acylamidobenzene"
"sadar","acylamino"
"sadayana","acylase"
"saeutik","acylate"
"sagala","acylated"
"sagalana","acylates"
"sagara","acylating"
"sagemblengna","acylation"
"sah","aciliate"
"saha","aciliated"
"saham","Acilius"
"saharita","acylogen"
"sahenteuna","acyloin"
"sahingga","acyloins"
"saingan","acyloxy"
"sajak","acyloxymethane"
"sajarah","acyls"
"sajarahna","Acima"
"sakabéh","acinaceous"
"sakabehna","acinaces"
"sakali","acinacifoliate"
"sakalian","acinacifolious"
"sakaligus","acinaciform"
"sakapeung","acinacious"
"sakedapan","acinacity"
"sakeudeung","acinar"
"sakeupeul","acinary"
"sakola","acinarious"
"saksi","Acineta"
"saku","Acinetae"
"sakuduna","acinetan"
"salah","Acinetaria"
"salaku","acinetarian"
"salam","acinetic"
"salamet","acinetiform"
"salapan","Acinetina"
"Salasa","acinetinan"
"salat","acing"
"salawasna","acini"
"saleresna","acinic"
"salila","aciniform"
"salingkuh","acinose"
"salju","acinotubular"
"saluareun","acinous"
"saluran","acinuni"
"Samaun","acinus"
"sambel","acious"
"sambungan","Acipenser"
"saméméhna","Acipenseres"
"samentara","acipenserid"
"sampel","Acipenseridae"
"sampurna","acipenserine"
"sanajan","acipenseroid"
"sandera","Acipenseroidei"
"sandwich","acyrology"
"sanggeus","acyrological"
"sanggup","Acis"
"sangkaan","acystia"
"sangsara","acitate"
"sangsi","acity"
"sangu","aciurgy"
"santo","ACK"
"santunan","ack-ack"
"sanyawa","ackee"
"saos","ackees"
"sapanjang","ackey"
"saparapat","ackeys"
"sapatemon","Acker"
"sapatu","Ackerley"
"sapédah","Ackerly"
"sapertos","Ackerman"
"sapi","Ackermanville"
"sapopoe","Ackley"
"sapotong","Ackler"
"saprak","ackman"
"saptu","ackmen"
"sapuluh","acknew"
"saraf","acknow"
"saragam","acknowing"
"sarat","acknowledge"
"saratus","acknowledgeable"
"sare","acknowledged"
"saré","acknowledgedly"
"sarébu","acknowledgement"
"sari","acknowledgements"
"saringan","acknowledger"
"sarua","acknowledgers"
"sarung","acknowledges"
"sarupa","acknowledging"
"sasak","acknowledgment"
"sasama","acknowledgments"
"sasarap","acknowledgment's"
"sasaruaan","acknown"
"sasatoan","ack-pirate"
"sasih","ackton"
"sastra","Ackworth"
"satelit","ACL"
"satengah","aclastic"
"saterusna","acle"
"sateuacan","acleidian"
"sateuacanna","acleistocardia"
"satia","acleistous"
"satru","Aclemon"
"satuju","aclydes"
"satuluyna","aclidian"
"saukur","aclinal"
"sawah","aclinic"
"sawaréh","aclys"
"sawarga","a-clock"
"sawawa","acloud"
"sayang","ACLS"
"sayur","ACLU"
"screw","ACM"
"SD","Acmaea"
"sedekah","Acmaeidae"
"sedeng","acmaesthesia"
"sederhana","acmatic"
"sedih","acme"
"seger","acmes"
"séjén","acmesthesia"
"Sekertaris","acmic"
"seksi","Acmispon"
"séksual","acmite"
"séktor","Acmon"
"sekuler","acne"
"sekundér","acned"
"selebritis","acneform"
"sélulér","acneiform"
"sémah","acnemia"
"sembako","acnes"
"senang","Acnida"
"senar","acnodal"
"sénat","acnode"
"sénator","acnodes"
"sendok","ACO"
"senen","acoasm"
"sengit","acoasma"
"sengketa","a-coast"
"seni","Acocanthera"
"senior","acocantherin"
"sensasi","acock"
"sensitip","acockbill"
"sensitipitas","a-cock-bill"
"sénsor","a-cock-horse"
"sénsus","acocotl"
"sentimen","Acoela"
"sentral","Acoelomata"
"sepi","acoelomate"
"Séptémber","acoelomatous"
"serangga","Acoelomi"
"serat","acoelomous"
"sering","acoelous"
"serius","Acoemetae"
"sersan","Acoemeti"
"sertipikat","Acoemetic"
"server","acoenaesthesia"
"sésana","ACOF"
"sesepuh","acoin"
"sési","acoine"
"sétan","Acol"
"setrés","Acolapissa"
"setting","acold"
"seukeut","Acolhua"
"seuneu","Acolhuan"
"seuri","acolyctine"
"sheriff","acolyte"
"shooting","acolytes"
"sial","acolyth"
"siap","acolythate"
"siaran","acolytus"
"sibuk","acology"
"sidang","acologic"
"sidebar","acolous"
"sieun","acoluthic"
"siga","Acoma"
"sigana","acomia"
"signifikan","acomous"
"sihir","a-compass"
"sikat","aconative"
"sikep","Aconcagua"
"siki","acondylose"
"siklus","acondylous"
"siku","acone"
"silaturahim","aconelline"
"silih","aconic"
"siling","aconin"
"simbut","aconine"
"simpati","aconital"
"sindrom","aconite"
"singket","aconites"
"sinyal","aconitia"
"sinyalna","aconitic"
"sipat","aconitin"
"sipil","aconitine"
"sirah","Aconitum"
"Siria","aconitums"
"sirkuit","acontia"
"sisi","Acontias"
"sistem","acontium"
"situ","Acontius"
"situs","aconuresis"
"skala","acool"
"skandal","acop"
"skéma","acopic"
"skenario","acopyrin"
"ski","acopyrine"
"sobat","acopon"
"sodakoh","acor"
"software","acorea"
"solat","acoria"
"solokan","acorn"
"solusi","acorned"
"sono","acorns"
"sora","acorn's"
"sorangan","acorn-shell"
"soré","Acorus"
"sorotan","acosmic"
"sosial","acosmism"
"soviét","acosmist"
"Spanyol","acosmistic"
"spark","acost"
"spektakuler","Acosta"
"spéktrum","acotyledon"
"spekulasi","acotyledonous"
"spesialis","acouasm"
"sponsor","acouchi"
"sreg","acouchy"
"stabil","acoumeter"
"stabilitas","acoumetry"
"stadion","acounter"
"stan","acouometer"
"standar","acouophonia"
"stasiun","acoup"
"statistik","acoupa"
"status","acoupe"
"statute","acousma"
"steak","acousmas"
"strategi","acousmata"
"strategis","acousmatic"
"strip","acoustic"
"stroke","acoustical"
"struktur","acoustically"
"struktural","acoustician"
"studio","acoustico-"
"stunning","acousticolateral"
"subsidi","Acousticon"
"substansial","acousticophobia"
"subuh","acoustics"
"suburb","acoustoelectric"
"suburban","ACP"
"suci","acpt"
"sudut","acpt."
"suhu","Acquah"
"suite","acquaint"
"sujud","acquaintance"
"suksés","acquaintances"
"suku","acquaintance's"
"suluh","acquaintanceship"
"sumanget","acquaintanceships"
"sumbangan","acquaintancy"
"sumber","acquaintant"
"sumberdaya","acquainted"
"sumpah","acquaintedness"
"sumur","acquainting"
"sungut","acquaints"
"sup","Acquaviva"
"super","acquent"
"supir","acquereur"
"suplai","acquest"
"surak","acquests"
"surat","acquiesce"
"surélék","acquiesced"
"survey","acquiescement"
"surya","acquiescence"
"susu","acquiescences"
"susun","acquiescency"
"susunan","acquiescent"
"sutra","acquiescently"
"swasta","acquiescer"
"syukuran","acquiesces"
"taar","acquiescing"
"tab","acquiescingly"
"tablét","acquiesence"
"tabuh","acquiet"
"tabung","acquirability"
"tackle","acquirable"
"tag","acquire"
"tagihan","acquired"
"tahan","acquirement"
"tahanan","acquirements"
"tahta","acquirenda"
"takdir","acquirer"
"taksi","acquirers"
"taktak","acquires"
"taktik","acquiring"
"tali","acquisible"
"taliti","acquisita"
"taman","acquisite"
"tamba","acquisited"
"tambah","acquisition"
"tambahan","acquisitional"
"tambihan","acquisitions"
"tameng","acquisition's"
"tampilan","acquisitive"
"tanaga","acquisitively"
"tanda","acquisitiveness"
"tanding","acquisitor"
"tanduk","acquisitum"
"taneuh","acquist"
"tangga","acquit"
"tangguh","acquital"
"tangkal","acquitment"
"tangkorak","acquits"
"tangtangan","acquittal"
"tangtu","acquittals"
"tank","acquittance"
"tanpa","acquitted"
"tapi","acquitter"
"tara","acquitting"
"taranjang","acquophonia"
"tari","acr-"
"tarjamahan","Acra"
"tatanén","Acrab"
"tatangga","acracy"
"tatarucingan","Acraea"
"tatu","acraein"
"taun","Acraeinae"
"taunan","acraldehyde"
"téater","Acrania"
"tebih","acranial"
"tech","acraniate"
"tegalan","acrasy"
"tegangan","acrasia"
"tegesna","Acrasiaceae"
"teguh","Acrasiales"
"téh","acrasias"
"téhnik","Acrasida"
"téhnologi","Acrasieae"
"téhnologis","acrasin"
"tekad","acrasins"
"tekanan","Acraspeda"
"Teken","acraspedote"
"tekenan","acratia"
"teknis","acraturesis"
"téks","acrawl"
"telat","acraze"
"telenges","Acre"
"telepon","acreable"
"teleskop","acreage"
"televisi","acreages"
"teluk","acreak"
"Teluk","acream"
"téma","acred"
"témbok","acre-dale"
"tempat","Acredula"
"tempo","acre-foot"
"Tenang","acre-inch"
"tenda","acreman"
"tengah","acremen"
"tenggara","Acres"
"tengtrem","acre's"
"ténis","acrestaff"
"tentara","a-cry"
"teologi","acrid"
"téori","acridan"
"téoritis","acridane"
"tepatna","acrider"
"tepi","acridest"
"terapi","acridian"
"Teras","acridic"
"tercinta","acridid"
"terdakwa","Acrididae"
"teror","Acridiidae"
"teroris","acridyl"
"terorisme","acridin"
"terus-terusan","acridine"
"tetempoan","acridines"
"tetep","acridinic"
"teuas","acridinium"
"teuteup","acridity"
"ti","acridities"
"tiasa","Acridium"
"tibalik","Acrydium"
"tibatan","acridly"
"tiis","acridness"
"tiiseun","acridnesses"
"tikét","acridone"
"tikoro","acridonium"
"tilas","acridophagus"
"tilelep","acriflavin"
"tilu","acriflavine"
"tim","acryl"
"timbalan","acrylaldehyde"
"timburu","Acrilan"
"timing","acrylate"
"tina","acrylates"
"tindakan","acrylic"
"tingali","acrylics"
"tingkat","acrylyl"
"tinimbangan","acrylonitrile"
"tinju","acrimony"
"tip","acrimonies"
"tipung","acrimonious"
"tisu","acrimoniously"
"titajong","acrimoniousness"
"titik","acrindolin"
"toko","acrindoline"
"Tol","acrinyl"
"toleran","acrisy"
"tomat","acrisia"
"tong","Acrisius"
"topéng","Acrita"
"topi","acritan"
"torowongan","acrite"
"total","acrity"
"touchdown","acritical"
"tradisi","acritochromacy"
"tradisional","acritol"
"tragedi","acritude"
"tragis","ACRNEMA"
"trailer","acro-"
"transaksi","Acroa"
"transformasi","acroaesthesia"
"transisi","acroama"
"transit","acroamata"
"transmisi","acroamatic"
"trauma","acroamatical"
"trend","acroamatics"
"treuk","acroanesthesia"
"trik","acroarthritis"
"triliun","acroasis"
"tropis","acroasphyxia"
"trotoar","acroataxia"
"tuan","acroatic"
"tuang","acrobacy"
"tuangeun","acrobacies"
"tuduh","acrobat"
"tugas","Acrobates"
"Tuh","acrobatholithic"
"tujuan","acrobatic"
"tujuanana","acrobatical"
"Tujuh","acrobatically"
"tukang","acrobatics"
"tukangeun","acrobatism"
"tulang","acrobats"
"tulisan","acrobat's"
"Tulung","acrobystitis"
"tumor","acroblast"
"tumpukan","acrobryous"
"tumuwuh","Acrocarpi"
"tumuwuhna","acrocarpous"
"tunai","acrocentric"
"tunggal","acrocephaly"
"tungtung","acrocephalia"
"tungtungna","acrocephalic"
"tuntas","acrocephalous"
"turis","Acrocera"
"turnamén","Acroceratidae"
"turun","Acroceraunian"
"turunna","Acroceridae"
"tutuwuhan","Acrochordidae"
"tuur","Acrochordinae"
"tv","acrochordon"
"twitter","acrocyanosis"
"ubar","acrocyst"
"ucing","acrock"
"udagan","Acroclinium"
"uih","Acrocomia"
"uing","acroconidium"
"ujian","acrocontracture"
"ukuran","acrocoracoid"
"ulama","Acrocorinth"
"ulin","acrodactyla"
"umum","acrodactylum"
"umumna","acrodermatitis"
"umur","acrodynia"
"undian","acrodont"
"unggal","acrodontism"
"unggeuk","acrodonts"
"ungu","acrodrome"
"unidentified","acrodromous"
"unik","Acrodus"
"universal","acroesthesia"
"universitas","acrogamy"
"unprecedented","acrogamous"
"unsur","acrogen"
"untung","acrogenic"
"untungna","acrogenous"
"upacara","acrogenously"
"urang","acrogens"
"usaha","Acrogynae"
"uskup","acrogynous"
"usulan","acrography"
"usum","acrolein"
"utama","acroleins"
"utamana","acrolith"
"uteuk","acrolithan"
"utilitas","acrolithic"
"uyah","acroliths"
"vaksin","acrology"
"validitas","acrologic"
"vampir","acrologically"
"van","acrologies"
"variabel","acrologism"
"variasi","acrologue"
"versi","acromania"
"video","acromastitis"
"virus","acromegaly"
"visi","acromegalia"
"visual","acromegalic"
"vital","acromegalies"
"vitamin","acromelalgia"
"vokal","acrometer"
"volume","acromia"
"voting","acromial"
"vs","acromicria"
"wacana","acromimia"
"wadahna","acromioclavicular"
"wae","acromiocoracoid"
"wahyu","acromiodeltoid"
"waja","Acromyodi"
"wajar","acromyodian"
"wajib","acromyodic"
"waktos","acromyodous"
"walanda","acromiohyoid"
"wali","acromiohumeral"
"walikota","acromion"
"walon","acromioscapular"
"walungan","acromiosternal"
"wangun","acromiothoracic"
"wangunan","acromyotonia"
"wani","acromyotonus"
"waragad","acromonogrammatic"
"waralaba","acromphalus"
"warga","acron"
"warisan","acronal"
"warna","acronarcotic"
"warta","acroneurosis"
"wartawan","acronic"
"wasiat","acronyc"
"wates","acronical"
"watesan","acronycal"
"wawakil","acronically"
"wawancara","acronycally"
"wawasan","acronych"
"wawuh","acronichal"
"wéb","acronychal"
"wengkuan","acronichally"
"wetan","acronychally"
"wétan","acronychous"
"wewenang","Acronycta"
"wewengkon","acronyctous"
"who","acronym"
"wijaksana","acronymic"
"wirahma","acronymically"
"wisata","acronymize"
"Wow","acronymized"
"wujud","acronymizing"
"Yahudi","acronymous"
"yakin","acronyms"
"yayasan","acronym's"
"yudisial","acronyx"
"yurisdiksi","acronomy"
"zaitun","acrook"
"zat","acroparalysis"
"zona","acroparesthesia"
