"Irish","English"
"Óstán","acetylcholinesterase"
"othar","acetylcholinic"
"pá","acetylcyanide"
"pacáiste","acetylenation"
"paidir","acetylene"
"pailme","acetylenediurein"
"painéal","acetylenes"
"painful","acetylenic"
"páipéar","acetylenyl"
"páirc","acetylenogen"
"páirceála","acetylfluoride"
"páirteach","acetylglycin"
"paisean","acetylglycine"
"paiseanta","acetylhydrazine"
"paisinéir","acetylic"
"paiste","acetylid"
"paitinn","acetylide"
"PAL","acetyliodide"
"pálás","acetylizable"
"pale","acetylization"
"palestinian","acetylize"
"pan","acetylized"
"pant","acetylizer"
"pápa","acetylizing"
"paráid","acetylmethylcarbinol"
"paraiméadar","acetylperoxide"
"pas","acetylphenylhydrazine"
"patróil","acetylphenol"
"patrún","acetylrosaniline"
"pc","acetyls"
"peann","acetylsalicylate"
"peanut","acetylsalicylic"
"pearsanra","acetylsalol"
"pearsanta","acetyltannin"
"pearsantacht","acetylthymol"
"peataí","acetyltropeine"
"peil","acetylurea"
"péine","acetimeter"
"péint","acetimetry"
"péinteáil","acetimetric"
"péintéir","acetin"
"péire","acetine"
"peirspictíocht","acetins"
"pháirtí","acetite"
"Pharlaimint","acetize"
"phasáiste","acetla"
"pheaca","acetmethylanilide"
"phost","acetnaphthalide"
"phríomh-","aceto-"
"phriontáil","acetoacetanilide"
"phríosúin","acetoacetate"
"phróiseas","acetoacetic"
"pian","acetoamidophenol"
"pianó","acetoarsenite"
"piaraí","Acetobacter"
"píblíne","acetobenzoic"
"pictiúr","acetobromanilide"
"pie","acetochloral"
"pill","acetocinnamene"
"pillow","acetoin"
"pinsean","acetol"
"piobar","acetolysis"
"pioc","acetolytic"
"píolótach","acetometer"
"pionós","acetometry"
"píopa","acetometric"
"píosa","acetometrical"
"piss","acetometrically"
"pitcher","acetomorphin"
"pizza","acetomorphine"
"plain","acetonaemia"
"pláinéad","acetonaemic"
"plaisteach","acetonaphthone"
"plandaí","acetonate"
"pláta","acetonation"
"plé","acetone"
"pléadáil","acetonemia"
"plean","acetonemic"
"pleanáil","acetones"
"pléascadh","acetonic"
"pléasctha","acetonyl"
"pléisiúr","acetonylacetone"
"plota","acetonylidene"
"plúr","acetonitrile"
"pm","acetonization"
"pobail","acetonize"
"poblacht","acetonuria"
"poblachtánach","acetonurometer"
"póca","acetophenetide"
"POF","acetophenetidin"
"póg","acetophenetidine"
"poiblí","acetophenin"
"póilíní","acetophenine"
"pointe","acetophenone"
"póirse","acetopiperone"
"polaiteoir","acetopyrin"
"polaitíocht","acetopyrine"
"polaitiúil","acetosalicylic"
"poll","acetose"
"pónaire","acetosity"
"ponc","acetosoluble"
"pop","acetostearin"
"port","acetothienone"
"portráid","acetotoluid"
"portray","acetotoluide"
"pósadh","acetotoluidine"
"post","acetous"
"pósta","acetoveratrone"
"póstaer","acetoxyl"
"Pota","acetoxyls"
"praghas","acetoxim"
"praiseach","acetoxime"
"praiticiúla","acetoxyphthalide"
"pras","acetphenetid"
"prátaí","acetphenetidin"
"Preab","acetract"
"preas","acettoluide"
"préimhe","acetum"
"premise","aceturic"
"pribhléid","ACF"
"príobháideach","ACGI"
"príobháideachta","ac-globulin"
"priomh","ACH"
"príomh-","Achab"
"príomhfheidhmeannach","Achad"
"príomhoide","Achaea"
"príomhshrutha","Achaean"
"prionsa","Achaemenes"
"prionsabal","Achaemenian"
"príosúnach","Achaemenid"
"pro","Achaemenidae"
"próifíl","Achaemenides"
"próiseáil","Achaemenidian"
"próiseálaí","Achaemenids"
"próiseas","achaenocarp"
"próitéin","Achaenodon"
"prophet","Achaeta"
"proposition","achaetous"
"prótacal","Achaeus"
"protester","achafe"
"puball","achage"
"Púca","Achagua"
"púdar","Achaia"
"Pulse","Achaian"
"punann","Achakzai"
"punch","achalasia"
"punt","Achamoth"
"quarterback","Achan"
"rabhadh","Achango"
"raca","achape"
"radacaí","achaque"
"radaíocht","achar"
"rádala","acharya"
"radar","Achariaceae"
"radharc","Achariaceous"
"raidhfil","acharne"
"raidió","acharnement"
"railroad","Acharnians"
"ráiteas","achate"
"ráithe","Achates"
"rally","Achatina"
"randamach","Achatinella"
"rang","Achatinidae"
"rangú","achatour"
"ranníocaíocht","Achaz"
"ranníocóir","ache"
"rannpháirtí","acheat"
"rannpháirtíocht","achech"
"raon","acheck"
"rás","ached"
"ráta","acheer"
"rátála","ACHEFT"
"rath","acheilary"
"ráthaíocht","acheilia"
"rathú","acheilous"
"re","acheiria"
"ré","acheirous"
"réabhlóid","acheirus"
"réabhlóideach","Achelous"
"reacht","Achen"
"reachtach","achene"
"reáchtáil","achenes"
"reachtaíocht","achenia"
"reachtas","achenial"
"réad","achenium"
"réadú","achenocarp"
"réalaíoch","achenodia"
"réalta","achenodium"
"réaltacht","acher"
"réalteolaí","Acherman"
"réaltra","Achernar"
"réamhinsint","Acheron"
"réamh-mheas","Acheronian"
"Réamhrá","Acherontic"
"réamhshocraithe","Acherontical"
"réasúnach","aches"
"réasúnta","Acheson"
"reatha","achesoun"
"reibiliúnach","achete"
"réidh","Achetidae"
"réigiún","Acheulean"
"réigiúnach","Acheulian"
"reiligiún","acheweed"
"réimeas","achy"
"réimse","achier"
"réiteach","achiest"
"reitric","achievability"
"reo","achievable"
"reoite","achieve"
"reportedly","achieved"
"resist","achievement"
"Rí","achievements"
"riachtanach","achievement's"
"riachtanas","achiever"
"riail","achievers"
"rialachán","achieves"
"rialáil","achieving"
"rialaíonn","ach-y-fi"
"rialála","achigan"
"rialta","achilary"
"rialtas","achylia"
"rialú","Achill"
"riamh","Achille"
"rian","Achillea"
"riar","Achillean"
"riaracháin","achilleas"
"riarachán","Achilleid"
"riarthóir","achillein"
"ríchathaoir","achilleine"
"ridiculous","Achilles"
"righin","Achillize"
"rinceoir","achillobursitis"
"rindreáil","achillodynia"
"riocht","achilous"
"Ríocht","achylous"
"ríoga","Achimaas"
"ríomh","achime"
"ríomhaire","Achimelech"
"ríomhphost","Achimenes"
"riosca","achymia"
"RIP","achymous"
"rís","Achinese"
"rith","achiness"
"ríthábhachtach","achinesses"
"rithim","aching"
"rival","achingly"
"Rob","achiote"
"robot","achiotes"
"rochtain","achira"
"rogha","Achyranthes"
"roghchlár","achirite"
"roghnaigh","Achyrodes"
"roghnú","Achish"
"roicéad","Achitophel"
"roimh","achkan"
"roimhe","achlamydate"
"roinn","Achlamydeae"
"roinnt","achlamydeous"
"roinnte","achlorhydria"
"ról","achlorhydric"
"rolla","achlorophyllous"
"rollta","achloropsia"
"rollú","achluophobia"
"rómánsúil","Achmed"
"romhainn","Achmetha"
"Rómhánach","achoke"
"rompu","acholia"
"rookie","acholias"
"root","acholic"
"rós","Acholoe"
"roth","acholous"
"rothaí","acholuria"
"rothar","acholuric"
"rub","Achomawi"
"rud","achondrite"
"rudaí","achondritic"
"rugadh","achondroplasia"
"Rúisis","achondroplastic"
"rúitín","achoo"
"rumor","achor"
"rún","achordal"
"rúnaí","Achordata"
"Rush","achordate"
"sábháil","Achorion"
"sábháilte","Achorn"
"sábháilteacht","Achras"
"sac","achree"
"sacar","achroacyte"
"sagart","Achroanthes"
"saibhir","achrodextrin"
"saibhreas","achrodextrinase"
"saighdiúir","achroglobin"
"saighead","achroiocythaemia"
"sailéad","achroiocythemia"
"saill","achroite"
"saincheadúnas","achroma"
"saincheaptha","achromacyte"
"saineolaí","achromasia"
"saineolas","achromat"
"sainmhíniú","achromat-"
"sainordú","achromate"
"sáirsint","Achromatiaceae"
"salach","achromatic"
"salann","achromatically"
"samhain","achromaticity"
"samhlaíocht","achromatin"
"samhradh","achromatinic"
"sampla","achromatisation"
"sannadh","achromatise"
"saoirse","achromatised"
"saol","achromatising"
"saor","achromatism"
"saoráid","Achromatium"
"saoránach","achromatizable"
"saoránacht","achromatization"
"saorga","achromatize"
"saothair","achromatized"
"saotharlainne","achromatizing"
"sáraíonn","achromatocyte"
"sáraitheach","achromatolysis"
"sárú","achromatope"
"sásamh","achromatophil"
"sásta","achromatophile"
"satailíte","achromatophilia"
"scabhta","achromatophilic"
"scagadh","achromatopia"
"scagaire","achromatopsy"
"scáileán","achromatopsia"
"scaip","achromatosis"
"scaipeadh","achromatous"
"scair","achromats"
"scaird","achromaturia"
"scála","achromia"
"scamall","achromic"
"scamhóg","Achromycin"
"scanadh","Achromobacter"
"scannal","Achromobacterieae"
"scannán","achromoderma"
"scanraithe","achromophilous"
"scaoil","achromotrichia"
"scaoileadh","achromous"
"scaoilte","achronical"
"scaoll","achronychous"
"scaradh","achronism"
"scare","achroo-"
"scary","achroodextrin"
"scáth","achroodextrinase"
"scáthán","achroous"
"scéal","achropsia"
"scéalaí","Achsah"
"sceideal","achtehalber"
"scéim","achtel"
"sceimhle","achtelthaler"
"sceimhlitheoireacht","achter"
"sceimhlitheoireachta","achterveld"
"sceitheadh","Achuas"
"sceitimíní","achuete"
"sciála","acy"
"scian","acyanoblepsia"
"sciath","acyanopsia"
"sciathán","acichlorid"
"scil","acichloride"
"scioból","acyclic"
"sciorta","acyclically"
"Scipeáil","acicula"
"scíth","aciculae"
"sclábhaíocht","acicular"
"scoil","acicularity"
"scoilt","acicularly"
"scoirfidh","aciculas"
"scoláire","aciculate"
"scoláireacht","aciculated"
"sconna","aciculum"
"scor","aciculums"
"scór","acid"
"scornach","acidaemia"
"scothaosta","Acidalium"
"scratch","Acidanthera"
"scread","Acidaspis"
"scríbhneoir","acid-binding"
"scríobh","acidemia"
"scríofa","acidemias"
"scrios","acider"
"scriosadh","acid-fast"
"script","acid-fastness"
"scripture","acid-forming"
"scriú","acidhead"
"scrúdú","acid-head"
"scuab","acidheads"
"scuad","acidy"
"sé","acidic"
"sea","acidiferous"
"seachadadh","acidify"
"seachas","acidifiable"
"seacht","acidifiant"
"seachtaine","acidific"
"seachtrach","acidification"
"seachtú","acidified"
"seacláid","acidifier"
"séadchomhartha","acidifiers"
"seaicéad","acidifies"
"séala","acidifying"
"sealadach","acidyl"
"Sean","acidimeter"
"Seanad","acidimetry"
"séanadh","acidimetric"
"seanadóir","acidimetrical"
"seanathair","acidimetrically"
"seanmháthair","acidite"
"seanmóir","acidity"
"seánra","acidities"
"seans","acidize"
"Seapánach","acidized"
"searbh","acidizing"
"searmanas","acidly"
"seasamh","acidness"
"seasann","acidnesses"
"seasta","acidogenic"
"séasúr","acidoid"
"secular","acidolysis"
"seiceáil","acidology"
"seicheamh","acidometer"
"seilbh","acidometry"
"seilf","acidophil"
"seirbhís","acidophile"
"seirbhíseach","acidophilic"
"seisear","acidophilous"
"seisiún","acidophilus"
"seo","acidoproteolytic"
"seó","acidoses"
"seodra","acidosis"
"seol","acidosteophyte"
"seoladh","acidotic"
"seomra","acidproof"
"séú","acids"
"sexy","acid-treat"
"Sféar","acidulant"
"shábháil","acidulate"
"shainiú","acidulated"
"shamhlú","acidulates"
"shannadh","acidulating"
"shaothrú","acidulation"
"shárú","acidulent"
"shásamh","acidulous"
"sheachadadh","acidulously"
"sheachaint","acidulousness"
"shealbhú","aciduria"
"shíl","acidurias"
"Shine","aciduric"
"shirriam","Acie"
"shocrú","acier"
"shoiléiriú","acierage"
"sholáthar","Acieral"
"shonraigh","acierate"
"shoot","acierated"
"shout","acierates"
"shriantacht","acierating"
"shrug","acieration"
"shuiteáil","acies"
"sí","acyesis"
"siad","acyetic"
"siamsaíocht","aciform"
"siar","acyl"
"sibhialta","acylal"
"sibhialtacht","acylamido"
"síceolaí","acylamidobenzene"
"síceolaíoch","acylamino"
"síceolaíocht","acylase"
"sicín","acylate"
"sidewalk","acylated"
"simplí","acylates"
"sin","acylating"
"síneadh","acylation"
"Sing","aciliate"
"singil","aciliated"
"Sínis","Acilius"
"síniú","acylogen"
"sinsear","acyloin"
"sinsearach","acyloins"
"síocháin","acyloxy"
"síochánta","acyloxymethane"
"síoda","acyls"
"síolta","Acima"
"siondróm","acinaceous"
"siopa","acinaces"
"siopadóireacht","acinacifoliate"
"siorc","acinacifolious"
"síos","acinaciform"
"siúcra","acinacious"
"siúd","acinacity"
"siúl","acinar"
"siúlóid","acinary"
"skull","acinarious"
"slabhra","Acineta"
"sláinte","Acinetae"
"sláintiúil","acinetan"
"slam","Acinetaria"
"slán","acinetarian"
"slándála","acinetic"
"slap","acinetiform"
"slat","Acinetina"
"sleamhnán","acinetinan"
"sliabh","acing"
"slice","acini"
"sliocht","acinic"
"sliseanna","aciniform"
"slua","acinose"
"smacht","acinotubular"
"smachtbhanna","acinous"
"smaoineamh","acinuni"
"smeach","acinus"
"smideadh","acious"
"smig","Acipenser"
"smután","Acipenseres"
"snagcheol","acipenserid"
"snáithe","Acipenseridae"
"snáithín","acipenserine"
"snámh","acipenseroid"
"snámhphointe","Acipenseroidei"
"snáthaid","acyrology"
"sneachta","acyrological"
"sneak","Acis"
"sochaí","acystia"
"sochair","acitate"
"sochraid","acity"
"sócmhainní","aciurgy"
"socrú","ACK"
"socrúchán","ack-ack"
"sofaisticiúil","ackee"
"soghluaiste","ackees"
"sóid","ackey"
"sóidiam","ackeys"
"soiléir","Acker"
"soinneáin","Ackerley"
"soir","Ackerly"
"soiscéal","Ackerman"
"sóisearach","Ackermanville"
"sóisialta","Ackley"
"soith","Ackler"
"soitheach","ackman"
"Sóivéadach","ackmen"
"soladach","acknew"
"soláthar","acknow"
"soláthraí","acknowing"
"solúbtha","acknowledge"
"solúbthacht","acknowledgeable"
"sonas","acknowledged"
"sonrach","acknowledgedly"
"sonraí","acknowledgement"
"sort","acknowledgements"
"sos","acknowledger"
"Spainnis","acknowledgers"
"sparán","acknowledges"
"spártha","acknowledging"
"spás","acknowledgment"
"speicis","acknowledgments"
"speictream","acknowledgment's"
"spéir","acknown"
"speisialaithe","ack-pirate"
"speisialta","ackton"
"speisialtóireacht","Ackworth"
"spiorad","ACL"
"spioradálta","aclastic"
"spit","acle"
"splanc","acleidian"
"spórt","acleistocardia"
"spota","acleistous"
"spréach","Aclemon"
"spreagadh","aclydes"
"spreagfaidh","aclidian"
"spreagúil","aclinal"
"sprioc","aclinic"
"spriocdháta","aclys"
"spy","a-clock"
"squeeze","acloud"
"Sracfhéachaint","ACLS"
"sráidbhaile","ACLU"
"sráide","ACM"
"sraith","Acmaea"
"Sraith","Acmaeidae"
"sreabhadh","acmaesthesia"
"sreabhán","acmatic"
"sreang","acme"
"srian","acmes"
"srl","acmesthesia"
"sroicheadh","acmic"
"srón","Acmispon"
"sruth","acmite"
"sruthán","Acmon"
"stad","acne"
"stádas","acned"
"staid","acneform"
"staidéar","acneiform"
"staidiam","acnemia"
"staidrimh","acnes"
"staighre","Acnida"
"stailc","acnodal"
"stair","acnode"
"staire","acnodes"
"stairiúil","ACO"
"stáisiún","acoasm"
"staitisticí","acoasma"
"stampa","a-coast"
"star","Acocanthera"
"staraí","acocantherin"
"stare","acock"
"steak","acockbill"
"steal","a-cock-bill"
"stiall","a-cock-horse"
"stíl","acocotl"
"stir","Acoela"
"stiúrthóir","Acoelomata"
"stoc","acoelomate"
"stoca","acoelomatous"
"stocaireacht","Acoelomi"
"stoic","acoelomous"
"stoirm","acoelous"
"stoptar","Acoemetae"
"stór","Acoemeti"
"storage","Acoemetic"
"stráice","acoenaesthesia"
"strainséir","ACOF"
"straitéis","acoin"
"straitéiseach","acoine"
"streachailt","Acol"
"streak","Acolapissa"
"stróc","acold"
"struchtúr","Acolhua"
"struchtúrtha","Acolhuan"
"strus","acolyctine"
"studio","acolyte"
"stumble","acolytes"
"sú","acolyth"
"suaiteach","acolythate"
"suas","acolytus"
"substaint","acology"
"substaintiúil","acologic"
"sue","acolous"
"suí","acoluthic"
"súil","Acoma"
"sÚil","acomia"
"suim","acomous"
"suimiúil","a-compass"
"suíochán","aconative"
"suíomh","Aconcagua"
"suirbhé","acondylose"
"suite","acondylous"
"Suiteáil","acone"
"suntasach","aconelline"
"Super","aconic"
"supposedly","aconin"
"surely","aconine"
"swallow","aconital"
"swear","aconite"
"sweep","aconites"
"sweetheart","aconitia"
"swing","aconitic"
"symptom","aconitin"
"syrian","aconitine"
"tábhacht","Aconitum"
"tábhachtach","aconitums"
"tabhair","acontia"
"tábla","Acontias"
"tablet","acontium"
"tacaíocht","Acontius"
"tacsaí","aconuresis"
"tactic","acool"
"tacúil","acop"
"tae","acopic"
"Taespúnóg","acopyrin"
"tag","acopyrine"
"tagairt","acopon"
"taibheoir","acor"
"taibhseach","acorea"
"taidhleoireachta","acoria"
"Taifeach","acorn"
"taifead","acorned"
"taifeadadh","acorns"
"taighde","acorn's"
"taighdeoir","acorn-shell"
"táille","Acorus"
"tairbheach","acosmic"
"táirge","acosmism"
"táirgeadh","acosmist"
"táirgiúil","acosmistic"
"táirgiúlacht","acost"
"tairisceana","Acosta"
"tairiscint","acotyledon"
"tairiseach","acotyledonous"
"tairseach","acouasm"
"taisce","acouchi"
"taisceadán","acouchy"
"taiscéalaíocht","acoumeter"
"taismeach","acoumetry"
"taispeáint","acounter"
"taispeántais","acouometer"
"taispeántas","acouophonia"
"taisteal","acoup"
"taithí","acoupa"
"taitneamhach","acoupe"
"talamh","acousma"
"tallann","acousmas"
"talmhaíocht","acousmata"
"talmhaíochta","acousmatic"
"tanaí","acoustic"
"tánaisteach","acoustical"
"taobh","acoustically"
"taoide","acoustician"
"taos","acoustico-"
"tapa","acousticolateral"
"tapaidh","Acousticon"
"tarbh","acousticophobia"
"tarlú","acoustics"
"tarraiceán","acoustoelectric"
"tarraing","ACP"
"tarraingt","acpt"
"tarraingteach","acpt."
"tarrthála","Acquah"
"tasc","acquaint"
"tásc","acquaintance"
"táscaire","acquaintances"
"tástáil","acquaintance's"
"tatú","acquaintanceship"
"te","acquaintanceships"
"teach","acquaintancy"
"teacht","acquaintant"
"teachtaireacht","acquainted"
"téacs","acquaintedness"
"téacsleabhar","acquainting"
"téad","acquaints"
"teagaisc","Acquaviva"
"teagasc","acquent"
"teagascóir","acquereur"
"teaghlach","acquest"
"teaghlaigh","acquests"
"teaglaim","acquiesce"
"teagmháil","acquiesced"
"teagmhas","acquiescement"
"téama","acquiescence"
"téamh","acquiescences"
"teammate","acquiescency"
"teampall","acquiescent"
"teanga","acquiescently"
"teannas","acquiescer"
"téarma","acquiesces"
"téarmaí","acquiescing"
"teas","acquiescingly"
"tech","acquiesence"
"teen","acquiet"
"teicneolaíocht","acquirability"
"teicneolaíochta","acquirable"
"teicníc","acquire"
"teideal","acquired"
"teileafón","acquirement"
"teileascóp","acquirements"
"teilgean","acquirenda"
"Teilifís","acquirer"
"teip","acquirers"
"téip","acquires"
"teiripe","acquiring"
"teiripeoir","acquisible"
"teist","acquisita"
"teitheadh","acquisite"
"teocht","acquisited"
"teoiric","acquisition"
"teoiriciúil","acquisitional"
"teorainn","acquisitions"
"teorann","acquisition's"
"teorannú","acquisitive"
"teoranta","acquisitively"
"terrific","acquisitiveness"
"thacadóir","acquisitor"
"thairiscint","acquisitum"
"thaispeáint","acquist"
"thar","acquit"
"tharlaíonn","acquital"
"thart","acquitment"
"theicniúil","acquits"
"theipeann","acquittal"
"thief","acquittals"
"thiomána","acquittance"
"thionscnamh","acquitted"
"thíos","acquitter"
"thógáil","acquitting"
"thoir","acquophonia"
"thráchtáil","acr-"
"threalmhú","Acra"
"thréigean","Acrab"
"Thuaidh","acracy"
"thuar","Acraea"
"thuilleamh","acraein"
"thuirlingt","Acraeinae"
"ticéad","acraldehyde"
"tighearna","Acrania"
"till","acranial"
"timpeall","acraniate"
"timpeallacht","acrasy"
"timpiste","acrasia"
"timthriall","Acrasiaceae"
"tine","Acrasiales"
"tinn","acrasias"
"tinneas","Acrasida"
"tinreamh","Acrasieae"
"tintreach","acrasin"
"Tíogair","acrasins"
"tíolacadh","Acraspeda"
"tiomáint","acraspedote"
"Tiomána","acratia"
"tiománaí","acraturesis"
"tiomantas","acrawl"
"tionchar","acraze"
"tionól","Acre"
"tionscadal","acreable"
"tionscail","acreage"
"tionscal","acreages"
"tionscnaimh","acreak"
"tionscnamh","acream"
"tiontaigh","acred"
"tip","acre-dale"
"tipiciúil","Acredula"
"tír","acre-foot"
"tírdhreach","acre-inch"
"tíre","acreman"
"tirim","acremen"
"tithíocht","Acres"
"titim","acre's"
"tiubh","acrestaff"
"tiúchan","a-cry"
"t-léine","acrid"
"tobac","acridan"
"tobann","acridane"
"tochailt","acrider"
"tocsaineach","acridest"
"todhchaí","acridian"
"tóg","acridic"
"tógála","acridid"
"toghaí","Acrididae"
"toghchán","Acridiidae"
"toghranna","acridyl"
"togra","acridin"
"toiliú","acridine"
"toilteanach","acridines"
"toilteanas","acridinic"
"toimhde","acridinium"
"tointeála","acridity"
"tóir","acridities"
"toircheas","Acridium"
"toirmeasc","Acrydium"
"toirt","acridly"
"toitíní","acridness"
"tollán","acridnesses"
"tomhaltóirí","acridone"
"tomhas","acridonium"
"ton","acridophagus"
"tonn","acriflavin"
"topaic","acriflavine"
"tor","acryl"
"toradh","acrylaldehyde"
"torann","Acrilan"
"torthaí","acrylate"
"tosaigh","acrylates"
"tosaíocht","acrylic"
"tosaithe","acrylics"
"toss","acrylyl"
"tost","acrylonitrile"
"tosú","acrimony"
"tournament","acrimonies"
"trá","acrimonious"
"trácht","acrimoniously"
"tráchtaireacht","acrimoniousness"
"tráchtála","acrindolin"
"tráchtearra","acrindoline"
"Trádáil","acrinyl"
"trádála","acrisy"
"traein","acrisia"
"traenálaí","Acrisius"
"tragóid","Acrita"
"tragóideach","acritan"
"traidisiún","acrite"
"traidisiúnta","acrity"
"tráma","acritical"
"tras","acritochromacy"
"trasna","acritol"
"tras-seoladh","acritude"
"trátaí","ACRNEMA"
"tráthnóna","acro-"
"trealamh","Acroa"
"treibhe","acroaesthesia"
"tréimhse","acroama"
"tréith","acroamata"
"tréitheacha","acroamatic"
"treo","acroamatical"
"treocht","acroamatics"
"treoir","acroanesthesia"
"treoirlíne","acroarthritis"
"treoshuíomh","acroasis"
"triail","acroasphyxia"
"trick","acroataxia"
"tríd","acroatic"
"trilliún","acrobacy"
"trioblóid","acrobacies"
"tríocha","acrobat"
"tríú","Acrobates"
"triúr","acrobatholithic"
"trodaire","acrobatic"
"troid","acrobatical"
"trom","acrobatically"
"tromchúiseach","acrobatics"
"tromlach","acrobatism"
"trópaiceach","acrobats"
"troscán","acrobat's"
"trua","acrobystitis"
"truaillithe","acroblast"
"truailliú","acrobryous"
"trucail","Acrocarpi"
"truflais","acrocarpous"
"truicir","acrocentric"
"trúpaí","acrocephaly"
"tsiombail","acrocephalia"
"tú","acrocephalic"
"tuáille","acrocephalous"
"tuairim","Acrocera"
"tuairimíocht","Acroceratidae"
"tuairisc","Acroceraunian"
"tuairisceoir","Acroceridae"
"tuairisciú","Acrochordidae"
"tuairteála","Acrochordinae"
"tuaithe","acrochordon"
"tuarascáil","acrocyanosis"
"tuarastal","acrocyst"
"Tubaiste","acrock"
"Tuck","Acroclinium"
"tugadh","Acrocomia"
"tuig","acroconidium"
"tuile","acrocontracture"
"tuilleamh","acrocoracoid"
"tuinairde","Acrocorinth"
"tuirlingt","acrodactyla"
"tuirseach","acrodactylum"
"tuiscint","acrodermatitis"
"tuismitheoir","acrodynia"
"tuismitheora","acrodont"
"túr","acrodontism"
"turas","acrodonts"
"turasóireachta","acrodrome"
"turcaí","acrodromous"
"turgnamh","Acrodus"
"turgnamhach","acroesthesia"
"turraing","acrogamy"
"turtle","acrogamous"
"tús","acrogen"
"tusa","acrogenic"
"tv","acrogenous"
"twitter","acrogenously"
"uacht","acrogens"
"uachtar","Acrogynae"
"Uachtarach","acrogynous"
"uachtaracha","acrography"
"uachtaráin","acrolein"
"uachtarán","acroleins"
"uachtaránacht","acrolith"
"uafásach","acrolithan"
"Uafásach","acrolithic"
"uaigh","acroliths"
"uaigneach","acrology"
"uaillmhian","acrologic"
"uaillmhianach","acrologically"
"uaimh","acrologies"
"uainiú","acrologism"
"uaireanta","acrologue"
"ualach","acromania"
"uamhnach","acromastitis"
"uasal","acromegaly"
"uasghrádú","acromegalia"
"uasmhéid","acromegalic"
"uasteorainn","acromegalies"
"uathoibríoch","acromelalgia"
"uathúil","acrometer"
"ubh","acromia"
"údar","acromial"
"údaraíonn","acromicria"
"údarás","acromimia"
"uh","acromioclavicular"
"uh-huh","acromiocoracoid"
"Uíbh","acromiodeltoid"
"uilíoch","Acromyodi"
"uillinn","acromyodian"
"uimhir","acromyodic"
"úinéir","acromyodous"
"úinéireacht","acromiohyoid"
"uirbeach","acromiohumeral"
"uirlis","acromion"
"uisce","acromioscapular"
"úll","acromiosternal"
"ullmhú","acromiothoracic"
"ullmhúchán","acromyotonia"
"um","acromyotonus"
"umar","acromonogrammatic"
"uncail","acromphalus"
"uncover","acron"
"unfold","acronal"
"unidentified","acronarcotic"
"unsa","acroneurosis"
"urghabháil","acronic"
"urghnách","acronyc"
"urlabhra","acronical"
"urlabhraí","acronycal"
"urlár","acronically"
"urraitheoir","acronycally"
"úrscéal","acronych"
"úsáid","acronichal"
"úsáideach","acronychal"
"úsáidtear","acronichally"
"useless","acronychally"
"vacsaín","acronychous"
"vaigín","Acronycta"
"valley","acronyctous"
"vampire","acronym"
"Vanish","acronymic"
"veain","acronymically"
"versa","acronymize"
"veteran","acronymized"
"via","acronymizing"
"víreas","acronymous"
"vitimín","acronyms"
"vóta","acronym's"
"vótáil","acronyx"
"vótaíocht","acronomy"
"vótálaí","acrook"
"vs.","acroparalysis"
"wander","acroparesthesia"
"weed","acropathy"
"whale","acropathology"
"whoa","acropetal"
"whoever","acropetally"
"wilderness","acrophobia"
"wipe","acrophonetic"
"WOW","acrophony"
"wrap","acrophonic"
"wrist","acrophonically"
"yell","acrophonies"
"yep","acropodia"
