"Finnish","English"
"rakastettavasti","carb-"
"rakastettu","carbachol"
"rakastua","carbacidometer"
"rakeinen","carbamate"
"rakeistaa","carbamic"
"rakeisuus","carbamide"
"rakenne","carbamidine"
"rakennekaava","carbamido"
"rakennekehitys","carbamyl"
"rakennella","carbamyls"
"rakennelma","carbamine"
"rakennemuutos","carbamino"
"rakenneosa","carbamoyl"
"rakennepiirustus","carbanil"
"rakenneteräs","carbanilic"
"rakennetyöttömyys","carbanilid"
"rakennevika","carbanilide"
"rakennus","carbanion"
"rakennusaine","carbaryl"
"rakennusaineteollisuus","carbaryls"
"rakennusakustiikka","carbarn"
"rakennusala","carbarns"
"rakennusarkkitehti","carbasus"
"rakennuselementti","carbazic"
"rakennushanke","carbazide"
"rakennushomma","carbazylic"
"rakennusinsinööri","carbazin"
"rakennusjärjestys","carbazine"
"rakennusjäte","carbazole"
"rakennuskanta","carbeen"
"rakennuskelpoinen","carbene"
"rakennuskeramiikka","Carberry"
"rakennuskielto","carbethoxy"
"rakennuskivi","carbethoxyl"
"rakennuskompleksi","carby"
"rakennuskone","carbide"
"rakennuskorkeus","carbides"
"rakennuskustannukset","carbyl"
"rakennuslasi","carbylamine"
"rakennuslevy","carbimide"
"rakennusliike","carbin"
"rakennuslupa","carbine"
"rakennusmaa","carbineer"
"rakennusmaalari","carbineers"
"rakennusmateriaali","carbines"
"rakennusmestari","carbinyl"
"rakennusmies","carbinol"
"rakennusmuovi","carbinols"
"rakennusneuvos","Carbo"
"rakennusoikeus","carbo-"
"rakennusosa","carboazotine"
"rakennuspalikka","carbocer"
"rakennuspiirtäjä","carbocyclic"
"rakennuspiirustus","carbocinchomeronic"
"rakennuspohja","carbodiimide"
"rakennuspuu","carbodynamite"
"rakennuspuuseppä","carbogelatin"
"rakennuspuusepänteollisuus","carbohemoglobin"
"rakennusrasite","carbohydrase"
"rakennusryhmä","carbohydrate"
"rakennussarja","carbo-hydrate"
"rakennusselitys","carbohydrates"
"rakennussuojelu","carbohydraturia"
"rakennussuunnitelma","carbohydrazide"
"rakennustaide","carbohydride"
"rakennustaiteellinen","carbohydrogen"
"rakennustarkastaja","carboy"
"rakennustarkastus","carboyed"
"rakennustarvike","carboys"
"rakennustekniikka","carbolate"
"rakennustekninen","carbolated"
"rakennusteline","carbolating"
"rakennustensuojelu","carbolfuchsin"
"rakennusteräs","carbolic"
"rakennustoiminta","carbolics"
"rakennustuotanto","carboline"
"rakennustyyli","carbolineate"
"rakennustyö","Carbolineum"
"rakennustyöläinen","carbolise"
"rakennustyömaa","carbolised"
"rakennustyömies","carbolising"
"rakennusurakka","carbolize"
"rakennusurakointi","carbolized"
"rakennusurakoitsija","carbolizes"
"rakennusvalvonta","carbolizing"
"rakennusvienti","Carboloy"
"rakennusyhtiö","carboluria"
"rakennuttaa","carbolxylol"
"rakennuttaja","carbomethene"
"rakennuttajakonsultti","carbomethoxy"
"rakentaa","carbomethoxyl"
"rakentaja","carbomycin"
"rakentamaton","carbon"
"rakentava","Carbona"
"rakenteellinen","carbonaceous"
"rakenteellisesti","carbonade"
"rakenteilla","Carbonado"
"rakenteille","carbonadoed"
"rakenteinen","carbonadoes"
"rakenteistaa","carbonadoing"
"rakenteisuus","carbonados"
"rakentelu","Carbonari"
"rakentua","Carbonarism"
"raketinheitin","Carbonarist"
"raketti","Carbonaro"
"rakettiammus","carbonatation"
"rakettiase","carbonate"
"rakettimainen","carbonated"
"rakettimoottori","carbonates"
"rakettipolttoaine","carbonating"
"raki","carbonation"
"rakka","carbonations"
"rakkamaa","carbonatization"
"rakkaudenjumala","carbonator"
"rakkaudenoppi","carbonators"
"rakkaudenosoitus","Carboncliff"
"rakkaudenteko","Carbondale"
"rakkaudentunnustus","Carbone"
"rakkaudeton","carboned"
"rakkaudettomuus","carbonemia"
"rakkaus","carbonero"
"rakkausaiheinen","carbones"
"rakkausasiat","Carboni"
"rakkausavioliitto","carbonic"
"rakkausdraama","carbonide"
"rakkauselokuva","Carboniferous"
"rakkauselämä","carbonify"
"rakkausjuttu","carbonification"
"rakkauskertomus","carbonigenous"
"rakkauskirje","carbonyl"
"rakkauskohtaus","carbonylate"
"rakkauslaulu","carbonylated"
"rakkauslyriikka","carbonylating"
"rakkausromaani","carbonylation"
"rakkausruno","carbonylene"
"rakkausseikkailu","carbonylic"
"rakkaussuhde","carbonyls"
"rakkaustarina","carbonimeter"
"rakki","carbonimide"
"rakkikoira","carbonisable"
"rakkine","carbonisation"
"rakko","carbonise"
"rakkoinen","carbonised"
"rakkokasvain","carboniser"
"rakkokivi","carbonising"
"rakkolasi","carbonite"
"rakkolevä","carbonitride"
"rakkotulehdus","carbonium"
"rakkula","carbonizable"
"rakkulaihottuma","carbonization"
"rakkulainen","carbonize"
"rakkulamainen","carbonized"
"rakletti","carbonizer"
"raklettigrilli","carbonizers"
"raklettijuusto","carbonizes"
"rako","carbonizing"
"rakoilematon","carbonless"
"rakoilla","Carbonnieux"
"rakoilu","carbonometer"
"rakoinen","carbonometry"
"rakolista","carbonous"
"rakonen","carbons"
"rakontähystin","carbon's"
"rakontähystys","carbonuria"
"rakosellaan","carbophilous"
"rakosuutin","carbora"
"rakottua","carboras"
"rakotuli","car-borne"
"rakotulkki","Carborundum"
"rakovalkea","carbosilicate"
"raksa","carbostyril"
"raksaa","carboxy"
"raksahdella","carboxide"
"raksahdus","Carboxydomonas"
"raksahtaa","carboxyhemoglobin"
"raksahtelu","carboxyl"
"raksauttaa","carboxylase"
"raksi","carboxylate"
"raksia","carboxylated"
"raksua","carboxylating"
"raksuttaa","carboxylation"
"raksutus","carboxylic"
"rakuuna","carboxyls"
"rallatella","carboxypeptidase"
"rallattaa","Carbrey"
"rallattelu","carbro"
"rallatus","carbromal"
"ralli","carbs"
"ralliajaja","carbuilder"
"ralliajo","carbuncle"
"ralliauto","carbuncled"
"ralliautoilija","carbuncles"
"ralliautoilu","carbuncular"
"rallicross","carbunculation"
"rallikilpailu","carbungi"
"rallireitti","carburan"
"ralliurheilu","carburant"
"ramadan","carburate"
"ramaista","carburated"
"rambo","carburating"
"rambutani","carburation"
"ramina","carburator"
"rampa","carbure"
"rampaantua","carburet"
"rampata","carburetant"
"rampauttaa","carbureted"
"rampautua","carbureter"
"ramppi","carburetest"
"ramppikuume","carbureting"
"ramppivalot","carburetion"
"rampuus","carburetor"
"rangaista","carburetors"
"rangaistava","carburets"
"rangaistavuus","carburetted"
"rangaistus","carburetter"
"rangaistusaika","carburetting"
"rangaistusaitio","carburettor"
"rangaistusalue","carburisation"
"rangaistusasteikko","carburise"
"rangaistusheitto","carburised"
"rangaistuskeino","carburiser"
"rangaistuskoppi","carburising"
"rangaistuslaitos","carburization"
"rangaistuslaukaus","carburize"
"rangaistuslyönti","carburized"
"rangaistusmerkintä","carburizer"
"rangaistusmääräysmenettely","carburizes"
"rangaistusperuste","carburizing"
"rangaistuspotku","carburometer"
"rangaistuspotkukilpailu","carcajou"
"rangaistusseuraamus","carcajous"
"rangaistusvaatimus","carcake"
"rangaistusvankeus","carcan"
"rangaistusvanki","carcanet"
"rangi","carcaneted"
"ranka","carcanets"
"rankahake","carcanetted"
"rankaisija","Carcas"
"rankaisu","carcase"
"rankaisukeino","carcased"
"rankaisutapa","carcases"
"rankaisutoimi","carcasing"
"rankaisuvalta","carcass"
"rankasti","carcassed"
"rankata","carcasses"
"ranketa","carcassing"
"ranki","carcassless"
"rankinglista","Carcassonne"
"rankka","carcass's"
"rankkari","Carcavelhos"
"rankkasade","Carce"
"rankkaus","carceag"
"rankki","carcel"
"rankkitynnyri","carcels"
"rankkuri","carcer"
"ranko","carceral"
"rannansiirtyminen","carcerate"
"rannaton","carcerated"
"ranne","carcerating"
"rannehihna","carceration"
"rannehälytin","carcerist"
"ranneke","Carcharhinus"
"rannekello","Carcharias"
"ranneketju","carchariid"
"rannekompassi","Carchariidae"
"rannekoru","carcharioid"
"rannelaukaus","Carcharodon"
"rannelaukku","carcharodont"
"ranneliike","Carchemish"
"ranneluu","carcin-"
"rannemmaksi","carcinemia"
"rannemmalla","carcinogen"
"rannemmalle","carcinogeneses"
"rannemmalta","carcinogenesis"
"rannemmas","carcinogenic"
"rannempaa","carcinogenicity"
"rannempana","carcinogenics"
"rannenivel","carcinogens"
"ranneote","carcinoid"
"rannepaino","carcinolysin"
"rannerengas","carcinolytic"
"rannetuki","carcinology"
"rannikki","carcinological"
"rannikko","carcinologist"
"rannikkoalue","carcinoma"
"rannikkoalus","carcinomas"
"rannikkoasema","carcinomata"
"rannikkojääkäri","carcinomatoid"
"rannikkokalastus","carcinomatosis"
"rannikkokanava","carcinomatous"
"rannikkokaupunki","carcinomorphic"
"rannikkolaivasto","carcinophagous"
"rannikkolaivuri","carcinophobia"
"rannikkoliikenne","carcinopolypus"
"rannikkomerenkulku","carcinosarcoma"
"rannikkopatteri","carcinosarcomas"
"rannikkopuolustus","carcinosarcomata"
"rannikkoseutu","Carcinoscorpius"
"rannikkotykistö","carcinosis"
"rannikkotykki","carcinus"
"rannikkovaltio","carcoon"
"rannikkovartiolaiva","Card"
"rannikkovesi","Card."
"rannikkoväestö","cardaissin"
"rannikkoväylä","Cardale"
"rannimmainen","Cardamine"
"rannimmaksi","cardamom"
"rannimmas","cardamoms"
"rannimpaa","cardamon"
"rannimpana","cardamons"
"ranska","cardamum"
"ranskalainen","cardamums"
"ranskalaistaa","Cardanic"
"ranskalaistua","cardanol"
"ranskankerma","Cardanus"
"ranskankielinen","cardboard"
"ranskanleipä","cardboards"
"ranskannos","card-carrier"
"ranskanperunat","card-carrying"
"ranskantaa","cardcase"
"ranskatar","cardcases"
"ranskis","cardcastle"
"ranta","card-counting"
"rantaantua","card-cut"
"rantaelämä","card-cutting"
"rantahiekka","card-devoted"
"rantahietikko","Cardea"
"rantahotelli","cardecu"
"rantakaava","carded"
"rantakahvila","cardel"
"rantakaislikko","Cardenas"
"rantakala","Carder"
"rantakallio","carders"
"rantakana","Cardew"
"rantakasvi","cardholder"
"rantakasvillisuus","cardholders"
"rantakatu","cardhouse"
"rantakirppu","cardi-"
"rantakivi","cardia"
"rantakivikko","cardiac"
"rantakoivikko","cardiacal"
"rantakoivu","Cardiacea"
"rantakukka","cardiacean"
"rantakäärme","cardiacle"
"rantaleijona","cardiacs"
"rantaleikki","cardiae"
"rantalentopallo","cardiagra"
"rantaloma","cardiagram"
"rantama","cardiagraph"
"rantamaisema","cardiagraphy"
"rantamatalikko","cardial"
"rantamerkki","cardialgy"
"rantamuodostuma","cardialgia"
"rantamuoti","cardialgic"
"rantamökki","cardiameter"
"rantaniitty","cardiamorphia"
"rantaoikeus","cardianesthesia"
"rantapalle","cardianeuria"
"rantapallo","cardiant"
"rantapalsta","cardiaplegia"
"rantapatja","cardiarctia"
"rantapenger","cardias"
"rantapuku","cardiasthenia"
"rantaremmi","cardiasthma"
"rantarosvo","cardiataxia"
"rantaruotsalainen","cardiatomy"
"rantasappi","cardiatrophia"
"rantasauna","cardiauxe"
"rantasipi","Cardiazol"
"rantatie","cardicentesis"
"rantatontti","Cardie"
"rantatuoli","cardiectasis"
"rantatörmä","cardiectomy"
"rantatöyräs","cardiectomize"
"rantautua","cardielcosis"
"rantavahti","cardiemphraxia"
"rantavalli","Cardiff"
"rantavaltio","cardiform"
"rantavehnä","Cardiga"
"rantavesi","Cardigan"
"rantaviiva","cardigans"
"rantavyöhyke","Cardiganshire"
"rantayrtti","Cardiidae"
"rantojensuojelu","Cardijn"
"rantsu","Cardin"
"ranttaliksi","Cardinal"
"rantu","cardinalate"
"raollaan","cardinalated"
"raolleen","cardinalates"
"raotella","cardinal-bishop"
"raottaa","cardinal-deacon"
"raottua","cardinalfish"
"rap","cardinalfishes"
"rapa","cardinal-flower"
"rapainen","cardinalic"
"rapajuoppo","Cardinalis"
"rapakalja","cardinalism"
"rapakeli","cardinalist"
"rapakivi","cardinality"
"rapakko","cardinalitial"
"rapakontakainen","cardinalitian"
"rapakunto","cardinalities"
"rapakuntoinen","cardinality's"
"raparperi","cardinally"
"raparperihillo","cardinal-priest"
"raparperikeitto","cardinal-red"
"raparperikiisseli","cardinals"
"raparperimehu","cardinalship"
"raparperipiirakka","Cardinas"
"rapata","card-index"
"rapauttaa","cardines"
"rapautua","carding"
"rapautumissora","cardings"
"rapea","Cardington"
"rapeakuorinen","cardio-"
"rapeus","cardioaccelerator"
"rapeutua","cardio-aortic"
"rapiat","cardioarterial"
"rapina","cardioblast"
"rapista","cardiocarpum"
"rapistella","cardiocele"
"rapistua","cardiocentesis"
"rapisuttaa","cardiocirrhosis"
"raplata","cardioclasia"
"rapmusiikki","cardioclasis"
"raportoida","cardiod"
"raportointi","cardiodilator"
"raportti","cardiodynamics"
"rappaaja","cardiodynia"
"rappari","cardiodysesthesia"
"rappaus","cardiodysneuria"
"rappauslaasti","cardiogenesis"
"rappauspinta","cardiogenic"
"rappausverkko","cardiogram"
"rappeuma","cardiograms"
"rappeuttaa","cardiograph"
"rappeutua","cardiographer"
"rappeutuma","cardiography"
"rappeutumissairaus","cardiographic"
"rappio","cardiographies"
"rappioalkoholisti","cardiographs"
"rappioittaa","cardiohepatic"
"rappioitua","cardioid"
"rappiotila","cardioids"
"rappu","cardio-inhibitory"
"rappukäytävä","cardiokinetic"
"rappunen","cardiolysis"
"rapsaa","cardiolith"
"rapsahdella","cardiology"
"rapsahdus","cardiologic"
"rapsahtaa","cardiological"
"rapsakka","cardiologies"
"rapsaus","cardiologist"
"rapsauttaa","cardiologists"
"rapse","cardiomalacia"
"rapsi","cardiomegaly"
"rapsia","cardiomegalia"
"rapsikakku","cardiomelanosis"
"rapsikuoriainen","cardiometer"
"rapsipelto","cardiometry"
"rapsipistiäinen","cardiometric"
"rapsiöljy","cardiomyoliposis"
"rapsodia","cardiomyomalacia"
"rapsodinen","cardiomyopathy"
"rapsu","cardiomotility"
"rapsutella","cardioncus"
"rapsuttaa","cardionecrosis"
"rapsutus","cardionephric"
"rapu","cardioneural"
"rapujuhlat","cardioneurosis"
"rapukastike","cardionosus"
"rapukauluri","cardioparplasis"
"rapukausi","cardiopath"
"rapukeitto","cardiopathy"
"rapukestit","cardiopathic"
"rapumerta","cardiopericarditis"
"rapurutto","cardiophobe"
"rapuveitsi","cardiophobia"
"rapuvoi","cardiophrenia"
"rariteetti","cardiopyloric"
"rasahdella","cardioplasty"
"rasahdus","cardioplegia"
"rasahtaa","cardiopneumatic"
"rasahtelu","cardiopneumograph"
"rasavilli","cardioptosis"
"rasi","cardiopulmonary"
"rasia","cardiopuncture"
"rasiallinen","cardiorenal"
"rasismi","cardiorespiratory"
"rasisti","cardiorrhaphy"
"rasistinen","cardiorrheuma"
"rasistisesti","cardiorrhexis"
"rasistisuus","cardioschisis"
"rasite","cardiosclerosis"
"rasiteoikeus","cardioscope"
"rasitesopimus","cardiosymphysis"
"rasittaa","cardiospasm"
"rasittava","Cardiospermum"
"rasittavasti","cardiosphygmogram"
"rasittavuus","cardiosphygmograph"
"rasitteinen","cardiotherapy"
"rasittua","cardiotherapies"
"rasitus","cardiotomy"
"rasitusastma","cardiotonic"
"rasituskoe","cardiotoxic"
"rasitusmurtuma","cardiotoxicity"
"rasitusrintakipu","cardiotoxicities"
"rasitussairaus","cardiotrophia"
"rasitustodistus","cardiotrophotherapy"
"rasitusvamma","cardiovascular"
"raskaasti","cardiovisceral"
"raskas","cardipaludism"
"raskaskulkuinen","cardipericarditis"
"raskaslastialus","cardisophistical"
"raskasliikenteinen","cardita"
"raskasliikkeinen","carditic"
"raskaslukuinen","carditis"
"raskasmetalli","carditises"
"raskasmielinen","Cardito"
"raskasmielisyys","Cardium"
"raskasrakenteinen","cardlike"
"raskassarja","cardmaker"
"raskassoutuinen","cardmaking"
"raskastekoinen","cardo"
"raskasvesi","cardol"
"raskasvety","Cardon"
"raskaudenaika","cardona"
"raskaudenaikainen","cardoncillo"
"raskaudenkeskeytys","cardooer"
"raskaudentila","cardoon"
"raskaus","cardoons"
"raskausaika","cardophagus"
"raskausarpi","cardosanto"
"raskausjuova","Cardozo"
"raskauskoe","card-perforating"
"raskauskuukausi","cardplayer"
"raskausmyrkytys","cardplaying"
"raskauspahoinvointi","card-printing"
"raskaustesti","cardroom"
"raskausviikko","cards"
"raskauttaa","cardshark"
"raskauttava","cardsharp"
"raskia","cardsharper"
"rasko","cardsharping"
"raspi","cardsharps"
"raspikurkku","card-sorting"
"rassailla","cardstock"
"rassata","Carduaceae"
"rassaus","carduaceous"
"rassi","Carducci"
"rassu","cardueline"
"rassukka","Carduelis"
"rasta","car-dumping"
"rastafari","Carduus"
"rastaletti","Cardville"
"rastas","Cardwell"
"rastasverkko","CARE"
"rastatukka","Careaga"
"rasteri","care-bewitching"
"rasterilevy","care-bringing"
"rasteripiste","care-charming"
"rasteroida","carecloth"
"rasterointi","care-cloth"
"rasti","care-crazed"
"rastia","care-crossed"
"rastittaa","cared"
"rasva","care-defying"
"rasvaantua","care-dispelling"
"rasvaevä","care-eluding"
"rasvahappo","careen"
"rasvaimu","careenage"
"rasvainen","care-encumbered"
"rasvaisuus","careened"
"rasvakattila","careener"
"rasvakeitin","careeners"
"rasvakerros","careening"
"rasvakeräymä","careens"
"rasvakudos","career"
"rasvakynä","careered"
"rasvaletti","careerer"
"rasvaliitu","careerers"
"rasvaliitupiirros","careering"
"rasvaliukoinen","careeringly"
"rasvaliukoisuus","careerism"
"rasvamaksa","careerist"
"rasvanahkainen","careeristic"
"rasvapallo","careers"
"rasvapitoinen","career's"
"rasvapitoisuus","carefox"
"rasvapoimu","care-fraught"
"rasvaprosentti","carefree"
"rasvasekoite","carefreeness"
"rasvasilli","careful"
"rasvasolu","carefull"
"rasvasolukko","carefuller"
"rasvata","carefullest"
"rasvatahra","carefully"
"rasvaton","carefulness"
"rasvatyyni","carefulnesses"
"rasvaus","Carey"
"rasvautua","careys"
"rasvavilla","Careywood"
"rasvis","care-killing"
"rasvoittaa","Carel"
"rasvoittua","care-laden"
"rata","careless"
"rataennätys","carelessly"
"ratagolf","carelessness"
"rataharjoittelu","carelessnesses"
"rataharjoitus","care-lined"
"ratajuoksu","careme"
"ratajärjestys","Caren"
"ratakierros","Carena"
"ratakisko","Carencro"
"rataliikenne","carene"
"ratamestari","Carenton"
"ratamo","carer"
"rataosa","carers"
"ratapiha","cares"
"ratapyörä","Caresa"
"ratapyöräily","care-scorched"
"ratapölkky","caress"
"ratapölkkysieni","Caressa"
"ratas","caressable"
"rataseläin","caressant"
"ratasmylly","Caresse"
"ratatouille","caressed"
"ratatui","caresser"
"ratatuomari","caressers"
"ratautua","caresses"
"ratifioida","caressing"
"ratifioimisasiakirja","caressingly"
"ratifioimiskirja","caressive"
"ratifiointi","caressively"
"ratikka","carest"
"ratina","caret"
"rating","caretake"
"rationaaliluku","caretaken"
"rationaalinen","caretaker"
"rationaalisesti","care-taker"
"rationaalistaa","caretakers"
"rationaalistua","caretakes"
"rationaalisuus","caretaking"
"rationalismi","care-tired"
"rationalisoida","caretook"
"rationalisointi","carets"
"rationalisoitua","Caretta"
"rationalisti","Carettochelydidae"
"rationalistinen","care-tuned"
"ratista","Carew"
"ratkaisematon","careworn"
"ratkaiseva","care-wounded"
"ratkaisevasti","Carex"
"ratkaisija","carf"
"ratkaista","carfare"
"ratkaisu","carfares"
"ratkaisukeino","carfax"
"ratkaisukristillisyys","carfloat"
"ratkaisumaali","carfour"
"ratkaisumalli","carfuffle"
"ratkaisuottelu","carfuffled"
"ratkaisutaistelu","carfuffling"
"ratkaisutapa","carful"
"ratkaisuvaihe","carfuls"
"ratkaisuvalta","carga"
"ratkeama","cargador"
"ratkeilla","cargadores"
"ratketa","cargason"
"ratki","Cargian"
"ratkiriemukas","Cargill"
"ratkoa","cargo"
"ratkoja","cargoes"
"ratsailla","cargoose"
"ratsaille","cargos"
"ratsailta","cargued"
"ratsain","Carhart"
"ratsastaa","carhop"
"ratsastaja","carhops"
"ratsastajapatsas","carhouse"
"ratsastella","Cari"
"ratsastuksenopettaja","Cary"
"ratsastus","cary-"
"ratsastushalli","Caria"
"ratsastushousut","Carya"
"ratsastuskenttä","cariacine"
"ratsastuskilpailu","Cariacus"
"ratsastuskoulu","cariama"
"ratsastuskurssi","Cariamae"
"ratsastuskypärä","Carian"
"ratsastusleiri","caryatic"
"ratsastuspuku","caryatid"
"ratsastusrata","caryatidal"
"ratsastussaapas","caryatidean"
"ratsastustalli","caryatides"
"ratsastustunti","caryatidic"
"ratsastusurheilu","caryatids"
"ratsata","Caryatis"
"ratsautua","Carib"
"ratsia","Caribal"
"ratsu","Cariban"
"ratsuhevonen","Caribbean"
"ratsukko","caribbeans"
"ratsumestari","Caribbee"
"ratsumies","Caribbees"
"ratsupaikat","caribe"
"ratsupiiska","caribed"
"ratsupoliisi","Caribees"
"ratsutila","caribes"
"ratsutilallinen","Caribi"
"ratsuväenosasto","caribing"
"ratsuväki","Caribisi"
"ratsuväkiosasto","Caribou"
"rattaanpyörä","Caribou-eater"
"rattaat","caribous"
"rattaisto","Caribs"
"ratti","Carica"
"rattijuoppo","Caricaceae"
"rattijuoppous","caricaceous"
"rattijuopumus","caricatura"
"rattikelkka","caricaturable"
"rattilukko","caricatural"
"rattivaihde","caricature"
"ratto","caricatured"
"rattoisa","caricatures"
"rattoisasti","caricaturing"
"rattopoika","caricaturist"
"rattotyttö","caricaturists"
"ratustaa","carices"
"ratustella","caricetum"
"raudankova","caricographer"
"raudanluja","caricography"
"raudanpuute","caricology"
"raudanpuuteanemia","caricologist"
"raudikko","caricous"
"raudoite","carid"
"raudoittaa","Carida"
"raudoittaja","Caridea"
"raudoitus","caridean"
"rauduskoivu","carideer"
"raueta","caridoid"
"rauha","Caridomorpha"
"rauhaanpakottaminen","Carie"
"rauhainen","caried"
"rauhaisa","carien"
"rauhallinen","caries"
"rauhallisesti","cariform"
"rauhallisuus","CARIFTA"
"rauhanaate","Carignan"
"rauhanaika","Cariyo"
"rauhanaikainen","Carijona"
"rauhanasia","Caril"
"rauhanehto","Caryl"
"rauhanen","Carilyn"
"rauhanenkeli","Caryll"
"rauhanhäiritsijä","Carilla"
"rauhanjuhla","carillon"
"rauhankonferenssi","carilloneur"
"rauhankumppanuus","carillonned"
"rauhankyyhky","carillonneur"
"rauhankyyhkynen","carillonneurs"
"rauhanliike","carillonning"
"rauhanmarssi","carillons"
"rauhanmies","Carin"
"rauhanneuvottelija","Caryn"
"rauhanneuvottelut","Carina"
"rauhanomainen","carinae"
"rauhanpalkinto","carinal"
"rauhanpiippu","Carinaria"
"rauhanpolitiikka","carinas"
"rauhanpyrkimys","Carinatae"
"rauhanrakentaja","carinate"
"rauhanrikkoja","carinated"
"rauhansopimus","carination"
"rauhantahto","Carine"
"rauhantahtoinen","caring"
"rauhantekijä","Cariniana"
"rauhanteko","cariniform"
"rauhantila","Carinthia"
"rauhantunnustelija","Carinthian"
"rauhantunnustelu","carinula"
"rauhantuomari","carinulate"
"rauhanturvaaja","carinule"
"rauhanturvajoukot","caryo-"
"rauhanturvatehtävä","Carioca"
"rauhantutkija","Cariocan"
"rauhantutkimus","Caryocar"
"rauhantyö","Caryocaraceae"
"rauhanvaltuuskunta","caryocaraceous"
"rauhanvetoomus","cariocas"
"rauhaserite","cariogenic"
"rauhaseritys","cariole"
"rauhaskudos","carioles"
"rauhasneste","carioling"
"rauhaton","Caryophyllaceae"
"rauhattomasti","caryophyllaceous"
"rauhattomuus","caryophyllene"
"rauhoite","caryophylleous"
"rauhoitella","caryophyllin"
"rauhoittaa","caryophyllous"
"rauhoittua","Caryophyllus"
"rauhoitus","caryopilite"
"rauhoitusaika","caryopses"
"rauhoitusalue","caryopsides"
"rauhoituslääke","caryopsis"
"raukaista","Caryopteris"
"raukea","cariosity"
"raukeasti","Caryota"
"raukeus","caryotin"
"raukka","caryotins"
"raukkamainen","Cariotta"
"raukkamaisesti","carious"
"raukkamaisuus","cariousness"
"raukkis","caripeta"
"raunikki","Caripuna"
"raunio","Cariri"
"raunioinen","Caririan"
"raunioiskasvi","Carisa"
"raunioittaa","carisoprodol"
"raunioitua","Carissa"
"rauniokasa","Carissimi"
"rauniokaupunki","Carita"
"rauniokoira","caritas"
"rauniolinna","caritative"
"raunioyrtti","carites"
"rausku","carity"
"rauta","caritive"
"rautaesine","Caritta"
"rautaesirippu","Carius"
"rautahammas","Caryville"
"rautainen","cark"
"rautaisannos","carked"
"rautaisesti","carking"
"rautajää","carkingly"
"rautakaivos","carkled"
"rautakanki","carks"
"rautakarbidi","Carl"
"rautakauppa","Carla"
"rautakausi","carlage"
"rautakautinen","Carland"
"rautakorko","carle"
"rautakorkoinen","Carlee"
"rautakoura","Carleen"
"rautalanka","Carley"
"rautalankabändi","Carlen"
"rautalankamusiikki","Carlene"
"rautalankayhtye","carles"
"rautalehti","carless"
"rautalääke","carlet"
"rautamalmi","Carleta"
"rautametalli","Carleton"
"rautanaula","Carli"
"rautanokkonen","Carly"
"rautaoksidi","Carlick"
"rautaosasto","Carlie"
"rautapannu","Carlye"
"rautapata","Carlile"
"rautapitoinen","Carlyle"
"rautapuu","Carlylean"
"rautapyynti","Carlyleian"
"rautaristi","Carlylese"
"rautaromu","Carlylesque"
"rautarouva","Carlylian"
"rautaruukki","Carlylism"
"rautasaha","Carlin"
"rautasaostuma","Carlyn"
"rautaseos","Carlina"
"rautasulatto","Carline"
"rautasulfaatti","Carlyne"
"rautasälpä","carlines"
"rautasänky","Carling"
"rautateitse","carlings"
"rautatie","Carlini"
"rautatieaikataulu","Carlynn"
"rautatieasema","Carlynne"
"rautatiekalusto","carlino"
"rautatiekuljetus","carlins"
"rautatielaitos","Carlinville"
"rautatieliikenne","carlish"
"rautatielinja","carlishness"
"rautatieläinen","Carlisle"
"rautatieonnettomuus","Carlism"
"rautatierahti","Carlist"
"rautatierakennus","Carlita"
"rautatieristeys","Carlo"
"rautatiesilta","carload"
"rautatiesolmu","carloading"
"rautatiestö","carloadings"
"rautatietariffi","carloads"
"rautatietunneli","Carlock"
"rautatievaunu","Carlos"
"rautatieverkko","carlot"
"rautatievirkailija","Carlota"
"rautatievirkamies","Carlotta"
"rautatieyhteys","Carlovingian"
"rautavalimo","Carlow"
"rautavalmiste","carls"
"rautavihtrilli","Carlsbad"
"rautiainen","Carlsborg"
"rautias","Carlson"
"rautu","Carlstadt"
"ravakasti","Carlstrom"
"ravakka","Carlton"
"ravata","Carludovica"
"ravauttaa","Carma"
"ravet","carmagnole"
"ravi","carmagnoles"
"ravihevonen","carmaker"
"ravikilpailut","carmakers"
"ravikuningas","carmalum"
"ravikuningatar","Carman"
"ravinne","Carmania"
"ravinnekuormitus","Carmanians"
"ravinneköyhä","Carmanor"
"ravinneliuos","Carmarthen"
"ravinnepitoinen","Carmarthenshire"
"ravinnepitoisuus","Carme"
"ravinnerikas","Carmel"
"ravinnesuola","Carmela"
"ravinnevarat","carmele"
"ravinnollinen","Carmelia"
"ravinnonkulutus","Carmelina"
"ravinnonlähde","Carmelita"
"ravinnonotto","Carmelite"
"ravinnonpuute","Carmelitess"
"ravinnonsaanti","Carmella"
"ravinnontarve","Carmelle"
"ravinteikas","Carmelo"
"ravinteisuus","carmeloite"
"ravinto","Carmen"
"ravintoaine","Carmena"
"ravintoaineympyrä","Carmencita"
"ravintoalusta","Carmenta"
"ravintoarvo","Carmentis"
"ravintokasvi","carmetta"
"ravintoketju","Carmi"
"ravintokuitu","Carmichael"
"ravintoköyhä","Carmichaels"
"ravintola","car-mile"
"ravintolailta","Carmina"
"ravintolakeikka","carminate"
"ravintolaketju","carminative"
"ravintolakokki","carminatives"
"ravintolalaiva","Carmine"
"ravintolalasku","carmines"
"ravintolalaulaja","carminette"
"ravintolamuusikko","carminic"
"ravintolanpitäjä","carminite"
