"Malayalam","English"
"തീറ്റ","acanthuses"
"തീവണ്ടി","acanthuthi"
"തീവ്രത","acapnia"
"തീവ്രമായ","acapnial"
"തീവ്രവാദം","acapnias"
"തീവ്രവാദി","acappella"
"തുക","acapsular"
"തുകൽ","acapu"
"തുട","Acapulco"
"തുടക്കം","acara"
"തുടക്കത്തിൽ","Acarapis"
"തുടങ്ങിയവ","acarari"
"തുടങ്ങിവയ്ക്കുക","acardia"
"തുടങ്ങുന്ന","acardiac"
"തുടയ്ക്കുക","acardite"
"തുടരുക","acari"
"തുടരുന്നു","acarian"
"തുടർച്ചയായ","acariasis"
"തുടർച്ചയായി","acariatre"
"തുടർന്ന","acaricidal"
"തുടർന്നുള്ള","acaricide"
"തുണി","acarid"
"തുണികൊണ്ടുള്ള","Acarida"
"തുപ്പി","acaridae"
"തുമ്പിക്കൈ","acaridan"
"തുരങ്കം","acaridans"
"തുറക്കൽ","Acaridea"
"തുറക്കുക","acaridean"
"തുറന്നുകാട്ടുക","acaridomatia"
"തുറന്നുപറയാം","acaridomatium"
"തുറമുഖം","acarids"
"തുല്യ","acariform"
"തുല്യമായ","Acarina"
"തൂക്കം","acarine"
"തൂക്കിയിടുക","acarines"
"തൂത്തുവാരുക","acarinosis"
"തൃപ്തിപ്പെടുത്തുക","Acarnan"
"തെക്കൻ","acarocecidia"
"തെക്കുകിഴക്ക്","acarocecidium"
"തെക്കുപടിഞ്ഞാറ്","acarodermatitis"
"തെക്ക്","acaroid"
"തെണ്ടി","acarol"
"തെന്നുക","acarology"
"തെരഞ്ഞെടുക്കുക","acarologist"
"തെരുവ്","acarophilous"
"തെറാപ്പി","acarophobia"
"തെറാപ്പിസ്റ്റ്","acarotoxic"
"തെറ്റായ","acarpellous"
"തെറ്റ്","acarpelous"
"തെളിഞ്ഞതായ","acarpous"
"തെളിയിക്കുക","Acarus"
"തെളിവ്","ACAS"
"തൊഴി","acast"
"തേനീച്ച","Acastus"
"തേന്","acatalectic"
"തോക്ക്","acatalepsy"
"തോട്ടം","acatalepsia"
"തോറ്റവൻ","acataleptic"
"തോൾ","acatallactic"
"തോഴന്","acatamathesia"
"തൊണ്ട","acataphasia"
"തൊപ്പി","acataposis"
"തൊലി","acatastasia"
"തൊഴിൽ","acatastatic"
"തൊഴിലാളി","acate"
"തൊഴിലില്ലായ്മ","acategorical"
"തൊഴിലുടമ","acater"
"തോന്നൽ","acatery"
"തോന്നുന്നു","acates"
"തോളെല്ലുക","acatharsy"
"ത്യാഗം","acatharsia"
"ത്രെഡ്","acatholic"
"ദൗത്യം","acaudal"
"ദത്തെടുക്കൽ","acaudate"
"ദമ്പതികൾ","acaudelescent"
"ദയയുള്ള","acaulescence"
"ദയവായി","acaulescent"
"ദർശനം","acauline"
"ദശലക്ഷം","acaulose"
"ദശാബ്ദം","acaulous"
"ദാതാവിന്","ACAWS"
"ദാതാവ്","ACB"
"ദാരിദ്ര്യം","ACBL"
"ദി","ACC"
"ദിനചര്യ","acc."
"ദിവസം","acca"
"ദിവസേന","accable"
"ദിവ്യമായ","Accad"
"ദീർഘകാല","accademia"
"ദുഃഖം","Accadian"
"ദുഃഖകരമായ","Accalia"
"ദുഃഖത്തോടെ","acce"
"ദുരന്തം","accede"
"ദുരന്തപൂർണമായ","acceded"
"ദുരുപയോഗം","accedence"
"ദുർബലമായ","acceder"
"ദൂരം","acceders"
"ദൂരദർശിനി","accedes"
"ദൂരെ","acceding"
"ദൃഢനിശ്ചയം","accel"
"ദൃശ്യങ്ങൾ","accel."
"ദൃശ്യമാണ്","accelerable"
"ദൃഷ്ടാന്തം","accelerando"
"ദേശീയ","accelerant"
"ദേഷ്യം","accelerate"
"ദൈവം","accelerated"
"ദൈവമേ","acceleratedly"
"ദൈവശാസ്ത്രം","accelerates"
"ദോഷം","accelerating"
"ദ്രാവകം","acceleratingly"
"ദ്വാരം","acceleration"
"ദ്വീപ്","accelerations"
"ധനകാര്യം","accelerative"
"ധനപരമായ","accelerator"
"ധനസഹായം","acceleratory"
"ധരിക്കുക","accelerators"
"ധാന്യം","accelerograph"
"ധാര","accelerometer"
"ധാരണ","accelerometers"
"ധാരാളം","accelerometer's"
"ധാർമിക","accend"
"ധാർമ്മികത","accendibility"
"ധാർമ്മികമായ","accendible"
"ധീരൻ","accensed"
"ധീരമായ","accension"
"ധൂമ്രനൂൽ","accensor"
"ധൈര്യം","accent"
"ധൈര്യപ്പെടുക","accented"
"ധ്രുവം","accenting"
"നക്ഷത്രം","accentless"
"നഗര","accentor"
"നഗരം","accentors"
"നഗരകേന്ദ്രം","accents"
"നഗ്നനായി","accentuable"
"നഗ്നമായ","accentual"
"നടക്കുക","accentuality"
"നടക്കുന്നു","accentually"
"നടത്തുക","accentuate"
"നടൻ","accentuated"
"നടന്നുകൊണ്ടിരിക്കുന്നു","accentuates"
"നടപടി","accentuating"
"നടപടികൾ","accentuation"
"നടപടിക്രമം","accentuations"
"നടപ്പാക്കൽ","accentuator"
"നടപ്പാത","accentus"
"നടപ്പിലാക്കൽ","accept"
"നടപ്പിലാക്കുക","acceptability"
"നടി","acceptabilities"
"നടിക്കുക","acceptable"
"നടുവിൽ","acceptableness"
"നദി","acceptably"
"നന്ദി","acceptance"
"നന്ദിയുള്ള","acceptances"
"നന്നാക്കൽ","acceptance's"
"നന്നായി","acceptancy"
"നന്മ","acceptancies"
"നമ്പർ","acceptant"
"നമ്മുടേത്","acceptation"
"നമ്മെത്തന്നെ","acceptavit"
"നയം","accepted"
"നയതന്ത്ര","acceptedly"
"നയിക്കുക","acceptee"
"നയിക്കുന്നു","acceptees"
"നരകം","accepter"
"നർത്തകി","accepters"
"നർമ്മം","acceptilate"
"നൽകാൻ","acceptilated"
"നൽകിയത്","acceptilating"
"നൽകുക","acceptilation"
"നല്ലത്","accepting"
"നഴ്സ്","acceptingly"
"നവംബർ","acceptingness"
"നവീകരണം","acception"
"നവീകരിക്കുക","acceptive"
"നശിപ്പിക്കുക","acceptor"
"നഷ്ടം","acceptors"
"നഷ്ടപരിഹാരം","acceptor's"
"നഷ്ടപ്പെടും","acceptress"
"നഷ്ടപ്പെട്ടു","accepts"
"നാഗരികത","accerse"
"നാഗരികമായ","accersition"
"നാടകം","accersitor"
"നാടകീയമായ","access"
"നാടകീയമായി","accessability"
"നാടൻ","accessable"
"നാഡി","accessary"
"നാണക്കേട്","accessaries"
"നാണയം","accessarily"
"നാമനിർദ്ദേശം","accessariness"
"നായ","accessaryship"
"നാരങ്ങ","accessed"
"നാര്","accesses"
"നാൽക്കവല","accessibility"
"നാലാമത്തെ","accessibilities"
"നാല്","accessible"
"നാല്പത്","accessibleness"
"നാളെ","accessibly"
"നാഴിക","accessing"
"നാവികസേന","accession"
"നാവ്","accessional"
"നാശം","accessioned"
"നികുതി","accessioner"
"നികുതിദായകൻ","accessioning"
"നിക്ഷേപം","accessions"
"നിക്ഷേപകൻ","accession's"
"നിക്ഷേപിക്കുക","accessit"
"നിഗമനം","accessive"
"നിഗൂഢത","accessively"
"നിഗൂഢമായ","accessless"
"നിങ്ങൾ","accessor"
"നിങ്ങളുടെ","accessory"
"നിതംബം","accessorial"
"നിധി","accessories"
"നിന്ന്","accessorii"
"നിബന്ധനകൾ","accessorily"
"നിമിത്തം","accessoriness"
"നിമിഷം","accessory's"
"നിയന്ത്രണം","accessorius"
"നിയന്ത്രണവുമായി","accessoriusorii"
"നിയന്ത്രിക്കുക","accessorize"
"നിയമം","accessorized"
"നിയമനം","accessorizing"
"നിയമനിർമ്മാണം","accessors"
"നിയമനിർമ്മാതാവ്","accessor's"
"നിയമപരമായ","acciaccatura"
"നിയമപരമായി","acciaccaturas"
"നിയമമാക്കുക","acciaccature"
"നിയമവിരുദ്ധമായ","accidence"
"നിയമസഭ","accidency"
"നിയമാനുസൃതമായ","accidencies"
"നിയമിക്കുക","accident"
"നിയോഗിക്കുക","accidental"
"നിരക്ക്","accidentalism"
"നിരന്തരം","accidentalist"
"നിരപരാധി","accidentality"
"നിരവധി","accidentally"
"നിരസിക്കുക","accidentalness"
"നിരാശ","accidentals"
"നിരാശനായ","accidentary"
"നിരാശനായി","accidentarily"
"നിരാശയോടെ","accidented"
"നിരീക്ഷകൻ","accidential"
"നിരീക്ഷണം","accidentiality"
"നിരീക്ഷിക്കുക","accidently"
"നിരുത്സാഹപ്പെടുത്തുക","accident-prone"
"നിരോധനം","accidents"
"നിരോധിക്കുക","accidia"
"നിര്ബന്ധംപിടിക്കുക","accidias"
"നിർണായകമായ","accidie"
"നിർണ്ണയിക്കുക","accidies"
"നിർത്തുക","accinge"
"നിർദേശിക്കുക","accinged"
"നിർദ്ദിഷ്ട","accinging"
"നിർദ്ദേശം","accipenser"
"നിർദ്ദേശിക്കുക","accipient"
"നിർദ്ദേശിച്ചു","Accipiter"
"നിർബന്ധമായും","accipitral"
"നിർബന്ധിക്കുക","accipitrary"
"നിർബന്ധിതം","Accipitres"
"നിർഭാഗ്യകരമായ","accipitrine"
"നിർഭാഗ്യവശാൽ","accipter"
"നിർമ്മാണം","accise"
"നിർമ്മാതാവ്","accismus"
"നിർമ്മിക്കുക","accite"
"നിർവചനം","Accius"
"നിർവഹിക്കുക","acclaim"
"നിർവ്വചിക്കുക","acclaimable"
"നിർവ്വഹിക്കുക","acclaimed"
"നിറം","acclaimer"
"നിറഞ്ഞു","acclaimers"
"നിറവേറ്റുക","acclaiming"
"നിൽക്കുക","acclaims"
"നില","acclamation"
"നിലം","acclamations"
"നിലക്കടല","acclamator"
"നിലനിർത്തുക","acclamatory"
"നിലപാട്","acclimatable"
"നിലവറ","acclimatation"
"നിലവിൽ","acclimate"
"നിലവിലുണ്ട്","acclimated"
"നിലവിലുള്ള","acclimatement"
"നിലവിലെ","acclimates"
"നിഴൽ","acclimating"
"നിവേദനം","acclimation"
"നിശബ്ദം","acclimations"
"നിശബ്ദമായി","acclimatisable"
"നിശ്ചലമായ","acclimatisation"
"നിശ്ചിത","acclimatise"
"നിശ്ശബ്ദം","acclimatised"
"നിഷേധിക്കല്","acclimatiser"
"നിഷേധിക്കുന്നു","acclimatising"
"നിഷ്പക്ഷ","acclimatizable"
"നിസാരമായ","acclimatization"
"നീ","acclimatizations"
"നീക്കം","acclimatize"
"നീക്കുക","acclimatized"
"നീട്ടി","acclimatizer"
"നീട്ടുക","acclimatizes"
"നീതി","acclimatizing"
"നീതിശാസ്ത്രം","acclimature"
"നീന്തുക","acclinal"
"നീരാവി","acclinate"
"നീല","acclivity"
"നീളം","acclivities"
"നീളമുള്ള","acclivitous"
"നുണയൻ","acclivous"
"നുറുങ്ങ്","accloy"
"നൂതനമായ","accoast"
"നൂറ്","accoy"
"നൂറ്റാണ്ട്","accoyed"
"നൃത്തം","accoying"
"നെഗറ്റീവ്","accoil"
"നെഞ്ച്","Accokeek"
"നെടുവീർപ്പിടുക","accolade"
"നെറ്റി","accoladed"
"നെറ്റ്വർക്ക്","accolades"
"നേടിയെടുക്കാൻ","accolated"
"നേടുക","accolent"
"നേട്ടം","accoll"
"നേതാവ്","accolle"
"നേതൃത്വം","accolled"
"നേരത്തെ","accollee"
"നേരിടാൻ","Accomac"
"നേരിടുക","accombination"
"നേരിട്ട്","accommodable"
"നേരിയ","accommodableness"
"നേരെ","accommodate"
"നേർത്ത","accommodated"
"നോക്കൂ","accommodately"
"നോട്ടം","accommodateness"
"നോട്ടീസ്","accommodates"
"നോമിനി","accommodating"
"നോവൽ","accommodatingly"
"ന്യായമായ","accommodatingness"
"ന്യായമായും","accommodation"
"ന്യായീകരിക്കുക","accommodational"
"ന്യൂനത","accommodationist"
"ന്യൂനപക്ഷം","accommodations"
"പൗണ്ട്","accommodative"
"പൗരത്വം","accommodatively"
"പൗരൻ","accommodativeness"
"പക","accommodator"
"പകരം","accommodators"
"പകർച്ച","accomodate"
"പകർത്തുക","accompanable"
"പകർപ്പവകാശം","accompany"
"പകുതി","accompanied"
"പക്ഷപാതം","accompanier"
"പക്ഷി","accompanies"
"പക്ഷേ","accompanying"
"പങ്കാളി","accompanyist"
"പങ്കാളിത്തം","accompaniment"
"പങ്കിടുക","accompanimental"
"പങ്കിട്ടു","accompaniments"
"പങ്കെടുക്കുക","accompaniment's"
"പങ്ക്","accompanist"
"പച്ച","accompanists"
"പച്ചക്കറി","accompanist's"
"പഞ്ചസാര","accomplement"
"പഞ്ച്","accompletive"
"പടി","accompli"
"പടിഞ്ഞാറൻ","accomplice"
"പടിഞ്ഞാറ്","accomplices"
"പട്ടണം","accompliceship"
"പട്ടാളക്കാരൻ","accomplicity"
"പട്ടിക","accomplis"
"പട്ട്","accomplish"
"പട്രോളിംഗ്","accomplishable"
"പഠനം","accomplished"
"പഠിക്കുക","accomplisher"
"പഠിക്കുന്നു","accomplishers"
"പഠിതാവ്","accomplishes"
"പഠിപ്പിക്കുക","accomplishing"
"പഠിപ്പിക്കുന്നു","accomplishment"
"പണം","accomplishments"
"പണപ്പെരുപ്പം","accomplishment's"
"പണിയുക","accomplisht"
"പണ്ഡിതൻ","accompt"
"പതാക","accord"
"പതിനഞ്ച്","accordable"
"പതിനൊന്ന്","accordance"
"പതിപ്പ്","accordances"
"പതിവായി","accordancy"
"പതിവ്","accordant"
"പതീക്ഷിച്ചിരിക്കുക","accordantly"
"പതുക്കെ","accordatura"
"പത്ത്","accordaturas"
"പത്രം","accordature"
"പത്രപ്രവർത്തകൻ","accorded"
"പത്രപ്രവർത്തനം","accorder"
"പദപ്രയോഗം","accorders"
"പദവി","according"
"പദാർത്ഥം","accordingly"
"പദാവലി","accordion"
"പദ്ധതി","accordionist"
"പനി","accordionists"
"പന്തയം","accordions"
"പന്ത്","accordion's"
"പന്ത്രണ്ട്","accords"
"പന്നി","accorporate"
"പന്നിയിറച്ചി","accorporation"
"പരക്കെ","accost"
"പരമാവധി","accostable"
"പരമോന്നത","accosted"
"പരമ്പര","accosting"
"പരമ്പരാഗത","accosts"
"പരമ്പരാഗതമായി","accouche"
"പരവതാനി","accouchement"
"പരസ്പരബന്ധം","accouchements"
"പരസ്പരമുള്ള","accoucheur"
"പരസ്യം","accoucheurs"
"പരസ്യമായി","accoucheuse"
"പരാജയം","accoucheuses"
"പരാജയപ്പെടുന്നു","accounsel"
"പരാതി","account"
"പരാതിപ്പെടുക","accountability"
"പരാമർശം","accountabilities"
"പരാമർശിക്കുക","accountable"
"പരാമീറ്റർ","accountableness"
"പരിക്ക്","accountably"
"പരിഗണന","accountancy"
"പരിഗണിക്കാതെ","accountancies"
"പരിഗണിക്കുക","accountant"
"പരിഗണിച്ച്","accountants"
"പരിചയപ്പെടുത്തുക","accountant's"
"പരിചിതമായ","accountantship"
"പരിണമിക്കുക","accounted"
"പരിണാമം","accounter"
"പരിധി","accounters"
"പരിധിവരെ","accounting"
"പരിപാലനം","accountings"
"പരിപാലിക്കുക","accountment"
"പരിപ്പ്","accountrement"
"പരിഭ്രമം","accounts"
"പരിഭ്രാന്തി","accouple"
"പരിമിതപ്പെടുത്താതെ","accouplement"
"പരിമിതപ്പെടുത്തിയിരിക്കുന്നു","accourage"
"പരിമിതി","accourt"
"പരിവർത്തനം","accouter"
"പരിശീലകൻ","accoutered"
"പരിശീലനം","accoutering"
"പരിശോധന","accouterment"
"പരിശോധിക്കുക","accouterments"
"പരിശ്രമം","accouters"
"പരിശ്രമിക്കുക","accoutre"
"പരിഷ്ക്കരിക്കുക","accoutred"
"പരിസരം","accoutrement"
"പരിസ്ഥിതി","accoutrements"
"പരിഹരിക്കുക","accoutres"
"പരിഹാരം","accoutring"
"പരിഹാസ്യമായ","Accoville"
"പരീക്ഷ","ACCRA"
"പരീക്ഷണം","accrease"
"പരീക്ഷണാത്മക","accredit"
"പരുക്കൻ","accreditable"
"പരുത്തി","accreditate"
"പരേഡ്","accreditation"
"പര്യടനം","accreditations"
"പര്യവേക്ഷണം","accredited"
"പർവ്വതം","accreditee"
"പറക്കുക","accrediting"
"പറയുക","accreditment"
"പറയൂ","accredits"
"പലചരക്ക്","accrementitial"
"പലതും","accrementition"
"പലപ്പോഴും","accresce"
"പലസ്തീൻ","accrescence"
"പലിശ","accrescendi"
"പല്ല്","accrescendo"
"പൾസ്","accrescent"
"പഴയത്","accretal"
"പവിത്രമായ","accrete"
"പശു","accreted"
"പശ്ചാത്തലം","accretes"
"പസിൽ","accreting"
"പാക്കേജ്","accretion"
"പാചകം","accretionary"
"പാചകക്കുറിപ്പ്","accretions"
"പാച്ച്","accretion's"
"പാടുക","accretive"
"പാട്ട്","accriminate"
"പാഠം","Accrington"
"പാഠപുസ്തകം","accroach"
"പാഠ്യപദ്ധതി","accroached"
"പാഡ്","accroaching"
"പാത","accroachment"
"പാത്രം","accroides"
"പാദം","accruable"
"പാൻ","accrual"
"പാനൽ","accruals"
"പാനീയം","accrue"
"പാന്റ്","accrued"
"പാപം","accruement"
"പാപ്പരത്തം","accruer"
"പാമ്പ്","accrues"
"പായ്ക്ക്","accruing"
"പാരമ്പര്യം","ACCS"
"പാർക്കിംഗ്","ACCT"
"പാർക്ക്","acct."
"പാർട്ടി","accts"
"പാർപ്പിട","accubation"
"പാർലമെന്റ്","accubita"
"പാറ","accubitum"
"പാറക്കെട്ട്","accubitus"
"പാൽ","accueil"
"പാലം","accultural"
"പാലിക്കൽ","acculturate"
"പാളി","acculturated"
"പാവ","acculturates"
"പാവം","acculturating"
"പാവാട","acculturation"
"പാസ്റ്റർ","acculturational"
"പിങ്ക്","acculturationist"
"പിച്ച്","acculturative"
"പിടി","acculturize"
"പിടിക്കുക","acculturized"
"പിടിച്ചെടുക്കുക","acculturizing"
"പിണ്ഡം","accum"
"പിൻ","accumb"
"പിൻവലിക്കുക","accumbency"
"പിന്തുടരൽ","accumbent"
"പിന്തുടരുക","accumber"
"പിന്തുടരുന്നു","accumulable"
"പിന്തുണ","accumulate"
"പിന്തുണക്കാരൻ","accumulated"
"പിന്തുണയ്ക്കുന്ന","accumulates"
"പിന്നത്തെ","accumulating"
"പിന്നിൽ","accumulation"
"പിന്നീട്","accumulations"
"പിന്നെ","accumulativ"
"പിയാനോ","accumulative"
"പിരിച്ചുവിടുക","accumulatively"
"പിരിമുറുക്കം","accumulativeness"
"പിളര്പ്പ്","accumulator"
"പിഴ","accumulators"
"പിശക്","accumulator's"
"പിശാച്","accupy"
"പിസി","accur"
"പിസ്സ","accuracy"
"പിസ്സ്","accuracies"
"പീഡനം","accurate"
"പീൽ","accurately"
"പുക","accurateness"
"പുകയില","accuratenesses"
"പുഞ്ചിരി","accurre"
"പുണരുക","accurse"
"പുണ്യം","accursed"
"പുതപ്പ്","accursedly"
"പുതിയത്","accursedness"
"പുതുതായി","accursing"
"പുതുമുഖം","accurst"
"പുനഃസംഘടന","accurtation"
"പുനഃസ്ഥാപിക്കുക","accus"
"പുനരാരംഭിക്കുക","accusable"
"പുനർനിർമ്മിക്കുക","accusably"
"പുരാതനമായ","accusal"
"പുരികം","accusals"
"പുരോഗമിക്കുക","accusant"
"പുരോഗതി","accusants"
"പുരോഗമനപരമായ","accusation"
"പുരോഹിതൻ","accusations"
"പുറം","accusation's"
"പുറത്ത്","accusatival"
"പുറപ്പെടൽ","accusative"
"പുൽത്തകിടി","accusative-dative"
"പുല്ല്","accusatively"
"പുള്ളി","accusativeness"
"പുഷ്പം","accusatives"
"പുസ്തകം","accusator"
"പുസ്തകശാല","accusatory"
"പൂച്ച","accusatorial"
"പൂജ്യം","accusatorially"
"പൂട്ടുക","accusatrix"
"പൂമുഖം","accusatrixes"
"പൂരിപ്പിക്കുക","accuse"
"പൂർണ്ണമായ","accused"
"പൂർണ്ണമായും","accuser"
"പൂർത്തിയാക്കുക","accusers"
"പൂർവ്വികൻ","accuses"
"പെടുത്തിയിട്ടില്ല","accusing"
"പെടുന്നു","accusingly"
"പെട്ടവയാണ്","accusive"
"പെട്ടി","accusor"
"പെട്ടെന്ന്","accustom"
"പെൺകുട്ടി","accustomation"
"പെൻഷൻ","accustomed"
"പെയിന്റിംഗ്","accustomedly"
"പെയിന്റ്","accustomedness"
"പെരുമാറുക","accustoming"
"പെരുമാറ്റം","accustomize"
"പെരുവിരൽ","accustomized"
"പൊയ്ക","accustomizing"
"പേജ്","accustoms"
"പേടിച്ചു","Accutron"
"പേടിസ്വപ്നം","ACD"
"പേന","ACDA"
"പേപ്പർ","AC-DC"
"പേയ്മെന്റ്","ACE"
"പേര്","acea"
"പേറ്റന്റ്","aceacenaphthene"
"പേഴ്സ്","aceae"
"പേസ്","acean"
"പോട്ടൻ","aceanthrene"
"പോലീസ്","aceanthrenequinone"
"പൈ","acecaffin"
"പൈതൃകം","acecaffine"
"പൈൻമരം","aceconitic"
"പൈപ്പ്","aced"
"പൈപ്പ്ലൈൻ","acedy"
"പൈലറ്റ്","acedia"
"പൊടി","acediamin"
"പൊട്ടിത്തെറിക്കുക","acediamine"
"പൊട്ടിത്തെറിച്ചു","acedias"
"പൊതിയുക","acediast"
"പൊതു","ace-high"
"പൊതുവായ","Acey"
"പൊതുവെ","acey-deucy"
"പൊരുത്തം","aceite"
"പൊരുത്തപ്പെടുത്തൽ","aceituna"
"പൊരുത്തപ്പെടുത്തുക","Aceldama"
"പൊറുക്കുക","aceldamas"
"പോകൂ","acellular"
"പോക്കറ്റ്","Acemetae"
"പോപ്പ്","Acemetic"
"പോയിന്റ്","acemila"
"പോരാളി","acenaphthene"
"പോർട്ട്ഫോളിയോ","acenaphthenyl"
"പോലീസുകാരൻ","acenaphthylene"
"പോലും","acenesthesia"
"പോലെ","acensuada"
"പോലെയല്ല","acensuador"
"പോഷകാഹാരം","acentric"
"പോസിറ്റീവ്","acentrous"
"പോസ്","aceology"
"പോസ്റ്റർ","aceologic"
"പോസ്റ്റ്","aceous"
"പ്രകടനം","acephal"
"പ്രകടമായത്","Acephala"
"പ്രകടിപ്പിക്കുക","acephalan"
"പ്രകാരം","Acephali"
"പ്രകാശനം","acephalia"
"പ്രകൃതി","Acephalina"
"പ്രക്രിയ","acephaline"
"പ്രക്ഷേപണം","acephalism"
"പ്രഖ്യാപനം","acephalist"
"പ്രഖ്യാപിക്കുക","Acephalite"
"പ്രചരണം","acephalocyst"
"പ്രചാരണം","acephalous"
"പ്രചോദനം","acephalus"
"പ്രചോദിപ്പിക്കുക","acepots"
"പ്രണയം","acequia"
"പ്രണയിനി","acequiador"
"പ്രതികരണം","acequias"
"പ്രതികരിക്കുക","Acer"
"പ്രതികരിക്കുന്നയാൾ","Aceraceae"
"പ്രതികാരം","aceraceous"
"പ്രതിധ്വനി","Acerae"
"പ്രതിനിധി","Acerata"
"പ്രതിനിധീകരിക്കുന്നു","acerate"
"പ്രതിപക്ഷം","acerated"
"പ്രതിഫലം","Acerates"
"പ്രതിഫലനം","acerathere"
"പ്രതിഫലിപ്പിക്കുക","Aceratherium"
"പ്രതിബദ്ധത","aceratosis"
"പ്രതിഭ","acerb"
"പ്രതിഭാസം","Acerbas"
"പ്രതിമ","acerbate"
"പ്രതിമാസ","acerbated"
"പ്രതിരോധം","acerbates"
"പ്രതിരോധിക്കുക","acerbating"
"പ്രതിവാരം","acerber"
"പ്രതിഷേധം","acerbest"
"പ്രതിഷേധക്കാരൻ","acerbic"
"പ്രതിസന്ധി","acerbically"
"പ്രതീക്ഷ","acerbity"
"പ്രതീക്ഷയോടെ","acerbityacerose"
"പ്രതീക്ഷിക്കുക","acerbities"
"പ്രതീക്ഷിച്ചത്","acerbitude"
"പ്രത്യക്ഷത്തിൽ","acerbly"
"പ്രത്യക്ഷപ്പെടുക","acerbophobia"
"പ്രത്യക്ഷമായ","acerdol"
"പ്രത്യക്ഷമായും","aceric"
"പ്രത്യയശാസ്ത്രം","acerin"
"പ്രത്യാശ","acerli"
"പ്രത്യേക","acerola"
"പ്രത്യേകം","acerolas"
"പ്രത്യേകമായി","acerose"
"പ്രത്യേകിച്ച്","acerous"
"പ്രദർശനം","acerra"
"പ്രദേശം","acers"
"പ്രധാന","acertannin"
"പ്രധാനം","acerval"
"പ്രധാനപ്പെട്ടത്","acervate"
"പ്രധാനമായും","acervately"
"പ്രപഞ്ചം","acervatim"
"പ്രബലമായ","acervation"
"പ്രബോധനപരമായ","acervative"
"പ്രഭാതത്തെ","acervose"
"പ്രഭാഷണം","acervuli"
"പ്രമാണം","acervuline"
"പ്രമുഖ","acervulus"
"പ്രമേയം","aces"
"പ്രമേഹം","ace's"
"പ്രമോഷൻ","acescence"
"പ്രയോജനകരമായ","acescency"
"പ്രയോഗിക്കുക","acescent"
"പ്രയോജനം","acescents"
"പ്രവചനം","aceship"
"പ്രവചിക്കുക","Acesius"
"പ്രവണത","acesodyne"
"പ്രവർത്തകൻ","acesodynous"
"പ്രവർത്തനം","Acessamenus"
"പ്രവർത്തനയോഗ്യമായ","Acestes"
"പ്രവർത്തിക്കുക","acestoma"
"പ്രവർത്തിക്കുന്ന","acet-"
"പ്രവർത്തിക്കുന്നു","aceta"
"പ്രവാചകൻ","acetable"
"പ്രവിശ്യ","acetabula"
"പ്രവേശനം","acetabular"
"പ്രശസ്തമായ","Acetabularia"
"പ്രശസ്തി","acetabuliferous"
"പ്രശ്നം","acetabuliform"
"പ്രസംഗം","acetabulous"
"പ്രസംഗിക്കുന്നു","acetabulum"
"പ്രസക്തമായ","acetabulums"
"പ്രസന്നമായ","acetacetic"
"പ്രസാധകൻ","acetal"
"പ്രസിഡൻഷ്യൽ","acetaldehydase"
"പ്രസിഡന്റ്","acetaldehyde"
"പ്രസിദ്ധീകരണം","acetaldehydrase"
"പ്രസിദ്ധീകരിക്കുക","acetaldol"
"പ്രസിദ്ധീകരിക്കുന്നു","acetalization"
"പ്രസ്താവന","acetalize"
"പ്രസ്ഥാനം","acetals"
"പ്രാക്ടീഷണർ","acetamid"
"പ്രാക്ടീസ്","acetamide"
"പ്രാണി","acetamidin"
"പ്രാതൽ","acetamidine"
"പ്രാതിനിധ്യം","acetamido"
"പ്രാഥമിക","acetamids"
"പ്രാഥമികമായി","acetaminol"
"പ്രാദേശിക","Acetaminophen"
"പ്രാദേശികമായ","acetanilid"
"പ്രാധാന്യം","acetanilide"
"പ്രാധാന്യത്തെ","acetanion"
"പ്രാന്തപ്രദേശം","acetaniside"
"പ്രാപ്തമാക്കുക","acetanisidide"
"പ്രാപ്യമായ","acetanisidine"
"പ്രായപൂർത്തിയാകാത്ത","acetannin"
"പ്രായമായ","acetary"
"പ്രായോഗികം","acetarious"
"പ്രായോഗികമായ","acetars"
"പ്രായോഗികമായി","acetarsone"
"പ്രാർത്ഥന","acetate"
"പ്രാർത്ഥിക്കുക","acetated"
"പ്രിൻസിപ്പൽ","acetates"
"പ്രിയ","acetation"
"പ്രിയപ്പെട്ട","acetazolamide"
"പ്രിയേ","acetbromamide"
"പ്രീമിയം","acetenyl"
"പ്രൊഫൈൽ","Acetes"
"പ്രേക്ഷകർ","acethydrazide"
"പ്രേതം","acetiam"
"പ്രേരണ","acetic"
"പ്രേരിപ്പിക്കുക","acetify"
"പ്രോത്സാഹിപ്പിക്കുന്നു","acetification"
"പ്രൊ","acetified"
"പ്രൊജക്ഷൻ","acetifier"
"പ്രൊഫഷണൽ","acetifies"
"പ്രൊഫസർ","acetifying"
"പ്രൊസസർ","acetyl"
"പ്രോംപ്റ്റ്","acetylacetonates"
"പ്രോഗ്രാം","acetylacetone"
"പ്രോഗ്രാമിംഗ്","acetylamine"
"പ്രോട്ടീൻ","acetylaminobenzene"
"പ്രോട്ടോക്കോൾ","acetylaniline"
"പ്രോത്സാഹനം","acetylasalicylic"
"പ്രോത്സാഹിപ്പിക്കുക","acetylate"
"പ്രോത്സാഹിപ്പിക്കുന്ന","acetylated"
"പ്രോസസ്സിംഗ്","acetylating"
"പ്രോസിക്യൂട്ടർ","acetylation"
