"Turkmen","English"
"söýgüli","acetylation"
"söýgülim","acetylative"
"soýuzdaş","acetylator"
"söýýän","acetylbenzene"
"söz","acetylbenzoate"
"sözbaşy","acetylbenzoic"
"sözlem","acetylbiuret"
"sözleri","acetylcarbazole"
"sözme-söz","acetylcellulose"
"spektrum","acetylcholine"
"spiker","acetylcholinesterase"
"sport","acetylcholinic"
"spot","acetylcyanide"
"ssenariýa","acetylenation"
"ştab-kwartirasy","acetylene"
"stack","acetylenediurein"
"stadion","acetylenes"
"standart","acetylenic"
"stansiýa","acetylenyl"
"ştat","acetylenogen"
"statistika","acetylfluoride"
"statistiki","acetylglycin"
"Status","acetylglycine"
"stend","acetylhydrazine"
"stil","acetylic"
"stipendiýa","acetylid"
"stol","acetylide"
"stop","acetyliodide"
"strategiki","acetylizable"
"strategiýa","acetylization"
"stres","acetylize"
"studio","acetylized"
"şübhe","acetylizer"
"şübheli","acetylizing"
"subsidiýa","acetylmethylcarbinol"
"subutnama","acetylperoxide"
"sud","acetylphenylhydrazine"
"sugun","acetylphenol"
"şükür","acetylrosaniline"
"sülçi","acetyls"
"sumka","acetylsalicylate"
"sungat","acetylsalicylic"
"süňk","acetylsalol"
"super","acetyltannin"
"süpürmek","acetylthymol"
"surat","acetyltropeine"
"suratçy","acetylurea"
"suratkeş","acetimeter"
"suratlandyrmak","acetimetry"
"suratlandyryň","acetimetric"
"suratlar","acetin"
"Suratlar","acetine"
"sürmek","acetins"
"sürtmek","acetite"
"sürüji","acetize"
"şutla","acetla"
"sütün","acetmethylanilide"
"suw","acetnaphthalide"
"suwuklyk","aceto-"
"süýji","acetoacetanilide"
"süýremek","acetoacetate"
"süýşmek","acetoacetic"
"süýt","acetoamidophenol"
"süýüm","acetoarsenite"
"süzgüç","Acetobacter"
"syçan","acetobenzoic"
"Syçan","acetobromanilide"
"sygyr","acetochloral"
"sylag","acetocinnamene"
"synag","acetoin"
"synanyşyk","acetol"
"synçy","acetolysis"
"synp","acetolytic"
"sypdyrmak","acetometer"
"syr","acetometry"
"syrly","acetometric"
"syýahat","acetometrical"
"syýahatçy","acetometrically"
"syýasat","acetomorphin"
"syýasatçy","acetomorphine"
"syýasaty","acetonaemia"
"syýasy","acetonaemic"
"syzmak","acetonaphthone"
"tabak","acetonate"
"tabletka","acetonation"
"tablisa","acetone"
"tabşyr","acetonemia"
"tabşyryk","acetonemic"
"täç","acetones"
"tagallasy","acetonic"
"tagam","acetonyl"
"tagamly","acetonylacetone"
"tagamy","acetonylidene"
"taglymaty","acetonitrile"
"tagt","acetonization"
"täjirçilik","acetonize"
"takmynan","acetonuria"
"taksi","acetonurometer"
"taktikasy","acetophenetide"
"takyk","acetophenetidin"
"takyklygy","acetophenetidine"
"talamak","acetophenin"
"talap","acetophenine"
"talaplar","acetophenone"
"tälimçi","acetopiperone"
"tanalýan","acetopyrin"
"tanamak","acetopyrine"
"tank","acetosalicylic"
"tankydy","acetose"
"tankyt","acetosity"
"tankytçy","acetosoluble"
"tankytlamak","acetostearin"
"tansçy","acetothienone"
"tanyş","acetotoluid"
"tanyşdyrmak","acetotoluide"
"tap","acetotoluidine"
"tapawut","acetous"
"tapawutlandyrmak","acetoveratrone"
"tapawutlanýar","acetoxyl"
"tapawutlar","acetoxyls"
"tapawutly","acetoxim"
"tapawutlylykda","acetoxime"
"tapgyry","acetoxyphthalide"
"tapmak","acetphenetid"
"tapyldy","acetphenetidin"
"tarapa","acetract"
"tarapgöýlik","acettoluide"
"tarapy","acetum"
"tarapyndan","aceturic"
"Taryh","ACF"
"taryhçy","ACGI"
"taryhy","ac-globulin"
"täsir","ACH"
"täsiri","Achab"
"täsirli","Achad"
"taşla","Achaea"
"taslama","Achaean"
"taslamak","Achaemenes"
"tassykla","Achaemenian"
"tassyklamak","Achaemenid"
"tatuirovka","Achaemenidae"
"taýak","Achaemenides"
"tayini","Achaemenidian"
"taýpa","Achaemenids"
"taýýar","achaenocarp"
"taýýarla","Achaenodon"
"taýýarlyk","Achaeta"
"taze","achaetous"
"täze","Achaeus"
"täzelen","achafe"
"teatr","achage"
"tebigat","Achagua"
"tebigy","Achaia"
"teen","Achaian"
"tegelek","Achakzai"
"tehniki","achalasia"
"tehnologiki","Achamoth"
"tehnologiýa","Achan"
"tehnologiýasy","Achango"
"tejribe","achape"
"tejribeçi","achaque"
"tejribeli","achar"
"teker","acharya"
"tekiz","Achariaceae"
"tekje","Achariaceous"
"teklip","acharne"
"tekst","acharnement"
"telefon","Acharnians"
"telekeçi","achate"
"teleskop","Achates"
"telewideniýe","Achatina"
"temmäki","Achatinella"
"temperaturasy","Achatinidae"
"tendensiýa","achatour"
"tendensiýasy","Achaz"
"tender","ache"
"teňňe","acheat"
"tennis","achech"
"teorik","acheck"
"terapewt","ached"
"terbiýeçi","acheer"
"terbiýeçilik","ACHEFT"
"terjime","acheilary"
"termini","acheilia"
"terror","acheilous"
"terrorçylyk","acheiria"
"terrorist","acheirous"
"tersine","acheirus"
"tertibi","Achelous"
"tertip-düzgün","Achen"
"tertiplemek","achene"
"teswir","achenes"
"teswirnama","achenia"
"the","achenial"
"tijemek","achenium"
"tip","achenocarp"
"tipiki","achenodia"
"tire-taýpa","achenodium"
"tirsek","acher"
"tizlik","Acherman"
"tk","Achernar"
"to","Acheron"
"togalanmak","Acheronian"
"tohum","Acherontic"
"tok","Acherontical"
"tokaý","aches"
"töleg","Acheson"
"tölegler","achesoun"
"tölemek","achete"
"tolgundyryjy","Achetidae"
"tolgunmak","Acheulean"
"tolgunýar","Acheulian"
"tolkun","acheweed"
"tomaşaçy","achy"
"tomaşaçylar","achier"
"tomus","achiest"
"top","achievability"
"topar","achievable"
"topardaşy","achieve"
"topary","achieved"
"toplum","achievement"
"toplumy","achievements"
"toplumyny","achievement's"
"toprak","achiever"
"topuk","achievers"
"tor","achieves"
"tort","achieving"
"toslama","ach-y-fi"
"tötänleýin","achigan"
"töwekgelçiligi","achilary"
"töwekgelçilikli","achylia"
"töwereginde","Achill"
"töwerek","Achille"
"towşan","Achillea"
"towuk","Achillean"
"toý","achilleas"
"toýun","Achilleid"
"tozan","achillein"
"trailer","achilleine"
"trigger","Achilles"
"trillion","Achillize"
"tropiki","achillobursitis"
"t-shirt","achillodynia"
"tuck","achilous"
"tükeniksiz","achylous"
"tumor","Achimaas"
"tunel","achime"
"tupan","Achimelech"
"tüpeň","Achimenes"
"turba","achymia"
"turbageçiriji","achymous"
"türgenleşik","Achinese"
"türme","achiness"
"tussag","achinesses"
"tüsse","aching"
"tutawaç","achingly"
"tutmak","achiote"
"tutum","achiotes"
"tutuşlygyna","achira"
"tuty","Achyranthes"
"tüwi","achirite"
"tüýkürmek","Achyrodes"
"tv","Achish"
"twitter","Achitophel"
"tygşytlamak","achkan"
"üç","achlamydate"
"uçar","Achlamydeae"
"üçek","achlamydeous"
"uçgun","achlorhydria"
"üçin","achlorhydric"
"uçlary","achlorophyllous"
"uçmak","achloropsia"
"üçünji","achluophobia"
"uçurym","Achmed"
"uçuş","Achmetha"
"uglerod","achoke"
"uglewod","acholia"
"ugramak","acholias"
"ugrukdyrma","acholic"
"ugry","Acholoe"
"ugur","acholous"
"uh-mi","acholuria"
"uklamak","acholuric"
"ukyby","Achomawi"
"ukyply","achondrite"
"ukyplylygy","achondritic"
"ulag","achondroplasia"
"ulanmak","achondroplastic"
"ulanyjy","achoo"
"ulanylýar","achor"
"ulanylyşy","achordal"
"ulgamy","Achordata"
"ullakan","achordate"
"ululygy","Achorion"
"uly","Achorn"
"um","Achras"
"ümsüm","achree"
"umuman","achroacyte"
"umumy","Achroanthes"
"umyt","achrodextrin"
"umytsyz","achrodextrinase"
"un","achroglobin"
"uniwersiteti","achroiocythaemia"
"üns","achroiocythemia"
"unsiýa","achroite"
"üpjünçilik","achroma"
"ur","achromacyte"
"ureazgy","achromasia"
"urmak","achromat"
"uruş","achromat-"
"ussahanasy","achromate"
"ussatlyk","Achromatiaceae"
"üstaşyr","achromatic"
"üstesine-de","achromatically"
"üstü","achromaticity"
"üstünde","achromatin"
"üstüne","achromatinic"
"üstünlik","achromatisation"
"üstünlikli","achromatise"
"usul","achromatised"
"usuly","achromatising"
"utanç","achromatism"
"utandym","Achromatium"
"utanjaň","achromatizable"
"utgaşmasy","achromatization"
"uýgunlaşdyrmak","achromatize"
"uýgunlaşma","achromatized"
"üýşmek","achromatizing"
"Üýtge","achromatocyte"
"üýtgemegi","achromatolysis"
"üýtgeşik","achromatope"
"üýtgetme","achromatophil"
"üýtgetmek","achromatophile"
"üýtgeýän","achromatophilia"
"üýtgeýär","achromatophilic"
"uzakda","achromatopia"
"uzakdan","achromatopsy"
"uzaldyldy","achromatopsia"
"uzat","achromatosis"
"üznüksiz","achromatous"
"uzyn","achromats"
"uzynlygy","achromaturia"
"wagon","achromia"
"wagşy","achromic"
"wagt","Achromycin"
"wagtal-wagtal","Achromobacter"
"wagtlaýyn","Achromobacterieae"
"wagty","achromoderma"
"wagtynda","achromophilous"
"wah","achromotrichia"
"wajypdyr","achromous"
"waka","achronical"
"wake","achronychous"
"walýuta","achronism"
"wampir","achroo-"
"watan","achroodextrin"
"we","achroodextrinase"
"web","achroous"
"wekil","achropsia"
"wekilçilik","Achsah"
"wekili","achtehalber"
"welaýaty","achtel"
"welosiped","achtelthaler"
"wepaly","achter"
"wepalylyk","achterveld"
"wersiýa","Achuas"
"wertolýot","achuete"
"wesýet","acy"
"weteran","acyanoblepsia"
"wezipe","acyanopsia"
"wideo","acichlorid"
"wilka","acichloride"
"wirtual","acyclic"
"wirus","acyclically"
"wise","acicula"
"witamin","aciculae"
"wizual","acicular"
"wokal","acicularity"
"Wow","acicularly"
"ýabany","aciculas"
"ýa-da","aciculate"
"ýadadym","aciculated"
"ýadro","aciculum"
"ýadrosy","aciculums"
"ýadygärlik","acid"
"ýag","acidaemia"
"ýagdaý","Acidalium"
"ýagdaýy","Acidanthera"
"ýagty","Acidaspis"
"ýagtylyk","acid-binding"
"ýagyş","acidemia"
"ýakasy","acidemias"
"ýakasyny","acider"
"ýakmak","acid-fast"
"ýakymly","acid-fastness"
"ýakyn","acid-forming"
"ýakynda","acidhead"
"ýakyndan","acid-head"
"ýalan","acidheads"
"ýalaňaç","acidy"
"ýalançy","acidic"
"ýalbar","acidiferous"
"ýalňyşlyk","acidify"
"ýalňyzlyk","acidifiable"
"ýalpak","acidifiant"
"ýalta","acidific"
"ýaly","acidification"
"ýalyn","acidified"
"ýamanlyk","acidifier"
"ýaň","acidifiers"
"ýaňak","acidifies"
"ýangyç","acidifying"
"ýanwar","acidyl"
"ýanýoldaş","acidimeter"
"ýap","acidimetry"
"ýaplanmak","acidimetric"
"ýapon","acidimetrical"
"ýaprak","acidimetrically"
"ýapyk","acidite"
"ýara","acidity"
"ýarag","acidities"
"ýaragly","acidize"
"ýaralanmak","acidized"
"ýaramaz","acidizing"
"ýarawsyz","acidly"
"ýaryldy","acidness"
"ýarym","acidnesses"
"ýaryş","acidogenic"
"ýaryşy","acidoid"
"ýaş","acidolysis"
"ýaşa","acidology"
"ýasamak","acidometer"
"ýaşamak","acidometry"
"ýaşaýjysy","acidophil"
"ýaşaýyş","acidophile"
"ýaşlar","acidophilic"
"ýassyk","acidophilous"
"ýaşuly","acidophilus"
"ýaşyl","acidoproteolytic"
"ýat","acidoses"
"ýatlamak","acidosis"
"ýatlatma","acidosteophyte"
"ýatlatmak","acidotic"
"ýatyr","acidproof"
"ýaý","acids"
"ýaýlymy","acid-treat"
"ýaýramagy","acidulant"
"ýaz","acidulate"
"ýazgarmak","acidulated"
"ýazgy","acidulates"
"ýazmak","acidulating"
"ýazyjy","acidulation"
"ýazykly","acidulent"
"ýazylan","acidulous"
"ýazylmak","acidulously"
"ybadathana","acidulousness"
"ybarat","aciduria"
"ýedi","acidurias"
"ýedinji","aciduric"
"ýeke","Acie"
"ýekşenbe","acier"
"ýel","acierage"
"ýelkenli","Acieral"
"Yell","acierate"
"ýeň","acierated"
"ýene-de","acierates"
"ýeňiji","acierating"
"ýeňil","acieration"
"ýeňilen","acies"
"ýeňilleşdiriň","acyesis"
"ýeňillik","acyetic"
"ýeňiş","aciform"
"ýeňletmek","acyl"
"ýeňliş","acylal"
"ýeňmek","acylamido"
"yep","acylamidobenzene"
"ýepiskop","acylamino"
"ýer","acylase"
"ýeri","acylate"
"ýerine","acylated"
"ýerler","acylates"
"ýerleşdirilişi","acylating"
"ýerleşdirmek","acylation"
"ýerli","aciliate"
"ýerliksiz","aciliated"
"ýerzemin","Acilius"
"ýeterlik","acylogen"
"ýetginjek","acyloin"
"ýetip","acyloins"
"ýetmek","acyloxy"
"ýetmezçiligi","acyloxymethane"
"ýetmezçilik","acyls"
"ýewreý","Acima"
"ýewropaly","acinaceous"
"ygrarlylygy","acinaces"
"ygtybarly","acinacifoliate"
"ygtybarlylygy","acinacifolious"
"ygtyýarnamasy","acinaciform"
"YHG","acinacious"
"yhlasly","acinacity"
"ýigit","acinar"
"ýigrenç","acinary"
"ýigrimi","acinarious"
"ýitdi","Acineta"
"ýitgi","Acinetae"
"ýiti","acinetan"
"ýitirmek","Acinetaria"
"ýitýär","acinetarian"
"ykbal","acinetic"
"ykdysady","acinetiform"
"ykdysadyýet","Acinetina"
"ykdysatçy","acinetinan"
"ykjam","acing"
"ylahy","acini"
"ylahyýet","acinic"
"ylalaşmak","aciniform"
"ylalaşmaýarlar","acinose"
"ylalaşyk","acinotubular"
"ylga","acinous"
"ylgawçy","acinuni"
"ylgaýar","acinus"
"ylham","acious"
"Ylham","Acipenser"
"Ylmy","Acipenseres"
"ylym","acipenserid"
"ynam","Acipenseridae"
"ynamly","acipenserine"
"ynan","acipenseroid"
"ynanç","Acipenseroidei"
"ynandyr","acyrology"
"ynandyrmak","acyrological"
"ynandyryjy","Acis"
"ynanmak","acystia"
"ynjytma","acitate"
"ynkylap","acity"
"ynkylapçy","aciurgy"
"ýodajyk","ACK"
"ýok","ack-ack"
"ýokarda","ackee"
"ýokarky","ackees"
"ýokarlandyrmak","ackey"
"ýokarlanmak","ackeys"
"ýokarsy","Acker"
"ýokary","Ackerley"
"ýokaşma","Ackerly"
"ýoklugy","Ackerman"
"ýol","Ackermanville"
"ýolagçy","Ackley"
"ýolbaşçylygy","Ackler"
"ýolbaşçysy","ackman"
"ýoldaş","ackmen"
"ýönekeý","acknew"
"ýöremek","acknow"
"ýorgan","acknowing"
"ýöriş","acknowledge"
"ýörite","acknowledgeable"
"ýöriteleşdiriň","acknowledged"
"ýowuzlyk","acknowledgedly"
"Yragyň","acknowledgement"
"yrgyldamak","acknowledgements"
"yrmak","acknowledger"
"ys","acknowledgers"
"yşarat","acknowledges"
"yslam","acknowledging"
"Yslam","acknowledgment"
"Ysraýyl","acknowledgments"
"Ysraýylyń","acknowledgment's"
"ýubileý","acknown"
"ýubka","ack-pirate"
"ýük","ackton"
"ýüklemek","Ackworth"
"ýumruk","ACL"
"ýumşak","aclastic"
"ýumurtga","acle"
"ýüp","acleidian"
"ýüpek","acleistocardia"
"ýürek","acleistous"
"ýurisdiksiýa","Aclemon"
"ýurt","aclydes"
"ýuw","aclidian"
"ýuwaş-ýuwaş","aclinal"
"ýuwut","aclinic"
"ýüz","aclys"
"ýüze","a-clock"
"ýüzi","acloud"
"ýüzmek","ACLS"
"ýüzünde","ACLU"
"ýygna","ACM"
"ýygnan","Acmaea"
"ýygnanmak","Acmaeidae"
"ýygy","acmaesthesia"
"ýygylygy","acmatic"
"ýygym","acme"
"ýygyndy","acmes"
"ýygy-ýygydan","acmesthesia"
"ýykylmagy","acmic"
"ýykylmak","Acmispon"
"ýyl","acmite"
"ýylan","Acmon"
"ýyldyrym","acne"
"ýyldyz","acned"
"ýyllyk","acneform"
"ýylmanak","acneiform"
"ýyly","acnemia"
"ýylylyk","acnes"
"ýyrtmak","Acnida"
"yz","acnodal"
"yzarla","acnode"
"yzarlamak","acnodes"
"yzarlaýjy","ACO"
"yzygiderli","acoasm"
"yzygiderliligi","acoasma"
"Yzyna","a-coast"
"zäherli","Acocanthera"
"zähmet","acocantherin"
"zal","acock"
"žanr","acockbill"
"zat","a-cock-bill"
"zatlar","a-cock-horse"
"zawod","acocotl"
"zehin","Acoela"
"zehinli","Acoelomata"
"zerur","acoelomate"
"zerurlyk","acoelomatous"
"zeýkeş","Acoelomi"
"zeýtun","acoelomous"
"zibil","acoelous"
"zolak","Acoemetae"
"zona","Acoemeti"
"zordan","Acoemetic"
"zorlamak","acoenaesthesia"
"zorlukly","ACOF"
"zulum","acoin"
"zynjyr","acoine"
"zyňmak","Acol"
"zyňyndy","Acolapissa"
"zyýan","acold"
"zyýany","Acolhua"
