"Javanese","English"
"prinsip","acetones"
"prioritas","acetonic"
"privasi","acetonyl"
"priyayi","acetonylacetone"
"pro","acetonylidene"
"probabilitas","acetonitrile"
"produk","acetonization"
"produksi","acetonize"
"produktif","acetonuria"
"produktivitas","acetonurometer"
"produser","acetophenetide"
"profesi","acetophenetidin"
"profesional","acetophenetidine"
"profesor","acetophenin"
"profil","acetophenine"
"program","acetophenone"
"progresif","acetopiperone"
"promosi","acetopyrin"
"propaganda","acetopyrine"
"properti","acetosalicylic"
"proporsi","acetose"
"proposal","acetosity"
"proses","acetosoluble"
"prosesor","acetostearin"
"prospek","acetothienone"
"protein","acetotoluid"
"protèktif","acetotoluide"
"protes","acetotoluidine"
"protokol","acetous"
"provinsi","acetoveratrone"
"proyek","acetoxyl"
"proyeksi","acetoxyls"
"psikolog","acetoxim"
"psikologi","acetoxime"
"psikologis","acetoxyphthalide"
"publikasi","acetphenetid"
"pucet","acetphenetidin"
"pujangga","acetract"
"pukulan","acettoluide"
"pulisi","acetum"
"pulo","aceturic"
"pulsa","ACF"
"puncak","ACGI"
"pundhak","ac-globulin"
"pundung","ACH"
"punggawa","Achab"
"pungkasan","Achad"
"pungkasane","Achaea"
"pungkasanipun","Achaean"
"pupu","Achaemenes"
"pura-pura","Achaemenian"
"puri","Achaemenid"
"pusaka","Achaemenidae"
"puteran","Achaemenides"
"putih","Achaemenidian"
"putra","Achaemenids"
"putri","achaenocarp"
"putus","Achaenodon"
"putusan","Achaeta"
"rada","achaetous"
"radar","Achaeus"
"radiasi","achafe"
"radikal","achage"
"radio","Achagua"
"ragad","Achaia"
"ragu-ragu","Achaian"
"rahang","Achakzai"
"rahasia","achalasia"
"raja","Achamoth"
"rajapati","Achan"
"rak","Achango"
"rakasa","achape"
"raket","achaque"
"rakyat","achar"
"rally","acharya"
"ramalan","Achariaceae"
"rambute","Achariaceous"
"rame","acharne"
"rampung","acharnement"
"rangsang","Acharnians"
"ranking","achate"
"rante","Achates"
"raos","Achatina"
"rapat","Achatinella"
"ras","Achatinidae"
"rasa","achatour"
"raseksa","Achaz"
"rasio","ache"
"rasional","acheat"
"rasis","achech"
"rasisme","acheck"
"rasukan","ached"
"rata-rata","acheer"
"rate","ACHEFT"
"rating","acheilary"
"ratu","acheilia"
"rawan","acheilous"
"rawuh","acheiria"
"rayi","acheirous"
"re","acheirus"
"reaksi","Achelous"
"realistis","Achen"
"rebo","achene"
"reca","achenes"
"referensi","achenia"
"refleksi","achenial"
"reformasi","achenium"
"regane","achenocarp"
"reged","achenodia"
"regejegan","achenodium"
"regional","acher"
"registrasi","Acherman"
"regu","Achernar"
"regulasi","Acheron"
"rejeki","Acheronian"
"rekayasa","Acherontic"
"rekomendasi","Acherontical"
"rekrut","aches"
"rel","Acheson"
"relatif","achesoun"
"relief","achete"
"religius","Achetidae"
"remaja","Acheulean"
"rembugan","Acheulian"
"rembulan","acheweed"
"remot","achy"
"remuk","achier"
"rencana","achiest"
"rep","achievability"
"repot","achievable"
"republik","achieve"
"rereget","achieved"
"resep","achievement"
"resepsi","achievements"
"resesi","achievement's"
"resik","achiever"
"resiko","achievers"
"resistance","achieves"
"resmi","achieving"
"resolusi","ach-y-fi"
"resort","achigan"
"responden","achilary"
"restoran","achylia"
"retak","Achill"
"retorika","Achille"
"revenue","Achillea"
"review","Achillean"
"revolusi","achilleas"
"revolusioner","Achilleid"
"rewang","achillein"
"rezim","achilleine"
"rinci","Achilles"
"ring","Achillize"
"ringkes","achillobursitis"
"ringkesan","achillodynia"
"ringkih","achilous"
"rintangan","achylous"
"riset","Achimaas"
"ritual","achime"
"robot","Achimelech"
"rod","Achimenes"
"rodha","achymia"
"rok","achymous"
"roket","Achinese"
"rokok","achiness"
"rolas","achinesses"
"roman","aching"
"romantis","achingly"
"roti","achiote"
"rumiyin","achiotes"
"rumus","achira"
"rusak","Achyranthes"
"russian","achirite"
"rute","Achyrodes"
"rutinitas","Achish"
"ruwet","Achitophel"
"sabab","achkan"
"sabanjure","achlamydate"
"sabar","Achlamydeae"
"saben","achlamydeous"
"sabtu","achlorhydria"
"sabuk","achlorhydric"
"sabun","achlorophyllous"
"sadar","achloropsia"
"sadurunge","achluophobia"
"saestu","Achmed"
"safety","Achmetha"
"saged","achoke"
"sah","acholia"
"saham","acholias"
"saiki","acholic"
"saindhenging","Acholoe"
"saingan","acholous"
"sajarah","acholuria"
"sajian","acholuric"
"sak","Achomawi"
"saka","achondrite"
"sakabehe","achondritic"
"sakabèhé","achondroplasia"
"sakbenere","achondroplastic"
"sakcepete","achoo"
"sake","achor"
"sakepel","achordal"
"saksi","Achordata"
"saktemene","achordate"
"sakteruse","Achorion"
"sakwise","Achorn"
"salad","Achras"
"salah","achree"
"salajengipun","achroacyte"
"salaka","Achroanthes"
"salam","achrodextrin"
"sale","achrodextrinase"
"salinan","achroglobin"
"saliyane","achroiocythaemia"
"salju","achroiocythemia"
"saluran","achroite"
"sambat","achroma"
"sambungan","achromacyte"
"samesthine","achromasia"
"samodra","achromat"
"sampah","achromat-"
"sampel","achromate"
"sampeyan","Achromatiaceae"
"sampurna","achromatic"
"sanadyan","achromatically"
"sandera","achromaticity"
"sandhangan","achromatin"
"sandwic","achromatinic"
"sanga","achromatisation"
"sanksi","achromatise"
"santai","achromatised"
"saos","achromatising"
"sapa","achromatism"
"sapi","Achromatium"
"sapisan","achromatizable"
"saran","achromatization"
"sarana","achromatize"
"sarapan","achromatized"
"sarjana","achromatizing"
"sarujuk","achromatocyte"
"sarwa","achromatolysis"
"sastra","achromatope"
"satelit","achromatophil"
"satus","achromatophile"
"satwa","achromatophilia"
"sawetara","achromatophilic"
"sawijining","achromatopia"
"sawise","achromatopsy"
"sawit","achromatopsia"
"sayangé","achromatosis"
"sayuran","achromatous"
"screening","achromats"
"sebagean","achromaturia"
"sebagéyan","achromia"
"sebagian","achromic"
"sebutno","Achromycin"
"sedhela","Achromobacter"
"sedheng","Achromobacterieae"
"sedhih","achromoderma"
"sedulur","achromophilous"
"segara","achromotrichia"
"segel","achromous"
"seger","achronical"
"sehat","achronychous"
"sekarat","achronism"
"seket","achroo-"
"sekitare","achroodextrin"
"sekolah","achroodextrinase"
"sekretaris","achroous"
"seksi","achropsia"
"seksual","Achsah"
"sektor","achtehalber"
"sekuler","achtel"
"sekunder","achtelthaler"
"sekutu","achter"
"sel","achterveld"
"selasa","Achuas"
"selebriti","achuete"
"semangat","acy"
"sembako","acyanoblepsia"
"sembarang","acyanopsia"
"sembrono","acichlorid"
"sen","acichloride"
"senadyan","acyclic"
"senar","acyclically"
"senat","acicula"
"senator","aciculae"
"sendok","acicular"
"senen","acicularity"
"seneng","acicularly"
"sengit","aciculas"
"seni","aciculate"
"senior","aciculated"
"sensasi","aciculum"
"sensitif","aciculums"
"sensitivitas","acid"
"sensor","acidaemia"
"sensus","Acidalium"
"sepatu","Acidanthera"
"sepeda","Acidaspis"
"sepi","acid-binding"
"seprapat","acidemia"
"september","acidemias"
"sepuluh","acider"
"sepupu","acid-fast"
"sepur","acid-fastness"
"seragam","acid-forming"
"serangga","acidhead"
"serat","acid-head"
"serep","acidheads"
"seri","acidy"
"serius","acidic"
"sersan","acidiferous"
"sertifikat","acidify"
"server","acidifiable"
"sesambetan","acidifiant"
"sesambungan","acidific"
"sesanti","acidification"
"sesi","acidified"
"sesuk","acidifier"
"setan","acidifiers"
"setelan","acidifies"
"setengah","acidifying"
"sethitik","acidyl"
"setya","acidimeter"
"sewelas","acidimetry"
"sheriff","acidimetric"
"shooting","acidimetrical"
"sial","acidimetrically"
"siap","acidite"
"siaran","acidity"
"sibuk","acidities"
"sidebar","acidize"
"sih","acidized"
"sihir","acidizing"
"sih-rahmat","acidly"
"siji","acidness"
"sijine","acidnesses"
"sikap","acidogenic"
"sikat","acidoid"
"sikil","acidolysis"
"siklus","acidology"
"siku","acidometer"
"simbol","acidometry"
"simpati","acidophil"
"simpenan","acidophile"
"sinau","acidophilic"
"sindrom","acidophilous"
"sing","acidophilus"
"singa","acidoproteolytic"
"sinyal","acidoses"
"sipat","acidosis"
"sipil","acidosteophyte"
"sirah","acidotic"
"sirkuit","acidproof"
"sirna","acids"
"sisan","acid-treat"
"sisih","acidulant"
"sistem","acidulate"
"sithik","acidulated"
"situs","acidulates"
"skala","acidulating"
"skandal","acidulation"
"skema","acidulent"
"skenario","acidulous"
"ski","acidulously"
"skip","acidulousness"
"skor","aciduria"
"slamet","acidurias"
"slope","aciduric"
"soda","Acie"
"soko","acier"
"sok-sok","acierage"
"solo","Acieral"
"solusi","acierate"
"sopir","acierated"
"sore","acierates"
"sorot","acierating"
"sosial","acieration"
"soviet","acies"
"spanyol","acyesis"
"speaker","acyetic"
"spektakuler","aciform"
"spektrum","acyl"
"spekulasi","acylal"
"spesialis","acylamido"
"spesialisasine","acylamidobenzene"
"spesies","acylamino"
"spesifik","acylase"
"spiritual","acylate"
"sponsor","acylated"
"sregep","acylates"
"srengenge","acylating"
"stabil","acylation"
"stabilitas","aciliate"
"stadion","aciliated"
"staf","Acilius"
"stake","acylogen"
"stan","acyloin"
"standar","acyloins"
"stasiun","acyloxy"
"statistika","acyloxymethane"
"status","acyls"
"steak","Acima"
"stopkontak","acinaceous"
"strategi","acinaces"
"strategis","acinacifoliate"
"streak","acinacifolious"
"stream","acinaciform"
"stroke","acinacious"
"struktur","acinacity"
"struktural","acinar"
"studio","acinary"
"subsidi","acinarious"
"substansial","Acineta"
"subtle","Acinetae"
"subuh","acinetan"
"subyek","Acinetaria"
"suci","acinetarian"
"sudut","acinetic"
"sugih","acinetiform"
"suhu","Acinetina"
"suite","acinetinan"
"sukarelawan","acing"
"suket","acini"
"sukses","acinic"
"suku","aciniform"
"sum","acinose"
"sumbangan","acinotubular"
"sumber","acinous"
"sumelang","acinuni"
"sumpah","acinus"
"sumunar","acious"
"sungu","Acipenser"
"sup","Acipenseres"
"super","acipenserid"
"surak-surak","Acipenseridae"
"surup","acipenserine"
"survey","acipenseroid"
"surya","Acipenseroidei"
"susah","acyrology"
"susu","acyrological"
"susuh","Acis"
"susunan","acystia"
"sutra","acitate"
"swara","acity"
"swarga","aciurgy"
"swasana","ACK"
"swiwi","ack-ack"
"syaraf","ackee"
"syarat","ackees"
"tab","ackey"
"tablet","ackeys"
"tabung","Acker"
"tag","Ackerley"
"tagihan","Ackerly"
"tahan","Ackerman"
"tahanan","Ackermanville"
"takdir","Ackley"
"takon","Ackler"
"taktik","ackman"
"tali","ackmen"
"taman","acknew"
"tamba","acknow"
"tambahan","acknowing"
"tambak","acknowledge"
"tameng","acknowledgeable"
"tamparan","acknowledged"
"tampilan","acknowledgedly"
"tamu","acknowledgement"
"tanah","acknowledgements"
"tandha","acknowledger"
"tanduran","acknowledgers"
"tangan","acknowledges"
"tanggal","acknowledging"
"tanggalan","acknowledgment"
"tanggane","acknowledgments"
"tangguh","acknowledgment's"
"tangi","acknown"
"tank","ack-pirate"
"tanpa","ackton"
"tansah","Ackworth"
"tantangan","ACL"
"tape","aclastic"
"target","acle"
"tartamtu","acleidian"
"tarub","acleistocardia"
"tas","acleistous"
"tatanan","Aclemon"
"tataran","aclydes"
"tato","aclidian"
"tatu","aclinal"
"tau","aclinic"
"taun","aclys"
"taunan","a-clock"
"tawaran","acloud"
"tawon","ACLS"
"teater","ACLU"
"tebing","ACM"
"tech","Acmaea"
"tegalan","Acmaeidae"
"tegese","acmaesthesia"
"tegesipun","acmatic"
"teh","acme"
"teka","acmes"
"tekad","acmesthesia"
"tekan","acmic"
"tekanan","Acmispon"
"teka-teki","acmite"
"teken","Acmon"
"teknik","acne"
"teknis","acned"
"teknologi","acneform"
"teks","acneiform"
"telat","acnemia"
"telek","acnes"
"teles","Acnida"
"teleskop","acnodal"
"televisi","acnode"
"telik","acnodes"
"telpon","ACO"
"telu","acoasm"
"teluk","acoasma"
"tema","a-coast"
"tembak","Acocanthera"
"tembang","acocantherin"
"tembelan","acock"
"tembok","acockbill"
"tembung","a-cock-bill"
"temenan","a-cock-horse"
"tenan","acocotl"
"tender","Acoela"
"tengah","Acoelomata"
"tenggara","acoelomate"
"tenggorokan","acoelomatous"
"tengkorak","Acoelomi"
"tenis","acoelomous"
"tension","acoelous"
"tentara","Acoemetae"
"tentrem","Acoemeti"
"teologi","Acoemetic"
"teori","acoenaesthesia"
"teoritis","ACOF"
"tepate","acoin"
"terapi","acoine"
"terapis","Acol"
"teras","Acolapissa"
"terdakwa","acold"
"terjangkau","Acolhua"
"terjemahan","Acolhuan"
"teror","acolyctine"
"teroris","acolyte"
"terorisme","acolytes"
"terus","acolyth"
"terus-terusan","acolythate"
"terwelu","acolytus"
"tes","acology"
"testing","acologic"
"tetanèn","acolous"
"tetanggan","acoluthic"
"tetembungan","Acoma"
"tetep","acomia"
"tiba","acomous"
"tiket","a-compass"
"tikus","aconative"
"tilak","Aconcagua"
"tim","acondylose"
"timbal","acondylous"
"timbalan","acone"
"tindakake","aconelline"
"tingkat","aconic"
"tinimbang","aconin"
"tip","aconine"
"tipis","aconital"
"tisu","aconite"
"titik","aconites"
"tlaga","aconitia"
"toko","aconitic"
"tokoh","aconitin"
"tol","aconitine"
"tomat","Aconitum"
"tombol","aconitums"
"topeng","acontia"
"topi","Acontias"
"topik","acontium"
"totohan","Acontius"
"tradhisi","aconuresis"
"tradhisional","acool"
"tradisional","acop"
"tragedi","acopic"
"tragis","acopyrin"
"trailer","acopyrine"
"transaksi","acopon"
"transfer","acor"
"transformasi","acorea"
"transisi","acoria"
"transit","acorn"
"transmisi","acorned"
"transportasi","acorns"
"trap","acorn's"
"trauma","acorn-shell"
"treasury","Acorus"
"trek","acosmic"
"tren","acosmism"
"tresna","acosmist"
"tresno","acosmistic"
"trik","acost"
"triliun","Acosta"
"tropis","acotyledon"
"trotoar","acotyledonous"
"trowongan","acouasm"
"truk","acouchi"
"tuang","acouchy"
"tuduh","acoumeter"
"tugas","acoumetry"
"tugu","acounter"
"tujuan","acouometer"
"tujuane","acouophonia"
"tukaran","acoup"
"tuku","acoupa"
"tumindak","acoupe"
"tumit","acousma"
"tumor","acousmas"
"tumpukan","acousmata"
"tundha","acousmatic"
"tundhuk","acoustic"
"tune","acoustical"
"tunggal","acoustically"
"tungkak","acoustician"
"turis","acoustico-"
"turnamen","acousticolateral"
"turu","Acousticon"
"tutuk","acousticophobia"
"tutul","acoustics"
"tuwuh","acoustoelectric"
"tv","ACP"
"twitter","acpt"
"uap","acpt."
"udan","Acquah"
"uga","acquaint"
"ugi","acquaintance"
"uh","acquaintances"
"uh-huh","acquaintance's"
"ujian","acquaintanceship"
"ukara","acquaintanceships"
"ukuran","acquaintancy"
"ula","acquaintant"
"um","acquainted"
"umbah-umbah","acquaintedness"
"umum","acquainting"
"umume","acquaints"
"umur","Acquaviva"
"uncalan","acquent"
"undangan","acquereur"
"undang-undang","acquest"
"undhak-undhakan","acquests"
"unggul","acquiesce"
"ungu","acquiesced"
"unik","acquiescement"
"unit","acquiescence"
"universal","acquiescences"
"universitas","acquiescency"
"unprecedented","acquiescent"
"unsur","acquiescently"
"untunge","acquiescer"
"upacara","acquiesces"
"upah","acquiescing"
"upgrade","acquiescingly"
"urip","acquiesence"
"urusane","acquiet"
"urut-urutan","acquirability"
"usaha","acquirable"
"uskup","acquire"
"usul","acquired"
"usus","acquirement"
"utama","acquirements"
"utamane","acquirenda"
"utamané","acquirer"
"utami","acquirers"
"utang","acquires"
"utangan","acquiring"
"utawa","acquisible"
"uwal","acquisita"
"uwuh","acquisite"
"uyah","acquisited"
"vaksin","acquisition"
"validitas","acquisitional"
"vampir","acquisitions"
"van","acquisition's"
"variabel","acquisitive"
"variasi","acquisitively"
"vendor","acquisitiveness"
"verifikasi","acquisitor"
"versi","acquisitum"
"veteran","acquist"
"video","acquit"
"virtual","acquital"
"virus","acquitment"
"visual","acquits"
"vital","acquittal"
"vitamine","acquittals"
"vokal","acquittance"
"volume","acquitted"
"voting","acquitter"
"vs","acquitting"
"wacana","acquophonia"
"wadhah","acr-"
"wadon","Acra"
"wah","Acrab"
"wahyu","acracy"
"waja","Acraea"
"wajar","acraein"
"wakil","Acraeinae"
"walanda","acraldehyde"
"wali","Acrania"
"walikota","acranial"
"wana","acraniate"
"wangsulan","acrasy"
"wani","acrasia"
"waos","Acrasiaceae"
"waralaba","Acrasiales"
"waras","acrasias"
"warata","Acrasida"
"wara-wara","Acrasieae"
"warga","acrasin"
"warisan","acrasins"
"wartawan","Acraspeda"
"warung","acraspedote"
"wasiat","acratia"
"wasis","acraturesis"
"watak","acrawl"
"watara","acraze"
"wates","Acre"
"watesan","acreable"
"watu","acreage"
"wawancara","acreages"
"wawasan","acreak"
"wayahe","acream"
"wayang","acred"
"web","acre-dale"
"wêdakakêna","Acredula"
"wedhi","acre-foot"
"wedhus","acre-inch"
"wedi","acreman"
"wegah","acremen"
"wekasanipun","Acres"
"weker","acre's"
"wektu","acrestaff"
"wengi","a-cry"
"werna","acrid"
"weruh","acridan"
"wesi","acridane"
"wetan","acrider"
"weteng","acridest"
"wewayangan","acridian"
"wewenang","acridic"
"Who","acridid"
"wicaksana","Acrididae"
"wicara","Acridiidae"
"wigati","acridyl"
"wiji","acridin"
"wilayah","acridine"
"winates","acridines"
"wingi","acridinic"
"wirausaha","acridinium"
"wis","acridity"
"wisata","acridities"
"wisuda","Acridium"
"wit","Acrydium"
"wiwit","acridly"
"wiwitan","acridness"
"wiwitane","acridnesses"
"wiyar","acridone"
"woa","acridonium"
"woh","acridophagus"
"wolung","acriflavin"
"wong","acriflavine"
"wuda","acryl"
"wujud","acrylaldehyde"
"wulan","Acrilan"
"wulangan","acrylate"
"wungu","acrylates"
"wusana","acrylic"
"wuta","acrylics"
"wutah","acrylyl"
"wutuh","acrylonitrile"
"ya","acrimony"
"yakin","acrimonies"
"yen","acrimonious"
"yudisial","acrimoniously"
"yuridiksi","acrimoniousness"
"yuta","acrindolin"
"zaitun","acrindoline"
"zat","acrinyl"
"zona","acrisy"
